ID;Voertuigcategorie;BouwjaarVoertuig;Wegtype;CO_1;VOS_2;NOx_3;PM10_4
35;Personenauto-benzine;1999;Autosnelwegen;1.96;0.06;0.08;0.005
36;Personenauto-benzine;2000;Bebouwde kom;4.43;0.42;0.22;0.008
37;Personenauto-benzine;2000;Buitenwegen;1.49;0.05;0.11;0.003
38;Personenauto-benzine;2000;Autosnelwegen;1.27;0.03;0.06;0.006
39;Personenauto-benzine;2001;Bebouwde kom;3.19;0.41;0.12;0.006
40;Personenauto-benzine;2001;Buitenwegen;0.94;0.02;0.02;0.001
41;Personenauto-benzine;2001;Autosnelwegen;0.6;0.01;0.04;0.008
42;Personenauto-benzine;2002;Bebouwde kom;3.11;0.41;0.11;0.006
43;Personenauto-benzine;2002;Buitenwegen;0.91;0.02;0.02;0.001
44;Personenauto-benzine;2002;Autosnelwegen;0.58;0.01;0.04;0.008
45;Personenauto-benzine;2003;Bebouwde kom;2.76;0.4;0.09;0.006
46;Personenauto-benzine;2003;Buitenwegen;0.57;0.02;0.03;0.001
47;Personenauto-benzine;2003;Autosnelwegen;0.52;0.01;0.03;0.008
48;Personenauto-benzine;2004;Bebouwde kom;2.57;0.4;0.08;0.006
49;Personenauto-benzine;2004;Buitenwegen;0.41;0.02;0.03;0.001
50;Personenauto-benzine;2004;Autosnelwegen;0.49;0.01;0.03;0.008
51;Personenauto-benzine;2005;Bebouwde kom;2.4;0.39;0.07;0.006
52;Personenauto-benzine;2005;Buitenwegen;0.26;0.02;0.03;0.002
53;Personenauto-benzine;2005;Autosnelwegen;0.46;0.01;0.02;0.008
54;Personenauto-benzine;2006;Bebouwde kom;2.37;0.39;0.06;0.006
55;Personenauto-benzine;2006;Buitenwegen;0.25;0.02;0.03;0.002
56;Personenauto-benzine;2006;Autosnelwegen;0.45;0.01;0.02;0.008
57;Personenauto-benzine;2007;Bebouwde kom;2.33;0.38;0.06;0.006
58;Personenauto-benzine;2007;Buitenwegen;0.25;0.02;0.03;0.002
59;Personenauto-benzine;2007;Autosnelwegen;0.43;0.01;0.02;0.008
60;Personenauto-diesel;Bouwjaargroep 1998 en ouder;Bebouwde kom;1.22;0.25;0.83;0.24
61;Personenauto-diesel;Bouwjaargroep 1998 en ouder;Buitenwegen;0.29;0.09;0.5;0.114
62;Personenauto-diesel;Bouwjaargroep 1998 en ouder;Autosnelwegen;0.33;0.08;0.7;0.124
63;Personenauto-diesel;1999;Bebouwde kom;0.69;0.14;1.08;0.119
64;Personenauto-diesel;1999;Buitenwegen;0.07;0.04;0.52;0.043
65;Personenauto-diesel;1999;Autosnelwegen;0.07;0.02;0.66;0.081
66;Personenauto-diesel;2000;Bebouwde kom;0.66;0.1;0.99;0.092
67;Personenauto-diesel;2000;Buitenwegen;0.05;0.03;0.51;0.036
68;Personenauto-diesel;2000;Autosnelwegen;0.05;0.02;0.62;0.068
69;Personenauto-diesel;2001;Bebouwde kom;0.6;0.05;0.89;0.063
70;Personenauto-diesel;2001;Buitenwegen;0.03;0.01;0.5;0.029
71;Personenauto-diesel;2001;Autosnelwegen;0.04;0.01;0.58;0.053
72;Personenauto-diesel;2002;Bebouwde kom;0.6;0.05;0.89;0.063
73;Personenauto-diesel;2002;Buitenwegen;0.03;0.01;0.5;0.029
74;Personenauto-diesel;2002;Autosnelwegen;0.04;0.01;0.58;0.053
75;Personenauto-diesel;2003;Bebouwde kom;0.6;0.05;0.89;0.063
76;Personenauto-diesel;2003;Buitenwegen;0.03;0.01;0.5;0.029
77;Personenauto-diesel;2003;Autosnelwegen;0.04;0.01;0.58;0.053
78;Personenauto-diesel;2004;Bebouwde kom;0.6;0.05;0.89;0.063
79;Personenauto-diesel;2004;Buitenwegen;0.03;0.01;0.5;0.029
80;Personenauto-diesel;2004;Autosnelwegen;0.04;0.01;0.58;0.053
81;Personenauto-diesel;2005;Bebouwde kom;0.25;0.02;0.51;0.05
82;Personenauto-diesel;2005;Buitenwegen;0.02;0.0;0.27;0.024
83;Personenauto-diesel;2005;Autosnelwegen;0.05;0.01;0.25;0.05
84;Personenauto-diesel;2006;Bebouwde kom;0.25;0.02;0.51;0.05
85;Personenauto-diesel;2006;Buitenwegen;0.02;0.0;0.27;0.024
86;Personenauto-diesel;2006;Autosnelwegen;0.05;0.01;0.25;0.05
87;Personenauto-diesel;2007;Bebouwde kom;0.25;0.02;0.51;0.05
88;Personenauto-diesel;2007;Buitenwegen;0.02;0.0;0.27;0.024
89;Personenauto-diesel;2007;Autosnelwegen;0.05;0.01;0.25;0.05
90;Personenauto-LPG;Bouwjaargroep 1998 en ouder;Bebouwde kom;7.16;0.96;0.94;0.013
91;Personenauto-LPG;Bouwjaargroep 1998 en ouder;Buitenwegen;3.55;0.23;0.68;0.009
92;Personenauto-LPG;Bouwjaargroep 1998 en ouder;Autosnelwegen;1.3;0.34;1.07;0.008
93;Personenauto-LPG;1999;Bebouwde kom;7.43;0.61;0.47;0.009
94;Personenauto-LPG;1999;Buitenwegen;5.22;0.04;0.36;0.005
95;Personenauto-LPG;1999;Autosnelwegen;1.51;0.07;0.51;0.005
96;Personenauto-LPG;2000;Bebouwde kom;4.95;0.5;0.42;0.007
97;Personenauto-LPG;2000;Buitenwegen;3.01;0.05;0.28;0.003
98;Personenauto-LPG;2000;Autosnelwegen;1.18;0.04;0.31;0.007
99;Personenauto-LPG;2001;Bebouwde kom;2.45;0.38;0.37;0.005
100;Personenauto-LPG;2001;Buitenwegen;0.55;0.05;0.2;0.002
101;Personenauto-LPG;2001;Autosnelwegen;0.84;0.02;0.13;0.01
102;Personenauto-LPG;2002;Bebouwde kom;2.39;0.38;0.36;0.005
103;Personenauto-LPG;2002;Buitenwegen;0.53;0.05;0.2;0.002
104;Personenauto-LPG;2002;Autosnelwegen;0.81;0.02;0.12;0.01
105;Personenauto-LPG;2003;Bebouwde kom;2.14;0.38;0.25;0.005
106;Personenauto-LPG;2003;Buitenwegen;0.52;0.05;0.13;0.002
107;Personenauto-LPG;2003;Autosnelwegen;0.51;0.02;0.08;0.01
108;Personenauto-LPG;2004;Bebouwde kom;2.0;0.38;0.2;0.005
109;Personenauto-LPG;2004;Buitenwegen;0.52;0.05;0.09;0.002
110;Personenauto-LPG;2004;Autosnelwegen;0.37;0.02;0.06;0.01
111;Personenauto-LPG;2005;Bebouwde kom;1.88;0.39;0.14;0.005
112;Personenauto-LPG;2005;Buitenwegen;0.51;0.05;0.06;0.002
113;Personenauto-LPG;2005;Autosnelwegen;0.24;0.02;0.04;0.01
114;Personenauto-LPG;2006;Bebouwde kom;1.85;0.38;0.14;0.005
115;Personenauto-LPG;2006;Buitenwegen;0.5;0.04;0.06;0.002
116;Personenauto-LPG;2006;Autosnelwegen;0.23;0.02;0.04;0.01
117;Personenauto-LPG;2007;Bebouwde kom;1.81;0.37;0.14;0.005
118;Personenauto-LPG;2007;Buitenwegen;0.49;0.04;0.06;0.002
119;Personenauto-LPG;2007;Autosnelwegen;0.22;0.02;0.04;0.01
120;Bestelauto-benzine;Bouwjaargroep 1998 en ouder;Bebouwde kom;11.73;1.8;1.47;0.025
121;Bestelauto-benzine;Bouwjaargroep 1998 en ouder;Buitenwegen;5.2;0.73;1.33;0.016
122;Bestelauto-benzine;Bouwjaargroep 1998 en ouder;Autosnelwegen;5.25;0.51;2.09;0.017
123;Bestelauto-benzine;1999;Bebouwde kom;3.91;0.24;0.29;0.007
124;Bestelauto-benzine;1999;Buitenwegen;1.87;0.07;0.2;0.005
125;Bestelauto-benzine;1999;Autosnelwegen;1.96;0.06;0.08;0.005
126;Bestelauto-benzine;2000;Bebouwde kom;2.83;0.22;0.19;0.006
127;Bestelauto-benzine;2000;Buitenwegen;1.44;0.04;0.11;0.003
128;Bestelauto-benzine;2000;Autosnelwegen;1.27;0.03;0.06;0.006
129;Bestelauto-benzine;2001;Bebouwde kom;1.72;0.21;0.1;0.004
130;Bestelauto-benzine;2001;Buitenwegen;0.89;0.02;0.02;0.001
131;Bestelauto-benzine;2001;Autosnelwegen;0.6;0.01;0.04;0.008
132;Bestelauto-benzine;2002;Bebouwde kom;1.68;0.21;0.09;0.004
133;Bestelauto-benzine;2002;Buitenwegen;0.86;0.02;0.02;0.001
134;Bestelauto-benzine;2002;Autosnelwegen;0.58;0.01;0.04;0.008
135;Bestelauto-benzine;2003;Bebouwde kom;1.52;0.2;0.08;0.004
136;Bestelauto-benzine;2003;Buitenwegen;0.53;0.01;0.03;0.001
137;Bestelauto-benzine;2003;Autosnelwegen;0.52;0.01;0.03;0.008
138;Bestelauto-benzine;2004;Bebouwde kom;1.43;0.2;0.07;0.004
139;Bestelauto-benzine;2004;Buitenwegen;0.37;0.01;0.03;0.001
140;Bestelauto-benzine;2004;Autosnelwegen;0.49;0.01;0.03;0.008
141;Bestelauto-benzine;2005;Bebouwde kom;1.35;0.2;0.06;0.004
142;Bestelauto-benzine;2005;Buitenwegen;0.23;0.01;0.03;0.001
143;Bestelauto-benzine;2005;Autosnelwegen;0.46;0.01;0.02;0.008
144;Bestelauto-benzine;2006;Bebouwde kom;1.33;0.2;0.06;0.004
145;Bestelauto-benzine;2006;Buitenwegen;0.22;0.01;0.03;0.001
146;Bestelauto-benzine;2006;Autosnelwegen;0.45;0.01;0.02;0.008
147;Bestelauto-benzine;2007;Bebouwde kom;1.31;0.19;0.06;0.004
148;Bestelauto-benzine;2007;Buitenwegen;0.21;0.01;0.03;0.001
149;Bestelauto-benzine;2007;Autosnelwegen;0.43;0.01;0.02;0.008
150;Bestelauto-diesel;Bouwjaargroep 1998 en ouder;Bebouwde kom;1.83;0.32;1.51;0.374
151;Bestelauto-diesel;Bouwjaargroep 1998 en ouder;Buitenwegen;0.46;0.21;1.05;0.201
152;Bestelauto-diesel;Bouwjaargroep 1998 en ouder;Autosnelwegen;0.42;0.21;1.5;0.215
153;Bestelauto-diesel;1999;Bebouwde kom;0.72;0.16;1.59;0.16
154;Bestelauto-diesel;1999;Buitenwegen;0.08;0.06;0.82;0.073
155;Bestelauto-diesel;1999;Autosnelwegen;0.1;0.04;1.05;0.139
156;Bestelauto-diesel;2000;Bebouwde kom;0.64;0.11;1.42;0.127
157;Bestelauto-diesel;2000;Buitenwegen;0.05;0.04;0.78;0.061
158;Bestelauto-diesel;2000;Autosnelwegen;0.07;0.03;0.95;0.117
159;Bestelauto-diesel;2001;Bebouwde kom;0.51;0.05;1.24;0.092
160;Bestelauto-diesel;2001;Buitenwegen;0.02;0.01;0.73;0.049
161;Bestelauto-diesel;2001;Autosnelwegen;0.05;0.02;0.84;0.092
162;Bestelauto-diesel;2002;Bebouwde kom;0.51;0.05;1.24;0.092
163;Bestelauto-diesel;2002;Buitenwegen;0.02;0.01;0.73;0.049
164;Bestelauto-diesel;2002;Autosnelwegen;0.05;0.02;0.84;0.092
165;Bestelauto-diesel;2003;Bebouwde kom;0.51;0.05;1.24;0.092
166;Bestelauto-diesel;2003;Buitenwegen;0.02;0.01;0.73;0.049
167;Bestelauto-diesel;2003;Autosnelwegen;0.05;0.02;0.84;0.092
168;Bestelauto-diesel;2004;Bebouwde kom;0.51;0.05;1.24;0.092
169;Bestelauto-diesel;2004;Buitenwegen;0.02;0.01;0.73;0.049
170;Bestelauto-diesel;2004;Autosnelwegen;0.05;0.02;0.84;0.092
171;Bestelauto-diesel;2005;Bebouwde kom;0.15;0.02;0.65;0.067
172;Bestelauto-diesel;2005;Buitenwegen;0.02;0.0;0.36;0.035
173;Bestelauto-diesel;2005;Autosnelwegen;0.07;0.01;0.33;0.073
174;Bestelauto-diesel;2006;Bebouwde kom;0.15;0.02;0.65;0.067
175;Bestelauto-diesel;2006;Buitenwegen;0.02;0.0;0.36;0.035
176;Bestelauto-diesel;2006;Autosnelwegen;0.07;0.01;0.33;0.073
177;Bestelauto-diesel;2007;Bebouwde kom;0.15;0.02;0.65;0.067
178;Bestelauto-diesel;2007;Buitenwegen;0.02;0.0;0.36;0.035
179;Bestelauto-diesel;2007;Autosnelwegen;0.07;0.01;0.33;0.073
180;Bestelauto-LPG;Bouwjaargroep 1998 en ouder;Bebouwde kom;10.05;1.36;1.61;0.01
181;Bestelauto-LPG;Bouwjaargroep 1998 en ouder;Buitenwegen;8.79;0.72;1.57;0.007
182;Bestelauto-LPG;Bouwjaargroep 1998 en ouder;Autosnelwegen;3.31;0.56;2.41;0.008
183;Bestelauto-LPG;1999;Bebouwde kom;10.71;0.52;0.57;0.007
184;Bestelauto-LPG;1999;Buitenwegen;11.67;0.05;0.5;0.005
185;Bestelauto-LPG;1999;Autosnelwegen;3.44;0.09;0.71;0.005
186;Bestelauto-LPG;2000;Bebouwde kom;6.26;0.4;0.45;0.005
187;Bestelauto-LPG;2000;Buitenwegen;6.67;0.06;0.38;0.003
188;Bestelauto-LPG;2000;Autosnelwegen;2.67;0.06;0.44;0.007
189;Bestelauto-LPG;2001;Bebouwde kom;1.63;0.27;0.34;0.003
190;Bestelauto-LPG;2001;Buitenwegen;1.11;0.06;0.28;0.002
191;Bestelauto-LPG;2001;Autosnelwegen;1.9;0.03;0.18;0.01
192;Bestelauto-LPG;2002;Bebouwde kom;1.59;0.26;0.33;0.003
193;Bestelauto-LPG;2002;Buitenwegen;1.07;0.06;0.27;0.002
194;Bestelauto-LPG;2002;Autosnelwegen;1.83;0.03;0.17;0.01
195;Bestelauto-LPG;2003;Bebouwde kom;1.26;0.23;0.24;0.003
196;Bestelauto-LPG;2003;Buitenwegen;0.73;0.04;0.2;0.002
197;Bestelauto-LPG;2003;Autosnelwegen;1.24;0.02;0.13;0.01
198;Bestelauto-LPG;2004;Bebouwde kom;1.1;0.22;0.2;0.003
199;Bestelauto-LPG;2004;Buitenwegen;0.56;0.04;0.17;0.002
200;Bestelauto-LPG;2004;Autosnelwegen;0.95;0.02;0.11;0.01
201;Bestelauto-LPG;2005;Bebouwde kom;0.95;0.2;0.16;0.003
202;Bestelauto-LPG;2005;Buitenwegen;0.41;0.03;0.13;0.002
203;Bestelauto-LPG;2005;Autosnelwegen;0.68;0.01;0.09;0.01
204;Bestelauto-LPG;2006;Bebouwde kom;0.93;0.2;0.16;0.003
205;Bestelauto-LPG;2006;Buitenwegen;0.4;0.03;0.13;0.002
206;Bestelauto-LPG;2006;Autosnelwegen;0.67;0.01;0.09;0.01
207;Bestelauto-LPG;2007;Bebouwde kom;0.92;0.19;0.15;0.003
208;Bestelauto-LPG;2007;Buitenwegen;0.39;0.03;0.13;0.002
209;Bestelauto-LPG;2007;Autosnelwegen;0.65;0.01;0.08;0.01
210;Vrachtauto-diesel;Bouwjaargroep 1998 en ouder;Bebouwde kom;3.18;1.57;11.71;0.65
211;Vrachtauto-diesel;Bouwjaargroep 1998 en ouder;Buitenwegen;1.75;0.74;8.73;0.352
212;Vrachtauto-diesel;Bouwjaargroep 1998 en ouder;Autosnelwegen;1.29;0.55;7.91;0.273
213;Vrachtauto-diesel;1999;Bebouwde kom;1.77;0.6;11.29;0.213
214;Vrachtauto-diesel;1999;Buitenwegen;1.12;0.33;8.05;0.138
215;Vrachtauto-diesel;1999;Autosnelwegen;0.8;0.25;6.89;0.114
216;Vrachtauto-diesel;2000;Bebouwde kom;1.81;0.6;11.17;0.219
217;Vrachtauto-diesel;2000;Buitenwegen;1.13;0.33;7.92;0.14
218;Vrachtauto-diesel;2000;Autosnelwegen;0.8;0.25;6.69;0.114
219;Vrachtauto-diesel;2001;Bebouwde kom;1.93;0.6;10.53;0.237
220;Vrachtauto-diesel;2001;Buitenwegen;1.15;0.33;7.31;0.142
221;Vrachtauto-diesel;2001;Autosnelwegen;0.8;0.25;5.83;0.111
222;Vrachtauto-diesel;2002;Bebouwde kom;1.99;0.6;9.93;0.247
223;Vrachtauto-diesel;2002;Buitenwegen;1.15;0.32;6.78;0.142
224;Vrachtauto-diesel;2002;Autosnelwegen;0.79;0.24;5.16;0.108
225;Vrachtauto-diesel;2003;Bebouwde kom;1.99;0.6;9.92;0.247
226;Vrachtauto-diesel;2003;Buitenwegen;1.15;0.32;6.78;0.142
227;Vrachtauto-diesel;2003;Autosnelwegen;0.79;0.24;5.15;0.108
228;Vrachtauto-diesel;2004;Bebouwde kom;1.97;0.59;9.8;0.245
229;Vrachtauto-diesel;2004;Buitenwegen;1.14;0.32;6.7;0.14
230;Vrachtauto-diesel;2004;Autosnelwegen;0.78;0.24;5.1;0.107
231;Vrachtauto-diesel;2005;Bebouwde kom;1.55;0.46;8.93;0.198
232;Vrachtauto-diesel;2005;Buitenwegen;0.9;0.25;6.14;0.113
233;Vrachtauto-diesel;2005;Autosnelwegen;0.61;0.18;4.71;0.086
234;Vrachtauto-diesel;2006;Bebouwde kom;0.65;0.18;6.99;0.1
235;Vrachtauto-diesel;2006;Buitenwegen;0.38;0.09;4.92;0.056
236;Vrachtauto-diesel;2006;Autosnelwegen;0.26;0.07;3.87;0.041
237;Vrachtauto-diesel;2007;Bebouwde kom;0.19;0.03;5.8;0.048
238;Vrachtauto-diesel;2007;Buitenwegen;0.11;0.02;4.16;0.026
239;Vrachtauto-diesel;2007;Autosnelwegen;0.08;0.01;3.34;0.018
240;Trekker-diesel;Bouwjaargroep 1998 en ouder;Bebouwde kom;4.08;1.96;18.05;0.974
241;Trekker-diesel;Bouwjaargroep 1998 en ouder;Buitenwegen;1.96;0.81;12.55;0.477
242;Trekker-diesel;Bouwjaargroep 1998 en ouder;Autosnelwegen;1.39;0.57;10.21;0.343
243;Trekker-diesel;1999;Bebouwde kom;2.3;0.78;15.57;0.294
244;Trekker-diesel;1999;Buitenwegen;1.32;0.42;10.34;0.174
245;Trekker-diesel;1999;Autosnelwegen;0.99;0.29;8.13;0.134
246;Trekker-diesel;2000;Bebouwde kom;2.31;0.77;15.19;0.296
247;Trekker-diesel;2000;Buitenwegen;1.32;0.41;10.05;0.174
248;Trekker-diesel;2000;Autosnelwegen;0.98;0.29;7.86;0.132
249;Trekker-diesel;2001;Bebouwde kom;2.35;0.75;13.67;0.301
250;Trekker-diesel;2001;Buitenwegen;1.31;0.4;8.87;0.173
251;Trekker-diesel;2001;Autosnelwegen;0.94;0.27;6.78;0.124
252;Trekker-diesel;2002;Bebouwde kom;2.37;0.73;12.54;0.305
253;Trekker-diesel;2002;Buitenwegen;1.31;0.38;7.99;0.172
254;Trekker-diesel;2002;Autosnelwegen;0.91;0.26;5.96;0.118
255;Trekker-diesel;2003;Bebouwde kom;2.37;0.73;12.54;0.305
256;Trekker-diesel;2003;Buitenwegen;1.3;0.38;7.99;0.172
257;Trekker-diesel;2003;Autosnelwegen;0.91;0.26;5.96;0.118
258;Trekker-diesel;2004;Bebouwde kom;2.37;0.73;12.54;0.305
259;Trekker-diesel;2004;Buitenwegen;1.31;0.38;7.99;0.172
260;Trekker-diesel;2004;Autosnelwegen;0.91;0.26;5.96;0.118
261;Trekker-diesel;2005;Bebouwde kom;1.83;0.56;11.25;0.244
262;Trekker-diesel;2005;Buitenwegen;1.01;0.29;7.22;0.136
263;Trekker-diesel;2005;Autosnelwegen;0.7;0.2;5.42;0.094
264;Trekker-diesel;2006;Bebouwde kom;0.76;0.21;8.67;0.121
265;Trekker-diesel;2006;Buitenwegen;0.42;0.11;5.67;0.065
266;Trekker-diesel;2006;Autosnelwegen;0.29;0.07;4.33;0.044
267;Trekker-diesel;2007;Bebouwde kom;0.22;0.04;7.38;0.059
268;Trekker-diesel;2007;Buitenwegen;0.12;0.02;4.89;0.03
269;Trekker-diesel;2007;Autosnelwegen;0.09;0.01;3.79;0.02
270;Autobus-diesel;Bouwjaargroep 1998 en ouder;Bebouwde kom;4.35;2.3;13.36;0.997
271;Autobus-diesel;Bouwjaargroep 1998 en ouder;Buitenwegen;2.22;1.06;9.63;0.485
272;Autobus-diesel;Bouwjaargroep 1998 en ouder;Autosnelwegen;1.46;0.74;8.17;0.325
273;Autobus-diesel;1999;Bebouwde kom;2.41;0.58;12.24;0.238
274;Autobus-diesel;1999;Buitenwegen;1.13;0.31;8.07;0.138
275;Autobus-diesel;1999;Autosnelwegen;0.67;0.25;6.52;0.111
276;Autobus-diesel;2000;Bebouwde kom;2.39;0.57;12.05;0.235
277;Autobus-diesel;2000;Buitenwegen;1.12;0.31;7.85;0.137
278;Autobus-diesel;2000;Autosnelwegen;0.67;0.25;6.25;0.11
279;Autobus-diesel;2001;Bebouwde kom;2.3;0.55;11.3;0.227
280;Autobus-diesel;2001;Buitenwegen;1.09;0.29;6.97;0.131
281;Autobus-diesel;2001;Autosnelwegen;0.66;0.24;5.16;0.105
282;Autobus-diesel;2002;Bebouwde kom;2.23;0.53;10.72;0.221
283;Autobus-diesel;2002;Buitenwegen;1.06;0.28;6.3;0.126
284;Autobus-diesel;2002;Autosnelwegen;0.66;0.23;4.34;0.102
285;Autobus-diesel;2003;Bebouwde kom;2.23;0.53;10.72;0.221
286;Autobus-diesel;2003;Buitenwegen;1.06;0.28;6.3;0.126
287;Autobus-diesel;2003;Autosnelwegen;0.66;0.23;4.34;0.102
288;Autobus-diesel;2004;Bebouwde kom;2.23;0.53;10.72;0.221
289;Autobus-diesel;2004;Buitenwegen;1.06;0.28;6.3;0.126
290;Autobus-diesel;2004;Autosnelwegen;0.66;0.23;4.34;0.102
291;Autobus-diesel;2005;Bebouwde kom;1.73;0.4;9.6;0.178
292;Autobus-diesel;2005;Buitenwegen;0.82;0.21;5.7;0.101
293;Autobus-diesel;2005;Autosnelwegen;0.51;0.17;3.97;0.081
294;Autobus-diesel;2006;Bebouwde kom;0.73;0.15;7.34;0.093
295;Autobus-diesel;2006;Buitenwegen;0.35;0.08;4.49;0.049
296;Autobus-diesel;2006;Autosnelwegen;0.22;0.06;3.21;0.038
297;Autobus-diesel;2007;Bebouwde kom;0.24;0.03;6.22;0.05
298;Autobus-diesel;2007;Buitenwegen;0.11;0.01;3.89;0.023
299;Autobus-diesel;2007;Autosnelwegen;0.07;0.01;2.84;0.016
300;Motortweewieler-benzine;Bouwjaargroep 1998 en ouder;Bebouwde kom;28.84;4.01;0.1;0.017
301;Motortweewieler-benzine;Bouwjaargroep 1998 en ouder;Buitenwegen;17.3;1.68;0.17;0.017
302;Motortweewieler-benzine;Bouwjaargroep 1998 en ouder;Autosnelwegen;28.12;1.44;0.42;0.017
303;Motortweewieler-benzine;1999;Bebouwde kom;17.04;2.21;0.13;0.016
304;Motortweewieler-benzine;1999;Buitenwegen;9.46;0.95;0.21;0.016
305;Motortweewieler-benzine;1999;Autosnelwegen;21.45;0.7;0.47;0.016
306;Motortweewieler-benzine;2000;Bebouwde kom;11.87;1.44;0.14;0.015
307;Motortweewieler-benzine;2000;Buitenwegen;6.07;0.66;0.22;0.015
308;Motortweewieler-benzine;2000;Autosnelwegen;18.65;0.42;0.49;0.015
309;Motortweewieler-benzine;2001;Bebouwde kom;11.87;1.44;0.14;0.015
310;Motortweewieler-benzine;2001;Buitenwegen;6.07;0.66;0.22;0.015
311;Motortweewieler-benzine;2001;Autosnelwegen;18.65;0.42;0.49;0.015
312;Motortweewieler-benzine;2002;Bebouwde kom;11.87;1.44;0.14;0.015
313;Motortweewieler-benzine;2002;Buitenwegen;6.07;0.66;0.22;0.015
314;Motortweewieler-benzine;2002;Autosnelwegen;18.65;0.42;0.49;0.015
315;Motortweewieler-benzine;2003;Bebouwde kom;11.87;1.44;0.14;0.015
316;Motortweewieler-benzine;2003;Buitenwegen;6.07;0.66;0.22;0.015
317;Motortweewieler-benzine;2003;Autosnelwegen;18.65;0.42;0.49;0.015
318;Motortweewieler-benzine;2004;Bebouwde kom;11.87;1.44;0.14;0.015
319;Motortweewieler-benzine;2004;Buitenwegen;6.07;0.66;0.22;0.015
320;Motortweewieler-benzine;2004;Autosnelwegen;18.65;0.42;0.49;0.015
321;Motortweewieler-benzine;2005;Bebouwde kom;11.87;1.44;0.14;0.015
322;Motortweewieler-benzine;2005;Buitenwegen;6.07;0.66;0.22;0.015
323;Motortweewieler-benzine;2005;Autosnelwegen;18.65;0.42;0.49;0.015
324;Motortweewieler-benzine;2006;Bebouwde kom;11.87;1.44;0.14;0.015
325;Motortweewieler-benzine;2006;Buitenwegen;6.07;0.66;0.22;0.015
326;Motortweewieler-benzine;2006;Autosnelwegen;18.65;0.42;0.49;0.015
327;Motortweewieler-benzine;2007;Bebouwde kom;11.87;1.44;0.14;0.015
328;Motortweewieler-benzine;2007;Buitenwegen;6.07;0.66;0.22;0.015
329;Motortweewieler-benzine;2007;Autosnelwegen;18.65;0.42;0.49;0.015
330;Bromfiets-benzine;Bouwjaargroep 1998 en ouder;Bebouwde kom;10.0;6.0;0.05;0.04
331;Bromfiets-benzine;Bouwjaargroep 1998 en ouder;Buitenwegen;10.0;6.0;0.05;0.04
332;Bromfiets-benzine;Bouwjaargroep 1998 en ouder;Autosnelwegen;;;;
333;Bromfiets-benzine;1999;Bebouwde kom;10.0;6.0;0.05;0.04
334;Bromfiets-benzine;1999;Buitenwegen;10.0;6.0;0.05;0.04
335;Bromfiets-benzine;1999;Autosnelwegen;;;;
336;Bromfiets-benzine;2000;Bebouwde kom;10.0;6.0;0.05;0.04
