ID;BedrijfstakEnKlassen;Bedrijfsgrootte;Perioden;TotaalWerknemersMetCursusOpleiding_1;MannenMetCursusOpleiding_2;VrouwenMetCursusOpleiding_3;k_15Tot25JaarMetCursusOpleiding_4;k_25Tot55JaarMetCursusOpleiding_5;k_55JaarEnOuderMetCursusOpleiding_6;VoorBedrijvenMetCursusOfOpleiding_7;WerknemersTotaal_8;WerknemersMannen_9;WerknemersVrouwen_10;Werknemers15Tot25Jaar_11;Werknemers25Tot55Jaar_12;Werknemers55JaarEnOuder_13;ParticipatieMannenBedrijvenMetOpl_14;ParticipatieVrouwenBedrMetOpl_15;Part15Tot25JaarBedrMetOpl_16;Part25Tot55JaarBedrMetOpl_17;Part55JaarEnOuderBedrMetOpl_18;GevolgdeCursussenOfOpleidingen_19;GevolgdeCursusOfOpleidingenMannen_20;GevolgdeCursusOfOpleidingenVrouwen_21;InterneCursussenOfOpleidingen_22;ExterneCursussenOfOpleidingen_23;PerWerknemer_24;PerWerknemerBedrMetCursusOfOpl_25;TotaalUrenBesteedAanCursussenOfOpl_26;GevolgdeOpleidingsurenMannen_27;GevolgdeOpleidingsurenVrouwen_28;GevolgdeInterneOpleidingsuren_29;GevolgdeExterneOpleidingsuren_30;PerWerknemerMetCursusOfOpleiding_31;PerMannelijkeWerknemerMetOpleiding_32;PerVrouwelijkeWerknemerMetOpleiding_33;PerGevolgdeCursusOfOpleiding_34;TotaalOpleidingsurenInWerktijd_35;OpleidingsurenMannenInWerktijd_36;OpleidingsurenVrouwenInWerktijd_37;GevolgdeInterneUren_38;GevolgdeExterneUren_39;AandeelInTotaalAantalOpleidingsuren_40;AandeelInGewerkteUren_41;TotaleKostenVanOpleidingen_42;VoorAlleBedrijven_43;VoorBedrijvenMetCursusOfOpleiding_44;VoorAlleBedrijven_45;VoorBedrijvenMetCursusOfOpleiding_46;KostenPerDeelnemerAanCursusOfOpl_47;KostenPerGevolgdeCursusOfOpleiding_48;KostenPerGevolgdOpleidingsuur_49;DirecteKosten_50;GederfdeLoonkosten_51;LoonkostenVanOpleidingspersoneel_52;DirecteKosten_53;GederfdeLoonkosten_54;LoonkostenVanOpleidingspersoneel_55;TotaalBedrijvenDieAanFondsBetalen_56;OOOfScholingsfondsen_57;OverigeCAOAfdrachten_58;BetalenAanOverheidsfondsen_59;BetalenAanAndereFondsen_60;TotaalBedrijvenDieSubsidiesOntvangen_61;OntvangenVanOOOfScholingsfondsen_62;OntvangenVanOverheidsfondsen_63;OntvangenVanBelastingaftrek_64;OntvangenVanEuropeseFondsen_65;PrivateInstellingen_66;TotaalAlleTypenBedrijfsopleidingen_67;CursussenOfOpleidingen_68;InterneCursussenOfOpleidingen_69;ExterneCursussenOfOpleidingen_70;OpleidingOpDeWerkplek_71;TotaalOverigeCursussenOfOpleidingen_72;JobRotationFunctieroulatie_73;KwaliteitscirkelsGeorganisGroepsdisc_74;Zelfstudie_75;ConferentiesWorkshopsEnLezingen_76
10;Totaal bedrijfstak -klassen;20-49 werknemers;1999;220.0;170.0;50.0;;;;44.0;37.0;41.0;28.0;;;;;;;;;406.0;318.0;88.0;111.0;295.0;68.0;81.0;9633.0;7719.0;1914.0;2660.0;6973.0;44.0;;;24.0;6810.0;5688.0;1122.0;2178.0;4632.0;71.0;0.7;326.0;1.7;2.0;549.0;655.0;1484.0;804.0;34.0;161.0;139.0;26.0;49.0;43.0;8.0;49.0;43.0;4.0;1.0;3.0;40.0;28.0;2.0;13.0;2.0;1.0;89.0;83.0;;;49.0;58.0;11.0;14.0;30.0;47.0
11;Totaal bedrijfstak -klassen;20-49 werknemers;2005;163.0;115.0;48.0;24.0;131.0;8.0;33.0;25.0;26.0;24.0;20.0;28.0;13.0;33.0;31.0;26.0;36.0;17.0;;;;;;;;5496.0;4314.0;1182.0;1468.0;4029.0;34.0;38.0;25.0;;;;;;;;;315.0;1.4;1.8;487.0;632.0;1933.0;;57.0;152.0;140.0;23.0;48.0;44.0;7.0;31.0;;;;;23.0;;;;;;75.0;70.0;23.0;65.0;31.0;44.0;11.0;8.0;16.0;38.0
12;Totaal bedrijfstak -klassen;50-99 werknemers;1993;63.0;49.0;14.0;;;;28.0;19.0;20.0;16.0;;;;;;;;;84.0;65.0;19.0;;;25.0;37.0;;;;;;;;;;;;;;;;;84.0;0.9;1.4;248.0;367.0;1332.0;993.0;;41.0;34.0;9.0;49.0;41.0;10.0;;;;;;;;;;;;74.0;66.0;;;30.0;67.0;;;;
13;Totaal bedrijfstak -klassen;50-99 werknemers;1999;159.0;124.0;36.0;;;;43.0;39.0;42.0;31.0;;;;;;;;;278.0;213.0;65.0;101.0;178.0;69.0;75.0;6901.0;5368.0;1533.0;1832.0;5069.0;43.0;;;25.0;4819.0;3737.0;1082.0;1365.0;3454.0;70.0;0.7;250.0;1.8;2.0;615.0;676.0;1568.0;898.0;36.0;125.0;97.0;27.0;50.0;39.0;11.0;51.0;46.0;5.0;0.0;3.0;47.0;32.0;1.0;18.0;3.0;3.0;95.0;91.0;;;60.0;74.0;18.0;17.0;38.0;63.0
14;Totaal bedrijfstak -klassen;50-99 werknemers;2005;124.0;87.0;37.0;18.0;99.0;7.0;33.0;29.0;30.0;26.0;22.0;32.0;17.0;35.0;31.0;27.0;37.0;20.0;;;;;;;;4707.0;3685.0;1022.0;1648.0;3059.0;38.0;42.0;27.0;;;;;;;;;245.0;1.6;1.9;561.0;658.0;1967.0;;52.0;114.0;111.0;20.0;47.0;45.0;8.0;35.0;;;;;30.0;;;;;;84.0;81.0;37.0;76.0;43.0;56.0;14.0;14.0;24.0;50.0
15;Totaal bedrijfstak -klassen;100-499 werknemers;1993;190.0;150.0;40.0;;;;31.0;27.0;29.0;21.0;;;;;;;;;281.0;225.0;56.0;;;40.0;46.0;10097.0;;;;;53.0;;;36.0;5705.0;;;;;57.0;0.5;278.0;1.3;1.5;396.0;458.0;1462.0;988.0;27.0;134.0;110.0;33.0;48.0;40.0;12.0;;;;;;;;;;;;87.0;84.0;;;38.0;81.0;;;;
16;Totaal bedrijfstak -klassen;100-499 werknemers;1999;354.0;269.0;85.0;;;;47.0;45.0;48.0;37.0;;;;;;;;;664.0;507.0;157.0;292.0;371.0;84.0;88.0;15824.0;12400.0;3424.0;5297.0;10526.0;45.0;;;24.0;11788.0;9322.0;2467.0;4527.0;7261.0;74.0;1.1;649.0;2.8;2.9;823.0;857.0;1832.0;977.0;41.0;333.0;242.0;74.0;51.0;37.0;11.0;47.0;44.0;4.0;0.0;2.0;53.0;33.0;3.0;26.0;6.0;3.0;97.0;95.0;;;72.0;84.0;32.0;25.0;52.0;77.0
17;Totaal bedrijfstak -klassen;100-499 werknemers;2005;283.0;212.0;71.0;27.0;236.0;21.0;39.0;36.0;39.0;29.0;28.0;39.0;23.0;41.0;34.0;33.0;42.0;25.0;;;;;;;;9481.0;7070.0;2411.0;3080.0;6402.0;34.0;33.0;34.0;;;;;;;;;676.0;2.1;2.2;852.0;935.0;2390.0;;71.0;335.0;294.0;47.0;50.0;44.0;7.0;31.0;;;;;30.0;;;;;;94.0;91.0;49.0;87.0;52.0;67.0;24.0;19.0;33.0;60.0
18;Totaal bedrijfstak -klassen;100-199 werknemers;1993;75.0;60.0;15.0;;;;29.0;24.0;26.0;18.0;;;;;;;;;108.0;86.0;21.0;;;34.0;42.0;;;;;;;;;;;;;;;;;112.0;1.2;1.4;353.0;441.0;1495.0;1037.0;;53.0;45.0;14.0;48.0;40.0;12.0;;;;;;;;;;;;84.0;79.0;;;37.0;79.0;;;;
19;Totaal bedrijfstak -klassen;100-199 werknemers;1999;155.0;119.0;36.0;;;;45.0;43.0;46.0;36.0;;;;;;;;;274.0;211.0;63.0;115.0;159.0;76.0;80.0;6970.0;5521.0;1449.0;2299.0;4671.0;45.0;;;25.0;5142.0;4106.0;1036.0;2080.0;3062.0;74.0;1.1;289.0;2.7;2.9;803.0;846.0;1866.0;1055.0;41.0;139.0;106.0;44.0;48.0;37.0;15.0;46.0;44.0;3.0;0.0;1.0;51.0;32.0;2.0;23.0;5.0;3.0;97.0;94.0;;;70.0;82.0;28.0;25.0;49.0;74.0
20;Totaal bedrijfstak -klassen;100-199 werknemers;2005;119.0;89.0;30.0;12.0;99.0;8.0;36.0;33.0;36.0;27.0;26.0;37.0;19.0;38.0;32.0;31.0;40.0;21.0;;;;;;;;4139.0;3082.0;1057.0;1039.0;3100.0;35.0;35.0;36.0;;;;;;;;;269.0;1.9;2.1;753.0;826.0;2269.0;;65.0;136.0;124.0;9.0;51.0;46.0;3.0;33.0;;;;;32.0;;;;;;93.0;90.0;46.0;87.0;52.0;66.0;22.0;19.0;29.0;58.0
21;Totaal bedrijfstak -klassen;200-499 werknemers;1993;115.0;90.0;25.0;;;;33.0;30.0;33.0;23.0;;;;;;;;;174.0;138.0;35.0;;;45.0;49.0;;;;;;;;;;;;;;;;;166.0;1.4;1.6;432.0;471.0;1440.0;957.0;;81.0;65.0;20.0;49.0;39.0;12.0;;;;;;;;;;;;93.0;91.0;;;40.0;84.0;;;;
22;Totaal bedrijfstak -klassen;200-499 werknemers;1999;199.0;149.0;50.0;;;;48.0;46.0;50.0;39.0;;;;;;;;;390.0;296.0;94.0;177.0;212.0;91.0;94.0;8853.0;6879.0;1975.0;2998.0;5855.0;44.0;;;23.0;6646.0;5215.0;1430.0;2447.0;4198.0;75.0;1.1;360.0;2.9;3.0;839.0;865.0;1805.0;923.0;41.0;194.0;136.0;30.0;54.0;38.0;8.0;49.0;43.0;4.0;1.0;3.0;57.0;33.0;4.0;31.0;8.0;4.0;98.0;97.0;;;76.0;88.0;39.0;26.0;58.0;82.0
23;Totaal bedrijfstak -klassen;200-499 werknemers;2005;164.0;124.0;41.0;15.0;137.0;13.0;41.0;38.0;41.0;30.0;30.0;41.0;26.0;44.0;36.0;36.0;44.0;28.0;;;;;;;;5343.0;3988.0;1355.0;2041.0;3302.0;32.0;32.0;33.0;;;;;;;;;407.0;2.2;2.2;933.0;1024.0;2477.0;;76.0;199.0;170.0;38.0;49.0;42.0;9.0;27.0;;;;;26.0;;;;;;95.0;92.0;54.0;88.0;54.0;68.0;26.0;17.0;40.0;63.0
24;Totaal bedrijfstak -klassen;500 en meer werknemers;1993;479.0;326.0;153.0;;;;36.0;36.0;38.0;33.0;;;;;;;;;685.0;471.0;214.0;;;52.0;52.0;19812.0;;;;;41.0;;;29.0;13540.0;;;;;68.0;0.7;1056.0;3.0;3.0;795.0;796.0;2206.0;1542.0;53.0;404.0;466.0;186.0;38.0;44.0;18.0;;;;;;;;;;;;100.0;100.0;;;62.0;87.0;;;;
25;Totaal bedrijfstak -klassen;500 en meer werknemers;1999;661.0;428.0;234.0;;;;43.0;42.0;46.0;37.0;;;;;;;;;1227.0;793.0;435.0;694.0;533.0;79.0;79.0;33554.0;21248.0;12306.0;17602.0;15952.0;51.0;;;27.0;28911.0;18554.0;10358.0;16070.0;12841.0;86.0;1.3;1592.0;3.8;3.8;1021.0;1024.0;2407.0;1297.0;47.0;810.0;579.0;203.0;51.0;36.0;13.0;37.0;29.0;6.0;1.0;5.0;61.0;22.0;5.0;43.0;11.0;4.0;100.0;99.0;;;80.0;90.0;39.0;36.0;64.0;84.0
26;Totaal bedrijfstak -klassen;500 en meer werknemers;2005;633.0;416.0;217.0;81.0;498.0;54.0;46.0;45.0;48.0;39.0;31.0;49.0;36.0;49.0;40.0;32.0;51.0;38.0;;;;;;;;23584.0;15672.0;7912.0;13058.0;10526.0;37.0;38.0;36.0;;;;;;;;;1667.0;3.1;3.2;1179.0;1209.0;2631.0;;71.0;816.0;724.0;127.0;49.0;43.0;8.0;22.0;;;;;33.0;;;;;;97.0;96.0;76.0;92.0;59.0;71.0;31.0;24.0;46.0;61.0
27;Totaal bedrijfstak -klassen;500-999 werknemers;1993;76.0;58.0;17.0;;;;30.0;30.0;32.0;24.0;;;;;;;;;116.0;91.0;25.0;;;45.0;45.0;;;;;;;;;;;;;;;;;133.0;1.8;1.8;521.0;523.0;1765.0;1151.0;;56.0;55.0;23.0;42.0;41.0;17.0;;;;;;;;;;;;100.0;100.0;;;56.0;84.0;;;;
28;Totaal bedrijfstak -klassen;500-999 werknemers;1999;115.0;88.0;27.0;;;;44.0;44.0;46.0;38.0;;;;;;;;;212.0;162.0;50.0;107.0;106.0;80.0;82.0;5012.0;3814.0;1198.0;2239.0;2773.0;44.0;;;24.0;4072.0;3189.0;883.0;1964.0;2108.0;81.0;1.1;242.0;3.1;3.1;918.0;933.0;2111.0;1143.0;48.0;125.0;89.0;29.0;51.0;37.0;12.0;41.0;33.0;8.0;1.0;3.0;57.0;26.0;3.0;39.0;13.0;3.0;99.0;98.0;;;79.0;89.0;39.0;36.0;63.0;84.0
29;Totaal bedrijfstak -klassen;500-999 werknemers;2005;145.0;104.0;41.0;17.0;114.0;14.0;46.0;44.0;48.0;36.0;40.0;46.0;34.0;49.0;39.0;43.0;48.0;35.0;;;;;;;;4016.0;3023.0;993.0;1372.0;2644.0;28.0;29.0;24.0;;;;;;;;;333.0;2.5;2.6;1004.0;1046.0;2296.0;;83.0;169.0;137.0;26.0;51.0;41.0;8.0;21.0;;;;;29.0;;;;;;97.0;96.0;72.0;91.0;59.0;70.0;32.0;24.0;48.0;62.0
30;Totaal bedrijfstak -klassen;1000 en meer werknemers;1993;403.0;267.0;136.0;;;;38.0;38.0;40.0;34.0;;;;;;;;;569.0;380.0;189.0;;;53.0;53.0;;;;;;;;;;;;;;;;;923.0;3.3;3.3;860.0;860.0;2289.0;1621.0;;349.0;411.0;163.0;38.0;45.0;18.0;;;;;;;;;;;;100.0;100.0;;;69.0;89.0;;;;
31;Totaal bedrijfstak -klassen;1000 en meer werknemers;1999;546.0;340.0;206.0;;;;42.0;42.0;46.0;37.0;;;;;;;;;1015.0;631.0;385.0;588.0;427.0;78.0;78.0;28542.0;17434.0;11108.0;15364.0;13178.0;52.0;;;28.0;24839.0;15365.0;9474.0;14106.0;10733.0;87.0;1.4;1349.0;4.0;4.0;1042.0;1042.0;2470.0;1329.0;47.0;685.0;491.0;173.0;51.0;36.0;13.0;33.0;25.0;4.0;1.0;6.0;66.0;18.0;8.0;48.0;9.0;5.0;100.0;100.0;;;82.0;91.0;40.0;36.0;66.0;83.0
32;Totaal bedrijfstak -klassen;1000 en meer werknemers;2005;488.0;312.0;176.0;64.0;384.0;41.0;46.0;45.0;49.0;40.0;30.0;51.0;37.0;50.0;41.0;30.0;52.0;39.0;;;;;;;;19568.0;12648.0;6919.0;11686.0;7882.0;40.0;41.0;39.0;;;;;;;;;1334.0;3.3;3.4;1233.0;1258.0;2730.0;;68.0;647.0;587.0;100.0;48.0;44.0;8.0;24.0;;;;;37.0;;;;;;97.0;97.0;80.0;93.0;60.0;71.0;31.0;24.0;44.0;61.0
33;10-14 Delfstoffenwinning;Totaal bedrijfsgrootte;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.0;44.0;;;12.0;42.0;;;;
34;10-14 Delfstoffenwinning;Totaal bedrijfsgrootte;1999;5.0;5.0;1.0;;;;63.0;60.0;62.0;49.0;;;;;;;;;9.0;8.0;1.0;3.0;6.0;102.0;107.0;180.0;164.0;16.0;51.0;129.0;34.0;;;20.0;160.0;147.0;13.0;46.0;114.0;89.0;1.1;16.0;3.2;3.3;1879.0;1962.0;3126.0;1836.0;91.0;11.0;5.0;1.0;64.0;29.0;7.0;20.0;20.0;1.0;0.0;0.0;24.0;14.0;0.0;7.0;1.0;4.0;82.0;79.0;;;42.0;51.0;18.0;12.0;29.0;42.0
35;10-14 Delfstoffenwinning;Totaal bedrijfsgrootte;2005;5.0;5.0;1.0;0.0;5.0;1.0;64.0;61.0;61.0;60.0;54.0;62.0;52.0;64.0;63.0;61.0;65.0;57.0;;;;;;;;281.0;232.0;49.0;116.0;165.0;51.0;50.0;62.0;;;;;;;;;34.0;4.5;4.6;3739.0;3925.0;6173.0;;120.0;18.0;15.0;1.0;53.0;44.0;2.0;17.0;;;;;9.0;;;;;;84.0;84.0;27.0;81.0;34.0;45.0;13.0;23.0;26.0;44.0
36;10-14 Delfstoffenwinning;10-99 werknemers;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0;37.0;;;7.0;38.0;;;;
37;10-14 Delfstoffenwinning;10-99 werknemers;1999;1.0;1.0;0.0;;;;50.0;41.0;42.0;39.0;;;;;;;;;2.0;1.0;0.0;1.0;1.0;76.0;92.0;30.0;26.0;3.0;11.0;18.0;34.0;;;18.0;21.0;18.0;2.0;8.0;12.0;70.0;0.6;2.0;1.4;1.7;751.0;909.0;1821.0;991.0;54.0;1.0;1.0;0.0;61.0;34.0;5.0;16.0;;;;;27.0;;;;;;78.0;74.0;;;35.0;41.0;16.0;9.0;16.0;34.0
38;10-14 Delfstoffenwinning;10-99 werknemers;2005;1.0;1.0;0.0;0.0;1.0;0.0;40.0;33.0;33.0;36.0;22.0;38.0;16.0;40.0;42.0;31.0;44.0;22.0;;;;;;;;111.0;91.0;20.0;83.0;28.0;147.0;144.0;161.0;;;;;;;;;8.0;6.1;6.9;3546.0;4325.0;10701.0;;73.0;2.0;6.0;0.0;28.0;71.0;1.0;17.0;;;;;6.0;;;;;;82.0;82.0;22.0;78.0;31.0;43.0;8.0;20.0;23.0;42.0
39;10-14 Delfstoffenwinning;10-19 werknemers;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;10-14 Delfstoffenwinning;10-19 werknemers;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;10-14 Delfstoffenwinning;10-19 werknemers;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;10-14 Delfstoffenwinning;20-49 werknemers;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;10-14 Delfstoffenwinning;20-49 werknemers;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;10-14 Delfstoffenwinning;20-49 werknemers;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;10-14 Delfstoffenwinning;50-99 werknemers;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;10-14 Delfstoffenwinning;50-99 werknemers;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;10-14 Delfstoffenwinning;50-99 werknemers;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;10-14 Delfstoffenwinning;100-499 werknemers;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.0;100.0;;;44.0;67.0;;;;
