ID;SectorBranchesSIC2008;Margins;SeasonalAdjustment;Periods;TurnoverLast3Months_1;TurnoverNext3Months_2;SellingPricesRatesNext3Months_3;PurchaseOrdersNext3Months_4;WorkforceLast3Months_5;WorkforceNext3Months_6;InvestmentsCurrentYear_7;BusinessClimateLast3Months_8;BusinessClimateNext3Months_9;ProfitabilityLast3Months_10
72;All enterprises (no finance or energy);Value;Original, unadjusted data;2018 January;30.2;12.2;26.4;11.9;16.0;15.3;10.3;19.3;13.7;17.1
73;All enterprises (no finance or energy);Value;Original, unadjusted data;2018 February;;;;;;;;;;
74;All enterprises (no finance or energy);Value;Original, unadjusted data;2018 March;;;;;;;;;;
75;All enterprises (no finance or energy);Value;Original, unadjusted data;2018 April;10.6;30.2;11.4;17.7;14.0;20.2;11.9;13.7;14.9;5.9
76;All enterprises (no finance or energy);Value;Original, unadjusted data;2018 May;;;;;;;;;;
77;All enterprises (no finance or energy);Value;Original, unadjusted data;2018 June;;;;;;;;;;
78;All enterprises (no finance or energy);Value;Original, unadjusted data;2018 July;25.6;10.4;12.5;7.0;19.0;17.2;10.9;13.8;9.0;11.6
79;All enterprises (no finance or energy);Value;Original, unadjusted data;2018 August;;;;;;;;;;
80;All enterprises (no finance or energy);Value;Original, unadjusted data;2018 September;;;;;;;;;;
81;All enterprises (no finance or energy);Value;Original, unadjusted data;2018 October;9.4;25.1;15.5;13.0;14.7;14.7;12.1;7.3;9.5;2.3
82;All enterprises (no finance or energy);Value;Original, unadjusted data;2018 November;;;;;;;;;;
83;All enterprises (no finance or energy);Value;Original, unadjusted data;2018 December;;;;;;;;;;
84;All enterprises (no finance or energy);Value;Original, unadjusted data;2019 January;22.7;8.4;32.0;6.7;12.5;11.8;7.9;5.7;2.2;9.1
85;All enterprises (no finance or energy);Value;Original, unadjusted data;2019 February;;;;;;;;;;
86;All enterprises (no finance or energy);Value;Original, unadjusted data;2019 March;;;;;;;;;;
87;All enterprises (no finance or energy);Value;Original, unadjusted data;2019 April;8.6;26.5;10.9;13.2;11.5;17.9;8.9;1.4;5.7;3.2
88;All enterprises (no finance or energy);Value;Original, unadjusted data;2019 May;;;;;;;;;;
89;All enterprises (no finance or energy);Value;Original, unadjusted data;2019 June;;;;;;;;;;
90;All enterprises (no finance or energy);Value;Original, unadjusted data;2019 July;23.1;5.6;7.6;3.2;12.5;11.4;7.7;2.3;1.0;7.4
91;All enterprises (no finance or energy);Value;Original, unadjusted data;2019 August;;;;;;;;;;
92;All enterprises (no finance or energy);Value;Original, unadjusted data;2019 September;;;;;;;;;;
93;All enterprises (no finance or energy);Value;Original, unadjusted data;2019 October;4.6;15.7;10.5;5.6;7.3;7.8;5.5;-4.9;-3.7;-0.9
94;All enterprises (no finance or energy);Value;Original, unadjusted data;2019 November;;;;;;;;;;
95;All enterprises (no finance or energy);Value;Original, unadjusted data;2019 December;;;;;;;;;;
96;All enterprises (no finance or energy);Value;Original, unadjusted data;2020 January;17.8;2.0;26.4;4.3;7.2;9.5;4.8;-0.4;-0.8;5.7
97;All enterprises (no finance or energy);Value;Original, unadjusted data;2020 February;;;;;;;;;;
98;All enterprises (no finance or energy);Value;Original, unadjusted data;2020 March;;;;;;;;;;
99;All enterprises (no finance or energy);Value;Original, unadjusted data;2020 April;-18.2;-55.0;-7.2;-48.9;-5.5;-23.6;-36.2;-34.6;-65.0;-27.8
100;All enterprises (no finance or energy);Value;Original, unadjusted data;2020 May;;;;;;;;;;
101;All enterprises (no finance or energy);Value;Original, unadjusted data;2020 June;;;;;;;;;;
102;All enterprises (no finance or energy);Value;Original, unadjusted data;2020 July;-25.1;1.2;0.4;-3.8;-15.7;-3.9;-23.5;-39.0;-4.3;-34.9
103;All enterprises (no finance or energy);Value;Original, unadjusted data;2020 August;;;;;;;;;;
104;All enterprises (no finance or energy);Value;Original, unadjusted data;2020 September;;;;;;;;;;
105;All enterprises (no finance or energy);Value;Original, unadjusted data;2020 October;0.3;-0.8;3.3;-5.1;-7.8;-7.2;-15.9;-12.9;-19.0;-10.5
106;All enterprises (no finance or energy);Value;Original, unadjusted data;2020 November;;;;;;;;;;
107;All enterprises (no finance or energy);Value;Original, unadjusted data;2020 December;;;;;;;;;;
108;All enterprises (no finance or energy);Value;Original, unadjusted data;2021 January;7.8;-10.7;16.5;-8.6;-5.6;0.2;-7.6;-13.2;-9.0;-5.7
109;All enterprises (no finance or energy);Value;Original, unadjusted data;2021 February;;;;;;;;;;
110;All enterprises (no finance or energy);Value;Original, unadjusted data;2021 March;;;;;;;;;;
111;All enterprises (no finance or energy);Value;Original, unadjusted data;2021 April;-1.0;18.9;13.8;12.9;0.7;12.9;1.8;-6.7;9.6;-6.0
112;All enterprises (no finance or energy);Value;Original, unadjusted data;2021 May;;;;;;;;;;
113;All enterprises (no finance or energy);Value;Original, unadjusted data;2021 June;;;;;;;;;;
114;All enterprises (no finance or energy);Value;Original, unadjusted data;2021 July;28.9;12.2;21.3;12.1;10.5;19.1;11.0;15.2;12.6;13.1
115;All enterprises (no finance or energy);Value;Original, unadjusted data;2021 August;;;;;;;;;;
116;All enterprises (no finance or energy);Value;Original, unadjusted data;2021 September;;;;;;;;;;
117;All enterprises (no finance or energy);Value;Original, unadjusted data;2021 October;14.7;25.1;32.7;17.2;11.3;21.5;9.4;13.9;12.4;9.5
118;All enterprises (no finance or energy);Value;Original, unadjusted data;2021 November;;;;;;;;;;
119;All enterprises (no finance or energy);Value;Original, unadjusted data;2021 December;;;;;;;;;;
120;All enterprises (no finance or energy);Value;Original, unadjusted data;2022 January;18.7;-2.1;44.1;5.3;10.2;16.9;8.4;-0.6;-0.5;3.8
121;All enterprises (no finance or energy);Value;Original, unadjusted data;2022 February;;;;;;;;;;
122;All enterprises (no finance or energy);Value;Original, unadjusted data;2022 March;;;;;;;;;;
123;All enterprises (no finance or energy);Value;Original, unadjusted data;2022 April;11.6;28.2;43.7;18.5;11.0;23.6;11.2;-7.7;-4.6;-4.1
124;All enterprises (no finance or energy);Value;Original, unadjusted data;2022 May;;;;;;;;;;
125;All enterprises (no finance or energy);Value;Original, unadjusted data;2022 June;;;;;;;;;;
126;All enterprises (no finance or energy);Value;Original, unadjusted data;2022 July;25.7;2.6;34.6;4.7;9.2;16.5;7.8;-9.2;-10.7;-0.1
127;All enterprises (no finance or energy);Value;Original, unadjusted data;2022 August;;;;;;;;;;
128;All enterprises (no finance or energy);Value;Original, unadjusted data;2022 September;;;;;;;;;;
129;All enterprises (no finance or energy);Value;Original, unadjusted data;2022 October;3.5;11.9;44.9;3.8;7.3;10.7;3.1;-20.7;-22.7;-14.7
130;All enterprises (no finance or energy);Value;Original, unadjusted data;2022 November;;;;;;;;;;
131;All enterprises (no finance or energy);Value;Original, unadjusted data;2022 December;;;;;;;;;;
132;All enterprises (no finance or energy);Value;Original, unadjusted data;2023 January;23.2;-2.0;51.6;2.7;7.2;14.2;3.7;-11.9;-12.6;-4.9
133;All enterprises (no finance or energy);Value;Original, unadjusted data;2023 February;;;;;;;;;;
134;All enterprises (no finance or energy);Value;Original, unadjusted data;2023 March;;;;;;;;;;
135;All enterprises (no finance or energy);Value;Original, unadjusted data;2023 April;6.8;21.4;19.2;9.9;6.2;17.5;6.8;-9.1;-1.5;-6.2
136;All enterprises (no finance or energy);Value;Original, unadjusted data;2023 May;;;;;;;;;;
137;All enterprises (no finance or energy);Value;Original, unadjusted data;2023 June;;;;;;;;;;
138;All enterprises (no finance or energy);Value;Original, unadjusted data;2023 July;16.9;-1.6;9.6;-2.0;5.9;8.9;1.6;-5.9;-6.9;0.5
139;All enterprises (no finance or energy);Value;Original, unadjusted data;2023 August;;;;;;;;;;
140;All enterprises (no finance or energy);Value;Original, unadjusted data;2023 September;;;;;;;;;;
141;All enterprises (no finance or energy);Value;Original, unadjusted data;2023 October;-4.6;14.2;16.4;3.1;2.4;6.1;5.8;-12.4;-8.0;-7.1
142;All enterprises (no finance or energy);Value;Original, unadjusted data;2023 November;;;;;;;;;;
143;All enterprises (no finance or energy);Value;Original, unadjusted data;2023 December;;;;;;;;;;
144;All enterprises (no finance or energy);Value;Original, unadjusted data;2024 January;16.2;-5.3;33.1;-1.5;3.3;8.3;1.1;-8.6;-6.3;-0.3
145;All enterprises (no finance or energy);Value;Original, unadjusted data;2024 February;;;;;;;;;;
146;All enterprises (no finance or energy);Value;Original, unadjusted data;2024 March;;;;;;;;;;
147;All enterprises (no finance or energy);Value;Original, unadjusted data;2024 April;-1.0;19.1;11.1;10.0;3.2;11.7;0.8;-10.5;1.9;-8.4
148;All enterprises (no finance or energy);Value;Original, unadjusted data;2024 May;;;;;;;;;;
149;All enterprises (no finance or energy);Value;Original, unadjusted data;2024 June;;;;;;;;;;
150;All enterprises (no finance or energy);Value;Original, unadjusted data;2024 July;15.2;-0.2;10.8;-1.7;1.3;7.0;-0.2;-3.3;-2.0;4.1
151;All enterprises (no finance or energy);Value;Original, unadjusted data;2024 August;;;;;;;;;;
152;All enterprises (no finance or energy);Value;Original, unadjusted data;2024 September;;;;;;;;;;
153;All enterprises (no finance or energy);Value;Original, unadjusted data;2024 October;-2.2;16.9;15.4;5.9;2.0;5.5;-0.1;-7.5;-1.9;-4.1
154;All enterprises (no finance or energy);Value;Original, unadjusted data;2024 November;;;;;;;;;;
155;All enterprises (no finance or energy);Value;Original, unadjusted data;2024 December;;;;;;;;;;
156;All enterprises (no finance or energy);Value;Original, unadjusted data;2025 January;19.8;-1.5;35.6;1.3;0.3;10.1;3.7;-7.0;-4.4;3.1
157;All enterprises (no finance or energy);Value;Original, unadjusted data;2025 February;;;;;;;;;;
158;All enterprises (no finance or energy);Value;Original, unadjusted data;2025 March;;;;;;;;;;
159;All enterprises (no finance or energy);Value;Seasonally adjusted data;2012 January;-4.8;1.1;6.0;-8.9;-6.7;-8.7;-7.4;-28.7;-21.7;-16.8
160;All enterprises (no finance or energy);Value;Seasonally adjusted data;2012 February;;;;;;;;;;
161;All enterprises (no finance or energy);Value;Seasonally adjusted data;2012 March;;;;;;;;;;
162;All enterprises (no finance or energy);Value;Seasonally adjusted data;2012 April;-4.6;-1.8;5.1;-6.8;-10.2;-11.5;-7.1;-29.1;-16.5;-15.8
163;All enterprises (no finance or energy);Value;Seasonally adjusted data;2012 May;;;;;;;;;;
164;All enterprises (no finance or energy);Value;Seasonally adjusted data;2012 June;;;;;;;;;;
165;All enterprises (no finance or energy);Value;Seasonally adjusted data;2012 July;-1.5;-2.3;3.2;-10.6;-11.9;-14.8;-9.8;-28.6;-20.9;-23.0
166;All enterprises (no finance or energy);Value;Seasonally adjusted data;2012 August;;;;;;;;;;
167;All enterprises (no finance or energy);Value;Seasonally adjusted data;2012 September;;;;;;;;;;
168;All enterprises (no finance or energy);Value;Seasonally adjusted data;2012 October;-6.2;-5.0;8.0;-11.3;-13.8;-15.3;-10.1;-27.8;-20.4;-22.0
169;All enterprises (no finance or energy);Value;Seasonally adjusted data;2012 November;;;;;;;;;;
170;All enterprises (no finance or energy);Value;Seasonally adjusted data;2012 December;;;;;;;;;;
171;All enterprises (no finance or energy);Value;Seasonally adjusted data;2013 January;-11.3;-5.2;3.8;-10.8;-19.3;-17.1;-19.3;-31.9;-23.2;-21.5
172;All enterprises (no finance or energy);Value;Seasonally adjusted data;2013 February;;;;;;;;;;
173;All enterprises (no finance or energy);Value;Seasonally adjusted data;2013 March;;;;;;;;;;
174;All enterprises (no finance or energy);Value;Seasonally adjusted data;2013 April;-13.8;-3.0;0.8;-10.4;-18.3;-16.2;-13.0;-33.0;-19.3;-26.6
175;All enterprises (no finance or energy);Value;Seasonally adjusted data;2013 May;;;;;;;;;;
176;All enterprises (no finance or energy);Value;Seasonally adjusted data;2013 June;;;;;;;;;;
177;All enterprises (no finance or energy);Value;Seasonally adjusted data;2013 July;-5.1;-1.8;1.4;-6.7;-15.6;-14.1;-19.6;-23.9;-14.1;-15.4
178;All enterprises (no finance or energy);Value;Seasonally adjusted data;2013 August;;;;;;;;;;
179;All enterprises (no finance or energy);Value;Seasonally adjusted data;2013 September;;;;;;;;;;
180;All enterprises (no finance or energy);Value;Seasonally adjusted data;2013 October;1.5;3.4;1.0;-4.3;-14.1;-13.6;-12.7;-13.5;-7.7;-9.7
181;All enterprises (no finance or energy);Value;Seasonally adjusted data;2013 November;;;;;;;;;;
182;All enterprises (no finance or energy);Value;Seasonally adjusted data;2013 December;;;;;;;;;;
183;All enterprises (no finance or energy);Value;Seasonally adjusted data;2014 January;3.0;4.4;3.4;-2.6;-9.6;-11.2;-5.5;-6.2;2.3;-5.6
184;All enterprises (no finance or energy);Value;Seasonally adjusted data;2014 February;;;;;;;;;;
185;All enterprises (no finance or energy);Value;Seasonally adjusted data;2014 March;;;;;;;;;;
186;All enterprises (no finance or energy);Value;Seasonally adjusted data;2014 April;6.5;8.1;4.7;1.7;-6.1;-6.2;-2.1;-0.2;4.7;-1.3
187;All enterprises (no finance or energy);Value;Seasonally adjusted data;2014 May;;;;;;;;;;
188;All enterprises (no finance or energy);Value;Seasonally adjusted data;2014 June;;;;;;;;;;
189;All enterprises (no finance or energy);Value;Seasonally adjusted data;2014 July;4.5;7.3;3.0;1.4;-3.3;-5.4;-2.2;-2.3;3.9;-3.2
190;All enterprises (no finance or energy);Value;Seasonally adjusted data;2014 August;;;;;;;;;;
191;All enterprises (no finance or energy);Value;Seasonally adjusted data;2014 September;;;;;;;;;;
192;All enterprises (no finance or energy);Value;Seasonally adjusted data;2014 October;8.1;9.4;3.2;2.1;-0.8;-4.7;1.7;-2.5;3.0;-3.7
193;All enterprises (no finance or energy);Value;Seasonally adjusted data;2014 November;;;;;;;;;;
194;All enterprises (no finance or energy);Value;Seasonally adjusted data;2014 December;;;;;;;;;;
195;All enterprises (no finance or energy);Value;Seasonally adjusted data;2015 January;10.6;8.4;1.5;2.5;-2.2;-4.3;2.2;0.3;4.1;-0.6
196;All enterprises (no finance or energy);Value;Seasonally adjusted data;2015 February;;;;;;;;;;
197;All enterprises (no finance or energy);Value;Seasonally adjusted data;2015 March;;;;;;;;;;
198;All enterprises (no finance or energy);Value;Seasonally adjusted data;2015 April;12.3;10.7;5.6;5.3;-1.7;-1.3;1.4;4.8;5.1;0.7
199;All enterprises (no finance or energy);Value;Seasonally adjusted data;2015 May;;;;;;;;;;
200;All enterprises (no finance or energy);Value;Seasonally adjusted data;2015 June;;;;;;;;;;
201;All enterprises (no finance or energy);Value;Seasonally adjusted data;2015 July;15.5;11.9;8.2;6.4;0.6;1.0;4.0;7.5;7.5;5.2
202;All enterprises (no finance or energy);Value;Seasonally adjusted data;2015 August;;;;;;;;;;
203;All enterprises (no finance or energy);Value;Seasonally adjusted data;2015 September;;;;;;;;;;
204;All enterprises (no finance or energy);Value;Seasonally adjusted data;2015 October;11.7;12.8;8.4;7.3;3.2;4.2;7.3;7.1;8.7;4.9
205;All enterprises (no finance or energy);Value;Seasonally adjusted data;2015 November;;;;;;;;;;
206;All enterprises (no finance or energy);Value;Seasonally adjusted data;2015 December;;;;;;;;;;
207;All enterprises (no finance or energy);Value;Seasonally adjusted data;2016 January;15.6;12.9;5.9;6.8;4.4;2.4;7.6;8.4;9.1;6.5
208;All enterprises (no finance or energy);Value;Seasonally adjusted data;2016 February;;;;;;;;;;
209;All enterprises (no finance or energy);Value;Seasonally adjusted data;2016 March;;;;;;;;;;
210;All enterprises (no finance or energy);Value;Seasonally adjusted data;2016 April;13.7;13.8;8.1;6.5;4.4;3.8;6.7;6.2;5.1;5.9
211;All enterprises (no finance or energy);Value;Seasonally adjusted data;2016 May;;;;;;;;;;
212;All enterprises (no finance or energy);Value;Seasonally adjusted data;2016 June;;;;;;;;;;
213;All enterprises (no finance or energy);Value;Seasonally adjusted data;2016 July;11.3;15.5;8.4;8.8;7.2;4.5;10.0;5.4;5.8;4.9
214;All enterprises (no finance or energy);Value;Seasonally adjusted data;2016 August;;;;;;;;;;
215;All enterprises (no finance or energy);Value;Seasonally adjusted data;2016 September;;;;;;;;;;
216;All enterprises (no finance or energy);Value;Seasonally adjusted data;2016 October;15.6;16.5;8.8;10.9;9.6;6.7;11.9;9.0;9.7;7.9
217;All enterprises (no finance or energy);Value;Seasonally adjusted data;2016 November;;;;;;;;;;
218;All enterprises (no finance or energy);Value;Seasonally adjusted data;2016 December;;;;;;;;;;
219;All enterprises (no finance or energy);Value;Seasonally adjusted data;2017 January;20.1;17.7;9.0;10.6;11.1;9.0;10.2;15.0;13.6;10.1
220;All enterprises (no finance or energy);Value;Seasonally adjusted data;2017 February;;;;;;;;;;
221;All enterprises (no finance or energy);Value;Seasonally adjusted data;2017 March;;;;;;;;;;
222;All enterprises (no finance or energy);Value;Seasonally adjusted data;2017 April;23.0;18.2;11.0;11.6;10.9;10.7;9.3;15.0;11.8;10.9
223;All enterprises (no finance or energy);Value;Seasonally adjusted data;2017 May;;;;;;;;;;
224;All enterprises (no finance or energy);Value;Seasonally adjusted data;2017 June;;;;;;;;;;
225;All enterprises (no finance or energy);Value;Seasonally adjusted data;2017 July;18.9;19.3;13.1;12.4;13.7;13.7;11.0;13.9;11.0;8.8
226;All enterprises (no finance or energy);Value;Seasonally adjusted data;2017 August;;;;;;;;;;
227;All enterprises (no finance or energy);Value;Seasonally adjusted data;2017 September;;;;;;;;;;
228;All enterprises (no finance or energy);Value;Seasonally adjusted data;2017 October;18.7;21.0;14.9;15.5;13.6;15.7;10.3;14.8;13.9;11.5
229;All enterprises (no finance or energy);Value;Seasonally adjusted data;2017 November;;;;;;;;;;
230;All enterprises (no finance or energy);Value;Seasonally adjusted data;2017 December;;;;;;;;;;
231;All enterprises (no finance or energy);Value;Seasonally adjusted data;2018 January;21.3;22.0;15.4;15.4;17.2;16.2;10.1;17.9;15.1;12.6
232;All enterprises (no finance or energy);Value;Seasonally adjusted data;2018 February;;;;;;;;;;
233;All enterprises (no finance or energy);Value;Seasonally adjusted data;2018 March;;;;;;;;;;
234;All enterprises (no finance or energy);Value;Seasonally adjusted data;2018 April;17.8;20.1;14.3;12.9;14.6;15.4;11.1;14.4;11.2;9.4
235;All enterprises (no finance or energy);Value;Seasonally adjusted data;2018 May;;;;;;;;;;
236;All enterprises (no finance or energy);Value;Seasonally adjusted data;2018 June;;;;;;;;;;
237;All enterprises (no finance or energy);Value;Seasonally adjusted data;2018 July;18.1;18.6;16.5;11.3;16.9;16.8;11.3;12.0;10.1;9.2
238;All enterprises (no finance or energy);Value;Seasonally adjusted data;2018 August;;;;;;;;;;
239;All enterprises (no finance or energy);Value;Seasonally adjusted data;2018 September;;;;;;;;;;
240;All enterprises (no finance or energy);Value;Seasonally adjusted data;2018 October;17.7;19.6;15.9;12.3;14.6;16.6;12.7;8.0;9.7;5.8
241;All enterprises (no finance or energy);Value;Seasonally adjusted data;2018 November;;;;;;;;;;
242;All enterprises (no finance or energy);Value;Seasonally adjusted data;2018 December;;;;;;;;;;
243;All enterprises (no finance or energy);Value;Seasonally adjusted data;2019 January;14.1;18.4;20.4;10.4;13.5;12.5;7.6;4.2;3.6;4.9
244;All enterprises (no finance or energy);Value;Seasonally adjusted data;2019 February;;;;;;;;;;
245;All enterprises (no finance or energy);Value;Seasonally adjusted data;2019 March;;;;;;;;;;
246;All enterprises (no finance or energy);Value;Seasonally adjusted data;2019 April;15.9;16.3;13.9;8.2;12.0;13.1;8.1;2.2;2.0;6.5
247;All enterprises (no finance or energy);Value;Seasonally adjusted data;2019 May;;;;;;;;;;
248;All enterprises (no finance or energy);Value;Seasonally adjusted data;2019 June;;;;;;;;;;
