ID;EconomicActivitySBI2008;Periods;EnterprisesTotal_1;SingleOwnerCompanies_2;OtherLegalPersons_3
132;A-U All economic activities;2000 November;388;87;301
133;A-U All economic activities;2000 December;270;69;201
134;A-U All economic activities;2000 4th quarter;1012;242;770
135;A-U All economic activities;2000;3579;958;2621
136;A-U All economic activities;2001 January;335;84;251
137;A-U All economic activities;2001 February;336;75;261
138;A-U All economic activities;2001 March;328;89;239
139;A-U All economic activities;2001 1st quarter;999;248;751
140;A-U All economic activities;2001 April;315;81;234
141;A-U All economic activities;2001 May;425;97;328
142;A-U All economic activities;2001 June;313;74;239
143;A-U All economic activities;2001 2nd quarter;1053;252;801
144;A-U All economic activities;2001 July;390;86;304
145;A-U All economic activities;2001 August;396;100;296
146;A-U All economic activities;2001 September;340;75;265
147;A-U All economic activities;2001 3rd quarter;1126;261;865
148;A-U All economic activities;2001 October;435;102;333
149;A-U All economic activities;2001 November;391;77;314
150;A-U All economic activities;2001 December;326;57;269
151;A-U All economic activities;2001 4th quarter;1152;236;916
152;A-U All economic activities;2001;4330;997;3333
153;A-U All economic activities;2002 January;446;98;348
154;A-U All economic activities;2002 February;375;79;296
155;A-U All economic activities;2002 March;392;85;307
156;A-U All economic activities;2002 1st quarter;1213;262;951
157;A-U All economic activities;2002 April;357;74;283
158;A-U All economic activities;2002 May;398;70;328
159;A-U All economic activities;2002 June;413;84;329
160;A-U All economic activities;2002 2nd quarter;1168;228;940
161;A-U All economic activities;2002 July;530;76;454
162;A-U All economic activities;2002 August;356;72;284
163;A-U All economic activities;2002 September;401;61;340
164;A-U All economic activities;2002 3rd quarter;1287;209;1078
165;A-U All economic activities;2002 October;529;90;439
166;A-U All economic activities;2002 November;373;33;340
167;A-U All economic activities;2002 December;393;56;337
168;A-U All economic activities;2002 4th quarter;1295;179;1116
169;A-U All economic activities;2002;4963;878;4085
170;A-U All economic activities;2003 January;475;98;377
171;A-U All economic activities;2003 February;476;77;399
172;A-U All economic activities;2003 March;470;106;364
173;A-U All economic activities;2003 1st quarter;1421;281;1140
174;A-U All economic activities;2003 April;616;124;492
175;A-U All economic activities;2003 May;565;88;477
176;A-U All economic activities;2003 June;547;92;455
177;A-U All economic activities;2003 2nd quarter;1728;304;1424
178;A-U All economic activities;2003 July;570;105;465
179;A-U All economic activities;2003 August;425;91;334
180;A-U All economic activities;2003 September;614;105;509
181;A-U All economic activities;2003 3rd quarter;1609;301;1308
182;A-U All economic activities;2003 October;573;80;493
183;A-U All economic activities;2003 November;516;104;412
184;A-U All economic activities;2003 December;517;81;436
185;A-U All economic activities;2003 4th quarter;1606;265;1341
186;A-U All economic activities;2003;6364;1151;5213
187;A-U All economic activities;2004 January;532;112;420
188;A-U All economic activities;2004 February;548;112;436
189;A-U All economic activities;2004 March;699;141;558
190;A-U All economic activities;2004 1st quarter;1779;365;1414
191;A-U All economic activities;2004 April;466;106;360
192;A-U All economic activities;2004 May;494;105;389
193;A-U All economic activities;2004 June;618;116;502
194;A-U All economic activities;2004 2nd quarter;1578;327;1251
195;A-U All economic activities;2004 July;534;121;413
196;A-U All economic activities;2004 August;564;118;446
197;A-U All economic activities;2004 September;575;128;447
198;A-U All economic activities;2004 3rd quarter;1673;367;1306
199;A-U All economic activities;2004 October;474;92;382
200;A-U All economic activities;2004 November;584;128;456
201;A-U All economic activities;2004 December;533;102;431
202;A-U All economic activities;2004 4th quarter;1591;322;1269
203;A-U All economic activities;2004;6621;1381;5240
204;A-U All economic activities;2005 January;545;136;409
205;A-U All economic activities;2005 February;574;118;456
206;A-U All economic activities;2005 March;666;162;504
207;A-U All economic activities;2005 1st quarter;1785;416;1369
208;A-U All economic activities;2005 April;526;110;416
209;A-U All economic activities;2005 May;532;138;394
210;A-U All economic activities;2005 June;611;177;434
211;A-U All economic activities;2005 2nd quarter;1669;425;1244
212;A-U All economic activities;2005 July;524;136;388
213;A-U All economic activities;2005 August;569;172;397
214;A-U All economic activities;2005 September;589;142;447
215;A-U All economic activities;2005 3rd quarter;1682;450;1232
216;A-U All economic activities;2005 October;516;135;381
217;A-U All economic activities;2005 November;624;142;482
218;A-U All economic activities;2005 December;490;129;361
219;A-U All economic activities;2005 4th quarter;1630;406;1224
220;A-U All economic activities;2005;6766;1697;5069
221;A-U All economic activities;2006 January;583;159;424
222;A-U All economic activities;2006 February;557;163;394
223;A-U All economic activities;2006 March;553;151;402
224;A-U All economic activities;2006 1st quarter;1693;473;1220
225;A-U All economic activities;2006 April;512;147;365
226;A-U All economic activities;2006 May;522;135;387
227;A-U All economic activities;2006 June;468;125;343
228;A-U All economic activities;2006 2nd quarter;1502;407;1095
229;A-U All economic activities;2006 July;462;137;325
230;A-U All economic activities;2006 August;515;167;348
231;A-U All economic activities;2006 September;444;136;308
232;A-U All economic activities;2006 3rd quarter;1421;440;981
233;A-U All economic activities;2006 October;455;132;323
234;A-U All economic activities;2006 November;456;135;321
235;A-U All economic activities;2006 December;407;126;281
236;A-U All economic activities;2006 4th quarter;1318;393;925
237;A-U All economic activities;2006;5934;1713;4221
238;A-U All economic activities;2007 January;471;89;382
239;A-U All economic activities;2007 February;342;75;267
240;A-U All economic activities;2007 March;348;76;272
241;A-U All economic activities;2007 1st quarter;1161;240;921
242;A-U All economic activities;2007 April;364;76;288
243;A-U All economic activities;2007 May;432;106;326
244;A-U All economic activities;2007 June;330;79;251
245;A-U All economic activities;2007 2nd quarter;1126;261;865
246;A-U All economic activities;2007 July;378;70;308
247;A-U All economic activities;2007 August;399;92;307
248;A-U All economic activities;2007 September;401;82;319
249;A-U All economic activities;2007 3rd quarter;1178;244;934
250;A-U All economic activities;2007 October;442;106;336
251;A-U All economic activities;2007 November;377;80;297
252;A-U All economic activities;2007 December;312;82;230
253;A-U All economic activities;2007 4th quarter;1131;268;863
254;A-U All economic activities;2007;4596;1013;3583
255;A-U All economic activities;2008 January;383;92;291
256;A-U All economic activities;2008 February;349;54;295
257;A-U All economic activities;2008 March;317;58;259
258;A-U All economic activities;2008 1st quarter;1049;204;845
259;A-U All economic activities;2008 April;401;87;314
260;A-U All economic activities;2008 May;285;57;228
261;A-U All economic activities;2008 June;377;58;319
262;A-U All economic activities;2008 2nd quarter;1063;202;861
263;A-U All economic activities;2008 July;380;70;310
264;A-U All economic activities;2008 August;347;60;287
265;A-U All economic activities;2008 September;414;74;340
266;A-U All economic activities;2008 3rd quarter;1141;204;937
267;A-U All economic activities;2008 October;406;65;341
268;A-U All economic activities;2008 November;487;62;425
269;A-U All economic activities;2008 December;475;58;417
270;A-U All economic activities;2008 4th quarter;1368;185;1183
271;A-U All economic activities;2008;4621;795;3826
272;A-U All economic activities;2009 January;566;99;467
273;A-U All economic activities;2009 February;604;63;541
274;A-U All economic activities;2009 March;764;90;674
275;A-U All economic activities;2009 1st quarter;1934;252;1682
276;A-U All economic activities;2009 April;725;85;640
277;A-U All economic activities;2009 May;585;85;500
278;A-U All economic activities;2009 June;797;99;698
279;A-U All economic activities;2009 2nd quarter;2107;269;1838
280;A-U All economic activities;2009 July;740;92;648
281;A-U All economic activities;2009 August;587;72;515
282;A-U All economic activities;2009 September;719;88;631
283;A-U All economic activities;2009 3rd quarter;2046;252;1794
284;A-U All economic activities;2009 October;621;95;526
285;A-U All economic activities;2009 November;677;89;588
286;A-U All economic activities;2009 December;636;88;548
287;A-U All economic activities;2009 4th quarter;1934;272;1662
288;A-U All economic activities;2009;8021;1045;6976
289;A-U All economic activities;2010 January;591;110;481
290;A-U All economic activities;2010 February;636;84;552
291;A-U All economic activities;2010 March;748;110;638
292;A-U All economic activities;2010 1st quarter;1975;304;1671
293;A-U All economic activities;2010 April;571;82;489
294;A-U All economic activities;2010 May;475;74;401
295;A-U All economic activities;2010 June;758;96;662
296;A-U All economic activities;2010 2nd quarter;1804;252;1552
297;A-U All economic activities;2010 July;554;51;503
298;A-U All economic activities;2010 August;597;95;502
299;A-U All economic activities;2010 September;521;69;452
300;A-U All economic activities;2010 3rd quarter;1672;215;1457
301;A-U All economic activities;2010 October;597;65;532
302;A-U All economic activities;2010 November;658;87;571
303;A-U All economic activities;2010 December;482;62;420
304;A-U All economic activities;2010 4th quarter;1737;214;1523
305;A-U All economic activities;2010;7188;985;6203
306;A-U All economic activities;2011 January;567;78;489
307;A-U All economic activities;2011 February;605;74;531
308;A-U All economic activities;2011 March;653;102;551
309;A-U All economic activities;2011 1st quarter;1825;254;1571
310;A-U All economic activities;2011 April;512;70;442
311;A-U All economic activities;2011 May;653;95;558
312;A-U All economic activities;2011 June;498;64;434
313;A-U All economic activities;2011 2nd quarter;1663;229;1434
314;A-U All economic activities;2011 July;520;57;463
315;A-U All economic activities;2011 August;606;101;505
316;A-U All economic activities;2011 September;601;74;527
317;A-U All economic activities;2011 3rd quarter;1727;232;1495
318;A-U All economic activities;2011 October;608;84;524
319;A-U All economic activities;2011 November;732;99;633
320;A-U All economic activities;2011 December;585;66;519
321;A-U All economic activities;2011 4th quarter;1925;249;1676
322;A-U All economic activities;2011;7140;964;6176
323;A-U All economic activities;2012 January;800;120;680
324;A-U All economic activities;2012 February;721;99;622
325;A-U All economic activities;2012 March;689;112;577
326;A-U All economic activities;2012 1st quarter;2210;331;1879
327;A-U All economic activities;2012 April;689;95;594
328;A-U All economic activities;2012 May;777;96;681
329;A-U All economic activities;2012 June;681;85;596
330;A-U All economic activities;2012 2nd quarter;2147;276;1871
331;A-U All economic activities;2012 July ;836;113;723
332;A-U All economic activities;2012 August;594;81;513
333;A-U All economic activities;2012 September;662;106;556
334;A-U All economic activities;2012 3rd quarter;2092;300;1792
335;A-U All economic activities;2012 October;835;137;698
336;A-U All economic activities;2012 November;702;122;580
337;A-U All economic activities;2012 December;630;77;553
338;A-U All economic activities;2012 4th quarter;2167;336;1831
339;A-U All economic activities;2012;8616;1243;7373
340;A-U All economic activities;2013 January;857;123;734
341;A-U All economic activities;2013 February;847;88;759
342;A-U All economic activities;2013 March;820;110;710
343;A-U All economic activities;2013 1st quarter;2524;321;2203
344;A-U All economic activities;2013 April;801;107;694
345;A-U All economic activities;2013 May;900;102;798
346;A-U All economic activities;2013 June;763;88;675
347;A-U All economic activities;2013 2nd quarter;2464;297;2167
348;A-U All economic activities;2013 July;897;117;780
349;A-U All economic activities;2013 August;687;79;608
350;A-U All economic activities;2013 September;682;86;596
351;A-U All economic activities;2013 3rd quarter;2266;282;1984
352;A-U All economic activities;2013 October;844;100;744
353;A-U All economic activities;2013 November;687;105;582
354;A-U All economic activities;2013 December;671;76;595
355;A-U All economic activities;2013 4th quarter;2202;281;1921
356;A-U All economic activities;2013;9456;1181;8275
357;A-U All economic activities;2014 January;707;112;595
358;A-U All economic activities;2014 February;696;78;618
359;A-U All economic activities;2014 March;598;72;526
360;A-U All economic activities;2014 1st quarter;2001;262;1739
361;A-U All economic activities;2014 April;812;112;700
362;A Agriculture, forestry and fishing;1993 January;10;7;3
363;A Agriculture, forestry and fishing;1993 February;12;5;7
364;A Agriculture, forestry and fishing;1993 March;10;9;1
365;A Agriculture, forestry and fishing;1993 1st quarter;32;21;11
366;A Agriculture, forestry and fishing;1993 April;7;6;1
367;A Agriculture, forestry and fishing;1993 May;9;7;2
368;A Agriculture, forestry and fishing;1993 June;11;8;3
369;A Agriculture, forestry and fishing;1993 2nd quarter;27;21;6
370;A Agriculture, forestry and fishing;1993 July;13;9;4
371;A Agriculture, forestry and fishing;1993 August;12;6;6
372;A Agriculture, forestry and fishing;1993 September;8;5;3
373;A Agriculture, forestry and fishing;1993 3rd quarter;33;20;13
374;A Agriculture, forestry and fishing;1993 October;11;6;5
375;A Agriculture, forestry and fishing;1993 November;18;16;2
376;A Agriculture, forestry and fishing;1993 December;15;9;6
377;A Agriculture, forestry and fishing;1993 4th quarter;44;31;13
378;A Agriculture, forestry and fishing;1993;136;93;43
379;A Agriculture, forestry and fishing;1994 January;14;9;5
380;A Agriculture, forestry and fishing;1994 February;10;5;5
381;A Agriculture, forestry and fishing;1994 March;9;6;3
382;A Agriculture, forestry and fishing;1994 1st quarter;33;20;13
383;A Agriculture, forestry and fishing;1994 April;2;2;0
384;A Agriculture, forestry and fishing;1994 May;12;10;2
385;A Agriculture, forestry and fishing;1994 June;9;6;3
386;A Agriculture, forestry and fishing;1994 2nd quarter;23;18;5
387;A Agriculture, forestry and fishing;1994 July;11;7;4
388;A Agriculture, forestry and fishing;1994 August;14;10;4
389;A Agriculture, forestry and fishing;1994 September;8;4;4
390;A Agriculture, forestry and fishing;1994 3rd quarter;33;21;12
391;A Agriculture, forestry and fishing;1994 October;4;2;2
392;A Agriculture, forestry and fishing;1994 November;14;10;4
393;A Agriculture, forestry and fishing;1994 December;9;7;2
394;A Agriculture, forestry and fishing;1994 4th quarter;27;19;8
395;A Agriculture, forestry and fishing;1994;116;78;38
396;A Agriculture, forestry and fishing;1995 January;10;5;5
397;A Agriculture, forestry and fishing;1995 February;9;7;2
398;A Agriculture, forestry and fishing;1995 March;10;5;5
399;A Agriculture, forestry and fishing;1995 1st quarter;29;17;12
400;A Agriculture, forestry and fishing;1995 April;9;7;2
401;A Agriculture, forestry and fishing;1995 May;3;2;1
402;A Agriculture, forestry and fishing;1995 June;3;1;2
403;A Agriculture, forestry and fishing;1995 2nd quarter;15;10;5
404;A Agriculture, forestry and fishing;1995 July;4;3;1
405;A Agriculture, forestry and fishing;1995 August;6;5;1
406;A Agriculture, forestry and fishing;1995 September;11;6;5
407;A Agriculture, forestry and fishing;1995 3rd quarter;21;14;7
408;A Agriculture, forestry and fishing;1995 October;19;14;5
409;A Agriculture, forestry and fishing;1995 November;11;6;5
410;A Agriculture, forestry and fishing;1995 December;9;4;5
411;A Agriculture, forestry and fishing;1995 4th quarter;39;24;15
412;A Agriculture, forestry and fishing;1995;104;65;39
413;A Agriculture, forestry and fishing;1996 January;7;5;2
414;A Agriculture, forestry and fishing;1996 February;7;3;4
415;A Agriculture, forestry and fishing;1996 March;2;1;1
416;A Agriculture, forestry and fishing;1996 1st quarter;16;9;7
417;A Agriculture, forestry and fishing;1996 April;10;6;4
418;A Agriculture, forestry and fishing;1996 May;7;5;2
419;A Agriculture, forestry and fishing;1996 June;3;2;1
420;A Agriculture, forestry and fishing;1996 2nd quarter;20;13;7
421;A Agriculture, forestry and fishing;1996 July;6;2;4
422;A Agriculture, forestry and fishing;1996 August;3;3;0
423;A Agriculture, forestry and fishing;1996 September;7;2;5
424;A Agriculture, forestry and fishing;1996 3rd quarter;16;7;9
425;A Agriculture, forestry and fishing;1996 October;11;7;4
426;A Agriculture, forestry and fishing;1996 November;6;3;3
427;A Agriculture, forestry and fishing;1996 December;6;5;1
428;A Agriculture, forestry and fishing;1996 4th quarter;23;15;8
429;A Agriculture, forestry and fishing;1996;75;44;31
430;A Agriculture, forestry and fishing;1997 January;7;3;4
431;A Agriculture, forestry and fishing;1997 February;4;2;2
432;A Agriculture, forestry and fishing;1997 March;7;4;3
433;A Agriculture, forestry and fishing;1997 1st quarter;18;9;9
434;A Agriculture, forestry and fishing;1997 April;4;1;3
435;A Agriculture, forestry and fishing;1997 May;9;5;4
436;A Agriculture, forestry and fishing;1997 June;8;6;2
437;A Agriculture, forestry and fishing;1997 2nd quarter;21;12;9
438;A Agriculture, forestry and fishing;1997 July;7;4;3
439;A Agriculture, forestry and fishing;1997 August;6;1;5
440;A Agriculture, forestry and fishing;1997 September;9;8;1
441;A Agriculture, forestry and fishing;1997 3rd quarter;22;13;9
442;A Agriculture, forestry and fishing;1997 October;2;1;1
443;A Agriculture, forestry and fishing;1997 November;8;4;4
444;A Agriculture, forestry and fishing;1997 December;9;6;3
445;A Agriculture, forestry and fishing;1997 4th quarter;19;11;8
446;A Agriculture, forestry and fishing;1997;80;45;35
447;A Agriculture, forestry and fishing;1998 January;7;4;3
448;A Agriculture, forestry and fishing;1998 February;7;3;4
449;A Agriculture, forestry and fishing;1998 March;2;2;0
450;A Agriculture, forestry and fishing;1998 1st quarter;16;9;7
451;A Agriculture, forestry and fishing;1998 April;13;7;6
452;A Agriculture, forestry and fishing;1998 May;6;2;4
453;A Agriculture, forestry and fishing;1998 June;4;3;1
454;A Agriculture, forestry and fishing;1998 2nd quarter;23;12;11
455;A Agriculture, forestry and fishing;1998 July;6;3;3
456;A Agriculture, forestry and fishing;1998 August;2;2;0
457;A Agriculture, forestry and fishing;1998 September;5;0;5
458;A Agriculture, forestry and fishing;1998 3rd quarter;13;5;8
459;A Agriculture, forestry and fishing;1998 October;3;1;2
460;A Agriculture, forestry and fishing;1998 November;7;2;5
461;A Agriculture, forestry and fishing;1998 December;4;3;1
462;A Agriculture, forestry and fishing;1998 4th quarter;14;6;8
463;A Agriculture, forestry and fishing;1998;66;32;34
464;A Agriculture, forestry and fishing;1999 January;3;2;1
465;A Agriculture, forestry and fishing;1999 February;9;3;6
466;A Agriculture, forestry and fishing;1999 March;9;5;4
467;A Agriculture, forestry and fishing;1999 1st quarter;21;10;11
468;A Agriculture, forestry and fishing;1999 April;4;3;1
469;A Agriculture, forestry and fishing;1999 May;1;0;1
470;A Agriculture, forestry and fishing;1999 June;2;2;0
471;A Agriculture, forestry and fishing;1999 2nd quarter;7;5;2
472;A Agriculture, forestry and fishing;1999 July;4;2;2
473;A Agriculture, forestry and fishing;1999 August;1;1;0
474;A Agriculture, forestry and fishing;1999 September;2;2;0
475;A Agriculture, forestry and fishing;1999 3rd quarter;7;5;2
476;A Agriculture, forestry and fishing;1999 October;5;1;4
477;A Agriculture, forestry and fishing;1999 November;2;0;2
478;A Agriculture, forestry and fishing;1999 December;4;1;3
479;A Agriculture, forestry and fishing;1999 4th quarter;11;2;9
480;A Agriculture, forestry and fishing;1999;46;22;24
481;A Agriculture, forestry and fishing;2000 January;3;2;1
482;A Agriculture, forestry and fishing;2000 February;5;1;4
483;A Agriculture, forestry and fishing;2000 March;2;0;2
484;A Agriculture, forestry and fishing;2000 1st quarter;10;3;7
485;A Agriculture, forestry and fishing;2000 April;4;2;2
486;A Agriculture, forestry and fishing;2000 May;6;3;3
487;A Agriculture, forestry and fishing;2000 June;1;1;0
488;A Agriculture, forestry and fishing;2000 2nd quarter;11;6;5
489;A Agriculture, forestry and fishing;2000 July;1;0;1
490;A Agriculture, forestry and fishing;2000 August;6;2;4
491;A Agriculture, forestry and fishing;2000 September;2;0;2
492;A Agriculture, forestry and fishing;2000 3rd quarter;9;2;7
493;A Agriculture, forestry and fishing;2000 October;6;3;3
494;A Agriculture, forestry and fishing;2000 November;3;1;2
495;A Agriculture, forestry and fishing;2000 December;3;2;1
496;A Agriculture, forestry and fishing;2000 4th quarter;12;6;6
497;A Agriculture, forestry and fishing;2000;42;17;25
498;A Agriculture, forestry and fishing;2001 January;4;3;1
499;A Agriculture, forestry and fishing;2001 February;2;1;1
500;A Agriculture, forestry and fishing;2001 March;2;0;2
501;A Agriculture, forestry and fishing;2001 1st quarter;8;4;4
502;A Agriculture, forestry and fishing;2001 April;4;1;3
503;A Agriculture, forestry and fishing;2001 May;6;3;3
504;A Agriculture, forestry and fishing;2001 June;3;1;2
505;A Agriculture, forestry and fishing;2001 2nd quarter;13;5;8
506;A Agriculture, forestry and fishing;2001 July;4;0;4
507;A Agriculture, forestry and fishing;2001 August;7;1;6
508;A Agriculture, forestry and fishing;2001 September;0;0;0
509;A Agriculture, forestry and fishing;2001 3rd quarter;11;1;10
510;A Agriculture, forestry and fishing;2001 October;5;3;2
511;A Agriculture, forestry and fishing;2001 November;4;0;4
512;A Agriculture, forestry and fishing;2001 December;4;1;3
513;A Agriculture, forestry and fishing;2001 4th quarter;13;4;9
514;A Agriculture, forestry and fishing;2001;45;14;31
515;A Agriculture, forestry and fishing;2002 January;7;2;5
516;A Agriculture, forestry and fishing;2002 February;3;1;2
517;A Agriculture, forestry and fishing;2002 March;2;2;0
518;A Agriculture, forestry and fishing;2002 1st quarter;12;5;7
519;A Agriculture, forestry and fishing;2002 April;3;2;1
520;A Agriculture, forestry and fishing;2002 May;2;0;2
521;A Agriculture, forestry and fishing;2002 June;5;1;4
522;A Agriculture, forestry and fishing;2002 2nd quarter;10;3;7
523;A Agriculture, forestry and fishing;2002 July;7;1;6
524;A Agriculture, forestry and fishing;2002 August;3;2;1
525;A Agriculture, forestry and fishing;2002 September;2;0;2
526;A Agriculture, forestry and fishing;2002 3rd quarter;12;3;9
527;A Agriculture, forestry and fishing;2002 October;12;5;7
528;A Agriculture, forestry and fishing;2002 November;4;1;3
529;A Agriculture, forestry and fishing;2002 December;9;4;5
530;A Agriculture, forestry and fishing;2002 4th quarter;25;10;15
531;A Agriculture, forestry and fishing;2002;59;21;38
532;A Agriculture, forestry and fishing;2003 January;6;3;3
533;A Agriculture, forestry and fishing;2003 February;12;4;8
534;A Agriculture, forestry and fishing;2003 March;9;6;3
535;A Agriculture, forestry and fishing;2003 1st quarter;27;13;14
536;A Agriculture, forestry and fishing;2003 April;8;2;6
537;A Agriculture, forestry and fishing;2003 May;8;5;3
538;A Agriculture, forestry and fishing;2003 June;5;1;4
539;A Agriculture, forestry and fishing;2003 2nd quarter;21;8;13
540;A Agriculture, forestry and fishing;2003 July;9;0;9
541;A Agriculture, forestry and fishing;2003 August;4;1;3
542;A Agriculture, forestry and fishing;2003 September;10;2;8
543;A Agriculture, forestry and fishing;2003 3rd quarter;23;3;20
544;A Agriculture, forestry and fishing;2003 October;8;0;8
545;A Agriculture, forestry and fishing;2003 November;5;1;4
546;A Agriculture, forestry and fishing;2003 December;6;1;5
547;A Agriculture, forestry and fishing;2003 4th quarter;19;2;17
