ID;BedrijfstakkenBranchesSBI2008;Regio;Perioden;Omzet_1
288;4759 Winkels overige huishoudartikelen;Overijssel (PV);2013;280262
289;4759 Winkels overige huishoudartikelen;Overijssel (PV);2014;368088
290;4759 Winkels overige huishoudartikelen;Flevoland (PV);2013;83385
291;4759 Winkels overige huishoudartikelen;Flevoland (PV);2014;81842
292;4759 Winkels overige huishoudartikelen;Gelderland (PV);2013;525002
293;4759 Winkels overige huishoudartikelen;Gelderland (PV);2014;725134
294;4759 Winkels overige huishoudartikelen;Utrecht (PV);2013;348626
295;4759 Winkels overige huishoudartikelen;Utrecht (PV);2014;498491
296;4759 Winkels overige huishoudartikelen;Noord-Holland (PV);2013;872208
297;4759 Winkels overige huishoudartikelen;Noord-Holland (PV);2014;968080
298;4759 Winkels overige huishoudartikelen;Zuid-Holland (PV);2013;934097
299;4759 Winkels overige huishoudartikelen;Zuid-Holland (PV);2014;1095049
300;4759 Winkels overige huishoudartikelen;Zeeland (PV);2013;106026
301;4759 Winkels overige huishoudartikelen;Zeeland (PV);2014;144219
302;4759 Winkels overige huishoudartikelen;Noord-Brabant (PV);2013;625712
303;4759 Winkels overige huishoudartikelen;Noord-Brabant (PV);2014;995673
304;4759 Winkels overige huishoudartikelen;Limburg (PV);2013;234139
305;4759 Winkels overige huishoudartikelen;Limburg (PV);2014;392920
306;476 Winkels in recreatieartikelen;Nederland;2013;4420735
307;476 Winkels in recreatieartikelen;Nederland;2014;4403168
308;476 Winkels in recreatieartikelen;Noord-Nederland (LD);2013;411278
309;476 Winkels in recreatieartikelen;Noord-Nederland (LD);2014;421325
310;476 Winkels in recreatieartikelen;Oost-Nederland (LD);2013;888650
311;476 Winkels in recreatieartikelen;Oost-Nederland (LD);2014;918791
312;476 Winkels in recreatieartikelen;West-Nederland (LD);2013;2260957
313;476 Winkels in recreatieartikelen;West-Nederland (LD);2014;2223186
314;476 Winkels in recreatieartikelen;Zuid-Nederland (LD);2013;859851
315;476 Winkels in recreatieartikelen;Zuid-Nederland (LD);2014;839867
316;476 Winkels in recreatieartikelen;Groningen (PV);2013;132310
317;476 Winkels in recreatieartikelen;Groningen (PV);2014;133953
318;476 Winkels in recreatieartikelen;Friesland (PV);2013;150644
319;476 Winkels in recreatieartikelen;Friesland (PV);2014;150498
320;476 Winkels in recreatieartikelen;Drenthe (PV);2013;128324
321;476 Winkels in recreatieartikelen;Drenthe (PV);2014;136874
322;476 Winkels in recreatieartikelen;Overijssel (PV);2013;280262
323;476 Winkels in recreatieartikelen;Overijssel (PV);2014;281080
324;476 Winkels in recreatieartikelen;Flevoland (PV);2013;83385
325;476 Winkels in recreatieartikelen;Flevoland (PV);2014;82123
326;476 Winkels in recreatieartikelen;Gelderland (PV);2013;525002
327;476 Winkels in recreatieartikelen;Gelderland (PV);2014;555588
328;476 Winkels in recreatieartikelen;Utrecht (PV);2013;348626
329;476 Winkels in recreatieartikelen;Utrecht (PV);2014;371821
330;476 Winkels in recreatieartikelen;Noord-Holland (PV);2013;872208
331;476 Winkels in recreatieartikelen;Noord-Holland (PV);2014;834498
332;476 Winkels in recreatieartikelen;Zuid-Holland (PV);2013;934097
333;476 Winkels in recreatieartikelen;Zuid-Holland (PV);2014;908993
334;476 Winkels in recreatieartikelen;Zeeland (PV);2013;106026
335;476 Winkels in recreatieartikelen;Zeeland (PV);2014;107874
336;476 Winkels in recreatieartikelen;Noord-Brabant (PV);2013;625712
337;476 Winkels in recreatieartikelen;Noord-Brabant (PV);2014;609534
338;476 Winkels in recreatieartikelen;Limburg (PV);2013;234139
339;476 Winkels in recreatieartikelen;Limburg (PV);2014;230333
340;477 Winkels in overige artikelen;Nederland;2013;25028252
341;477 Winkels in overige artikelen;Nederland;2014;25206825
342;477 Winkels in overige artikelen;Noord-Nederland (LD);2013;2054548
343;477 Winkels in overige artikelen;Noord-Nederland (LD);2014;2033291
344;477 Winkels in overige artikelen;Oost-Nederland (LD);2013;4849776
345;477 Winkels in overige artikelen;Oost-Nederland (LD);2014;4903439
346;477 Winkels in overige artikelen;West-Nederland (LD);2013;12374398
347;477 Winkels in overige artikelen;West-Nederland (LD);2014;12476657
348;477 Winkels in overige artikelen;Zuid-Nederland (LD);2013;5749530
349;477 Winkels in overige artikelen;Zuid-Nederland (LD);2014;5793439
350;477 Winkels in overige artikelen;Groningen (PV);2013;689465
351;477 Winkels in overige artikelen;Groningen (PV);2014;683675
352;477 Winkels in overige artikelen;Friesland (PV);2013;748653
353;477 Winkels in overige artikelen;Friesland (PV);2014;726527
354;477 Winkels in overige artikelen;Drenthe (PV);2013;616430
355;477 Winkels in overige artikelen;Drenthe (PV);2014;623089
356;477 Winkels in overige artikelen;Overijssel (PV);2013;1589321
357;477 Winkels in overige artikelen;Overijssel (PV);2014;1628477
358;477 Winkels in overige artikelen;Flevoland (PV);2013;533303
359;477 Winkels in overige artikelen;Flevoland (PV);2014;557824
360;477 Winkels in overige artikelen;Gelderland (PV);2013;2727153
361;477 Winkels in overige artikelen;Gelderland (PV);2014;2717138
362;477 Winkels in overige artikelen;Utrecht (PV);2013;1836323
363;477 Winkels in overige artikelen;Utrecht (PV);2014;1803427
364;477 Winkels in overige artikelen;Noord-Holland (PV);2013;4946960
365;477 Winkels in overige artikelen;Noord-Holland (PV);2014;5081611
366;477 Winkels in overige artikelen;Zuid-Holland (PV);2013;4989447
367;477 Winkels in overige artikelen;Zuid-Holland (PV);2014;5019939
368;477 Winkels in overige artikelen;Zeeland (PV);2013;601668
369;477 Winkels in overige artikelen;Zeeland (PV);2014;571680
370;477 Winkels in overige artikelen;Noord-Brabant (PV);2013;3817647
371;477 Winkels in overige artikelen;Noord-Brabant (PV);2014;3863004
372;477 Winkels in overige artikelen;Limburg (PV);2013;1931883
373;477 Winkels in overige artikelen;Limburg (PV);2014;1930435
374;4771 Winkels in kleding;Nederland;2013;8833433
375;4771 Winkels in kleding;Nederland;2014;8915646
376;4771 Winkels in kleding;Noord-Nederland (LD);2013;689529
377;4771 Winkels in kleding;Noord-Nederland (LD);2014;676022
378;4771 Winkels in kleding;Oost-Nederland (LD);2013;1642108
379;4771 Winkels in kleding;Oost-Nederland (LD);2014;1624700
380;4771 Winkels in kleding;West-Nederland (LD);2013;4485234
381;4771 Winkels in kleding;West-Nederland (LD);2014;4522945
382;4771 Winkels in kleding;Zuid-Nederland (LD);2013;2016563
383;4771 Winkels in kleding;Zuid-Nederland (LD);2014;2091979
384;4771 Winkels in kleding;Groningen (PV);2013;230251
385;4771 Winkels in kleding;Groningen (PV);2014;221427
386;4771 Winkels in kleding;Friesland (PV);2013;257713
387;4771 Winkels in kleding;Friesland (PV);2014;246297
388;4771 Winkels in kleding;Drenthe (PV);2013;201565
389;4771 Winkels in kleding;Drenthe (PV);2014;208298
390;4771 Winkels in kleding;Overijssel (PV);2013;515117
391;4771 Winkels in kleding;Overijssel (PV);2014;513888
392;4771 Winkels in kleding;Flevoland (PV);2013;240210
393;4771 Winkels in kleding;Flevoland (PV);2014;263335
394;4771 Winkels in kleding;Gelderland (PV);2013;886781
395;4771 Winkels in kleding;Gelderland (PV);2014;847477
396;4771 Winkels in kleding;Utrecht (PV);2013;607469
397;4771 Winkels in kleding;Utrecht (PV);2014;591744
