ID;Landbouwactiviteit;Landbouwmethode;RegioS;Perioden;AantalBedrijven_1;OppervlakteVanGewassen_2;Dieraantallen_3
52;Landbouw (totaal);Landbouw (totaal);Fryslân (PV);2019;4254.0;;
53;Landbouw (totaal);Landbouw (totaal);Fryslân (PV);2020;4214.0;;
54;Landbouw (totaal);Landbouw (totaal);Fryslân (PV);2021;4162.0;;
55;Landbouw (totaal);Landbouw (totaal);Fryslân (PV);2022;4073.0;;
56;Landbouw (totaal);Landbouw (totaal);Drenthe (PV);2015;3411.0;;
57;Landbouw (totaal);Landbouw (totaal);Drenthe (PV);2016;2884.0;;
58;Landbouw (totaal);Landbouw (totaal);Drenthe (PV);2017;2847.0;;
59;Landbouw (totaal);Landbouw (totaal);Drenthe (PV);2018;2803.0;;
60;Landbouw (totaal);Landbouw (totaal);Drenthe (PV);2019;2765.0;;
61;Landbouw (totaal);Landbouw (totaal);Drenthe (PV);2020;2760.0;;
62;Landbouw (totaal);Landbouw (totaal);Drenthe (PV);2021;2740.0;;
63;Landbouw (totaal);Landbouw (totaal);Drenthe (PV);2022;2669.0;;
64;Landbouw (totaal);Landbouw (totaal);Overijssel (PV);2015;7953.0;;
65;Landbouw (totaal);Landbouw (totaal);Overijssel (PV);2016;7016.0;;
66;Landbouw (totaal);Landbouw (totaal);Overijssel (PV);2017;6902.0;;
67;Landbouw (totaal);Landbouw (totaal);Overijssel (PV);2018;6824.0;;
68;Landbouw (totaal);Landbouw (totaal);Overijssel (PV);2019;6732.0;;
69;Landbouw (totaal);Landbouw (totaal);Overijssel (PV);2020;6648.0;;
70;Landbouw (totaal);Landbouw (totaal);Overijssel (PV);2021;6582.0;;
71;Landbouw (totaal);Landbouw (totaal);Overijssel (PV);2022;6443.0;;
72;Landbouw (totaal);Landbouw (totaal);Flevoland (PV);2015;1764.0;;
73;Landbouw (totaal);Landbouw (totaal);Flevoland (PV);2016;1694.0;;
74;Landbouw (totaal);Landbouw (totaal);Flevoland (PV);2017;1697.0;;
75;Landbouw (totaal);Landbouw (totaal);Flevoland (PV);2018;1676.0;;
76;Landbouw (totaal);Landbouw (totaal);Flevoland (PV);2019;1674.0;;
77;Landbouw (totaal);Landbouw (totaal);Flevoland (PV);2020;1654.0;;
78;Landbouw (totaal);Landbouw (totaal);Flevoland (PV);2021;1649.0;;
79;Landbouw (totaal);Landbouw (totaal);Flevoland (PV);2022;1631.0;;
80;Landbouw (totaal);Landbouw (totaal);Gelderland (PV);2015;10990.0;;
81;Landbouw (totaal);Landbouw (totaal);Gelderland (PV);2016;9334.0;;
82;Landbouw (totaal);Landbouw (totaal);Gelderland (PV);2017;9186.0;;
83;Landbouw (totaal);Landbouw (totaal);Gelderland (PV);2018;9089.0;;
84;Landbouw (totaal);Landbouw (totaal);Gelderland (PV);2019;8993.0;;
85;Landbouw (totaal);Landbouw (totaal);Gelderland (PV);2020;8854.0;;
86;Landbouw (totaal);Landbouw (totaal);Gelderland (PV);2021;8758.0;;
87;Landbouw (totaal);Landbouw (totaal);Gelderland (PV);2022;8559.0;;
88;Landbouw (totaal);Landbouw (totaal);Utrecht (PV);2015;2647.0;;
89;Landbouw (totaal);Landbouw (totaal);Utrecht (PV);2016;2248.0;;
90;Landbouw (totaal);Landbouw (totaal);Utrecht (PV);2017;2216.0;;
91;Landbouw (totaal);Landbouw (totaal);Utrecht (PV);2018;2165.0;;
92;Landbouw (totaal);Landbouw (totaal);Utrecht (PV);2019;2370.0;;
93;Landbouw (totaal);Landbouw (totaal);Utrecht (PV);2020;2338.0;;
94;Landbouw (totaal);Landbouw (totaal);Utrecht (PV);2021;2319.0;;
95;Landbouw (totaal);Landbouw (totaal);Utrecht (PV);2022;2256.0;;
96;Landbouw (totaal);Landbouw (totaal);Noord-Holland (PV);2015;4268.0;;
97;Landbouw (totaal);Landbouw (totaal);Noord-Holland (PV);2016;3698.0;;
98;Landbouw (totaal);Landbouw (totaal);Noord-Holland (PV);2017;3623.0;;
99;Landbouw (totaal);Landbouw (totaal);Noord-Holland (PV);2018;3565.0;;
100;Landbouw (totaal);Landbouw (totaal);Noord-Holland (PV);2019;3514.0;;
101;Landbouw (totaal);Landbouw (totaal);Noord-Holland (PV);2020;3457.0;;
102;Landbouw (totaal);Landbouw (totaal);Noord-Holland (PV);2021;3455.0;;
103;Landbouw (totaal);Landbouw (totaal);Noord-Holland (PV);2022;3376.0;;
104;Landbouw (totaal);Landbouw (totaal);Zuid-Holland (PV);2015;5845.0;;
105;Landbouw (totaal);Landbouw (totaal);Zuid-Holland (PV);2016;5084.0;;
106;Landbouw (totaal);Landbouw (totaal);Zuid-Holland (PV);2017;4866.0;;
107;Landbouw (totaal);Landbouw (totaal);Zuid-Holland (PV);2018;4661.0;;
108;Landbouw (totaal);Landbouw (totaal);Zuid-Holland (PV);2019;4393.0;;
109;Landbouw (totaal);Landbouw (totaal);Zuid-Holland (PV);2020;4455.0;;
110;Landbouw (totaal);Landbouw (totaal);Zuid-Holland (PV);2021;4402.0;;
111;Landbouw (totaal);Landbouw (totaal);Zuid-Holland (PV);2022;4365.0;;
112;Landbouw (totaal);Landbouw (totaal);Zeeland (PV);2015;3108.0;;
113;Landbouw (totaal);Landbouw (totaal);Zeeland (PV);2016;2879.0;;
114;Landbouw (totaal);Landbouw (totaal);Zeeland (PV);2017;2863.0;;
115;Landbouw (totaal);Landbouw (totaal);Zeeland (PV);2018;2833.0;;
116;Landbouw (totaal);Landbouw (totaal);Zeeland (PV);2019;2807.0;;
117;Landbouw (totaal);Landbouw (totaal);Zeeland (PV);2020;2773.0;;
118;Landbouw (totaal);Landbouw (totaal);Zeeland (PV);2021;2765.0;;
119;Landbouw (totaal);Landbouw (totaal);Zeeland (PV);2022;2714.0;;
120;Landbouw (totaal);Landbouw (totaal);Noord-Brabant (PV);2015;11293.0;;
121;Landbouw (totaal);Landbouw (totaal);Noord-Brabant (PV);2016;9916.0;;
122;Landbouw (totaal);Landbouw (totaal);Noord-Brabant (PV);2017;9828.0;;
123;Landbouw (totaal);Landbouw (totaal);Noord-Brabant (PV);2018;9648.0;;
124;Landbouw (totaal);Landbouw (totaal);Noord-Brabant (PV);2019;9483.0;;
125;Landbouw (totaal);Landbouw (totaal);Noord-Brabant (PV);2020;9373.0;;
126;Landbouw (totaal);Landbouw (totaal);Noord-Brabant (PV);2021;9198.0;;
127;Landbouw (totaal);Landbouw (totaal);Noord-Brabant (PV);2022;8926.0;;
128;Landbouw (totaal);Landbouw (totaal);Limburg (PV);2015;4364.0;;
129;Landbouw (totaal);Landbouw (totaal);Limburg (PV);2016;3893.0;;
130;Landbouw (totaal);Landbouw (totaal);Limburg (PV);2017;3854.0;;
131;Landbouw (totaal);Landbouw (totaal);Limburg (PV);2018;3785.0;;
132;Landbouw (totaal);Landbouw (totaal);Limburg (PV);2019;3709.0;;
133;Landbouw (totaal);Landbouw (totaal);Limburg (PV);2020;3653.0;;
134;Landbouw (totaal);Landbouw (totaal);Limburg (PV);2021;3599.0;;
135;Landbouw (totaal);Landbouw (totaal);Limburg (PV);2022;3504.0;;
136;Landbouw (totaal);Gangbare landbouw;Nederland;2015;62563.0;;
137;Landbouw (totaal);Gangbare landbouw;Nederland;2016;54549.0;;
138;Landbouw (totaal);Gangbare landbouw;Nederland;2017;53607.0;;
139;Landbouw (totaal);Gangbare landbouw;Nederland;2018;52695.0;;
140;Landbouw (totaal);Gangbare landbouw;Nederland;2019;52004.0;;
141;Landbouw (totaal);Gangbare landbouw;Nederland;2020;51417.0;;
142;Landbouw (totaal);Gangbare landbouw;Nederland;2021;50784.0;;
143;Landbouw (totaal);Gangbare landbouw;Nederland;2022;49705.0;;
144;Landbouw (totaal);Gangbare landbouw;Noord-Nederland (LD);2015;11454.0;;
145;Landbouw (totaal);Gangbare landbouw;Noord-Nederland (LD);2016;9730.0;;
146;Landbouw (totaal);Gangbare landbouw;Noord-Nederland (LD);2017;9594.0;;
147;Landbouw (totaal);Gangbare landbouw;Noord-Nederland (LD);2018;9444.0;;
148;Landbouw (totaal);Gangbare landbouw;Noord-Nederland (LD);2019;9331.0;;
149;Landbouw (totaal);Gangbare landbouw;Noord-Nederland (LD);2020;9265.0;;
150;Landbouw (totaal);Gangbare landbouw;Noord-Nederland (LD);2021;9151.0;;
151;Landbouw (totaal);Gangbare landbouw;Noord-Nederland (LD);2022;8969.0;;
152;Landbouw (totaal);Gangbare landbouw;Oost-Nederland (LD);2015;20232.0;;
153;Landbouw (totaal);Gangbare landbouw;Oost-Nederland (LD);2016;17610.0;;
154;Landbouw (totaal);Gangbare landbouw;Oost-Nederland (LD);2017;17320.0;;
155;Landbouw (totaal);Gangbare landbouw;Oost-Nederland (LD);2018;17123.0;;
156;Landbouw (totaal);Gangbare landbouw;Oost-Nederland (LD);2019;16929.0;;
157;Landbouw (totaal);Gangbare landbouw;Oost-Nederland (LD);2020;16657.0;;
158;Landbouw (totaal);Gangbare landbouw;Oost-Nederland (LD);2021;16476.0;;
159;Landbouw (totaal);Gangbare landbouw;Oost-Nederland (LD);2022;16130.0;;
160;Landbouw (totaal);Gangbare landbouw;West-Nederland (LD);2015;15517.0;;
161;Landbouw (totaal);Gangbare landbouw;West-Nederland (LD);2016;13642.0;;
162;Landbouw (totaal);Gangbare landbouw;West-Nederland (LD);2017;13270.0;;
163;Landbouw (totaal);Gangbare landbouw;West-Nederland (LD);2018;12954.0;;
164;Landbouw (totaal);Gangbare landbouw;West-Nederland (LD);2019;12817.0;;
165;Landbouw (totaal);Gangbare landbouw;West-Nederland (LD);2020;12747.0;;
166;Landbouw (totaal);Gangbare landbouw;West-Nederland (LD);2021;12638.0;;
167;Landbouw (totaal);Gangbare landbouw;West-Nederland (LD);2022;12411.0;;
168;Landbouw (totaal);Gangbare landbouw;Zuid-Nederland (LD);2015;15360.0;;
169;Landbouw (totaal);Gangbare landbouw;Zuid-Nederland (LD);2016;13567.0;;
170;Landbouw (totaal);Gangbare landbouw;Zuid-Nederland (LD);2017;13423.0;;
171;Landbouw (totaal);Gangbare landbouw;Zuid-Nederland (LD);2018;13174.0;;
172;Landbouw (totaal);Gangbare landbouw;Zuid-Nederland (LD);2019;12927.0;;
173;Landbouw (totaal);Gangbare landbouw;Zuid-Nederland (LD);2020;12748.0;;
174;Landbouw (totaal);Gangbare landbouw;Zuid-Nederland (LD);2021;12519.0;;
175;Landbouw (totaal);Gangbare landbouw;Zuid-Nederland (LD);2022;12195.0;;
176;Landbouw (totaal);Gangbare landbouw;Groningen (PV);2015;2984.0;;
177;Landbouw (totaal);Gangbare landbouw;Groningen (PV);2016;2587.0;;
178;Landbouw (totaal);Gangbare landbouw;Groningen (PV);2017;2555.0;;
179;Landbouw (totaal);Gangbare landbouw;Groningen (PV);2018;2522.0;;
180;Landbouw (totaal);Gangbare landbouw;Groningen (PV);2019;2490.0;;
181;Landbouw (totaal);Gangbare landbouw;Groningen (PV);2020;2464.0;;
182;Landbouw (totaal);Gangbare landbouw;Groningen (PV);2021;2427.0;;
183;Landbouw (totaal);Gangbare landbouw;Groningen (PV);2022;2406.0;;
184;Landbouw (totaal);Gangbare landbouw;Fryslân (PV);2015;5116.0;;
185;Landbouw (totaal);Gangbare landbouw;Fryslân (PV);2016;4307.0;;
186;Landbouw (totaal);Gangbare landbouw;Fryslân (PV);2017;4249.0;;
187;Landbouw (totaal);Gangbare landbouw;Fryslân (PV);2018;4179.0;;
188;Landbouw (totaal);Gangbare landbouw;Fryslân (PV);2019;4138.0;;
189;Landbouw (totaal);Gangbare landbouw;Fryslân (PV);2020;4099.0;;
190;Landbouw (totaal);Gangbare landbouw;Fryslân (PV);2021;4044.0;;
191;Landbouw (totaal);Gangbare landbouw;Fryslân (PV);2022;3952.0;;
192;Landbouw (totaal);Gangbare landbouw;Drenthe (PV);2015;3354.0;;
193;Landbouw (totaal);Gangbare landbouw;Drenthe (PV);2016;2836.0;;
194;Landbouw (totaal);Gangbare landbouw;Drenthe (PV);2017;2790.0;;
195;Landbouw (totaal);Gangbare landbouw;Drenthe (PV);2018;2743.0;;
196;Landbouw (totaal);Gangbare landbouw;Drenthe (PV);2019;2703.0;;
197;Landbouw (totaal);Gangbare landbouw;Drenthe (PV);2020;2702.0;;
198;Landbouw (totaal);Gangbare landbouw;Drenthe (PV);2021;2680.0;;
199;Landbouw (totaal);Gangbare landbouw;Drenthe (PV);2022;2611.0;;
200;Landbouw (totaal);Gangbare landbouw;Overijssel (PV);2015;7838.0;;
201;Landbouw (totaal);Gangbare landbouw;Overijssel (PV);2016;6915.0;;
202;Landbouw (totaal);Gangbare landbouw;Overijssel (PV);2017;6792.0;;
203;Landbouw (totaal);Gangbare landbouw;Overijssel (PV);2018;6718.0;;
204;Landbouw (totaal);Gangbare landbouw;Overijssel (PV);2019;6630.0;;
205;Landbouw (totaal);Gangbare landbouw;Overijssel (PV);2020;6532.0;;
206;Landbouw (totaal);Gangbare landbouw;Overijssel (PV);2021;6475.0;;
207;Landbouw (totaal);Gangbare landbouw;Overijssel (PV);2022;6339.0;;
208;Landbouw (totaal);Gangbare landbouw;Flevoland (PV);2015;1646.0;;
209;Landbouw (totaal);Gangbare landbouw;Flevoland (PV);2016;1573.0;;
210;Landbouw (totaal);Gangbare landbouw;Flevoland (PV);2017;1564.0;;
211;Landbouw (totaal);Gangbare landbouw;Flevoland (PV);2018;1537.0;;
212;Landbouw (totaal);Gangbare landbouw;Flevoland (PV);2019;1530.0;;
213;Landbouw (totaal);Gangbare landbouw;Flevoland (PV);2020;1494.0;;
214;Landbouw (totaal);Gangbare landbouw;Flevoland (PV);2021;1466.0;;
215;Landbouw (totaal);Gangbare landbouw;Flevoland (PV);2022;1445.0;;
216;Landbouw (totaal);Gangbare landbouw;Gelderland (PV);2015;10748.0;;
217;Landbouw (totaal);Gangbare landbouw;Gelderland (PV);2016;9122.0;;
218;Landbouw (totaal);Gangbare landbouw;Gelderland (PV);2017;8964.0;;
219;Landbouw (totaal);Gangbare landbouw;Gelderland (PV);2018;8868.0;;
220;Landbouw (totaal);Gangbare landbouw;Gelderland (PV);2019;8769.0;;
221;Landbouw (totaal);Gangbare landbouw;Gelderland (PV);2020;8631.0;;
222;Landbouw (totaal);Gangbare landbouw;Gelderland (PV);2021;8535.0;;
223;Landbouw (totaal);Gangbare landbouw;Gelderland (PV);2022;8346.0;;
224;Landbouw (totaal);Gangbare landbouw;Utrecht (PV);2015;2585.0;;
225;Landbouw (totaal);Gangbare landbouw;Utrecht (PV);2016;2200.0;;
226;Landbouw (totaal);Gangbare landbouw;Utrecht (PV);2017;2158.0;;
227;Landbouw (totaal);Gangbare landbouw;Utrecht (PV);2018;2120.0;;
228;Landbouw (totaal);Gangbare landbouw;Utrecht (PV);2019;2307.0;;
229;Landbouw (totaal);Gangbare landbouw;Utrecht (PV);2020;2285.0;;
230;Landbouw (totaal);Gangbare landbouw;Utrecht (PV);2021;2249.0;;
231;Landbouw (totaal);Gangbare landbouw;Utrecht (PV);2022;2196.0;;
232;Landbouw (totaal);Gangbare landbouw;Noord-Holland (PV);2015;4123.0;;
233;Landbouw (totaal);Gangbare landbouw;Noord-Holland (PV);2016;3583.0;;
234;Landbouw (totaal);Gangbare landbouw;Noord-Holland (PV);2017;3497.0;;
235;Landbouw (totaal);Gangbare landbouw;Noord-Holland (PV);2018;3456.0;;
236;Landbouw (totaal);Gangbare landbouw;Noord-Holland (PV);2019;3410.0;;
237;Landbouw (totaal);Gangbare landbouw;Noord-Holland (PV);2020;3356.0;;
238;Landbouw (totaal);Gangbare landbouw;Noord-Holland (PV);2021;3346.0;;
239;Landbouw (totaal);Gangbare landbouw;Noord-Holland (PV);2022;3266.0;;
240;Landbouw (totaal);Gangbare landbouw;Zuid-Holland (PV);2015;5732.0;;
241;Landbouw (totaal);Gangbare landbouw;Zuid-Holland (PV);2016;5012.0;;
242;Landbouw (totaal);Gangbare landbouw;Zuid-Holland (PV);2017;4789.0;;
243;Landbouw (totaal);Gangbare landbouw;Zuid-Holland (PV);2018;4582.0;;
244;Landbouw (totaal);Gangbare landbouw;Zuid-Holland (PV);2019;4326.0;;
245;Landbouw (totaal);Gangbare landbouw;Zuid-Holland (PV);2020;4373.0;;
246;Landbouw (totaal);Gangbare landbouw;Zuid-Holland (PV);2021;4324.0;;
247;Landbouw (totaal);Gangbare landbouw;Zuid-Holland (PV);2022;4278.0;;
248;Landbouw (totaal);Gangbare landbouw;Zeeland (PV);2015;3077.0;;
249;Landbouw (totaal);Gangbare landbouw;Zeeland (PV);2016;2847.0;;
250;Landbouw (totaal);Gangbare landbouw;Zeeland (PV);2017;2826.0;;
251;Landbouw (totaal);Gangbare landbouw;Zeeland (PV);2018;2796.0;;
252;Landbouw (totaal);Gangbare landbouw;Zeeland (PV);2019;2774.0;;
253;Landbouw (totaal);Gangbare landbouw;Zeeland (PV);2020;2733.0;;
254;Landbouw (totaal);Gangbare landbouw;Zeeland (PV);2021;2719.0;;
255;Landbouw (totaal);Gangbare landbouw;Zeeland (PV);2022;2671.0;;
256;Landbouw (totaal);Gangbare landbouw;Noord-Brabant (PV);2015;11084.0;;
257;Landbouw (totaal);Gangbare landbouw;Noord-Brabant (PV);2016;9742.0;;
258;Landbouw (totaal);Gangbare landbouw;Noord-Brabant (PV);2017;9640.0;;
259;Landbouw (totaal);Gangbare landbouw;Noord-Brabant (PV);2018;9456.0;;
260;Landbouw (totaal);Gangbare landbouw;Noord-Brabant (PV);2019;9286.0;;
261;Landbouw (totaal);Gangbare landbouw;Noord-Brabant (PV);2020;9167.0;;
262;Landbouw (totaal);Gangbare landbouw;Noord-Brabant (PV);2021;8997.0;;
263;Landbouw (totaal);Gangbare landbouw;Noord-Brabant (PV);2022;8762.0;;
264;Landbouw (totaal);Gangbare landbouw;Limburg (PV);2015;4276.0;;
265;Landbouw (totaal);Gangbare landbouw;Limburg (PV);2016;3825.0;;
266;Landbouw (totaal);Gangbare landbouw;Limburg (PV);2017;3783.0;;
267;Landbouw (totaal);Gangbare landbouw;Limburg (PV);2018;3718.0;;
268;Landbouw (totaal);Gangbare landbouw;Limburg (PV);2019;3641.0;;
269;Landbouw (totaal);Gangbare landbouw;Limburg (PV);2020;3581.0;;
270;Landbouw (totaal);Gangbare landbouw;Limburg (PV);2021;3522.0;;
271;Landbouw (totaal);Gangbare landbouw;Limburg (PV);2022;3433.0;;
272;Landbouw (totaal);Biologische landbouw (totaal);Nederland;2015;1366.0;;
273;Landbouw (totaal);Biologische landbouw (totaal);Nederland;2016;1441.0;;
274;Landbouw (totaal);Biologische landbouw (totaal);Nederland;2017;1607.0;;
275;Landbouw (totaal);Biologische landbouw (totaal);Nederland;2018;1708.0;;
276;Landbouw (totaal);Biologische landbouw (totaal);Nederland;2019;1809.0;;
277;Landbouw (totaal);Biologische landbouw (totaal);Nederland;2020;1826.0;;
278;Landbouw (totaal);Biologische landbouw (totaal);Nederland;2021;1883.0;;
279;Landbouw (totaal);Biologische landbouw (totaal);Nederland;2022;1955.0;;
280;Landbouw (totaal);Biologische landbouw (totaal);Noord-Nederland (LD);2015;285.0;;
281;Landbouw (totaal);Biologische landbouw (totaal);Noord-Nederland (LD);2016;294.0;;
282;Landbouw (totaal);Biologische landbouw (totaal);Noord-Nederland (LD);2017;324.0;;
283;Landbouw (totaal);Biologische landbouw (totaal);Noord-Nederland (LD);2018;350.0;;
284;Landbouw (totaal);Biologische landbouw (totaal);Noord-Nederland (LD);2019;361.0;;
285;Landbouw (totaal);Biologische landbouw (totaal);Noord-Nederland (LD);2020;367.0;;
286;Landbouw (totaal);Biologische landbouw (totaal);Noord-Nederland (LD);2021;381.0;;
287;Landbouw (totaal);Biologische landbouw (totaal);Noord-Nederland (LD);2022;392.0;;
288;Landbouw (totaal);Biologische landbouw (totaal);Oost-Nederland (LD);2015;567.0;;
289;Landbouw (totaal);Biologische landbouw (totaal);Oost-Nederland (LD);2016;597.0;;
290;Landbouw (totaal);Biologische landbouw (totaal);Oost-Nederland (LD);2017;680.0;;
291;Landbouw (totaal);Biologische landbouw (totaal);Oost-Nederland (LD);2018;713.0;;
292;Landbouw (totaal);Biologische landbouw (totaal);Oost-Nederland (LD);2019;761.0;;
293;Landbouw (totaal);Biologische landbouw (totaal);Oost-Nederland (LD);2020;765.0;;
294;Landbouw (totaal);Biologische landbouw (totaal);Oost-Nederland (LD);2021;780.0;;
295;Landbouw (totaal);Biologische landbouw (totaal);Oost-Nederland (LD);2022;819.0;;
296;Landbouw (totaal);Biologische landbouw (totaal);West-Nederland (LD);2015;328.0;;
297;Landbouw (totaal);Biologische landbouw (totaal);West-Nederland (LD);2016;347.0;;
298;Landbouw (totaal);Biologische landbouw (totaal);West-Nederland (LD);2017;382.0;;
299;Landbouw (totaal);Biologische landbouw (totaal);West-Nederland (LD);2018;412.0;;
300;Landbouw (totaal);Biologische landbouw (totaal);West-Nederland (LD);2019;432.0;;
301;Landbouw (totaal);Biologische landbouw (totaal);West-Nederland (LD);2020;433.0;;
302;Landbouw (totaal);Biologische landbouw (totaal);West-Nederland (LD);2021;446.0;;
303;Landbouw (totaal);Biologische landbouw (totaal);West-Nederland (LD);2022;459.0;;
304;Landbouw (totaal);Biologische landbouw (totaal);Zuid-Nederland (LD);2015;186.0;;
305;Landbouw (totaal);Biologische landbouw (totaal);Zuid-Nederland (LD);2016;203.0;;
306;Landbouw (totaal);Biologische landbouw (totaal);Zuid-Nederland (LD);2017;221.0;;
307;Landbouw (totaal);Biologische landbouw (totaal);Zuid-Nederland (LD);2018;233.0;;
308;Landbouw (totaal);Biologische landbouw (totaal);Zuid-Nederland (LD);2019;255.0;;
309;Landbouw (totaal);Biologische landbouw (totaal);Zuid-Nederland (LD);2020;261.0;;
310;Landbouw (totaal);Biologische landbouw (totaal);Zuid-Nederland (LD);2021;276.0;;
311;Landbouw (totaal);Biologische landbouw (totaal);Zuid-Nederland (LD);2022;285.0;;
312;Landbouw (totaal);Biologische landbouw (totaal);Groningen (PV);2015;80.0;;
313;Landbouw (totaal);Biologische landbouw (totaal);Groningen (PV);2016;76.0;;
314;Landbouw (totaal);Biologische landbouw (totaal);Groningen (PV);2017;81.0;;
315;Landbouw (totaal);Biologische landbouw (totaal);Groningen (PV);2018;91.0;;
316;Landbouw (totaal);Biologische landbouw (totaal);Groningen (PV);2019;97.0;;
317;Landbouw (totaal);Biologische landbouw (totaal);Groningen (PV);2020;104.0;;
318;Landbouw (totaal);Biologische landbouw (totaal);Groningen (PV);2021;104.0;;
319;Landbouw (totaal);Biologische landbouw (totaal);Groningen (PV);2022;105.0;;
320;Landbouw (totaal);Biologische landbouw (totaal);Fryslân (PV);2015;131.0;;
321;Landbouw (totaal);Biologische landbouw (totaal);Fryslân (PV);2016;145.0;;
322;Landbouw (totaal);Biologische landbouw (totaal);Fryslân (PV);2017;155.0;;
323;Landbouw (totaal);Biologische landbouw (totaal);Fryslân (PV);2018;164.0;;
324;Landbouw (totaal);Biologische landbouw (totaal);Fryslân (PV);2019;168.0;;
325;Landbouw (totaal);Biologische landbouw (totaal);Fryslân (PV);2020;169.0;;
326;Landbouw (totaal);Biologische landbouw (totaal);Fryslân (PV);2021;179.0;;
327;Landbouw (totaal);Biologische landbouw (totaal);Fryslân (PV);2022;185.0;;
