ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalOprichtingen_1;k_0Tot10WerkzamePersonen_2;k_10OfMeerWerkzamePersonen_3;NatuurlijkePersonen_4;Rechtspersonen_5;EenjarigeBedrijven_6;MeerjarigeBedrijven_7;TotaalOpheffingen_8;k_0Tot10WerkzamePersonen_9;k_10OfMeerWerkzamePersonen_10;NatuurlijkePersonen_11;Rechtspersonen_12;EenjarigeBedrijven_13;MeerjarigeBedrijven_14;FusiesEnOvernames_15
19;A-F Landbouw en nijverheid;2012;20295.0;20115.0;180.0;17585.0;2710.0;820.0;19475.0;16290.0;15840.0;450.0;13305.0;2985.0;3145.0;13145.0;1015.0
20;A-F Landbouw en nijverheid;2013;21655.0;21470.0;180.0;18485.0;3170.0;;;19465.0;18995.0;470.0;15615.0;3850.0;5130.0;14335.0;1030.0
21;A Landbouw, bosbouw en visserij;2007;;;;;;;;;;;;;;;
22;A Landbouw, bosbouw en visserij;2008;;;;;;;;;;;;;;;
23;A Landbouw, bosbouw en visserij;2009;;;;;;;;;;;;;;;
24;A Landbouw, bosbouw en visserij;2010;;;;;;;;;;;;;;;
25;A Landbouw, bosbouw en visserij;2011;;;;;;;;;;;;;;;
26;A Landbouw, bosbouw en visserij;2012;3600.0;3575.0;25.0;3285.0;315.0;100.0;3505.0;3050.0;3010.0;40.0;2705.0;345.0;405.0;2645.0;95.0
27;A Landbouw, bosbouw en visserij;2013;3540.0;3520.0;25.0;3195.0;345.0;;;3465.0;3430.0;35.0;2980.0;480.0;805.0;2660.0;115.0
28;01 Landbouw;2007;;;;;;;;;;;;;;;
29;01 Landbouw;2008;;;;;;;;;;;;;;;
30;01 Landbouw;2009;;;;;;;;;;;;;;;
31;01 Landbouw;2010;;;;;;;;;;;;;;;
32;01 Landbouw;2011;;;;;;;;;;;;;;;
33;01 Landbouw;2012;3515.0;3495.0;25.0;3215.0;300.0;95.0;3420.0;2975.0;2935.0;40.0;2660.0;315.0;395.0;2580.0;90.0
34;01 Landbouw;2013;3450.0;3425.0;25.0;3120.0;330.0;;;3365.0;3335.0;30.0;2925.0;440.0;780.0;2590.0;110.0
35;011 Teelt van eenjarige gewassen;2007;;;;;;;;;;;;;;;
36;011 Teelt van eenjarige gewassen;2008;;;;;;;;;;;;;;;
37;011 Teelt van eenjarige gewassen;2009;;;;;;;;;;;;;;;
38;011 Teelt van eenjarige gewassen;2010;;;;;;;;;;;;;;;
39;011 Teelt van eenjarige gewassen;2011;;;;;;;;;;;;;;;
40;011 Teelt van eenjarige gewassen;2012;495.0;490.0;5.0;425.0;70.0;20.0;475.0;660.0;640.0;20.0;560.0;95.0;75.0;580.0;30.0
41;011 Teelt van eenjarige gewassen;2013;620.0;605.0;15.0;520.0;100.0;;;705.0;690.0;15.0;590.0;115.0;160.0;545.0;35.0
42;012 Teelt van meerjarige gewassen;2007;;;;;;;;;;;;;;;
43;012 Teelt van meerjarige gewassen;2008;;;;;;;;;;;;;;;
44;012 Teelt van meerjarige gewassen;2009;;;;;;;;;;;;;;;
45;012 Teelt van meerjarige gewassen;2010;;;;;;;;;;;;;;;
46;012 Teelt van meerjarige gewassen;2011;;;;;;;;;;;;;;;
47;012 Teelt van meerjarige gewassen;2012;90.0;85.0;5.0;80.0;10.0;5.0;85.0;80.0;75.0;5.0;75.0;5.0;10.0;70.0;0.0
48;012 Teelt van meerjarige gewassen;2013;105.0;105.0;0.0;95.0;10.0;;;90.0;85.0;5.0;75.0;15.0;35.0;55.0;5.0
49;013 Teelt van sierplanten;2007;;;;;;;;;;;;;;;
50;013 Teelt van sierplanten;2008;;;;;;;;;;;;;;;
51;013 Teelt van sierplanten;2009;;;;;;;;;;;;;;;
52;013 Teelt van sierplanten;2010;;;;;;;;;;;;;;;
53;013 Teelt van sierplanten;2011;;;;;;;;;;;;;;;
54;013 Teelt van sierplanten;2012;165.0;160.0;0.0;125.0;40.0;10.0;155.0;240.0;230.0;10.0;185.0;50.0;30.0;205.0;25.0
55;013 Teelt van sierplanten;2013;170.0;170.0;0.0;135.0;35.0;;;260.0;255.0;5.0;190.0;70.0;65.0;195.0;25.0
56;014 Veeteelt en fokkerijen;2007;;;;;;;;;;;;;;;
57;014 Veeteelt en fokkerijen;2008;;;;;;;;;;;;;;;
58;014 Veeteelt en fokkerijen;2009;;;;;;;;;;;;;;;
59;014 Veeteelt en fokkerijen;2010;;;;;;;;;;;;;;;
60;014 Veeteelt en fokkerijen;2011;;;;;;;;;;;;;;;
61;014 Veeteelt en fokkerijen;2012;1595.0;1590.0;5.0;1495.0;105.0;30.0;1565.0;1220.0;1220.0;0.0;1140.0;80.0;110.0;1115.0;15.0
62;014 Veeteelt en fokkerijen;2013;1310.0;1310.0;0.0;1205.0;100.0;;;1465.0;1465.0;5.0;1345.0;125.0;300.0;1165.0;15.0
63;015 Gemengd bedrijf;2007;;;;;;;;;;;;;;;
64;015 Gemengd bedrijf;2008;;;;;;;;;;;;;;;
65;015 Gemengd bedrijf;2009;;;;;;;;;;;;;;;
66;015 Gemengd bedrijf;2010;;;;;;;;;;;;;;;
67;015 Gemengd bedrijf;2011;;;;;;;;;;;;;;;
68;015 Gemengd bedrijf;2012;95.0;95.0;0.0;75.0;20.0;5.0;90.0;55.0;55.0;0.0;30.0;25.0;15.0;40.0;5.0
69;015 Gemengd bedrijf;2013;100.0;100.0;0.0;75.0;30.0;;;60.0;60.0;0.0;20.0;40.0;20.0;40.0;5.0
70;016 Dienstverlening voor de landbouw;2007;1280.0;1265.0;15.0;1185.0;95.0;170.0;1110.0;645.0;620.0;25.0;570.0;70.0;160.0;485.0;5.0
71;016 Dienstverlening voor de landbouw;2008;1650.0;1635.0;15.0;1550.0;100.0;240.0;1410.0;600.0;585.0;15.0;540.0;60.0;150.0;450.0;5.0
72;016 Dienstverlening voor de landbouw;2009;1285.0;1270.0;15.0;1205.0;80.0;200.0;1085.0;795.0;775.0;20.0;720.0;75.0;245.0;550.0;10.0
73;016 Dienstverlening voor de landbouw;2010;945.0;935.0;10.0;880.0;65.0;100.0;845.0;695.0;680.0;10.0;615.0;75.0;160.0;530.0;10.0
74;016 Dienstverlening voor de landbouw;2011;1265.0;1255.0;15.0;1180.0;85.0;135.0;1130.0;630.0;615.0;15.0;585.0;45.0;115.0;515.0;10.0
75;016 Dienstverlening voor de landbouw;2012;1080.0;1070.0;5.0;1025.0;55.0;30.0;1050.0;720.0;715.0;5.0;665.0;55.0;150.0;570.0;20.0
76;016 Dienstverlening voor de landbouw;2013;1145.0;1140.0;5.0;1090.0;55.0;;;785.0;780.0;5.0;710.0;75.0;195.0;590.0;25.0
77;017 Jacht;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;5.0;0.0;0.0;0.0;0.0
78;017 Jacht;2008;5.0;5.0;0.0;5.0;0.0;0.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0;5.0;0.0
79;017 Jacht;2009;5.0;5.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
80;017 Jacht;2010;5.0;5.0;0.0;5.0;0.0;0.0;5.0;5.0;5.0;0.0;5.0;0.0;0.0;5.0;0.0
81;017 Jacht;2011;5.0;5.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
82;017 Jacht;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83;017 Jacht;2013;;;;;;;;;;;;;;;
84;02 Bosbouw;2007;45.0;45.0;0.0;35.0;10.0;5.0;40.0;30.0;30.0;0.0;25.0;10.0;5.0;25.0;0.0
85;02 Bosbouw;2008;40.0;40.0;0.0;35.0;5.0;5.0;35.0;20.0;20.0;0.0;15.0;5.0;5.0;15.0;0.0
86;02 Bosbouw;2009;45.0;45.0;0.0;40.0;10.0;10.0;40.0;30.0;30.0;0.0;20.0;10.0;10.0;20.0;0.0
87;02 Bosbouw;2010;25.0;25.0;0.0;20.0;5.0;0.0;25.0;20.0;20.0;0.0;15.0;5.0;5.0;20.0;0.0
88;02 Bosbouw;2011;40.0;40.0;0.0;35.0;5.0;0.0;40.0;10.0;10.0;0.0;10.0;0.0;0.0;10.0;0.0
89;02 Bosbouw;2012;30.0;30.0;0.0;25.0;5.0;0.0;30.0;30.0;30.0;0.0;20.0;5.0;5.0;25.0;0.0
90;02 Bosbouw;2013;35.0;35.0;0.0;25.0;5.0;;;30.0;30.0;0.0;25.0;10.0;5.0;25.0;0.0
91;021 Bosbouw;2007;30.0;30.0;0.0;25.0;5.0;5.0;25.0;30.0;30.0;0.0;25.0;10.0;5.0;25.0;0.0
92;021 Bosbouw;2008;35.0;35.0;0.0;30.0;5.0;5.0;30.0;20.0;20.0;0.0;15.0;5.0;5.0;15.0;0.0
93;021 Bosbouw;2009;35.0;35.0;0.0;30.0;5.0;5.0;30.0;15.0;15.0;0.0;10.0;5.0;5.0;10.0;0.0
94;021 Bosbouw;2010;15.0;15.0;0.0;10.0;5.0;0.0;15.0;10.0;10.0;0.0;5.0;5.0;5.0;5.0;0.0
95;021 Bosbouw;2011;15.0;15.0;0.0;15.0;5.0;0.0;15.0;5.0;5.0;0.0;0.0;0.0;0.0;5.0;0.0
96;021 Bosbouw;2012;10.0;10.0;0.0;10.0;0.0;0.0;10.0;15.0;15.0;0.0;10.0;5.0;0.0;15.0;0.0
97;021 Bosbouw;2013;15.0;15.0;0.0;15.0;0.0;;;20.0;20.0;0.0;15.0;5.0;5.0;15.0;0.0
98;022 Exploitatie van bossen;2007;5.0;5.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99;022 Exploitatie van bossen;2008;10.0;10.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;022 Exploitatie van bossen;2009;5.0;5.0;0.0;5.0;0.0;0.0;5.0;10.0;10.0;0.0;10.0;5.0;5.0;10.0;0.0
101;022 Exploitatie van bossen;2010;5.0;5.0;0.0;5.0;0.0;0.0;5.0;10.0;10.0;0.0;10.0;0.0;0.0;10.0;0.0
102;022 Exploitatie van bossen;2011;5.0;5.0;0.0;0.0;5.0;0.0;5.0;5.0;5.0;0.0;5.0;0.0;0.0;0.0;0.0
103;022 Exploitatie van bossen;2012;5.0;5.0;0.0;5.0;0.0;0.0;0.0;10.0;10.0;0.0;5.0;5.0;0.0;10.0;0.0
104;022 Exploitatie van bossen;2013;5.0;5.0;0.0;0.0;0.0;;;5.0;5.0;0.0;0.0;0.0;0.0;5.0;0.0
105;024 Dienstverlening voor de bosbouw;2007;5.0;5.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
106;024 Dienstverlening voor de bosbouw;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
107;024 Dienstverlening voor de bosbouw;2009;5.0;5.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
108;024 Dienstverlening voor de bosbouw;2010;5.0;5.0;0.0;5.0;0.0;0.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
109;024 Dienstverlening voor de bosbouw;2011;20.0;20.0;0.0;20.0;0.0;0.0;20.0;5.0;5.0;0.0;5.0;0.0;0.0;5.0;0.0
110;024 Dienstverlening voor de bosbouw;2012;15.0;15.0;0.0;15.0;0.0;0.0;15.0;5.0;5.0;0.0;5.0;0.0;0.0;5.0;0.0
111;024 Dienstverlening voor de bosbouw;2013;15.0;15.0;0.0;10.0;0.0;;;10.0;10.0;0.0;10.0;0.0;0.0;5.0;0.0
112;03 Visserij;2007;60.0;60.0;0.0;30.0;25.0;15.0;45.0;60.0;60.0;0.0;40.0;20.0;10.0;50.0;5.0
113;03 Visserij;2008;90.0;85.0;0.0;60.0;30.0;20.0;70.0;60.0;60.0;0.0;40.0;20.0;15.0;45.0;0.0
114;03 Visserij;2009;150.0;150.0;0.0;110.0;40.0;20.0;130.0;60.0;55.0;5.0;35.0;25.0;20.0;40.0;5.0
115;03 Visserij;2010;90.0;90.0;0.0;75.0;15.0;5.0;85.0;60.0;60.0;0.0;35.0;20.0;20.0;35.0;0.0
116;03 Visserij;2011;70.0;70.0;5.0;45.0;25.0;10.0;60.0;50.0;45.0;0.0;30.0;20.0;10.0;35.0;0.0
117;03 Visserij;2012;55.0;55.0;0.0;45.0;15.0;0.0;55.0;45.0;45.0;0.0;25.0;25.0;5.0;40.0;5.0
118;03 Visserij;2013;60.0;60.0;0.0;45.0;10.0;;;65.0;65.0;0.0;35.0;35.0;20.0;50.0;5.0
119;031 Visserij;2007;45.0;45.0;0.0;25.0;20.0;10.0;35.0;45.0;45.0;0.0;30.0;15.0;10.0;35.0;0.0
120;031 Visserij;2008;70.0;70.0;0.0;50.0;20.0;15.0;55.0;55.0;55.0;0.0;35.0;20.0;15.0;40.0;0.0
121;031 Visserij;2009;130.0;130.0;0.0;100.0;30.0;15.0;115.0;45.0;40.0;5.0;25.0;20.0;15.0;25.0;0.0
122;031 Visserij;2010;80.0;80.0;0.0;70.0;10.0;5.0;75.0;45.0;45.0;0.0;30.0;15.0;20.0;25.0;0.0
123;031 Visserij;2011;50.0;50.0;5.0;35.0;15.0;10.0;45.0;40.0;35.0;0.0;25.0;15.0;10.0;30.0;0.0
124;031 Visserij;2012;45.0;45.0;0.0;35.0;10.0;0.0;45.0;35.0;35.0;0.0;15.0;20.0;5.0;30.0;0.0
125;031 Visserij;2013;45.0;45.0;0.0;35.0;10.0;;;55.0;55.0;0.0;25.0;25.0;15.0;40.0;5.0
126;032 Viskwekerij;2007;10.0;10.0;0.0;5.0;5.0;5.0;10.0;15.0;15.0;0.0;15.0;5.0;5.0;15.0;5.0
127;032 Viskwekerij;2008;20.0;20.0;0.0;10.0;10.0;5.0;15.0;5.0;5.0;0.0;5.0;0.0;0.0;5.0;0.0
128;032 Viskwekerij;2009;20.0;20.0;0.0;10.0;10.0;5.0;15.0;15.0;15.0;0.0;10.0;5.0;0.0;15.0;5.0
129;032 Viskwekerij;2010;10.0;10.0;0.0;5.0;5.0;0.0;10.0;15.0;15.0;0.0;10.0;5.0;5.0;10.0;0.0
130;032 Viskwekerij;2011;20.0;20.0;0.0;10.0;10.0;5.0;15.0;10.0;10.0;0.0;5.0;5.0;0.0;10.0;0.0
131;032 Viskwekerij;2012;10.0;10.0;0.0;10.0;0.0;0.0;10.0;10.0;10.0;0.0;5.0;5.0;0.0;10.0;5.0
132;032 Viskwekerij;2013;15.0;15.0;0.0;10.0;0.0;;;15.0;15.0;0.0;5.0;5.0;5.0;10.0;0.0
133;B-E Nijverheid (geen bouw) en energie;2007;5200.0;5045.0;155.0;3705.0;1495.0;775.0;4425.0;3505.0;3185.0;320.0;2225.0;1285.0;780.0;2725.0;245.0
134;B-E Nijverheid (geen bouw) en energie;2008;5900.0;5705.0;200.0;4225.0;1675.0;1020.0;4885.0;3435.0;3200.0;235.0;2255.0;1180.0;860.0;2580.0;235.0
135;B-E Nijverheid (geen bouw) en energie;2009;4370.0;4235.0;130.0;3040.0;1330.0;700.0;3670.0;3955.0;3595.0;360.0;2355.0;1595.0;1000.0;2955.0;215.0
136;B-E Nijverheid (geen bouw) en energie;2010;3610.0;3525.0;85.0;2620.0;990.0;455.0;3155.0;3125.0;2920.0;210.0;2025.0;1105.0;625.0;2500.0;315.0
137;B-E Nijverheid (geen bouw) en energie;2011;5305.0;5195.0;110.0;4060.0;1245.0;620.0;4685.0;3075.0;2885.0;190.0;2045.0;1030.0;560.0;2515.0;425.0
138;B-E Nijverheid (geen bouw) en energie;2012;4560.0;4470.0;90.0;3460.0;1100.0;165.0;4400.0;3600.0;3420.0;180.0;2485.0;1120.0;715.0;2885.0;490.0
139;B-E Nijverheid (geen bouw) en energie;2013;4990.0;4900.0;95.0;3680.0;1310.0;;;4175.0;3965.0;210.0;2785.0;1390.0;1150.0;3030.0;470.0
140;B-F Nijverheid en energie;2007;23860.0;23560.0;300.0;20440.0;3420.0;2995.0;20865.0;10850.0;10270.0;580.0;8155.0;2695.0;2610.0;8240.0;470.0
141;B-F Nijverheid en energie;2008;27825.0;27435.0;390.0;23925.0;3900.0;4475.0;23355.0;10855.0;10410.0;445.0;8270.0;2585.0;3285.0;7565.0;460.0
142;B-F Nijverheid en energie;2009;18270.0;18035.0;240.0;15370.0;2900.0;2975.0;15295.0;14250.0;13635.0;615.0;10740.0;3510.0;3985.0;10270.0;445.0
143;B-F Nijverheid en energie;2010;13335.0;13175.0;160.0;11180.0;2155.0;1720.0;11615.0;12365.0;12000.0;365.0;9810.0;2550.0;2680.0;9685.0;655.0
144;B-F Nijverheid en energie;2011;20510.0;20310.0;200.0;17840.0;2670.0;2370.0;18140.0;11765.0;11440.0;325.0;9330.0;2435.0;2125.0;9635.0;800.0
145;B-F Nijverheid en energie;2012;16695.0;16540.0;155.0;14300.0;2395.0;720.0;15970.0;13240.0;12830.0;410.0;10595.0;2640.0;2740.0;10495.0;920.0
146;B-F Nijverheid en energie;2013;18110.0;17955.0;160.0;15290.0;2825.0;;;16000.0;15565.0;435.0;12630.0;3370.0;4330.0;11670.0;910.0
147;B Delfstoffenwinning;2007;45.0;40.0;0.0;20.0;25.0;20.0;25.0;55.0;55.0;0.0;15.0;45.0;20.0;35.0;5.0
148;B Delfstoffenwinning;2008;55.0;45.0;5.0;15.0;35.0;15.0;40.0;70.0;65.0;5.0;15.0;55.0;15.0;55.0;0.0
149;B Delfstoffenwinning;2009;50.0;45.0;5.0;15.0;35.0;20.0;30.0;60.0;55.0;5.0;25.0;30.0;10.0;50.0;0.0
150;B Delfstoffenwinning;2010;40.0;40.0;0.0;15.0;20.0;5.0;35.0;45.0;40.0;5.0;10.0;35.0;20.0;25.0;0.0
151;B Delfstoffenwinning;2011;45.0;40.0;5.0;20.0;20.0;10.0;30.0;25.0;20.0;0.0;5.0;15.0;10.0;15.0;5.0
152;B Delfstoffenwinning;2012;60.0;55.0;0.0;25.0;35.0;10.0;50.0;25.0;25.0;0.0;5.0;20.0;15.0;10.0;5.0
153;B Delfstoffenwinning;2013;55.0;55.0;0.0;25.0;30.0;;;35.0;30.0;0.0;10.0;25.0;15.0;20.0;5.0
154;06 Winning van aardolie en aardgas;2007;15.0;15.0;0.0;5.0;5.0;5.0;10.0;15.0;15.0;0.0;5.0;10.0;10.0;5.0;0.0
155;06 Winning van aardolie en aardgas;2008;20.0;20.0;0.0;5.0;15.0;5.0;15.0;20.0;20.0;0.0;5.0;15.0;0.0;15.0;0.0
156;06 Winning van aardolie en aardgas;2009;15.0;15.0;0.0;0.0;15.0;5.0;10.0;10.0;10.0;0.0;0.0;5.0;5.0;5.0;0.0
157;06 Winning van aardolie en aardgas;2010;5.0;5.0;0.0;0.0;5.0;0.0;5.0;5.0;5.0;0.0;0.0;5.0;0.0;5.0;0.0
158;06 Winning van aardolie en aardgas;2011;5.0;5.0;0.0;0.0;5.0;0.0;0.0;10.0;10.0;0.0;0.0;5.0;5.0;5.0;0.0
159;06 Winning van aardolie en aardgas;2012;5.0;5.0;0.0;0.0;5.0;0.0;5.0;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
160;06 Winning van aardolie en aardgas;2013;10.0;10.0;0.0;0.0;10.0;;;5.0;5.0;0.0;0.0;5.0;5.0;5.0;0.0
161;061 Winning van aardolie;2007;10.0;10.0;0.0;5.0;5.0;5.0;5.0;15.0;15.0;0.0;5.0;10.0;10.0;5.0;0.0
162;061 Winning van aardolie;2008;20.0;20.0;0.0;5.0;15.0;5.0;15.0;20.0;20.0;0.0;5.0;15.0;0.0;15.0;0.0
163;061 Winning van aardolie;2009;10.0;10.0;0.0;0.0;10.0;5.0;10.0;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
164;061 Winning van aardolie;2010;5.0;5.0;0.0;0.0;5.0;0.0;5.0;5.0;5.0;0.0;0.0;5.0;0.0;5.0;0.0
165;061 Winning van aardolie;2011;5.0;5.0;0.0;0.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0;5.0;0.0;5.0;0.0
166;061 Winning van aardolie;2012;5.0;5.0;0.0;0.0;5.0;0.0;5.0;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
167;061 Winning van aardolie;2013;10.0;10.0;0.0;0.0;5.0;;;5.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0
168;062 Winning van aardgas;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
169;062 Winning van aardgas;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170;062 Winning van aardgas;2009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;5.0;0.0
171;062 Winning van aardgas;2010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
172;062 Winning van aardgas;2011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
173;062 Winning van aardgas;2012;5.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
174;062 Winning van aardgas;2013;0.0;0.0;0.0;0.0;0.0;;;5.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0
175;08 Delfstoffenwinning (geen olie en gas);2007;20.0;20.0;0.0;5.0;10.0;10.0;10.0;25.0;20.0;0.0;5.0;15.0;5.0;20.0;0.0
176;08 Delfstoffenwinning (geen olie en gas);2008;20.0;15.0;5.0;5.0;10.0;5.0;15.0;20.0;15.0;5.0;5.0;15.0;5.0;10.0;0.0
177;08 Delfstoffenwinning (geen olie en gas);2009;15.0;10.0;0.0;5.0;5.0;5.0;10.0;30.0;30.0;0.0;15.0;15.0;5.0;25.0;0.0
178;08 Delfstoffenwinning (geen olie en gas);2010;10.0;10.0;0.0;5.0;5.0;0.0;10.0;10.0;10.0;0.0;5.0;10.0;5.0;5.0;0.0
179;08 Delfstoffenwinning (geen olie en gas);2011;5.0;5.0;0.0;0.0;5.0;0.0;5.0;5.0;5.0;0.0;5.0;5.0;0.0;5.0;0.0
180;08 Delfstoffenwinning (geen olie en gas);2012;15.0;15.0;0.0;5.0;10.0;5.0;10.0;5.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0
181;08 Delfstoffenwinning (geen olie en gas);2013;10.0;10.0;0.0;0.0;10.0;;;5.0;5.0;0.0;0.0;5.0;5.0;5.0;0.0
182;081 Winning van zand, grind en klei;2007;15.0;15.0;0.0;5.0;5.0;5.0;5.0;15.0;15.0;0.0;5.0;10.0;5.0;10.0;0.0
183;081 Winning van zand, grind en klei;2008;10.0;10.0;0.0;5.0;5.0;0.0;10.0;5.0;5.0;0.0;0.0;5.0;5.0;5.0;0.0
184;081 Winning van zand, grind en klei;2009;10.0;10.0;0.0;5.0;5.0;5.0;5.0;25.0;25.0;0.0;15.0;10.0;5.0;25.0;0.0
185;081 Winning van zand, grind en klei;2010;10.0;10.0;0.0;5.0;5.0;0.0;5.0;10.0;10.0;0.0;5.0;10.0;5.0;5.0;0.0
186;081 Winning van zand, grind en klei;2011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;5.0;5.0;0.0;5.0;0.0
187;081 Winning van zand, grind en klei;2012;10.0;10.0;0.0;5.0;5.0;5.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
188;081 Winning van zand, grind en klei;2013;5.0;5.0;0.0;0.0;5.0;;;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
189;089 Winning van overige delfstoffen;2007;5.0;5.0;0.0;0.0;5.0;0.0;5.0;5.0;5.0;0.0;0.0;5.0;0.0;5.0;0.0
190;089 Winning van overige delfstoffen;2008;5.0;5.0;5.0;0.0;5.0;5.0;5.0;15.0;10.0;5.0;0.0;10.0;5.0;10.0;0.0
191;089 Winning van overige delfstoffen;2009;5.0;5.0;0.0;0.0;0.0;0.0;5.0;5.0;5.0;0.0;0.0;5.0;0.0;5.0;0.0
192;089 Winning van overige delfstoffen;2010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
193;089 Winning van overige delfstoffen;2011;5.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
194;089 Winning van overige delfstoffen;2012;5.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
195;089 Winning van overige delfstoffen;2013;5.0;0.0;0.0;0.0;5.0;;;5.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0
196;09 Dienstverlening delfstoffenwinning;2007;10.0;10.0;0.0;5.0;5.0;5.0;5.0;20.0;20.0;0.0;5.0;15.0;5.0;10.0;0.0
197;09 Dienstverlening delfstoffenwinning;2008;15.0;10.0;5.0;5.0;10.0;5.0;10.0;30.0;30.0;0.0;5.0;25.0;5.0;25.0;0.0
