ID;LandVanUiteindelijkeZeggenschapUCI;BedrijfstakkenBranchesSBI2008;Perioden;BedrijvenMetWerknemersInLoondienst_1;AantalBanen_2;Mannen_3;Vrouwen_4;JongerDan50_5;k_50JaarOfOuder_6;Autochtoon_7;Allochtoon_8;Nieuwkomers_9;Blijvers_10;Wisselaars_11;Hoog_12;Midden_13;Laag_14;FiscaalJaarloonPerBaan_15
20;Nederland;Detailhandel en horeca;2008;89360;994;46;54;86;14;81;19;19;65;16;4;32;64;27
21;Nederland;Detailhandel en horeca;2009;88440;997;46;54;86;14;81;19;15;70;14;4;31;65;27
22;Nederland;Detailhandel en horeca;2010;85445;1043;46;54;85;15;81;19;16;72;12;4;32;64;28
23;Nederland;Detailhandel en horeca;2011;87330;1057;47;53;85;15;81;19;17;70;13;4;31;65;29
24;Nederland;H Vervoer en opslag;2008;13255;276;80;20;69;31;84;16;8;77;15;18;58;24;41
25;Nederland;H Vervoer en opslag;2009;12710;202;83;17;68;32;84;16;6;82;13;17;64;20;40
26;Nederland;H Vervoer en opslag;2010;11830;227;84;16;67;33;85;15;7;82;11;18;64;17;41
27;Nederland;H Vervoer en opslag;2011;12120;253;82;18;65;35;84;16;8;81;11;17;60;23;42
28;Nederland;J Informatie en communicatie;2008;14405;169;72;28;84;16;81;19;8;73;19;43;44;14;51
29;Nederland;J Informatie en communicatie;2009;14040;165;72;28;84;16;82;18;7;78;16;40;45;15;51
30;Nederland;J Informatie en communicatie;2010;13805;169;72;28;83;17;81;19;7;81;12;41;45;14;52
31;Nederland;J Informatie en communicatie;2011;15215;163;72;28;83;17;82;18;9;77;14;40;45;15;53
32;Nederland;K Financiële dienstverlening;2008;78370;258;61;39;74;26;85;15;7;80;14;47;39;15;59
33;Nederland;K Financiële dienstverlening;2009;70220;223;62;38;74;26;85;15;8;80;13;46;40;14;59
34;Nederland;K Financiële dienstverlening;2010;49125;238;60;40;73;27;84;16;5;88;7;49;40;11;63
35;Nederland;K Financiële dienstverlening;2011;59865;242;60;40;70;30;85;15;9;84;7;48;40;12;63
36;Nederland;M Specialistische zakelijke diensten;2008;75865;493;59;41;79;21;82;18;9;73;18;37;45;19;54
37;Nederland;M Specialistische zakelijke diensten;2009;68645;476;58;42;79;21;83;17;8;77;15;34;46;20;53
38;Nederland;M Specialistische zakelijke diensten;2010;63785;450;58;42;78;22;83;17;8;81;11;35;46;19;55
39;Nederland;M Specialistische zakelijke diensten;2011;72610;449;58;42;76;24;83;17;10;78;12;34;46;20;55
40;Nederland;Onroerend goed en overige diensten;2008;50150;966;53;47;82;18;63;37;22;52;26;9;44;47;33
41;Nederland;Onroerend goed en overige diensten;2009;46935;972;52;48;82;18;65;35;18;58;24;9;43;48;34
42;Nederland;Onroerend goed en overige diensten;2010;45820;922;53;47;81;19;65;35;20;61;19;9;44;47;34
43;Nederland;Onroerend goed en overige diensten;2011;48385;884;53;47;79;21;66;34;20;61;19;10;44;46;35
44;Nederland;Overheid, onderwijs en gezondheidszorg;2008;45995;2297;32;68;69;31;85;15;6;82;12;17;56;27;40
45;Nederland;Overheid, onderwijs en gezondheidszorg;2009;44740;2303;29;71;68;32;85;15;5;82;13;16;57;28;40
46;Nederland;Overheid, onderwijs en gezondheidszorg;2010;46495;2304;28;72;67;33;85;15;6;86;8;15;56;29;40
47;Nederland;Overheid, onderwijs en gezondheidszorg;2011;48960;2386;27;73;66;34;85;15;6;86;8;15;57;29;41
48;Buitenland;A-U Alle economische activiteiten;2008;7710;950;65;35;79;21;73;27;7;79;14;34;47;19;50
49;Buitenland;A-U Alle economische activiteiten;2009;8110;935;66;34;78;22;74;26;6;82;12;33;49;19;50
50;Buitenland;A-U Alle economische activiteiten;2010;8435;931;66;34;77;23;73;27;7;83;10;31;50;19;51
51;Buitenland;A-U Alle economische activiteiten;2011;10390;949;67;33;76;24;73;27;7;83;10;33;49;17;53
52;Buitenland;Landbouw, delfstoffen en energie;2008;115;11;80;20;72;28;82;18;3;84;13;45;51;4;56
53;Buitenland;Landbouw, delfstoffen en energie;2009;125;17;80;20;69;31;83;17;3;87;10;50;45;4;56
54;Buitenland;Landbouw, delfstoffen en energie;2010;145;15;78;22;72;28;82;18;3;89;8;47;49;5;57
55;Buitenland;Landbouw, delfstoffen en energie;2011;170;18;78;22;70;30;80;20;4;88;8;48;48;4;61
56;Buitenland;C Industrie;2008;1380;211;84;16;72;28;78;22;2;89;9;43;53;4;50
57;Buitenland;C Industrie;2009;1430;210;83;17;70;30;78;22;2;90;9;39;57;4;50
58;Buitenland;C Industrie;2010;1510;221;83;17;69;31;78;22;3;92;5;39;56;4;51
59;Buitenland;C Industrie;2011;1655;228;83;17;68;32;78;22;3;90;7;40;55;4;53
60;Buitenland;F Bouwnijverheid;2008;155;18;89;11;74;26;81;19;4;84;12;44;52;4;48
61;Buitenland;F Bouwnijverheid;2009;150;22;89;11;72;28;81;19;4;82;14;39;57;4;49
62;Buitenland;F Bouwnijverheid;2010;140;21;89;11;71;29;81;19;2;92;6;38;58;4;49
63;Buitenland;F Bouwnijverheid;2011;180;24;89;11;71;29;80;20;5;87;9;36;59;4;50
64;Buitenland;46 Groothandel en handelsbemiddeling;2008;2465;127;70;30;80;20;76;24;5;81;13;44;47;9;56
65;Buitenland;46 Groothandel en handelsbemiddeling;2009;2575;131;70;30;79;21;76;24;4;86;11;42;48;10;56
66;Buitenland;46 Groothandel en handelsbemiddeling;2010;2790;146;70;30;78;22;75;25;5;87;9;42;49;9;57
67;Buitenland;46 Groothandel en handelsbemiddeling;2011;3545;156;70;30;77;23;74;26;6;85;10;42;49;9;58
68;Buitenland;Detailhandel en horeca;2008;420;152;38;62;86;14;74;26;14;71;15;7;42;52;30
69;Buitenland;Detailhandel en horeca;2009;540;155;39;61;85;15;74;26;11;76;13;6;40;54;31
70;Buitenland;Detailhandel en horeca;2010;435;149;39;61;85;15;71;29;13;73;14;6;40;54;32
71;Buitenland;Detailhandel en horeca;2011;520;156;38;62;85;15;72;28;14;73;12;6;39;55;33
72;Buitenland;H Vervoer en opslag;2008;470;103;71;29;71;29;75;25;4;85;11;25;60;15;46
73;Buitenland;H Vervoer en opslag;2009;505;75;73;27;70;30;75;25;3;89;8;24;63;13;46
74;Buitenland;H Vervoer en opslag;2010;570;92;73;27;70;30;74;26;4;89;7;25;62;13;47
75;Buitenland;H Vervoer en opslag;2011;660;95;73;27;70;30;73;27;5;87;8;26;62;13;49
76;Buitenland;J Informatie en communicatie;2008;495;75;72;28;84;16;74;26;6;79;14;57;37;6;60
77;Buitenland;J Informatie en communicatie;2009;515;75;73;27;82;18;76;24;4;88;9;56;38;6;61
78;Buitenland;J Informatie en communicatie;2010;575;71;72;28;81;19;75;25;5;87;8;55;38;7;63
79;Buitenland;J Informatie en communicatie;2011;775;82;72;28;80;20;74;26;6;84;10;53;39;8;64
80;Buitenland;K Financiële dienstverlening;2008;680;75;58;42;78;22;77;23;3;89;8;61;35;3;72
81;Buitenland;K Financiële dienstverlening;2009;705;71;59;41;77;23;76;24;3;87;10;58;37;5;69
82;Buitenland;K Financiële dienstverlening;2010;605;25;59;41;79;21;70;30;5;86;9;52;41;6;73
83;Buitenland;K Financiële dienstverlening;2011;770;24;58;42;78;22;69;31;8;82;10;52;41;6;74
84;Buitenland;M Specialistische zakelijke diensten;2008;1035;57;64;36;81;19;71;29;7;77;16;49;43;7;62
85;Buitenland;M Specialistische zakelijke diensten;2009;1010;62;65;35;79;21;74;26;5;84;12;48;45;7;60
86;Buitenland;M Specialistische zakelijke diensten;2010;1080;68;65;35;79;21;72;28;7;83;10;47;44;9;63
87;Buitenland;M Specialistische zakelijke diensten;2011;1410;80;64;36;82;18;72;28;8;80;12;49;42;9;67
88;Buitenland;Onroerend goed en overige diensten;2008;400;116;54;46;85;15;58;42;18;54;28;8;49;43;34
89;Buitenland;Onroerend goed en overige diensten;2009;450;111;56;44;85;15;59;41;16;57;27;8;50;42;35
90;Buitenland;Onroerend goed en overige diensten;2010;465;109;57;43;84;16;59;41;18;62;20;9;52;39;37
91;Buitenland;Onroerend goed en overige diensten;2011;560;80;57;43;81;19;60;40;12;71;16;14;58;28;42
92;Buitenland;Overheid, onderwijs en gezondheidszorg;2008;95;5;51;49;80;20;79;21;12;65;22;22;56;22;43
93;Buitenland;Overheid, onderwijs en gezondheidszorg;2009;100;6;47;53;83;17;78;22;9;78;13;23;48;29;43
94;Buitenland;Overheid, onderwijs en gezondheidszorg;2010;115;14;40;60;75;25;76;24;8;81;11;22;56;22;43
95;Buitenland;Overheid, onderwijs en gezondheidszorg;2011;145;6;50;50;79;21;73;27;13;74;13;28;46;26;48
