ID;Vakantiekenmerken;Perioden;TotaalAantalKorteVakantiesNederland_1;Noordzeebadplaatsen_2;Watersportgebieden_3;VeluweEnVeluwerand_4;TwenteSallandEnVechtstreek_5;GroningseFrieseEnDrentseZandgronden_6;WestEnMiddenBrabant_7;OBrabantNMLimburgRijkVNijmegen_8;ZuidLimburg_9;OverigNederland_10;Friesland_11;Drenthe_12;Overijssel_13;Gelderland_14;NoordHolland_15;ZuidHolland_16;Zeeland_17;NoordBrabant_18;Limburg_19;OverigeProvincies_20
31;SL: zomerhuisje, bungalow, tweede woning;2003;399.0;77.0;77.0;38.0;46.0;77.0;8.0;11.0;0.0;66.0;9.0;77.0;46.0;42.0;74.0;27.0;76.0;8.0;7.0;33.0
32;SL: zomerhuisje, bungalow, tweede woning;2004;524.0;122.0;103.0;123.0;43.0;19.0;40.0;2.0;;72.0;27.0;19.0;48.0;125.0;116.0;45.0;73.0;40.0;0.0;30.0
33;SL: zomerhuisje, bungalow, tweede woning;2005;498.0;138.0;20.0;123.0;36.0;31.0;37.0;4.0;0.0;108.0;16.0;31.0;36.0;123.0;96.0;76.0;49.0;37.0;4.0;30.0
34;SL: zomerhuisje, bungalow, tweede woning;2006;528.0;137.0;24.0;110.0;21.0;9.0;17.0;5.0;8.0;197.0;23.0;9.0;21.0;226.0;138.0;9.0;55.0;17.0;13.0;16.0
35;SL: zomerhuisje, bungalow, tweede woning;2007;655.0;151.0;67.0;165.0;36.0;10.0;35.0;2.0;9.0;180.0;20.0;10.0;36.0;277.0;117.0;62.0;71.0;35.0;11.0;15.0
36;SL: zomerhuisje, bungalow, tweede woning;2008;546.0;159.0;57.0;80.0;20.0;8.0;29.0;7.0;2.0;184.0;7.0;8.0;20.0;172.0;70.0;44.0;128.0;32.0;6.0;58.0
37;SL: zomerhuisje, bungalow, tweede woning;2009;613.0;144.0;26.0;104.0;70.0;81.0;37.0;39.0;0.0;111.0;11.0;76.0;70.0;152.0;56.0;56.0;65.0;40.0;38.0;50.0
38;SL: zomerhuisje, bungalow, tweede woning;2010;560.0;107.0;63.0;80.0;10.0;68.0;123.0;38.0;0.0;71.0;28.0;68.0;10.0;115.0;58.0;6.0;88.0;126.0;33.0;27.0
39;SL: zomerhuisje, bungalow, tweede woning;2011;729.0;126.0;62.0;162.0;32.0;135.0;101.0;12.0;11.0;86.0;17.0;135.0;32.0;176.0;117.0;28.0;62.0;101.0;24.0;36.0
40;SL: zomerhuisje, bungalow, tweede woning;2012;792.0;138.0;54.0;269.0;34.0;47.0;74.0;15.0;9.0;151.0;36.0;47.0;34.0;373.0;37.0;42.0;87.0;79.0;24.0;33.0
41;SL: zomerhuisje, bungalow, tweede woning;2013;605.0;137.0;139.0;109.0;15.0;41.0;67.0;16.0;1.0;80.0;67.0;41.0;15.0;148.0;86.0;20.0;117.0;74.0;10.0;28.0
42;SL: zomerhuisje, bungalow, tweede woning;2014;709.0;208.0;62.0;95.0;9.0;42.0;147.0;25.0;8.0;113.0;60.0;37.0;9.0;122.0;22.0;11.0;201.0;158.0;22.0;66.0
43;SL: zomerhuisje, bungalow, tweede woning;2015;782.0;143.0;74.0;68.0;205.0;43.0;180.0;28.0;21.0;20.0;49.0;23.0;205.0;74.0;20.0;7.0;155.0;193.0;36.0;21.0
44;SL: zomerhuisje, bungalow, tweede woning;2016;572.0;55.0;66.0;80.0;44.0;76.0;176.0;31.0;19.0;27.0;31.0;76.0;44.0;82.0;17.0;14.0;76.0;196.0;30.0;8.0
45;SL: caravan, vouwwagen;2002;1918.0;196.0;313.0;264.0;125.0;91.0;398.0;153.0;32.0;346.0;77.0;91.0;153.0;324.0;133.0;300.0;111.0;452.0;131.0;146.0
46;SL: caravan, vouwwagen;2003;1553.0;216.0;225.0;346.0;88.0;128.0;283.0;101.0;0.0;165.0;51.0;111.0;90.0;425.0;95.0;104.0;163.0;287.0;97.0;130.0
47;SL: caravan, vouwwagen;2004;1625.0;94.0;349.0;372.0;117.0;164.0;274.0;73.0;13.0;168.0;77.0;128.0;186.0;462.0;111.0;73.0;87.0;338.0;60.0;103.0
48;SL: caravan, vouwwagen;2005;1516.0;98.0;232.0;298.0;99.0;209.0;297.0;66.0;3.0;215.0;47.0;187.0;122.0;356.0;108.0;82.0;109.0;388.0;18.0;99.0
49;SL: caravan, vouwwagen;2006;1400.0;127.0;223.0;356.0;104.0;172.0;212.0;51.0;7.0;148.0;59.0;151.0;119.0;395.0;86.0;112.0;122.0;251.0;41.0;65.0
50;SL: caravan, vouwwagen;2007;1347.0;133.0;212.0;269.0;87.0;115.0;194.0;122.0;0.0;215.0;46.0;108.0;113.0;337.0;92.0;110.0;105.0;285.0;48.0;102.0
51;SL: caravan, vouwwagen;2008;1148.0;54.0;181.0;173.0;59.0;176.0;166.0;170.0;0.0;168.0;33.0;165.0;74.0;244.0;61.0;103.0;54.0;254.0;105.0;53.0
52;SL: caravan, vouwwagen;2009;1404.0;120.0;192.0;182.0;125.0;93.0;266.0;197.0;7.0;223.0;55.0;81.0;126.0;244.0;164.0;120.0;65.0;359.0;117.0;73.0
53;SL: caravan, vouwwagen;2010;1235.0;72.0;222.0;241.0;44.0;135.0;180.0;116.0;0.0;224.0;75.0;120.0;45.0;314.0;57.0;111.0;52.0;300.0;46.0;114.0
54;SL: caravan, vouwwagen;2011;1249.0;129.0;216.0;244.0;45.0;139.0;205.0;141.0;4.0;126.0;36.0;131.0;45.0;281.0;101.0;90.0;33.0;302.0;72.0;157.0
55;SL: caravan, vouwwagen;2012;1188.0;183.0;231.0;173.0;82.0;69.0;180.0;122.0;2.0;147.0;37.0;54.0;119.0;212.0;93.0;114.0;93.0;220.0;123.0;123.0
56;SL: caravan, vouwwagen;2013;961.0;117.0;212.0;173.0;41.0;69.0;169.0;41.0;0.0;139.0;36.0;52.0;46.0;208.0;55.0;107.0;50.0;260.0;22.0;125.0
57;SL: caravan, vouwwagen;2014;1059.0;161.0;271.0;249.0;36.0;110.0;96.0;75.0;0.0;60.0;94.0;65.0;41.0;318.0;63.0;87.0;55.0;145.0;41.0;152.0
58;SL: caravan, vouwwagen;2015;715.0;94.0;144.0;138.0;25.0;66.0;52.0;78.0;3.0;116.0;52.0;54.0;46.0;190.0;26.0;34.0;40.0;105.0;66.0;105.0
59;SL: caravan, vouwwagen;2016;825.0;141.0;152.0;103.0;56.0;77.0;135.0;72.0;0.0;91.0;39.0;54.0;67.0;137.0;16.0;83.0;82.0;184.0;66.0;96.0
60;SL: boot;2002;460.0;0.0;298.0;0.0;5.0;6.0;47.0;3.0;0.0;101.0;49.0;6.0;19.0;8.0;108.0;77.0;33.0;81.0;3.0;76.0
61;SL: boot;2003;402.0;8.0;239.0;0.0;0.0;6.0;31.0;15.0;0.0;104.0;114.0;6.0;13.0;15.0;39.0;52.0;14.0;41.0;2.0;106.0
62;SL: boot;2004;337.0;64.0;158.0;0.0;0.0;0.0;15.0;15.0;2.0;83.0;72.0;0.0;17.0;9.0;95.0;64.0;7.0;22.0;8.0;43.0
63;SL: boot;2005;396.0;28.0;171.0;0.0;9.0;0.0;16.0;9.0;0.0;163.0;117.0;0.0;20.0;9.0;86.0;63.0;1.0;46.0;0.0;55.0
64;SL: boot;2006;255.0;24.0;124.0;0.0;0.0;11.0;14.0;18.0;0.0;64.0;50.0;0.0;10.0;10.0;78.0;37.0;2.0;21.0;11.0;35.0
65;SL: boot;2007;;;;;;;;;;;;;;;;;;;;
66;SL: boot;2008;429.0;5.0;310.0;0.0;6.0;33.0;33.0;0.0;0.0;42.0;47.0;33.0;23.0;3.0;78.0;58.0;13.0;46.0;0.0;128.0
67;SL: boot;2009;255.0;24.0;140.0;0.0;3.0;2.0;47.0;0.0;0.0;39.0;23.0;2.0;17.0;18.0;59.0;30.0;10.0;52.0;0.0;45.0
68;SL: boot;2010;232.0;5.0;149.0;0.0;0.0;0.0;9.0;3.0;0.0;66.0;31.0;;22.0;44.0;30.0;12.0;2.0;35.0;0.0;54.0
69;SL: boot;2011;;;;;;;;;;;;;;;;;;;;
70;SL: boot;2012;;;;;;;;;;;;;;;;;;;;
71;SL: boot;2013;;;;;;;;;;;;;;;;;;;;
72;SL: boot;2014;;;;;;;;;;;;;;;;;;;;
73;SL: boot;2015;;;;;;;;;;;;;;;;;;;;
74;SL: boot;2016;;;;;;;;;;;;;;;;;;;;
75;Overige seizoenrecreatieve logiesvormen;2002;138.0;24.0;8.0;23.0;0.0;3.0;0.0;0.0;0.0;80.0;7.0;3.0;0.0;25.0;44.0;25.0;17.0;0.0;0.0;18.0
76;Overige seizoenrecreatieve logiesvormen;2003;171.0;23.0;31.0;33.0;0.0;0.0;4.0;2.0;0.0;79.0;0.0;0.0;0.0;33.0;17.0;85.0;12.0;5.0;0.0;19.0
77;Overige seizoenrecreatieve logiesvormen;2004;121.0;0.0;30.0;3.0;0.0;0.0;25.0;0.0;0.0;63.0;0.0;0.0;0.0;6.0;28.0;29.0;10.0;25.0;0.0;24.0
78;Overige seizoenrecreatieve logiesvormen;2005;46.0;4.0;4.0;0.0;0.0;8.0;0.0;2.0;0.0;28.0;8.0;0.0;0.0;3.0;8.0;16.0;0.0;0.0;2.0;9.0
79;Overige seizoenrecreatieve logiesvormen;2006;84.0;3.0;18.0;29.0;3.0;0.0;5.0;2.0;0.0;24.0;0.0;0.0;3.0;29.0;9.0;22.0;0.0;5.0;2.0;15.0
80;Overige seizoenrecreatieve logiesvormen;2007;;;;;;;;;;;;;;;;;;;;
81;Overige seizoenrecreatieve logiesvormen;2008;44.0;0.0;18.0;0.0;0.0;0.0;8.0;6.0;0.0;12.0;0.0;0.0;0.0;0.0;9.0;3.0;0.0;8.0;6.0;18.0
82;Overige seizoenrecreatieve logiesvormen;2009;46.0;0.0;13.0;2.0;4.0;2.0;0.0;2.0;0.0;23.0;3.0;2.0;4.0;2.0;16.0;8.0;2.0;0.0;2.0;7.0
83;Overige seizoenrecreatieve logiesvormen;2010;84.0;1.0;12.0;6.0;6.0;6.0;4.0;0.0;0.0;48.0;3.0;4.0;6.0;6.0;29.0;10.0;1.0;14.0;0.0;11.0
84;Overige seizoenrecreatieve logiesvormen;2011;;;;;;;;;;;;;;;;;;;;
85;Overige seizoenrecreatieve logiesvormen;2012;;;;;;;;;;;;;;;;;;;;
86;Overige seizoenrecreatieve logiesvormen;2013;;;;;;;;;;;;;;;;;;;;
87;Overige seizoenrecreatieve logiesvormen;2014;;;;;;;;;;;;;;;;;;;;
88;Overige seizoenrecreatieve logiesvormen;2015;;;;;;;;;;;;;;;;;;;;
89;Overige seizoenrecreatieve logiesvormen;2016;;;;;;;;;;;;;;;;;;;;
90;Totaal toeristische logiesvormen;2002;6440.0;797.0;668.0;677.0;478.0;676.0;575.0;667.0;538.0;1364.0;503.0;590.0;523.0;1039.0;637.0;547.0;455.0;673.0;1038.0;435.0
91;Totaal toeristische logiesvormen;2003;6537.0;851.0;734.0;585.0;597.0;592.0;598.0;573.0;499.0;1507.0;499.0;532.0;645.0;964.0;671.0;623.0;453.0;686.0;889.0;574.0
92;Totaal toeristische logiesvormen;2004;6303.0;811.0;752.0;563.0;539.0;532.0;642.0;628.0;533.0;1304.0;459.0;475.0;599.0;940.0;592.0;542.0;464.0;769.0;943.0;521.0
93;Totaal toeristische logiesvormen;2005;6408.0;695.0;710.0;634.0;528.0;614.0;550.0;650.0;470.0;1555.0;443.0;541.0;583.0;1030.0;700.0;542.0;402.0;680.0;915.0;572.0
94;Totaal toeristische logiesvormen;2006;6685.0;708.0;704.0;682.0;554.0;616.0;619.0;696.0;559.0;1547.0;464.0;530.0;605.0;1164.0;645.0;596.0;364.0;750.0;1012.0;555.0
95;Totaal toeristische logiesvormen;2007;6932.0;731.0;728.0;714.0;527.0;683.0;683.0;756.0;523.0;1586.0;466.0;621.0;573.0;1116.0;728.0;561.0;442.0;834.0;1051.0;539.0
96;Totaal toeristische logiesvormen;2008;6750.0;759.0;704.0;678.0;520.0;679.0;642.0;647.0;543.0;1579.0;424.0;614.0;575.0;1036.0;852.0;545.0;431.0;761.0;977.0;535.0
97;Totaal toeristische logiesvormen;2009;6944.0;810.0;676.0;714.0;502.0;672.0;637.0;753.0;515.0;1665.0;515.0;572.0;539.0;1130.0;803.0;592.0;403.0;791.0;1004.0;597.0
98;Totaal toeristische logiesvormen;2010;7123.0;841.0;775.0;701.0;524.0;653.0;688.0;726.0;578.0;1635.0;445.0;573.0;564.0;1069.0;851.0;614.0;461.0;830.0;1099.0;616.0
99;Totaal toeristische logiesvormen;2011;7172.0;790.0;786.0;672.0;517.0;753.0;743.0;708.0;635.0;1567.0;492.0;683.0;565.0;1063.0;689.0;613.0;445.0;914.0;1116.0;593.0
100;Totaal toeristische logiesvormen;2012;7826.0;900.0;875.0;768.0;589.0;828.0;719.0;720.0;640.0;1788.0;474.0;754.0;675.0;1261.0;949.0;688.0;488.0;856.0;1113.0;568.0
101;Totaal toeristische logiesvormen;2013;7404.0;895.0;892.0;706.0;504.0;633.0;690.0;664.0;564.0;1856.0;415.0;582.0;575.0;1157.0;883.0;773.0;464.0;851.0;990.0;714.0
102;Totaal toeristische logiesvormen;2014;7388.0;844.0;867.0;711.0;557.0;661.0;669.0;651.0;498.0;1929.0;427.0;573.0;601.0;1149.0;930.0;809.0;418.0;794.0;963.0;725.0
103;Totaal toeristische logiesvormen;2015;7418.0;844.0;767.0;744.0;520.0;732.0;624.0;687.0;460.0;2040.0;507.0;655.0;559.0;1205.0;954.0;792.0;436.0;750.0;913.0;647.0
104;Totaal toeristische logiesvormen;2016;7932.0;847.0;913.0;747.0;593.0;791.0;690.0;736.0;573.0;2042.0;538.0;724.0;653.0;1229.0;872.0;846.0;484.0;840.0;1033.0;712.0
105;TL: woning familie, vrienden, kennissen;2002;;;;;;;;;;;;;;;;;;;;
106;TL: woning familie, vrienden, kennissen;2003;;;;;;;;;;;;;;;;;;;;
107;TL: woning familie, vrienden, kennissen;2004;;;;;;;;;;;;;;;;;;;;
108;TL: woning familie, vrienden, kennissen;2005;;;;;;;;;;;;;;;;;;;;
109;TL: woning familie, vrienden, kennissen;2006;;;;;;;;;;;;;;;;;;;;
110;TL: woning familie, vrienden, kennissen;2007;;;;;;;;;;;;;;;;;;;;
111;TL: woning familie, vrienden, kennissen;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
112;TL: woning familie, vrienden, kennissen;2009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
113;TL: woning familie, vrienden, kennissen;2010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
114;TL: woning familie, vrienden, kennissen;2011;;;;;;;;;;;;;;;;;;;;
115;TL: woning familie, vrienden, kennissen;2012;;;;;;;;;;;;;;;;;;;;
116;TL: woning familie, vrienden, kennissen;2013;613.0;52.0;65.0;51.0;44.0;56.0;40.0;37.0;19.0;248.0;55.0;47.0;54.0;91.0;119.0;37.0;63.0;53.0;37.0;56.0
117;TL: woning familie, vrienden, kennissen;2014;;;;;;;;;;;;;;;;;;;;
118;TL: woning familie, vrienden, kennissen;2015;;;;;;;;;;;;;;;;;;;;
119;TL: woning familie, vrienden, kennissen;2016;;;;;;;;;;;;;;;;;;;;
120;TL: woning van andere particulier;2002;466.0;31.0;80.0;34.0;36.0;44.0;23.0;36.0;37.0;144.0;19.0;39.0;38.0;55.0;60.0;67.0;38.0;33.0;65.0;51.0
121;TL: woning van andere particulier;2003;535.0;40.0;65.0;26.0;28.0;53.0;60.0;26.0;19.0;217.0;62.0;50.0;31.0;64.0;60.0;89.0;37.0;65.0;32.0;46.0
122;TL: woning van andere particulier;2004;479.0;35.0;89.0;9.0;38.0;28.0;43.0;36.0;26.0;175.0;49.0;25.0;48.0;32.0;49.0;82.0;34.0;60.0;41.0;59.0
123;TL: woning van andere particulier;2005;574.0;41.0;53.0;34.0;63.0;44.0;36.0;34.0;38.0;232.0;72.0;36.0;70.0;91.0;79.0;55.0;11.0;48.0;54.0;59.0
124;TL: woning van andere particulier;2006;600.0;24.0;95.0;27.0;42.0;64.0;52.0;39.0;19.0;239.0;64.0;59.0;52.0;63.0;87.0;91.0;38.0;67.0;40.0;39.0
125;TL: woning van andere particulier;2007;543.0;19.0;75.0;19.0;24.0;46.0;84.0;72.0;11.0;192.0;44.0;39.0;29.0;47.0;76.0;76.0;10.0;107.0;66.0;49.0
126;TL: woning van andere particulier;2008;535.0;19.0;60.0;32.0;36.0;51.0;47.0;41.0;9.0;241.0;26.0;40.0;43.0;86.0;72.0;74.0;24.0;73.0;17.0;81.0
127;TL: woning van andere particulier;2009;493.0;29.0;62.0;30.0;45.0;40.0;64.0;27.0;17.0;179.0;61.0;29.0;45.0;51.0;54.0;59.0;25.0;77.0;25.0;68.0
128;TL: woning van andere particulier;2010;455.0;29.0;65.0;20.0;26.0;61.0;16.0;34.0;35.0;169.0;36.0;57.0;26.0;39.0;76.0;58.0;31.0;28.0;48.0;54.0
129;TL: woning van andere particulier;2011;364.0;29.0;48.0;16.0;37.0;19.0;18.0;33.0;36.0;128.0;27.0;18.0;45.0;37.0;46.0;42.0;16.0;37.0;52.0;44.0
130;TL: woning van andere particulier;2012;605.0;62.0;93.0;35.0;48.0;56.0;42.0;39.0;20.0;209.0;40.0;51.0;69.0;66.0;108.0;80.0;37.0;46.0;50.0;58.0
131;TL: woning van andere particulier;2013;613.0;52.0;65.0;51.0;44.0;56.0;40.0;37.0;19.0;248.0;55.0;47.0;54.0;91.0;119.0;37.0;63.0;53.0;37.0;56.0
132;TL: woning van andere particulier;2014;639.0;54.0;65.0;33.0;50.0;68.0;44.0;46.0;25.0;253.0;35.0;59.0;51.0;92.0;100.0;70.0;60.0;51.0;60.0;59.0
133;TL: woning van andere particulier;2015;805.0;80.0;83.0;53.0;69.0;64.0;73.0;31.0;33.0;319.0;52.0;50.0;71.0;110.0;137.0;119.0;59.0;81.0;51.0;75.0
134;TL: woning van andere particulier;2016;889.0;84.0;92.0;65.0;79.0;75.0;49.0;76.0;38.0;331.0;66.0;72.0;86.0;94.0;130.0;101.0;66.0;87.0;68.0;119.0
135;TL: hotel;2002;2059.0;290.0;153.0;185.0;170.0;141.0;117.0;124.0;311.0;569.0;151.0;127.0;183.0;343.0;276.0;259.0;88.0;120.0;382.0;131.0
136;TL: hotel;2003;2044.0;301.0;162.0;183.0;170.0;127.0;167.0;116.0;288.0;530.0;123.0;109.0;180.0;318.0;234.0;244.0;110.0;170.0;351.0;207.0
137;TL: hotel;2004;2083.0;348.0;178.0;162.0;185.0;126.0;149.0;115.0;319.0;501.0;119.0;112.0;190.0;294.0;262.0;268.0;128.0;155.0;380.0;174.0
138;TL: hotel;2005;2094.0;262.0;173.0;208.0;151.0;137.0;138.0;112.0;280.0;631.0;155.0;113.0;164.0;335.0;281.0;269.0;110.0;153.0;342.0;170.0
139;TL: hotel;2006;2284.0;306.0;169.0;219.0;196.0;122.0;159.0;129.0;377.0;607.0;131.0;104.0;208.0;388.0;274.0;295.0;76.0;172.0;430.0;205.0
140;TL: hotel;2007;2483.0;298.0;187.0;283.0;183.0;151.0;180.0;154.0;359.0;687.0;147.0;128.0;196.0;421.0;332.0;304.0;117.0;206.0;438.0;196.0
141;TL: hotel;2008;2427.0;331.0;172.0;230.0;200.0;170.0;176.0;119.0;347.0;682.0;165.0;140.0;211.0;334.0;398.0;299.0;102.0;193.0;401.0;183.0
142;TL: hotel;2009;2570.0;340.0;148.0;296.0;154.0;174.0;187.0;173.0;325.0;774.0;203.0;135.0;165.0;455.0;372.0;316.0;107.0;225.0;405.0;187.0
143;TL: hotel;2010;2776.0;371.0;223.0;289.0;228.0;152.0;197.0;161.0;355.0;799.0;158.0;121.0;247.0;456.0;440.0;361.0;127.0;232.0;435.0;199.0
144;TL: hotel;2011;2806.0;290.0;253.0;278.0;196.0;206.0;233.0;132.0;400.0;820.0;197.0;172.0;218.0;450.0;333.0;336.0;136.0;266.0;458.0;239.0
145;TL: hotel;2012;3354.0;395.0;362.0;306.0;248.0;287.0;213.0;194.0;414.0;935.0;252.0;248.0;276.0;543.0;459.0;373.0;183.0;258.0;496.0;266.0
146;TL: hotel;2013;3244.0;413.0;328.0;309.0;188.0;199.0;247.0;173.0;385.0;1001.0;173.0;177.0;216.0;512.0;455.0;454.0;158.0;299.0;460.0;338.0
