ID;RegioS;BevolkingUltimo2003_1;PersonenMet52WekenInkomen_2;PersonenMet52WkInkomenBevolking_3;PerInwoner_4;RangnummerInkomenPerInwoner_5;PerPersoonMet52WekenInkomen_6;RangnummerInkomenPersMet52WkInk_7
26;Noord-Overijssel (CR);341.5;223.1;65;11.3;33;16.6;29
27;Zuidwest-Overijssel (CR);148.6;99.1;67;11.5;31;16.6;30
28;Twente (CR);615.5;404.4;66;11.2;34;16.3;36
29;Veluwe (CR);642.4;420.8;66;11.9;24;17.5;19
30;Achterhoek (CR);385.3;260.6;68;11.7;29;16.6;31
31;Arnhem/Nijmegen (CR);708.2;480.1;68;12.1;17;17.2;21
32;Zuidwest-Gelderland (CR);231.0;148.9;64;11.8;26;17.6;13
33;Utrecht (CR);1162.3;774.6;67;13.2;3;19.0;3
34;Kop van Noord-Holland (CR);363.7;243.1;67;11.8;25;17.0;25
35;Alkmaar en omgeving (CR);225.3;152.8;68;12.7;9;18.1;9
36;IJmond (CR);188.0;129.3;69;12.9;7;18.2;8
37;Agglomeratie Haarlem (CR);217.6;151.1;69;14.1;2;19.6;2
38;Zaanstreek (CR);155.5;106.7;69;12.4;11;17.5;16
39;Groot-Amsterdam (CR);1194.6;790.8;66;13.0;6;18.8;6
40;Het Gooi en Vechtstreek (CR);242.4;164.9;68;14.7;1;20.9;1
41;Agglomeratie Leiden en Bollenstreek (CR);389.0;258.1;66;13.1;5;19.0;5
42;Agglomeratie 's-Gravenhage (CR);768.0;505.1;66;13.1;4;19.0;4
43;Delft en Westland (CR);210.2;140.9;67;12.3;13;17.6;14
44;Oost-Zuid-Holland (CR);322.3;211.8;66;12.7;8;18.7;7
45;Groot-Rijnmond (CR);1362.1;897.5;66;12.3;15;17.8;11
46;Zuidoost-Zuid-Holland (CR);400.4;261.7;65;12.1;19;17.8;10
47;Zeeuwsch-Vlaanderen (CR);107.9;72.0;67;12.4;12;17.2;22
48;Overig Zeeland (CR);271.1;179.6;66;12.0;22;17.4;20
49;West-Noord-Brabant (CR);604.9;407.6;67;12.4;10;17.7;12
50;Midden-Noord-Brabant (CR);450.0;303.2;67;12.0;23;17.1;24
51;Noordoost-Noord-Brabant (CR);627.2;422.4;67;12.2;16;17.5;17
52;Zuidoost-Noord-Brabant (CR);725.0;487.2;67;12.3;14;17.5;15
53;Noord-Limburg (CR);278.0;188.9;68;11.7;27;16.4;35
54;Midden-Limburg (CR);233.8;159.2;68;12.1;20;16.8;27
55;Zuid-Limburg (CR);627.6;420.6;67;12.0;21;16.7;28
56;Flevoland (CR);359.9;224.1;62;11.2;37;17.2;23
57;Groningen (GA);198.2;134.9;68;12.0;17;16.6;18
58;Leeuwarden (GA);91.4;61.8;68;11.6;21;16.2;20
59;Zwolle (GA);110.9;76.2;69;12.4;11;17.3;13
60;Enschede (GA);153.0;99.7;65;10.8;22;15.6;22
61;Apeldoorn (GA);156.0;106.8;68;12.4;10;17.6;11
62;Arnhem (GA);143.1;98.1;69;12.1;14;16.8;15
63;Nijmegen (GA);157.2;107.0;68;12.0;16;16.7;16
64;Amersfoort (GA);162.0;107.3;66;13.1;3;19.1;3
65;Utrecht (GA);405.5;275.1;68;12.9;6;18.2;6
66;Amsterdam (GA);1017.1;671.2;66;12.9;7;18.6;5
67;Haarlem (GA);190.0;132.0;70;14.1;1;19.6;1
68;Leiden (GA);254.1;167.9;66;13.2;2;19.1;2
69;'s-Gravenhage (GA);616.1;404.7;66;13.1;4;19.0;4
70;Rotterdam (GA);1001.4;659.9;66;12.0;15;17.4;12
71;Dordrecht (GA);246.5;163.2;66;12.2;13;17.7;10
72;Breda (GA);166.0;112.8;68;12.8;8;18.1;8
73;Tilburg (GA);221.3;150.6;68;11.8;19;16.6;17
74;'s-Hertogenbosch (GA);158.7;109.3;69;13.0;5;18.1;7
75;Eindhoven (GA);319.7;217.2;68;12.7;9;17.8;9
76;Geleen/Sittard (GA);141.3;95.4;68;12.2;12;17.2;14
77;Heerlen (GA);212.8;142.8;67;11.6;20;15.9;21
78;Maastricht (GA);122.2;82.8;68;11.9;18;16.5;19
79;Groningen (SG);342.8;229.3;67;11.9;19;16.9;18
80;Leeuwarden (SG);158.9;105.3;66;11.4;21;16.5;20
81;Zwolle (SG);167.4;113.5;68;12.2;13;17.4;14
82;Enschede (SG);308.5;204.3;66;11.3;22;16.2;21
83;Apeldoorn (SG);212.9;145.6;68;12.3;11;17.4;13
84;Arnhem (SG);351.2;239.1;68;12.3;10;17.4;12
85;Nijmegen (SG);275.6;186.2;68;12.1;17;17.1;16
86;Amersfoort (SG);264.3;174.6;66;12.9;4;18.9;3
87;Utrecht (SG);564.5;381.0;67;13.3;2;18.9;4
88;Amsterdam (SG);1443.3;950.6;66;12.8;7;18.6;6
89;Haarlem (SG);405.6;280.5;69;13.6;1;19.0;2
90;Leiden (SG);331.8;219.3;66;13.1;3;19.1;1
91;'s-Gravenhage (SG);978.2;646.0;66;12.9;5;18.7;5
92;Rotterdam (SG);1186.8;783.4;66;12.2;14;17.6;11
93;Dordrecht (SG);287.8;189.3;66;12.1;16;17.8;10
94;Breda (SG);305.9;207.2;68;12.7;9;18.0;9
95;Tilburg (SG);287.2;195.1;68;12.0;18;16.9;19
96;'s-Hertogenbosch (SG);186.6;127.8;68;12.9;6;18.1;7
97;Eindhoven (SG);402.8;272.6;68;12.7;8;18.0;8
98;Geleen/Sittard (SG);154.9;104.4;67;12.2;12;17.3;15
99;Heerlen (SG);261.7;175.4;67;11.8;20;16.1;22
100;Maastricht (SG);185.4;125.1;68;12.1;15;17.0;17
101;Appingedam;12.4;8.4;68;11.5;361;16.2;410
102;Bedum;10.8;7.1;66;11.3;397;16.7;340
103;Bellingwedde;9.7;6.5;67;11.0;438;15.5;471
104;Ten Boer;7.2;4.5;62;10.6;464;16.5;382
105;Delfzijl;28.8;19.0;66;11.2;407;16.2;404
106;Groningen (gemeente);179.2;122.0;68;11.7;322;16.0;429
107;Grootegast;11.9;7.3;61;10.1;481;15.5;472
108;Haren;19.0;12.9;67;14.8;21;21.5;18
109;Hoogezand-Sappemeer;34.0;22.8;67;11.1;420;15.9;444
110;Leek;19.5;12.7;65;11.1;424;16.3;399
111;Loppersum;11.1;7.1;64;10.8;452;16.2;412
112;Marum;10.4;6.5;63;10.8;450;16.6;367
113;Almere;170.7;106.3;62;11.5;350;17.8;188
114;Stadskanaal;33.7;22.7;67;10.8;456;15.3;477
115;Scheemda;14.3;9.4;66;10.7;461;15.6;463
116;Slochteren;14.9;9.6;64;11.4;375;17.0;306
117;Veendam;28.3;18.8;66;11.2;408;16.0;436
118;Vlagtwedde;17.0;11.4;67;10.3;476;14.6;482
119;Zeewolde;19.2;11.3;59;11.2;403;18.3;133
120;SkarsterlÔn;27.1;17.5;65;11.5;373;17.0;305
121;Winschoten;18.5;12.9;70;11.3;383;15.6;461
122;Winsum;14.3;9.1;64;11.1;421;16.7;351
123;Boarnsterhim;19.1;12.4;65;11.5;367;16.8;333
124;Zuidhorn;18.1;11.2;62;11.1;413;17.3;245
125;Dongeradeel;25.0;16.1;64;10.3;473;15.5;474
126;Achtkarspelen;28.2;17.9;63;10.5;471;15.6;457
127;Ameland;3.5;2.3;66;11.2;409;15.8;450
128;het Bildt;10.9;6.9;63;10.6;465;16.1;424
129;Bolsward;9.4;6.3;67;11.3;385;16.2;407
130;Dantumadeel;19.8;12.2;62;10.2;479;15.7;452
131;Franekeradeel;21.0;13.8;66;10.7;463;15.6;465
132;Harlingen;15.8;10.5;66;11.2;404;16.0;427
133;Heerenveen;42.6;28.9;68;12.0;241;17.1;291
134;Kollumerland en Nieuwkruisland;13.1;8.2;63;10.2;478;15.4;476
135;Leeuwarden;91.4;61.8;68;11.6;344;16.2;405
136;Leeuwarderadeel;10.6;6.8;64;11.3;395;17.0;298
137;Lemsterland;13.3;8.7;65;11.3;391;16.6;365
138;Menaldumadeel;14.0;9.0;64;11.0;427;16.5;377
139;Ooststellingwerf;26.7;17.6;66;11.0;437;16.0;438
140;Opsterland;29.4;19.3;66;11.2;411;16.4;389
141;Schiermonnikoog;1.0;0.7;72;11.5;357;15.3;478
142;Smallingerland;54.1;35.7;66;11.3;393;16.4;383
143;Sneek;32.8;21.8;66;11.5;355;16.6;363
144;Terschelling;4.7;3.2;67;12.5;144;17.3;251
145;Vlieland;1.2;0.8;67;12.0;258;16.9;329
146;Weststellingwerf;26.0;17.6;68;11.0;432;15.5;468
147;Nijefurd;10.9;7.2;66;10.9;439;15.9;440
148;Assen;61.9;41.4;67;11.8;291;17.1;286
149;Coevorden;36.2;24.3;67;11.3;398;16.0;428
150;Emmen;108.4;73.0;67;11.0;428;15.5;470
151;Hoogeveen;53.7;35.8;67;11.3;396;16.3;402
152;Meppel;30.7;20.8;68;12.0;247;17.1;292
153;Littenseradiel;10.9;6.9;63;10.8;453;16.4;392
154;Almelo;72.2;47.6;66;10.9;440;15.9;443
155;Bathmen;5.2;3.6;69;13.2;66;18.7;106
156;Borne;20.6;13.5;66;12.1;233;17.7;190
157;Dalfsen;26.4;17.3;66;11.5;351;17.0;302
158;Deventer;89.1;59.2;66;11.5;356;16.6;358
159;Enschede;153.0;99.7;65;10.8;455;15.6;464
160;Haaksbergen;24.1;16.5;68;11.5;362;16.3;401
161;Hardenberg;57.8;36.8;64;10.6;467;16.0;439
162;Hellendoorn;36.1;23.8;66;11.2;399;16.4;391
163;Hengelo (O.);81.0;54.7;68;11.9;280;16.9;320
164;Kampen;48.9;31.2;64;10.6;466;15.9;441
165;Losser;22.5;15.1;67;11.1;419;15.7;453
166;Noordoostpolder;45.6;29.1;64;10.6;469;15.8;448
167;Oldenzaal;31.4;21.3;68;11.9;275;16.9;328
168;Ommen;16.9;11.2;66;11.6;346;16.9;332
169;Raalte;37.1;24.7;67;11.3;389;16.5;380
170;Staphorst;15.7;9.1;58;9.9;482;16.5;370
171;Tubbergen;20.3;13.0;64;10.8;448;16.4;395
172;Urk;17.0;8.6;51;8.7;483;16.2;409
173;Wierden;23.3;14.9;64;11.5;371;17.3;257
174;Zwolle;110.9;76.2;69;12.4;169;17.3;246
175;Rijnwaarden;11.2;7.4;66;10.9;444;15.6;458
176;Aalten;19.0;12.5;66;10.9;447;15.7;455
177;Angerlo;5.1;3.4;66;12.0;267;17.6;208
178;Apeldoorn;156.0;106.8;68;12.4;159;17.6;213
179;Arnhem;141.6;97.1;69;12.0;240;16.7;344
180;Barneveld;50.0;30.4;61;11.0;436;17.3;247
181;Bergh;18.4;12.3;67;11.5;364;16.2;406
182;Beuningen;25.4;16.8;66;11.9;272;17.4;239
183;Borculo;10.4;7.1;68;11.2;402;16.0;430
184;Brummen;21.5;14.4;67;12.2;217;17.5;232
185;Buren;25.8;16.8;65;12.2;202;18.1;152
186;Culemborg;26.6;17.1;64;12.3;196;18.4;124
187;Didam;17.0;11.4;67;11.5;353;16.5;374
188;Dinxperlo;8.6;5.6;65;11.7;316;16.3;403
189;Doesburg;11.4;7.5;65;11.4;379;16.7;357
190;Doetinchem;49.5;33.5;68;11.9;273;16.9;314
191;Druten;17.8;12.0;67;11.6;340;16.7;343
192;Duiven;25.8;16.7;65;11.6;338;17.4;240
193;Ede;105.5;68.3;65;11.8;307;17.5;220
194;Eibergen;16.6;11.2;67;11.0;434;15.7;451
195;Elburg;21.8;13.6;63;11.0;430;17.0;312
196;Epe;33.3;22.6;68;12.0;259;17.1;296
197;Ermelo;26.6;17.7;66;12.0;254;17.5;222
198;Geldermalsen;25.7;16.7;65;12.3;187;18.3;131
199;Gendringen;20.8;13.7;66;10.8;449;15.6;459
200;Gorssel;13.4;9.3;70;13.7;44;19.3;67
201;Groenlo;9.5;6.7;70;12.2;206;16.8;335
202;Groesbeek;19.0;12.9;68;12.0;260;16.9;331
203;Harderwijk;40.6;26.5;65;11.7;319;17.3;259
204;Hattem;11.8;7.8;66;12.4;168;18.2;140
205;Heerde;18.3;12.2;66;11.9;268;17.4;235
206;Hengelo (Gld.);8.5;5.8;68;11.6;343;16.5;372
207;Heumen;16.7;10.9;66;12.7;128;18.7;107
208;Hummelo en Keppel;4.5;3.1;69;13.1;82;18.6;110
209;Lichtenvoorde;19.5;12.7;65;11.1;425;16.2;413
210;Lochem;19.4;13.5;70;12.6;132;17.7;205
211;Maasdriel;23.5;15.6;66;11.8;298;17.2;270
212;Millingen aan de Rijn;5.9;3.9;67;11.4;381;16.1;422
213;Neede;11.0;7.6;70;11.8;310;16.2;416
214;Nijkerk;38.0;24.7;65;12.1;225;18.0;159
215;Nijmegen;157.2;107.0;68;12.0;248;16.7;345
216;Oldebroek;23.0;14.4;63;10.9;442;16.7;352
217;Putten;23.2;14.8;64;11.8;303;17.8;181
218;Renkum;31.9;22.2;70;14.1;35;19.7;47
219;Rheden;44.9;31.8;71;13.2;76;18.0;160
220;Rozendaal;1.5;1.0;68;18.1;3;26.3;4
221;Ruurlo;8.7;6.0;69;11.5;366;16.1;420
222;Scherpenzeel;9.0;5.8;64;11.7;312;17.8;178
223;Steenderen;5.1;3.4;66;11.1;418;16.3;400
224;Tiel;40.6;26.2;65;11.5;352;17.1;290
225;Ubbergen;9.4;6.6;70;12.8;108;17.7;192
226;Voorst;23.6;16.3;69;11.8;287;16.7;341
227;Vorden;8.4;5.9;70;11.9;284;16.5;375
228;Wageningen;35.1;22.4;64;11.9;283;17.5;218
229;Warnsveld;9.2;6.2;67;12.3;180;17.7;200
230;Wehl;6.8;4.5;67;10.7;458;15.6;467
231;Westervoort;16.1;10.5;65;11.3;386;16.7;353
232;Winterswijk;29.3;19.9;68;11.1;415;15.6;466
233;Wisch;19.5;13.3;68;11.6;335;16.4;396
234;Wijchen;39.9;26.5;66;12.1;236;17.5;224
235;Zaltbommel;26.2;16.6;63;11.5;363;17.5;221
236;Zelhem;11.3;7.5;67;11.3;387;16.4;393
237;Zevenaar;26.0;18.0;69;12.2;203;17.0;309
238;Zutphen;36.6;24.9;68;11.8;289;16.8;338
239;Nunspeet;26.6;16.6;62;11.3;388;17.5;234
240;Dronten;37.8;23.3;62;10.9;443;16.9;316
241;Neerijnen;11.5;7.4;65;11.7;314;17.6;209
242;Abcoude;8.6;5.5;64;15.9;10;24.2;7
243;Amerongen;7.2;4.7;64;12.4;157;18.7;109
244;Amersfoort;132.9;87.8;66;13.0;93;18.9;81
245;Baarn;24.5;17.1;70;14.0;37;19.5;59
246;De Bilt;42.2;28.5;68;15.2;18;21.7;17
247;Breukelen;14.5;9.4;65;13.4;55;19.8;44
248;Bunnik;14.1;9.5;67;14.5;25;21.0;24
249;Bunschoten;19.4;12.4;64;11.1;416;16.9;321
250;Doorn;10.3;7.3;71;15.5;13;21.3;22
251;Driebergen-Rijsenburg;18.6;12.6;68;14.8;22;21.1;23
252;Eemnes;8.7;5.5;63;12.9;100;19.7;46
253;Houten;42.3;26.9;64;12.9;98;19.8;43
254;Leersum;7.5;5.0;67;13.3;62;19.2;71
255;Leusden;29.1;19.5;67;13.8;42;20.0;36
256;Loenen;8.3;5.5;66;15.3;16;22.5;13
257;Lopik;13.9;8.7;63;11.8;302;18.1;153
258;Maarn;5.9;3.9;67;15.7;11;22.9;10
259;Maarssen;39.8;27.1;68;13.5;53;19.2;74
260;Montfoort;13.4;8.6;64;12.7;119;19.2;73
261;Renswoude;4.3;2.6;62;11.1;423;17.3;254
262;Rhenen;17.9;11.7;66;12.0;242;17.8;182
263;Soest;44.9;30.2;67;13.7;45;19.7;50
264;Utrecht (gemeente);270.2;183.1;68;12.8;111;17.9;166
265;Veenendaal;61.1;38.9;64;11.5;365;17.3;262
266;Woudenberg;11.2;7.2;65;12.0;245;18.1;146
267;Wijk bij Duurstede;23.5;15.2;65;12.5;146;18.6;113
268;IJsselstein;33.6;21.9;65;12.8;113;19.0;77
269;Zeist;60.4;41.0;68;14.4;28;20.4;31
270;Nieuwegein;61.8;43.0;70;13.2;74;18.3;134
271;Aalsmeer;22.9;15.9;69;13.3;59;18.7;101
272;Alkmaar;94.1;64.5;69;12.3;185;17.3;264
273;Amstelveen;78.9;53.3;68;15.3;15;22.0;16
274;Amsterdam;739.1;481.9;65;12.7;125;18.4;123
275;Andijk;6.4;4.2;65;10.8;451;15.8;447
276;Graft-De Rijp;6.5;4.2;65;13.1;83;19.4;62
277;Anna Paulowna;14.0;9.0;65;10.8;457;16.1;426
278;Beemster;8.5;5.9;69;13.2;69;18.5;115
279;Bennebroek;5.2;3.6;70;16.0;8;22.7;11
280;Bergen (NH.);31.7;21.9;69;14.2;30;19.9;41
281;Beverwijk;37.0;26.2;71;12.6;137;17.3;255
282;Blaricum;9.3;6.1;66;18.3;2;27.0;3
283;Bloemendaal;16.9;10.8;64;18.9;1;28.1;1
284;Bussum;31.3;21.3;68;15.9;9;22.7;12
285;Castricum;35.3;24.1;68;13.8;40;19.8;42
286;Diemen;24.0;15.9;66;13.3;63;19.3;68
287;Edam-Volendam;28.2;19.1;68;13.0;90;18.7;108
288;Enkhuizen;17.2;11.7;68;11.9;282;16.7;348
289;Haarlem;147.3;103.6;70;13.2;75;18.0;156
290;Haarlemmerliede en Spaarnwoude;5.6;3.7;66;13.2;71;19.4;63
291;Haarlemmermeer;127.7;85.4;67;13.3;60;19.3;65
292;Harenkarspel;15.9;10.6;67;12.0;265;17.3;258
293;Heemskerk;36.3;24.9;69;12.5;149;17.6;210
294;Heemstede;25.7;17.7;69;16.5;7;23.5;9
295;Heerhugowaard;47.2;31.6;67;12.1;229;17.5;225
296;Heiloo;22.1;15.0;68;14.3;29;20.6;27
297;Den Helder;59.8;40.6;68;11.7;333;16.5;378
298;Hilversum;83.5;58.2;70;14.1;34;19.5;57
299;Hoorn;68.0;45.5;67;12.4;170;17.7;194
300;Huizen;42.0;27.8;66;13.5;52;19.7;45
301;Niedorp;11.6;7.7;66;11.7;331;17.0;300
302;Landsmeer;10.3;7.1;69;14.1;32;19.9;40
303;Langedijk;25.3;16.6;66;12.2;214;17.9;167
304;Laren (NH.);11.6;7.4;64;16.9;5;25.4;5
305;Medemblik;8.0;5.3;66;11.7;323;17.0;304
306;Muiden;6.7;4.5;67;15.2;17;22.0;14
307;Naarden;17.0;11.0;65;16.6;6;25.0;6
308;Obdam;6.8;4.6;69;12.3;192;17.4;243
309;Oostzaan;9.2;6.3;68;13.2;70;18.8;91
310;Opmeer;11.2;7.4;66;11.6;348;17.0;307
311;Ouder-Amstel;13.1;9.2;70;15.5;14;21.4;19
312;Purmerend;75.8;52.6;69;12.4;164;17.4;241
313;Schagen;18.2;12.6;69;12.6;136;17.6;214
314;Texel;13.7;9.2;67;11.2;412;16.0;433
315;Uitgeest;11.8;7.8;66;12.7;116;18.8;98
316;Uithoorn;26.8;18.3;68;14.1;33;20.0;39
317;Velsen;67.6;46.3;68;12.9;101;18.2;138
318;Venhuizen;7.8;5.0;64;11.7;320;17.5;229
319;Weesp;17.8;12.7;71;13.9;38;18.9;85
320;Schermer;4.9;3.2;66;12.3;194;18.1;151
321;Wervershoof;8.5;5.6;66;11.3;390;16.5;381
322;Wieringen;8.5;5.7;67;12.5;156;17.7;197
323;Wieringermeer;12.6;8.4;66;11.1;417;16.2;414
324;Wognum;8.1;5.4;67;12.2;215;17.7;195
325;Zandvoort;16.8;11.8;70;13.7;43;19.0;78
326;Zijpe;11.4;7.5;66;11.1;414;16.1;419
327;Zeevang;6.3;4.2;66;12.6;138;18.4;119
328;Zaanstad;139.8;96.0;69;12.4;167;17.4;237
329;Ter Aar;9.0;5.9;65;11.8;311;17.5;230
330;Alblasserdam;18.4;11.7;64;11.4;380;17.2;274
331;Alkemade;14.5;9.7;67;12.1;234;17.5;231
332;Alphen aan den Rijn;70.5;47.2;67;13.0;88;18.8;99
333;Barendrecht;37.3;24.2;65;13.2;77;19.7;49
334;Bergambacht;9.3;5.8;63;12.3;179;18.7;104
335;Bergschenhoek;15.9;9.8;62;13.3;61;20.8;26
336;Berkel en Rodenrijs;17.5;11.5;66;13.2;65;19.5;60
337;Bleiswijk;10.4;6.5;63;12.5;145;19.2;70
338;Bodegraven;19.5;12.6;64;12.6;135;18.9;79
339;Drechterland;10.4;6.8;66;12.0;250;17.7;199
340;Boskoop;15.2;9.8;65;12.5;151;18.6;112
341;Brielle;15.9;10.6;67;13.4;57;19.5;58
342;Capelle aan den IJssel;65.4;44.2;68;13.2;72;18.8;90
343;Delft;95.8;63.4;66;12.3;183;17.6;207
344;Dirksland;8.3;5.3;64;11.7;321;17.6;206
345;Dordrecht;119.6;78.9;66;11.9;271;17.3;253
346;Goedereede;11.5;7.5;65;12.1;226;18.1;149
347;Gorinchem;34.6;23.6;68;12.3;186;17.4;236
348;Gouda;71.8;47.5;66;12.6;134;18.4;126
349;'s-Gravendeel;8.9;6.0;68;12.6;131;18.0;162
350;'s-Gravenhage (gemeente);469.1;303.2;65;12.5;154;18.3;135
351;Hardinxveld-Giessendam;17.8;11.2;63;11.5;370;17.8;186
352;Noorder-Koggenland;10.5;6.9;66;12.1;224;17.8;180
353;Hellevoetsluis;40.2;26.2;65;12.4;162;18.3;132
354;Hendrik-Ido-Ambacht;23.0;14.5;63;12.3;199;18.8;93
355;Stede Broec;21.4;14.1;66;11.5;359;16.8;339
356;Hillegom;20.6;14.1;68;12.8;115;18.0;161
357;Katwijk;41.8;27.1;65;11.7;315;17.4;242
358;Krimpen aan den IJssel;29.0;19.0;65;13.2;73;19.5;56
359;Leerdam;21.0;13.6;65;11.5;354;17.1;297
360;Leiden;118.7;79.2;67;12.8;110;18.3;137
361;Leiderdorp;26.2;17.7;68;14.0;36;20.1;34
362;Lisse;22.1;14.9;68;12.9;96;18.5;114
363;Maassluis;32.8;22.4;68;12.6;129;17.8;173
364;Wester-Koggenland;13.9;9.3;67;11.8;309;17.2;278
365;Middelharnis;17.4;11.6;66;12.2;216;17.8;175
366;Moordrecht;8.1;5.1;62;11.8;294;18.2;144
367;Nieuwerkerk aan den IJssel;22.3;14.3;64;13.1;81;20.0;38
368;Bernisse;12.7;8.5;67;13.3;64;19.2;69
369;Nieuwkoop;11.1;7.2;65;13.2;67;19.7;54
370;Nieuw-Lekkerland;9.5;5.6;58;11.1;422;18.4;128
371;Noordwijk;24.5;16.6;68;13.2;68;18.8;97
372;Noordwijkerhout;15.1;9.8;65;12.3;198;18.4;127
373;Oegstgeest;21.2;13.5;64;15.7;12;23.8;8
374;Oostflakkee;10.1;6.7;66;11.5;368;16.7;354
375;Oud-Beijerland;23.4;15.3;66;12.7;120;18.8;96
376;Binnenmaas;19.2;12.9;67;13.6;48;19.7;52
377;Korendijk;11.0;7.0;64;12.2;205;18.5;117
378;Oudewater;9.8;6.6;67;12.9;95;18.8;100
379;Papendrecht;30.9;20.5;66;12.9;104;18.7;102
380;Reeuwijk;12.9;8.3;64;13.7;46;20.6;28
381;Ridderkerk;45.5;31.4;69;12.7;117;17.8;171
382;Rotterdam;598.9;390.5;65;11.7;330;16.9;318
383;Rozenburg;13.2;8.8;67;12.9;103;18.5;116
384;Rijnsburg;14.9;9.4;63;12.0;255;18.4;129
385;Rijswijk (ZH.);47.7;34.6;73;14.4;27;19.2;72
386;Sassenheim;14.8;10.1;68;13.4;56;19.1;75
387;Schiedam;75.6;50.3;66;11.9;270;17.1;285
388;Schoonhoven;12.3;8.0;65;12.4;173;18.2;142
389;Sliedrecht;23.8;15.8;66;12.0;246;17.5;223
390;Cromstrijen;13.0;8.8;68;13.1;78;18.8;92
391;Spijkenisse;75.2;49.9;66;12.3;200;17.8;187
392;Albrandswaard;19.6;13.0;66;13.9;39;20.3;32
393;Westvoorne;14.3;9.7;68;14.6;24;20.8;25
394;Strijen;9.3;6.0;65;13.1;85;19.3;66
395;Valkenburg (ZH.);3.8;2.4;64;11.5;372;17.3;256
396;Vianen;19.8;13.3;67;12.4;158;17.9;168
397;Vlaardingen;74.1;50.6;68;12.4;165;17.5;233
398;Vlist;9.8;6.4;65;12.7;123;18.8;87
399;Voorhout;14.8;9.3;63;13.1;80;20.3;33
400;Voorschoten;22.5;15.0;67;15.0;20;22.0;15
401;Waddinxveen;26.3;17.2;66;12.9;97;19.1;76
402;Warmond;5.0;3.4;68;15.1;19;21.3;21
403;Wassenaar;25.5;15.6;61;17.7;4;28.0;2
404;Woerden;48.1;31.8;66;13.4;58;19.7;51
405;Zoetermeer;114.2;76.2;67;13.0;89;18.8;88
406;Zoeterwoude;8.5;5.7;67;13.0;86;18.9;83
407;Zwijndrecht;45.4;30.8;68;12.6;130;18.0;155
408;Nederlek;14.8;9.7;66;12.4;166;18.2;139
409;Ouderkerk;8.1;5.1;63;12.2;208;18.6;111
410;Jacobswoude;10.7;7.1;66;13.0;92;18.8;94
411;GaasterlÔn-Sleat;10.2;6.7;65;10.9;446;16.1;425
412;Borsele;22.3;14.5;65;11.6;336;17.3;266
413;Goes;36.6;25.2;69;12.6;139;17.7;202
414;West Maas en Waal;18.1;12.3;68;11.8;290;16.9;323
415;Hulst;27.9;18.3;66;12.8;112;17.3;252
416;Kapelle;11.5;7.5;65;12.3;195;18.2;145
417;Wymbritseradiel;16.3;10.3;63;11.2;405;17.1;288
418;Middelburg (Z.);46.3;31.1;67;12.2;204;17.6;215
419;Giessenlanden;14.4;9.2;64;12.5;148;18.9;80
420;Graafstroom;9.7;5.8;60;11.8;304;18.9;82
421;Liesveld;9.7;5.9;61;11.8;306;18.7;105
422;Reimerswaal;21.1;13.1;62;11.2;410;17.0;301
423;Zederik;13.5;8.6;63;11.8;297;17.9;169
424;Wûnseradiel;11.9;7.6;63;10.7;462;16.2;408
425;Terneuzen;55.4;36.8;66;12.3;197;17.3;261
426;Tholen;24.4;15.1;62;10.9;445;16.7;342
