ID;KenmerkenWerknemers;Marges;Perioden;TevredenMetArbeidsomstandigheden_1;TevredenMetWerk_2;LeeftijdWillenDoorwerken_3;LeeftijdInStaatDoorwerken_4;VoldoenAanFysiekeEisenWerk_5;VoldoenAanPsychischeEisenWerk_6;MakkelijkNieuweFunctieEigenWerkgever_7;MakkelijkNieuweBaanAndereWerkgever_8
42;Herkomst: geboren in Nederland;Waarde;2023;78.8;80.4;63.1;63.1;92.2;90.8;59.5;81.5
43;Herkomst: geboren in Nederland;Waarde;2024;78.7;80.2;63.1;63.0;91.9;90.7;59.2;81.3
44;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2014;73.6;77.0;63.0;62.6;90.9;90.7;46.3;52.7
45;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2015;73.5;76.7;62.9;62.6;90.0;90.7;47.1;54.8
46;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2016;73.8;77.3;62.7;62.5;91.0;91.4;49.1;59.5
47;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2017;72.7;76.5;62.5;62.3;89.4;89.6;51.5;64.6
48;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2018;73.3;77.5;62.6;62.5;90.4;90.9;52.4;70.5
49;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2019;75.5;78.8;62.6;62.7;90.1;90.4;53.2;71.4
50;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2020;77.2;80.0;62.6;63.4;92.2;92.5;55.7;71.1
51;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2021;77.7;79.8;62.3;63.1;91.1;90.9;57.3;75.9
52;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2022;76.7;78.7;63.1;62.6;91.2;89.8;57.8;81.1
53;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2023;78.4;80.0;63.0;63.0;91.9;90.5;59.0;81.2
54;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2024;78.3;79.8;63.0;62.9;91.7;90.5;58.8;81.0
55;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2014;74.6;77.9;63.2;62.9;91.5;91.3;47.5;53.9
56;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2015;74.4;77.6;63.1;62.9;90.6;91.3;48.2;55.8
57;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2016;74.7;78.1;63.0;62.7;91.6;92.0;50.2;60.5
58;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2017;73.6;77.4;62.7;62.6;90.0;90.2;52.6;65.6
59;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2018;74.1;78.3;62.8;62.8;90.9;91.4;53.3;71.2
60;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2019;76.2;79.5;62.8;62.9;90.7;90.9;54.1;72.2
61;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2020;78.0;80.8;62.9;63.6;92.7;93.0;56.6;71.9
62;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2021;78.6;80.6;62.6;63.4;91.6;91.5;58.3;76.7
63;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2022;77.5;79.5;63.3;62.9;91.8;90.3;58.7;81.8
64;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2023;79.1;80.8;63.3;63.3;92.4;91.1;59.9;81.9
65;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2024;79.0;80.5;63.2;63.2;92.2;91.0;59.7;81.6
66;Herkomst: geboren buiten Nederland;Waarde;2014;64.8;68.4;62.4;61.7;85.9;85.4;48.3;51.9
67;Herkomst: geboren buiten Nederland;Waarde;2015;66.4;70.3;62.7;62.4;85.8;87.6;49.8;52.8
68;Herkomst: geboren buiten Nederland;Waarde;2016;67.1;71.1;62.2;61.3;87.3;87.3;50.6;56.3
69;Herkomst: geboren buiten Nederland;Waarde;2017;65.3;68.8;62.0;61.1;84.4;84.4;51.5;60.3
70;Herkomst: geboren buiten Nederland;Waarde;2018;64.5;67.3;61.7;60.8;84.1;83.7;51.3;63.7
71;Herkomst: geboren buiten Nederland;Waarde;2019;66.2;69.4;62.0;61.4;84.6;84.6;53.8;65.1
72;Herkomst: geboren buiten Nederland;Waarde;2020;69.1;71.2;62.2;61.8;88.1;87.0;55.4;65.1
73;Herkomst: geboren buiten Nederland;Waarde;2021;68.9;71.0;61.6;61.2;85.4;84.8;55.9;68.0
74;Herkomst: geboren buiten Nederland;Waarde;2022;68.6;70.5;61.8;61.1;87.4;84.5;58.2;75.5
75;Herkomst: geboren buiten Nederland;Waarde;2023;69.9;70.5;61.3;60.8;88.1;85.2;58.0;73.2
76;Herkomst: geboren buiten Nederland;Waarde;2024;69.5;71.0;61.6;61.1;88.6;85.6;56.9;72.7
77;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2014;63.0;66.6;61.9;61.1;84.5;83.9;46.4;50.0
78;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2015;64.7;68.7;62.3;61.9;84.5;86.4;48.0;51.0
79;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2016;65.5;69.5;61.8;60.8;86.1;86.1;48.9;54.6
80;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2017;63.7;67.2;61.6;60.6;83.2;83.2;49.8;58.6
81;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2018;63.1;66.0;61.3;60.3;83.0;82.6;49.9;62.3
82;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2019;64.8;68.1;61.7;61.0;83.6;83.5;52.3;63.7
83;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2020;67.8;69.9;61.8;61.4;87.2;86.0;54.0;63.7
84;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2021;67.4;69.5;61.1;60.7;84.2;83.6;54.4;66.6
85;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2022;67.3;69.3;61.4;60.7;86.5;83.5;56.8;74.2
86;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2023;68.7;69.3;60.9;60.4;87.2;84.2;56.7;72.1
87;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2024;68.3;69.9;61.3;60.7;87.7;84.7;55.6;71.6
88;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2014;66.6;70.2;62.9;62.3;87.2;86.7;50.2;53.8
89;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2015;68.0;71.9;63.1;62.9;86.9;88.7;51.5;54.5
90;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2016;68.7;72.7;62.6;61.8;88.4;88.4;52.3;58.0
91;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2017;66.9;70.3;62.4;61.6;85.6;85.7;53.2;61.9
92;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2018;65.9;68.7;62.0;61.2;85.1;84.7;52.8;65.0
93;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2019;67.5;70.8;62.4;61.8;85.6;85.6;55.2;66.5
94;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2020;70.4;72.5;62.6;62.2;89.0;87.9;56.8;66.4
95;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2021;70.3;72.4;62.0;61.7;86.4;85.9;57.5;69.5
96;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2022;69.9;71.8;62.1;61.5;88.3;85.5;59.5;76.6
97;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2023;71.1;71.7;61.6;61.2;88.9;86.1;59.3;74.4
98;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2024;70.6;72.1;62.0;61.5;89.3;86.5;58.1;73.8
99;Herkomst: geb. in NL, ouders in NL;Waarde;2014;74.4;77.9;63.3;62.8;91.2;91.1;46.4;52.8
100;Herkomst: geb. in NL, ouders in NL;Waarde;2015;74.4;77.6;63.2;62.9;90.3;91.1;47.3;54.7
101;Herkomst: geb. in NL, ouders in NL;Waarde;2016;74.8;78.4;63.0;62.8;91.3;91.8;49.3;59.5
102;Herkomst: geb. in NL, ouders in NL;Waarde;2017;73.6;77.5;62.9;62.7;89.7;89.9;51.6;64.5
103;Herkomst: geb. in NL, ouders in NL;Waarde;2018;74.1;78.4;63.0;62.9;90.7;91.3;52.4;70.3
104;Herkomst: geb. in NL, ouders in NL;Waarde;2019;76.5;80.0;63.0;63.1;90.3;90.8;53.3;71.4
105;Herkomst: geb. in NL, ouders in NL;Waarde;2020;78.1;81.0;63.1;63.7;92.4;92.8;55.8;71.2
106;Herkomst: geb. in NL, ouders in NL;Waarde;2021;78.6;80.6;62.8;63.5;91.4;91.4;57.5;76.0
107;Herkomst: geb. in NL, ouders in NL;Waarde;2022;77.8;79.7;63.5;63.1;91.6;90.3;57.9;81.1
108;Herkomst: geb. in NL, ouders in NL;Waarde;2023;79.4;81.2;63.5;63.5;92.2;91.0;59.3;81.4
109;Herkomst: geb. in NL, ouders in NL;Waarde;2024;79.5;81.1;63.4;63.4;92.0;90.9;59.0;81.1
110;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2014;73.9;77.4;63.1;62.7;90.8;90.7;45.8;52.2
111;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2015;74.0;77.2;63.1;62.8;90.0;90.8;46.8;54.1
112;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2016;74.3;78.0;62.9;62.6;91.0;91.5;48.7;59.0
113;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2017;73.1;77.1;62.8;62.6;89.4;89.6;51.0;64.0
114;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2018;73.7;78.0;62.9;62.8;90.4;91.0;52.0;69.9
115;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2019;76.1;79.6;62.9;63.0;90.1;90.6;52.8;71.0
116;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2020;77.6;80.6;63.0;63.6;92.1;92.6;55.3;70.8
117;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2021;78.1;80.2;62.7;63.4;91.1;91.1;57.0;75.6
118;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2022;77.4;79.3;63.4;63.0;91.3;90.0;57.4;80.7
119;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2023;79.1;80.8;63.4;63.4;92.0;90.7;58.8;81.0
120;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2024;79.1;80.7;63.3;63.2;91.7;90.6;58.5;80.7
121;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2014;74.9;78.4;63.4;63.0;91.5;91.4;47.0;53.4
122;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2015;74.9;78.1;63.3;63.0;90.6;91.4;47.9;55.2
123;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2016;75.3;78.9;63.1;62.9;91.6;92.1;49.8;60.1
124;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2017;74.1;78.0;63.0;62.8;90.0;90.2;52.1;65.1
125;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2018;74.5;78.8;63.1;63.0;91.0;91.5;52.9;70.7
126;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2019;76.9;80.3;63.1;63.2;90.6;91.1;53.8;71.9
127;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2020;78.5;81.4;63.2;63.9;92.6;93.1;56.3;71.6
128;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2021;79.0;81.0;62.9;63.7;91.7;91.7;58.0;76.4
129;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2022;78.2;80.0;63.6;63.2;91.8;90.6;58.3;81.5
130;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2023;79.8;81.5;63.6;63.6;92.5;91.3;59.7;81.8
131;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2024;79.9;81.4;63.5;63.5;92.2;91.2;59.4;81.4
132;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2014;71.5;73.7;62.9;63.0;90.6;92.1;47.6;50.5
133;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2015;72.2;77.1;62.6;62.7;91.4;90.8;49.0;57.2
134;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2016;73.0;74.3;62.7;63.0;91.0;91.1;52.5;62.2
135;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2017;71.5;75.7;63.0;61.5;88.7;89.1;51.6;63.2
136;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2018;73.3;76.1;62.1;62.5;90.9;90.5;54.1;72.4
137;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2019;73.1;75.6;62.9;62.5;90.5;90.2;55.3;72.1
138;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2020;77.1;78.4;61.7;63.1;93.4;92.3;54.9;71.4
139;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2021;77.8;79.8;61.2;63.1;91.0;90.2;56.7;77.0
140;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2022;73.7;77.2;62.5;61.6;90.8;90.4;57.3;82.5
141;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2023;76.1;76.2;62.5;62.9;92.0;90.1;56.4;78.6
142;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2024;73.5;76.2;62.1;61.7;91.1;88.5;56.1;79.8
143;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2014;68.3;70.5;62.1;62.2;88.3;90.0;44.0;46.9
144;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2015;69.3;74.4;61.8;61.8;89.5;88.9;45.9;54.0
145;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2016;70.1;71.4;62.0;62.2;89.1;89.2;49.3;59.1
146;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2017;68.4;72.7;62.3;60.6;86.5;86.7;48.3;60.0
147;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2018;70.6;73.5;61.3;61.7;89.1;88.7;51.1;69.8
148;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2019;70.5;73.0;62.2;61.8;88.8;88.4;52.4;69.5
149;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2020;74.6;75.9;60.7;62.3;91.7;90.6;52.0;68.8
150;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2021;75.1;77.2;60.2;62.3;89.1;88.2;53.6;74.3
151;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2022;71.2;74.8;61.7;60.7;89.1;88.6;54.6;80.3
152;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2023;73.6;73.7;61.8;62.0;90.4;88.3;53.6;76.2
153;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2024;71.0;73.8;61.3;60.8;89.4;86.6;53.4;77.5
154;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2014;74.6;76.7;63.7;63.8;92.4;93.8;51.3;54.1
155;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2015;74.9;79.6;63.4;63.6;93.1;92.5;52.2;60.3
156;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2016;75.7;76.9;63.3;63.9;92.7;92.7;55.6;65.2
157;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2017;74.4;78.5;63.7;62.4;90.7;91.0;55.0;66.3
158;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2018;75.7;78.4;62.8;63.2;92.3;92.1;56.9;74.8
159;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2019;75.5;77.9;63.6;63.3;92.0;91.8;58.0;74.5
160;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2020;79.5;80.7;62.6;64.0;94.7;93.7;57.8;73.9
161;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2021;80.3;82.2;62.2;63.9;92.6;91.9;59.7;79.4
162;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2022;76.1;79.5;63.2;62.5;92.3;91.9;60.0;84.5
163;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2023;78.4;78.5;63.3;63.7;93.4;91.6;59.2;80.8
164;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2024;75.8;78.4;62.8;62.5;92.5;90.1;58.7;81.9
165;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2014;71.6;73.4;61.0;61.1;91.4;90.1;53.1;61.2
166;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2015;68.8;70.4;60.0;60.2;90.1;90.7;51.2;63.2
167;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2016;68.4;70.1;60.7;60.5;91.1;91.0;53.0;64.4
168;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2017;68.4;70.2;58.6;59.4;89.9;90.4;57.8;71.8
169;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2018;69.0;72.8;59.1;59.9;90.3;89.6;57.3;76.3
170;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2019;69.8;71.4;58.9;59.5;91.1;89.1;57.2;75.5
171;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2020;73.4;75.1;58.6;60.8;92.6;92.0;59.9;74.5
172;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2021;73.8;75.7;58.7;60.2;91.0;89.4;60.9;79.6
173;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2022;72.0;74.2;60.0;59.4;90.9;88.0;62.8;84.3
174;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2023;73.0;74.2;59.8;59.4;91.7;89.1;62.8;83.7
175;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2024;72.0;72.7;60.2;59.8;91.8;89.8;62.6;84.3
176;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2014;69.1;70.9;59.9;59.9;89.8;88.4;50.5;58.6
177;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2015;66.6;68.3;59.1;59.4;88.7;89.2;48.9;61.0
178;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2016;66.3;68.1;59.9;59.8;89.7;89.6;50.7;62.3
179;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2017;66.3;68.1;57.7;58.6;88.5;89.0;55.6;69.8
180;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2018;67.3;71.1;58.4;59.2;89.2;88.4;55.5;74.7
181;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2019;68.0;69.7;58.2;58.8;89.9;87.8;55.4;73.9
182;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2020;71.7;73.5;57.8;60.1;91.5;90.9;58.1;72.9
183;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2021;72.0;73.9;57.9;59.4;89.8;88.1;58.8;78.0
184;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2022;70.2;72.4;59.4;58.7;89.7;86.7;60.9;82.9
185;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2023;71.3;72.5;59.2;58.7;90.6;87.9;61.0;82.3
186;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2024;70.4;71.0;59.6;59.1;90.7;88.6;60.9;83.0
187;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2014;73.9;75.7;62.1;62.2;92.8;91.5;55.8;63.7
188;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2015;70.8;72.5;60.9;61.0;91.4;91.9;53.4;65.4
189;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2016;70.5;72.1;61.4;61.2;92.3;92.2;55.2;66.5
190;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2017;70.4;72.2;59.6;60.3;91.2;91.6;60.0;73.7
191;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2018;70.7;74.4;59.8;60.5;91.4;90.6;59.1;77.8
192;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2019;71.5;73.1;59.6;60.2;92.1;90.2;59.1;77.1
193;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2020;75.0;76.7;59.3;61.5;93.5;93.0;61.7;76.1
194;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2021;75.6;77.5;59.5;61.1;92.2;90.6;62.9;81.2
195;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2022;73.7;75.8;60.7;60.1;92.0;89.2;64.6;85.6
196;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2023;74.7;75.8;60.5;60.1;92.6;90.2;64.6;85.0
197;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2024;73.6;74.3;60.8;60.5;92.8;90.9;64.4;85.6
198;Herkomst: geboren in Europa (excl. NL);Waarde;2014;65.0;68.6;62.3;62.3;87.1;86.5;50.3;57.8
199;Herkomst: geboren in Europa (excl. NL);Waarde;2015;68.0;71.2;62.7;62.9;86.0;88.0;51.2;59.4
200;Herkomst: geboren in Europa (excl. NL);Waarde;2016;67.7;71.3;61.5;61.5;88.9;88.4;51.0;61.9
201;Herkomst: geboren in Europa (excl. NL);Waarde;2017;67.1;70.1;62.5;61.5;87.0;84.8;52.9;65.6
202;Herkomst: geboren in Europa (excl. NL);Waarde;2018;64.6;65.9;61.0;60.0;84.9;83.8;49.2;67.9
203;Herkomst: geboren in Europa (excl. NL);Waarde;2019;66.1;67.8;61.9;61.6;86.4;84.8;54.5;69.2
204;Herkomst: geboren in Europa (excl. NL);Waarde;2020;69.5;71.4;62.4;61.5;89.5;87.0;55.4;70.1
205;Herkomst: geboren in Europa (excl. NL);Waarde;2021;69.9;70.5;61.4;61.2;86.8;85.2;55.1;71.5
206;Herkomst: geboren in Europa (excl. NL);Waarde;2022;70.0;71.1;61.5;60.7;89.0;84.4;58.1;78.9
207;Herkomst: geboren in Europa (excl. NL);Waarde;2023;71.3;72.0;60.7;60.7;89.2;85.3;58.5;76.9
208;Herkomst: geboren in Europa (excl. NL);Waarde;2024;70.0;71.5;61.6;60.6;89.7;85.5;57.3;78.0
209;Herkomst: geboren in Europa (excl. NL);Ondergrens 95%-interval;2014;61.8;65.5;61.4;61.3;84.6;84.0;46.9;54.5
