ID;CommodityFlows;OriginDestinationLoadingUnloading;ContinentsAndCountryGroups;CommodityGroups;TransportModes;Containerization;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
50;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2023;836550903.0;810309261.0;862792546.0;3.0;69.0;9.0;518189177.0;507500246.0;528878109.0;2.0;88.0;2.0
51;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2007;272649785.0;263094414.0;282205157.0;4.0;50.0;;373981659.0;364409039.0;383554280.0;3.0;64.0;
52;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2008;297942949.0;286522857.0;309363042.0;4.0;49.0;4.0;391908832.0;371505517.0;412312147.0;5.0;65.0;4.0
53;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2009;241722691.0;231074948.0;252370434.0;4.0;48.0;1.0;338385563.0;327912698.0;348858427.0;3.0;63.0;1.0
54;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2010;269089606.0;258111676.0;280067537.0;4.0;46.0;5.0;376519803.0;359706647.0;393332959.0;4.0;65.0;5.0
55;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2011;341134956.0;326842414.0;355427497.0;4.0;52.0;5.0;379298935.0;368102503.0;390495368.0;3.0;65.0;9.0
56;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2012;335223712.0;323248723.0;347198702.0;4.0;51.0;9.0;376596428.0;362582566.0;390610290.0;4.0;66.0;9.0
57;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2013;308965434.0;298490852.0;319440016.0;3.0;50.0;2.0;381309594.0;366937726.0;395681462.0;4.0;67.0;9.0
58;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2014;321573301.0;309815762.0;333330839.0;4.0;50.0;4.0;394808833.0;376937996.0;412679671.0;5.0;67.0;9.0
59;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2015;353414252.0;339265936.0;367562567.0;4.0;51.0;4.0;410756766.0;390590535.0;430922998.0;5.0;67.0;9.0
60;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2016;342833764.0;327937791.0;357729737.0;4.0;50.0;9.0;401561090.0;384040107.0;419082073.0;4.0;66.0;9.0
61;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2017;404544332.0;387268672.0;421819992.0;4.0;51.0;5.0;402827557.0;386337812.0;419317302.0;4.0;64.0;9.0
62;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2018;378442030.0;365603489.0;391280571.0;3.0;46.0;2.0;401863572.0;385392475.0;418334670.0;4.0;65.0;9.0
63;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2019;399832928.0;385308399.0;414357457.0;4.0;51.0;4.0;415240264.0;399062665.0;431417862.0;4.0;65.0;9.0
64;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2020;367667917.0;355507085.0;379828750.0;3.0;46.0;2.0;375456489.0;362102697.0;388810282.0;4.0;63.0;2.0
65;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2021;449274240.0;438106008.0;460442471.0;2.0;44.0;5.0;401875169.0;392977965.0;410772373.0;2.0;64.0;4.0
66;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2022;539555977.0;525101692.0;554010263.0;3.0;44.0;5.0;423663307.0;413793857.0;433532758.0;2.0;66.0;4.0
67;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Total;2023;500853827.0;485893775.0;515813879.0;3.0;41.0;2.0;388636080.0;378956596.0;398315564.0;2.0;66.0;2.0
68;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2007;146831913.0;138344855.0;155318970.0;6.0;27.0;;41468499.0;40650958.0;42286041.0;2.0;7.0;
69;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2008;141967885.0;133983600.0;149952169.0;6.0;23.0;9.0;42278636.0;41449864.0;43107408.0;2.0;7.0;4.0
70;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2009;139058510.0;129688113.0;148428907.0;7.0;27.0;9.0;35550042.0;34826193.0;36273891.0;2.0;7.0;1.0
71;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2010;131373587.0;123041789.0;139705385.0;6.0;23.0;9.0;38541166.0;37814637.0;39267695.0;2.0;7.0;4.0
72;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2011;154590428.0;142856333.0;166324524.0;8.0;23.0;5.0;47295658.0;46179314.0;48412003.0;2.0;8.0;5.0
73;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2012;140230289.0;132289159.0;148171419.0;6.0;21.0;2.0;46311057.0;45225325.0;47396790.0;2.0;8.0;9.0
74;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2013;129901888.0;123016094.0;136787682.0;5.0;21.0;2.0;47206975.0;46228607.0;48185342.0;2.0;8.0;9.0
75;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2014;143344746.0;135864505.0;150824988.0;5.0;22.0;5.0;50389207.0;49412776.0;51365639.0;2.0;9.0;4.0
76;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2015;196127904.0;183634821.0;208620988.0;6.0;28.0;5.0;51601134.0;50378010.0;52824258.0;2.0;8.0;4.0
77;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2016;199170950.0;186054540.0;212287359.0;7.0;29.0;9.0;54163233.0;53042215.0;55284251.0;2.0;9.0;4.0
78;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2017;232655670.0;217768234.0;247543105.0;6.0;29.0;5.0;60919817.0;59610138.0;62229497.0;2.0;10.0;5.0
79;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2018;197026242.0;187292184.0;206760299.0;5.0;24.0;1.0;61040776.0;59522671.0;62558881.0;2.0;10.0;9.0
80;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2019;214315885.0;205191602.0;223440169.0;4.0;27.0;4.0;68263038.0;63727142.0;72798935.0;7.0;11.0;5.0
81;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2020;216839304.0;206044534.0;227634074.0;5.0;27.0;9.0;68558531.0;65268624.0;71848439.0;5.0;11.0;9.0
82;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2021;248505430.0;239166034.0;257844825.0;4.0;25.0;5.0;70692265.0;68429368.0;72955162.0;3.0;11.0;9.0
83;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2022;237428388.0;225662251.0;249194524.0;5.0;19.0;2.0;62277014.0;60070696.0;64483332.0;4.0;10.0;1.0
84;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Containerized goods;2023;249065318.0;236049652.0;262080984.0;5.0;20.0;9.0;59796849.0;57903838.0;61689861.0;3.0;10.0;2.0
85;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2007;125817873.0;121427545.0;130208200.0;3.0;23.0;;332513160.0;322975514.0;342050806.0;3.0;57.0;
86;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2008;155975065.0;147809912.0;164140217.0;5.0;26.0;5.0;349630196.0;329243720.0;370016672.0;6.0;58.0;4.0
87;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2009;102664181.0;97607493.0;107720868.0;5.0;20.0;1.0;302835520.0;292387701.0;313283340.0;3.0;56.0;1.0
88;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2010;137716019.0;130567866.0;144864172.0;5.0;24.0;5.0;337978637.0;321181185.0;354776089.0;5.0;58.0;5.0
89;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2011;186544527.0;178384395.0;194704660.0;4.0;28.0;5.0;332003277.0;320862636.0;343143918.0;3.0;57.0;9.0
90;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2012;194993423.0;186030230.0;203956617.0;5.0;30.0;4.0;330285371.0;316313631.0;344257111.0;4.0;58.0;9.0
91;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2013;179063547.0;171170340.0;186956753.0;4.0;29.0;2.0;334102619.0;319764092.0;348441147.0;4.0;59.0;9.0
92;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2014;178228554.0;169157408.0;187299701.0;5.0;28.0;9.0;344419626.0;326575484.0;362263768.0;5.0;59.0;9.0
93;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2015;157286347.0;150645738.0;163926956.0;4.0;23.0;1.0;359155633.0;339026528.0;379284737.0;6.0;59.0;9.0
94;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2016;143662815.0;136602375.0;150723254.0;5.0;21.0;2.0;347397857.0;329912773.0;364882940.0;5.0;57.0;9.0
95;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2017;171888663.0;163124378.0;180652947.0;5.0;22.0;5.0;341907740.0;325470087.0;358345392.0;5.0;55.0;9.0
96;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2018;181415788.0;173044631.0;189786945.0;5.0;22.0;4.0;340822796.0;324421808.0;357223784.0;5.0;55.0;9.0
97;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2019;185517043.0;174216184.0;196817901.0;6.0;24.0;9.0;346977225.0;331448532.0;362505919.0;4.0;54.0;9.0
98;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2020;150828613.0;145228722.0;156428505.0;4.0;19.0;1.0;306897958.0;293955768.0;319840148.0;4.0;51.0;1.0
99;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2021;200768810.0;194644670.0;206892950.0;3.0;20.0;5.0;331182904.0;322578281.0;339787527.0;3.0;53.0;4.0
100;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2022;302127590.0;293732092.0;310523088.0;3.0;25.0;5.0;361386293.0;351766615.0;371005972.0;3.0;56.0;4.0
101;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Maritime transport;Non-containerized goods;2023;251788509.0;244413172.0;259163846.0;3.0;21.0;1.0;328839231.0;319346658.0;338331803.0;3.0;56.0;2.0
102;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2007;26858908.0;25769392.0;27948424.0;4.0;5.0;;70524522.0;67855321.0;73193723.0;4.0;12.0;
103;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2008;31496448.0;30197791.0;32795104.0;4.0;5.0;5.0;67925359.0;65493534.0;70357183.0;4.0;11.0;2.0
104;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2009;21779244.0;20933735.0;22624752.0;4.0;4.0;1.0;60154796.0;57769909.0;62539683.0;4.0;11.0;1.0
105;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2010;22612531.0;21477247.0;23747815.0;5.0;4.0;9.0;64572560.0;61858901.0;67286219.0;4.0;11.0;4.0
106;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2011;32015087.0;30720866.0;33309308.0;4.0;5.0;5.0;65303718.0;62340872.0;68266563.0;5.0;11.0;9.0
107;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2012;35910727.0;34347182.0;37474273.0;4.0;5.0;5.0;67399273.0;64574711.0;70223835.0;4.0;12.0;9.0
108;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2013;34678373.0;33267398.0;36089349.0;4.0;6.0;9.0;63800681.0;61143998.0;66457364.0;4.0;11.0;2.0
109;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2014;31868262.0;30514794.0;33221729.0;4.0;5.0;2.0;63924931.0;61165764.0;66684098.0;4.0;11.0;9.0
110;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2015;35433607.0;34054927.0;36812288.0;4.0;5.0;5.0;63129653.0;60429236.0;65830070.0;4.0;10.0;9.0
111;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2016;33399384.0;32256442.0;34542326.0;3.0;5.0;2.0;66517130.0;63827574.0;69206686.0;4.0;11.0;4.0
112;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2017;41481226.0;40259962.0;42702490.0;3.0;5.0;5.0;72448729.0;69874135.0;75023322.0;4.0;12.0;4.0
113;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2018;44789004.0;42875700.0;46702309.0;4.0;5.0;4.0;71967749.0;69426731.0;74508766.0;4.0;12.0;9.0
114;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2019;39261677.0;36241883.0;42281471.0;8.0;5.0;1.0;71035576.0;66496734.0;75574418.0;6.0;11.0;9.0
115;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2020;44786796.0;41377852.0;48195740.0;8.0;6.0;5.0;74620877.0;70816151.0;78425602.0;5.0;12.0;9.0
116;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2021;48027507.0;44637086.0;51417928.0;7.0;5.0;9.0;71400722.0;68429094.0;74372349.0;4.0;11.0;2.0
117;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2022;79800812.0;71812992.0;87788632.0;10.0;7.0;5.0;64764838.0;61603332.0;67926343.0;5.0;10.0;2.0
118;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Total;2023;62005997.0;57436151.0;66575842.0;7.0;5.0;1.0;63511733.0;60695726.0;66327739.0;4.0;11.0;9.0
119;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Containerized goods;2007;9908296.0;9235189.0;10581404.0;7.0;2.0;;9016509.0;8536426.0;9496593.0;5.0;2.0;
120;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Containerized goods;2008;11742276.0;10988143.0;12496409.0;6.0;2.0;5.0;8142682.0;7828258.0;8457107.0;4.0;1.0;2.0
121;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Containerized goods;2009;7525569.0;7080012.0;7971125.0;6.0;1.0;1.0;6249508.0;5994839.0;6504178.0;4.0;1.0;1.0
122;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Containerized goods;2010;7371025.0;6611441.0;8130609.0;10.0;1.0;9.0;7613939.0;6717388.0;8510491.0;12.0;1.0;5.0
123;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Containerized goods;2011;9961932.0;9222591.0;10701273.0;7.0;2.0;5.0;7598389.0;7191530.0;8005248.0;5.0;1.0;9.0
124;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Containerized goods;2012;9758840.0;9041808.0;10475872.0;7.0;1.0;9.0;7418505.0;7172077.0;7664934.0;3.0;1.0;9.0
125;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Containerized goods;2013;9956612.0;9221083.0;10692141.0;7.0;2.0;9.0;6727943.0;6492158.0;6963729.0;4.0;1.0;2.0
126;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Containerized goods;2014;8407041.0;7772941.0;9041142.0;8.0;1.0;1.0;7054355.0;6788587.0;7320122.0;4.0;1.0;4.0
127;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Containerized goods;2015;15218406.0;14420167.0;16016646.0;5.0;2.0;5.0;7391020.0;7111745.0;7670296.0;4.0;1.0;4.0
128;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Containerized goods;2016;12493028.0;11817793.0;13168264.0;5.0;2.0;1.0;7227288.0;6920677.0;7533898.0;4.0;1.0;9.0
129;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Inland shipping;Containerized goods;2017;14559659.0;13893163.0;15226156.0;5.0;2.0;5.0;8501645.0;8118891.0;8884400.0;5.0;1.0;5.0
