ID;Indelingen;Stroomgebieddistricten;Perioden;VolumeAfvalwater_1;ChemischZuurstofVerbruik_2;BiochemischZuurstofVerbruik_3;StikstofverbindingenAlsN_4;FosforverbindingenAlsP_5;Koper_6;Chroom_7;Zink_8;Lood_9;Cadmium_10;Nikkel_11;Kwik_12;Arseen_13;ChemischZuurstofVerbruik_14;BiochemischZuurstofVerbruik_15;StikstofverbindingenAlsN_16;FosforverbindingenAlsP_17;ZwevendStof_18;VolumeAfvalwater_19;ChemischZuurstofVerbruik_20;BiochemischZuurstofVerbruik_21;StikstofverbindingenAlsN_22;FosforverbindingenAlsP_23;Koper_24;Chroom_25;Zink_26;Lood_27;Cadmium_28;Nikkel_29;Kwik_30;Arseen_31;ChemischZuurstofVerbruik_32;BiochemischZuurstofVerbruik_33;StikstofverbindingenAlsN_34;FosforverbindingenAlsP_35;ZwevendStof_36;ChemischZuurstofVerbruik_37;BiochemischZuurstofVerbruik_38;StikstofverbindingenAlsN_39;FosforverbindingenAlsP_40;ChemischZuurstofVerbruik_41;BiochemischZuurstofVerbruik_42;StikstofverbindingenAlsN_43;FosforverbindingenAlsP_44;SlibbelastingCZV_45;SlibbelastingBZV_46;Slibindex_47;Slibconcentratie_48;Slibleeftijd_49;SpecifiekeSlibproductiePerVerwijdCZV_50;SpecifiekeSlibproductiePerVerwijdBZV_51;SpecifiekEnergieverbruikPerVerwTZV_52
10;Totaal alle installaties;Nederland;1998;2144541;929927;347902;85636;13694;156637;21441;463360;60936;995;28142;533;7085;456;173;42;7;242;2144541;103215;13368;34468;3239;20408;5610;121814;7269;349;13574;141;3326;50;7;13;2;27;88.0;95.0;67.0;73.0;89.0;96.0;60.0;76.0;;;;;;;;
11;Totaal alle installaties;Nederland;1999;1992116;915280;346151;85152;13293;170042;23710;475242;62507;1053;32419;582;6101;480;185;45;7;253;1992116;98331;14285;31710;3008;20680;5811;106628;8093;376;15886;169;2945;51;7;13;2;13;89.0;96.0;70.0;74.0;89.0;96.0;63.0;77.0;265.0;93.0;110.0;4.0;21.0;467.0;1124.0;499.0
12;Totaal alle installaties;Nederland;2000;1996779;920719;353527;84726;13300;156891;22707;438782;59425;1030;25394;511;5801;470;180;43;7;214;1996779;91033;11284;28952;2845;17846;5035;100897;8555;471;12037;143;2787;45;6;11;2;21;90.0;97.0;73.0;75.0;90.0;97.0;66.0;79.0;;;;;;;;
13;Totaal alle installaties;Nederland;2001;2131929;939362;355385;85674;13850;165466;20375;477901;66331;1058;25752;515;6433;461;175;42;7;215;2131929;94346;11573;29718;2994;19770;4663;104341;10253;462;12441;134;3041;44;5;11;2;22;90.0;97.0;73.0;75.0;90.0;97.0;65.0;78.0;187.0;73.0;109.0;4.0;22.0;441.0;1126.0;435.0
14;Totaal alle installaties;Nederland;2002;2047133;938906;355002;85955;14226;147146;17986;462072;55224;908;21119;490;6252;477;185;44;7;211;2047133;90364;11032;27746;3001;17901;3781;98419;8090;357;9329;133;2941;43;5;10;2;18;90.0;97.0;76.0;75.0;90.0;97.0;68.0;79.0;;;;;;;;
15;Totaal alle installaties;Nederland;2003;1757326;924079;349996;83695;14102;150836;16572;401235;50707;931;19808;524;5959;550;213;51;9;253;1757326;78025;9158;23626;2811;15569;3149;75402;8447;369;8285;156;2860;43;5;11;2;11;92.0;98.0;79.0;77.0;92.0;97.0;72.0;80.0;179.0;77.0;112.0;4.1;24.0;435.0;1042.0;436.0
16;Totaal alle installaties;Nederland;2004;1914946;948748;358617;84244;14328;157893;16158;448136;49276;1195;21966;403;5835;506;194;46;8;228;1914946;80849;9408;23475;2748;12767;2819;86486;6576;323;9346;103;2690;43;5;10;2;11;91.0;97.0;78.0;77.0;91.0;97.0;72.0;81.0;;;;;;;;
17;Totaal alle installaties;Nederland;2005;1841413;943467;351649;84825;14425;159754;17128;469266;43817;1317;21507;419;5891;525;198;48;8;238;1841413;77895;8684;21742;2651;12235;3474;85047;6249;252;9660;97;2736;41;4;9;2;10;92.0;98.0;80.0;79.0;92.0;98.0;74.0;82.0;203.0;77.0;112.0;4.1;24.0;424.0;1087.0;415.0
18;Totaal alle installaties;Nederland;2006;1853577;937860;347972;85842;14341;149586;17289;435888;42237;913;20627;376;6134;520;196;48;8;237;1853577;77268;8313;19057;2596;9576;2993;75637;5359;251;9036;102;2645;42;4;9;2;11;92.0;98.0;81.0;79.0;92.0;98.0;78.0;82.0;;;;;;;;
19;Totaal alle installaties;Nederland;2007;2068275;941736;348541;87817;14968;155909;18086;485009;48951;799;21936;379;6582;471;174;44;7;223;2068275;79026;8228;17849;2643;10596;3305;83749;5009;269;9525;91;2980;38;4;8;2;10;91.0;98.0;81.0;79.0;92.0;98.0;80.0;82.0;135.0;56.0;109.0;4.1;23.0;444.0;1149.0;390.0
20;Totaal alle installaties;Nederland;2008;1928192;946039;360948;89310;14951;152644;16095;494508;48234;586;20834;362;6128;503;192;47;8;232;1928192;75321;7623;16820;2551;9297;2249;77925;4988;194;8754;98;2738;39;4;8;2;9;92.0;98.0;82.0;80.0;92.0;98.0;81.0;83.0;;;;;;;;
21;Totaal alle installaties;Nederland;2009;1818441;937666;358215;86650;14601;156786;16586;441246;40598;647;20110;325;5717;536;208;49;8;246;1818441;71108;7235;15174;2303;9993;2452;78554;3672;195;8483;85;2508;40;4;8;2;10;92.0;98.0;82.0;80.0;92.0;98.0;82.0;84.0;182.0;76.0;111.0;4.0;23.0;547.0;1305.0;353.0
22;Totaal alle installaties;Nederland;2010;1934310;953490;370007;87866;13880;145405;17391;460409;36893;803;20905;319;6295;513;200;46;7;230;1934310;75461;8012;16586;2226;8842;2897;85375;3901;232;9367;87;2848;40;4;8;1;10;92.0;98.0;82.0;81.0;92.0;98.0;81.0;84.0;;;;;;;;
23;Totaal alle installaties;Nederland;2011;1917390;964537;379550;89320;13851;144934;15692;437716;40085;693;20796;310;5807;526;206;48;7;250;1917390;73447;7745;15250;2126;7898;2384;78012;3558;170;9409;70;2535;39;4;8;1;8;92.0;98.0;84.0;82.0;92.0;98.0;83.0;85.0;150.0;63.0;109.0;3.9;24.0;432.0;1040.0;348.0
24;Totaal alle installaties;Nederland;2012;1985471;971941;381196;89042;13459;150053;15840;464304;36306;677;18588;269;6264;505;199;46;7;237;1985471;70805;7497;15214;2065;9615;2313;95170;4033;188;8019;60;2972;37;4;7;1;8;92.0;98.0;84.0;82.0;93.0;98.0;83.0;85.0;192.0;78.0;;3.6;;390.0;900.0;
25;Totaal alle installaties;Nederland;2013;1873263;943414;380724;87733;13356;152832;17107;425214;36351;725;19572;291;6877;520;209;48;7;243;1873263;68429;6871;14639;2079;10226;2502;87024;2925;155;8550;57;3219;38;4;7;1;8;92.0;98.0;84.0;82.0;93.0;98.0;83.0;84.0;180.0;75.0;111.0;3.9;23.0;447.0;1001.0;336.0
26;Totaal alle installaties;Eems;1981;68090;29816;10058;3121;825;6004;957;19948;5500;72;943;58;79;507;179;59;16;169;68090;6393;1378;1380;561;1801;383;5984;2200;29;660;17;40;138;38;24;12;29;72.0;80.0;57.0;28.0;79.0;86.0;56.0;32.0;117.0;37.0;118.0;3.6;47.0;308.0;775.0;563.0
27;Totaal alle installaties;Eems;1985;66845;29553;9861;3042;734;5180;561;14444;4486;41;599;37;83;554;194;58;15;190;66845;4952;590;1843;440;1554;225;4333;1794;17;419;11;41;110;25;29;9;42;80.0;88.0;49.0;37.0;83.0;94.0;39.0;40.0;158.0;47.0;131.0;3.9;32.0;331.0;929.0;326.0
28;Totaal alle installaties;Eems;1990;72404;33942;11045;3247;517;7805;678;16523;3352;53;670;51;409;584;195;58;9;214;72404;4724;583;1553;187;1608;230;4660;875;21;399;15;205;96;18;24;3;12;84.0;92.0;58.0;62.0;86.0;95.0;52.0;64.0;489.0;121.0;132.0;3.8;25.0;322.0;1009.0;345.0
29;Totaal alle installaties;Eems;1991;68760;31827;10386;3316;467;8265;863;16683;3390;59;683;46;134;588;193;62;9;223;68760;5263;660;1774;196;1546;282;4638;790;24;393;14;67;99;17;27;4;19;82.0;91.0;53.0;59.0;83.0;94.0;46.0;58.0;503.0;114.0;128.0;3.7;24.0;420.0;1232.0;389.0
30;Totaal alle installaties;Eems;1992;73232;29692;9957;3081;443;6587;862;15081;2731;41;547;33;90;483;172;55;8;228;73232;5427;759;1621;190;1107;271;4132;563;16;304;10;45;95;18;24;3;16;80.0;90.0;55.0;58.0;82.0;92.0;47.0;57.0;;;;;;;;
31;Totaal alle installaties;Eems;1993;86010;34227;11683;3571;512;5876;773;21094;3459;52;648;35;385;487;169;52;7;234;86010;6016;821;1844;187;2053;254;4941;1264;21;309;10;300;92;17;22;3;10;81.0;91.0;56.0;64.0;82.0;93.0;48.0;63.0;631.0;161.0;133.0;3.6;26.0;391.0;1002.0;397.0
32;Totaal alle installaties;Eems;1994;94330;35260;12055;3769;526;5386;450;15118;2584;50;499;28;237;447;150;46;7;368;94330;7592;1054;2127;212;646;90;3628;310;20;239;9;118;106;18;23;3;28;75.0;87.0;49.0;58.0;78.0;91.0;44.0;60.0;;;;;;;;
33;Totaal alle installaties;Eems;1995;88734;33545;11462;3591;477;5495;491;14786;2354;34;420;21;84;425;147;45;6;266;88734;6383;806;1950;138;550;93;3549;282;14;210;6;42;107;20;24;2;21;77.0;89.0;49.0;66.0;81.0;93.0;46.0;71.0;211.0;65.0;121.0;3.8;23.0;412.0;1201.0;479.0
34;Totaal alle installaties;Eems;1996;74333;33851;12246;3374;461;6219;578;13778;1873;35;474;20;153;568;201;60;8;298;74333;5547;760;1707;137;497;116;3031;206;14;232;6;76;104;18;27;3;29;81.0;91.0;55.0;64.0;84.0;94.0;49.0;70.0;;;;;;;;
35;Totaal alle installaties;Eems;1997;67052;31800;11431;3378;455;6098;484;15850;1948;34;447;19;231;567;207;63;9;233;67052;4609;776;1685;100;488;82;3170;234;14;210;6;115;93;19;25;3;21;83.0;91.0;58.0;70.0;86.0;93.0;50.0;78.0;164.0;56.0;128.0;3.8;26.0;443.0;1161.0;287.0
36;Totaal alle installaties;Eems;1998;86451;32325;11655;3334;471;6310;558;16305;1903;28;459;16;267;432;159;48;6;236;86451;5143;819;1555;120;681;118;3881;206;11;207;5;134;69;14;20;2;7;83.0;89.0;60.0;72.0;84.0;93.0;53.0;75.0;;;;;;;;
37;Totaal alle installaties;Eems;1999;72072;29858;11442;3280;432;6701;636;17101;2156;34;768;19;267;488;193;56;7;253;72072;4060;583;1318;79;583;129;3608;235;14;368;6;134;63;10;19;2;2;87.0;95.0;66.0;75.0;86.0;95.0;60.0;82.0;152.0;54.0;134.0;4.0;9.0;460.0;1185.0;493.0
38;Totaal alle installaties;Eems;2000;68452;30038;11495;3098;410;4500;405;11842;1361;20;501;12;128;447;175;46;6;168;68452;4376;637;1160;91;360;86;2546;150;8;227;3;64;67;11;15;2;23;84.0;94.0;66.0;71.0;85.0;94.0;63.0;78.0;;;;;;;;
39;Totaal alle installaties;Eems;2001;91542;36913;13325;3699;483;5726;484;16211;1702;28;438;17;287;424;155;41;6;143;91542;5247;649;1373;96;555;102;3145;204;11;196;5;143;50;6;12;1;16;87.0;96.0;71.0;80.0;86.0;95.0;63.0;80.0;151.0;55.0;136.0;4.4;28.0;434.0;1130.0;477.0
40;Totaal alle installaties;Eems;2002;85168;34319;12606;3500;478;6280;564;21844;2904;40;715;18;212;466;177;49;7;153;85168;5192;770;1366;97;810;155;4378;1023;16;284;5;106;61;8;13;2;18;86.0;95.0;72.0;77.0;85.0;94.0;61.0;80.0;;;;;;;;
41;Totaal alle installaties;Eems;2003;70545;31755;12575;3032;452;8095;583;17550;2530;40;524;21;293;513;208;51;8;185;70545;3744;559;1169;80;664;104;3089;412;16;215;6;147;49;8;12;1;12;90.0;96.0;77.0;84.0;88.0;96.0;61.0;82.0;146.0;58.0;95.0;4.5;24.0;469.0;211.0;386.0
42;Totaal alle installaties;Eems;2004;79355;32610;12733;3320;477;5839;490;17937;2311;101;539;15;233;494;196;49;7;176;79355;3816;495;1148;75;840;183;7366;772;75;320;6;116;48;6;10;1;16;90.0;97.0;78.0;85.0;88.0;96.0;65.0;84.0;;;;;;;;
43;Totaal alle installaties;Eems;2005;69638;38025;13340;3417;537;7467;716;20120;2160;70;693;15;235;534;205;52;8;202;69638;3898;507;1158;85;542;219;3085;391;25;336;4;117;52;6;11;1;17;90.0;97.0;79.0;85.0;90.0;96.0;66.0;84.0;156.0;58.0;88.0;5.0;32.0;394.0;915.0;453.0
44;Totaal alle installaties;Eems;2006;67604;35644;13300;3235;489;5174;622;12156;1972;103;617;17;234;517;203;49;7;191;67604;3775;518;863;81;271;107;1674;211;41;266;5;117;54;7;10;1;16;89.0;96.0;79.0;82.0;89.0;96.0;73.0;83.0;;;;;;;;
45;Totaal alle installaties;Eems;2007;92313;32713;12275;3274;508;6683;647;15597;2169;27;505;14;251;388;150;38;6;223;92313;5450;673;908;114;650;125;1590;142;11;202;4;125;47;5;8;1;14;87.0;96.0;79.0;81.0;83.0;95.0;72.0;78.0;163.0;62.0;86.0;4.5;21.0;492.0;1145.0;415.0
46;Totaal alle installaties;Eems;2008;77450;34143;13138;3405;485;6399;523;13829;1619;25;599;17;330;475;188;45;7;229;77450;4018;466;874;75;358;97;840;187;7;282;6;165;48;5;8;1;17;90.0;97.0;83.0;85.0;88.0;96.0;74.0;85.0;;;;;;;;
47;Totaal alle installaties;Eems;2009;73644;34703;13656;3408;514;6583;545;14962;1376;24;601;13;269;505;204;47;8;255;73644;3487;409;738;61;441;120;2537;144;9;262;4;149;48;6;7;1;12;90.0;97.0;84.0;87.0;90.0;97.0;78.0;88.0;163.0;68.0;105.0;3.8;7.0;2303.0;5054.0;378.0
48;Totaal alle installaties;Eems;2010;79026;33371;13263;3370;461;5604;667;13988;1745;17;888;13;312;477;191;44;7;246;79026;3663;458;733;58;346;121;2009;158;6;253;4;180;49;7;7;1;11;89.0;97.0;83.0;88.0;89.0;97.0;78.0;87.0;;;;;;;;
49;Totaal alle installaties;Eems;2011;74597;33540;13489;3334;440;6115;459;12891;1257;19;420;13;316;483;197;43;6;231;74597;3533;437;699;52;294;68;2011;82;8;168;4;158;47;6;7;1;11;90.0;97.0;84.0;90.0;89.0;97.0;79.0;88.0;128.0;49.0;101.0;3.6;24.0;443.0;1025.0;380.0
50;Totaal alle installaties;Eems;2012;74859;33641;13862;3385;432;6583;504;16352;1463;16;485;14;250;482;198;45;6;237;74859;3433;407;654;47;387;87;1916;145;8;284;5;155;46;5;7;1;9;90.0;97.0;84.0;89.0;90.0;97.0;81.0;89.0;139.0;77.0;;;;;;
51;Totaal alle installaties;Eems;2013;70417;32735;14263;3270;407;5198;347;13357;1051;16;272;8;208;490;210;43;6;245;70417;3480;457;629;57;281;46;2418;53;6;96;2;104;47;6;7;1;10;90.0;97.0;84.0;88.0;89.0;97.0;81.0;86.0;125.0;47.0;103.0;4.0;36.0;451.0;977.0;36.0
52;Totaal alle installaties;Rijn-Noord;1981;62634;37207;14519;3101;902;10076;2307;22287;7098;98;1507;59;172;648;240;60;16;169;62634;6103;895;1373;486;3023;923;6686;2839;39;1055;18;86;102;15;24;9;0;82.0;93.0;59.0;42.0;84.0;94.0;56.0;46.0;141.0;50.0;116.0;4.3;45.0;400.0;1000.0;1379.0
53;Totaal alle installaties;Rijn-Noord;1985;79213;45812;15635;3796;1025;6575;1400;19470;5029;60;1168;32;212;582;203;51;14;190;79213;6997;898;1676;482;1973;560;5841;2012;24;817;10;106;80;10;20;6;10;85.0;94.0;59.0;51.0;85.0;94.0;56.0;53.0;151.0;53.0;109.0;4.0;29.0;395.0;1065.0;393.0
54;Totaal alle installaties;Rijn-Noord;1990;82303;48584;17686;3729;647;7316;1828;21433;3977;47;1309;39;300;623;234;50;9;217;82303;6735;763;1676;260;1507;620;6044;1038;19;780;12;150;77;8;20;3;64;86.0;96.0;59.0;60.0;86.0;96.0;55.0;60.0;172.0;64.0;154.0;3.7;23.0;432.0;1108.0;427.0
55;Totaal alle installaties;Rijn-Noord;1991;72348;48934;17208;3796;672;7194;1720;19471;3298;43;909;30;323;680;247;55;9;226;72348;6039;824;1765;238;1345;562;5413;768;17;523;9;162;77;10;22;3;34;88.0;96.0;58.0;65.0;88.0;95.0;54.0;65.0;163.0;58.0;127.0;3.8;23.0;455.0;1193.0;424.0
56;Totaal alle installaties;Rijn-Noord;1992;86969;46885;16946;4085;681;6931;1475;19809;3492;40;1032;24;333;557;205;49;8;230;86969;6299;777;1840;241;1164;463;5428;719;16;573;7;166;69;8;19;3;13;87.0;96.0;61.0;66.0;87.0;95.0;55.0;65.0;;;;;;;;
57;Totaal alle installaties;Rijn-Noord;1993;90577;50868;18350;4192;727;5637;1545;17411;3118;50;1065;28;351;590;217;50;9;233;90577;6247;837;1806;226;972;472;4344;485;20;609;8;175;66;8;19;3;6;89.0;96.0;62.0;69.0;88.0;95.0;57.0;69.0;168.0;61.0;123.0;4.0;22.0;414.0;1064.0;426.0
58;Totaal alle installaties;Rijn-Noord;1994;101109;51190;18880;4565;760;6180;13694;16942;3082;125;1435;40;411;579;223;53;9;371;101109;6853;922;1985;223;1013;1347;5892;370;39;390;10;217;69;8;19;3;16;88.0;96.0;62.0;69.0;87.0;95.0;57.0;71.0;;;;;;;;
59;Totaal alle installaties;Rijn-Noord;1995;96325;45024;15541;3998;677;6898;2234;14957;4077;39;1282;22;432;524;180;48;8;265;96325;6260;819;1755;195;610;108;4198;295;14;445;7;209;66;8;18;2;15;87.0;95.0;62.0;68.0;86.0;95.0;56.0;71.0;155.0;54.0;119.0;4.1;24.0;248.0;575.0;478.0
60;Totaal alle installaties;Rijn-Noord;1996;73900;47300;17003;4168;706;5746;917;14547;3652;37;608;25;206;676;237;61;10;300;73900;6021;930;1751;174;499;173;2986;221;16;299;7;103;71;10;20;2;21;89.0;96.0;65.0;74.0;87.0;95.0;58.0;75.0;;;;;;;;
61;Totaal alle installaties;Rijn-Noord;1997;75006;43794;16177;3997;688;6053;739;16323;2009;31;607;38;331;637;242;60;10;314;75006;4813;597;1476;160;480;126;3247;239;12;284;11;165;63;8;18;3;15;90.0;96.0;69.0;74.0;89.0;96.0;63.0;77.0;137.0;53.0;123.0;4.4;29.0;522.0;1254.0;394.0
62;Totaal alle installaties;Rijn-Noord;1998;106792;44144;15285;4002;657;6248;903;19130;2528;33;613;23;399;480;170;45;7;255;106792;6588;841;1648;156;675;190;4553;273;13;277;7;200;64;8;15;2;98;86.0;95.0;65.0;76.0;85.0;94.0;59.0;76.0;;;;;;;;
63;Totaal alle installaties;Rijn-Noord;1999;95329;41678;15020;3914;654;6845;887;19723;2660;32;671;21;394;434;160;41;7;254;95329;6198;762;1365;159;596;180;4162;290;13;322;6;197;58;8;12;2;12;85.0;94.0;69.0;73.0;85.0;95.0;65.0;76.0;271.0;49.0;131.0;4.3;22.0;;780.0;442.0
64;Totaal alle installaties;Rijn-Noord;2000;102689;42947;15380;3981;689;6061;830;18151;2422;27;798;17;330;426;158;40;7;205;102689;5631;564;1024;150;485;176;3902;266;11;362;5;165;53;6;10;2;13;87.0;96.0;74.0;75.0;87.0;96.0;74.0;78.0;;;;;;;;
65;Totaal alle installaties;Rijn-Noord;2001;110668;41739;15455;3961;698;5691;1089;18089;2613;30;801;19;398;402;152;39;7;204;110668;5309;503;1036;163;586;229;3509;327;12;357;6;199;51;5;10;2;12;87.0;96.0;72.0;73.0;87.0;97.0;74.0;77.0;98.0;37.0;106.0;3.8;30.0;;;444.0
66;Totaal alle installaties;Rijn-Noord;2002;108052;43586;17518;4059;726;5956;1037;22076;2625;30;907;18;409;421;169;40;7;200;108052;4961;522;952;150;586;218;4254;317;12;383;5;205;49;5;10;2;62;88.0;97.0;75.0;75.0;89.0;97.0;77.0;79.0;;;;;;;;
67;Totaal alle installaties;Rijn-Noord;2003;86873;42715;17558;3932;707;6881;835;15654;2274;20;743;13;320;533;219;49;9;252;86873;4084;438;821;128;572;116;2882;478;4;300;2;159;51;6;11;2;13;90.0;97.0;77.0;77.0;90.0;98.0;79.0;82.0;116.0;47.0;114.0;4.4;32.0;201.0;614.0;503.0
68;Totaal alle installaties;Rijn-Noord;2004;109886;43843;17258;4044;721;7336;856;20434;2672;21;862;16;365;427;173;40;7;228;109886;4911;548;900;137;745;164;3709;507;5;380;2;172;45;6;9;2;11;89.0;97.0;76.0;76.0;89.0;97.0;78.0;81.0;;;;;;;;
69;Totaal alle installaties;Rijn-Noord;2005;95971;42112;17459;3988;680;6746;840;17252;2409;22;749;16;344;473;198;46;8;238;95971;4115;424;674;116;731;251;2723;713;9;367;5;179;44;5;8;2;9;90.0;97.0;82.0;78.0;90.0;98.0;83.0;83.0;92.0;38.0;114.0;4.5;32.0;469.0;1051.0;
70;Totaal alle installaties;Rijn-Noord;2006;95974;43404;17602;4090;694;6968;965;19787;2248;24;870;17;385;461;188;44;7;237;95974;4488;401;738;124;550;183;3596;239;9;398;5;172;48;5;8;2;8;89.0;97.0;80.0;78.0;90.0;98.0;82.0;82.0;;;;;;;;
71;Totaal alle installaties;Rijn-Noord;2007;117907;44963;17399;4173;722;7185;892;20881;2484;22;782;17;394;401;154;37;6;229;117907;5205;416;775;143;433;160;3249;231;9;307;5;205;42;4;7;1;11;89.0;97.0;80.0;79.0;88.0;98.0;81.0;80.0;102.0;40.0;106.0;4.3;28.0;;;444.0
72;Totaal alle installaties;Rijn-Noord;2008;109257;41352;16325;3928;676;6927;1196;22439;3115;21;726;14;470;416;165;40;7;240;109257;4405;341;716;112;438;190;3323;256;8;278;4;235;41;4;8;1;8;89.0;98.0;80.0;81.0;89.0;98.0;82.0;83.0;;;;;;;;
73;Totaal alle installaties;Rijn-Noord;2009;96727;42914;17458;3959;668;5678;767;17716;1606;25;603;12;314;467;192;44;7;238;96727;4233;356;626;107;370;134;3699;163;9;240;4;151;45;5;8;1;10;90.0;98.0;78.0;81.0;90.0;98.0;84.0;84.0;100.0;41.0;114.0;4.0;27.0;546.0;1188.0;
74;Totaal alle installaties;Rijn-Noord;2010;101291;43275;17326;4081;652;6177;903;21156;1842;29;737;13;344;452;183;43;7;224;101291;4395;342;655;96;381;175;4269;188;11;294;4;164;44;4;8;1;9;90.0;98.0;81.0;82.0;90.0;98.0;84.0;85.0;;;;;;;;
75;Totaal alle installaties;Rijn-Noord;2011;98765;46903;18735;4147;694;5659;846;19227;1556;26;693;12;335;488;195;44;7;263;98765;4251;355;629;94;281;112;3638;105;9;236;4;158;42;4;7;1;7;91.0;98.0;82.0;85.0;91.0;98.0;85.0;86.0;111.0;44.0;108.0;3.9;26.0;421.0;970.0;375.0
76;Totaal alle installaties;Rijn-Noord;2012;111827;44575;17801;4219;672;5844;901;19441;1915;24;742;14;434;421;171;40;6;236;111827;4323;321;638;96;393;115;4578;160;9;307;4;227;39;4;7;1;8;90.0;98.0;83.0;83.0;90.0;98.0;85.0;86.0;112.0;45.0;;;;;;
