ID;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
109;2011 2e kwartaal;99.0;16.0
110;2011 juli;90.1;10.7
111;2011 augustus;76.2;7.6
112;2011 september;99.0;4.0
113;2011 3e kwartaal;88.5;7.3
114;2011 oktober;95.3;3.0
115;2011 november;91.0;9.7
116;2011 december;109.8;3.2
117;2011 4e kwartaal;98.7;5.0
118;2011;96.4;12.7
119;2012 januari;92.1;8.5
120;2012 februari;94.9;-5.6
121;2012 maart;111.0;-1.3
122;2012 1e kwartaal;99.4;0.0
123;2012 april;111.6;14.3
124;2012 mei;122.2;22.3
125;2012 juni;136.7;37.3
126;2012 2e kwartaal;123.5;24.7
127;2012 juli;71.9;-20.2
128;2012 augustus;64.1;-15.9
129;2012 september;86.1;-13.0
130;2012 3e kwartaal;74.1;-16.3
131;2012 oktober;91.3;-4.2
132;2012 november;83.3;-8.5
133;2012 december;96.6;-12.0
134;2012 4e kwartaal;90.4;-8.4
135;2012;96.8;0.5
136;2013 januari;65.8;-28.6
137;2013 februari;74.7;-21.4
138;2013 maart;88.7;-20.1
139;2013 1e kwartaal;76.4;-23.1
140;2013 april;78.7;-29.4
141;2013 mei;79.4;-35.0
142;2013 juni;95.9;-29.8
143;2013 2e kwartaal;84.7;-31.4
144;2013 juli;75.9;5.5
145;2013 augustus;63.8;-0.5
146;2013 september;86.8;0.7
147;2013 3e kwartaal;75.5;1.9
148;2013 oktober;102.3;12.1
149;2013 november;103.2;23.9
150;2013 december ;131.3;35.9
151;2013 4e kwartaal ;112.3;24.2
152;2013;87.2;-9.9
153;2014 januari;65.0;-1.1
154;2014 februari;76.4;2.3
155;2014 maart;90.0;1.5
156;2014 1e kwartaal;77.1;1.0
157;2014 april;83.6;6.1
158;2014 mei;80.7;1.6
159;2014 juni;88.5;-7.8
160;2014 2e kwartaal;84.3;-0.5
161;2014 juli;76.3;0.5
162;2014 augustus;59.6;-6.6
163;2014 september;88.1;1.6
164;2014 3e kwartaal;74.7;-1.1
165;2014 oktober;92.0;-10.1
166;2014 november;86.5;-16.2
167;2014 december;124.4;-5.2
168;2014 4e kwartaal;101.0;-10.1
169;2014;84.3;-3.4
170;2015 januari;64.4;-1.0
171;2015 februari;70.9;-7.1
172;2015 maart;90.5;0.5
173;2015 1e kwartaal;75.3;-2.4
174;2015 april;81.0;-3.1
175;2015 mei;86.5;7.2
176;2015 juni;106.7;20.6
177;2015 2e kwartaal;91.4;8.5
178;2015 juli;93.1;22.1
179;2015 augustus;70.8;18.8
180;2015 september;110.5;25.4
181;2015 3e kwartaal;91.5;22.5
182;2015 oktober;120.1;30.5
183;2015 november;135.2;56.3
184;2015 december;170.3;36.9
185;2015 4e kwartaal;141.9;40.5
186;2015;100.0;18.7
187;2016 januari;64.9;0.7
188;2016 februari;82.2;15.9
189;2016 maart;97.8;8.2
190;2016 1e kwartaal;81.6;8.5
191;2016 april;86.1;6.4
192;2016 mei;88.0;1.7
193;2016 juni;112.0;4.9
194;2016 2e kwartaal;95.4;4.3
195;2016 juli;74.7;-19.8
196;2016 augustus;70.5;-0.4
197;2016 september;103.4;-6.4
198;2016 3e kwartaal;82.9;-9.4
199;2016 oktober;95.3;-20.6
200;2016 november;105.9;-21.7
201;2016 december;156.0;-8.4
202;2016 4e kwartaal;119.1;-16.1
203;2016;94.7;-5.3
204;2017 januari;67.5;4.1
205;2017 februari;85.4;3.9
206;2017 maart;106.9;9.3
207;2017 1e kwartaal;86.6;6.1
208;2017 april;87.8;2.0
209;2017 mei;106.3;20.8
210;2017 juni;121.4;8.4
211;2017 2e kwartaal;105.2;10.3
212;2017 juli;84.9;13.7
213;2017 augustus;78.7;11.7
214;2017 september;102.0;-1.4
215;2017 3e kwartaal;88.5;6.9
216;2017 oktober;107.8;13.2
217;2017 november;109.4;3.3
218;2017 december;142.1;-9.0
219;2017 4e kwartaal;119.8;0.6
220;2017;100.0;5.6
221;2018 januari;73.0;8.2
222;2018 februari;89.2;4.4
223;2018 maart;121.5;13.7
224;2018 1e kwartaal;94.6;9.2
225;2018 april;104.8;19.3
226;2018 mei;117.1;10.2
227;2018 juni;127.2;4.8
228;2018 2e kwartaal;116.4;10.6
229;2018 juli;94.3;11.1
230;2018 augustus;82.7;5.1
231;2018 september;83.9;-17.8
232;2018 3e kwartaal;87.0;-1.8
233;2018 oktober;102.0;-5.4
234;2018 november;105.5;-3.6
235;2018 december;123.8;-12.9
236;2018 4e kwartaal;110.4;-7.8
237;2018;102.1;2.1
238;2019 januari;87.9;20.3
239;2019 februari;95.6;7.2
240;2019 maart;116.4;-4.2
241;2019 1e kwartaal;100.0;5.7
242;2019 april;105.2;0.4
243;2019 mei;107.8;-8.0
244;2019 juni;111.9;-12.0
245;2019 2e kwartaal;108.3;-6.9
246;2019 juli;92.7;-1.7
247;2019 augustus;79.2;-4.2
248;2019 september;107.2;27.8
249;2019 3e kwartaal;93.0;7.0
250;2019 oktober;114.9;12.6
251;2019 november;106.2;0.6
252;2019 december;161.1;30.2
253;2019 4e kwartaal;127.4;15.3
254;2019;107.2;5.0
255;2020 januari;82.9;-5.7
256;2020 februari;90.1;-5.7
257;2020 maart;95.4;-18.1
258;2020 1e kwartaal;89.5;-10.5
259;2020 april;40.1;-61.9
260;2020 mei;54.5;-49.5
261;2020 juni;98.3;-12.2
262;2020 2e kwartaal;64.3;-40.6
263;2020 juli;94.0;1.4
264;2020 augustus;74.4;-6.1
265;2020 september;106.8;-0.4
266;2020 3e kwartaal;91.7;-1.4
267;2020 oktober;111.9;-2.6
268;2020 november;112.4;5.9
269;2020 december;158.3;-1.7
270;2020 4e kwartaal;127.5;0.1
271;2020;93.2;-13.0
272;2021 januari;73.6;-11.2
273;2021 februari;72.4;-19.6
274;2021 maart;101.9;6.9
275;2021 1e kwartaal;82.7;-7.6
276;2021 april;92.9;131.5
277;2021 mei;94.8;73.9
278;2021 juni;104.5;6.3
279;2021 2e kwartaal;97.4;51.4
280;2021 juli;87.7;-6.7
281;2021 augustus;74.6;0.2
282;2021 september;91.7;-14.1
283;2021 3e kwartaal;84.6;-7.7
284;2021 oktober;99.3;-11.2
285;2021 november;102.1;-9.2
286;2021 december;150.6;-4.8
287;2021 4e kwartaal;117.4;-8.0
288;2021;95.5;2.4
289;2022  januari;78.7;6.8
290;2022 februari;86.4;19.3
291;2022 maart;103.5;1.6
292;2022 1e kwartaal;89.5;8.3
293;2022 april;96.0;3.4
294;2022 mei;99.3;4.8
295;2022 juni;120.1;14.9
296;2022 2e kwartaal;105.1;8.0
297;2022 juli;89.5;2.1
298;2022 augustus;89.5;20.0
299;2022 september;121.8;32.8
300;2022 3e kwartaal;100.3;18.4
301;2022 oktober;130.4;31.2
302;2022 november;137.3;34.5
303;2022 december;177.3;17.7
304;2022 4e kwartaal;148.3;26.4
305;2022;110.8;16.0
306;2023 januari;109.2;38.9
307;2023 februari;127.9;48.0
308;2023 maart;150.2;45.1
309;2023 1e kwartaal;129.1;44.2
310;2023 april;121.2;26.3
311;2023 mei;137.6;38.6
312;2023 juni;148.6;23.7
313;2023 2e kwartaal;135.8;29.2
314;2023 juli;112.0;25.2
315;2023 augustus;105.6;18.0
316;2023 september;119.7;-1.7
317;2023 3e kwartaal;112.4;12.2
318;2023 oktober;128.1;-1.7
319;2023 november;123.5;-10.1
320;2023 december;160.9;-9.2
321;2023 4e kwartaal;137.5;-7.3
322;2023;128.7;16.2
