ID;Periods;GrossDomesticProduct_1;ConsumptionOfFixedCapital_2;NetDomesticProduct_3;NetPrimaryIncomeFromRestOfWorld_4;TotalPrimaryIncomeFromRestOfWorld_5;CompensationOfEmployees_6;PropertyIncome_7;SubsidiesReceivedFromRestOfWorld_8;Total_9;CompensationOfEmployees_10;PropertyIncome_11;TaxesOnProductionAndImports_12;NetNationalIncome_13;NetCurrentTransfersFromRestOfWorld_14;Total_15;BelastingenOpInkomenEnVermogen_16;SocialePremies_17;SocialeUitkeringenInGeld_18;OverigeInkomensoverdrachten_19;Total_20;BelastingenOpInkomenEnVermogen_21;SocialePremies_22;SocialeUitkeringenInGeld_23;OverigeInkomensoverdrachten_24;NetDisposableNationalIncome_25;FinalConsumptionExpenditure_26;AdjustNetEquityInPensFundsRes_27;NetNationalSaving_28;NetFixedCapitalFormation_29;ChangesInInventories_30;SurplusNationOnCurrentTransactions_31;Total_32;NetExportsOfGoods_33;NetExportsOfServices_34;NetPrimaryIncomeFromRestOfWorld_35;PrimaryIncomeFromRestOfWorld_36;PrimaryIncomeToRestOfWorld_37;NetCurrentTransfersFromRestOfWorld_38;CurrentTransfersFromRestOfWorld_39;CurrentTransfersToRestOfWorld_40;AdjustNetEquityInPensFundsRes_41;NetCapitalTransfersFromRestOfWorld_42;CapitalTransfersFromRestOfWorld_43;CapitalTransfersToRestOfWorld_44;NationalNetLendingOrNetBorrowing_45;ChangeInAssetsOnRestOfTheWorld_46;ChangeInLiabilitiesToTheRestOfThe_47;StatisticalDiscrepancy_48
19;1988;217596;32355;185241;1059;29346;649;24877;3820;28287;769;24705;2813;186300;-912;2141;545;395;169;1032;3053;50;166;577;2260;185388;161674;24;23738;18590;-425;5573;5402;6568;-1166;1059;29346;28287;-912;2141;3053;24;-505;436;941;5068;0;0;0
20;1989;230277;34382;195895;1626;37072;679;33881;2512;35446;798;31746;2902;197521;-1209;2158;504;386;188;1080;3367;64;167;654;2482;196312;168261;45;28096;18707;2075;7314;6852;7095;-243;1626;37072;35446;-1209;2158;3367;45;-644;498;1142;6670;0;0;0
21;1990;243652;36596;207056;-1807;37566;782;34869;1915;39373;657;35845;2871;205249;-1364;1959;486;319;168;986;3323;59;189;793;2282;203885;177223;67;26729;18732;1821;6176;9280;8760;520;-1807;37566;39373;-1364;1959;3323;67;-641;472;1113;5535;61188;54724;-929
22;1991;257375;38773;218602;-818;40022;833;36734;2455;40840;682;36830;3328;217784;-2157;2290;508;347;177;1258;4447;73;201;869;3304;215627;188658;73;27042;18154;1176;7712;10614;9912;702;-818;40022;40840;-2157;2290;4447;73;-614;532;1146;7098;44665;41580;4013
23;1992;268299;40900;227399;-1914;42646;880;39592;2174;44560;967;40362;3231;225485;-2260;2456;495;469;176;1316;4716;95;216;958;3447;223225;197593;68;25700;17873;1773;6054;10160;9988;172;-1914;42646;44560;-2260;2456;4716;68;-979;544;1523;5075;56573;51868;370
24;1993;276013;42437;233576;9;46408;911;43151;2346;46399;889;42328;3182;233585;-2927;2445;440;449;198;1358;5372;109;229;1034;4000;230658;204231;87;26514;15865;-1504;12153;14984;13759;1225;9;46408;46399;-2927;2445;5372;87;-1122;749;1871;11031;61351;49677;-643
25;1994;290048;43636;246412;1960;50594;937;47821;1836;48634;799;44687;3148;248372;-3163;2701;399;434;151;1717;5864;100;240;1078;4446;245209;213338;112;31983;16013;729;15241;16332;14748;1584;1960;50594;48634;-3163;2701;5864;112;-1049;763;1812;14192;15316;1620;496
26;1995;305261;45226;260035;4535;53829;1176;50791;1862;49294;1166;44728;3400;264570;-3088;2946;472;571;202;1701;6034;104;247;1161;4522;261482;223745;54;37791;18274;673;18844;17343;17499;-156;4535;53829;49294;-3088;2946;6034;54;-1102;826;1928;17742;53333;35918;327
27;1996;319755;47150;272605;2855;55495;1220;52792;1483;52640;1137;48482;3021;275460;-3917;3093;513;559;201;1820;7010;127;262;1232;5389;271543;233488;85;38140;21999;233;15908;16885;17438;-553;2855;55495;52640;-3917;3093;7010;85;-1801;1245;3046;14107;81327;68060;840
28;1997;342237;49309;292928;4563;77398;1295;74764;1339;72835;1245;68218;3372;297491;-4100;3591;763;593;185;2050;7691;149;281;1282;5979;293391;246651;106;46846;25809;1061;19976;19407;19083;324;4563;77398;72835;-4100;3591;7691;106;-1002;1673;2675;18974;128073;109975;876
29;1998;362464;52383;310081;-3760;72140;1306;69557;1277;75900;1444;71217;3239;306321;-4373;3809;913;640;193;2063;8182;161;281;1337;6403;301948;263029;119;39038;28078;2010;8950;16964;17714;-750;-3760;72140;75900;-4373;3809;8182;119;-680;1302;1982;8270;185013;177206;463
30;1999;386193;56326;329867;4202;92731;1135;90258;1338;88529;1265;84026;3238;334069;-4301;4693;1528;648;184;2333;8994;198;297;1426;7073;329768;281641;193;48320;32057;-92;16355;16261;17072;-811;4202;92731;88529;-4301;4693;8994;193;-536;2098;2634;15819;263144;248082;757
31;2000;417960;61308;356652;9020;123160;1209;120620;1331;114140;1416;109376;3348;365672;-5817;4766;1048;743;188;2787;10583;268;309;1501;8505;359855;302694;207;57368;30344;430;26594;23184;23776;-592;9020;123160;114140;-5817;4766;10583;207;-1214;1463;2677;25380;309314;286396;2462
32;2001;447731;65865;381866;3379;136461;1289;134103;1069;133082;1436;128512;3134;385245;-6211;5037;1184;692;200;2961;11248;260;330;1611;9047;379034;325629;266;53671;28808;1518;23345;25911;26964;-1053;3379;136461;133082;-6211;5037;11248;266;-793;1757;2550;22552;406096;386477;2933
33;2002;465214;69427;395787;4254;100608;1246;98104;1258;96354;1570;92241;2543;400041;-6642;5332;1100;743;217;3272;11974;208;323;1727;9716;393399;343289;289;50399;23435;-1275;28239;30338;31219;-881;4254;100608;96354;-6642;5332;11974;289;-967;1461;2428;27272;170185;143557;644
34;2003;476945;71461;405484;5423;97739;1130;95239;1370;92316;1807;87958;2551;410907;-6452;6077;1074;855;207;3941;12529;210;299;1873;10147;404455;354896;272;49831;21387;-759;29203;29960;31042;-1082;5423;97739;92316;-6452;6077;12529;272;-1022;1362;2384;28181;225016;195141;-1694
35;2004;491184;73498;417686;13149;126361;1044;123939;1378;113212;2056;108830;2326;430835;-7492;6548;1236;1001;218;4093;14040;190;278;2065;11507;423343;361723;293;61913;18928;818;42167;36217;35379;838;13149;126361;113212;-7492;6548;14040;293;-1320;1631;2951;40847;165990;125547;404
36;2005;513407;75709;437698;2478;143260;1011;140958;1291;140782;2143;136222;2417;440176;-8219;7092;1630;1019;230;4213;15311;210;272;2316;12513;431957;372028;398;60327;21307;598;38422;43765;40710;3055;2478;143260;140782;-8219;7092;15311;398;-1751;1630;3381;36671;250329;213183;-475
37;2006;540216;78594;461622;14525;180125;988;177615;1522;165600;2261;160631;2708;476147;-8020;7700;1855;1061;242;4542;15720;228;276;2255;12961;468127;390317;433;78243;27779;1720;48744;41806;41495;311;14525;180125;165600;-8020;7700;15720;433;-1888;1792;3680;46856;529944;482530;-558
38;2007;571773;82072;489701;9502;225889;962;223899;1028;216387;4818;208450;3119;499203;-8757;7485;1538;1120;234;4593;16242;312;281;2228;13421;490446;407971;347;82822;32268;2467;48087;46995;43661;3334;9502;225889;216387;-8757;7485;16242;347;-1186;2711;3897;46901;542617;494246;-1470
39;2008;594481;85412;509069;-12626;198213;941;196230;1042;210839;5979;201639;3221;496443;-8988;7874;1560;1248;248;4818;16862;341;282;2308;13931;487455;423230;302;64527;36437;7;28083;49395;43203;6192;-12626;198213;210839;-8988;7874;16862;302;-2104;2401;4505;25979;43661;17022;-660
40;2009;573235;87974;485261;-13850;158456;1045;156325;1086;172306;5855;164377;2074;471411;-8267;8757;624;1379;248;6506;17024;233;284;2305;14202;463144;427677;230;35697;20800;-3283;18180;40067;36228;3839;-13850;158456;172306;-8267;8757;17024;230;-2531;2331;4862;15649;18803;1447;-1707
41;2010;586789;89725;497064;-9002;209011;1099;207013;899;218013;5432;210395;2186;488062;-8870;9375;843;1529;248;6755;18245;689;284;2304;14968;479192;435169;154;44177;12160;2452;29565;47283;41850;5433;-9002;209011;218013;-8870;9375;18245;154;-3259;2436;5695;26306;211406;186223;1123
42;2011;599047;88944;510103;1917;204902;1084;202815;1003;202985;6187;194215;2583;512020;-9168;8752;979;1707;248;5818;17920;244;284;2304;15088;502852;439093;82;63841;17922;1664;44255;51424;45194;6230;1917;204902;202985;-9168;8752;17920;82;-2061;2076;4137;42194;301216;257229;-1793
43;2012;599338;89044;510294;5655;169875;1077;167839;959;164220;6788;154743;2689;515949;-10116;8945;960;1888;248;5849;19061;583;284;2304;15890;505833;443908;9;61934;12963;3074;45897;50349;45972;4377;5655;169875;164220;-10116;8945;19061;9;-1727;1861;3588;44170;47887;5272;1555
