ID;Rijkswegen;Perioden;VerkeersintensiteitenRijkswegen_1
420;Rijksweg 4 (A4);2011 mei;2788.0
421;Rijksweg 4 (A4);2011 juni;2832.0
422;Rijksweg 4 (A4);2011 juli;2609.0
423;Rijksweg 4 (A4);2011 augustus;2693.0
424;Rijksweg 4 (A4);2011 september;2976.0
425;Rijksweg 4 (A4);2011 oktober;2902.0
426;Rijksweg 4 (A4);2011 november;2897.0
427;Rijksweg 4 (A4);2011 december;2602.0
428;Rijksweg 4 (A4);2011;2746.0
429;Rijksweg 4 (A4);2012 januari;2617.0
430;Rijksweg 4 (A4);2012 februari;2647.0
431;Rijksweg 4 (A4);2012 maart;2745.0
432;Rijksweg 4 (A4);2012 april;2777.0
433;Rijksweg 4 (A4);2012 mei;2878.0
434;Rijksweg 4 (A4);2012 juni;2816.0
435;Rijksweg 4 (A4);2012 juli;2798.0
436;Rijksweg 4 (A4);2012 augustus;2868.0
437;Rijksweg 4 (A4);2012 september;2958.0
438;Rijksweg 4 (A4);2012 oktober;3099.0
439;Rijksweg 4 (A4);2012 november;2961.0
440;Rijksweg 4 (A4);2012 december;2579.0
441;Rijksweg 4 (A4);2012;2812.0
442;Rijksweg 4 (A4);2013 januari;2613.0
443;Rijksweg 4 (A4);2013 februari;2828.0
444;Rijksweg 4 (A4);2013 maart;2872.0
445;Rijksweg 4 (A4);2013 april;2996.0
446;Rijksweg 4 (A4);2013 mei;3046.0
447;Rijksweg 4 (A4);2013 juni;3077.0
448;Rijksweg 4 (A4);2013 juli;2929.0
449;Rijksweg 4 (A4);2013 augustus;2854.0
450;Rijksweg 4 (A4);2013 september;3039.0
451;Rijksweg 4 (A4);2013 oktober;3053.0
452;Rijksweg 4 (A4);2013 november;2970.0
453;Rijksweg 4 (A4);2013 december;2626.0
454;Rijksweg 4 (A4);2013;2908.0
455;Rijksweg 4 (A4);2014 januari;2686.0
456;Rijksweg 4 (A4);2014 februari;2713.0
457;Rijksweg 4 (A4);2014 maart;2702.0
458;Rijksweg 4 (A4);2014 april;2857.0
459;Rijksweg 4 (A4);2014 mei;2955.0
460;Rijksweg 4 (A4);2014 juni;2953.0
461;Rijksweg 4 (A4);2014 juli;2800.0
462;Rijksweg 4 (A4);2014 augustus;2687.0
463;Rijksweg 4 (A4);2014 september;2967.0
464;Rijksweg 4 (A4);2014 oktober;2984.0
465;Rijksweg 4 (A4);2014 november;2918.0
466;Rijksweg 4 (A4);2014 december;2692.0
467;Rijksweg 4 (A4);2014;2826.0
468;Rijksweg 4 (A4);2015 januari;2703.0
469;Rijksweg 4 (A4);2015 februari;2888.0
470;Rijksweg 4 (A4);2015 maart;3002.0
471;Rijksweg 4 (A4);2015 april;3068.0
472;Rijksweg 4 (A4);2015 mei;2977.0
473;Rijksweg 4 (A4);2015 juni;3184.0
474;Rijksweg 4 (A4);2015 juli;2945.0
475;Rijksweg 4 (A4);2015 augustus;2919.0
476;Rijksweg 4 (A4);2015 september;3110.0
477;Rijksweg 4 (A4);2015 oktober;3063.0
478;Rijksweg 4 (A4);2015 november;3014.0
479;Rijksweg 4 (A4);2015 december;2843.0
480;Rijksweg 4 (A4);2015;2976.0
481;Rijksweg 4 (A4);2016 januari;2899.0
482;Rijksweg 4 (A4);2016 februari;3100.0
483;Rijksweg 4 (A4);2016 maart;3197.0
484;Rijksweg 4 (A4);2016 april;3209.0
485;Rijksweg 4 (A4);2016 mei;3178.0
486;Rijksweg 4 (A4);2016 juni;3311.0
487;Rijksweg 4 (A4);2016 juli;3149.0
488;Rijksweg 4 (A4);2016 augustus;3158.0
489;Rijksweg 4 (A4);2016 september;3371.0
490;Rijksweg 4 (A4);2016 oktober;3331.0
491;Rijksweg 4 (A4);2016 november;3309.0
492;Rijksweg 4 (A4);2016 december;3061.0
493;Rijksweg 4 (A4);2016;3189.0
494;Rijksweg 4 (A4);2017 januari;3000.0
495;Rijksweg 4 (A4);2017 februari;3169.0
496;Rijksweg 4 (A4);2017 maart;3282.0
497;Rijksweg 4 (A4);2017 april;3266.0
498;Rijksweg 4 (A4);2017 mei;3405.0
499;Rijksweg 4 (A4);2017 juni;3371.0
500;Rijksweg 4 (A4);2017 juli;3293.0
501;Rijksweg 4 (A4);2017 augustus;3324.0
502;Rijksweg 4 (A4);2017 september;3447.0
503;Rijksweg 4 (A4);2017 oktober;3437.0
504;Rijksweg 4 (A4);2017 november;3454.0
505;Rijksweg 4 (A4);2017 december;3058.0
506;Rijksweg 4 (A4);2017;3292.0
507;Rijksweg 4 (A4);2018 januari;3123.0
508;Rijksweg 4 (A4);2018 februari;3166.0
509;Rijksweg 4 (A4);2018 maart;
510;Rijksweg 4 (A4);2018 april;3347.0
511;Rijksweg 4 (A4);2018 mei;3298.0
512;Rijksweg 4 (A4);2018 juni;3387.0
513;Rijksweg 4 (A4);2018 juli;3209.0
514;Rijksweg 4 (A4);2018 augustus;3204.0
515;Rijksweg 4 (A4);2018 september;3247.0
