ID;CountryOfResidence;StarRating;Regions;Periods;Guests_1;OvernightStays_2
45;All countries;Total;Nederland;2019 3rd quarter;8435;15847
46;All countries;Total;Nederland;2019 October;2745;4857
47;All countries;Total;Nederland;2019 November;2407;4060
48;All countries;Total;Nederland;2019 December;2237;3832
49;All countries;Total;Nederland;2019 4th quarter;7389;12749
50;All countries;Total;Nederland;2019;30569;54403
51;All countries;Total;Nederland;2020 January;2011;3464
52;All countries;Total;Nederland;2020 February;2121;3705
53;All countries;Total;Nederland;2020 March;989;1780
54;All countries;Total;Nederland;2020 1st quarter;5121;8950
55;All countries;Total;Nederland;2020 April;241;470
56;All countries;Total;Nederland;2020 May;486;840
57;All countries;Total;Nederland;2020 June;1228;2162
58;All countries;Total;Nederland;2020 2nd quarter;1955;3472
59;All countries;Total;Nederland;2020 July;2139;4040
60;All countries;Total;Nederland;2020 August;2351;4447
61;All countries;Total;Nederland;2020 September;1789;3251
62;All countries;Total;Nederland;2020 3rd quarter;6278;11738
63;All countries;Total;Nederland;2020 October;1160;1980
64;All countries;Total;Nederland;2020 November;893;1406
65;All countries;Total;Nederland;2020 December;756;1201
66;All countries;Total;Nederland;2020 4th quarter;2809;4587
67;All countries;Total;Nederland;2020;16163;28746
68;All countries;Total;Nederland;2021 January;453;708
69;All countries;Total;Nederland;2021 February;632;964
70;All countries;Total;Nederland;2021 March;691;1102
71;All countries;Total;Nederland;2021 1th quarter;1776;2774
72;All countries;Total;Nederland;2021 April;888;1445
73;All countries;Total;Nederland;2021 May;1443;2372
74;All countries;Total;Nederland;2021 June;1627;2809
75;All countries;Total;Nederland;2021 2nd quarter;3957;6626
76;All countries;Total;Nederland;2021 July;2161;4021
77;All countries;Total;Nederland;2021 August;2465;4676
78;All countries;Total;Nederland;2021 September;2132;3984
79;All countries;Total;Nederland;2021 3rd quarter;6758;12681
80;All countries;Total;Nederland;2021 October;2386;4244
81;All countries;Total;Nederland;2021 November;1722;3066
82;All countries;Total;Nederland;2021 December;861;1475
83;All countries;Total;Nederland;2021 4th quarter;4969;8784
84;All countries;Total;Nederland;2021;17460;30865
85;All countries;Total;Nederland;2022 January;741;1238
86;All countries;Total;Nederland;2022 February;1393;2349
87;All countries;Total;Nederland;2022 March;2029;3623
88;All countries;Total;Nederland;2022 1th quarter;4164;7210
89;All countries;Total;Nederland;2022 April;2649;5092
90;All countries;Total;Nederland;2022 May;2895;5329
91;All countries;Total;Nederland;2022 June;2839;5449
92;All countries;Total;Nederland;2022 2nd quarter;8384;15871
93;All countries;Total;Nederland;2022 July;3110;6150
94;All countries;Total;Nederland;2022 August;3076;6308
95;All countries;Total;Nederland;2022 September;2757;5360
96;All countries;Total;Nederland;2022 3rd quarter;8943;17817
97;All countries;Total;Nederland;2022 October;2941;5542
98;All countries;Total;Nederland;2022 November;2502;4469
99;All countries;Total;Nederland;2022 December;2325;4208
100;All countries;Total;Nederland;2022 4th quarter;7768;14220
101;All countries;Total;Nederland;2022;29258;55118
102;All countries;Total;Nederland;2023 January;2001;3656
103;All countries;Total;Nederland;2023 February;2085;3823
104;All countries;Total;Nederland;2023 March;2447;4563
105;All countries;Total;Nederland;2023 1st quarter;6533;12042
106;All countries;Total;Nederland;2023 April;2928;5734
107;All countries;Total;Nederland;2023 May;3002;5823
108;All countries;Total;Nederland;2023 June;2955;5783
109;All countries;Total;Nederland;2023 2nd quarter;8886;17341
110;All countries;Total;Nederland;2023 July;3290;6546
111;All countries;Total;Nederland;2023 August;3008;6309
112;All countries;Total;Nederland;2023 September;2764;5385
113;All countries;Total;Nederland;2023 3rd quarter;9062;18240
114;All countries;Total;Nederland;2023 October;2865;5579
115;All countries;Total;Nederland;2023 November;2431;4428
116;All countries;Total;Nederland;2023 December;2406;4346
117;All countries;Total;Nederland;2023 4th quarter;7702;14354
118;All countries;Total;Nederland;2023;32182;61976
119;All countries;Total;Nederland;2024 January;2165;4061
120;All countries;Total;Nederland;2024 February;2170;4062
121;All countries;Total;Nederland;2024 March;2650;5020
122;All countries;Total;Nederland;2024 1st quarter;6985;13143
123;All countries;Total;Nederland;2024 April;2875;5682
124;All countries;Total;Nederland;2024 May;3102;6021
125;All countries;Total;Nederland;2024 June;3022;5802
126;All countries;Total;Nederland;2024 2nd quarter;8999;17506
127;All countries;Total;Nederland;2024 July;3157;6345
128;All countries;Total;Nederland;2024 August;3226;6725
129;All countries;Total;Nederland;2024 September;2942;5784
130;All countries;Total;Nederland;2024 3rd quarter;9357;18878
131;All countries;Total;Nederland;2024 October;2918;5633
132;All countries;Total;Nederland;2024 November;2645;4885
133;All countries;Total;Nederland;2024 December;2552;4583
134;All countries;Total;Nederland;2024 4th quarter;8113;15104
135;All countries;Total;Nederland;2024;33440;64566
136;All countries;Total;Nederland;2025 January;2235;4139
137;All countries;Total;Nederland;2025 February;2182;4095
138;All countries;Total;Amsterdam;2017 January;564;1087
139;All countries;Total;Amsterdam;2017 February;568;1083
140;All countries;Total;Amsterdam;2017 March;673;1243
141;All countries;Total;Amsterdam;2017 1st quarter;1804;3413
142;All countries;Total;Amsterdam;2017 April;726;1441
143;All countries;Total;Amsterdam;2017 May;751;1414
144;All countries;Total;Amsterdam;2017 June;741;1421
145;All countries;Total;Amsterdam;2017 2nd quarter;2218;4276
146;All countries;Total;Amsterdam;2017 July;771;1540
147;All countries;Total;Amsterdam;2017 August;737;1495
148;All countries;Total;Amsterdam;2017 September;696;1327
149;All countries;Total;Amsterdam;2017 3rd quarter;2204;4362
150;All countries;Total;Amsterdam;2017 October;725;1380
151;All countries;Total;Amsterdam;2017 November;645;1203
152;All countries;Total;Amsterdam;2017 December;664;1223
153;All countries;Total;Amsterdam;2017 4th quarter;2034;3806
154;All countries;Total;Amsterdam;2017;8260;15858
155;All countries;Total;Amsterdam;2018 January;628;1184
156;All countries;Total;Amsterdam;2018 February;609;1162
157;All countries;Total;Amsterdam;2018 March;698;1333
158;All countries;Total;Amsterdam;2018 1st quarter;1935;3679
159;All countries;Total;Amsterdam;2018 April;708;1426
160;All countries;Total;Amsterdam;2018 May;762;1476
161;All countries;Total;Amsterdam;2018 June;757;1457
162;All countries;Total;Amsterdam;2018 2nd quarter;2227;4359
163;All countries;Total;Amsterdam;2018 July;797;1597
164;All countries;Total;Amsterdam;2018 August;795;1620
165;All countries;Total;Amsterdam;2018 September;725;1414
166;All countries;Total;Amsterdam;2018 3rd quarter;2317;4631
167;All countries;Total;Amsterdam;2018 October;771;1471
168;All countries;Total;Amsterdam;2018 November;684;1286
169;All countries;Total;Amsterdam;2018 December;642;1248
170;All countries;Total;Amsterdam;2018 4th quarter;2097;4005
171;All countries;Total;Amsterdam;2018;8577;16673
172;All countries;Total;Amsterdam;2019 January;645;1259
173;All countries;Total;Amsterdam;2019 February;674;1286
174;All countries;Total;Amsterdam;2019 March;785;1544
175;All countries;Total;Amsterdam;2019 1st quarter;2104;4089
176;All countries;Total;Amsterdam;2019 April;823;1666
177;All countries;Total;Amsterdam;2019 May;820;1637
178;All countries;Total;Amsterdam;2019 June;807;1581
179;All countries;Total;Amsterdam;2019 2nd quarter;2450;4884
180;All countries;Total;Amsterdam;2019 July;843;1733
181;All countries;Total;Amsterdam;2019 August;808;1767
182;All countries;Total;Amsterdam;2019 September;770;1521
183;All countries;Total;Amsterdam;2019 3rd quarter;2421;5021
184;All countries;Total;Amsterdam;2019 October;803;1597
185;All countries;Total;Amsterdam;2019 November;730;1409
186;All countries;Total;Amsterdam;2019 December;700;1376
187;All countries;Total;Amsterdam;2019 4th quarter;2234;4382
188;All countries;Total;Amsterdam;2019;9209;18375
189;All countries;Total;Amsterdam;2020 January;614;1216
190;All countries;Total;Amsterdam;2020 February;629;1260
191;All countries;Total;Amsterdam;2020 March;271;541
192;All countries;Total;Amsterdam;2020 1st quarter;1513;3017
193;All countries;Total;Amsterdam;2020 April;32;74
194;All countries;Total;Amsterdam;2020 May;36;62
195;All countries;Total;Amsterdam;2020 June;113;201
196;All countries;Total;Amsterdam;2020 2nd quarter;180;337
197;All countries;Total;Amsterdam;2020 July;333;661
198;All countries;Total;Amsterdam;2020 August;393;807
199;All countries;Total;Amsterdam;2020 September;215;413
200;All countries;Total;Amsterdam;2020 3rd quarter;942;1881
201;All countries;Total;Amsterdam;2020 October;114;210
202;All countries;Total;Amsterdam;2020 November;106;175
203;All countries;Total;Amsterdam;2020 December;104;182
204;All countries;Total;Amsterdam;2020 4th quarter;324;566
205;All countries;Total;Amsterdam;2020;2959;5802
206;All countries;Total;Amsterdam;2021 January;67;115
207;All countries;Total;Amsterdam;2021 February;80;132
208;All countries;Total;Amsterdam;2021 March;80;131
209;All countries;Total;Amsterdam;2021 1th quarter;228;378
210;All countries;Total;Amsterdam;2021 April;87;147
211;All countries;Total;Amsterdam;2021 May;152;249
212;All countries;Total;Amsterdam;2021 June;182;322
213;All countries;Total;Amsterdam;2021 2nd quarter;422;719
214;All countries;Total;Amsterdam;2021 July;330;661
215;All countries;Total;Amsterdam;2021 August;405;843
216;All countries;Total;Amsterdam;2021 September;389;827
217;All countries;Total;Amsterdam;2021 3rd quarter;1125;2331
218;All countries;Total;Amsterdam;2021 October;532;1107
219;All countries;Total;Amsterdam;2021 November;425;916
220;All countries;Total;Amsterdam;2021 December;156;323
221;All countries;Total;Amsterdam;2021 4th quarter;1113;2347
222;All countries;Total;Amsterdam;2021;2887;5775
223;All countries;Total;Amsterdam;2022 January;126;237
224;All countries;Total;Amsterdam;2022 February;308;610
225;All countries;Total;Amsterdam;2022 March;497;1072
226;All countries;Total;Amsterdam;2022 1th quarter;930;1920
227;All countries;Total;Amsterdam;2022 April;683;1599
228;All countries;Total;Amsterdam;2022 May;713;1595
229;All countries;Total;Amsterdam;2022 June;717;1613
230;All countries;Total;Amsterdam;2022 2nd quarter;2114;4807
231;All countries;Total;Amsterdam;2022 July;800;1847
232;All countries;Total;Amsterdam;2022 August;783;1879
233;All countries;Total;Amsterdam;2022 September;688;1592
234;All countries;Total;Amsterdam;2022 3rd quarter;2271;5319
235;All countries;Total;Amsterdam;2022 October;747;1741
236;All countries;Total;Amsterdam;2022 November;702;1522
237;All countries;Total;Amsterdam;2022 December;650;1466
238;All countries;Total;Amsterdam;2022 4th quarter;2099;4728
239;All countries;Total;Amsterdam;2022;7413;16775
240;All countries;Total;Amsterdam;2023 January;593;1341
241;All countries;Total;Amsterdam;2023 February;600;1369
242;All countries;Total;Amsterdam;2023 March;709;1594
243;All countries;Total;Amsterdam;2023 1st quarter;1902;4304
244;All countries;Total;Amsterdam;2023 April;783;1855
245;All countries;Total;Amsterdam;2023 May;786;1835
246;All countries;Total;Amsterdam;2023 June;797;1842
247;All countries;Total;Amsterdam;2023 2nd quarter;2366;5531
248;All countries;Total;Amsterdam;2023 July;930;2118
249;All countries;Total;Amsterdam;2023 August;764;1896
250;All countries;Total;Amsterdam;2023 September;705;1628
251;All countries;Total;Amsterdam;2023 3rd quarter;2399;5642
252;All countries;Total;Amsterdam;2023 October;790;1826
253;All countries;Total;Amsterdam;2023 November;711;1552
254;All countries;Total;Amsterdam;2023 December;700;1530
255;All countries;Total;Amsterdam;2023 4th quarter;2201;4908
256;All countries;Total;Amsterdam;2023;8868;20385
257;All countries;Total;Amsterdam;2024 January;627;1415
258;All countries;Total;Amsterdam;2024 February;630;1423
259;All countries;Total;Amsterdam;2024 March;769;1742
260;All countries;Total;Amsterdam;2024 1st quarter;2026;4579
261;All countries;Total;Amsterdam;2024 April;807;1887
262;All countries;Total;Amsterdam;2024 May;813;1869
263;All countries;Total;Amsterdam;2024 June;814;1806
264;All countries;Total;Amsterdam;2024 2nd quarter;2434;5562
265;All countries;Total;Amsterdam;2024 July;889;2039
266;All countries;Total;Amsterdam;2024 August;825;2016
267;All countries;Total;Amsterdam;2024 September;769;1778
268;All countries;Total;Amsterdam;2024 3rd quarter;2488;5833
269;All countries;Total;Amsterdam;2024 October;802;1849
270;All countries;Total;Amsterdam;2024 November;744;1637
271;All countries;Total;Amsterdam;2024 December;727;1585
272;All countries;Total;Amsterdam;2024 4th quarter;2273;5071
273;All countries;Total;Amsterdam;2024;9215;21014
274;All countries;Total;Amsterdam;2025 January;655;1474
275;All countries;Total;Amsterdam;2025 February;636;1474
276;All countries;Accommodations without stars;Nederland;2017 January;100;196
277;All countries;Accommodations without stars;Nederland;2017 February;106;200
278;All countries;Accommodations without stars;Nederland;2017 March;133;260
279;All countries;Accommodations without stars;Nederland;2017 1st quarter;338;656
280;All countries;Accommodations without stars;Nederland;2017 April;178;355
281;All countries;Accommodations without stars;Nederland;2017 May;179;343
282;All countries;Accommodations without stars;Nederland;2017 June;180;363
283;All countries;Accommodations without stars;Nederland;2017 2nd quarter;537;1061
284;All countries;Accommodations without stars;Nederland;2017 July;199;407
285;All countries;Accommodations without stars;Nederland;2017 August;200;412
286;All countries;Accommodations without stars;Nederland;2017 September;172;353
287;All countries;Accommodations without stars;Nederland;2017 3rd quarter;571;1173
288;All countries;Accommodations without stars;Nederland;2017 October;170;334
289;All countries;Accommodations without stars;Nederland;2017 November;118;236
290;All countries;Accommodations without stars;Nederland;2017 December;118;240
291;All countries;Accommodations without stars;Nederland;2017 4th quarter;407;810
292;All countries;Accommodations without stars;Nederland;2017;1853;3701
293;All countries;Accommodations without stars;Nederland;2018 January;124;238
294;All countries;Accommodations without stars;Nederland;2018 February;136;247
295;All countries;Accommodations without stars;Nederland;2018 March;159;310
296;All countries;Accommodations without stars;Nederland;2018 1st quarter;418;795
297;All countries;Accommodations without stars;Nederland;2018 April;196;384
298;All countries;Accommodations without stars;Nederland;2018 May;217;428
299;All countries;Accommodations without stars;Nederland;2018 June;213;427
300;All countries;Accommodations without stars;Nederland;2018 2nd quarter;626;1239
301;All countries;Accommodations without stars;Nederland;2018 July;231;484
302;All countries;Accommodations without stars;Nederland;2018 August;234;476
303;All countries;Accommodations without stars;Nederland;2018 September;217;441
304;All countries;Accommodations without stars;Nederland;2018 3rd quarter;682;1402
305;All countries;Accommodations without stars;Nederland;2018 October;213;410
306;All countries;Accommodations without stars;Nederland;2018 November;172;299
307;All countries;Accommodations without stars;Nederland;2018 December;156;273
308;All countries;Accommodations without stars;Nederland;2018 4th quarter;541;982
309;All countries;Accommodations without stars;Nederland;2018;2267;4417
310;All countries;Accommodations without stars;Nederland;2019 January;136;258
311;All countries;Accommodations without stars;Nederland;2019 February;155;286
312;All countries;Accommodations without stars;Nederland;2019 March;193;364
313;All countries;Accommodations without stars;Nederland;2019 1st quarter;484;909
314;All countries;Accommodations without stars;Nederland;2019 April;231;448
315;All countries;Accommodations without stars;Nederland;2019 May;216;419
316;All countries;Accommodations without stars;Nederland;2019 June;238;457
317;All countries;Accommodations without stars;Nederland;2019 2nd quarter;685;1324
318;All countries;Accommodations without stars;Nederland;2019 July;227;484
319;All countries;Accommodations without stars;Nederland;2019 August;238;511
320;All countries;Accommodations without stars;Nederland;2019 September;201;410
321;All countries;Accommodations without stars;Nederland;2019 3rd quarter;665;1405
322;All countries;Accommodations without stars;Nederland;2019 October;223;433
323;All countries;Accommodations without stars;Nederland;2019 November;175;321
324;All countries;Accommodations without stars;Nederland;2019 December;158;292
325;All countries;Accommodations without stars;Nederland;2019 4th quarter;556;1046
326;All countries;Accommodations without stars;Nederland;2019;2389;4683
327;All countries;Accommodations without stars;Nederland;2020 January;121;231
328;All countries;Accommodations without stars;Nederland;2020 February;136;261
329;All countries;Accommodations without stars;Nederland;2020 March;60;118
330;All countries;Accommodations without stars;Nederland;2020 1st quarter;316;610
331;All countries;Accommodations without stars;Nederland;2020 April;17;41
332;All countries;Accommodations without stars;Nederland;2020 May;34;63
333;All countries;Accommodations without stars;Nederland;2020 June;88;160
334;All countries;Accommodations without stars;Nederland;2020 2nd quarter;139;264
335;All countries;Accommodations without stars;Nederland;2020 July;171;322
336;All countries;Accommodations without stars;Nederland;2020 August;178;339
337;All countries;Accommodations without stars;Nederland;2020 September;129;241
338;All countries;Accommodations without stars;Nederland;2020 3rd quarter;479;902
339;All countries;Accommodations without stars;Nederland;2020 October;73;142
340;All countries;Accommodations without stars;Nederland;2020 November;41;83
341;All countries;Accommodations without stars;Nederland;2020 December;35;70
342;All countries;Accommodations without stars;Nederland;2020 4th quarter;149;295
343;All countries;Accommodations without stars;Nederland;2020;1083;2072
344;All countries;Accommodations without stars;Nederland;2021 January;21;53
345;All countries;Accommodations without stars;Nederland;2021 February;33;65
346;All countries;Accommodations without stars;Nederland;2021 March;34;68
347;All countries;Accommodations without stars;Nederland;2021 1th quarter;88;187
348;All countries;Accommodations without stars;Nederland;2021 April;54;111
349;All countries;Accommodations without stars;Nederland;2021 May;94;175
350;All countries;Accommodations without stars;Nederland;2021 June;102;194
351;All countries;Accommodations without stars;Nederland;2021 2nd quarter;249;479
352;All countries;Accommodations without stars;Nederland;2021 July;164;324
353;All countries;Accommodations without stars;Nederland;2021 August;203;403
354;All countries;Accommodations without stars;Nederland;2021 September;162;349
355;All countries;Accommodations without stars;Nederland;2021 3rd quarter;528;1076
356;All countries;Accommodations without stars;Nederland;2021 October;163;336
357;All countries;Accommodations without stars;Nederland;2021 November;100;210
358;All countries;Accommodations without stars;Nederland;2021 December;48;96
359;All countries;Accommodations without stars;Nederland;2021 4th quarter;311;642
360;All countries;Accommodations without stars;Nederland;2021;1176;2383
361;All countries;Accommodations without stars;Nederland;2022 January;50;94
362;All countries;Accommodations without stars;Nederland;2022 February;98;184
363;All countries;Accommodations without stars;Nederland;2022 March;180;355
364;All countries;Accommodations without stars;Nederland;2022 1th quarter;328;633
365;All countries;Accommodations without stars;Nederland;2022 April;275;563
366;All countries;Accommodations without stars;Nederland;2022 May;284;540
367;All countries;Accommodations without stars;Nederland;2022 June;287;621
368;All countries;Accommodations without stars;Nederland;2022 2nd quarter;847;1724
369;All countries;Accommodations without stars;Nederland;2022 July;318;684
370;All countries;Accommodations without stars;Nederland;2022 August;320;682
371;All countries;Accommodations without stars;Nederland;2022 September;263;585
372;All countries;Accommodations without stars;Nederland;2022 3rd quarter;901;1950
373;All countries;Accommodations without stars;Nederland;2022 October;289;614
374;All countries;Accommodations without stars;Nederland;2022 November;229;448
375;All countries;Accommodations without stars;Nederland;2022 December;207;406
376;All countries;Accommodations without stars;Nederland;2022 4th quarter;724;1467
377;All countries;Accommodations without stars;Nederland;2022;2800;5775
378;All countries;Accommodations without stars;Nederland;2023 January;138;274
379;All countries;Accommodations without stars;Nederland;2023 February;146;295
380;All countries;Accommodations without stars;Nederland;2023 March;198;389
381;All countries;Accommodations without stars;Nederland;2023 1st quarter;482;957
382;All countries;Accommodations without stars;Nederland;2023 April;248;506
383;All countries;Accommodations without stars;Nederland;2023 May;242;502
384;All countries;Accommodations without stars;Nederland;2023 June;251;524
385;All countries;Accommodations without stars;Nederland;2023 2nd quarter;741;1532
386;All countries;Accommodations without stars;Nederland;2023 July;256;545
387;All countries;Accommodations without stars;Nederland;2023 August;254;543
388;All countries;Accommodations without stars;Nederland;2023 September;227;476
389;All countries;Accommodations without stars;Nederland;2023 3rd quarter;736;1564
390;All countries;Accommodations without stars;Nederland;2023 October;233;475
391;All countries;Accommodations without stars;Nederland;2023 November;175;347
392;All countries;Accommodations without stars;Nederland;2023 December;162;311
393;All countries;Accommodations without stars;Nederland;2023 4th quarter;571;1133
394;All countries;Accommodations without stars;Nederland;2023;2531;5186
395;All countries;Accommodations without stars;Nederland;2024 January;137;273
396;All countries;Accommodations without stars;Nederland;2024 February;153;308
397;All countries;Accommodations without stars;Nederland;2024 March;189;384
398;All countries;Accommodations without stars;Nederland;2024 1st quarter;479;965
399;All countries;Accommodations without stars;Nederland;2024 April;234;495
400;All countries;Accommodations without stars;Nederland;2024 May;263;553
401;All countries;Accommodations without stars;Nederland;2024 June;250;525
402;All countries;Accommodations without stars;Nederland;2024 2nd quarter;747;1573
403;All countries;Accommodations without stars;Nederland;2024 July;261;568
404;All countries;Accommodations without stars;Nederland;2024 August;258;579
405;All countries;Accommodations without stars;Nederland;2024 September;245;540
406;All countries;Accommodations without stars;Nederland;2024 3rd quarter;773;1705
407;All countries;Accommodations without stars;Nederland;2024 October;233;488
408;All countries;Accommodations without stars;Nederland;2024 November;202;414
409;All countries;Accommodations without stars;Nederland;2024 December;168;332
410;All countries;Accommodations without stars;Nederland;2024 4th quarter;603;1235
411;All countries;Accommodations without stars;Nederland;2024;2600;5457
412;All countries;Accommodations without stars;Nederland;2025 January;150;313
413;All countries;Accommodations without stars;Nederland;2025 February;158;330
414;All countries;Accommodations without stars;Amsterdam;2017 January;46;97
415;All countries;Accommodations without stars;Amsterdam;2017 February;47;99
416;All countries;Accommodations without stars;Amsterdam;2017 March;62;135
417;All countries;Accommodations without stars;Amsterdam;2017 1st quarter;155;331
418;All countries;Accommodations without stars;Amsterdam;2017 April;73;162
419;All countries;Accommodations without stars;Amsterdam;2017 May;71;148
420;All countries;Accommodations without stars;Amsterdam;2017 June;70;151
421;All countries;Accommodations without stars;Amsterdam;2017 2nd quarter;213;461
422;All countries;Accommodations without stars;Amsterdam;2017 July;79;167
423;All countries;Accommodations without stars;Amsterdam;2017 August;72;159
424;All countries;Accommodations without stars;Amsterdam;2017 September;67;142
425;All countries;Accommodations without stars;Amsterdam;2017 3rd quarter;218;468
426;All countries;Accommodations without stars;Amsterdam;2017 October;74;151
427;All countries;Accommodations without stars;Amsterdam;2017 November;56;120
428;All countries;Accommodations without stars;Amsterdam;2017 December;55;128
429;All countries;Accommodations without stars;Amsterdam;2017 4th quarter;185;398
430;All countries;Accommodations without stars;Amsterdam;2017;770;1658
431;All countries;Accommodations without stars;Amsterdam;2018 January;63;129
432;All countries;Accommodations without stars;Amsterdam;2018 February;63;125
433;All countries;Accommodations without stars;Amsterdam;2018 March;68;142
434;All countries;Accommodations without stars;Amsterdam;2018 1st quarter;194;397
435;All countries;Accommodations without stars;Amsterdam;2018 April;67;138
436;All countries;Accommodations without stars;Amsterdam;2018 May;73;149
437;All countries;Accommodations without stars;Amsterdam;2018 June;77;160
438;All countries;Accommodations without stars;Amsterdam;2018 2nd quarter;217;447
439;All countries;Accommodations without stars;Amsterdam;2018 July;85;179
440;All countries;Accommodations without stars;Amsterdam;2018 August;81;161
441;All countries;Accommodations without stars;Amsterdam;2018 September;82;167
442;All countries;Accommodations without stars;Amsterdam;2018 3rd quarter;248;506
443;All countries;Accommodations without stars;Amsterdam;2018 October;87;165
444;All countries;Accommodations without stars;Amsterdam;2018 November;79;142
445;All countries;Accommodations without stars;Amsterdam;2018 December;68;128
446;All countries;Accommodations without stars;Amsterdam;2018 4th quarter;235;435
447;All countries;Accommodations without stars;Amsterdam;2018;894;1785
448;All countries;Accommodations without stars;Amsterdam;2019 January;67;138
449;All countries;Accommodations without stars;Amsterdam;2019 February;77;151
450;All countries;Accommodations without stars;Amsterdam;2019 March;87;185
451;All countries;Accommodations without stars;Amsterdam;2019 1st quarter;231;474
452;All countries;Accommodations without stars;Amsterdam;2019 April;91;189
453;All countries;Accommodations without stars;Amsterdam;2019 May;77;161
454;All countries;Accommodations without stars;Amsterdam;2019 June;83;164
455;All countries;Accommodations without stars;Amsterdam;2019 2nd quarter;251;514
456;All countries;Accommodations without stars;Amsterdam;2019 July;83;178
457;All countries;Accommodations without stars;Amsterdam;2019 August;77;175
458;All countries;Accommodations without stars;Amsterdam;2019 September;79;160
459;All countries;Accommodations without stars;Amsterdam;2019 3rd quarter;239;513
460;All countries;Accommodations without stars;Amsterdam;2019 October;88;168
461;All countries;Accommodations without stars;Amsterdam;2019 November;69;136
462;All countries;Accommodations without stars;Amsterdam;2019 December;63;128
463;All countries;Accommodations without stars;Amsterdam;2019 4th quarter;219;433
464;All countries;Accommodations without stars;Amsterdam;2019;940;1934
465;All countries;Accommodations without stars;Amsterdam;2020 January;55;116
466;All countries;Accommodations without stars;Amsterdam;2020 February;58;123
467;All countries;Accommodations without stars;Amsterdam;2020 March;25;52
468;All countries;Accommodations without stars;Amsterdam;2020 1st quarter;138;291
469;All countries;Accommodations without stars;Amsterdam;2020 April;3;8
470;All countries;Accommodations without stars;Amsterdam;2020 May;1;4
471;All countries;Accommodations without stars;Amsterdam;2020 June;5;15
472;All countries;Accommodations without stars;Amsterdam;2020 2nd quarter;10;27
473;All countries;Accommodations without stars;Amsterdam;2020 July;30;55
474;All countries;Accommodations without stars;Amsterdam;2020 August;31;67
475;All countries;Accommodations without stars;Amsterdam;2020 September;12;30
476;All countries;Accommodations without stars;Amsterdam;2020 3rd quarter;73;152
477;All countries;Accommodations without stars;Amsterdam;2020 October;8;24
478;All countries;Accommodations without stars;Amsterdam;2020 November;4;19
479;All countries;Accommodations without stars;Amsterdam;2020 December;3;17
480;All countries;Accommodations without stars;Amsterdam;2020 4th quarter;15;60
481;All countries;Accommodations without stars;Amsterdam;2020;236;530
482;All countries;Accommodations without stars;Amsterdam;2021 January;3;15
483;All countries;Accommodations without stars;Amsterdam;2021 February;3;14
484;All countries;Accommodations without stars;Amsterdam;2021 March;2;8
485;All countries;Accommodations without stars;Amsterdam;2021 1th quarter;8;38
486;All countries;Accommodations without stars;Amsterdam;2021 April;3;14
487;All countries;Accommodations without stars;Amsterdam;2021 May;4;14
488;All countries;Accommodations without stars;Amsterdam;2021 June;7;19
489;All countries;Accommodations without stars;Amsterdam;2021 2nd quarter;14;47
490;All countries;Accommodations without stars;Amsterdam;2021 July;20;42
