ID;VissoortenSchaalEnSchelpdieren;Perioden;AangevoerdeHoeveelheid_1
113;Europese kreeft;2002 oktober;0.0
114;Europese kreeft;2002 november;0.0
115;Europese kreeft;2002 december;0.0
116;Europese kreeft;2002;20.0
117;Europese kreeft;2003 januari;0.0
118;Europese kreeft;2003 februari;0.0
119;Europese kreeft;2003 maart;0.0
120;Europese kreeft;2003 april;4.0
121;Europese kreeft;2003 mei;4.0
122;Europese kreeft;2003 juni;7.0
123;Europese kreeft;2003 juli;6.0
124;Europese kreeft;2003 augustus;0.0
125;Europese kreeft;2003 september;0.0
126;Europese kreeft;2003 oktober;0.0
127;Europese kreeft;2003 november;0.0
128;Europese kreeft;2003 december;0.0
129;Europese kreeft;2003;23.0
130;Europese kreeft;2004 januari;0.0
131;Europese kreeft;2004 februari;0.0
132;Europese kreeft;2004 maart;0.0
133;Europese kreeft;2004 april;5.0
134;Europese kreeft;2004 mei;3.0
135;Europese kreeft;2004 juni;5.0
136;Europese kreeft;2004 juli;5.0
137;Europese kreeft;2004 augustus;1.0
138;Europese kreeft;2004 september;0.0
139;Europese kreeft;2004 oktober;0.0
140;Europese kreeft;2004 november;0.0
141;Europese kreeft;2004 december;0.0
142;Europese kreeft;2004;20.0
143;Europese kreeft;2005 januari;0.0
144;Europese kreeft;2005 februari;1.0
145;Europese kreeft;2005 maart;1.0
146;Europese kreeft;2005 april;3.0
147;Europese kreeft;2005 mei;2.0
148;Europese kreeft;2005 juni;5.0
149;Europese kreeft;2005 juli;6.0
150;Europese kreeft;2005 augustus;2.0
151;Europese kreeft;2005 september;2.0
152;Europese kreeft;2005 oktober;1.0
153;Europese kreeft;2005 november;0.0
154;Europese kreeft;2005 december;0.0
155;Europese kreeft;2005;24.0
156;Europese kreeft;2006 januari;0.0
157;Europese kreeft;2006 februari;0.0
158;Europese kreeft;2006 maart;1.0
159;Europese kreeft;2006 april;3.0
160;Europese kreeft;2006 mei;2.0
161;Europese kreeft;2006 juni;3.0
162;Europese kreeft;2006 juli;9.0
163;Europese kreeft;2006 augustus;0.0
164;Europese kreeft;2006 september;0.0
165;Europese kreeft;2006 oktober;0.0
166;Europese kreeft;2006 november;0.0
167;Europese kreeft;2006 december;4.0
168;Europese kreeft;2006;24.0
169;Europese kreeft;2007 januari;2.0
170;Europese kreeft;2007 februari;1.0
171;Europese kreeft;2007 maart;0.0
172;Europese kreeft;2007 april;5.0
173;Europese kreeft;2007 mei;4.0
174;Europese kreeft;2007 juni;8.0
175;Europese kreeft;2007 juli;4.0
176;Europese kreeft;2007 augustus;0.0
177;Europese kreeft;2007 september;0.0
178;Europese kreeft;2007 oktober;0.0
179;Europese kreeft;2007 november;1.0
180;Europese kreeft;2007 december;0.0
181;Europese kreeft;2007;24.0
182;Europese kreeft;2008 januari;0.0
183;Europese kreeft;2008 februari;0.0
184;Europese kreeft;2008 maart;0.0
185;Europese kreeft;2008 april;7.0
186;Europese kreeft;2008 mei;4.0
187;Europese kreeft;2008 juni;8.0
188;Europese kreeft;2008 juli;5.0
189;Europese kreeft;2008 augustus;1.0
190;Europese kreeft;2008 september;0.0
191;Europese kreeft;2008 oktober;2.0
192;Europese kreeft;2008 november;0.0
193;Europese kreeft;2008 december;0.0
194;Europese kreeft;2008;27.0
195;Europese kreeft;2009 januari;0.0
196;Europese kreeft;2009 februari;0.0
197;Europese kreeft;2009 maart;0.0
198;Europese kreeft;2009 april;9.0
199;Europese kreeft;2009 mei;6.0
200;Europese kreeft;2009 juni;7.0
201;Europese kreeft;2009 juli;6.0
202;Europese kreeft;2009 augustus;0.0
203;Europese kreeft;2009 september;0.0
204;Europese kreeft;2009 oktober;0.0
205;Europese kreeft;2009 november;0.0
206;Europese kreeft;2009 december;0.0
207;Europese kreeft;2009;29.0
208;Europese kreeft;2010 januari;0.0
209;Europese kreeft;2010 februari;0.0
210;Europese kreeft;2010 maart;1.0
211;Europese kreeft;2010 april;7.0
212;Europese kreeft;2010 mei;4.0
213;Europese kreeft;2010 juni;4.0
214;Europese kreeft;2010 juli;7.0
215;Europese kreeft;2010 augustus;0.0
216;Europese kreeft;2010 september;0.0
217;Europese kreeft;2010 oktober;1.0
218;Europese kreeft;2010 november;0.0
219;Europese kreeft;2010 december;1.0
220;Europese kreeft;2010;26.0
221;Europese kreeft;2011 januari;0.0
222;Europese kreeft;2011 februari;0.0
223;Europese kreeft;2011 maart;0.0
224;Europese kreeft;2011 april;8.0
225;Europese kreeft;2011 mei;4.0
226;Europese kreeft;2011 juni;8.0
227;Europese kreeft;2011 juli;5.0
228;Europese kreeft;2011 augustus;0.0
229;Europese kreeft;2011 september;0.0
230;Europese kreeft;2011 oktober;0.0
231;Europese kreeft;2011 november;0.0
232;Europese kreeft;2011 december;0.0
233;Europese kreeft;2011;27.0
234;Europese kreeft;2012 januari;0.0
235;Europese kreeft;2012 februari;0.0
236;Europese kreeft;2012 maart;0.0
237;Europese kreeft;2012 april;9.0
238;Europese kreeft;2012 mei;6.0
239;Europese kreeft;2012 juni;11.0
240;Europese kreeft;2012 juli;10.0
241;Europese kreeft;2012 augustus;1.0
242;Europese kreeft;2012 september;1.0
243;Europese kreeft;2012 oktober;1.0
244;Europese kreeft;2012 november;0.0
245;Europese kreeft;2012 december;1.0
246;Europese kreeft;2012;40.0
247;Europese kreeft;2013 januari;1.0
248;Europese kreeft;2013 februari;0.0
249;Europese kreeft;2013 maart;1.0
250;Europese kreeft;2013 april;6.0
251;Europese kreeft;2013 mei;12.0
252;Europese kreeft;2013 juni;9.0
253;Europese kreeft;2013 juli;10.0
254;Europese kreeft;2013 augustus;2.0
255;Europese kreeft;2013 september;2.0
256;Europese kreeft;2013 oktober;1.0
257;Europese kreeft;2013 november;2.0
258;Europese kreeft;2013 december;1.0
259;Europese kreeft;2013;47.0
260;Europese kreeft;2014 januari;1.0
261;Europese kreeft;2014 februari;0.0
262;Europese kreeft;2014 maart;5.0
263;Europese kreeft;2014 april;15.0
264;Europese kreeft;2014 mei;12.0
265;Europese kreeft;2014 juni;25.0
266;Europese kreeft;2014 juli;17.0
267;Europese kreeft;2014 augustus;2.0
268;Europese kreeft;2014 september;1.0
269;Europese kreeft;2014 oktober;1.0
270;Europese kreeft;2014 november;1.0
271;Europese kreeft;2014 december;1.0
272;Europese kreeft;2014 ;81.0
273;Europese kreeft;2015 januari;0.0
274;Europese kreeft;2015 februari;0.0
275;Europese kreeft;2015 maart;4.0
276;Europese kreeft;2015 april;18.0
277;Europese kreeft;2015 mei;12.0
278;Europese kreeft;2015 juni;19.0
279;Europese kreeft;2015 juli;18.0
280;Europese kreeft;2015  augustus;8.0
281;Europese kreeft;2015 september;1.0
282;Europese kreeft;2015 oktober;1.0
283;Europese kreeft;2015 november;0.0
284;Europese kreeft;2015 december;0.0
285;Europese kreeft;2015 ;82.0
286;Europese kreeft;2016  januari;0.0
287;Europese kreeft;2016 februari;0.0
288;Europese kreeft;2016 maart;3.0
289;Europese kreeft;2016 april;17.0
290;Europese kreeft;2016 mei;9.0
291;Europese kreeft;2016 juni;17.0
292;Europese kreeft;2016 juli;14.0
293;Europese kreeft;2016 augustus;1.0
294;Europese kreeft;2016 september;1.0
295;Europese kreeft;2016 oktober;1.0
296;Europese kreeft;2016 november;1.0
297;Europese kreeft;2016 december;0.0
298;Europese kreeft;2016;64.0
299;Europese kreeft;2017 januari;1.0
300;Europese kreeft;2017 februari;0.0
301;Europese kreeft;2017 maart;3.0
302;Europese kreeft;2017 april;19.0
303;Europese kreeft;2017 mei;15.0
304;Europese kreeft;2017 juni;19.0
305;Europese kreeft;2017 juli;13.0
306;Europese kreeft;2017 augustus;2.0
307;Europese kreeft;2017 september;2.0
308;Europese kreeft;2017 oktober;2.0
309;Europese kreeft;2017 november;2.0
310;Europese kreeft;2017 december;1.0
311;Europese kreeft;2017;80.0
312;Europese kreeft;2018 januari;0.0
313;Europese kreeft;2018 februari;0.0
314;Europese kreeft;2018 maart;1.0
315;Europese kreeft;2018 april;9.0
316;Europese kreeft;2018 mei;9.0
317;Europese kreeft;2018 juni;13.0
318;Europese kreeft;2018 juli;9.0
319;Europese kreeft;2018 augustus;3.0
320;Europese kreeft;2018 september;2.0
321;Europese kreeft;2018 oktober;2.0
322;Europese kreeft;2018 november;1.0
323;Europese kreeft;2018 december;1.0
324;Europese kreeft;2018;49.0
325;Europese kreeft;2019 januari;0.0
326;Europese kreeft;2019 februari;0.0
327;Europese kreeft;2019 maart;3.0
328;Europese kreeft;2019 april ;9.0
329;Europese kreeft;2019 mei;6.0
330;Europese kreeft;2019 juni;8.0
331;Europese kreeft;2019 juli;8.0
332;Europese kreeft;2019 augustus;2.0
333;Europese kreeft;2019 september;2.0
334;Europese kreeft;2019 oktober;2.0
335;Europese kreeft;2019 november;1.0
336;Europese kreeft;2019 december;1.0
337;Europese kreeft;2019;42.0
338;Europese kreeft;2020 januari;0.0
339;Europese kreeft;2020 februari;0.0
340;Europese kreeft;2020 maart;1.0
341;Europese kreeft;2020 april;6.0
342;Europese kreeft;2020 mei;5.0
343;Europese kreeft;2020 juni;10.0
344;Europese kreeft;2020 juli;8.0
345;Europese kreeft;2020 augustus;2.0
346;Europese kreeft;2020 september;2.0
347;Europese kreeft;2020 oktober;4.0
348;Europese kreeft;2020 november;1.0
349;Europese kreeft;2020 december;1.0
350;Europese kreeft;2020;38.0
351;Europese kreeft;2021 januari;0.0
352;Europese kreeft;2021 februari;0.0
353;Europese kreeft;2021 maart;2.0
354;Europese kreeft;2021 april;4.0
355;Europese kreeft;2021 mei;5.0
356;Europese kreeft;2021 juni;8.0
357;Europese kreeft;2021 juli;7.0
358;Europese kreeft;2021 augustus;1.0
359;Europese kreeft;2021 september;2.0
360;Europese kreeft;2021 oktober;2.0
361;Europese kreeft;2021 november;1.0
362;Europese kreeft;2021 december;2.0
363;Europese kreeft;2021 ;34.0
364;Europese kreeft;2022  januari;0.0
365;Europese kreeft;2022 februari;0.0
366;Europese kreeft;2022 maart;2.0
367;Europese kreeft;2022 april;6.0
368;Europese kreeft;2022 mei;7.0
369;Europese kreeft;2022 juni;12.0
370;Europese kreeft;2022 juli;9.0
371;Europese kreeft;2022 augustus;2.0
372;Europese kreeft;2022 september;3.0
373;Europese kreeft;2022 oktober;2.0
374;Europese kreeft;2022 november;1.0
375;Europese kreeft;2022 december;1.0
376;Europese kreeft;2022;46.0
377;Europese kreeft;2023 januari;1.0
378;Europese kreeft;2023 februari;0.0
379;Europese kreeft;2023 maart;2.0
380;Europese kreeft;2023 april;5.0
381;Europese kreeft;2023 mei;6.0
382;Europese kreeft;2023 juni;11.0
383;Europese kreeft;2023 juli;5.0
384;Europese kreeft;2023 augustus;3.0
385;Europese kreeft;2023 september;3.0
386;Europese kreeft;2023 oktober;3.0
387;Europese kreeft;2023 november;1.0
388;Europese kreeft;2023 december;0.0
389;Europese kreeft;2023;40.0
390;Europese kreeft;2024 januari;0.0
391;Europese kreeft;2024 februari;0.0
392;Europese kreeft;2024 maart;0.0
393;Europese kreeft;2024 april;2.0
394;Europese kreeft;2024 mei;2.0
395;Europese kreeft;2024 juni;3.0
396;Europese kreeft;2024 juli ;10.0
397;Europese kreeft;2024 augustus;5.0
398;Europese kreeft;2024 september;4.0
399;Europese kreeft;2024 oktober;2.0
400;Europese kreeft;2024 november;1.0
401;Europese kreeft;2024 december;1.0
402;Europese kreeft;2024 ;30.0
403;Europese kreeft;2025 januari;0.0
404;Europese kreeft;2025 februari;0.0
405;Griet;1994 januari;149.0
406;Griet;1994 februari;124.0
407;Griet;1994 maart;109.0
408;Griet;1994 april;121.0
409;Griet;1994 mei;84.0
410;Griet;1994 juni;78.0
411;Griet;1994 juli;83.0
412;Griet;1994 augustus;98.0
413;Griet;1994 september;124.0
414;Griet;1994 oktober;117.0
415;Griet;1994 november;116.0
416;Griet;1994 december;107.0
417;Griet;1994;1310.0
418;Griet;1995 januari;98.0
419;Griet;1995 februari;84.0
420;Griet;1995 maart;84.0
421;Griet;1995 april;72.0
422;Griet;1995 mei;51.0
423;Griet;1995 juni;56.0
424;Griet;1995 juli;48.0
425;Griet;1995 augustus;67.0
426;Griet;1995 september;100.0
427;Griet;1995 oktober;106.0
428;Griet;1995 november;125.0
429;Griet;1995 december;122.0
430;Griet;1995;1013.0
431;Griet;1996 januari;110.0
432;Griet;1996 februari;97.0
433;Griet;1996 maart;101.0
434;Griet;1996 april;70.0
435;Griet;1996 mei;59.0
436;Griet;1996 juni;41.0
437;Griet;1996 juli;29.0
438;Griet;1996 augustus;58.0
439;Griet;1996 september;61.0
440;Griet;1996 oktober;70.0
441;Griet;1996 november;77.0
442;Griet;1996 december;68.0
443;Griet;1996;841.0
444;Griet;1997 januari;90.0
445;Griet;1997 februari;50.0
446;Griet;1997 maart;57.0
447;Griet;1997 april;39.0
448;Griet;1997 mei;34.0
449;Griet;1997 juni;24.0
450;Griet;1997 juli;26.0
451;Griet;1997 augustus;43.0
452;Griet;1997 september;50.0
453;Griet;1997 oktober;82.0
454;Griet;1997 november;94.0
455;Griet;1997 december;87.0
456;Griet;1997;676.0
457;Griet;1998 januari;94.0
458;Griet;1998 februari;80.0
459;Griet;1998 maart;68.0
460;Griet;1998 april;68.0
461;Griet;1998 mei;54.0
462;Griet;1998 juni;43.0
463;Griet;1998 juli;45.0
464;Griet;1998 augustus;45.0
465;Griet;1998 september;83.0
466;Griet;1998 oktober;101.0
467;Griet;1998 november;120.0
468;Griet;1998 december;142.0
469;Griet;1998;943.0
470;Griet;1999 januari;114.0
471;Griet;1999 februari;81.0
472;Griet;1999 maart;87.0
473;Griet;1999 april;95.0
474;Griet;1999 mei;47.0
475;Griet;1999 juni;35.0
476;Griet;1999 juli;50.0
477;Griet;1999 augustus;44.0
478;Griet;1999 september;73.0
479;Griet;1999 oktober;108.0
480;Griet;1999 november;102.0
481;Griet;1999 december;97.0
482;Griet;1999;933.0
483;Griet;2000 januari;111.0
484;Griet;2000 februari;80.0
485;Griet;2000 maart;86.0
486;Griet;2000 april;53.0
487;Griet;2000 mei;41.0
488;Griet;2000 juni;36.0
489;Griet;2000 juli;46.0
490;Griet;2000 augustus;74.0
491;Griet;2000 september;143.0
492;Griet;2000 oktober;139.0
493;Griet;2000 november;140.0
494;Griet;2000 december;157.0
495;Griet;2000;1106.0
496;Griet;2001 januari;143.0
497;Griet;2001 februari;117.0
498;Griet;2001 maart;78.0
499;Griet;2001 april;42.0
500;Griet;2001 mei;87.0
501;Griet;2001 juni;51.0
502;Griet;2001 juli;57.0
503;Griet;2001 augustus;99.0
504;Griet;2001 september;111.0
505;Griet;2001 oktober;124.0
506;Griet;2001 november;139.0
507;Griet;2001 december;139.0
508;Griet;2001;1187.0
509;Griet;2002 januari;131.0
510;Griet;2002 februari;88.0
511;Griet;2002 maart;108.0
512;Griet;2002 april;112.0
513;Griet;2002 mei;54.0
514;Griet;2002 juni;43.0
515;Griet;2002 juli;47.0
516;Griet;2002 augustus;104.0
517;Griet;2002 september;121.0
518;Griet;2002 oktober;148.0
519;Griet;2002 november;192.0
520;Griet;2002 december;143.0
521;Griet;2002;1292.0
522;Griet;2003 januari;182.0
523;Griet;2003 februari;137.0
524;Griet;2003 maart;128.0
525;Griet;2003 april;86.0
526;Griet;2003 mei;66.0
527;Griet;2003 juni;46.0
528;Griet;2003 juli;56.0
529;Griet;2003 augustus;119.0
530;Griet;2003 september;150.0
531;Griet;2003 oktober;192.0
532;Griet;2003 november;187.0
533;Griet;2003 december;141.0
534;Griet;2003;1489.0
535;Griet;2004 januari;129.0
536;Griet;2004 februari;87.0
537;Griet;2004 maart;134.0
538;Griet;2004 april;100.0
539;Griet;2004 mei;65.0
540;Griet;2004 juni;50.0
541;Griet;2004 juli;88.0
542;Griet;2004 augustus;95.0
543;Griet;2004 september;126.0
544;Griet;2004 oktober;156.0
545;Griet;2004 november;154.0
546;Griet;2004 december;144.0
547;Griet;2004;1329.0
548;Griet;2005 januari;114.0
549;Griet;2005 februari;98.0
550;Griet;2005 maart;147.0
551;Griet;2005 april;135.0
552;Griet;2005 mei;63.0
553;Griet;2005 juni;42.0
554;Griet;2005 juli;52.0
555;Griet;2005 augustus;69.0
556;Griet;2005 september;151.0
557;Griet;2005 oktober;132.0
558;Griet;2005 november;126.0
559;Griet;2005 december;130.0
560;Griet;2005;1258.0
561;Griet;2006 januari;114.0
562;Griet;2006 februari;86.0
563;Griet;2006 maart;104.0
564;Griet;2006 april;65.0
565;Griet;2006 mei;60.0
566;Griet;2006 juni;39.0
567;Griet;2006 juli;53.0
568;Griet;2006 augustus;96.0
569;Griet;2006 september;166.0
570;Griet;2006 oktober;173.0
571;Griet;2006 november;135.0
572;Griet;2006 december;159.0
573;Griet;2006;1250.0
574;Griet;2007 januari;125.0
575;Griet;2007 februari;136.0
576;Griet;2007 maart;172.0
577;Griet;2007 april;123.0
578;Griet;2007 mei;82.0
579;Griet;2007 juni;66.0
580;Griet;2007 juli;69.0
581;Griet;2007 augustus;124.0
582;Griet;2007 september;134.0
583;Griet;2007 oktober;143.0
584;Griet;2007 november;169.0
585;Griet;2007 december;119.0
586;Griet;2007;1460.0
587;Griet;2008 januari;99.0
588;Griet;2008 februari;102.0
589;Griet;2008 maart;80.0
590;Griet;2008 april;135.0
591;Griet;2008 mei;84.0
592;Griet;2008 juni;44.0
593;Griet;2008 juli;39.0
594;Griet;2008 augustus;76.0
595;Griet;2008 september;108.0
596;Griet;2008 oktober;133.0
597;Griet;2008 november;125.0
598;Griet;2008 december;117.0
599;Griet;2008;1140.0
600;Griet;2009 januari;129.0
601;Griet;2009 februari;103.0
602;Griet;2009 maart;105.0
603;Griet;2009 april;106.0
604;Griet;2009 mei;88.0
605;Griet;2009 juni;51.0
606;Griet;2009 juli;72.0
607;Griet;2009 augustus;99.0
608;Griet;2009 september;129.0
609;Griet;2009 oktober;183.0
610;Griet;2009 november;144.0
611;Griet;2009 december;123.0
612;Griet;2009;1333.0
613;Griet;2010 januari;106.0
614;Griet;2010 februari;104.0
615;Griet;2010 maart;130.0
616;Griet;2010 april;120.0
617;Griet;2010 mei;76.0
618;Griet;2010 juni;60.0
619;Griet;2010 juli;67.0
620;Griet;2010 augustus;75.0
621;Griet;2010 september;117.0
622;Griet;2010 oktober;157.0
623;Griet;2010 november;142.0
624;Griet;2010 december;130.0
625;Griet;2010;1285.0
626;Griet;2011 januari;123.0
627;Griet;2011 februari;102.0
628;Griet;2011 maart;91.0
629;Griet;2011 april;97.0
630;Griet;2011 mei;65.0
631;Griet;2011 juni;49.0
632;Griet;2011 juli;55.0
633;Griet;2011 augustus;71.0
634;Griet;2011 september;106.0
635;Griet;2011 oktober;113.0
636;Griet;2011 november;129.0
637;Griet;2011 december;117.0
638;Griet;2011;1118.0
639;Griet;2012 januari;105.0
640;Griet;2012 februari;119.0
641;Griet;2012 maart;146.0
642;Griet;2012 april;84.0
643;Griet;2012 mei;65.0
644;Griet;2012 juni;65.0
645;Griet;2012 juli;52.0
646;Griet;2012 augustus;70.0
647;Griet;2012 september;76.0
648;Griet;2012 oktober;93.0
649;Griet;2012 november;118.0
650;Griet;2012 december;91.0
651;Griet;2012;1083.0
652;Griet;2013 januari;107.0
653;Griet;2013 februari;94.0
654;Griet;2013 maart;109.0
655;Griet;2013 april;82.0
656;Griet;2013 mei;66.0
657;Griet;2013 juni;58.0
658;Griet;2013 juli;41.0
659;Griet;2013 augustus;59.0
660;Griet;2013 september;65.0
661;Griet;2013 oktober;68.0
662;Griet;2013 november;92.0
663;Griet;2013 december;77.0
664;Griet;2013;920.0
665;Griet;2014 januari;84.0
666;Griet;2014 februari;69.0
667;Griet;2014 maart;62.0
668;Griet;2014 april;50.0
669;Griet;2014 mei;49.0
670;Griet;2014 juni;35.0
671;Griet;2014 juli;37.0
672;Griet;2014 augustus;53.0
673;Griet;2014 september;79.0
674;Griet;2014 oktober;95.0
675;Griet;2014 november;87.0
676;Griet;2014 december;78.0
677;Griet;2014 ;780.0
678;Griet;2015 januari;138.0
679;Griet;2015 februari;128.0
680;Griet;2015 maart;109.0
681;Griet;2015 april;72.0
682;Griet;2015 mei;84.0
683;Griet;2015 juni;71.0
684;Griet;2015 juli;80.0
685;Griet;2015  augustus;90.0
686;Griet;2015 september;111.0
687;Griet;2015 oktober;168.0
688;Griet;2015 november;126.0
689;Griet;2015 december;130.0
690;Griet;2015 ;1308.0
691;Griet;2016  januari;131.0
692;Griet;2016 februari;100.0
693;Griet;2016 maart;116.0
694;Griet;2016 april;101.0
695;Griet;2016 mei;62.0
696;Griet;2016 juni;64.0
697;Griet;2016 juli;67.0
698;Griet;2016 augustus;52.0
699;Griet;2016 september;77.0
700;Griet;2016 oktober;71.0
701;Griet;2016 november;39.0
702;Griet;2016 december;66.0
703;Griet;2016;945.0
704;Griet;2017 januari;160.0
705;Griet;2017 februari;130.0
706;Griet;2017 maart;97.0
707;Griet;2017 april;54.0
708;Griet;2017 mei;51.0
709;Griet;2017 juni;41.0
710;Griet;2017 juli;49.0
711;Griet;2017 augustus;55.0
712;Griet;2017 september;65.0
713;Griet;2017 oktober;66.0
714;Griet;2017 november;71.0
715;Griet;2017 december;91.0
716;Griet;2017;930.0
717;Griet;2018 januari;98.0
718;Griet;2018 februari;81.0
719;Griet;2018 maart;68.0
720;Griet;2018 april;65.0
721;Griet;2018 mei;47.0
722;Griet;2018 juni;41.0
723;Griet;2018 juli;38.0
724;Griet;2018 augustus;60.0
725;Griet;2018 september;61.0
726;Griet;2018 oktober;82.0
727;Griet;2018 november;84.0
728;Griet;2018 december;70.0
729;Griet;2018;794.0
730;Griet;2019 januari;74.0
731;Griet;2019 februari;80.0
732;Griet;2019 maart;57.0
733;Griet;2019 april ;41.0
734;Griet;2019 mei;52.0
735;Griet;2019 juni;35.0
736;Griet;2019 juli;49.0
737;Griet;2019 augustus;97.0
738;Griet;2019 september;100.0
739;Griet;2019 oktober;95.0
740;Griet;2019 november;127.0
741;Griet;2019 december;81.0
742;Griet;2019;888.0
743;Griet;2020 januari;105.0
744;Griet;2020 februari;63.0
745;Griet;2020 maart;65.0
746;Griet;2020 april;36.0
747;Griet;2020 mei;48.0
748;Griet;2020 juni;54.0
749;Griet;2020 juli;60.0
750;Griet;2020 augustus;58.0
751;Griet;2020 september;76.0
752;Griet;2020 oktober;74.0
753;Griet;2020 november;62.0
754;Griet;2020 december;74.0
755;Griet;2020;777.0
756;Griet;2021 januari;68.0
757;Griet;2021 februari;74.0
758;Griet;2021 maart;64.0
759;Griet;2021 april;49.0
760;Griet;2021 mei;42.0
761;Griet;2021 juni;41.0
762;Griet;2021 juli;33.0
763;Griet;2021 augustus;38.0
764;Griet;2021 september;46.0
765;Griet;2021 oktober;43.0
766;Griet;2021 november;38.0
767;Griet;2021 december;46.0
768;Griet;2021 ;581.0
769;Griet;2022  januari;36.0
770;Griet;2022 februari;18.0
771;Griet;2022 maart;32.0
772;Griet;2022 april;21.0
773;Griet;2022 mei;25.0
774;Griet;2022 juni;18.0
775;Griet;2022 juli;22.0
776;Griet;2022 augustus;36.0
777;Griet;2022 september;41.0
778;Griet;2022 oktober;30.0
779;Griet;2022 november;30.0
780;Griet;2022 december;33.0
781;Griet;2022;340.0
782;Griet;2023 januari;30.0
783;Griet;2023 februari;20.0
784;Griet;2023 maart;21.0
785;Griet;2023 april;21.0
786;Griet;2023 mei;20.0
787;Griet;2023 juni;23.0
788;Griet;2023 juli;27.0
789;Griet;2023 augustus;52.0
790;Griet;2023 september;60.0
791;Griet;2023 oktober;33.0
792;Griet;2023 november;24.0
793;Griet;2023 december;21.0
794;Griet;2023;351.0
795;Griet;2024 januari;24.0
796;Griet;2024 februari;22.0
797;Griet;2024 maart;33.0
798;Griet;2024 april;29.0
799;Griet;2024 mei;28.0
800;Griet;2024 juni;39.0
801;Griet;2024 juli ;46.0
802;Griet;2024 augustus;77.0
803;Griet;2024 september;66.0
