ID;Persoonskenmerken;Cijfersoort;Perioden;VertrouwenInAndereMensen_1;Kerken_2;Leger_3;Rechters_4;Pers_5;Politie_6;TweedeKamer_7;Ambtenaren_8;Banken_9;GroteBedrijven_10;EuropeseUnie_11
41;Geslacht: mannen;Ondergrens 95%-interval;2013;59.2;25.5;59.6;67.1;29.9;63.0;29.3;38.9;30.5;40.3;30.8
42;Geslacht: mannen;Ondergrens 95%-interval;2014;60.0;27.2;59.3;66.4;30.1;64.1;33.1;40.8;31.4;39.5;33.1
43;Geslacht: mannen;Ondergrens 95%-interval;2015;61.4;27.3;61.1;67.1;29.9;65.6;32.8;40.4;29.5;37.7;32.3
44;Geslacht: mannen;Ondergrens 95%-interval;2016;61.2;27.7;62.0;70.2;31.2;68.4;35.2;41.9;32.7;35.8;33.3
45;Geslacht: mannen;Ondergrens 95%-interval;2017;63.2;27.8;61.2;71.2;32.3;71.2;37.5;43.5;34.3;38.1;39.0
46;Geslacht: mannen;Ondergrens 95%-interval;2018;61.8;26.5;59.6;70.1;35.7;70.8;39.6;44.7;38.9;37.8;40.4
47;Geslacht: mannen;Ondergrens 95%-interval;2019;62.3;25.3;63.3;73.0;37.1;72.8;38.9;46.4;36.5;36.9;41.6
48;Geslacht: mannen;Ondergrens 95%-interval;2020;64.1;28.2;69.7;76.5;41.0;76.1;51.8;48.6;42.5;36.9;44.3
49;Geslacht: mannen;Ondergrens 95%-interval;2021;66.9;26.6;69.7;77.3;46.7;76.8;40.7;45.1;45.0;37.8;48.6
50;Geslacht: mannen;Bovengrens 95%-interval;2012;62.3;31.4;61.9;71.9;32.8;68.1;38.8;45.8;38.7;47.4;38.8
51;Geslacht: mannen;Bovengrens 95%-interval;2013;62.5;28.6;62.9;70.2;33.0;66.2;32.4;42.2;33.7;43.6;34.0
52;Geslacht: mannen;Bovengrens 95%-interval;2014;63.2;30.2;62.5;69.5;33.1;67.2;36.2;44.0;34.5;42.7;36.3
53;Geslacht: mannen;Bovengrens 95%-interval;2015;64.6;30.4;64.3;70.2;33.0;68.7;35.9;43.7;32.5;41.0;35.4
54;Geslacht: mannen;Bovengrens 95%-interval;2016;64.4;30.8;65.2;73.2;34.3;71.5;38.5;45.3;35.9;39.1;36.6
55;Geslacht: mannen;Bovengrens 95%-interval;2017;66.3;30.9;64.4;74.2;35.5;74.1;40.7;46.9;37.4;41.3;42.3
56;Geslacht: mannen;Bovengrens 95%-interval;2018;64.9;29.5;62.8;73.1;38.8;73.7;42.8;48.0;42.1;41.0;43.7
57;Geslacht: mannen;Bovengrens 95%-interval;2019;65.5;28.5;66.5;75.8;40.3;75.6;42.1;49.6;39.7;40.1;44.8
58;Geslacht: mannen;Bovengrens 95%-interval;2020;67.3;31.4;72.9;79.3;44.2;78.9;55.0;51.8;45.7;40.1;47.5
59;Geslacht: mannen;Bovengrens 95%-interval;2021;70.1;29.8;72.9;80.1;50.3;79.6;44.3;48.7;48.6;41.4;52.2
60;Geslacht: vrouwen;Waarde;2012;55.8;32.1;58.2;67.2;30.5;68.8;35.3;44.5;46.1;44.6;41.2
