ID;Sectoren;Milieudomeinen;Perioden;TotaleAanbodMilieudiensten_1;Productie_2;IntermediaireConsumptie_3;Import_4;Export_5;BelastingSubsidies_6;TotaleVerbruikMilieudiensten_7;FinaleBestedingen_8;Investeringen_9;BetaaldeOverdrachten_10;OntvangenOverdrachten_11;BetalingenBuitenland_12;OntvangstenBuitenland_13;UitgavenMilieubescherming_14
93;"Overheid; totaal";Totaal milieubescherming;2016    ;9718;10761.0;1043.0;;;;10761.0;7645.0;2350.0;376.0;;;150.0;10145.0
94;"Overheid; totaal";Totaal milieubescherming;2017    ;10051;11086.0;1035.0;;;;11086.0;7805.0;2176.0;468.0;;;150.0;10131.0
95;"Overheid; totaal";Totaal milieubescherming;2018    ;10469;11541.0;1072.0;;;;11541.0;8234.0;2285.0;584.0;;;180.0;10699.0
96;"Overheid; totaal";Totaal milieubescherming;2019;10691;11819.0;1128.0;;;;11819.0;8346.0;2357.0;493.0;;;174.0;10876.0
97;"Overheid; totaal";Totaal milieubescherming;2020;11198;12471.0;1273.0;;;;12471.0;8909.0;2516.0;522.0;;;176.0;11601.0
98;"Overheid; totaal";Totaal milieubescherming;2021;11771;13186.0;1415.0;;;;13186.0;9432.0;2631.0;540.0;;;164.0;12227.0
99;"Overheid; totaal";Lucht;2013    ;165;165.0;;;;;165.0;145.0;15.0;154.0;;;118.0;278.0
100;"Overheid; totaal";Lucht;2014    ;157;157.0;;;;;157.0;135.0;42.0;145.0;;;85.0;262.0
101;"Overheid; totaal";Lucht;2015    ;124;124.0;;;;;124.0;104.0;12.0;151.0;;;83.0;199.0
102;"Overheid; totaal";Lucht;2016    ;175;175.0;;;;;175.0;145.0;11.0;135.0;;;94.0;250.0
103;"Overheid; totaal";Lucht;2017    ;169;169.0;;;;;169.0;140.0;11.0;243.0;;;96.0;247.0
104;"Overheid; totaal";Lucht;2018    ;179;179.0;;;;;179.0;158.0;10.0;262.0;;;117.0;285.0
105;"Overheid; totaal";Lucht;2019;232;232.0;;;;;232.0;202.0;12.0;195.0;;;110.0;324.0
106;"Overheid; totaal";Lucht;2020;258;258.0;;;;;258.0;226.0;14.0;181.0;;;112.0;353.0
107;"Overheid; totaal";Lucht;2021;263;263.0;;;;;263.0;234.0;14.0;162.0;;;105.0;352.0
108;"Overheid; totaal";Afvalwater;2013    ;3334;3409.0;75.0;;;;3334.0;2986.0;1763.0;50.0;;;15.0;4764.0
109;"Overheid; totaal";Afvalwater;2014    ;3363;3438.0;75.0;;;;3363.0;3037.0;1350.0;32.0;;;12.0;4399.0
110;"Overheid; totaal";Afvalwater;2015    ;3299;3376.0;76.0;;;;3376.0;3076.0;1136.0;45.0;;;11.0;4223.0
111;"Overheid; totaal";Afvalwater;2016    ;3295;3378.0;83.0;;;;3378.0;3094.0;1109.0;35.0;;;13.0;4216.0
112;"Overheid; totaal";Afvalwater;2017    ;3290;3373.0;83.0;;;;3373.0;3091.0;1118.0;40.0;;;13.0;4222.0
113;"Overheid; totaal";Afvalwater;2018    ;3410;3496.0;86.0;;;;3496.0;3207.0;1182.0;36.0;;;16.0;4405.0
114;"Overheid; totaal";Afvalwater;2019;3459;3550.0;90.0;;;;3550.0;3247.0;1224.0;40.0;;;15.0;4485.0
115;"Overheid; totaal";Afvalwater;2020;3640;3742.0;102.0;;;;3742.0;3526.0;1319.0;32.0;;;15.0;4859.0
116;"Overheid; totaal";Afvalwater;2021;3761;3875.0;113.0;;;;3875.0;3653.0;1367.0;44.0;;;13.0;5033.0
117;"Overheid; totaal";Afval;2013    ;3775;4634.0;859.0;;;;3775.0;1077.0;591.0;22.0;;;0.0;1668.0
118;"Overheid; totaal";Afval;2014    ;3819;4678.0;859.0;;;;3807.0;1121.0;641.0;15.0;;;0.0;1762.0
119;"Overheid; totaal";Afval;2015    ;3996;4874.0;878.0;;;;4874.0;2539.0;633.0;48.0;;;0.0;3172.0
120;"Overheid; totaal";Afval;2016    ;4130;5090.0;960.0;;;;5090.0;2710.0;870.0;25.0;;;0.0;3580.0
121;"Overheid; totaal";Afval;2017    ;4247;5199.0;952.0;;;;5199.0;2727.0;847.0;22.0;;;0.0;3574.0
122;"Overheid; totaal";Afval;2018    ;4400;5386.0;986.0;;;;5386.0;2885.0;881.0;30.0;;;0.0;3766.0
123;"Overheid; totaal";Afval;2019;4387;5425.0;1038.0;;;;5425.0;2790.0;843.0;25.0;;;0.0;3633.0
124;"Overheid; totaal";Afval;2020;4512;5683.0;1171.0;;;;5683.0;2862.0;928.0;23.0;;;0.0;3790.0
125;"Overheid; totaal";Afval;2021;4698;6000.0;1302.0;;;;6000.0;2976.0;1030.0;27.0;;;0.0;4006.0
126;"Overheid; totaal";Bodem, grond- en oppervlaktewater;2013    ;209;209.0;;;;;209.0;183.0;19.0;;;;;202.0
127;"Overheid; totaal";Bodem, grond- en oppervlaktewater;2014    ;197;197.0;;;;;197.0;163.0;42.0;;;;;205.0
128;"Overheid; totaal";Bodem, grond- en oppervlaktewater;2015    ;223;223.0;;;;;223.0;183.0;21.0;;;;;204.0
129;"Overheid; totaal";Bodem, grond- en oppervlaktewater;2016    ;259;259.0;;;;;259.0;210.0;19.0;;;;;228.0
130;"Overheid; totaal";Bodem, grond- en oppervlaktewater;2017    ;238;238.0;;;;;238.0;192.0;17.0;;;;;209.0
