ID;BedrijfstakBranchesSBI2008;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
207;494 Goederenvervoer over de weg;2006 3e kwartaal;110.0;10.8
208;494 Goederenvervoer over de weg;2006 4e kwartaal;119.9;9.4
209;494 Goederenvervoer over de weg;2006;111.0;11.0
210;494 Goederenvervoer over de weg;2007 1e kwartaal;111.5;10.4
211;494 Goederenvervoer over de weg;2007 2e kwartaal;123.0;8.5
212;494 Goederenvervoer over de weg;2007 3e kwartaal;119.1;8.3
213;494 Goederenvervoer over de weg;2007 4e kwartaal;124.9;4.2
214;494 Goederenvervoer over de weg;2007;119.6;7.7
215;494 Goederenvervoer over de weg;2008 1e kwartaal;118.0;5.8
216;494 Goederenvervoer over de weg;2008 2e kwartaal;129.2;5.1
217;494 Goederenvervoer over de weg;2008 3e kwartaal;125.7;5.5
218;494 Goederenvervoer over de weg;2008 4e kwartaal;125.4;0.4
219;494 Goederenvervoer over de weg;2008;124.6;4.1
220;494 Goederenvervoer over de weg;2009 1e kwartaal;104.5;-11.4
221;494 Goederenvervoer over de weg;2009 2e kwartaal;112.0;-13.3
222;494 Goederenvervoer over de weg;2009 3e kwartaal;108.5;-13.7
223;494 Goederenvervoer over de weg;2009 4e kwartaal;113.7;-9.3
224;494 Goederenvervoer over de weg;2009;109.7;-12.0
225;494 Goederenvervoer over de weg;2010 1e kwartaal;100.4;-3.9
226;494 Goederenvervoer over de weg;2010 2e kwartaal;114.3;2.1
227;494 Goederenvervoer over de weg;2010 3e kwartaal;113.2;4.3
228;494 Goederenvervoer over de weg;2010 4e kwartaal;122.7;7.9
229;494 Goederenvervoer over de weg;2010;112.6;2.7
230;494 Goederenvervoer over de weg;2011 1e kwartaal;111.7;11.3
231;494 Goederenvervoer over de weg;2011 2e kwartaal;121.8;6.5
232;494 Goederenvervoer over de weg;2011 3e kwartaal;117.7;4.0
233;494 Goederenvervoer over de weg;2011 4e kwartaal;121.2;-1.2
234;494 Goederenvervoer over de weg;2011;118.1;4.9
235;494 Goederenvervoer over de weg;2012 1e kwartaal;113.5;1.5
236;494 Goederenvervoer over de weg;2012 2e kwartaal;125.2;2.7
237;494 Goederenvervoer over de weg;2012 3e kwartaal;120.9;2.7
238;494 Goederenvervoer over de weg;2012 4e kwartaal;122.2;0.8
239;494 Goederenvervoer over de weg;2012;120.4;1.9
240;4941 Goederenwegvervoer (geen verhuis-);2005 1e kwartaal;90.2;
241;4941 Goederenwegvervoer (geen verhuis-);2005 2e kwartaal;100.9;
242;4941 Goederenwegvervoer (geen verhuis-);2005 3e kwartaal;99.3;
