ID;Perioden;NederlandseVrouwen_1;InNederlandGeborenVrouwen_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;Indonesie_10;OverigWesterseLanden_11
32;2022;1.75;1.75;2.32;2.05;1.73;2.26;1.77;1.76;2.09;1.75;1.5
33;2023;1.75;1.75;2.3;2.05;1.73;2.24;1.77;1.76;2.08;1.75;1.5
34;2024;1.75;1.75;2.28;2.04;1.73;2.22;1.77;1.76;2.07;1.75;1.5
35;2025;1.75;1.75;2.26;2.04;1.73;2.2;1.77;1.76;2.06;1.75;1.5
36;2026;1.75;1.75;2.24;2.04;1.74;2.18;1.76;1.76;2.06;1.75;1.5
37;2027;1.75;1.75;2.22;2.04;1.74;2.16;1.76;1.76;2.05;1.75;1.5
38;2028;1.75;1.75;2.21;2.03;1.74;2.14;1.76;1.76;2.04;1.75;1.5
39;2029;1.75;1.75;2.19;2.03;1.74;2.13;1.76;1.76;2.04;1.75;1.5
40;2030;1.75;1.75;2.17;2.03;1.74;2.11;1.76;1.76;2.03;1.75;1.5
41;2031;1.75;1.75;2.15;2.02;1.74;2.1;1.76;1.76;2.03;1.75;1.5
42;2032;1.75;1.75;2.14;2.02;1.74;2.09;1.76;1.75;2.03;1.75;1.5
43;2033;1.75;1.75;2.12;2.02;1.74;2.08;1.76;1.75;2.02;1.75;1.5
44;2034;1.75;1.75;2.11;2.02;1.74;2.07;1.76;1.75;2.02;1.75;1.5
45;2035;1.75;1.75;2.09;2.02;1.75;2.06;1.75;1.75;2.02;1.75;1.5
46;2036;1.75;1.75;2.08;2.01;1.75;2.05;1.75;1.75;2.01;1.75;1.5
47;2037;1.75;1.75;2.07;2.01;1.75;2.04;1.75;1.75;2.01;1.75;1.5
48;2038;1.75;1.75;2.06;2.01;1.75;2.03;1.75;1.75;2.01;1.75;1.5
49;2039;1.75;1.75;2.05;2.01;1.75;2.03;1.75;1.75;2.01;1.75;1.5
50;2040;1.75;1.75;2.04;2.01;1.75;2.02;1.75;1.75;2.01;1.75;1.5
51;2041;1.75;1.75;2.03;2.0;1.75;2.01;1.75;1.75;2.0;1.75;1.5
52;2042;1.75;1.75;2.02;2.0;1.75;2.01;1.75;1.75;2.0;1.75;1.5
53;2043;1.75;1.75;2.02;2.0;1.75;2.01;1.75;1.75;2.0;1.75;1.5
54;2044;1.75;1.75;2.01;2.0;1.75;2.0;1.75;1.75;2.0;1.75;1.5
55;2045;1.75;1.75;2.01;2.0;1.75;2.0;1.75;1.75;2.0;1.75;1.5
56;2046;1.75;1.75;2.0;2.0;1.75;2.0;1.75;1.75;2.0;1.75;1.5
57;2047;1.75;1.75;2.0;2.0;1.75;2.0;1.75;1.75;2.0;1.75;1.5
58;2048;1.75;1.75;2.0;2.0;1.75;2.0;1.75;1.75;2.0;1.75;1.5
59;2049;1.75;1.75;2.0;2.0;1.75;2.0;1.75;1.75;2.0;1.75;1.5
60;2050;1.75;1.75;2.0;2.0;1.75;2.0;1.75;1.75;2.0;1.75;1.5
