ID;Persoonskenmerken;Perioden;TotaalWerkzameBeroepsbevolking_1;JaTotaal_2;JaRegelmatig_3;JaSoms_4;Nee_5;JaTotaal_6;JaRegelmatig_7;JaSoms_8;Nee_9;JaTotaal_10;JaRegelmatig_11;JaSoms_12;Nee_13;JaTotaal_14;JaRegelmatig_15;JaSoms_16;Nee_17;JaTotaal_18;JaRegelmatig_19;JaSoms_20;Nee_21;JaTotaal_22;JaRegelmatig_23;JaSoms_24;Nee_25;JaTotaal_26;JaRegelmatig_27;JaSoms_28;Nee_29;TotaalWerkzameBeroepsbevolking100_30;JaTotaal_31;JaRegelmatig_32;JaSoms_33;Nee_34;JaTotaal_35;JaRegelmatig_36;JaSoms_37;Nee_38;JaTotaal_39;JaRegelmatig_40;JaSoms_41;Nee_42;JaTotaal_43;JaRegelmatig_44;JaSoms_45;Nee_46;JaTotaal_47;JaRegelmatig_48;JaSoms_49;Nee_50;JaTotaal_51;JaRegelmatig_52;JaSoms_53;Nee_54;JaTotaal_55;JaRegelmatig_56;JaSoms_57;Nee_58
143;45 tot 50 jaar;2000;837.0;301.0;195.0;106.0;561.0;536.0;291.0;245.0;293.0;100.0;72.0;28.0;762.0;111.0;71.0;40.0;749.0;167.0;118.0;49.0;694.0;179.0;85.0;94.0;680.0;525.0;370.0;155.0;336.0;837.0;35.0;23.0;12.0;65.0;62.0;34.0;28.0;34.0;12.0;8.0;3.0;88.0;13.0;8.0;5.0;87.0;19.0;14.0;6.0;80.0;21.0;10.0;11.0;79.0;61.0;43.0;18.0;39.0
144;45 tot 50 jaar;2001 voor revisie;863.0;300.0;188.0;112.0;600.0;533.0;288.0;245.0;322.0;88.0;67.0;21.0;812.0;112.0;60.0;51.0;786.0;160.0;109.0;51.0;741.0;194.0;82.0;112.0;704.0;560.0;393.0;167.0;341.0;863.0;33.0;21.0;12.0;67.0;59.0;32.0;27.0;36.0;10.0;7.0;2.0;90.0;12.0;7.0;6.0;87.0;18.0;12.0;6.0;82.0;22.0;9.0;12.0;78.0;62.0;44.0;19.0;38.0
145;45 tot 50 jaar;2001 na revisie;854.0;300.0;188.0;112.0;600.0;519.0;280.0;239.0;328.0;88.0;67.0;21.0;812.0;112.0;60.0;51.0;786.0;160.0;109.0;51.0;741.0;194.0;82.0;112.0;704.0;560.0;393.0;167.0;341.0;854.0;33.0;21.0;12.0;67.0;58.0;31.0;27.0;36.0;10.0;7.0;2.0;90.0;12.0;7.0;6.0;87.0;18.0;12.0;6.0;82.0;22.0;9.0;12.0;78.0;62.0;44.0;19.0;38.0
146;45 tot 50 jaar;2002;877.0;313.0;196.0;117.0;555.0;549.0;277.0;272.0;322.0;107.0;81.0;26.0;760.0;112.0;78.0;34.0;747.0;170.0;130.0;41.0;697.0;201.0;94.0;107.0;663.0;548.0;396.0;152.0;318.0;877.0;36.0;23.0;13.0;64.0;63.0;32.0;31.0;37.0;12.0;9.0;3.0;88.0;13.0;9.0;4.0;86.0;20.0;15.0;5.0;80.0;23.0;11.0;12.0;76.0;63.0;46.0;18.0;37.0
147;45 tot 50 jaar;2003;892.0;321.0;197.0;124.0;591.0;549.0;277.0;271.0;335.0;;;;;;;;;;;;;209.0;86.0;123.0;700.0;590.0;421.0;169.0;322.0;892.0;35.0;22.0;14.0;65.0;60.0;30.0;30.0;37.0;;;;;;;;;;;;;23.0;9.0;13.0;77.0;65.0;46.0;19.0;35.0
148;45 tot 50 jaar;2004;901.0;310.0;190.0;120.0;578.0;562.0;261.0;301.0;331.0;;;;;;;;;;;;;188.0;82.0;106.0;698.0;608.0;444.0;164.0;280.0;901.0;35.0;21.0;13.0;65.0;63.0;29.0;34.0;37.0;;;;;;;;;;;;;21.0;9.0;12.0;79.0;68.0;50.0;18.0;31.0
149;45 tot 50 jaar;2005;916.0;314.0;206.0;109.0;589.0;;;;;;;;;;;;;;;;;194.0;92.0;102.0;706.0;;;;;916.0;35.0;23.0;12.0;65.0;;;;;;;;;;;;;;;;;21.0;10.0;11.0;78.0;;;;
150;50 tot 55 jaar;1997;631.0;194.0;124.0;70.0;433.0;396.0;208.0;188.0;230.0;77.0;55.0;23.0;550.0;80.0;47.0;34.0;542.0;125.0;85.0;40.0;502.0;128.0;56.0;72.0;497.0;343.0;247.0;96.0;284.0;631.0;31.0;20.0;11.0;69.0;63.0;33.0;30.0;36.0;12.0;9.0;4.0;87.0;13.0;7.0;5.0;86.0;20.0;14.0;6.0;80.0;20.0;9.0;11.0;79.0;54.0;39.0;15.0;45.0
151;50 tot 55 jaar;1998;708.0;220.0;136.0;84.0;484.0;459.0;243.0;216.0;242.0;76.0;53.0;23.0;628.0;84.0;46.0;38.0;616.0;130.0;85.0;45.0;574.0;144.0;61.0;84.0;557.0;402.0;287.0;114.0;301.0;708.0;31.0;19.0;12.0;68.0;65.0;34.0;31.0;34.0;11.0;7.0;3.0;89.0;12.0;6.0;5.0;87.0;18.0;12.0;6.0;81.0;20.0;9.0;12.0;79.0;57.0;41.0;16.0;43.0
152;50 tot 55 jaar;1999;737.0;239.0;145.0;94.0;498.0;479.0;261.0;218.0;252.0;93.0;68.0;26.0;647.0;92.0;60.0;32.0;643.0;149.0;107.0;42.0;592.0;144.0;62.0;83.0;592.0;432.0;307.0;125.0;308.0;737.0;32.0;20.0;13.0;67.0;65.0;35.0;29.0;34.0;13.0;9.0;3.0;87.0;12.0;8.0;4.0;87.0;20.0;14.0;6.0;80.0;19.0;8.0;11.0;80.0;58.0;41.0;17.0;41.0
153;50 tot 55 jaar;2000;768.0;259.0;153.0;106.0;501.0;477.0;260.0;217.0;285.0;91.0;70.0;21.0;669.0;103.0;56.0;47.0;653.0;155.0;110.0;45.0;604.0;147.0;62.0;85.0;610.0;429.0;289.0;139.0;332.0;768.0;34.0;20.0;14.0;66.0;63.0;34.0;29.0;38.0;12.0;9.0;3.0;88.0;14.0;7.0;6.0;86.0;20.0;14.0;6.0;79.0;19.0;8.0;11.0;80.0;56.0;38.0;18.0;44.0
154;50 tot 55 jaar;2001 voor revisie;784.0;262.0;165.0;97.0;518.0;480.0;259.0;221.0;299.0;104.0;79.0;25.0;676.0;100.0;55.0;45.0;673.0;168.0;116.0;51.0;612.0;174.0;75.0;99.0;604.0;465.0;328.0;136.0;315.0;784.0;34.0;21.0;12.0;66.0;62.0;33.0;28.0;38.0;13.0;10.0;3.0;87.0;13.0;7.0;6.0;86.0;21.0;15.0;7.0;79.0;22.0;10.0;13.0;78.0;60.0;42.0;17.0;40.0
155;50 tot 55 jaar;2001 na revisie;769.0;262.0;165.0;97.0;518.0;463.0;246.0;217.0;301.0;104.0;79.0;25.0;676.0;100.0;55.0;45.0;673.0;168.0;116.0;51.0;612.0;174.0;75.0;99.0;604.0;465.0;328.0;136.0;315.0;769.0;34.0;21.0;12.0;66.0;59.0;32.0;28.0;39.0;13.0;10.0;3.0;87.0;13.0;7.0;6.0;86.0;21.0;15.0;7.0;79.0;22.0;10.0;13.0;78.0;60.0;42.0;17.0;40.0
156;50 tot 55 jaar;2002;761.0;258.0;161.0;98.0;514.0;465.0;238.0;227.0;290.0;88.0;64.0;23.0;685.0;98.0;55.0;42.0;672.0;149.0;101.0;48.0;624.0;165.0;84.0;82.0;606.0;492.0;354.0;137.0;281.0;761.0;33.0;21.0;13.0;67.0;60.0;31.0;29.0;38.0;11.0;8.0;3.0;89.0;13.0;7.0;5.0;87.0;19.0;13.0;6.0;81.0;21.0;11.0;11.0;78.0;64.0;46.0;18.0;36.0
157;50 tot 55 jaar;2003;763.0;263.0;158.0;105.0;482.0;458.0;226.0;232.0;299.0;;;;;;;;;;;;;164.0;63.0;101.0;577.0;465.0;336.0;129.0;279.0;763.0;35.0;21.0;14.0;65.0;61.0;30.0;31.0;40.0;;;;;;;;;;;;;22.0;8.0;14.0;77.0;62.0;45.0;17.0;37.0
158;50 tot 55 jaar;2004;757.0;249.0;155.0;94.0;507.0;461.0;216.0;245.0;292.0;;;;;;;;;;;;;158.0;71.0;87.0;596.0;499.0;357.0;141.0;258.0;757.0;33.0;21.0;12.0;67.0;61.0;28.0;32.0;39.0;;;;;;;;;;;;;21.0;9.0;12.0;79.0;66.0;47.0;19.0;34.0
159;50 tot 55 jaar;2005;776.0;267.0;172.0;95.0;503.0;;;;;;;;;;;;;;;;;167.0;76.0;91.0;602.0;;;;;776.0;34.0;22.0;12.0;65.0;;;;;;;;;;;;;;;;;22.0;10.0;12.0;78.0;;;;
160;55 tot 60 jaar;1997;329.0;100.0;62.0;38.0;227.0;191.0;95.0;96.0;135.0;43.0;32.0;12.0;284.0;43.0;23.0;19.0;284.0;70.0;48.0;22.0;257.0;67.0;31.0;36.0;260.0;150.0;100.0;50.0;177.0;329.0;30.0;19.0;12.0;69.0;58.0;29.0;29.0;41.0;13.0;10.0;4.0;86.0;13.0;7.0;6.0;86.0;21.0;15.0;7.0;78.0;20.0;9.0;11.0;79.0;46.0;30.0;15.0;54.0
161;55 tot 60 jaar;1998;354.0;112.0;68.0;45.0;240.0;202.0;97.0;105.0;148.0;45.0;33.0;12.0;307.0;46.0;22.0;23.0;305.0;75.0;48.0;26.0;278.0;72.0;32.0;40.0;279.0;176.0;117.0;59.0;177.0;354.0;32.0;19.0;13.0;68.0;57.0;27.0;30.0;42.0;13.0;9.0;3.0;87.0;13.0;6.0;7.0;86.0;21.0;14.0;7.0;78.0;20.0;9.0;11.0;79.0;50.0;33.0;17.0;50.0
162;55 tot 60 jaar;1999;387.0;127.0;71.0;56.0;263.0;239.0;125.0;114.0;144.0;47.0;34.0;14.0;343.0;46.0;25.0;21.0;342.0;73.0;48.0;25.0;317.0;78.0;33.0;45.0;311.0;203.0;142.0;61.0;187.0;387.0;32.0;18.0;14.0;67.0;61.0;32.0;29.0;37.0;12.0;9.0;3.0;87.0;12.0;6.0;5.0;87.0;19.0;12.0;6.0;81.0;20.0;8.0;12.0;79.0;52.0;36.0;15.0;48.0
163;55 tot 60 jaar;2000;421.0;124.0;77.0;47.0;289.0;246.0;131.0;116.0;172.0;44.0;32.0;12.0;368.0;44.0;32.0;12.0;368.0;74.0;57.0;18.0;338.0;87.0;45.0;42.0;325.0;235.0;153.0;82.0;177.0;421.0;30.0;19.0;11.0;70.0;60.0;32.0;28.0;42.0;11.0;8.0;3.0;89.0;11.0;8.0;3.0;89.0;18.0;14.0;4.0;82.0;21.0;11.0;10.0;79.0;57.0;37.0;20.0;43.0
164;55 tot 60 jaar;2001 voor revisie;466.0;168.0;89.0;79.0;307.0;268.0;142.0;126.0;196.0;62.0;40.0;22.0;413.0;71.0;37.0;34.0;402.0;110.0;69.0;41.0;365.0;96.0;38.0;58.0;377.0;259.0;179.0;80.0;215.0;466.0;35.0;19.0;17.0;65.0;56.0;30.0;26.0;41.0;13.0;8.0;5.0;87.0;15.0;8.0;7.0;85.0;23.0;15.0;9.0;77.0;20.0;8.0;12.0;79.0;55.0;38.0;17.0;45.0
165;55 tot 60 jaar;2001 na revisie;448.0;168.0;89.0;79.0;307.0;254.0;135.0;119.0;191.0;62.0;40.0;22.0;413.0;71.0;37.0;34.0;402.0;110.0;69.0;41.0;365.0;96.0;38.0;58.0;377.0;259.0;179.0;80.0;215.0;448.0;35.0;19.0;17.0;65.0;54.0;28.0;25.0;40.0;13.0;8.0;5.0;87.0;15.0;8.0;7.0;85.0;23.0;15.0;9.0;77.0;20.0;8.0;12.0;79.0;55.0;38.0;17.0;45.0
166;55 tot 60 jaar;2002;503.0;166.0;104.0;62.0;353.0;290.0;143.0;147.0;210.0;69.0;48.0;21.0;450.0;60.0;34.0;26.0;458.0;104.0;70.0;34.0;416.0;100.0;48.0;53.0;417.0;290.0;206.0;84.0;230.0;503.0;32.0;20.0;12.0;68.0;56.0;28.0;28.0;40.0;13.0;9.0;4.0;87.0;12.0;7.0;5.0;88.0;20.0;13.0;7.0;80.0;19.0;9.0;10.0;80.0;56.0;40.0;16.0;44.0
167;55 tot 60 jaar;2003;535.0;182.0;105.0;77.0;391.0;302.0;149.0;152.0;229.0;;;;;;;;;;;;;125.0;55.0;70.0;448.0;335.0;240.0;95.0;239.0;535.0;32.0;18.0;13.0;68.0;53.0;26.0;27.0;40.0;;;;;;;;;;;;;22.0;10.0;12.0;78.0;58.0;42.0;17.0;42.0
168;55 tot 60 jaar;2004;571.0;188.0;115.0;73.0;389.0;332.0;149.0;184.0;234.0;;;;;;;;;;;;;117.0;57.0;59.0;459.0;357.0;252.0;105.0;221.0;571.0;32.0;20.0;13.0;67.0;57.0;26.0;32.0;40.0;;;;;;;;;;;;;20.0;10.0;10.0;79.0;62.0;44.0;18.0;38.0
169;55 tot 60 jaar;2005;591.0;192.0;125.0;67.0;430.0;;;;;;;;;;;;;;;;;124.0;59.0;64.0;497.0;;;;;591.0;31.0;20.0;11.0;69.0;;;;;;;;;;;;;;;;;20.0;9.0;10.0;79.0;;;;
170;60 tot 65 jaar;1997;79.0;25.0;16.0;9.0;53.0;36.0;15.0;22.0;42.0;15.0;12.0;3.0;63.0;9.0;4.0;5.0;70.0;20.0;14.0;6.0;59.0;11.0;4.0;8.0;67.0;29.0;19.0;10.0;50.0;79.0;32.0;20.0;12.0;67.0;46.0;18.0;28.0;54.0;19.0;15.0;4.0;80.0;11.0;5.0;6.0;88.0;25.0;18.0;7.0;74.0;15.0;5.0;10.0;85.0;37.0;24.0;13.0;63.0
171;60 tot 65 jaar;1998;85.0;24.0;14.0;9.0;60.0;41.0;15.0;26.0;43.0;13.0;9.0;4.0;71.0;7.0;4.0;3.0;77.0;16.0;12.0;4.0;68.0;10.0;4.0;6.0;74.0;38.0;25.0;13.0;46.0;85.0;28.0;17.0;11.0;71.0;48.0;18.0;30.0;51.0;15.0;11.0;4.0;84.0;8.0;5.0;3.0;90.0;18.0;14.0;5.0;81.0;12.0;4.0;7.0;87.0;45.0;30.0;15.0;54.0
172;60 tot 65 jaar;1999;95.0;31.0;18.0;14.0;61.0;45.0;19.0;26.0;49.0;19.0;15.0;4.0;74.0;14.0;5.0;9.0;78.0;24.0;18.0;6.0;68.0;15.0;5.0;10.0;77.0;33.0;21.0;12.0;59.0;95.0;34.0;19.0;15.0;65.0;48.0;21.0;27.0;53.0;20.0;16.0;4.0;79.0;15.0;6.0;9.0;84.0;26.0;19.0;6.0;73.0;16.0;6.0;10.0;83.0;36.0;22.0;13.0;63.0
