ID;Geslacht;Regiokenmerken;Perioden;Leerlingen_1;VoortijdigSchoolverlaters_2;NietVoortijdigSchoolverlaters_3;VoortijdigSchoolverlatersPercentage_4
115;Totaal mannen en vrouwen;Drenthe (PV);2017/'18;43040.0;750.0;42290.0;2.0
116;Totaal mannen en vrouwen;Drenthe (PV);2018/'19;42540.0;840.0;41700.0;2.0
117;Totaal mannen en vrouwen;Drenthe (PV);2019/'20;41470.0;720.0;40750.0;2.0
118;Totaal mannen en vrouwen;Drenthe (PV);2020/'21;40310.0;870.0;39440.0;2.0
119;Totaal mannen en vrouwen;Drenthe (PV);2021/'22;39570.0;1030.0;38540.0;3.0
120;Totaal mannen en vrouwen;Drenthe (PV);2022/'23;38990.0;1090.0;37900.0;3.0
121;Totaal mannen en vrouwen;Overijssel (PV);2012/'13;96890.0;1640.0;95260.0;2.0
122;Totaal mannen en vrouwen;Overijssel (PV);2013/'14;98430.0;1550.0;96880.0;2.0
123;Totaal mannen en vrouwen;Overijssel (PV);2014/'15;99570.0;1550.0;98020.0;2.0
124;Totaal mannen en vrouwen;Overijssel (PV);2015/'16;101130.0;1480.0;99640.0;1.0
125;Totaal mannen en vrouwen;Overijssel (PV);2016/'17;102430.0;1610.0;100820.0;2.0
126;Totaal mannen en vrouwen;Overijssel (PV);2017/'18;102710.0;1860.0;100860.0;2.0
127;Totaal mannen en vrouwen;Overijssel (PV);2018/'19;101770.0;1900.0;99870.0;2.0
128;Totaal mannen en vrouwen;Overijssel (PV);2019/'20;100740.0;1740.0;99000.0;2.0
129;Totaal mannen en vrouwen;Overijssel (PV);2020/'21;98890.0;1830.0;97060.0;2.0
130;Totaal mannen en vrouwen;Overijssel (PV);2021/'22;97050.0;2250.0;94800.0;2.0
131;Totaal mannen en vrouwen;Overijssel (PV);2022/'23;95600.0;2280.0;93320.0;2.0
132;Totaal mannen en vrouwen;Flevoland (PV);2012/'13;37060.0;920.0;36130.0;2.0
133;Totaal mannen en vrouwen;Flevoland (PV);2013/'14;37520.0;870.0;36650.0;2.0
134;Totaal mannen en vrouwen;Flevoland (PV);2014/'15;37910.0;910.0;37000.0;2.0
135;Totaal mannen en vrouwen;Flevoland (PV);2015/'16;38160.0;860.0;37300.0;2.0
136;Totaal mannen en vrouwen;Flevoland (PV);2016/'17;38420.0;930.0;37490.0;2.0
137;Totaal mannen en vrouwen;Flevoland (PV);2017/'18;38410.0;970.0;37440.0;3.0
138;Totaal mannen en vrouwen;Flevoland (PV);2018/'19;38230.0;1000.0;37230.0;3.0
139;Totaal mannen en vrouwen;Flevoland (PV);2019/'20;38050.0;790.0;37250.0;2.0
140;Totaal mannen en vrouwen;Flevoland (PV);2020/'21;37590.0;920.0;36670.0;2.0
141;Totaal mannen en vrouwen;Flevoland (PV);2021/'22;37630.0;1240.0;36390.0;3.0
142;Totaal mannen en vrouwen;Flevoland (PV);2022/'23;37240.0;1230.0;36010.0;3.0
143;Totaal mannen en vrouwen;Gelderland (PV);2012/'13;168260.0;3700.0;164570.0;2.0
144;Totaal mannen en vrouwen;Gelderland (PV);2013/'14;169510.0;3240.0;166270.0;2.0
145;Totaal mannen en vrouwen;Gelderland (PV);2014/'15;171000.0;3130.0;167870.0;2.0
146;Totaal mannen en vrouwen;Gelderland (PV);2015/'16;172770.0;2980.0;169780.0;2.0
147;Totaal mannen en vrouwen;Gelderland (PV);2016/'17;173910.0;3120.0;170790.0;2.0
148;Totaal mannen en vrouwen;Gelderland (PV);2017/'18;173000.0;3490.0;169510.0;2.0
149;Totaal mannen en vrouwen;Gelderland (PV);2018/'19;170750.0;3580.0;167180.0;2.0
150;Totaal mannen en vrouwen;Gelderland (PV);2019/'20;168150.0;3070.0;165080.0;2.0
151;Totaal mannen en vrouwen;Gelderland (PV);2020/'21;165450.0;3330.0;162120.0;2.0
152;Totaal mannen en vrouwen;Gelderland (PV);2021/'22;163230.0;4040.0;159180.0;2.0
153;Totaal mannen en vrouwen;Gelderland (PV);2022/'23;160410.0;4130.0;156280.0;3.0
154;Totaal mannen en vrouwen;Utrecht (PV);2012/'13;95420.0;2420.0;92990.0;3.0
155;Totaal mannen en vrouwen;Utrecht (PV);2013/'14;97160.0;2260.0;94900.0;2.0
156;Totaal mannen en vrouwen;Utrecht (PV);2014/'15;98570.0;1920.0;96650.0;2.0
157;Totaal mannen en vrouwen;Utrecht (PV);2015/'16;100860.0;1930.0;98930.0;2.0
158;Totaal mannen en vrouwen;Utrecht (PV);2016/'17;102710.0;2060.0;100650.0;2.0
159;Totaal mannen en vrouwen;Utrecht (PV);2017/'18;103110.0;2170.0;100940.0;2.0
160;Totaal mannen en vrouwen;Utrecht (PV);2018/'19;103640.0;2280.0;101360.0;2.0
161;Totaal mannen en vrouwen;Utrecht (PV);2019/'20;106410.0;1990.0;104420.0;2.0
162;Totaal mannen en vrouwen;Utrecht (PV);2020/'21;105170.0;2150.0;103020.0;2.0
163;Totaal mannen en vrouwen;Utrecht (PV);2021/'22;104580.0;2680.0;101900.0;3.0
164;Totaal mannen en vrouwen;Utrecht (PV);2022/'23;103880.0;2500.0;101390.0;2.0
165;Totaal mannen en vrouwen;Noord-Holland (PV);2012/'13;200770.0;5500.0;195270.0;3.0
166;Totaal mannen en vrouwen;Noord-Holland (PV);2013/'14;202940.0;5360.0;197580.0;3.0
167;Totaal mannen en vrouwen;Noord-Holland (PV);2014/'15;205350.0;5070.0;200280.0;2.0
168;Totaal mannen en vrouwen;Noord-Holland (PV);2015/'16;207180.0;4930.0;202250.0;2.0
169;Totaal mannen en vrouwen;Noord-Holland (PV);2016/'17;208850.0;5170.0;203680.0;2.0
170;Totaal mannen en vrouwen;Noord-Holland (PV);2017/'18;208940.0;5350.0;203590.0;3.0
171;Totaal mannen en vrouwen;Noord-Holland (PV);2018/'19;207960.0;5720.0;202230.0;3.0
172;Totaal mannen en vrouwen;Noord-Holland (PV);2019/'20;206000.0;4540.0;201460.0;2.0
173;Totaal mannen en vrouwen;Noord-Holland (PV);2020/'21;204220.0;4910.0;199310.0;2.0
174;Totaal mannen en vrouwen;Noord-Holland (PV);2021/'22;202960.0;6180.0;196770.0;3.0
175;Totaal mannen en vrouwen;Noord-Holland (PV);2022/'23;201260.0;6160.0;195100.0;3.0
176;Totaal mannen en vrouwen;Zuid-Holland (PV);2012/'13;273080.0;7690.0;265390.0;3.0
177;Totaal mannen en vrouwen;Zuid-Holland (PV);2013/'14;274000.0;7280.0;266720.0;3.0
178;Totaal mannen en vrouwen;Zuid-Holland (PV);2014/'15;276330.0;6950.0;269380.0;3.0
179;Totaal mannen en vrouwen;Zuid-Holland (PV);2015/'16;277340.0;6820.0;270520.0;2.0
180;Totaal mannen en vrouwen;Zuid-Holland (PV);2016/'17;278750.0;6770.0;271970.0;2.0
181;Totaal mannen en vrouwen;Zuid-Holland (PV);2017/'18;278700.0;7130.0;271580.0;3.0
182;Totaal mannen en vrouwen;Zuid-Holland (PV);2018/'19;277060.0;7460.0;269600.0;3.0
183;Totaal mannen en vrouwen;Zuid-Holland (PV);2019/'20;271800.0;6030.0;265780.0;2.0
184;Totaal mannen en vrouwen;Zuid-Holland (PV);2020/'21;270480.0;6540.0;263930.0;2.0
185;Totaal mannen en vrouwen;Zuid-Holland (PV);2021/'22;270080.0;8100.0;261980.0;3.0
186;Totaal mannen en vrouwen;Zuid-Holland (PV);2022/'23;269600.0;7850.0;261750.0;3.0
187;Totaal mannen en vrouwen;Zeeland (PV);2012/'13;30900.0;660.0;30240.0;2.0
188;Totaal mannen en vrouwen;Zeeland (PV);2013/'14;30750.0;580.0;30170.0;2.0
189;Totaal mannen en vrouwen;Zeeland (PV);2014/'15;30610.0;600.0;30010.0;2.0
190;Totaal mannen en vrouwen;Zeeland (PV);2015/'16;30440.0;590.0;29860.0;2.0
191;Totaal mannen en vrouwen;Zeeland (PV);2016/'17;30120.0;560.0;29560.0;2.0
192;Totaal mannen en vrouwen;Zeeland (PV);2017/'18;29720.0;630.0;29080.0;2.0
193;Totaal mannen en vrouwen;Zeeland (PV);2018/'19;29040.0;650.0;28390.0;2.0
194;Totaal mannen en vrouwen;Zeeland (PV);2019/'20;28340.0;550.0;27790.0;2.0
195;Totaal mannen en vrouwen;Zeeland (PV);2020/'21;27770.0;630.0;27140.0;2.0
196;Totaal mannen en vrouwen;Zeeland (PV);2021/'22;27370.0;770.0;26600.0;3.0
