ID;SBI;Grootteklasse;NettoOmzetExclBTW_1;Brutowinst_2;OverigeBedrijfsopbrengsten_3;TotaleBedrijfsopbrengsten_4;TotaalBedrijfslasten_5;Personeelskosten_6;Afschrijvingen_7;TotaalOverigeBedrijfslasten_8;HuisvestingsEnInventariskosten_9;VerkoopEnAutokosten_10;AlgemeneKosten_11;Bedrijfsresultaat_12;FinancieelResultaat_13;BuitengewoonResultaat_14;ResultaatVoorBelasting_15;WerkzamePersonen_16;OmzetPerFullTimeWerkzamePersoon_17;LoonkostenPerFullTimeWerknemer_18;OpslagduurActiviteitDetailhandel_19;WinkelomzetPerM2_20;VerkoopVloeroppervlakte_21
27;5224.2 Chocolade en suikerwerk;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
28;5224.2 Chocolade en suikerwerk;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
29;5224.2 Chocolade en suikerwerk;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
30;5225   Dranken (Slijters);Alle bedrijven;883.0;19.7;0.2;20.0;15.9;6.8;1.5;7.6;3.6;2.2;1.8;4.0;-0.4;0.1;3.7;6.0;210.0;21.0;59.0;5.0;1.0
31;5225   Dranken (Slijters);0 tot 10 werknemers;436.0;20.3;0.3;20.6;13.8;3.7;1.8;8.3;3.6;2.5;2.2;6.8;-0.7;0.1;6.2;3.0;174.0;15.0;66.0;4.0;0.9
32;5225   Dranken (Slijters);10 en meer werknemers;36157.0;19.2;0.1;19.3;18.0;9.9;1.2;6.9;3.6;1.8;1.4;1.3;-0.2;0.1;1.3;213.0;263.0;25.0;52.0;7.0;1.3
33;5225   Dranken (Slijters);10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
34;5225   Dranken (Slijters);100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
35;5226   Tabaksproducten;Alle bedrijven;435.0;16.9;0.6;17.4;10.3;3.4;1.3;5.6;2.9;1.1;1.7;7.1;-0.4;0.1;6.8;3.0;177.0;15.0;40.0;6.0;0.6
36;5226   Tabaksproducten;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
37;5226   Tabaksproducten;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
38;5226   Tabaksproducten;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
39;5226   Tabaksproducten;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
40;5227.2 Reformartikelen;Alle bedrijven;440.0;29.9;0.1;30.0;22.6;9.9;2.5;10.3;;;;7.3;;;6.9;5.0;117.0;19.0;53.0;4.0;1.0
41;5227.2 Reformartikelen;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
42;5227.2 Reformartikelen;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
43;5227.2 Reformartikelen;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
44;5227.2 Reformartikelen;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
45;5227.1 Kaas;Alle bedrijven;358.0;34.2;0.8;35.0;27.4;12.0;2.5;12.9;;;;7.6;;;8.1;6.0;81.0;13.0;40.0;3.0;0.8
46;5227.1 Kaas;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
47;5227.1 Kaas;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
48;5227.1 Kaas;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
49;5227.1 Kaas;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
50;5242.1 Herenbovenkleding;Alle bedrijven;598.0;41.7;0.4;42.2;33.8;13.8;3.1;16.9;7.8;4.5;4.6;8.4;-1.1;0.2;7.6;6.0;138.0;23.0;123.0;3.0;1.7
51;5242.1 Herenbovenkleding;0 tot 10 werknemers;469.0;41.1;0.5;41.6;31.4;12.0;3.3;16.0;7.2;4.3;4.5;10.2;-1.2;0.0;9.0;4.0;140.0;23.0;121.0;3.0;1.6
52;5242.1 Herenbovenkleding;10 en meer werknemers;3640.0;43.7;0.3;44.0;41.0;19.1;2.4;19.5;9.5;5.0;5.0;3.1;-0.9;1.0;3.2;37.0;133.0;25.0;131.0;3.0;2.1
53;5242.1 Herenbovenkleding;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
54;5242.1 Herenbovenkleding;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
55;5242.2 Damesbovenkleding;Alle bedrijven;650.0;42.0;0.4;42.4;34.7;15.1;3.2;16.4;9.0;3.9;3.6;7.6;-0.3;0.0;7.3;8.0;119.0;21.0;77.0;2.0;1.7
56;5242.2 Damesbovenkleding;0 tot 10 werknemers;302.0;39.7;0.2;39.9;29.6;11.3;3.0;15.2;7.3;4.0;4.0;10.3;-0.5;0.0;9.8;4.0;106.0;18.0;86.0;2.0;1.6
57;5242.2 Damesbovenkleding;10 en meer werknemers;5874.0;43.8;0.5;44.2;38.7;18.1;3.3;17.4;10.4;3.8;3.2;5.5;-0.2;-0.1;5.3;70.0;133.0;23.0;69.0;3.0;2.0
58;5242.2 Damesbovenkleding;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
59;5242.2 Damesbovenkleding;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
60;5242.3 Baby- en kinderkleding;Alle bedrijven;241.0;35.0;;;27.2;10.0;;;;;;8.2;;;6.4;4.0;0.0;0.0;;0.0;
61;5242.3 Baby- en kinderkleding;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
62;5242.3 Baby- en kinderkleding;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
63;5242.3 Baby- en kinderkleding;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
64;5242.3 Baby- en kinderkleding;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
65;5242.4 Bovenkleding algemeen assortiment;Alle bedrijven;1177.0;42.4;1.7;44.0;39.2;17.2;3.6;18.4;10.3;4.8;3.4;4.8;-1.0;0.4;4.2;15.0;116.0;21.0;90.0;2.0;2.5
66;5242.4 Bovenkleding algemeen assortiment;0 tot 10 werknemers;329.0;38.7;0.3;39.1;29.8;12.0;2.5;15.4;8.5;3.5;3.3;9.3;-0.8;0.2;8.6;5.0;95.0;18.0;90.0;2.0;1.5
67;5242.4 Bovenkleding algemeen assortiment;10 en meer werknemers;11526.0;43.6;2.1;45.7;42.5;19.0;4.0;19.5;10.9;5.2;3.4;3.2;-1.1;0.5;2.6;146.0;126.0;22.0;90.0;2.0;3.6
68;5242.4 Bovenkleding algemeen assortiment;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
69;5242.4 Bovenkleding algemeen assortiment;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
70;5242.7 Textielsupermarkten (alg.ass.);Alle bedrijven;1419.0;37.4;0.5;37.9;30.2;14.3;1.9;14.0;8.6;3.7;1.7;7.7;-0.2;0.6;8.1;22.0;109.0;18.0;133.0;2.0;2.6
71;5242.7 Textielsupermarkten (alg.ass.);0 tot 10 werknemers;207.0;34.6;0.8;35.5;20.2;6.5;2.0;11.6;4.5;3.2;3.9;15.3;-1.2;0.0;14.1;3.0;79.0;21.0;197.0;1.0;1.4
72;5242.7 Textielsupermarkten (alg.ass.);10 en meer werknemers;43396.0;37.9;0.4;38.3;31.8;15.6;1.8;14.4;9.2;3.8;1.3;6.4;0.0;0.6;7.1;664.0;116.0;18.0;118.0;2.0;3.2
73;5242.7 Textielsupermarkten (alg.ass.);10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
74;5242.7 Textielsupermarkten (alg.ass.);100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
75;5242.5 Onderkleding, foundations, e.d.;Alle bedrijven;355.0;42.8;;;32.5;14.1;;;;;;10.8;;;9.8;6.0;0.0;0.0;;0.0;
76;5242.5 Onderkleding, foundations, e.d.;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
77;5242.5 Onderkleding, foundations, e.d.;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
78;5242.5 Onderkleding, foundations, e.d.;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
79;5242.5 Onderkleding, foundations, e.d.;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
80;5242.6 Mode-artikelen en bijoux;Alle bedrijven;119.0;47.9;;;36.3;10.1;;;;;;11.8;;;11.1;3.0;0.0;0.0;;0.0;
81;5242.6 Mode-artikelen en bijoux;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
82;5242.6 Mode-artikelen en bijoux;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
83;5242.6 Mode-artikelen en bijoux;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
84;5242.6 Mode-artikelen en bijoux;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
85;5241.1 Kledingstoffen;Alle bedrijven;202.0;43.5;;;33.5;14.4;;;;;;10.5;;;10.5;4.0;0.0;0.0;;0.0;
86;5241.1 Kledingstoffen;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
87;5241.1 Kledingstoffen;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
88;5241.1 Kledingstoffen;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
89;5241.1 Kledingstoffen;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
90;5243.1 Schoeisel;Alle bedrijven;915.0;41.5;1.0;42.5;34.0;14.4;3.0;16.6;9.8;4.4;2.3;8.5;-1.0;0.4;7.9;13.0;116.0;20.0;131.0;2.0;2.1
91;5243.1 Schoeisel;0 tot 10 werknemers;376.0;37.9;0.8;38.7;27.1;10.5;2.9;13.7;6.7;3.9;3.2;11.6;-1.2;0.1;10.5;4.0;120.0;21.0;146.0;3.0;1.2
92;5243.1 Schoeisel;10 en meer werknemers;9206.0;43.7;1.2;44.9;38.3;16.9;3.0;18.4;11.8;4.8;1.8;6.5;-0.8;0.5;6.3;151.0;113.0;19.0;119.0;2.0;3.2
93;5243.1 Schoeisel;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
94;5243.1 Schoeisel;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
95;5243.2 Lederwaren en reisartikelen;Alle bedrijven;398.0;45.2;0.2;45.4;35.8;14.9;2.8;18.1;9.7;4.4;4.1;9.6;-1.4;0.2;8.4;6.0;101.0;20.0;173.0;3.0;1.1
96;5243.2 Lederwaren en reisartikelen;0 tot 10 werknemers;285.0;44.4;0.1;44.5;32.1;12.7;2.4;17.1;8.9;4.5;3.7;12.4;-1.7;0.0;10.8;4.0;97.0;21.0;180.0;2.0;1.1
97;5243.2 Lederwaren en reisartikelen;10 en meer werknemers;2930.0;47.0;0.3;47.3;43.7;19.8;3.6;20.3;11.3;4.0;5.0;3.6;-0.9;0.5;3.1;37.0;112.0;20.0;158.0;4.0;1.1
98;5243.2 Lederwaren en reisartikelen;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
99;5243.2 Lederwaren en reisartikelen;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
100;5244.1 Meubels;Alle bedrijven;1567.0;37.3;1.1;38.4;31.9;14.0;2.1;15.8;;;;6.5;-0.8;-0.1;5.7;10.0;187.0;29.0;96.0;1.0;9.7
101;5244.1 Meubels;0 tot 10 werknemers;554.0;37.7;0.1;37.8;30.2;10.4;2.1;17.7;;;;7.6;-1.0;0.0;6.6;4.0;167.0;25.0;104.0;1.0;4.2
102;5244.1 Meubels;10 en meer werknemers;10172.0;37.1;1.6;38.7;32.7;15.6;2.2;14.9;;;;6.0;-0.6;-0.1;5.2;65.0;198.0;30.0;92.0;1.0;25.2
103;5244.1 Meubels;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
104;5244.1 Meubels;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
105;5244.2 Woningtextiel;Alle bedrijven;464.0;43.6;0.3;43.9;36.8;17.9;3.0;16.0;;;;7.1;-1.1;0.0;5.9;5.0;110.0;25.0;92.0;1.0;2.9
106;5244.2 Woningtextiel;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
107;5244.2 Woningtextiel;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
108;5244.2 Woningtextiel;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
109;5244.2 Woningtextiel;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
110;5244.3 Verlichtingsartikelen;Alle bedrijven;394.0;41.9;0.1;42.0;33.1;12.9;2.8;17.4;;;;8.9;-1.2;-0.2;7.5;4.0;111.0;24.0;155.0;2.0;1.7
111;5244.3 Verlichtingsartikelen;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
112;5244.3 Verlichtingsartikelen;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
113;5244.3 Verlichtingsartikelen;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
114;5244.3 Verlichtingsartikelen;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
115;5244.4 Woninginrichting alg. assortiment;Alle bedrijven;853.0;37.5;0.4;37.9;33.0;16.1;2.9;14.0;;;;4.9;-0.6;0.1;4.4;8.0;137.0;25.0;101.0;1.0;6.7
116;5244.4 Woninginrichting alg. assortiment;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
117;5244.4 Woninginrichting alg. assortiment;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
118;5244.4 Woninginrichting alg. assortiment;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
119;5244.4 Woninginrichting alg. assortiment;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
120;5249.7 Vloerbedekking;Alle bedrijven;775.0;43.0;0.3;43.3;37.7;18.4;2.5;16.7;;;;5.6;-0.1;0.8;6.3;7.0;126.0;27.0;89.0;1.0;4.7
121;5249.7 Vloerbedekking;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
122;5249.7 Vloerbedekking;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
123;5249.7 Vloerbedekking;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
124;5249.7 Vloerbedekking;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
125;5244.5/6 Glas-, porcelein en aardewerk;Alle bedrijven;287.0;40.2;1.0;41.2;31.6;11.9;2.8;16.9;;;;9.6;-1.8;2.1;10.0;4.0;95.0;19.0;218.0;2.0;1.3
126;5244.5/6 Glas-, porcelein en aardewerk;0 tot 10 werknemers;222.0;39.4;0.2;39.6;27.6;8.8;2.5;16.3;;;;12.0;-1.3;1.2;11.8;3.0;100.0;20.0;213.0;2.0;1.0
127;5244.5/6 Glas-, porcelein en aardewerk;10 en meer werknemers;2847.0;42.7;3.5;46.3;43.9;21.5;3.5;19.0;;;;2.3;-3.1;5.1;4.3;47.0;81.0;18.0;234.0;2.0;3.8
128;5244.5/6 Glas-, porcelein en aardewerk;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
129;5244.5/6 Glas-, porcelein en aardewerk;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
130;5244.7 Huishoudelijke art. alg. ass.;Alle bedrijven;1531.0;34.1;1.1;35.2;28.1;13.7;2.0;12.4;7.2;3.7;1.6;7.1;-0.7;0.0;6.4;18.0;127.0;19.0;117.0;2.0;3.1
131;5244.7 Huishoudelijke art. alg. ass.;0 tot 10 werknemers;368.0;32.1;0.1;32.2;22.6;9.0;2.5;11.1;5.1;3.6;2.4;9.6;-1.2;0.0;8.4;5.0;103.0;16.0;120.0;1.0;2.2
132;5244.7 Huishoudelijke art. alg. ass.;10 en meer werknemers;19152.0;34.7;1.4;36.0;29.6;15.0;1.8;12.8;7.8;3.7;1.3;6.4;-0.5;-0.1;5.8;217.0;136.0;20.0;116.0;2.0;4.1
133;5244.7 Huishoudelijke art. alg. ass.;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
134;5244.7 Huishoudelijke art. alg. ass.;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
135;5249.5 Speelgoed;Alle bedrijven;;33.4;1.5;34.9;26.3;10.7;2.1;13.6;7.1;4.3;2.2;8.6;-0.4;0.0;8.2;;138.0;20.0;118.0;2.0;2.0
136;5249.5 Speelgoed;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
137;5249.5 Speelgoed;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
138;5249.5 Speelgoed;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
139;5249.5 Speelgoed;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
140;5245.1/2/6 Wit- en bruingoed;Alle bedrijven;1658.0;24.4;0.6;24.9;20.9;10.2;1.6;9.0;3.7;3.5;1.8;4.0;-0.5;0.2;3.8;9.0;203.0;24.0;80.0;4.0;2.3
141;5245.1/2/6 Wit- en bruingoed;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
142;5245.1/2/6 Wit- en bruingoed;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
143;5245.1/2/6 Wit- en bruingoed;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
144;5245.1/2/6 Wit- en bruingoed;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
145;5245.3 Geluidsdragers;Alle bedrijven;639.0;30.4;0.4;30.7;25.2;8.8;2.1;14.4;7.8;3.3;3.3;5.5;-0.1;0.2;5.6;6.0;135.0;18.0;96.0;3.0;1.1
146;5245.3 Geluidsdragers;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
147;5245.3 Geluidsdragers;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
148;5245.3 Geluidsdragers;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
149;5245.3 Geluidsdragers;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
150;5249.4 Computers;Alle bedrijven;844.0;16.9;0.1;17.0;13.3;6.0;0.9;6.4;2.0;2.2;2.3;3.7;-0.4;0.0;3.3;4.0;254.0;20.0;40.0;8.0;0.8
151;5249.4 Computers;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
152;5249.4 Computers;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
153;5249.4 Computers;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
154;5249.4 Computers;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
155;5245.7 Muziekinstrumenten;Alle bedrijven;432.0;36.0;0.8;36.7;28.8;13.7;2.9;12.1;3.7;5.0;3.4;7.9;-1.5;0.1;6.6;4.0;141.0;27.0;211.0;1.0;2.9
156;5245.7 Muziekinstrumenten;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
157;5245.7 Muziekinstrumenten;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
158;5245.7 Muziekinstrumenten;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
159;5245.7 Muziekinstrumenten;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
160;5245.8 Naai- en breimachines;Alle bedrijven;195.0;41.8;0.6;42.4;26.6;9.6;3.2;13.8;5.8;4.4;3.6;15.8;-1.5;-0.4;13.9;3.0;76.0;22.0;146.0;2.0;0.7
161;5245.8 Naai- en breimachines;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
162;5245.8 Naai- en breimachines;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
163;5245.8 Naai- en breimachines;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
164;5245.8 Naai- en breimachines;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
165;5248.1 Fotografische artikelen;Alle bedrijven;502.0;38.2;0.4;38.6;31.0;14.4;3.5;13.1;5.9;3.9;3.2;7.6;-1.1;0.6;7.1;6.0;114.0;22.0;97.0;3.0;0.9
166;5248.1 Fotografische artikelen;0 tot 10 werknemers;282.0;43.6;0.2;43.8;32.1;13.7;4.2;14.1;6.8;3.8;3.5;11.7;-1.5;0.4;10.6;4.0;88.0;19.0;112.0;2.0;0.9
167;5248.1 Fotografische artikelen;10 en meer werknemers;5438.0;32.1;0.5;32.6;29.7;15.2;2.7;11.8;4.8;4.1;2.9;2.9;-0.8;0.9;3.0;42.0;174.0;25.0;82.0;7.0;1.1
168;5248.1 Fotografische artikelen;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
169;5248.1 Fotografische artikelen;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
170;5246.1 IJzerwaren en gereedschappen;Alle bedrijven;432.0;37.6;0.2;37.8;26.4;13.7;2.8;9.9;;;;11.5;;;10.3;4.0;111.0;22.0;140.0;2.0;2.4
171;5246.1 IJzerwaren en gereedschappen;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
172;5246.1 IJzerwaren en gereedschappen;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
173;5246.1 IJzerwaren en gereedschappen;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
174;5246.1 IJzerwaren en gereedschappen;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
175;5246.2 Verf, verfwaren en behang;Alle bedrijven;319.0;41.8;0.4;42.2;31.7;13.0;3.3;15.4;;;;10.5;;;10.5;4.0;91.0;20.0;117.0;2.0;1.7
176;5246.2 Verf, verfwaren en behang;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
177;5246.2 Verf, verfwaren en behang;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
178;5246.2 Verf, verfwaren en behang;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
179;5246.2 Verf, verfwaren en behang;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
180;5246.5 Keukens;Alle bedrijven;1871.0;35.6;0.6;36.3;28.3;13.6;2.5;12.2;;;;7.9;;;7.9;11.0;199.0;29.0;58.0;2.0;6.1
181;5246.5 Keukens;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
182;5246.5 Keukens;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
183;5246.5 Keukens;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
184;5246.5 Keukens;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
185;5246.3+8 Hout en Bouwmaterialen alg.ass.;Alle bedrijven;1760.0;32.7;0.7;33.4;26.9;12.4;2.4;12.0;5.1;4.8;2.1;6.5;-0.6;0.1;6.0;15.0;159.0;21.0;110.0;1.0;9.1
