ID;SBI1993;Bedrijfsgrootte;Perioden;OrganisatiegraadVanWerknemers_1;Mannen15Tot65Jaar_2;Vrouwen15Tot65Jaar_3;k_15Tot25Jaar_4;k_25Tot45Jaar_5;k_45Tot65Jaar_6;LedenVakverenigingTotaal_7;Mannen15Tot65Jaar_8;Vrouwen15Tot65Jaar_9;k_15Tot25Jaar_10;k_25Tot45Jaar_11;k_45Tot65Jaar_12
37;0000b Landbouw, bosbouw, visserij;1;2001;;;;;;;;;;;;
38;0000b Landbouw, bosbouw, visserij;1;2002;;;;;;;;;;;;
39;0000b Landbouw, bosbouw, visserij;1;2003;;;;;;;;;;;;
40;0000b Landbouw, bosbouw, visserij;1;2004;;;;;;;;;;;;
41;0000b Landbouw, bosbouw, visserij;1;2006;;;;;;;;;;;;
42;0000b Landbouw, bosbouw, visserij;2;2000;;;;;;;;;;;;
43;0000b Landbouw, bosbouw, visserij;2;2001;;;;;;;;;;;;
44;0000b Landbouw, bosbouw, visserij;2;2002;;;;;;;;;;;;
45;0000b Landbouw, bosbouw, visserij;2;2003;14.0;;;;;;10.4;;;;;
46;0000b Landbouw, bosbouw, visserij;2;2004;;;;;;;;;;;;
47;0000b Landbouw, bosbouw, visserij;2;2006;;;;;;;;;;;;
48;0000b Landbouw, bosbouw, visserij;3;2000;;;;;;;;;;;;
49;0000b Landbouw, bosbouw, visserij;3;2001;;;;;;;;;;;;
50;0000b Landbouw, bosbouw, visserij;3;2002;;;;;;;;;;;;
51;0000b Landbouw, bosbouw, visserij;3;2003;;;;;;;;;;;;
52;0000b Landbouw, bosbouw, visserij;3;2004;;;;;;;;;;;;
53;0000b Landbouw, bosbouw, visserij;3;2006;;;;;;;;;;;;
54;0000b Landbouw, bosbouw, visserij;9;2000;;;;;;;;;;;;
55;0000b Landbouw, bosbouw, visserij;9;2001;;;;;;;;;;;;
56;0000b Landbouw, bosbouw, visserij;9;2002;;;;;;;;;;;;
57;0000b Landbouw, bosbouw, visserij;9;2003;;;;;;;;;;;;
58;0000b Landbouw, bosbouw, visserij;9;2004;;;;;;;;;;;;
59;0000b Landbouw, bosbouw, visserij;9;2006;;;;;;;;;;;;
60;1000m Nijverheid en energievoorziening;0;2000;32.0;35.0;14.0;17.0;29.0;43.0;460.4;425.5;34.9;28.7;243.8;187.9
61;1000m Nijverheid en energievoorziening;0;2001;31.0;34.0;17.0;16.0;28.0;42.0;455.6;413.0;42.6;27.3;233.9;194.4
62;1000m Nijverheid en energievoorziening;0;2002;32.0;36.0;14.0;19.0;28.0;43.0;450.3;416.8;33.4;29.0;218.6;202.7
63;1000m Nijverheid en energievoorziening;0;2003;32.0;35.0;18.0;22.0;28.0;42.0;432.3;390.6;41.6;31.3;208.4;192.5
64;1000m Nijverheid en energievoorziening;0;2004;30.0;33.0;14.0;18.0;26.0;39.0;405.5;372.5;33.0;25.7;199.2;180.6
65;1000m Nijverheid en energievoorziening;0;2006;28.0;31.0;14.0;17.0;24.0;38.0;374.3;342.4;31.9;20.9;170.5;182.9
66;1000m Nijverheid en energievoorziening;1;2000;25.0;29.0;;;25.0;;27.8;26.1;;;15.3;
67;1000m Nijverheid en energievoorziening;1;2001;26.0;29.0;;;28.0;;28.4;26.9;;;15.8;
68;1000m Nijverheid en energievoorziening;1;2002;26.0;30.0;;;25.0;32.0;30.8;29.4;;;15.6;10.2
69;1000m Nijverheid en energievoorziening;1;2003;24.0;27.0;;;23.0;31.0;30.5;27.7;;;15.0;10.3
70;1000m Nijverheid en energievoorziening;1;2004;26.0;30.0;;;26.0;;24.9;23.8;;;13.4;
71;1000m Nijverheid en energievoorziening;1;2006;25.0;28.0;;;25.0;;21.2;20.0;;;11.2;
72;1000m Nijverheid en energievoorziening;2;2000;30.0;33.0;;18.0;27.0;42.0;140.8;132.4;;12.7;75.7;52.5
73;1000m Nijverheid en energievoorziening;2;2001;31.0;33.0;18.0;18.0;28.0;44.0;144.0;130.5;13.5;12.8;76.3;55.0
74;1000m Nijverheid en energievoorziening;2;2002;31.0;36.0;;20.0;28.0;43.0;163.3;153.8;;12.8;82.7;67.8
75;1000m Nijverheid en energievoorziening;2;2003;31.0;34.0;14.0;23.0;28.0;39.0;156.2;144.9;11.2;12.8;81.6;61.8
76;1000m Nijverheid en energievoorziening;2;2004;29.0;32.0;;;26.0;38.0;95.2;88.6;;;47.3;39.6
77;1000m Nijverheid en energievoorziening;2;2006;27.0;30.0;;;23.0;36.0;93.5;86.9;;;44.7;40.3
78;1000m Nijverheid en energievoorziening;3;2000;34.0;38.0;17.0;;30.0;45.0;279.9;255.7;24.2;;146.3;124.3
79;1000m Nijverheid en energievoorziening;3;2001;32.0;35.0;18.0;;28.0;42.0;271.4;244.0;27.4;;135.5;127.1
80;1000m Nijverheid en energievoorziening;3;2002;33.0;37.0;17.0;;28.0;45.0;242.3;220.6;21.7;;113.1;120.3
81;1000m Nijverheid en energievoorziening;3;2003;35.0;37.0;22.0;;29.0;46.0;228.8;201.7;27.0;;105.8;113.3
82;1000m Nijverheid en energievoorziening;3;2004;31.0;34.0;16.0;;26.0;40.0;272.0;246.9;25.1;;132.1;130.1
83;1000m Nijverheid en energievoorziening;3;2006;29.0;32.0;15.0;;23.0;40.0;249.4;225.6;23.8;;108.7;132.1
84;1000m Nijverheid en energievoorziening;9;2000;26.0;29.0;;;;;11.9;11.3;;;;
85;1000m Nijverheid en energievoorziening;9;2001;25.0;28.0;;;;;11.7;11.5;;;;
86;1000m Nijverheid en energievoorziening;9;2002;28.0;30.0;;;;;13.9;13.1;;;;
87;1000m Nijverheid en energievoorziening;9;2003;32.0;34.0;;;;;16.8;16.3;;;;
88;1000m Nijverheid en energievoorziening;9;2004;31.0;33.0;;;;;13.4;13.2;;;;
89;1000m Nijverheid en energievoorziening;9;2006;22.0;;;;;;10.2;;;;;
90;5000d Commerciële dienstverlening;0;2000;17.0;20.0;12.0;6.0;16.0;29.0;417.1;304.2;112.9;24.2;231.7;161.3
91;5000d Commerciële dienstverlening;0;2001;16.0;20.0;11.0;5.0;15.0;29.0;411.7;297.5;114.2;21.4;222.7;167.6
92;5000d Commerciële dienstverlening;0;2002;16.0;19.0;12.0;5.0;14.0;30.0;395.0;277.9;117.1;21.1;199.2;174.7
93;5000d Commerciële dienstverlening;0;2003;16.0;20.0;11.0;6.0;14.0;28.0;404.1;294.4;109.7;25.6;207.2;171.3
94;5000d Commerciële dienstverlening;0;2004;17.0;21.0;12.0;5.0;15.0;29.0;394.5;283.1;111.4;19.7;201.6;173.2
95;5000d Commerciële dienstverlening;0;2006;16.0;19.0;12.0;6.0;14.0;27.0;373.3;260.6;112.7;21.9;180.1;171.3
96;5000d Commerciële dienstverlening;1;2000;9.0;12.0;6.0;;10.0;14.0;33.2;23.1;10.1;;18.7;10.8
97;5000d Commerciële dienstverlening;1;2001;9.0;13.0;;;10.0;15.0;33.0;24.3;;;18.8;12.2
98;5000d Commerciële dienstverlening;1;2002;10.0;12.0;9.0;;9.0;18.0;42.6;24.1;18.5;;20.4;17.8
99;5000d Commerciële dienstverlening;1;2003;9.0;12.0;7.0;;10.0;13.0;40.9;24.7;16.2;;22.6;13.4
100;5000d Commerciële dienstverlening;1;2004;9.0;12.0;;;10.0;;21.7;15.3;;;12.6;
101;5000d Commerciële dienstverlening;1;2006;9.0;11.0;;;9.0;;20.4;13.8;;;10.7;
102;5000d Commerciële dienstverlening;2;2000;14.0;18.0;9.0;;13.0;24.0;115.8;86.2;29.6;;64.2;42.6
103;5000d Commerciële dienstverlening;2;2001;14.0;16.0;10.0;;13.0;23.0;112.1;81.4;30.8;;62.7;41.0
104;5000d Commerciële dienstverlening;2;2002;14.0;17.0;10.0;;12.0;27.0;138.5;97.6;40.9;;68.3;60.3
105;5000d Commerciële dienstverlening;2;2003;15.0;19.0;10.0;7.0;13.0;25.0;152.1;110.9;41.2;13.0;80.3;58.8
106;5000d Commerciële dienstverlening;2;2004;13.0;16.0;9.0;;12.0;21.0;68.3;49.0;19.3;;36.6;26.3
107;5000d Commerciële dienstverlening;2;2006;12.0;15.0;8.0;;11.0;20.0;66.0;48.7;17.3;;33.9;26.6
108;5000d Commerciële dienstverlening;3;2000;21.0;24.0;16.0;6.0;19.0;35.0;259.2;188.0;71.2;10.6;144.2;104.4
109;5000d Commerciële dienstverlening;3;2001;20.0;24.0;15.0;6.0;17.0;35.0;259.5;186.6;72.9;10.3;137.3;111.9
110;5000d Commerciële dienstverlening;3;2002;21.0;24.0;15.0;;17.0;36.0;204.2;149.6;54.6;;105.9;92.3
111;5000d Commerciële dienstverlening;3;2003;21.0;25.0;15.0;;17.0;35.0;199.2;147.8;51.4;;99.8;94.0
112;5000d Commerciële dienstverlening;3;2004;21.0;25.0;15.0;6.0;17.0;35.0;295.6;212.1;83.5;10.9;147.8;136.8
113;5000d Commerciële dienstverlening;3;2006;19.0;22.0;14.0;6.0;16.0;32.0;279.4;192.7;86.6;12.3;132.1;134.9
114;5000d Commerciële dienstverlening;9;2000;;;;;;;;;;;;
115;5000d Commerciële dienstverlening;9;2001;;;;;;;;;;;;
116;5000d Commerciële dienstverlening;9;2002;;;;;;;;;;;;
117;5000d Commerciële dienstverlening;9;2003;15.0;19.0;;;;;11.9;11.0;;;;
118;5000d Commerciële dienstverlening;9;2004;;;;;;;;;;;;
119;5000d Commerciële dienstverlening;9;2006;;;;;;;;;;;;
120;7500a Niet-commerciële ..;0;2000;32.0;39.0;27.0;19.0;29.0;40.0;649.6;318.5;331.0;31.2;325.8;292.5
121;7500a Niet-commerciële ..;0;2001;31.0;40.0;25.0;19.0;27.0;39.0;647.6;324.7;322.8;37.2;306.8;303.5
122;7500a Niet-commerciële ..;0;2002;30.0;39.0;25.0;16.0;27.0;39.0;668.5;330.4;338.0;32.5;306.4;329.6
123;7500a Niet-commerciële ..;0;2003;29.0;37.0;24.0;16.0;26.0;37.0;640.2;311.8;328.4;30.9;290.8;318.4
124;7500a Niet-commerciële ..;0;2004;30.0;37.0;25.0;16.0;26.0;38.0;638.8;292.8;346.0;27.7;277.2;333.9
125;7500a Niet-commerciële ..;0;2006;29.0;38.0;24.0;15.0;25.0;37.0;661.5;302.5;359.0;27.3;274.2;360.0
126;7500a Niet-commerciële ..;1;2000;21.0;;18.0;;19.0;;25.9;;16.4;;12.8;
127;7500a Niet-commerciële ..;1;2001;21.0;;18.0;;19.0;;24.9;;16.7;;11.5;
128;7500a Niet-commerciële ..;1;2002;25.0;31.0;23.0;;22.0;32.0;38.4;12.3;26.1;;17.2;16.2
129;7500a Niet-commerciële ..;1;2003;22.0;31.0;19.0;;20.0;29.0;38.4;14.0;24.3;;18.1;16.4
130;7500a Niet-commerciële ..;1;2004;20.0;;19.0;;;;15.5;;12.2;;;
131;7500a Niet-commerciële ..;1;2006;17.0;;16.0;;;;14.7;;11.4;;;
132;7500a Niet-commerciële ..;2;2000;32.0;38.0;29.0;;30.0;40.0;139.5;57.9;81.7;;68.8;63.4
133;7500a Niet-commerciële ..;2;2001;31.0;41.0;26.0;;28.0;38.0;137.1;61.7;75.4;;64.9;62.7
134;7500a Niet-commerciële ..;2;2002;32.0;42.0;27.0;;30.0;40.0;203.8;93.8;110.0;;95.6;98.4
135;7500a Niet-commerciële ..;2;2003;30.0;37.0;26.0;;27.0;38.0;205.7;86.8;118.9;;92.9;103.7
136;7500a Niet-commerciële ..;2;2004;28.0;34.0;26.0;;23.0;36.0;74.0;28.1;45.9;;28.8;39.5
137;7500a Niet-commerciële ..;2;2006;26.0;31.0;23.0;;22.0;33.0;65.3;23.5;41.7;;27.9;32.7
138;7500a Niet-commerciële ..;3;2000;33.0;41.0;28.0;20.0;30.0;41.0;477.9;248.0;229.9;19.1;242.3;216.5
139;7500a Niet-commerciële ..;3;2001;32.0;40.0;26.0;19.0;28.0;40.0;477.4;250.7;226.7;20.9;227.2;229.3
140;7500a Niet-commerciële ..;3;2002;30.0;38.0;25.0;17.0;26.0;39.0;415.9;218.1;197.8;17.4;189.4;209.1
141;7500a Niet-commerciële ..;3;2003;30.0;38.0;24.0;18.0;26.0;37.0;383.9;202.8;181.2;16.8;173.8;193.4
142;7500a Niet-commerciële ..;3;2004;31.0;38.0;26.0;15.0;26.0;39.0;542.6;258.0;284.5;18.9;237.6;286.1
143;7500a Niet-commerciële ..;3;2006;30.0;39.0;25.0;15.0;26.0;38.0;575.3;273.1;302.2;20.9;235.3;319.2
144;7500a Niet-commerciële ..;9;2000;;;;;;;;;;;;
145;7500a Niet-commerciële ..;9;2001;;;;;;;;;;;;
146;7500a Niet-commerciële ..;9;2002;22.0;;;;;;10.4;;;;;
147;7500a Niet-commerciële ..;9;2003;22.0;;;;;;12.2;;;;;
148;7500a Niet-commerciële ..;9;2004;;;;;;;;;;;;
149;7500a Niet-commerciële ..;9;2006;;;;;;;;;;;;
150;1000k Delfstoffenwinning en industrie;0;2000;28.0;32.0;15.0;;25.0;40.0;290.8;259.7;31.2;;157.0;124.0
151;1000k Delfstoffenwinning en industrie;0;2001;27.0;30.0;17.0;;24.0;38.0;278.5;241.4;37.0;;145.9;125.2
152;1000k Delfstoffenwinning en industrie;0;2002;28.0;32.0;15.0;;24.0;39.0;276.6;246.6;30.0;;137.5;130.0
153;1000k Delfstoffenwinning en industrie;0;2003;29.0;32.0;19.0;16.0;25.0;39.0;273.5;234.6;39.0;12.6;133.5;127.5
154;1000k Delfstoffenwinning en industrie;0;2004;27.0;30.0;14.0;;24.0;35.0;251.0;223.1;27.8;;129.2;112.7
155;1000k Delfstoffenwinning en industrie;0;2006;25.0;28.0;14.0;;21.0;35.0;229.7;202.7;27.0;;103.5;117.7
156;1000k Delfstoffenwinning en industrie;1;2000;20.0;;;;;;11.5;;;;;
157;1000k Delfstoffenwinning en industrie;1;2001;;;;;;;;;;;;
158;1000k Delfstoffenwinning en industrie;1;2002;18.0;22.0;;;;;12.1;10.8;;;;
159;1000k Delfstoffenwinning en industrie;1;2003;19.0;;;;;;12.0;;;;;
160;1000k Delfstoffenwinning en industrie;1;2004;;;;;;;;;;;;
161;1000k Delfstoffenwinning en industrie;1;2006;;;;;;;;;;;;
162;1000k Delfstoffenwinning en industrie;2;2000;24.0;27.0;;;22.0;36.0;70.8;63.8;;;40.5;27.0
163;1000k Delfstoffenwinning en industrie;2;2001;25.0;26.0;20.0;;22.0;39.0;71.7;59.3;12.3;;39.1;29.6
164;1000k Delfstoffenwinning en industrie;2;2002;26.0;31.0;;;23.0;38.0;85.7;77.5;;;45.2;37.1
165;1000k Delfstoffenwinning en industrie;2;2003;26.0;29.0;15.0;;23.0;34.0;83.9;73.5;10.4;;43.7;36.0
166;1000k Delfstoffenwinning en industrie;2;2004;23.0;26.0;;;21.0;32.0;45.4;39.6;;;23.8;18.8
167;1000k Delfstoffenwinning en industrie;2;2006;21.0;23.0;;;19.0;27.0;42.2;36.5;;;21.7;17.6
168;1000k Delfstoffenwinning en industrie;3;2000;32.0;35.0;18.0;;28.0;43.0;202.9;180.9;21.9;;107.2;92.1
169;1000k Delfstoffenwinning en industrie;3;2001;30.0;33.0;17.0;;26.0;39.0;191.3;168.1;23.1;;97.8;90.3
170;1000k Delfstoffenwinning en industrie;3;2002;31.0;34.0;18.0;;26.0;42.0;172.5;152.8;19.7;;82.0;86.4
171;1000k Delfstoffenwinning en industrie;3;2003;33.0;36.0;23.0;;27.0;44.0;171.6;146.3;25.4;;80.6;85.9
172;1000k Delfstoffenwinning en industrie;3;2004;28.0;32.0;15.0;;25.0;37.0;191.0;170.2;20.8;;97.1;89.2
173;1000k Delfstoffenwinning en industrie;3;2006;27.0;30.0;15.0;;21.0;38.0;174.7;154.6;20.0;;74.9;95.6
174;1000k Delfstoffenwinning en industrie;9;2000;;;;;;;;;;;;
175;1000k Delfstoffenwinning en industrie;9;2001;;;;;;;;;;;;
176;1000k Delfstoffenwinning en industrie;9;2002;;;;;;;;;;;;
177;1000k Delfstoffenwinning en industrie;9;2003;;;;;;;;;;;;
178;1000k Delfstoffenwinning en industrie;9;2004;;;;;;;;;;;;
179;1000k Delfstoffenwinning en industrie;9;2006;;;;;;;;;;;;
180;E Productie en distributie van en ..;0;2000;48.0;58.0;;;;;16.6;15.4;;;;
181;E Productie en distributie van en ..;0;2001;48.0;53.0;;;;;16.3;14.1;;;;
182;E Productie en distributie van en ..;0;2002;38.0;44.0;;;;;14.3;13.0;;;;
183;E Productie en distributie van en ..;0;2003;44.0;46.0;;;;;13.8;12.5;;;;
184;E Productie en distributie van en ..;0;2004;38.0;43.0;;;;;15.3;13.5;;;;
185;E Productie en distributie van en ..;0;2006;36.0;39.0;;;;;14.3;12.2;;;;
186;E Productie en distributie van en ..;1;2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
187;E Productie en distributie van en ..;1;2001;;;;;;;;;;;;
188;E Productie en distributie van en ..;1;2002;;;;;;;;;;;;
189;E Productie en distributie van en ..;1;2003;;;;;;;;;;;;
190;E Productie en distributie van en ..;1;2004;;;;;;;;;;;;
191;E Productie en distributie van en ..;1;2006;;;;;;;;;;;;
192;E Productie en distributie van en ..;2;2000;;;;;;;;;;;;
193;E Productie en distributie van en ..;2;2001;;;;;;;;;;;;
194;E Productie en distributie van en ..;2;2002;;;;;;;;;;;;
195;E Productie en distributie van en ..;2;2003;;;;;;;;;;;;
196;E Productie en distributie van en ..;2;2004;;;;;;;;;;;;
197;E Productie en distributie van en ..;2;2006;;;;;;;;;;;;
198;E Productie en distributie van en ..;3;2000;50.0;59.0;;;;;16.5;15.2;;;;
199;E Productie en distributie van en ..;3;2001;48.0;52.0;;;;;15.4;13.2;;;;
200;E Productie en distributie van en ..;3;2002;38.0;43.0;;;;;12.3;10.9;;;;
201;E Productie en distributie van en ..;3;2003;44.0;45.0;;;;;11.4;10.2;;;;
202;E Productie en distributie van en ..;3;2004;38.0;44.0;;;;;14.0;12.4;;;;
203;E Productie en distributie van en ..;3;2006;38.0;41.0;;;;;14.0;11.9;;;;
204;E Productie en distributie van en ..;9;2000;;;;;;;;;;;;
205;E Productie en distributie van en ..;9;2001;;;;;;;;;;;;
206;E Productie en distributie van en ..;9;2002;;;;;;;;;;;;
207;E Productie en distributie van en ..;9;2003;;;;;;;;;;;;
208;E Productie en distributie van en ..;9;2004;;;;;;;;;;;;
209;E Productie en distributie van en ..;9;2006;;;;;;;;;;;;
210;F Bouwnijverheid;0;2000;38.0;41.0;;27.0;37.0;49.0;152.9;150.5;;18.8;80.1;54.0
211;F Bouwnijverheid;0;2001;39.0;40.0;;26.0;36.0;51.0;160.9;157.4;;20.0;81.4;59.5
212;F Bouwnijverheid;0;2002;40.0;43.0;;31.0;37.0;51.0;159.4;157.3;;20.1;76.0;63.3
213;F Bouwnijverheid;0;2003;39.0;42.0;;31.0;35.0;51.0;144.9;143.6;;18.4;69.3;57.2
214;F Bouwnijverheid;0;2004;37.0;39.0;;29.0;33.0;47.0;139.3;135.9;;15.8;65.6;57.9
215;F Bouwnijverheid;0;2006;34.0;36.0;;23.0;31.0;45.0;130.3;127.4;;12.4;62.0;55.8
216;F Bouwnijverheid;1;2000;31.0;33.0;;;;;16.4;16.3;;;;
217;F Bouwnijverheid;1;2001;34.0;35.0;;;37.0;;18.8;18.7;;;10.2;
218;F Bouwnijverheid;1;2002;36.0;38.0;;;;;18.4;18.3;;;;
219;F Bouwnijverheid;1;2003;31.0;33.0;;;;;18.3;18.1;;;;
220;F Bouwnijverheid;1;2004;33.0;36.0;;;;;16.4;16.4;;;;
221;F Bouwnijverheid;1;2006;31.0;33.0;;;;;12.8;12.6;;;;
222;F Bouwnijverheid;2;2000;39.0;41.0;;;36.0;52.0;69.9;68.4;;;35.2;25.4
223;F Bouwnijverheid;2;2001;40.0;42.0;;;38.0;53.0;71.8;70.6;;;37.0;25.1
224;F Bouwnijverheid;2;2002;40.0;43.0;;;37.0;51.0;76.0;74.7;;;36.9;29.9
225;F Bouwnijverheid;2;2003;41.0;44.0;;;39.0;49.0;70.5;69.9;;;37.2;24.8
226;F Bouwnijverheid;2;2004;37.0;39.0;;;34.0;47.0;49.3;48.5;;;23.2;20.6
227;F Bouwnijverheid;2;2006;36.0;39.0;;;31.0;48.0;51.1;50.2;;;23.1;22.6
228;F Bouwnijverheid;3;2000;40.0;43.0;;;38.0;49.0;60.5;59.6;;;32.5;22.5
229;F Bouwnijverheid;3;2001;40.0;41.0;;;35.0;51.0;64.8;62.7;;;31.4;27.8
230;F Bouwnijverheid;3;2002;42.0;45.0;;;38.0;52.0;57.6;56.9;;;27.1;25.7
231;F Bouwnijverheid;3;2003;39.0;41.0;;;32.0;52.0;45.7;45.2;;;20.3;21.1
232;F Bouwnijverheid;3;2004;38.0;40.0;;;32.0;50.0;67.0;64.4;;;31.1;31.2
233;F Bouwnijverheid;3;2006;35.0;37.0;;;30.0;45.0;60.7;59.0;;;28.8;27.5
234;F Bouwnijverheid;9;2000;;;;;;;;;;;;
235;F Bouwnijverheid;9;2001;;;;;;;;;;;;
236;F Bouwnijverheid;9;2002;;;;;;;;;;;;
237;F Bouwnijverheid;9;2003;55.0;55.0;;;;;10.3;10.3;;;;
238;F Bouwnijverheid;9;2004;;;;;;;;;;;;
239;F Bouwnijverheid;9;2006;;;;;;;;;;;;
240;G Reparatie van consumentenartikelen ..;0;2000;12.0;15.0;9.0;;13.0;20.0;114.4;79.3;35.0;;64.8;39.8
241;G Reparatie van consumentenartikelen ..;0;2001;12.0;14.0;9.0;;12.0;19.0;109.5;73.8;35.7;;62.8;38.5
242;G Reparatie van consumentenartikelen ..;0;2002;12.0;14.0;9.0;;12.0;21.0;110.0;72.9;37.1;;56.8;44.5
243;G Reparatie van consumentenartikelen ..;0;2003;12.0;15.0;8.0;;12.0;19.0;107.6;73.9;33.6;;56.9;41.2
244;G Reparatie van consumentenartikelen ..;0;2004;12.0;15.0;9.0;;12.0;18.0;91.8;59.4;32.4;;50.1;33.6
245;G Reparatie van consumentenartikelen ..;0;2006;13.0;15.0;9.0;;12.0;19.0;99.9;66.0;33.9;;52.5;38.1
246;G Reparatie van consumentenartikelen ..;1;2000;9.0;12.0;;;;;17.2;11.3;;;;
247;G Reparatie van consumentenartikelen ..;1;2001;9.0;13.0;;;;;17.4;12.3;;;;
248;G Reparatie van consumentenartikelen ..;1;2002;10.0;11.0;;;;;21.1;11.8;;;;
249;G Reparatie van consumentenartikelen ..;1;2003;9.0;11.0;;;;;20.4;12.0;;;;
250;G Reparatie van consumentenartikelen ..;1;2004;;;;;;;;;;;;
251;G Reparatie van consumentenartikelen ..;1;2006;9.0;;;;;;10.0;;;;;
