ID;AllPeriods;TotalRevenue_1;Taxes_2;SocialSecurityContributions_3;SalesOfGoodsAndServices_4;Other_5;TotalExpenditure_6;CompensationOfEmployees_7;UseOfGoodsAndServices_8;SocialBenefits_9;GrossFixedCapitalFormation_10;Other_11;NetLendingNetBorrowing_12;NetInterestFlowsOfInterestSwaps_13;BalanceOfGeneralGovernmentEMUDef_14;GovernmentDebtEMU_15;FinalConsumptionOfGeneralGovernment_16;TotalRevenue_17;Taxes_18;SocialSecurityContributions_19;SalesOfGoodsAndServices_20;Other_21;TotalExpenditure_22;CompensationOfEmployees_23;UseOfGoodsAndServices_24;SocialBenefits_25;GrossFixedCapitalFormation_26;Other_27;BalanceOfGeneralGovernmentEMUDef_28;GovernmentDebtEMU_29;FinalConsumptionOfGeneralGovernment_30;FinalConsumptionVolumeChanges_31;LabourInput_32
14;2001;201922;107285;61269;13918;19450;203063;42820;30969;77071;14563;37640;-1141;62.0;-1079;227096.0;101385.0;45.1;24.0;13.7;3.1;4.3;45.4;9.6;6.9;17.2;3.3;8.4;-0.2;50.7;22.6;4.6;1046.8
15;2002;205155;111281;61718;14435;17721;214960;45599;33070;83408;16425;36458;-9805;95.0;-9710;235090.0;110246.0;44.1;23.9;13.3;3.1;3.8;46.2;9.8;7.1;17.9;3.5;7.8;-2.1;50.5;23.7;3.3;1068.6
16;2003;209580;110177;65822;15611;17970;224621;48040;34945;89230;16932;35474;-15041;143.0;-14898;248009.0;116793.0;43.9;23.1;13.8;3.3;3.8;47.1;10.1;7.3;18.7;3.6;7.4;-3.1;52.0;24.5;2.9;1071.1
17;2004;217724;113661;68332;16399;19332;226403;48909;35292;91227;15816;35159;-8679;95.0;-8584;257604.0;118942.0;44.3;23.1;13.9;3.3;3.9;46.1;10.0;7.2;18.6;3.2;7.2;-1.7;52.4;24.2;-0.1;1051.6
18;2005 1st quarter;53088;27385;17415;4041;4247;53958;11173;8311;22385;3903;8186;-870;15.0;-855;256624.0;;;;;;;;;;;;;;;;;
19;2005 2nd quarter;57424;31151;16339;4668;5266;60554;14478;8910;25112;4116;7938;-3130;20.0;-3110;271395.0;;;;;;;;;;;;;;;;;
20;2005 3rd quarter;54132;29250;15825;4312;4745;54688;11219;8875;22594;4131;7869;-556;28.0;-528;267070.0;;;;;;;;;;;;;;;;;
21;2005 4th quarter;63872;36256;16898;4235;6483;60765;12673;10314;22547;4734;10497;3107;27.0;3134;266060.0;;44.5;24.2;12.9;3.4;4.0;44.8;9.6;7.1;18.0;3.3;6.7;-0.3;51.8;;;
22;2005;228516;124042;66477;17256;20741;229965;49543;36410;92638;16884;34490;-1449;90.0;-1359;266060.0;121685.0;44.5;24.2;12.9;3.4;4.0;44.8;9.6;7.1;18.0;3.3;6.7;-0.3;51.8;23.7;0.5;1047.6
23;2006 1st quarter;58582;30253;19969;3994;4366;58578;11205;8914;25776;4086;8597;4;29.0;33;265475.0;;44.9;24.4;13.2;3.3;4.0;45.0;9.5;7.1;18.4;3.3;6.7;-0.1;51.0;;;
24;2006 2nd quarter;63922;33741;18346;4630;7205;64746;14582;9572;28470;4437;7685;-824;36.0;-788;266840.0;;45.6;24.5;13.5;3.3;4.3;45.3;9.4;7.1;18.8;3.3;6.6;0.4;50.6;;;
25;2006 3rd quarter;58423;29581;18531;4594;5717;58706;11458;9440;25484;4258;8066;-283;41.0;-242;264614.0;;45.9;24.3;13.8;3.3;4.5;45.5;9.4;7.2;19.2;3.3;6.5;0.4;49.6;;;
26;2006 4th quarter;67893;38757;18764;4338;6034;63998;12971;11098;25859;5056;9014;3895;21.0;3916;255916.0;;46.1;24.5;14.0;3.2;4.3;45.5;9.3;7.2;19.5;3.3;6.2;0.5;47.4;;;
27;2006;248820;132332;75610;17556;23322;246028;50216;39024;105589;17837;33362;2792;127.0;2919;255916.0;135442.0;46.1;24.5;14.0;3.2;4.3;45.5;9.3;7.2;19.5;3.3;6.2;0.5;47.4;25.1;9.5;1044.5
28;2007 1st quarter;63440;31792;20920;4417;6311;61947;11665;9701;26646;4452;9483;1493;28.0;1521;261182.0;;46.3;24.5;14.0;3.3;4.6;45.6;9.3;7.3;19.4;3.3;6.3;0.8;47.7;;;
29;2007 2nd quarter;64038;35448;18198;4414;5978;67780;15053;9792;29638;4740;8557;-3742;24.0;-3718;266904.0;;45.8;24.4;13.8;3.2;4.3;45.5;9.2;7.2;19.4;3.3;6.3;0.3;48.1;;;
30;2007 3rd quarter;59115;31354;18683;4509;4569;62055;11866;10140;26835;4485;8729;-2940;23.0;-2917;263933.0;;45.2;24.4;13.6;3.1;4.1;45.5;9.2;7.2;19.4;3.3;6.4;-0.2;46.9;;;
31;2007 4th quarter;73179;42446;19262;4677;6794;67061;13689;11328;27313;5309;9422;6118;44.0;6162;258982.0;;45.4;24.7;13.5;3.2;4.1;45.3;9.1;7.2;19.3;3.3;6.3;0.2;45.3;;;
32;2007;259772;141040;77063;18017;23652;258843;52273;40961;110432;18986;36191;929;119.0;1048;258982.0;143872.0;45.4;24.7;13.5;3.2;4.1;45.3;9.1;7.2;19.3;3.3;6.3;0.2;45.3;25.2;3.5;1058.7
33;2008 1st quarter;67939;32858;22462;4531;8088;66365;12067;10329;28309;5297;10363;1574;26.0;1600;268043.0;;45.6;24.5;13.6;3.1;4.4;45.4;9.1;7.2;19.3;3.4;6.4;0.2;46.3;;;
34;2008 2nd quarter;70752;36923;22031;4799;6999;71490;15567;10732;31017;5439;8735;-738;14.0;-724;271212.0;;46.3;24.5;14.1;3.2;4.5;45.6;9.1;7.3;19.4;3.5;6.4;0.7;46.3;;;
35;2008 3rd quarter;62615;33784;19329;4625;4877;64766;12263;10686;28649;4592;8576;-2151;13.0;-2138;276610.0;;46.4;24.7;14.1;3.2;4.5;45.6;9.1;7.3;19.5;3.5;6.3;0.8;46.8;;;
36;2008 4th quarter;76378;40010;22442;4882;9044;72160;14794;12257;28713;5207;11189;4218;117.0;4335;347525.0;;46.7;24.2;14.5;3.2;4.9;46.2;9.2;7.4;19.6;3.5;6.5;0.5;58.5;;;
37;2008;277684;143575;86264;18837;29008;274781;54691;44004;116688;20535;38863;2903;170.0;3073;347525.0;152813.0;46.7;24.2;14.5;3.2;4.9;46.2;9.2;7.4;19.6;3.5;6.5;0.5;58.5;25.7;2.8;1058.4
38;2009 1st quarter;66433;32700;21657;4870;7206;71107;12725;11264;29908;5308;11902;-4674;132.0;-4542;363041.0;;46.7;24.3;14.5;3.2;4.8;47.3;9.4;7.6;20.0;3.5;6.8;-0.5;61.4;;;
39;2009 2nd quarter;66146;36008;18264;4787;7087;74446;16431;11664;32894;5537;7920;-8300;-21.0;-8321;354694.0;;46.5;24.4;14.0;3.3;4.8;48.3;9.6;7.8;20.6;3.5;6.8;-1.8;60.7;;;
40;2009 3rd quarter;59435;30730;19365;4659;4681;71926;12892;11500;31018;5252;11264;-12491;-48.0;-12539;354288.0;;46.4;24.1;14.1;3.3;4.8;50.1;9.8;8.1;21.2;3.7;7.3;-3.6;61.3;;;
41;2009 4th quarter;70774;38138;19902;4854;7880;77303;15677;12960;31630;5443;11593;-6529;-143.0;-6672;348284.0;;45.8;24.0;13.8;3.3;4.7;51.4;10.1;8.3;21.9;3.8;7.4;-5.6;60.8;;;
42;2009;262788;137576;79188;19170;26854;294782;57725;47388;125450;21540;42679;-31994;-80.0;-32074;348284.0;164140.0;45.8;24.0;13.8;3.3;4.7;51.4;10.1;8.3;21.9;3.8;7.4;-5.6;60.8;28.6;5.0;1080.7
43;2010 1st quarter;68141;33646;22491;4925;7079;73092;13065;11130;31600;5037;12260;-4951;-166.0;-5117;352642.0;;46.2;24.2;14.0;3.4;4.7;51.8;10.1;8.3;22.2;3.7;7.5;-5.7;61.6;;;
44;2010 2nd quarter;67942;37503;19555;5158;5726;79490;16976;11769;35054;5719;9972;-11548;-133.0;-11681;365543.0;;46.2;24.3;14.1;3.4;4.4;52.3;10.2;8.2;22.4;3.7;7.8;-6.2;63.4;;;
45;2010 3rd quarter;60095;31211;19691;4768;4425;71289;13100;11198;32129;5125;9737;-11194;-135.0;-11329;367533.0;;45.9;24.2;14.0;3.4;4.3;51.8;10.1;8.1;22.4;3.7;7.5;-6.0;63.2;;;
46;2010 4th quarter;75571;40848;21372;5175;8176;77413;16088;12772;32268;5456;10829;-1842;-140.0;-1982;372028.0;;46.3;24.4;14.2;3.4;4.3;51.3;10.1;8.0;22.3;3.6;7.3;-5.1;63.4;;;
47;2010;271749;143208;83109;20026;25406;301284;59229;46869;131051;21337;42798;-29535;-574.0;-30109;372028.0;166970.0;46.3;24.4;14.2;3.4;4.3;51.3;10.1;8.0;22.3;3.6;7.3;-5.1;63.4;28.5;0.5;1095.1
48;2011 1st quarter;70294;34427;22922;4930;8015;72761;13147;10679;32849;5113;10973;-2467;-134.0;-2601;375712.0;;46.2;24.3;14.1;3.4;4.4;50.8;10.0;7.8;22.3;3.6;7.0;-4.7;63.4;;;
49;2011 2nd quarter;67745;37549;19565;5013;5618;78241;16902;11137;36162;5330;8710;-10496;-150.0;-10646;383547.0;;45.9;24.2;14.0;3.3;4.4;50.3;9.9;7.7;22.4;3.5;6.8;-4.5;64.4;;;
50;2011 3rd quarter;63351;32547;20997;4841;4966;71338;12963;10894;33053;4968;9460;-7987;-80.0;-8067;389136.0;;46.3;24.3;14.2;3.3;4.5;50.1;9.9;7.6;22.5;3.5;6.7;-3.9;65.0;;;
51;2011 4th quarter;71714;35202;25279;5236;5997;76375;15881;12743;33044;4618;10089;-4661;-35.0;-4696;393671.0;;45.6;23.3;14.8;3.3;4.1;49.9;9.8;7.6;22.6;3.3;6.5;-4.3;65.7;;;
52;2011;273104;139725;88763;20020;24596;298715;58893;45453;135108;20029;39232;-25611;-399.0;-26010;393671.0;167330.0;45.6;23.3;14.8;3.3;4.1;49.9;9.8;7.6;22.6;3.3;6.5;-4.3;65.7;27.9;0.2;1080.8
53;2012 1st quarter;71186;33758;23797;4868;8763;73558;13035;10954;33771;4732;11066;-2372;-63.0;-2435;400024.0;;45.7;23.2;15.0;3.3;4.2;50.0;9.8;7.6;22.7;3.3;6.6;-4.3;66.7;;;
54;2012 2nd quarter;69842;37455;21111;4914;6362;79117;16832;11069;37343;4931;8942;-9275;-165.0;-9440;410696.0;;46.0;23.1;15.2;3.3;4.3;50.0;9.8;7.6;22.9;3.2;6.6;-4.1;68.4;;;
55;2012 3rd quarter;62292;31344;21131;4874;4943;71953;12925;11017;34065;5173;8773;-9661;-82.0;-9743;417239.0;;45.9;23.0;15.2;3.3;4.4;50.2;9.8;7.6;23.1;3.2;6.5;-4.4;69.6;;;
56;2012 4th quarter;74829;32782;29741;5169;7137;77461;15857;12465;34809;5161;9169;-2632;-73.0;-2705;427106.0;;46.4;22.6;16.0;3.3;4.5;50.4;9.8;7.6;23.4;3.3;6.3;-4.1;71.3;;;
57;2012;278149;135339;95780;19825;27205;302089;58649;45505;139988;19997;37950;-23940;-383.0;-24323;427106.0;170614.0;46.4;22.6;16.0;3.3;4.5;50.4;9.8;7.6;23.4;3.3;6.3;-4.1;71.3;28.5;-0.7;1057.9
58;2013 1st quarter;73705;34269;24665;4788;9983;70224;12743;11148;34640;4672;7021;3481;-116.0;3365;431402.0;;46.8;22.7;16.1;3.3;4.7;49.8;9.7;7.6;23.5;3.3;5.7;-3.1;72.0;;;
59;2013 2nd quarter;72225;37712;22768;4888;6857;79366;16509;11233;38193;4977;8454;-7141;-131.0;-7272;443011.0;;47.3;22.7;16.4;3.3;4.8;49.9;9.7;7.7;23.7;3.3;5.6;-2.7;74.0;;;
60;2013 3rd quarter;65036;32784;22435;4812;5005;72934;12759;11261;35112;5014;8788;-7898;-123.0;-8021;442163.0;;47.6;22.9;16.6;3.3;4.8;49.9;9.6;7.7;23.8;3.3;5.6;-2.4;73.6;;;
61;2013 4th quarter;74303;33616;28491;5075;7121;77505;15463;12578;35488;4905;9071;-3202;-33.0;-3235;443008.0;;47.3;23.0;16.3;3.2;4.8;49.8;9.5;7.7;23.8;3.2;5.5;-2.5;73.5;;;
62;2013;285269;138381;98359;19563;28966;300029;57474;46220;143433;19568;33334;-14760;-403.0;-15163;443008.0;170324.0;47.3;23.0;16.3;3.2;4.8;49.8;9.5;7.7;23.8;3.2;5.5;-2.5;73.5;28.3;-0.2;
