ID;Mestsoorten;HoeveelheidMestEnMineralenInDeMest;Perioden;TotaalGetransporteerdMestaanbod_1;MestafvoerDoorLandbouwbedrijven_2;MestafvoerDoorMestverwerkers_3;MestaanvoerUitHetBuitenland_4;TotaalGetransporteerdeMestafzet_5;MestaanvoerDoorLandbouwbedrijven_6;MestaanvoerDoorMestverwerkers_7;MestafvoerNaarHetBuitenland_8;TotaalMesttransportsaldo_9;SaldoMesttransportMestverwerkers_10;SaldoMesttransportBuitenland_11;Balansverschil_12
46;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2000;69.2;65.0;3.5;0.7;66.0;47.0;5.3;13.8;18.1;1.8;13.1;3.2
47;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2001;70.8;66.9;3.7;0.3;68.6;46.7;5.7;16.2;20.1;2.0;15.9;2.2
48;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2002;68.1;63.6;3.2;1.3;66.7;43.2;5.7;17.8;20.4;2.5;16.5;1.4
49;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2003;59.6;55.7;2.7;1.2;55.6;40.3;4.7;10.6;15.5;2.0;9.4;4.1
50;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2004;60.4;56.4;2.7;1.3;58.4;38.9;5.6;13.8;17.5;2.9;12.6;2.1
51;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2005;63.9;59.6;2.9;1.3;65.5;44.3;5.6;15.6;15.4;2.7;14.3;-1.6
52;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2006;71.9;63.6;7.4;0.9;66.6;41.8;7.8;17.0;21.8;0.3;16.1;5.3
53;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2007;89.9;80.0;8.9;0.9;84.6;47.2;9.0;28.5;32.9;0.1;27.5;5.3
54;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2008;95.7;84.0;10.8;0.9;90.2;46.1;14.0;30.2;37.9;3.2;29.3;5.5
55;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2009;95.8;85.3;9.4;1.1;94.9;49.6;16.6;28.7;35.7;7.2;27.6;1.0
56;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2010;90.1;80.8;8.1;1.2;88.1;44.7;17.5;25.9;36.1;9.4;24.7;2.0
57;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2011;93.5;84.3;8.0;1.3;90.6;47.0;17.2;26.5;37.3;9.2;25.2;2.9
58;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2012;92.4;81.6;9.1;1.8;89.9;42.3;18.9;28.8;39.3;9.8;27.0;2.5
59;Totaal dierlijke mest;Fosfaat in getransporteerde mest;2013;93.3;81.5;9.6;2.3;88.9;41.0;19.6;28.4;40.5;10.0;26.1;4.4
