ID;Perioden;IndexVolumeToegevoegdeWaardeBouw_1;VolumeontwikkelingTOVEenJaarEerder_2
222;2018 februari;124.1;5.2
223;2018 maart ;130.3;-1.6
224;2018 1e kwartaal;124.5;3.7
225;2018 april ;132.8;11.2
226;2018 mei;131.9;3.7
227;2018 juni;134.3;5.6
228;2018 2e kwartaal;133.0;6.8
229;2018 juli;119.8;4.8
230;2018 augustus ;74.6;3.2
231;2018 september ;136.2;1.9
232;2018 3e kwartaal;110.2;3.2
233;2018 oktober ;141.1;7.5
234;2018 november ;137.9;4.8
235;2018 december ;86.0;2.2
236;2018 4e kwartaal ;121.7;5.2
237;2018;122.3;4.8
238;2019 januari ;129.7;8.8
239;2019 februari;139.9;12.8
240;2019 maart ;141.0;8.2
241;2019 1e kwartaal ;136.9;9.9
242;2019 april;145.1;9.3
243;2019 mei ;145.3;10.2
244;2019 juni;127.7;-5.0
245;2019 2e kwartaal;139.4;4.8
246;2019 juli;127.9;6.8
247;2019 augustus;77.4;3.8
248;2019 september;148.8;9.3
249;2019 3e kwartaal;118.0;7.1
250;2019 oktober;144.6;2.4
251;2019 november;136.4;-1.1
252;2019 december;86.8;1.0
253;2019 4e kwartaal;122.6;0.7
254;2019;129.2;5.6
255;2020 januari;140.5;8.3
256;2020 februari;137.7;-1.6
257;2020 maart ;147.9;4.9
258;2020 1e kwartaal;142.0;3.8
259;2020 april ;138.3;-4.7
260;2020 mei;126.3;-13.1
261;2020 juni;134.5;5.4
262;2020 2e kwartaal;133.0;-4.6
263;2020 juli;122.3;-4.4
264;2020 augustus;73.5;-5.0
265;2020 september;146.2;-1.8
266;2020 3e kwartaal;114.0;-3.4
267;2020 oktober;141.9;-1.9
268;2020 november;136.4;0.0
269;2020 december;86.7;-0.2
270;2020 4e kwartaal;121.7;-0.8
271;2020;127.7;-1.2
272;2021 januari;137.7;-1.9
273;2021 februari ;131.0;-4.9
274;2021 maart ;153.2;3.5
275;2021 1e kwartaal;140.6;-1.0
276;2021 april ;146.6;6.0
277;2021 mei;132.7;5.1
278;2021 juni;145.8;8.4
279;2021 2e kwartaal;141.7;6.5
280;2021 juli;132.9;8.6
281;2021 augustus;71.4;-2.8
282;2021 september ;149.2;2.1
283;2021 3e kwartaal;117.8;3.4
284;2021 oktober ;142.3;0.3
285;2021 november ;145.9;7.0
286;2021 december ;97.1;12.0
287;2021 4e kwartaal;128.4;5.6
288;2021;132.2;3.5
289;2022 januari ;131.9;-4.2
290;2022 februari;145.5;11.1
291;2022 maart;161.3;5.3
292;2022 1e kwartaal;146.2;4.0
293;2022 april;145.8;-0.5
294;2022 mei;145.9;9.9
295;2022 juni;147.7;1.3
296;2022 2e kwartaal;146.5;3.4
297;2022 juli;133.7;0.6
298;2022 augustus;73.9;3.5
299;2022 september;151.7;1.6
300;2022 3e kwartaal;119.8;1.6
301;2022 oktober;147.3;3.5
302;2022 november;149.8;2.6
303;2022 december;97.9;0.8
304;2022 4e kwartaal;131.7;2.5
305;2022;136.0;2.9
306;2023 januari;142.2;7.8
307;2023 februari;154.8;6.3
308;2023 maart;168.1;4.3
309;2023 1e kwartaal;155.0;6.0
310;2023 april;143.6;-1.5
311;2023 mei;153.1;4.9
312;2023 juni;157.2;6.4
313;2023 2e kwartaal;151.3;3.3
314;2023 juli;135.3;1.2
315;2023 augustus;79.9;8.1
316;2023 september;150.6;-0.7
317;2023 3e kwartaal;121.9;1.8
318;2023 oktober;150.3;2.0
319;2023 november;142.7;-4.7
320;2023 december;92.1;-5.9
321;2023 4e kwartaal;128.4;-2.5
322;2023;139.2;2.3
