ID;Onderwijs;Perioden;BuitenlandervaringTijdensOpleiding_1;k_5DagenOfLangerInHetBuitenland_2;Studiepuntmobiel_3;DeelgenomenAanEenDigitaalProject_4;OnlineDeelgenomenAanLessen_5;OverwogenNaarBuitenlandTeGaan_6;VerplichtVoorMijnOpleiding_7;KwaliteitOnderwijsBuitenlandIsBeter_8;InNLGeenPassendePlekken_9;VakgebiedIsInternationaalGeorienteerd_10;HetStaatGoedOpMijnCV_11;BelangrijkVoorMijnOntwikkeling_12;BijdrageAanpakMaatschappelijkProbleem_13;Onbekend_14;Taalvaardigheden_15;Zelfvertrouwen_16;Zelfstandigheid_17;Doorzettingsvermogen_18;Flexibiliteit_19;Ruimdenkendheid_20;VerschillendePerspectievenInnemen_21;KritischNaarSocialePositieKijken_22;KennisOverMijnVakgebied_23;KennisOverMondialeVraagstukken_24;KennisVanEigenEnAndereCulturen_25;IetsAnders_26;Onbekend_27;OpleidingInNLStondHetNietToe_28;NietTeCombinerenMetOpleidingInNL_29;GeenPassendAanbodInBuitenland_30;KwaliteitVanHetOnderwijsInNLBeter_31;AlGeweestVoorAndereOpleiding_32;GeenToegevoegdeWaardeVoorMij_33;WasTeDuur_34;BeheersteDeTaalOnvoldoende_35;IkKendeNiemandDieDitOokDeed_36;OmgevingVondDitNietGoed_37;AndereVerplichtingenBijvWerkZorg_38;TeLaatVoorbereid_39;VanwegeCoronamaatregelenOfZelfCorona_40;DoorEigenGezondheidNietMogelijk_41;EenAndereReden_42;Onbekend_43
16;Wetenschappelijk onderwijs;2023;25.2;14.5;11.1;8.9;8.1;36.0;35.1;6.1;5.4;63.7;62.9;83.0;29.1;2.1;30.8;18.9;34.7;12.3;15.8;20.4;29.8;18.8;41.6;13.2;35.2;4.7;1.3;10.9;24.1;17.1;23.1;11.3;17.0;35.4;6.5;8.1;4.7;23.8;22.3;60.8;2.7;12.5;0.1
17;Wetenschappelijk onderwijs;2024;30.3;20.8;15.1;8.3;8.3;31.9;31.2;6.4;4.7;61.3;63.3;85.0;27.3;1.7;31.4;22.0;37.9;11.3;16.2;16.3;28.8;20.9;39.3;13.6;37.8;2.8;2.5;8.0;27.3;20.8;27.6;11.4;19.3;41.7;7.1;12.0;4.9;32.7;25.3;41.7;3.5;18.7;0.2
18;Wo-bachelor;2022;26.5;16.9;11.0;8.3;7.8;47.4;35.8;6.1;3.2;58.0;57.4;79.9;24.4;1.1;29.3;18.5;37.3;12.0;16.4;17.0;30.9;18.5;41.3;12.2;39.5;2.3;2.3;10.7;23.1;15.5;22.6;4.7;16.7;27.8;5.2;6.9;3.7;26.6;18.9;55.6;2.8;15.1;0.6
19;Wo-bachelor;2023;26.3;16.1;13.2;8.3;7.2;44.7;35.5;5.5;4.2;62.3;62.7;81.9;22.5;1.9;33.1;19.7;36.1;9.2;14.0;20.3;28.4;20.0;37.7;14.4;40.5;5.0;1.1;8.3;23.2;15.6;21.6;6.0;16.8;37.4;7.9;8.2;5.0;23.2;24.9;63.3;3.2;13.9;0.0
20;Wo-bachelor;2024;32.4;23.7;18.6;8.0;7.6;37.4;32.2;7.6;3.1;60.6;63.8;85.3;19.6;1.3;37.7;23.6;43.1;9.6;16.1;14.4;26.9;21.5;32.0;12.5;39.2;2.4;2.6;6.1;25.1;18.3;27.3;6.2;19.9;41.5;7.0;11.7;5.2;32.3;26.5;41.1;3.7;20.5;0.4
21;Wo-master;2022;29.6;19.0;11.7;9.7;8.3;27.9;27.2;7.5;6.4;58.4;64.2;84.7;35.4;3.1;30.6;15.9;36.3;11.4;18.0;15.9;28.8;22.6;46.8;14.4;34.5;2.4;1.6;12.0;25.9;22.5;25.8;19.8;13.9;34.2;4.6;7.4;2.9;25.7;20.7;53.4;1.4;11.1;0.6
22;Wo-master;2023;24.3;13.0;9.3;9.5;9.0;28.5;34.7;6.7;6.5;65.1;63.1;84.0;35.3;2.2;28.6;18.1;33.4;15.2;17.5;20.5;31.1;17.8;45.3;12.1;30.2;4.5;1.4;14.5;25.5;19.2;25.2;18.4;17.2;32.7;4.4;7.9;4.3;24.8;18.7;57.2;2.2;10.6;0.2
23;Wo-master;2024;28.4;18.1;11.8;8.5;9.0;26.8;30.1;5.2;6.4;62.0;62.7;84.7;35.2;2.2;24.9;20.4;32.5;13.0;16.3;18.2;30.7;20.2;47.0;14.7;36.3;3.3;2.5;10.5;30.1;23.9;28.1;18.1;18.4;41.9;7.3;12.4;4.6;33.2;23.7;42.5;3.3;16.4;0.0
24;01 Onderwijs;2022;24.3;20.4;6.8;6.4;3.4;18.9;47.9;13.5;7.8;35.8;33.1;81.1;29.7;0.4;31.5;13.2;30.1;8.3;8.2;23.0;32.4;25.7;55.7;5.2;44.6;1.6;2.7;7.1;23.8;17.8;14.6;2.7;16.5;37.0;5.4;14.7;13.0;44.2;8.7;39.4;3.5;10.1;0.0
25;01 Onderwijs;2023;22.8;14.0;4.8;9.2;4.2;24.5;66.0;10.5;1.3;32.4;29.3;79.0;24.8;2.1;36.6;18.6;25.1;8.9;11.5;17.7;24.1;23.3;55.3;11.1;50.9;1.8;1.4;9.0;23.1;15.7;10.3;7.5;10.1;34.8;7.6;10.8;9.4;34.2;7.9;61.4;2.2;11.6;0.0
26;01 Onderwijs;2024;25.7;16.3;7.6;10.0;5.6;20.3;49.6;9.2;4.6;26.9;33.3;80.5;27.8;3.1;28.7;14.2;25.3;9.1;11.4;15.8;32.6;29.1;52.6;11.5;48.1;2.2;1.9;6.1;28.2;12.0;15.3;6.9;14.1;36.5;8.7;15.4;6.2;50.2;13.0;48.4;3.9;12.4;0.0
27;02 Vormgeving, kunst, talen en gesch...;2022;36.2;26.2;16.9;11.9;10.4;33.6;35.1;12.5;11.9;73.9;61.6;87.5;21.9;0.2;43.1;19.3;34.7;10.2;10.5;19.6;26.9;19.0;43.2;15.6;39.5;1.2;2.5;6.5;22.1;19.1;15.6;11.1;18.9;39.2;11.7;10.2;5.2;30.2;22.4;43.1;4.7;20.6;0.0
28;02 Vormgeving, kunst, talen en gesch...;2023;31.8;18.9;12.2;13.7;9.7;38.7;45.6;7.4;7.7;76.1;57.9;86.2;24.5;2.1;42.9;21.5;26.4;13.6;12.0;16.1;27.0;21.7;42.9;11.6;36.2;3.5;3.0;9.1;15.9;15.4;14.2;6.9;15.4;36.3;4.0;9.0;2.0;20.3;19.4;65.3;6.1;12.6;1.8
29;02 Vormgeving, kunst, talen en gesch...;2024;35.9;27.7;15.3;10.5;8.0;30.2;38.5;7.9;10.3;63.2;63.7;90.8;17.0;0.6;35.0;21.8;34.9;12.0;16.4;18.6;33.5;17.9;44.7;9.6;37.7;2.0;1.8;7.3;17.9;21.4;17.9;5.0;18.2;43.7;10.7;12.3;4.1;26.2;32.2;52.0;4.9;17.0;0.0
30;03 Journalistiek, gedrag en maatschappij;2022;28.7;19.1;11.8;9.0;6.4;37.8;40.4;4.2;2.3;57.7;61.2;82.8;29.6;2.0;30.4;17.9;38.1;11.2;14.8;16.0;31.9;25.0;34.6;17.4;42.9;2.1;1.3;10.8;22.6;19.6;20.2;11.3;16.7;32.9;6.5;10.9;4.1;29.5;18.7;56.0;3.3;14.8;0.7
31;03 Journalistiek, gedrag en maatschappij;2023;27.3;15.3;11.6;10.5;7.1;36.2;40.7;6.6;5.7;64.3;63.0;82.1;29.5;1.6;29.5;19.0;34.6;12.3;17.8;17.0;34.9;19.1;39.7;17.3;40.1;4.2;1.0;8.9;20.1;20.8;22.7;10.7;15.3;39.5;8.7;10.3;5.7;25.8;23.1;59.7;3.7;14.2;0.3
32;03 Journalistiek, gedrag en maatschappij;2024;30.2;20.1;14.7;11.1;6.6;33.8;35.4;7.3;3.9;58.0;63.5;85.5;34.0;1.7;33.3;24.6;35.3;8.8;18.6;18.0;24.2;25.4;31.8;18.4;40.7;1.5;1.6;9.1;25.2;19.4;26.1;11.7;19.6;41.1;5.5;11.5;4.0;35.3;23.4;40.0;5.5;17.2;0.7
33;04 Recht, administratie, handel en za...;2022;33.4;22.6;17.3;14.1;8.6;29.7;49.1;7.3;2.9;60.4;69.1;85.4;23.3;1.5;47.8;23.3;40.9;10.3;14.4;19.2;29.5;15.4;34.1;10.2;40.7;1.1;1.1;10.1;22.8;15.9;22.3;10.8;14.1;36.7;6.1;9.9;4.8;31.7;20.9;49.1;1.5;12.8;0.8
34;04 Recht, administratie, handel en za...;2023;29.1;16.7;13.3;14.0;9.4;32.7;48.8;5.8;1.5;57.7;62.2;82.1;22.8;1.6;42.7;20.1;34.5;8.7;16.2;20.1;31.9;20.1;31.5;13.0;41.6;2.5;1.9;9.7;20.2;15.5;22.6;11.4;14.2;35.5;6.2;11.6;6.5;32.8;20.6;60.3;1.7;9.8;0.0
35;04 Recht, administratie, handel en za...;2024;33.0;20.4;16.4;14.7;10.0;30.9;49.5;7.1;1.7;61.6;65.7;85.0;20.5;2.0;43.9;25.1;39.5;9.3;14.2;17.0;32.4;16.3;28.1;10.7;44.3;2.2;2.5;7.6;22.9;19.4;23.9;8.4;16.0;42.2;8.8;14.6;6.0;34.7;23.5;46.4;2.2;15.3;0.3
36;05 Wiskunde, natuurwetenschappen;2022;37.1;25.1;16.9;9.8;11.2;36.9;35.4;9.4;13.7;65.0;58.2;72.8;29.2;3.5;31.2;17.9;44.7;23.3;22.3;13.3;13.5;12.3;52.3;8.1;19.3;3.5;3.4;10.2;19.1;17.0;18.6;4.9;18.4;29.0;5.2;3.6;2.5;24.1;17.2;55.7;1.0;15.1;1.3
37;05 Wiskunde, natuurwetenschappen;2023;29.2;17.8;12.1;10.4;8.1;37.5;37.3;4.3;7.1;64.0;58.2;79.4;25.9;3.5;28.5;19.0;42.0;21.8;14.2;18.9;19.4;15.0;50.9;7.9;26.3;4.6;0.7;6.2;22.2;10.9;23.9;8.6;14.5;32.6;3.3;5.5;2.0;22.6;19.6;64.9;4.0;15.0;0.0
38;05 Wiskunde, natuurwetenschappen;2024;37.0;24.3;16.9;7.9;10.5;33.9;28.5;5.3;6.7;62.9;56.6;79.5;29.5;1.0;29.3;22.8;40.3;17.6;14.2;14.1;24.2;16.1;50.3;8.9;29.1;4.8;3.2;3.0;18.5;22.9;28.7;13.1;26.5;34.3;5.1;13.9;5.4;23.5;27.9;46.6;3.8;16.1;0.0
39;06 Informatica;2022;28.5;9.9;6.2;15.7;10.7;35.3;;;;;;;;;;;;;;;;;;;;;;6.5;16.0;23.1;25.3;8.7;27.4;38.2;10.1;18.5;5.1;34.8;28.0;43.7;0.5;17.9;0.0
40;06 Informatica;2023;20.6;5.6;4.0;9.5;8.9;29.4;;;;;;;;;;;;;;;;;;;;;;5.3;18.7;9.8;21.6;6.7;22.6;54.9;10.1;18.0;6.9;37.2;36.4;47.4;2.6;15.7;0.0
41;06 Informatica;2024;21.3;9.3;7.5;10.8;6.9;28.9;38.5;10.2;1.5;61.0;58.2;78.4;28.1;0.8;29.2;21.3;37.3;12.4;20.5;23.1;36.1;17.9;39.7;4.7;28.1;3.7;2.8;5.6;29.6;17.2;20.8;4.1;18.8;48.2;7.3;24.7;8.4;30.5;30.3;47.3;2.2;14.5;0.8
42;07 Techniek, industrie en bouwkunde;2022;32.9;21.7;13.3;10.8;9.3;35.3;34.3;6.0;4.5;59.6;58.2;84.0;37.3;1.8;35.7;20.3;35.0;10.7;16.9;14.7;31.0;23.2;44.2;7.4;37.4;2.6;0.0;5.7;20.9;20.5;28.7;9.1;18.0;32.8;9.4;8.5;4.7;30.3;29.3;41.1;0.3;13.1;0.0
43;07 Techniek, industrie en bouwkunde;2023;28.3;16.5;9.9;12.0;8.6;35.6;38.1;5.6;6.4;63.9;53.9;75.9;34.6;1.5;33.1;16.4;32.1;10.8;16.0;17.9;30.6;10.7;47.7;13.2;38.6;3.7;2.8;7.7;19.0;13.6;22.9;7.7;18.9;32.0;8.3;13.4;4.6;19.2;22.8;61.5;2.6;12.1;0.0
44;07 Techniek, industrie en bouwkunde;2024;31.0;18.7;13.2;12.2;8.8;29.6;30.9;7.1;4.4;55.7;54.8;80.5;28.3;2.4;28.1;20.5;39.3;9.5;14.3;18.7;32.3;15.4;45.9;11.8;39.3;4.2;1.7;8.7;26.7;18.0;26.3;8.8;17.6;44.2;10.8;18.3;5.9;27.8;33.9;48.7;2.0;19.9;0.3
45;08 Landbouw, diergeneeskunde en -verz...;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;08 Landbouw, diergeneeskunde en -verz...;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;08 Landbouw, diergeneeskunde en -verz...;2024;43.8;36.3;18.5;9.6;10.4;30.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;09 Gezondheidszorg en welzijn;2022;31.0;19.0;8.6;11.1;7.6;38.7;32.6;3.9;4.7;37.1;46.5;85.2;37.0;1.8;30.5;15.7;30.9;8.6;17.3;18.1;31.7;27.2;53.0;9.5;38.1;2.1;1.3;11.8;22.1;23.3;27.8;4.6;15.3;36.5;12.8;12.1;6.7;31.7;16.7;40.0;3.4;12.5;0.2
49;09 Gezondheidszorg en welzijn;2023;25.5;11.8;6.0;12.4;6.9;41.9;42.7;3.7;6.5;46.3;40.4;79.7;40.1;2.1;31.5;14.7;22.8;9.0;10.4;18.9;36.8;24.7;59.8;8.6;37.3;2.7;2.1;11.3;17.2;21.6;20.6;3.7;12.2;37.1;10.7;12.2;5.9;31.3;15.2;60.5;3.0;10.4;0.0
50;09 Gezondheidszorg en welzijn;2024;27.4;15.5;9.5;11.8;7.3;35.1;40.9;5.0;5.9;46.0;39.5;77.2;36.9;1.9;30.4;15.8;25.5;8.5;16.3;18.4;29.0;26.3;54.5;11.1;37.1;2.1;2.7;8.0;22.8;22.6;26.0;6.1;15.5;44.9;11.3;14.7;8.3;41.1;22.1;44.9;1.8;11.1;0.4
51;10 Dienstverlening;2022;43.2;33.3;27.3;13.0;9.5;34.5;58.4;4.5;6.2;77.7;75.7;85.5;19.0;0.7;33.9;24.6;44.8;13.5;15.3;17.5;24.3;17.4;44.5;6.2;41.2;0.6;1.6;3.4;13.7;25.9;24.9;12.7;16.4;42.1;12.4;8.1;6.4;52.2;17.0;26.3;0.8;13.2;0.0
52;10 Dienstverlening;2023;47.2;33.5;27.6;20.4;10.0;28.2;57.6;5.2;5.3;82.0;74.9;89.2;22.7;0.0;43.1;21.7;39.4;14.0;14.9;14.0;28.0;22.0;32.3;7.2;50.1;3.8;1.2;5.9;14.7;16.7;23.2;12.2;21.3;39.6;6.6;9.1;6.2;26.3;12.7;56.7;0.0;11.8;0.9
53;10 Dienstverlening;2024;45.0;31.1;21.6;18.9;15.5;28.8;46.0;7.4;4.5;71.5;70.3;82.6;24.8;2.8;42.5;25.3;45.0;12.3;13.9;14.2;26.5;18.2;30.5;8.0;41.2;2.4;2.9;11.1;11.1;25.3;29.2;12.6;14.5;31.9;8.0;10.7;6.5;36.4;14.6;51.6;2.4;16.9;0.6
54;Onderwijsrichting onbekend;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Onderwijsrichting onbekend;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Onderwijsrichting onbekend;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
