ID;RegioS;Inkomensgroepen;AantalHuishoudensAbsoluut_1;AantalHuishoudensIn_2
57;West-Nederland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";1020.5;30.0
58;West-Nederland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";1298.6;38.0
59;West-Nederland;"9e-10e 10%-groep; meer dan 37 600 euro";712.7;21.0
60;Zuid-Nederland;Totaal huishouden;1506.7;100.0
61;Zuid-Nederland;"1e 10%-groep; minder dan 10 600 euro";133.7;9.0
62;Zuid-Nederland;"2e 10%-groep; 10 600 tot 13 800 euro";142.1;9.0
63;Zuid-Nederland;"3e 10%-groep; 13 800 tot 16 700 euro";148.1;10.0
64;Zuid-Nederland;"4e 10%-groep; 16 700 tot 19 800 euro";147.4;10.0
65;Zuid-Nederland;"5e 10%-groep; 19 800 tot 23 400 euro";150.2;10.0
66;Zuid-Nederland;"6e 10%-groep; 23 400 tot 27 400 euro";156.3;10.0
67;Zuid-Nederland;"7e 10%-groep; 27 400 tot 31 900 euro";159.5;11.0
68;Zuid-Nederland;"8e 10%-groep; 31 900 tot 37 600 euro";161.5;11.0
69;Zuid-Nederland;"9e 10%-groep; 37 600 tot 46 900 euro";158.3;11.0
70;Zuid-Nederland;"10e 10%-groep; meer dan 46 900  euro";149.4;10.0
71;Zuid-Nederland;"1e 10%-groep; minder dan 10 600 euro";133.7;9.0
72;Zuid-Nederland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";437.6;29.0
73;Zuid-Nederland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";627.6;42.0
74;Zuid-Nederland;"9e-10e 10%-groep; meer dan 37 600 euro";307.7;20.0
75;Groningen;Totaal huishouden;266.7;100.0
76;Groningen;"1e 10%-groep; minder dan 10 600 euro";41.6;16.0
77;Groningen;"2e 10%-groep; 10 600 tot 13 800 euro";32.7;12.0
78;Groningen;"3e 10%-groep; 13 800 tot 16 700 euro";29.9;11.0
79;Groningen;"4e 10%-groep; 16 700 tot 19 800 euro";29.2;11.0
80;Groningen;"5e 10%-groep; 19 800 tot 23 400 euro";27.4;10.0
81;Groningen;"6e 10%-groep; 23 400 tot 27 400 euro";26.2;10.0
82;Groningen;"7e 10%-groep; 27 400 tot 31 900 euro";24.1;9.0
83;Groningen;"8e 10%-groep; 31 900 tot 37 600 euro";21.7;8.0
84;Groningen;"9e 10%-groep; 37 600 tot 46 900 euro";18.6;7.0
85;Groningen;"10e 10%-groep; meer dan 46 900  euro";15.3;6.0
86;Groningen;"1e 10%-groep; minder dan 10 600 euro";41.6;16.0
87;Groningen;"2e-4e 10%-groep; 10 600 tot 19 800 euro";91.8;34.0
88;Groningen;"5e-8e 10%-groep; 19 800 tot 37 600 euro";99.4;37.0
89;Groningen;"9e-10e 10%-groep; meer dan 37 600 euro";33.9;13.0
90;Friesland;Totaal huishouden;273.4;100.0
91;Friesland;"1e 10%-groep; minder dan 10 600 euro";26.7;10.0
92;Friesland;"2e 10%-groep; 10 600 tot 13 800 euro";32.4;12.0
93;Friesland;"3e 10%-groep; 13 800 tot 16 700 euro";29.9;11.0
94;Friesland;"4e 10%-groep; 16 700 tot 19 800 euro";30.3;11.0
95;Friesland;"5e 10%-groep; 19 800 tot 23 400 euro";29.9;11.0
96;Friesland;"6e 10%-groep; 23 400 tot 27 400 euro";31.0;11.0
97;Friesland;"7e 10%-groep; 27 400 tot 31 900 euro";28.8;11.0
98;Friesland;"8e 10%-groep; 31 900 tot 37 600 euro";25.0;9.0
99;Friesland;"9e 10%-groep; 37 600 tot 46 900 euro";21.9;8.0
100;Friesland;"10e 10%-groep; meer dan 46 900  euro";17.5;6.0
101;Friesland;"1e 10%-groep; minder dan 10 600 euro";26.7;10.0
102;Friesland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";92.5;34.0
103;Friesland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";114.7;42.0
104;Friesland;"9e-10e 10%-groep; meer dan 37 600 euro";39.4;14.0
105;Drenthe;Totaal huishouden;202.1;100.0
106;Drenthe;"1e 10%-groep; minder dan 10 600 euro";15.4;8.0
107;Drenthe;"2e 10%-groep; 10 600 tot 13 800 euro";21.0;10.0
108;Drenthe;"3e 10%-groep; 13 800 tot 16 700 euro";20.8;10.0
109;Drenthe;"4e 10%-groep; 16 700 tot 19 800 euro";22.0;11.0
110;Drenthe;"5e 10%-groep; 19 800 tot 23 400 euro";22.0;11.0
111;Drenthe;"6e 10%-groep; 23 400 tot 27 400 euro";22.9;11.0
112;Drenthe;"7e 10%-groep; 27 400 tot 31 900 euro";22.8;11.0
113;Drenthe;"8e 10%-groep; 31 900 tot 37 600 euro";20.8;10.0
114;Drenthe;"9e 10%-groep; 37 600 tot 46 900 euro";18.9;9.0
115;Drenthe;"10e 10%-groep; meer dan 46 900  euro";15.5;8.0
116;Drenthe;"1e 10%-groep; minder dan 10 600 euro";15.4;8.0
117;Drenthe;"2e-4e 10%-groep; 10 600 tot 19 800 euro";63.9;32.0
118;Drenthe;"5e-8e 10%-groep; 19 800 tot 37 600 euro";88.4;44.0
119;Drenthe;"9e-10e 10%-groep; meer dan 37 600 euro";34.4;17.0
120;Overijssel;Totaal huishouden;450.5;100.0
121;Overijssel;"1e 10%-groep; minder dan 10 600 euro";43.1;10.0
122;Overijssel;"2e 10%-groep; 10 600 tot 13 800 euro";45.3;10.0
123;Overijssel;"3e 10%-groep; 13 800 tot 16 700 euro";45.5;10.0
124;Overijssel;"4e 10%-groep; 16 700 tot 19 800 euro";44.8;10.0
125;Overijssel;"5e 10%-groep; 19 800 tot 23 400 euro";46.9;10.0
126;Overijssel;"6e 10%-groep; 23 400 tot 27 400 euro";48.0;11.0
127;Overijssel;"7e 10%-groep; 27 400 tot 31 900 euro";47.4;11.0
128;Overijssel;"8e 10%-groep; 31 900 tot 37 600 euro";46.5;10.0
129;Overijssel;"9e 10%-groep; 37 600 tot 46 900 euro";44.8;10.0
130;Overijssel;"10e 10%-groep; meer dan 46 900  euro";38.2;8.0
131;Overijssel;"1e 10%-groep; minder dan 10 600 euro";43.1;10.0
132;Overijssel;"2e-4e 10%-groep; 10 600 tot 19 800 euro";135.6;30.0
133;Overijssel;"5e-8e 10%-groep; 19 800 tot 37 600 euro";188.8;42.0
134;Overijssel;"9e-10e 10%-groep; meer dan 37 600 euro";83.0;18.0
135;Flevoland;Totaal huishouden;134.3;100.0
136;Flevoland;"1e 10%-groep; minder dan 10 600 euro";9.6;7.0
137;Flevoland;"2e 10%-groep; 10 600 tot 13 800 euro";10.9;8.0
138;Flevoland;"3e 10%-groep; 13 800 tot 16 700 euro";12.3;9.0
139;Flevoland;"4e 10%-groep; 16 700 tot 19 800 euro";13.2;10.0
140;Flevoland;"5e 10%-groep; 19 800 tot 23 400 euro";14.1;10.0
141;Flevoland;"6e 10%-groep; 23 400 tot 27 400 euro";14.7;11.0
142;Flevoland;"7e 10%-groep; 27 400 tot 31 900 euro";15.5;12.0
143;Flevoland;"8e 10%-groep; 31 900 tot 37 600 euro";15.4;12.0
144;Flevoland;"9e 10%-groep; 37 600 tot 46 900 euro";15.2;11.0
145;Flevoland;"10e 10%-groep; meer dan 46 900  euro";13.3;10.0
146;Flevoland;"1e 10%-groep; minder dan 10 600 euro";9.6;7.0
147;Flevoland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";36.4;27.0
148;Flevoland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";59.7;44.0
149;Flevoland;"9e-10e 10%-groep; meer dan 37 600 euro";28.5;21.0
150;Gelderland;Totaal huishouden;819.1;100.0
151;Gelderland;"1e 10%-groep; minder dan 10 600 euro";76.6;9.0
152;Gelderland;"2e 10%-groep; 10 600 tot 13 800 euro";78.2;10.0
153;Gelderland;"3e 10%-groep; 13 800 tot 16 700 euro";77.2;9.0
154;Gelderland;"4e 10%-groep; 16 700 tot 19 800 euro";78.9;10.0
155;Gelderland;"5e 10%-groep; 19 800 tot 23 400 euro";80.7;10.0
156;Gelderland;"6e 10%-groep; 23 400 tot 27 400 euro";85.3;10.0
157;Gelderland;"7e 10%-groep; 27 400 tot 31 900 euro";86.8;11.0
158;Gelderland;"8e 10%-groep; 31 900 tot 37 600 euro";86.7;11.0
159;Gelderland;"9e 10%-groep; 37 600 tot 46 900 euro";84.8;10.0
160;Gelderland;"10e 10%-groep; meer dan 46 900  euro";83.9;10.0
161;Gelderland;"1e 10%-groep; minder dan 10 600 euro";76.6;9.0
162;Gelderland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";234.3;29.0
163;Gelderland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";339.5;41.0
164;Gelderland;"9e-10e 10%-groep; meer dan 37 600 euro";168.7;21.0
165;Utrecht;Totaal huishouden;501.8;100.0
166;Utrecht;"1e 10%-groep; minder dan 10 600 euro";52.2;10.0
167;Utrecht;"2e 10%-groep; 10 600 tot 13 800 euro";42.3;8.0
168;Utrecht;"3e 10%-groep; 13 800 tot 16 700 euro";44.3;9.0
169;Utrecht;"4e 10%-groep; 16 700 tot 19 800 euro";45.8;9.0
170;Utrecht;"5e 10%-groep; 19 800 tot 23 400 euro";46.9;9.0
171;Utrecht;"6e 10%-groep; 23 400 tot 27 400 euro";46.4;9.0
172;Utrecht;"7e 10%-groep; 27 400 tot 31 900 euro";49.2;10.0
173;Utrecht;"8e 10%-groep; 31 900 tot 37 600 euro";51.5;10.0
174;Utrecht;"9e 10%-groep; 37 600 tot 46 900 euro";56.7;11.0
175;Utrecht;"10e 10%-groep; meer dan 46 900  euro";66.4;13.0
176;Utrecht;"1e 10%-groep; minder dan 10 600 euro";52.2;10.0
177;Utrecht;"2e-4e 10%-groep; 10 600 tot 19 800 euro";132.4;26.0
178;Utrecht;"5e-8e 10%-groep; 19 800 tot 37 600 euro";194.1;39.0
179;Utrecht;"9e-10e 10%-groep; meer dan 37 600 euro";123.1;25.0
180;Noord-Holland;Totaal huishouden;1192.5;100.0
181;Noord-Holland;"1e 10%-groep; minder dan 10 600 euro";132.0;11.0
182;Noord-Holland;"2e 10%-groep; 10 600 tot 13 800 euro";121.9;10.0
183;Noord-Holland;"3e 10%-groep; 13 800 tot 16 700 euro";122.7;10.0
184;Noord-Holland;"4e 10%-groep; 16 700 tot 19 800 euro";119.1;10.0
185;Noord-Holland;"5e 10%-groep; 19 800 tot 23 400 euro";117.9;10.0
186;Noord-Holland;"6e 10%-groep; 23 400 tot 27 400 euro";110.8;9.0
187;Noord-Holland;"7e 10%-groep; 27 400 tot 31 900 euro";108.5;9.0
188;Noord-Holland;"8e 10%-groep; 31 900 tot 37 600 euro";111.7;9.0
189;Noord-Holland;"9e 10%-groep; 37 600 tot 46 900 euro";117.1;10.0
190;Noord-Holland;"10e 10%-groep; meer dan 46 900  euro";130.8;11.0
191;Noord-Holland;"1e 10%-groep; minder dan 10 600 euro";132.0;11.0
192;Noord-Holland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";363.8;31.0
193;Noord-Holland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";448.8;38.0
194;Noord-Holland;"9e-10e 10%-groep; meer dan 37 600 euro";247.9;21.0
195;Zuid-Holland;Totaal huishouden;1532.5;100.0
196;Zuid-Holland;"1e 10%-groep; minder dan 10 600 euro";160.9;10.0
197;Zuid-Holland;"2e 10%-groep; 10 600 tot 13 800 euro";159.7;10.0
198;Zuid-Holland;"3e 10%-groep; 13 800 tot 16 700 euro";157.1;10.0
199;Zuid-Holland;"4e 10%-groep; 16 700 tot 19 800 euro";156.3;10.0
200;Zuid-Holland;"5e 10%-groep; 19 800 tot 23 400 euro";151.0;10.0
201;Zuid-Holland;"6e 10%-groep; 23 400 tot 27 400 euro";144.8;9.0
202;Zuid-Holland;"7e 10%-groep; 27 400 tot 31 900 euro";143.9;9.0
203;Zuid-Holland;"8e 10%-groep; 31 900 tot 37 600 euro";146.8;10.0
204;Zuid-Holland;"9e 10%-groep; 37 600 tot 46 900 euro";152.1;10.0
205;Zuid-Holland;"10e 10%-groep; meer dan 46 900  euro";160.0;10.0
206;Zuid-Holland;"1e 10%-groep; minder dan 10 600 euro";160.9;10.0
207;Zuid-Holland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";473.1;31.0
208;Zuid-Holland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";586.4;38.0
209;Zuid-Holland;"9e-10e 10%-groep; meer dan 37 600 euro";312.0;20.0
210;Zeeland;Totaal huishouden;162.5;100.0
211;Zeeland;"1e 10%-groep; minder dan 10 600 euro";12.4;8.0
212;Zeeland;"2e 10%-groep; 10 600 tot 13 800 euro";17.6;11.0
213;Zeeland;"3e 10%-groep; 13 800 tot 16 700 euro";16.4;10.0
214;Zeeland;"4e 10%-groep; 16 700 tot 19 800 euro";17.2;11.0
215;Zeeland;"5e 10%-groep; 19 800 tot 23 400 euro";17.2;11.0
216;Zeeland;"6e 10%-groep; 23 400 tot 27 400 euro";17.7;11.0
217;Zeeland;"7e 10%-groep; 27 400 tot 31 900 euro";17.8;11.0
218;Zeeland;"8e 10%-groep; 31 900 tot 37 600 euro";16.5;10.0
219;Zeeland;"9e 10%-groep; 37 600 tot 46 900 euro";15.7;10.0
220;Zeeland;"10e 10%-groep; meer dan 46 900  euro";13.9;9.0
221;Zeeland;"1e 10%-groep; minder dan 10 600 euro";12.4;8.0
222;Zeeland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";51.2;32.0
223;Zeeland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";69.2;43.0
224;Zeeland;"9e-10e 10%-groep; meer dan 37 600 euro";29.7;18.0
225;Noord-Brabant;Totaal huishouden;1008.3;100.0
226;Noord-Brabant;"1e 10%-groep; minder dan 10 600 euro";85.1;8.0
227;Noord-Brabant;"2e 10%-groep; 10 600 tot 13 800 euro";91.9;9.0
228;Noord-Brabant;"3e 10%-groep; 13 800 tot 16 700 euro";94.5;9.0
229;Noord-Brabant;"4e 10%-groep; 16 700 tot 19 800 euro";97.8;10.0
230;Noord-Brabant;"5e 10%-groep; 19 800 tot 23 400 euro";98.6;10.0
231;Noord-Brabant;"6e 10%-groep; 23 400 tot 27 400 euro";103.8;10.0
232;Noord-Brabant;"7e 10%-groep; 27 400 tot 31 900 euro";107.3;11.0
233;Noord-Brabant;"8e 10%-groep; 31 900 tot 37 600 euro";110.5;11.0
234;Noord-Brabant;"9e 10%-groep; 37 600 tot 46 900 euro";110.6;11.0
235;Noord-Brabant;"10e 10%-groep; meer dan 46 900  euro";108.2;11.0
236;Noord-Brabant;"1e 10%-groep; minder dan 10 600 euro";85.1;8.0
237;Noord-Brabant;"2e-4e 10%-groep; 10 600 tot 19 800 euro";284.3;28.0
238;Noord-Brabant;"5e-8e 10%-groep; 19 800 tot 37 600 euro";420.1;42.0
239;Noord-Brabant;"9e-10e 10%-groep; meer dan 37 600 euro";218.7;22.0
240;Limburg;Totaal huishouden;498.4;100.0
241;Limburg;"1e 10%-groep; minder dan 10 600 euro";48.6;10.0
242;Limburg;"2e 10%-groep; 10 600 tot 13 800 euro";50.2;10.0
243;Limburg;"3e 10%-groep; 13 800 tot 16 700 euro";53.5;11.0
244;Limburg;"4e 10%-groep; 16 700 tot 19 800 euro";49.6;10.0
245;Limburg;"5e 10%-groep; 19 800 tot 23 400 euro";51.7;10.0
246;Limburg;"6e 10%-groep; 23 400 tot 27 400 euro";52.6;11.0
247;Limburg;"7e 10%-groep; 27 400 tot 31 900 euro";52.3;10.0
248;Limburg;"8e 10%-groep; 31 900 tot 37 600 euro";51.0;10.0
249;Limburg;"9e 10%-groep; 37 600 tot 46 900 euro";47.8;10.0
250;Limburg;"10e 10%-groep; meer dan 46 900  euro";41.2;8.0
251;Limburg;"1e 10%-groep; minder dan 10 600 euro";48.6;10.0
252;Limburg;"2e-4e 10%-groep; 10 600 tot 19 800 euro";153.3;31.0
253;Limburg;"5e-8e 10%-groep; 19 800 tot 37 600 euro";207.5;42.0
254;Limburg;"9e-10e 10%-groep; meer dan 37 600 euro";89.0;18.0
255;Oost-Groningen;Totaal huishouden;66.9;100.0
256;Oost-Groningen;"1e 10%-groep; minder dan 10 600 euro";5.5;8.0
257;Oost-Groningen;"2e 10%-groep; 10 600 tot 13 800 euro";9.4;14.0
258;Oost-Groningen;"3e 10%-groep; 13 800 tot 16 700 euro";8.1;12.0
259;Oost-Groningen;"4e 10%-groep; 16 700 tot 19 800 euro";8.4;13.0
260;Oost-Groningen;"5e 10%-groep; 19 800 tot 23 400 euro";7.4;11.0
261;Oost-Groningen;"6e 10%-groep; 23 400 tot 27 400 euro";7.7;11.0
262;Oost-Groningen;"7e 10%-groep; 27 400 tot 31 900 euro";6.7;10.0
263;Oost-Groningen;"8e 10%-groep; 31 900 tot 37 600 euro";5.9;9.0
264;Oost-Groningen;"9e 10%-groep; 37 600 tot 46 900 euro";4.6;7.0
265;Oost-Groningen;"10e 10%-groep; meer dan 46 900  euro";3.3;5.0
266;Oost-Groningen;"1e 10%-groep; minder dan 10 600 euro";5.5;8.0
267;Oost-Groningen;"2e-4e 10%-groep; 10 600 tot 19 800 euro";25.9;39.0
268;Oost-Groningen;"5e-8e 10%-groep; 19 800 tot 37 600 euro";27.6;41.0
269;Oost-Groningen;"9e-10e 10%-groep; meer dan 37 600 euro";7.9;12.0
270;Delfzijl en omgeving;Totaal huishouden;22.8;100.0
271;Delfzijl en omgeving;"1e 10%-groep; minder dan 10 600 euro";1.8;8.0
272;Delfzijl en omgeving;"2e 10%-groep; 10 600 tot 13 800 euro";2.8;12.0
273;Delfzijl en omgeving;"3e 10%-groep; 13 800 tot 16 700 euro";2.6;12.0
274;Delfzijl en omgeving;"4e 10%-groep; 16 700 tot 19 800 euro";2.6;12.0
275;Delfzijl en omgeving;"5e 10%-groep; 19 800 tot 23 400 euro";2.7;12.0
276;Delfzijl en omgeving;"6e 10%-groep; 23 400 tot 27 400 euro";2.5;11.0
277;Delfzijl en omgeving;"7e 10%-groep; 27 400 tot 31 900 euro";2.5;11.0
278;Delfzijl en omgeving;"8e 10%-groep; 31 900 tot 37 600 euro";2.1;9.0
279;Delfzijl en omgeving;"9e 10%-groep; 37 600 tot 46 900 euro";1.7;7.0
280;Delfzijl en omgeving;"10e 10%-groep; meer dan 46 900  euro";1.4;6.0
281;Delfzijl en omgeving;"1e 10%-groep; minder dan 10 600 euro";1.8;8.0
282;Delfzijl en omgeving;"2e-4e 10%-groep; 10 600 tot 19 800 euro";8.1;36.0
283;Delfzijl en omgeving;"5e-8e 10%-groep; 19 800 tot 37 600 euro";9.9;43.0
284;Delfzijl en omgeving;"9e-10e 10%-groep; meer dan 37 600 euro";3.1;13.0
285;Overig Groningen;Totaal huishouden;177.0;100.0
286;Overig Groningen;"1e 10%-groep; minder dan 10 600 euro";34.3;19.0
287;Overig Groningen;"2e 10%-groep; 10 600 tot 13 800 euro";20.5;12.0
288;Overig Groningen;"3e 10%-groep; 13 800 tot 16 700 euro";19.2;11.0
289;Overig Groningen;"4e 10%-groep; 16 700 tot 19 800 euro";18.1;10.0
290;Overig Groningen;"5e 10%-groep; 19 800 tot 23 400 euro";17.3;10.0
291;Overig Groningen;"6e 10%-groep; 23 400 tot 27 400 euro";16.0;9.0
292;Overig Groningen;"7e 10%-groep; 27 400 tot 31 900 euro";15.0;8.0
293;Overig Groningen;"8e 10%-groep; 31 900 tot 37 600 euro";13.6;8.0
294;Overig Groningen;"9e 10%-groep; 37 600 tot 46 900 euro";12.3;7.0
295;Overig Groningen;"10e 10%-groep; meer dan 46 900  euro";10.7;6.0
296;Overig Groningen;"1e 10%-groep; minder dan 10 600 euro";34.3;19.0
297;Overig Groningen;"2e-4e 10%-groep; 10 600 tot 19 800 euro";57.8;33.0
298;Overig Groningen;"5e-8e 10%-groep; 19 800 tot 37 600 euro";61.9;35.0
299;Overig Groningen;"9e-10e 10%-groep; meer dan 37 600 euro";23.0;13.0
300;Noord-Friesland;Totaal huishouden;143.1;100.0
301;Noord-Friesland;"1e 10%-groep; minder dan 10 600 euro";16.2;11.0
302;Noord-Friesland;"2e 10%-groep; 10 600 tot 13 800 euro";16.9;12.0
303;Noord-Friesland;"3e 10%-groep; 13 800 tot 16 700 euro";15.7;11.0
304;Noord-Friesland;"4e 10%-groep; 16 700 tot 19 800 euro";15.9;11.0
305;Noord-Friesland;"5e 10%-groep; 19 800 tot 23 400 euro";15.5;11.0
306;Noord-Friesland;"6e 10%-groep; 23 400 tot 27 400 euro";15.8;11.0
307;Noord-Friesland;"7e 10%-groep; 27 400 tot 31 900 euro";14.6;10.0
308;Noord-Friesland;"8e 10%-groep; 31 900 tot 37 600 euro";12.7;9.0
309;Noord-Friesland;"9e 10%-groep; 37 600 tot 46 900 euro";11.2;8.0
310;Noord-Friesland;"10e 10%-groep; meer dan 46 900  euro";8.4;6.0
311;Noord-Friesland;"1e 10%-groep; minder dan 10 600 euro";16.2;11.0
312;Noord-Friesland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";48.5;34.0
313;Noord-Friesland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";58.7;41.0
314;Noord-Friesland;"9e-10e 10%-groep; meer dan 37 600 euro";19.6;14.0
315;Zuidwest-Friesland;Totaal huishouden;43.8;100.0
316;Zuidwest-Friesland;"1e 10%-groep; minder dan 10 600 euro";3.8;9.0
317;Zuidwest-Friesland;"2e 10%-groep; 10 600 tot 13 800 euro";5.3;12.0
318;Zuidwest-Friesland;"3e 10%-groep; 13 800 tot 16 700 euro";4.8;11.0
319;Zuidwest-Friesland;"4e 10%-groep; 16 700 tot 19 800 euro";4.8;11.0
320;Zuidwest-Friesland;"5e 10%-groep; 19 800 tot 23 400 euro";4.6;10.0
321;Zuidwest-Friesland;"6e 10%-groep; 23 400 tot 27 400 euro";5.1;12.0
322;Zuidwest-Friesland;"7e 10%-groep; 27 400 tot 31 900 euro";4.7;11.0
323;Zuidwest-Friesland;"8e 10%-groep; 31 900 tot 37 600 euro";4.1;9.0
324;Zuidwest-Friesland;"9e 10%-groep; 37 600 tot 46 900 euro";3.6;8.0
325;Zuidwest-Friesland;"10e 10%-groep; meer dan 46 900  euro";3.1;7.0
326;Zuidwest-Friesland;"1e 10%-groep; minder dan 10 600 euro";3.8;9.0
327;Zuidwest-Friesland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";14.9;34.0
328;Zuidwest-Friesland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";18.5;42.0
329;Zuidwest-Friesland;"9e-10e 10%-groep; meer dan 37 600 euro";6.7;15.0
330;Zuidoost-Friesland;Totaal huishouden;86.5;100.0
331;Zuidoost-Friesland;"1e 10%-groep; minder dan 10 600 euro";6.7;8.0
332;Zuidoost-Friesland;"2e 10%-groep; 10 600 tot 13 800 euro";10.2;12.0
333;Zuidoost-Friesland;"3e 10%-groep; 13 800 tot 16 700 euro";9.4;11.0
334;Zuidoost-Friesland;"4e 10%-groep; 16 700 tot 19 800 euro";9.5;11.0
