ID;Perioden;TotaalPersonen_1;AlleenstaandePersonen_2;SamenwonendePersonen_3;ThuiswonendeKinderen_4;Eenouders_5;OverigePersonen_6;InInstitutieWonendePersonen_7;TotaalHuishoudens_8;Eenpersoonshuishouden_9;Paren_10;Eenouders_11;OverigeHuishoudens_12;GemiddeldeHuishoudensgrootte_13;TotaalAantalHuishoudens_14;Eenpersoonshuishouden_15;TotaalMeerpersoonshuishoudens_16;k_2Personen_17;k_3Personen_18;k_4Personen_19;k_5OfMeerPersonen_20;TotaalParen_21;GeenKinderen_22;k_1Kind_23;k_2Kinderen_24;k_3OfMeerKinderen_25;TotaalEenouderhuishoudens_26;k_1Kind_27;k_2Kinderen_28;k_3OfMeerKinderen_29;ReferentiepersonenMetKinderen_30;JongsteKind02Jaar_31;JongsteKind35Jaar_32;JongsteKind611Jaar_33;JongsteKind1217Jaar_34;JongsteKind18JaarEnOuder_35
22;2027;16975473;3325589;8200917;4391266;590160;295644;171900;8060797;3325581;4092961;590156;52099;2.11;8060825;3325581;4735244;2563273;823423;981709;366839;4092962;2180378;651426;939549;321609;590187;385640;154761;49786;2502739;502135;308975;521151;501324;669156
23;2028;16993192;3348975;8186447;4391655;595721;295299;175094;8082315;3348966;4085723;595720;51906;2.1;8082339;3348966;4733373;2571968;813128;981293;366984;4085728;2185136;640081;938818;321693;595746;389749;155837;50160;2496308;503337;310619;523861;498243;660249
24;2029;17008667;3370163;8169790;4394114;601367;294792;178443;8100609;3370164;4077397;601362;51686;2.1;8100632;3370164;4730468;2578363;803059;981646;367400;4077397;2187614;628892;938844;322047;601388;393839;156990;50559;2491146;504209;312059;526990;496121;651768
25;2030;17021881;3389238;8150941;4398604;607028;294159;181911;8115682;3389233;4067959;607030;51460;2.1;8115704;3389233;4726471;2582356;793497;982668;367950;4067961;2187750;618139;939517;322555;607053;397834;158227;50992;2487239;504756;313215;530327;495063;643877
26;2031;17032600;3406116;8130114;4404790;612678;293459;185441;8127592;3406111;4057562;612670;51249;2.1;8127619;3406111;4721508;2584078;784534;984274;368622;4057563;2185660;607936;940785;323182;612692;401755;159509;51428;2484571;504960;314092;533625;495262;636630
27;2032;17040745;3421065;8107425;4412341;618272;292725;188916;8136595;3421060;4046211;618269;51055;2.09;8136612;3421060;4715552;2583657;776192;986353;369350;4046214;2181478;598316;942534;323886;618287;405601;160835;51851;2483004;504777;314714;536752;496405;630354
28;2033;17046387;3434137;8083456;4420782;623786;291964;192262;8143012;3434138;4034232;623791;50851;2.09;8143029;3434138;4708891;2581563;768491;988770;370067;4034232;2175693;589334;944611;324594;623809;409369;162167;52273;2482330;504202;315122;539560;498335;625114
29;2034;17049425;3445539;8058453;4429616;629201;291204;195413;8147139;3445544;4021723;629196;50676;2.09;8147152;3445544;4701608;2578054;761518;991296;370740;4021722;2168556;581088;946816;325262;629213;413038;163494;52681;2482364;503204;315366;541967;500882;620942
30;2035;17049977;3455243;8032937;4438424;634570;290441;198361;8149298;3455247;4008973;634562;50516;2.09;8149304;3455247;4694057;2573765;755272;993685;371335;4008973;2160641;573561;948923;325848;634574;416689;164826;53059;2482894;501764;315485;543932;503873;617835
31;2036;17048141;3463048;8007611;4446808;639854;289704;201117;8149552;3463052;3996300;639851;50349;2.09;8149558;3463052;4686506;2569098;749791;995808;371809;3996300;2152388;566826;950779;326307;639859;420308;166125;53426;2483762;499923;315490;545432;507095;615821
32;2037;17043994;3469352;7982590;4454369;645003;288984;203696;8148363;3469360;3983788;644999;50216;2.09;8148365;3469360;4679005;2564207;745160;997497;372141;3983787;2143962;560973;952233;326619;645001;423846;167390;53765;2484827;497774;315314;546525;510300;614912
33;2038;17037765;3474205;7958280;4460923;650002;288283;206073;8145942;3474205;3971636;650009;50092;2.09;8145948;3474205;4671743;2559459;741298;998688;372298;3971637;2135714;555949;953218;326756;650010;427331;168596;54083;2485930;495452;314873;547297;513343;614966
34;2039;17029721;3477658;7935066;4466294;654877;287596;208230;8142532;3477665;3960030;654876;49961;2.09;8142529;3477665;4664864;2555095;738196;999289;372284;3960029;2127944;551735;953647;326703;654876;430739;169758;54379;2486960;493081;314131;547835;516065;615850
35;2040;17020107;3480055;7912976;4470441;659554;286922;210160;8138439;3480062;3948993;659561;49823;2.09;8138437;3480062;4658375;2551208;735752;999352;372063;3948993;2120745;548250;953550;326448;659563;434062;170844;54657;2487808;490788;313107;548132;518383;617398
36;2041;17009259;3481414;7892195;4473358;664140;286269;211884;8133868;3481418;3938602;664135;49713;2.09;8133870;3481418;4652452;2548084;733870;998868;371630;3938601;2114340;545358;952910;325993;664137;437321;171899;54917;2488396;488688;311866;548143;520267;619431
37;2042;16997485;3481851;7872921;4475091;668549;285623;213447;8128935;3481847;3928960;668546;49582;2.09;8128937;3481847;4647090;2545718;732452;997930;370990;3928960;2108816;542987;951816;325341;668543;440492;172892;55159;2488691;486892;310463;547823;521703;621811
38;2043;16985119;3481414;7855203;4475802;672812;285019;214870;8123783;3481424;3920105;672795;49459;2.09;8123784;3481424;4642360;2544224;731365;996592;370179;3920106;2104245;540997;950332;324532;672792;443577;173835;55380;2488653;485452;308987;547099;522757;624360
39;2044;16972500;3480241;7839108;4475647;676900;284425;216180;8118517;3480238;3912053;676885;49341;2.09;8118518;3480238;4638280;2543617;730488;994950;369225;3912050;2100644;539280;948548;323578;676885;446578;174717;55590;2488290;484433;307510;545909;523520;626919
40;2045;16959910;3478383;7824630;4474776;680868;283858;217395;8113270;3478372;3904811;680872;49215;2.09;8113267;3478372;4634895;2543954;729735;993017;368189;3904808;2098054;537708;946506;322540;680870;449530;175572;55768;2487628;483846;306134;544236;524073;629341
41;2046;16947656;3475822;7811847;4473431;684735;283300;218521;8108079;3475811;3898422;684735;49111;2.09;8108078;3475811;4632267;2545229;729019;990928;367091;3898426;2096440;536223;944323;321440;684737;452428;176377;55932;2486717;483711;304895;542147;524421;631544
42;2047;16935925;3472526;7800787;4471772;688545;282753;219545;8102913;3472524;3892892;688529;48968;2.09;8102911;3472524;4630387;2547453;728200;988768;365966;3892893;2095806;534697;942077;320313;688531;455332;177125;56074;2485615;483983;303867;539766;524510;633490
43;2048;16924956;3468377;7791493;4470008;692410;282210;220458;8097865;3468388;3888235;692407;48835;2.09;8097863;3468388;4629475;2550924;727140;986587;364824;3888238;2096277;532963;939811;319187;692405;458367;177834;56204;2484366;484587;303097;537225;524290;635166
44;2049;16914890;3463416;7783900;4468326;696352;281666;221232;8092948;3463421;3884451;696361;48715;2.09;8092943;3463421;4629522;2555580;725802;984435;363705;3884448;2097813;530973;937572;318090;696363;461519;178519;56325;2483000;485434;302636;534644;523680;636605
45;2050;16905914;3457621;7777992;4466883;700444;281137;221834;8088132;3457624;3881494;700439;48575;2.09;8088131;3457624;4630507;2561375;724144;982356;362632;3881494;2100350;528697;935396;317051;700438;464828;179173;56437;2481581;486463;302470;532194;522618;637840
