ID;EnergyIntensitiesServicesFloorArea;FloorArea;AverageConsumptionOfNaturalGas_1;AverageConsumptionOfElectricity_2
131;Recreation: club;5 000 to 10 000 m2;;
132;Recreation: club;10 000 to 25 000 m2;;
133;Recreation: indoor sports;0 to 250 m2;17.4;54.9
134;Recreation: indoor sports;250 to 500 m2;16.7;42.6
135;Recreation: indoor sports;500 to 1 000 m2;13.2;52.6
136;Recreation: indoor sports;1 000 to 2 500 m2;11.4;59.0
137;Recreation: indoor sports;2 500 to 5 000 m2;9.6;55.1
138;Recreation: indoor sports;5 000 to 10 000 m2;10.5;58.2
139;Recreation: indoor sports;10 000 to 25 000 m2;;
140;Recreation: swimming pool;0 to 250 m2;62.3;173.7
141;Recreation: swimming pool;250 to 500 m2;48.7;141.4
142;Recreation: swimming pool;500 to 1 000 m2;48.6;138.9
143;Recreation: swimming pool;1 000 to 2 500 m2;52.1;153.5
144;Recreation: swimming pool;2 500 to 5 000 m2;55.6;132.2
145;Recreation: swimming pool;5 000 to 10 000 m2;;
146;Recreation: swimming pool;10 000 to 25 000 m2;;
147;Recreation: outdoor sports;0 to 250 m2;16.8;87.4
148;Recreation: outdoor sports;250 to 500 m2;15.9;79.8
149;Recreation: outdoor sports;500 to 1 000 m2;14.0;65.0
150;Recreation: outdoor sports;1 000 to 2 500 m2;9.7;51.4
151;Recreation: outdoor sports;2 500 to 5 000 m2;5.3;31.4
152;Recreation: outdoor sports;5 000 to 10 000 m2;;
153;Recreation: outdoor sports;10 000 to 25 000 m2;;
154;Other: hair and beauty salon;0 to 250 m2;20.2;79.0
155;Other: hair and beauty salon;250 to 500 m2;13.8;49.9
156;Other: hair and beauty salon;500 to 1 000 m2;11.3;41.4
157;Other: hair and beauty salon;1 000 to 2 500 m2;;
158;Other: hair and beauty salon;2 500 to 5 000 m2;;
159;Other: hair and beauty salon;5 000 to 10 000 m2;;
160;Other: hair and beauty salon;10 000 to 25 000 m2;;
161;Other: religion;0 to 250 m2;18.4;25.4
162;Other: religion;250 to 500 m2;15.7;19.8
163;Other: religion;500 to 1 000 m2;13.6;18.0
164;Other: religion;1 000 to 2 500 m2;10.1;17.2
165;Other: religion;2 500 to 5 000 m2;6.1;19.3
166;Other: religion;5 000 to 10 000 m2;;
167;Other: religion;10 000 to 25 000 m2;;
