ID;BeroepsEnEigenVervoer;Vervoerstromen;LandVanLadenLossen;Landen;Perioden;VervoerdLadinggewicht_1
136;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;1998;1118
137;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;1999;1437
138;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2000;2719
139;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2001;3195
140;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2002;3091
141;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2003;3037
142;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2004;4265
143;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2005;4637
144;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2006;4507
145;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2007;2741
146;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2008;3427
147;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2009;2727
148;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2010;2295
149;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2011;2237
150;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2012;2310
151;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2013;2367
152;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2014;2302
153;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2015;2229
154;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2016;1826
155;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2017;1665
156;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2018;1451
157;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2019;1258
158;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2020;1181
159;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2021;1096
160;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2022;1238
161;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;2023;645
162;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;1997;677
163;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;1998;781
164;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;1999;766
165;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2000;774
166;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2001;682
167;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2002;786
168;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2003;631
169;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2004;902
170;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2005;1031
171;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2006;878
172;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2007;969
173;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2008;646
174;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2009;516
175;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2010;526
176;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2011;528
177;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2012;472
178;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2013;624
179;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2014;425
180;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2015;465
181;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2016;406
182;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2017;523
183;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2018;463
184;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2019;511
185;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2020;568
186;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2021;519
187;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2022;492
188;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Denemarken;2023;438
189;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;1997;684
190;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;1998;734
191;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;1999;856
192;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2000;912
193;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2001;801
194;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2002;820
195;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2003;893
196;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2004;1170
197;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2005;844
198;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2006;1226
199;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2007;743
200;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2008;714
201;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2009;548
202;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2010;558
203;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2011;425
204;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2012;313
205;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2013;356
206;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2014;323
207;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2015;231
208;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2016;115
209;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2017;104
210;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2018;224
211;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2019;153
212;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2020;170
213;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2021;241
214;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2022;206
215;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Spanje;2023;221
216;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;1997;896
217;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;1998;1009
218;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;1999;930
219;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2000;875
220;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2001;788
221;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2002;892
222;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2003;960
223;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2004;1068
224;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2005;1032
225;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2006;1195
226;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2007;1427
227;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2008;2307
228;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2009;817
229;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2010;2220
230;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2011;2491
231;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2012;1339
232;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2013;914
233;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2014;997
234;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2015;723
235;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2016;534
236;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2017;525
237;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2018;652
238;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2019;789
239;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2020;556
240;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2021;460
241;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2022;344
242;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zweden;2023;421
243;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;1997;579
244;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;1998;600
245;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;1999;506
246;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2000;431
247;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2001;410
248;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2002;427
249;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2003;501
250;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2004;571
251;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2005;547
252;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2006;534
253;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2007;297
254;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2008;318
255;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2009;240
256;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2010;183
257;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2011;324
258;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2012;331
259;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2013;359
260;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2014;312
261;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2015;245
262;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2016;133
263;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2017;123
264;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2018;219
265;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2019;115
266;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2020;130
267;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2021;171
268;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2022;109
269;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Oostenrijk;2023;126
270;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;1997;555
271;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;1998;549
272;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;1999;536
273;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;2000;485
274;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;2001;459
275;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;2002;571
276;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;2003;548
277;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;2004;591
278;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;2005;812
279;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;2006;684
280;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;2007;696
281;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;2008;558
282;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;2009;368
283;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Zwitserland;2010;381
