ID;Perioden;Waarde_1;VoortschrijdendJaargemiddeldeWaarde_2;Waarde_3;CumulatieveWaarde_4
213;2007 augustus;87.3;109.0;3.7;4.8
214;2007 september;107.6;108.7;-3.0;3.9
215;2007 3e kwartaal;100.8;108.7;4.5;3.9
216;2007 oktober;121.9;110.4;19.4;5.4
217;2007 november;103.2;110.9;7.3;5.6
218;2007 december;110.1;109.3;-15.2;3.4
219;2007 4e kwartaal;111.7;109.3;2.2;3.4
220;2007;109.3;109.3;3.4;3.4
221;2008 januari;117.9;111.0;20.7;20.7
222;2008 februari;106.3;111.3;3.7;12.0
223;2008 maart;111.1;110.2;-10.6;3.3
224;2008 1e kwartaal;111.8;110.2;3.3;3.3
225;2008 april;103.2;110.0;-1.9;2.1
226;2008 mei;107.9;109.4;-6.9;0.2
227;2008 juni;115.8;108.3;-9.9;-1.8
228;2008 2e kwartaal;109.0;108.3;-6.5;-1.8
229;2008 juli;99.2;107.6;-7.7;-2.6
230;2008 augustus;78.2;106.9;-10.4;-3.4
231;2008 september;106.7;106.8;-0.8;-3.1
232;2008 3e kwartaal;94.7;106.8;-6.0;-3.1
233;2008 oktober;92.3;104.3;-24.3;-5.4
234;2008 november;74.8;102.0;-27.6;-7.3
235;2008 december;92.3;100.5;-16.1;-8.1
236;2008 4e kwartaal;86.5;100.5;-22.6;-8.1
237;2008;100.5;100.5;-8.1;-8.1
238;2009 januari;63.3;95.9;-46.3;-46.3
239;2009 februari;80.7;93.8;-24.1;-35.8
240;2009 maart;85.2;91.6;-23.3;-31.6
241;2009 1e kwartaal;76.4;91.6;-31.6;-31.6
242;2009 april;68.9;88.8;-33.2;-32.0
243;2009 mei;68.5;85.5;-36.5;-32.9
244;2009 juni;81.5;82.6;-29.7;-32.3
245;2009 2e kwartaal;73.0;82.6;-33.0;-32.3
246;2009 juli;71.0;80.3;-28.4;-31.8
247;2009 augustus;57.8;78.6;-26.1;-31.3
248;2009 september;77.7;76.2;-27.2;-30.8
249;2009 3e kwartaal;68.8;76.2;-27.3;-30.8
250;2009 oktober;75.1;74.7;-18.7;-29.7
251;2009 november;66.9;74.1;-10.5;-28.5
252;2009 december;84.9;73.5;-8.1;-26.9
253;2009 4e kwartaal;75.6;73.5;-12.5;-26.9
254;2009;73.5;73.5;-26.9;-26.9
255;2010 januari;67.3;73.8;6.4;6.4
256;2010 februari;75.1;73.3;-7.0;-1.1
257;2010 maart;104.5;74.9;22.7;7.7
258;2010 1e kwartaal;82.3;74.9;7.7;7.7
259;2010 april;80.2;75.9;16.3;9.7
260;2010 mei;83.9;77.2;22.5;12.1
261;2010 juni;98.4;78.6;20.8;13.7
262;2010 2e kwartaal;87.5;78.6;19.9;13.7
263;2010 juli;83.5;79.6;17.6;14.2
264;2010 augustus;72.6;80.8;25.7;15.4
265;2010 september;97.6;82.5;25.6;16.6
266;2010 3e kwartaal;84.6;82.5;22.9;16.6
267;2010 oktober;94.9;84.1;26.3;17.6
268;2010 november;85.0;85.7;27.1;18.4
269;2010 december;109.1;87.7;28.5;20.4
270;2010 4e kwartaal;96.3;87.7;27.3;23.4
271;2010;87.7;87.7;19.4;19.4
272;2011 januari;87.0;89.3;29.3;29.3
273;2011 februari;103.1;91.7;37.4;33.5
274;2011 maart;115.3;92.6;10.3;23.7
275;2011 1e kwartaal;101.8;92.6;23.7;23.7
276;2011 april;100.1;94.2;24.9;24.0
277;2011 mei;102.4;95.8;22.0;23.6
278;2011 juni;102.1;96.1;3.7;19.8
279;2011 2e kwartaal;101.5;96.1;16.0;19.8
280;2011 juli;92.4;96.8;10.7;18.5
281;2011 augustus;78.2;97.3;7.6;17.3
282;2011 september;103.5;97.8;6.0;15.9
283;2011 3e kwartaal;90.7;97.6;7.3;15.6
284;2011 oktober;97.7;98.0;3.0;14.4
285;2011 november;93.3;98.7;9.7;14.0
286;2011 december;113.1;99.0;3.8;12.9
287;2011 4e kwartaal;101.4;98.9;5.2;12.7
288;2011;99.0;99.0;12.9;12.9
289;2012 januari;95.0;99.7;9.1;11.6
290;2012 februari;97.9;99.2;-5.1;8.3
291;2012 maart;113.9;99.1;-1.2;7.1
292;2012 1e kwartaal;101.9;98.9;0.0;6.8
293;2012 april;114.4;100.3;14.3;6.5
294;2012 mei;125.3;102.2;22.3;6.7
295;2012 juni;140.2;105.4;37.3;9.7
296;2012 2e kwartaal;126.6;105.1;24.7;9.4
297;2012 juli;73.7;103.8;-20.2;7.3
298;2012 augustus;65.8;102.8;-15.9;5.7
299;2012 september;88.3;101.5;-13.0;3.9
300;2012 3e kwartaal;75.9;101.4;-16.3;3.9
301;2012 oktober;93.6;101.2;-4.2;3.3
302;2012 november;85.4;100.5;-8.5;1.9
303;2012 december;99.0;99.4;-12.0;0.4
304;2012 4e kwartaal;92.7;99.3;-8.6;0.4
305;2012;99.4;99.4;0.4;0.4
