ID;Regio;Perioden;NederlandTotaal_1;Groningen_2;Friesland_3;Drenthe_4;Overijssel_5;Flevoland_6;Gelderland_7;Utrecht_8;NoordHolland_9;ZuidHolland_10;Zeeland_11;NoordBrabant_12;Limburg_13;BuitenlandOnbekend_14
29;Woonregio Drenthe (PV);1995 september - 1996 augustus;24626;2050.0;594.0;18694.0;1637.0;58.0;353;177;346;318;15.0;55;39.0;292
30;Woonregio Drenthe (PV);2001 december - 2002 november;21661;1265.0;449.0;16965.0;1480.0;146.0;210;150;376;77;;56;25.0;461
31;Woonregio Drenthe (PV);2006 oktober - 2007 september;25128;3453.0;508.0;17694.0;1573.0;109.0;325;194;358;95;0.0;183;28.0;609
32;Woonregio Overijssel (PV);1990 mei - 1991 april;55744;302.0;517.0;1447.0;45576.0;409.0;3595;568;713;553;58.0;261;154.0;1592
33;Woonregio Overijssel (PV);1995 september - 1996 augustus;59122;328.0;279.0;1501.0;48508.0;293.0;4834;444;860;492;39.0;282;113.0;1149
34;Woonregio Overijssel (PV);2001 december - 2002 november;58537;445.0;584.0;1179.0;46282.0;626.0;4162;936;1315;663;;484;116.0;1745
35;Woonregio Overijssel (PV);2006 oktober - 2007 september;55678;272.0;286.0;1390.0;45072.0;602.0;3571;703;887;928;103.0;503;162.0;1198
36;Woonregio Flevoland (PV);1990 mei - 1991 april;9409;116.0;276.0;75.0;485.0;5195.0;620;344;1884;262;51.0;24;26.0;51
37;Woonregio Flevoland (PV);1995 september - 1996 augustus;14978;10.0;194.0;184.0;489.0;9729.0;911;582;2380;159;132.0;86;24.0;98
38;Woonregio Flevoland (PV);2001 december - 2002 november;13637;90.0;365.0;153.0;649.0;9063.0;472;618;1659;366;;112;74.0;17
39;Woonregio Flevoland (PV);2006 oktober - 2007 september;16205;87.0;318.0;175.0;618.0;10147.0;1169;1210;1737;417;0.0;125;129.0;75
40;Woonregio Gelderland (PV);1990 mei - 1991 april;105597;207.0;341.0;368.0;3436.0;499.0;85340;3716;2501;2554;72.0;3431;1295.0;1838
41;Woonregio Gelderland (PV);1995 september - 1996 augustus;105331;162.0;178.0;423.0;3418.0;416.0;86713;3967;2694;1950;131.0;3015;866.0;1397
42;Woonregio Gelderland (PV);2001 december - 2002 november;116296;183.0;656.0;516.0;4677.0;1128.0;91179;4598;3272;3089;83.0;3600;1482.0;1832
43;Woonregio Gelderland (PV);2006 oktober - 2007 september;103954;285.0;254.0;369.0;3830.0;539.0;79236;6485;3574;2479;250.0;3704;688.0;2262
44;Woonregio Utrecht (PV);1990 mei - 1991 april;55055;139.0;216.0;195.0;359.0;369.0;3079;40601;5197;2773;172.0;1289;387.0;279
45;Woonregio Utrecht (PV);1995 september - 1996 augustus;63933;180.0;137.0;269.0;666.0;300.0;3039;49385;5654;2449;182.0;1035;358.0;278
46;Woonregio Utrecht (PV);2001 december - 2002 november;71529;128.0;400.0;141.0;480.0;533.0;4208;51619;5747;4641;17.0;1935;810.0;869
47;Woonregio Utrecht (PV);2006 oktober - 2007 september;67993;86.0;106.0;254.0;597.0;613.0;4045;49382;6549;3673;65.0;1613;602.0;408
48;Woonregio Noord Holland (PV);1990 mei - 1991 april;130915;257.0;775.0;404.0;484.0;597.0;2137;4072;115532;4071;103.0;1342;625.0;517
49;Woonregio Noord Holland (PV);1995 september - 1996 augustus;155174;448.0;531.0;691.0;669.0;1026.0;2208;5102;136001;5980;183.0;1444;297.0;595
50;Woonregio Noord Holland (PV);2001 december - 2002 november;167683;586.0;445.0;470.0;834.0;1883.0;2555;4483;147284;6002;;1343;1179.0;619
51;Woonregio Noord Holland (PV);2006 oktober - 2007 september;148206;792.0;638.0;262.0;689.0;1232.0;1708;4344;130368;6154;311.0;1120;235.0;353
52;Woonregio Zuid Holland (PV);1990 mei - 1991 april;184499;385.0;371.0;413.0;506.0;291.0;2811;3410;6268;163073;1550.0;3608;542.0;1270
53;Woonregio Zuid Holland (PV);1995 september - 1996 augustus;210043;330.0;437.0;583.0;716.0;417.0;3329;4155;7512;184698;1329.0;4702;549.0;1285
54;Woonregio Zuid Holland (PV);2001 december - 2002 november;224391;849.0;337.0;375.0;380.0;740.0;3750;6162;8656;193766;1542.0;5901;798.0;1135
55;Woonregio Zuid Holland (PV);2006 oktober - 2007 september;190457;753.0;281.0;203.0;862.0;334.0;2514;5160;7385;164701;1373.0;5497;586.0;808
56;Woonregio Zeeland (PV);1990 mei - 1991 april;21183;;;56.0;14.0;;154;26;121;722;18011.0;865;10.0;1204
57;Woonregio Zeeland (PV);1995 september - 1996 augustus;23066;;;32.0;48.0;;177;129;334;826;18340.0;1073;57.0;2053
58;Woonregio Zeeland (PV);2001 december - 2002 november;21042;105.0;;;76.0;25.0;118;142;110;768;17292.0;1131;102.0;1172
59;Woonregio Zeeland (PV);2006 oktober - 2007 september;18631;40.0;39.0;32.0;65.0;56.0;103;128;242;931;14611.0;1431;0.0;952
60;Woonregio Noord Brabant (PV);1990 mei - 1991 april;138494;141.0;194.0;244.0;454.0;58.0;3727;1147;2143;3561;1574.0;117535;3212.0;4501
61;Woonregio Noord Brabant (PV);1995 september - 1996 augustus;137865;127.0;164.0;294.0;526.0;157.0;3682;1384;2089;3017;1345.0;118096;2916.0;4068
62;Woonregio Noord Brabant (PV);2001 december - 2002 november;149113;163.0;112.0;561.0;361.0;374.0;4240;1000;1739;4715;2261.0;125506;3082.0;4998
63;Woonregio Noord Brabant (PV);2006 oktober - 2007 september;140012;179.0;31.0;136.0;474.0;73.0;4225;1343;2489;4957;1884.0;115957;3307.0;4956
64;Woonregio Limburg (PV);1990 mei - 1991 april;77594;48.0;14.0;51.0;175.0;;854;328;661;462;24.0;2019;66086.0;6873
65;Woonregio Limburg (PV);1995 september - 1996 augustus;73639;31.0;35.0;12.0;32.0;39.0;911;338;583;1192;85.0;2865;62414.0;5102
66;Woonregio Limburg (PV);2001 december - 2002 november;68507;38.0;23.0;59.0;;;1121;299;691;178;29.0;1833;57694.0;6540
67;Woonregio Limburg (PV);2006 oktober - 2007 september;75578;49.0;0.0;59.0;129.0;100.0;1805;363;808;615;229.0;3610;60423.0;7390
