ID;TypeVoertuig;Perioden;Prijsindexcijfers_1;KwartaalMutatie_2;Jaarmutatie_3;Wegingscoefficienten_4
105;Personenenauto's C;1998 1e Kwartaal;119.5;-0.2;2.2;15
106;Personenenauto's C;1998 2e Kwartaal;122.1;2.2;2.9;15
107;Personenenauto's C;1998 3e Kwartaal;120.7;-1.1;1.7;15
108;Personenenauto's C;1998 4e Kwartaal;121.6;0.7;1.6;15
109;Personenenauto's C;1998;121.0;;2.1;15
110;Personenenauto's C;1999 1e Kwartaal;120.9;-0.6;1.2;15
111;Personenenauto's C;1999 2e Kwartaal;121.1;0.2;-0.8;15
112;Personenenauto's C;1999 3e Kwartaal;125.4;3.6;3.9;15
113;Personenenauto's C;1999 4e Kwartaal;127.3;1.5;4.7;15
114;Personenenauto's C;1999;123.7;;2.2;15
115;Personenenauto's C;2000 1e Kwartaal;131.4;3.2;8.7;15
116;Personenenauto's C;2000 2e Kwartaal;132.9;1.1;9.7;15
117;Personenenauto's C;2000 3e Kwartaal;134.3;1.1;7.1;15
118;Personenenauto's C;2000 4e Kwartaal;134.1;-0.1;5.3;15
119;Personenenauto's C;2000;133.2;;7.7;15
120;Personenenauto's C;2001 1e Kwartaal;133.6;-0.4;1.7;15
121;Personenenauto's C;2001 2e Kwartaal;134.3;0.5;1.1;15
122;Personenenauto's C;2001 3e kwartaal;134.0;-0.2;-0.2;15
123;Personenenauto's C;2001 4e kwartaal;132.7;;;15
124;Personenenauto's C;2001;133.7;;;15
125;Bestelauto's;1997 1e Kwartaal;103.8;;;10
126;Bestelauto's;1997 2e Kwartaal;105.8;1.9;;10
127;Bestelauto's;1997 3e Kwartaal;105.8;0.0;;10
128;Bestelauto's;1997 4e Kwartaal;106.3;0.5;;10
129;Bestelauto's;1997;105.4;;;10
130;Bestelauto's;1998 1e Kwartaal;103.3;-2.8;-0.5;10
131;Bestelauto's;1998 2e Kwartaal;105.9;2.5;0.1;10
132;Bestelauto's;1998 3e Kwartaal;96.1;-9.3;-9.2;10
133;Bestelauto's;1998 4e Kwartaal;100.7;4.8;-5.3;10
134;Bestelauto's;1998;101.5;;-3.7;10
135;Bestelauto's;1999 1e Kwartaal;100.1;-0.6;-3.1;10
136;Bestelauto's;1999 2e Kwartaal;100.7;0.6;-4.9;10
137;Bestelauto's;1999 3e Kwartaal;102.9;2.2;7.1;10
138;Bestelauto's;1999 4e Kwartaal;102.4;-0.5;1.7;10
139;Bestelauto's;1999;101.5;;0.0;10
140;Bestelauto's;2000 1e Kwartaal;104.7;2.2;4.6;10
141;Bestelauto's;2000 2e Kwartaal;105.6;0.9;4.9;10
142;Bestelauto's;2000 3e Kwartaal;107.4;1.7;4.4;10
143;Bestelauto's;2000 4e Kwartaal;106.2;-1.1;3.7;10
144;Bestelauto's;2000;106.0;;4.4;10
145;Bestelauto's;2001 1e Kwartaal;107.3;1.0;2.5;10
146;Bestelauto's;2001 2e Kwartaal;107.5;0.2;1.8;10
147;Bestelauto's;2001 3e kwartaal;106.4;-1.0;-0.9;10
148;Bestelauto's;2001 4e kwartaal;105.9;;;10
149;Bestelauto's;2001;106.8;;;10
150;Vrachtauto's;1997 1e Kwartaal;107.3;;;13
151;Vrachtauto's;1997 2e Kwartaal;107.0;-0.3;;13
152;Vrachtauto's;1997 3e Kwartaal;106.7;-0.3;;13
153;Vrachtauto's;1997 4e Kwartaal;106.9;0.2;;13
154;Vrachtauto's;1997;107.0;;;13
155;Vrachtauto's;1998 1e Kwartaal;108.2;1.2;0.8;13
156;Vrachtauto's;1998 2e Kwartaal;112.2;3.7;4.9;13
157;Vrachtauto's;1998 3e Kwartaal;110.2;-1.8;3.3;13
158;Vrachtauto's;1998 4e Kwartaal;109.7;-0.5;2.6;13
159;Vrachtauto's;1998;110.1;;2.9;13
160;Vrachtauto's;1999 1e Kwartaal;109.9;0.2;1.6;13
161;Vrachtauto's;1999 2e Kwartaal;110.3;0.4;-1.7;13
162;Vrachtauto's;1999 3e Kwartaal;110.9;0.5;0.6;13
163;Vrachtauto's;1999 4e Kwartaal;110.1;-0.7;0.4;13
164;Vrachtauto's;1999;110.3;;0.2;13
165;Vrachtauto's;2000 1e Kwartaal;111.4;1.2;1.4;13
166;Vrachtauto's;2000 2e Kwartaal;111.9;0.4;1.5;13
167;Vrachtauto's;2000 3e Kwartaal;111.8;-0.1;0.8;13
168;Vrachtauto's;2000 4e Kwartaal;113.7;1.7;3.3;13
169;Vrachtauto's;2000;112.2;;1.7;13
170;Vrachtauto's;2001 1e Kwartaal;112.0;-1.5;0.5;13
171;Vrachtauto's;2001 2e Kwartaal;111.7;-0.3;-0.2;13
172;Vrachtauto's;2001 3e kwartaal;110.9;-0.7;-0.8;13
173;Vrachtauto's;2001 4e kwartaal;110.2;;;13
174;Vrachtauto's;2001;111.2;;;13
