ID;Vakantiekenmerken;Marges;RegioS;Perioden;TotaalNederlanders_1;PercentageNederlanders_2;TotaalVakanties_3;GemiddeldPerDeelnemer_4;TotaalVakantiedagen_5;GemiddeldPerDeelnemer_6;GemiddeldPerVakantie_7;TotaalOvernachtingen_8;GemiddeldPerDeelnemer_9;GemiddeldPerVakantie_10;TotaalVakantieUitgaven_11;GemiddeldPerDeelnemer_12;GemiddeldPerPersoonPerVakantie_13;GemiddeldPerPersoonPerVakantiedag_14
263;Totaal vakanties;Ondergrens 95%-interval;Oost-Nederland (LD);2023;3126.0;21.2;4354.0;1.4;24536.0;7.5;;20062.0;6.1;;1113.0;341.0;;
264;Totaal vakanties;Ondergrens 95%-interval;West-Nederland (LD);2021;4468.0;30.9;7084.0;1.5;37292.0;8.1;;30117.0;6.5;;1872.0;407.0;;
265;Totaal vakanties;Ondergrens 95%-interval;West-Nederland (LD);2022;3460.0;23.7;4993.0;1.4;25858.0;7.2;;20762.0;5.8;;1211.0;339.0;;
266;Totaal vakanties;Ondergrens 95%-interval;West-Nederland (LD);2023;3383.0;22.9;4858.0;1.4;24613.0;6.9;;19625.0;5.5;;1201.0;339.0;;
267;Totaal vakanties;Ondergrens 95%-interval;Zuid-Nederland (LD);2021;2851.0;19.7;3922.0;1.3;21286.0;7.2;;17299.0;5.9;;1012.0;343.0;;
268;Totaal vakanties;Ondergrens 95%-interval;Zuid-Nederland (LD);2022;2468.0;16.9;3218.0;1.3;16359.0;6.4;;13076.0;5.1;;769.0;300.0;;
269;Totaal vakanties;Ondergrens 95%-interval;Zuid-Nederland (LD);2023;2622.0;17.8;3399.0;1.2;16932.0;6.1;;13461.0;4.9;;854.0;310.0;;
270;Totaal vakanties;Ondergrens 95%-interval;Landsdeel onbekend (LD);2021;434.0;3.0;534.0;1.2;3222.0;6.9;;2666.0;5.6;;141.0;299.0;;
271;Totaal vakanties;Ondergrens 95%-interval;Landsdeel onbekend (LD);2022;68.0;0.5;74.0;1.0;391.0;4.6;;306.0;3.5;;17.0;221.0;;
272;Totaal vakanties;Ondergrens 95%-interval;Landsdeel onbekend (LD);2023;;;;;;;;;;;;;;
273;Totaal vakanties;Ondergrens 95%-interval;Groningen (PV);2021;350.0;2.4;407.0;1.1;2128.0;5.6;;1703.0;4.4;;93.0;238.0;;
274;Totaal vakanties;Ondergrens 95%-interval;Groningen (PV);2022;303.0;2.1;339.0;1.1;1503.0;4.6;;1147.0;3.4;;66.0;200.0;;
275;Totaal vakanties;Ondergrens 95%-interval;Groningen (PV);2023;320.0;2.2;362.0;1.1;1470.0;4.0;;1089.0;2.9;;74.0;202.0;;
276;Totaal vakanties;Ondergrens 95%-interval;Fryslân (PV);2021;1264.0;8.7;1650.0;1.3;10502.0;7.9;;8809.0;6.6;;520.0;392.0;;
277;Totaal vakanties;Ondergrens 95%-interval;Fryslân (PV);2022;1127.0;7.7;1458.0;1.3;8724.0;7.4;;7230.0;6.1;;413.0;348.0;;
278;Totaal vakanties;Ondergrens 95%-interval;Fryslân (PV);2023;1110.0;7.5;1409.0;1.2;8312.0;7.1;;6847.0;5.8;;423.0;359.0;;
279;Totaal vakanties;Ondergrens 95%-interval;Drenthe (PV);2021;1018.0;7.0;1215.0;1.2;7507.0;7.0;;6266.0;5.8;;334.0;311.0;;
280;Totaal vakanties;Ondergrens 95%-interval;Drenthe (PV);2022;924.0;6.3;1072.0;1.1;6238.0;6.4;;5144.0;5.3;;264.0;269.0;;
281;Totaal vakanties;Ondergrens 95%-interval;Drenthe (PV);2023;772.0;5.2;861.0;1.1;5302.0;6.4;;4403.0;5.2;;234.0;280.0;;
282;Totaal vakanties;Ondergrens 95%-interval;Overijssel (PV);2021;1159.0;8.0;1510.0;1.2;8819.0;7.2;;7258.0;5.9;;362.0;296.0;;
283;Totaal vakanties;Ondergrens 95%-interval;Overijssel (PV);2022;1124.0;7.7;1331.0;1.1;7335.0;6.2;;5968.0;5.0;;320.0;270.0;;
284;Totaal vakanties;Ondergrens 95%-interval;Overijssel (PV);2023;1066.0;7.2;1226.0;1.1;7298.0;6.4;;6002.0;5.3;;344.0;301.0;;
285;Totaal vakanties;Ondergrens 95%-interval;Flevoland (PV);2021;208.0;1.5;240.0;1.1;1268.0;5.5;;1016.0;4.4;;52.0;228.0;;
286;Totaal vakanties;Ondergrens 95%-interval;Flevoland (PV);2022;233.0;1.6;245.0;1.0;1325.0;5.2;;1065.0;4.1;;52.0;199.0;;
287;Totaal vakanties;Ondergrens 95%-interval;Flevoland (PV);2023;247.0;1.7;264.0;1.0;1161.0;4.2;;883.0;3.1;;49.0;172.0;;
288;Totaal vakanties;Ondergrens 95%-interval;Gelderland (PV);2021;2264.0;15.6;3171.0;1.4;17356.0;7.4;;14089.0;6.0;;742.0;315.0;;
289;Totaal vakanties;Ondergrens 95%-interval;Gelderland (PV);2022;1965.0;13.4;2600.0;1.3;14426.0;7.1;;11759.0;5.7;;589.0;289.0;;
290;Totaal vakanties;Ondergrens 95%-interval;Gelderland (PV);2023;2126.0;14.4;2712.0;1.2;14705.0;6.6;;11923.0;5.3;;664.0;296.0;;
291;Totaal vakanties;Ondergrens 95%-interval;Utrecht (PV);2021;577.0;4.0;669.0;1.1;2866.0;4.5;;2181.0;3.4;;111.0;173.0;;
292;Totaal vakanties;Ondergrens 95%-interval;Utrecht (PV);2022;544.0;3.7;653.0;1.1;2849.0;4.9;;2167.0;3.7;;112.0;191.0;;
293;Totaal vakanties;Ondergrens 95%-interval;Utrecht (PV);2023;554.0;3.8;648.0;1.1;2820.0;4.6;;2121.0;3.4;;133.0;220.0;;
294;Totaal vakanties;Ondergrens 95%-interval;Noord-Holland (PV);2021;1964.0;13.6;2582.0;1.3;13459.0;6.6;;10823.0;5.3;;723.0;352.0;;
295;Totaal vakanties;Ondergrens 95%-interval;Noord-Holland (PV);2022;1502.0;10.3;1888.0;1.2;9771.0;6.2;;7825.0;5.0;;500.0;317.0;;
296;Totaal vakanties;Ondergrens 95%-interval;Noord-Holland (PV);2023;1388.0;9.4;1742.0;1.2;8276.0;5.5;;6472.0;4.3;;466.0;313.0;;
297;Totaal vakanties;Ondergrens 95%-interval;Zuid-Holland (PV);2021;1362.0;9.4;1786.0;1.3;8267.0;5.8;;6433.0;4.5;;399.0;278.0;;
298;Totaal vakanties;Ondergrens 95%-interval;Zuid-Holland (PV);2022;1036.0;7.1;1252.0;1.2;5209.0;4.7;;3887.0;3.5;;247.0;226.0;;
299;Totaal vakanties;Ondergrens 95%-interval;Zuid-Holland (PV);2023;1127.0;7.7;1338.0;1.1;5819.0;4.8;;4400.0;3.6;;269.0;221.0;;
300;Totaal vakanties;Ondergrens 95%-interval;Zeeland (PV);2021;1281.0;8.8;1663.0;1.2;10389.0;7.7;;8678.0;6.4;;506.0;378.0;;
301;Totaal vakanties;Ondergrens 95%-interval;Zeeland (PV);2022;797.0;5.5;977.0;1.2;6382.0;7.5;;5378.0;6.3;;286.0;335.0;;
302;Totaal vakanties;Ondergrens 95%-interval;Zeeland (PV);2023;709.0;4.8;846.0;1.1;5469.0;7.0;;4593.0;5.8;;250.0;322.0;;
303;Totaal vakanties;Ondergrens 95%-interval;Noord-Brabant (PV);2021;1380.0;9.5;1770.0;1.2;9253.0;6.3;;7432.0;5.1;;386.0;265.0;;
304;Totaal vakanties;Ondergrens 95%-interval;Noord-Brabant (PV);2022;1190.0;8.2;1473.0;1.2;6936.0;5.5;;5417.0;4.3;;281.0;225.0;;
305;Totaal vakanties;Ondergrens 95%-interval;Noord-Brabant (PV);2023;1305.0;8.9;1565.0;1.1;7273.0;5.1;;5655.0;4.0;;339.0;240.0;;
306;Totaal vakanties;Ondergrens 95%-interval;Limburg (PV);2021;1678.0;11.6;2033.0;1.2;11328.0;6.5;;9254.0;5.3;;588.0;337.0;;
