ID;Geslacht;Leeftijd;Perioden;TotaalSlachtoffersMoordEnDoodslag_1;SlachtoffersMoordEnDoodslagRelatief_2;OphangenVerwurgenOfVerstikken_3;SlaanOfSchoppen_4;Vuurwapen_5;SteekOfSlagwapen_6;OverigeOfOnbekendeWijze_7;WoningVanHetSlachtofferOfAnderen_8;LocatieVoorHandelEnDienstverlening_9;OpenbareWeg_10;OverigeOfOnbekendeLocatie_11
209;Mannen;20 tot 30 jaar;1998;45;39.8;2.0;1.0;24.0;14.0;4.0;11.0;3.0;17.0;14.0
210;Mannen;20 tot 30 jaar;1999;40;36.5;1.0;0.0;22.0;15.0;2.0;8.0;5.0;13.0;14.0
211;Mannen;20 tot 30 jaar;2000;39;36.6;0.0;2.0;16.0;16.0;5.0;10.0;5.0;10.0;14.0
212;Mannen;20 tot 30 jaar;2001;39;37.5;0.0;1.0;24.0;7.0;7.0;5.0;5.0;18.0;11.0
213;Mannen;20 tot 30 jaar;2002;36;35.3;0.0;1.0;20.0;13.0;2.0;8.0;5.0;17.0;6.0
214;Mannen;20 tot 30 jaar;2003;25;24.9;0.0;1.0;10.0;13.0;1.0;5.0;4.0;12.0;4.0
215;Mannen;20 tot 30 jaar;2004;24;24.2;0.0;1.0;11.0;9.0;3.0;9.0;1.0;8.0;6.0
216;Mannen;20 tot 30 jaar;2005;25;25.3;0.0;3.0;10.0;11.0;1.0;7.0;2.0;15.0;1.0
217;Mannen;20 tot 30 jaar;2006;19;19.3;2.0;0.0;5.0;11.0;1.0;5.0;1.0;8.0;5.0
218;Mannen;20 tot 30 jaar;2007;23;23.3;1.0;0.0;12.0;9.0;1.0;10.0;3.0;7.0;3.0
219;Mannen;20 tot 30 jaar;2008;27;27.1;1.0;2.0;9.0;13.0;2.0;8.0;1.0;17.0;1.0
220;Mannen;20 tot 30 jaar;2009;29;28.7;0.0;2.0;18.0;8.0;1.0;14.0;0.0;11.0;4.0
221;Mannen;20 tot 30 jaar;2010;22;21.6;0.0;3.0;7.0;12.0;0.0;7.0;3.0;11.0;1.0
222;Mannen;20 tot 30 jaar;2011;23;22.3;0.0;1.0;14.0;8.0;0.0;4.0;3.0;13.0;3.0
223;Mannen;20 tot 30 jaar;2012;21;20.1;0.0;1.0;11.0;6.0;3.0;5.0;2.0;11.0;3.0
224;Mannen;20 tot 30 jaar;2013;21;19.9;1.0;2.0;8.0;9.0;1.0;9.0;2.0;7.0;3.0
225;Mannen;20 tot 30 jaar;2014;22;20.6;;;;;;;;;
226;Mannen;20 tot 30 jaar;2015;23;21.4;;;;;;;;;
227;Mannen;20 tot 30 jaar;2016;19;16.5;;;;;;;;;
228;Mannen;20 tot 30 jaar;2017;27;24.6;;;;;;;;;
229;Mannen;20 tot 30 jaar;2018;16;14.4;;;;;;;;;
230;Mannen;30 tot 40 jaar;1996;38;29.0;0.0;2.0;21.0;13.0;2.0;11.0;4.0;12.0;11.0
231;Mannen;30 tot 40 jaar;1997;41;31.1;1.0;3.0;18.0;13.0;6.0;10.0;5.0;8.0;18.0
232;Mannen;30 tot 40 jaar;1998;36;27.1;0.0;3.0;16.0;11.0;6.0;7.0;3.0;10.0;16.0
233;Mannen;30 tot 40 jaar;1999;50;37.4;0.0;3.0;30.0;15.0;2.0;15.0;2.0;21.0;12.0
234;Mannen;30 tot 40 jaar;2000;43;32.0;0.0;0.0;28.0;12.0;3.0;10.0;6.0;14.0;13.0
235;Mannen;30 tot 40 jaar;2001;47;34.9;0.0;1.0;24.0;18.0;4.0;16.0;3.0;17.0;11.0
236;Mannen;30 tot 40 jaar;2002;53;39.6;0.0;2.0;29.0;19.0;3.0;21.0;4.0;18.0;10.0
237;Mannen;30 tot 40 jaar;2003;44;33.4;1.0;0.0;27.0;12.0;4.0;15.0;4.0;17.0;8.0
238;Mannen;30 tot 40 jaar;2004;45;35.0;3.0;3.0;18.0;21.0;0.0;13.0;7.0;19.0;6.0
239;Mannen;30 tot 40 jaar;2005;29;23.3;0.0;0.0;19.0;7.0;3.0;12.0;5.0;12.0;0.0
240;Mannen;30 tot 40 jaar;2006;28;23.2;1.0;1.0;14.0;11.0;1.0;15.0;2.0;5.0;6.0
241;Mannen;30 tot 40 jaar;2007;23;19.6;0.0;0.0;12.0;8.0;3.0;12.0;3.0;5.0;3.0
242;Mannen;30 tot 40 jaar;2008;38;33.4;1.0;0.0;18.0;16.0;3.0;14.0;3.0;17.0;4.0
243;Mannen;30 tot 40 jaar;2009;29;26.2;1.0;0.0;15.0;13.0;0.0;13.0;3.0;9.0;4.0
244;Mannen;30 tot 40 jaar;2010;20;18.6;0.0;0.0;9.0;10.0;1.0;7.0;2.0;8.0;3.0
245;Mannen;30 tot 40 jaar;2011;23;21.9;1.0;0.0;11.0;8.0;3.0;7.0;3.0;6.0;7.0
246;Mannen;30 tot 40 jaar;2012;19;18.4;0.0;2.0;12.0;4.0;1.0;9.0;3.0;5.0;2.0
247;Mannen;30 tot 40 jaar;2013;22;21.7;0.0;3.0;12.0;5.0;2.0;8.0;1.0;10.0;3.0
248;Mannen;30 tot 40 jaar;2014;26;25.8;;;;;;;;;
249;Mannen;30 tot 40 jaar;2015;17;16.8;;;;;;;;;
250;Mannen;30 tot 40 jaar;2016;18;17.6;;;;;;;;;
251;Mannen;30 tot 40 jaar;2017;22;21.2;;;;;;;;;
252;Mannen;30 tot 40 jaar;2018;13;12.4;;;;;;;;;
253;Mannen;40 tot 50 jaar;1996;28;23.5;1.0;1.0;14.0;7.0;5.0;12.0;2.0;4.0;10.0
254;Mannen;40 tot 50 jaar;1997;28;23.7;1.0;1.0;15.0;9.0;2.0;7.0;0.0;10.0;11.0
255;Mannen;40 tot 50 jaar;1998;31;26.3;3.0;1.0;14.0;12.0;1.0;9.0;1.0;11.0;10.0
256;Mannen;40 tot 50 jaar;1999;35;29.5;2.0;4.0;16.0;11.0;2.0;18.0;3.0;9.0;5.0
257;Mannen;40 tot 50 jaar;2000;34;28.4;0.0;1.0;20.0;12.0;1.0;15.0;4.0;6.0;9.0
258;Mannen;40 tot 50 jaar;2001;39;32.1;0.0;3.0;20.0;14.0;2.0;19.0;1.0;13.0;6.0
259;Mannen;40 tot 50 jaar;2002;21;17.1;0.0;1.0;6.0;12.0;2.0;13.0;1.0;6.0;1.0
260;Mannen;40 tot 50 jaar;2003;24;19.3;1.0;2.0;10.0;7.0;4.0;11.0;3.0;7.0;3.0
261;Mannen;40 tot 50 jaar;2004;28;22.2;1.0;2.0;14.0;8.0;3.0;10.0;4.0;11.0;3.0
262;Mannen;40 tot 50 jaar;2005;30;23.5;2.0;0.0;16.0;6.0;6.0;12.0;6.0;10.0;2.0
263;Mannen;40 tot 50 jaar;2006;22;17.1;1.0;2.0;12.0;3.0;4.0;6.0;4.0;7.0;5.0
264;Mannen;40 tot 50 jaar;2007;21;16.3;0.0;2.0;9.0;10.0;0.0;11.0;2.0;7.0;1.0
265;Mannen;40 tot 50 jaar;2008;28;21.6;0.0;2.0;14.0;11.0;1.0;10.0;3.0;7.0;8.0
266;Mannen;40 tot 50 jaar;2009;19;14.6;1.0;4.0;4.0;9.0;1.0;9.0;2.0;7.0;1.0
267;Mannen;40 tot 50 jaar;2010;18;13.8;1.0;0.0;7.0;9.0;1.0;6.0;0.0;7.0;5.0
268;Mannen;40 tot 50 jaar;2011;25;19.1;0.0;1.0;12.0;10.0;2.0;12.0;4.0;5.0;4.0
269;Mannen;40 tot 50 jaar;2012;28;21.6;1.0;2.0;17.0;7.0;1.0;7.0;3.0;13.0;5.0
270;Mannen;40 tot 50 jaar;2013;16;12.5;0.0;2.0;9.0;3.0;2.0;5.0;2.0;3.0;6.0
