ID;SIC2008;Regions;Periods;InvestmentsInTangibleFixedAssets_1;Land_2;CorporateBuildings_3;NetworkInfrastructure_4;MeansOfTransport_5;ComputerHardwarePeripheralEquipment_6;MachineryAndInstallations_7;OtherTangibleFixedAssets_8
51;B-E Industry (no construction), energy;West-Nederland (LD);2015;6709.02;90.42;462.17;1643.18;489.16;79.91;3596.14;348.03
52;B-E Industry (no construction), energy;West-Nederland (LD);2016;5229.03;34.13;393.32;1065.24;352.74;111.41;3031.52;240.68
53;B-E Industry (no construction), energy;West-Nederland (LD);2017;5446.61;63.92;433.96;1157.72;230.54;156.66;3148.45;255.36
54;B-E Industry (no construction), energy;West-Nederland (LD);2018;6561.01;96.45;696.19;1001.43;199.32;101.18;4123.05;343.4
55;B-E Industry (no construction), energy;West-Nederland (LD);2019;9367.2;115.57;758.06;2292.67;1843.65;164.29;3722.36;470.6
56;B-E Industry (no construction), energy;West-Nederland (LD);2020;6993.33;62.5;679.73;1819.62;403.27;125.61;3528.28;374.23
57;B-E Industry (no construction), energy;West-Nederland (LD);2021;5877.72;103.52;636.72;1474.04;267.38;131.48;2946.28;318.21
58;B-E Industry (no construction), energy;West-Nederland (LD);2022;8219.45;52.58;660.1;1839.59;429.18;125.75;4659.51;452.64
59;B-E Industry (no construction), energy;West-Nederland (LD);2023;9626.67;;;;;;;
60;B-E Industry (no construction), energy;Zuid-Nederland (LD);2009;2918.82;38.53;413.07;277.16;114.12;98.79;1799.23;177.93
61;B-E Industry (no construction), energy;Zuid-Nederland (LD);2010;3041.04;37.01;307.37;438.73;238.07;90.6;1757.71;171.54
62;B-E Industry (no construction), energy;Zuid-Nederland (LD);2011;3831.11;73.95;539.27;521.87;365.57;86.39;2054.81;189.26
63;B-E Industry (no construction), energy;Zuid-Nederland (LD);2012;4239.41;43.81;411.87;401.21;93.82;86.28;3045.73;156.7
64;B-E Industry (no construction), energy;Zuid-Nederland (LD);2013;2974.29;62.29;495.29;323.67;88.86;71.77;1776.57;155.84
65;B-E Industry (no construction), energy;Zuid-Nederland (LD);2014;2822.87;44.35;351.79;377.74;86.5;84.58;1676.77;201.14
66;B-E Industry (no construction), energy;Zuid-Nederland (LD);2015;3418.69;47.31;561.92;424.22;113.24;80.82;2025.3;165.87
67;B-E Industry (no construction), energy;Zuid-Nederland (LD);2016;;;;;;;;
68;B-E Industry (no construction), energy;Zuid-Nederland (LD);2017;3593.83;78.38;539.04;406.68;128.65;101.32;2138.18;201.58
69;B-E Industry (no construction), energy;Zuid-Nederland (LD);2018;3682.72;84.75;712.09;345.45;124.35;107.3;2110.09;198.69
70;B-E Industry (no construction), energy;Zuid-Nederland (LD);2019;4624.52;74.49;989.75;344.29;133.08;125.7;2594.82;362.39
71;B-E Industry (no construction), energy;Zuid-Nederland (LD);2020;3902.91;56.57;682.95;398.41;129.36;120.96;2276.22;238.4
72;B-E Industry (no construction), energy;Zuid-Nederland (LD);2021;4619.16;105.49;1070.62;373.17;120.8;138.18;2418.12;392.72
73;B-E Industry (no construction), energy;Zuid-Nederland (LD);2022;4806.99;85.45;1122.3;585.55;134.01;145.92;2342.08;391.62
74;B-E Industry (no construction), energy;Zuid-Nederland (LD);2023;5168.55;;;;;;;
75;B-E Industry (no construction), energy;Unclassifiable (LD);2009;1272.68;0.38;0.58;683.84;0.86;1.33;585.4;0.28
76;B-E Industry (no construction), energy;Unclassifiable (LD);2010;;;;;;;;
77;B-E Industry (no construction), energy;Unclassifiable (LD);2011;;;;;;;;
78;B-E Industry (no construction), energy;Unclassifiable (LD);2012;;;;;;;;
79;B-E Industry (no construction), energy;Unclassifiable (LD);2013;;;;;;;;
80;B-E Industry (no construction), energy;Unclassifiable (LD);2014;;;;;;;;
81;B-E Industry (no construction), energy;Unclassifiable (LD);2015;;;;;;;;
82;B-E Industry (no construction), energy;Unclassifiable (LD);2016;;;;;;;;
83;B-E Industry (no construction), energy;Unclassifiable (LD);2017;;;;;;;;
84;B-E Industry (no construction), energy;Unclassifiable (LD);2018;;;;;;;;
85;B-E Industry (no construction), energy;Unclassifiable (LD);2019;82.85;0.13;0.37;36.76;24.64;0.19;16.07;4.68
86;B-E Industry (no construction), energy;Unclassifiable (LD);2020;233.83;0.0;0.05;3.56;0.0;0.0;230.15;0.08
87;B-E Industry (no construction), energy;Unclassifiable (LD);2021;487.6;0.0;0.0;0.99;0.0;0.0;486.6;0.0
88;B-E Industry (no construction), energy;Unclassifiable (LD);2022;4.23;0.0;0.0;0.0;0.0;0.0;4.22;0.0
89;B-E Industry (no construction), energy;Unclassifiable (LD);2023;72.76;;;;;;;
90;B-E Industry (no construction), energy;Groningen (PV);2009;769.48;5.95;45.17;154.88;21.74;6.63;511.52;23.59
91;B-E Industry (no construction), energy;Groningen (PV);2010;914.71;5.23;37.49;341.31;18.34;8.08;459.13;45.12
92;B-E Industry (no construction), energy;Groningen (PV);2011;1106.38;2.89;79.91;376.87;17.13;7.45;586.33;35.8
93;B-E Industry (no construction), energy;Groningen (PV);2012;694.36;8.04;48.39;69.61;41.03;9.77;493.44;24.08
94;B-E Industry (no construction), energy;Groningen (PV);2013;2997.8;3.24;60.59;441.08;10.86;27.82;2430.79;23.43
95;B-E Industry (no construction), energy;Groningen (PV);2014;1353.64;2.3;158.38;719.03;11.13;34.24;413.61;14.95
96;B-E Industry (no construction), energy;Groningen (PV);2015;2068.68;2.66;46.16;265.13;10.55;36.46;1679.29;28.43
97;B-E Industry (no construction), energy;Groningen (PV);2016;559.5;2.65;65.97;152.63;11.72;22.6;286.79;17.13
98;B-E Industry (no construction), energy;Groningen (PV);2017;538.09;5.75;41.58;133.12;17.06;19.26;308.71;12.6
99;B-E Industry (no construction), energy;Groningen (PV);2018;608.41;4.57;67.79;91.17;14.95;13.18;398.55;18.21
100;B-E Industry (no construction), energy;Groningen (PV);2019;;;;;;;;
101;B-E Industry (no construction), energy;Groningen (PV);2020;;;;;;;;
102;B-E Industry (no construction), energy;Groningen (PV);2021;;;;;;;;
103;B-E Industry (no construction), energy;Groningen (PV);2022;;;;;;;;
104;B-E Industry (no construction), energy;Groningen (PV);2023;;;;;;;;
105;B-E Industry (no construction), energy;Fryslân (PV);2009;372.27;3.6;55.41;74.41;16.29;8.07;188.66;25.83
106;B-E Industry (no construction), energy;Fryslân (PV);2010;;;;;;;;
107;B-E Industry (no construction), energy;Fryslân (PV);2011;;;;;;;;
108;B-E Industry (no construction), energy;Fryslân (PV);2012;588.73;2.94;78.71;75.72;16.99;7.93;378.28;28.16
109;B-E Industry (no construction), energy;Fryslân (PV);2013;;;;;;;;
110;B-E Industry (no construction), energy;Fryslân (PV);2014;669.28;2.29;157.97;32.47;15.35;6.32;422.07;32.81
111;B-E Industry (no construction), energy;Fryslân (PV);2015;561.77;8.58;79.12;49.86;22.33;15.38;347.71;38.78
112;B-E Industry (no construction), energy;Fryslân (PV);2016;356.02;2.59;52.86;50.96;18.5;9.99;199.6;21.52
113;B-E Industry (no construction), energy;Fryslân (PV);2017;322.69;6.56;48.44;16.02;20.6;11.42;187.88;31.76
114;B-E Industry (no construction), energy;Fryslân (PV);2018;;;;;;;;
115;B-E Industry (no construction), energy;Fryslân (PV);2019;;;;;;;;
116;B-E Industry (no construction), energy;Fryslân (PV);2020;;;;;;;;
117;B-E Industry (no construction), energy;Fryslân (PV);2021;;;;;;;;
118;B-E Industry (no construction), energy;Fryslân (PV);2022;;;;;;;;
119;B-E Industry (no construction), energy;Fryslân (PV);2023;;;;;;;;
120;B-E Industry (no construction), energy;Drenthe (PV);2009;280.7;2.4;28.63;52.52;14.48;7.49;158.24;16.94
121;B-E Industry (no construction), energy;Drenthe (PV);2010;;;;;;;;
122;B-E Industry (no construction), energy;Drenthe (PV);2011;950.87;0.89;33.28;375.33;12.06;8.77;501.09;19.46
123;B-E Industry (no construction), energy;Drenthe (PV);2012;;;;;;;;
124;B-E Industry (no construction), energy;Drenthe (PV);2013;258.94;0.87;18.6;20.89;8.02;4.71;183.84;22.02
125;B-E Industry (no construction), energy;Drenthe (PV);2014;242.4;5.51;23.51;31.41;9.6;5.84;154.89;11.65
126;B-E Industry (no construction), energy;Drenthe (PV);2015;696.31;6.41;22.3;164.86;11.54;6.67;460.04;24.49
127;B-E Industry (no construction), energy;Drenthe (PV);2016;530.11;3.44;54.36;116.14;13.25;8.21;314.93;19.79
128;B-E Industry (no construction), energy;Drenthe (PV);2017;335.22;8.36;35.12;56.49;13.0;8.81;187.75;25.69
129;B-E Industry (no construction), energy;Drenthe (PV);2018;609.87;21.02;68.38;60.0;11.49;15.23;411.56;22.2
130;B-E Industry (no construction), energy;Drenthe (PV);2019;;;;;;;;
131;B-E Industry (no construction), energy;Drenthe (PV);2020;;;;;;;;
132;B-E Industry (no construction), energy;Drenthe (PV);2021;;;;;;;;
133;B-E Industry (no construction), energy;Drenthe (PV);2022;;;;;;;;
134;B-E Industry (no construction), energy;Drenthe (PV);2023;;;;;;;;
135;B-E Industry (no construction), energy;Overijssel (PV);2009;944.81;11.11;154.21;59.27;39.32;21.99;583.67;75.24
136;B-E Industry (no construction), energy;Overijssel (PV);2010;;;;;;;;
137;B-E Industry (no construction), energy;Overijssel (PV);2011;724.8;5.63;113.11;55.63;40.45;22.49;428.05;59.44
138;B-E Industry (no construction), energy;Overijssel (PV);2012;887.76;15.23;99.21;96.13;36.9;25.01;569.09;46.19
139;B-E Industry (no construction), energy;Overijssel (PV);2013;611.72;19.79;105.12;52.77;37.65;24.69;324.19;47.53
140;B-E Industry (no construction), energy;Overijssel (PV);2014;686.94;17.53;160.6;35.07;30.94;19.73;364.16;58.9
141;B-E Industry (no construction), energy;Overijssel (PV);2015;805.79;7.29;121.05;154.15;38.13;23.2;397.78;64.19
142;B-E Industry (no construction), energy;Overijssel (PV);2016;862.98;14.31;118.15;187.84;45.66;31.41;403.55;62.06
143;B-E Industry (no construction), energy;Overijssel (PV);2017;852.71;22.15;109.9;199.73;42.16;24.54;407.56;46.67
144;B-E Industry (no construction), energy;Overijssel (PV);2018;1007.42;25.16;148.18;178.26;53.97;27.76;501.98;72.1
145;B-E Industry (no construction), energy;Overijssel (PV);2019;940.3;19.22;133.76;167.2;51.61;25.83;450.43;92.25
146;B-E Industry (no construction), energy;Overijssel (PV);2020;1035.75;22.85;183.06;182.29;51.77;23.4;432.04;140.32
147;B-E Industry (no construction), energy;Overijssel (PV);2021;1369.14;19.25;190.6;164.29;46.43;23.07;853.06;72.44
148;B-E Industry (no construction), energy;Overijssel (PV);2022;;;;;;;;
149;B-E Industry (no construction), energy;Overijssel (PV);2023;1143.86;;;;;;;
150;B-E Industry (no construction), energy;Flevoland (PV);2009;202.48;4.22;32.68;50.66;7.79;5.06;90.96;11.12
151;B-E Industry (no construction), energy;Flevoland (PV);2010;779.43;5.32;63.59;109.43;7.56;7.31;565.27;20.95
152;B-E Industry (no construction), energy;Flevoland (PV);2011;;;;;;;;
153;B-E Industry (no construction), energy;Flevoland (PV);2012;258.99;1.12;26.23;54.69;7.24;4.09;155.78;9.84
154;B-E Industry (no construction), energy;Flevoland (PV);2013;118.67;0.72;17.16;13.86;6.53;3.5;66.3;10.59
155;B-E Industry (no construction), energy;Flevoland (PV);2014;;;;;;;;
156;B-E Industry (no construction), energy;Flevoland (PV);2015;;;;;;;;
157;B-E Industry (no construction), energy;Flevoland (PV);2016;;;;;;;;
158;B-E Industry (no construction), energy;Flevoland (PV);2017;132.34;4.86;24.93;1.98;9.29;3.28;81.46;6.54
159;B-E Industry (no construction), energy;Flevoland (PV);2018;137.52;4.15;29.58;4.47;12.62;3.82;75.94;6.94
160;B-E Industry (no construction), energy;Flevoland (PV);2019;218.65;8.91;66.21;6.15;17.37;6.19;102.5;11.31
161;B-E Industry (no construction), energy;Flevoland (PV);2020;194.52;2.61;40.94;29.64;8.28;5.86;94.17;13.01
162;B-E Industry (no construction), energy;Flevoland (PV);2021;451.74;5.46;43.49;241.07;11.15;12.49;116.03;22.03
163;B-E Industry (no construction), energy;Flevoland (PV);2022;;;;;;;;
164;B-E Industry (no construction), energy;Flevoland (PV);2023;342.23;;;;;;;
165;B-E Industry (no construction), energy;Gelderland (PV);2009;874.2;21.82;135.15;91.08;67.6;27.69;444.47;86.38
166;B-E Industry (no construction), energy;Gelderland (PV);2010;924.54;8.87;125.28;200.07;49.98;26.45;441.08;72.79
167;B-E Industry (no construction), energy;Gelderland (PV);2011;1361.3;24.62;348.86;398.03;55.99;23.29;413.78;96.74
168;B-E Industry (no construction), energy;Gelderland (PV);2012;1217.5;29.32;138.65;292.76;75.83;28.43;596.35;56.15
169;B-E Industry (no construction), energy;Gelderland (PV);2013;1311.81;28.61;140.21;472.3;56.48;32.66;527.99;53.55
170;B-E Industry (no construction), energy;Gelderland (PV);2014;1241.8;27.82;209.69;322.2;46.83;40.25;538.32;56.69
171;B-E Industry (no construction), energy;Gelderland (PV);2015;1716.15;20.88;174.16;624.17;67.48;38.32;715.22;75.92
172;B-E Industry (no construction), energy;Gelderland (PV);2016;1564.31;24.35;187.06;432.32;60.97;41.92;737.34;80.36
173;B-E Industry (no construction), energy;Gelderland (PV);2017;1748.66;65.21;230.72;457.43;87.23;41.32;781.37;85.38
174;B-E Industry (no construction), energy;Gelderland (PV);2018;2217.03;74.36;297.49;753.14;75.06;43.28;863.87;109.83
175;B-E Industry (no construction), energy;Gelderland (PV);2019;2065.91;33.98;272.64;846.35;83.29;44.01;685.46;100.17
176;B-E Industry (no construction), energy;Gelderland (PV);2020;2084.95;46.36;301.54;755.4;70.96;35.29;771.64;103.74
177;B-E Industry (no construction), energy;Gelderland (PV);2021;1955.36;51.64;240.62;698.77;92.13;56.61;688.39;127.16
178;B-E Industry (no construction), energy;Gelderland (PV);2022;;;;;;;;
179;B-E Industry (no construction), energy;Gelderland (PV);2023;2041.35;;;;;;;
180;B-E Industry (no construction), energy;Utrecht (PV);2009;403.6;4.37;58.85;49.79;31.0;13.23;214.92;31.44
181;B-E Industry (no construction), energy;Utrecht (PV);2010;492.13;35.7;52.36;115.07;35.56;12.63;212.33;28.49
182;B-E Industry (no construction), energy;Utrecht (PV);2011;295.54;6.25;39.98;34.27;23.01;8.68;146.38;36.98
183;B-E Industry (no construction), energy;Utrecht (PV);2012;888.78;5.74;37.38;39.68;29.79;13.78;742.57;19.83
184;B-E Industry (no construction), energy;Utrecht (PV);2013;792.89;1.42;80.25;118.46;23.31;31.98;509.43;28.04
185;B-E Industry (no construction), energy;Utrecht (PV);2014;1335.55;3.97;40.45;152.11;21.9;10.42;1086.45;20.26
186;B-E Industry (no construction), energy;Utrecht (PV);2015;1420.21;10.89;37.84;792.58;23.45;8.03;479.09;68.32
187;B-E Industry (no construction), energy;Utrecht (PV);2016;785.41;4.95;87.99;210.12;26.07;13.65;413.04;29.58
188;B-E Industry (no construction), energy;Utrecht (PV);2017;621.13;11.84;64.82;181.85;33.71;17.5;284.12;27.29
189;B-E Industry (no construction), energy;Utrecht (PV);2018;673.44;15.99;60.62;226.58;30.78;14.65;299.51;25.31
190;B-E Industry (no construction), energy;Utrecht (PV);2019;544.9;7.87;58.21;64.04;38.31;15.04;327.41;34.02
191;B-E Industry (no construction), energy;Utrecht (PV);2020;570.24;6.45;81.93;36.37;33.18;12.1;369.21;30.99
192;B-E Industry (no construction), energy;Utrecht (PV);2021;537.72;4.9;75.84;21.44;37.33;14.09;340.62;43.49
193;B-E Industry (no construction), energy;Utrecht (PV);2022;688.27;9.25;81.2;26.24;44.42;17.74;452.34;57.06
194;B-E Industry (no construction), energy;Utrecht (PV);2023;703.69;;;;;;;
195;B-E Industry (no construction), energy;Noord-Holland (PV);2009;1503.07;8.45;132.45;147.45;66.25;30.69;994.07;123.7
196;B-E Industry (no construction), energy;Noord-Holland (PV);2010;1519.94;10.79;122.33;201.42;59.35;28.22;942.05;155.78
197;B-E Industry (no construction), energy;Noord-Holland (PV);2011;1296.81;8.23;116.57;89.9;75.04;42.57;873.31;91.19
198;B-E Industry (no construction), energy;Noord-Holland (PV);2012;1196.72;8.42;124.77;164.4;61.9;38.01;722.15;77.06
199;B-E Industry (no construction), energy;Noord-Holland (PV);2013;1815.62;5.2;111.43;278.05;42.78;34.23;1273.77;70.16
200;B-E Industry (no construction), energy;Noord-Holland (PV);2014;1220.96;5.06;133.49;196.17;55.54;33.8;749.25;47.64
201;B-E Industry (no construction), energy;Noord-Holland (PV);2015;1484.74;24.18;133.06;141.41;58.99;27.03;1054.69;45.38
202;B-E Industry (no construction), energy;Noord-Holland (PV);2016;1333.09;10.76;103.59;118.46;61.51;28.41;945.74;64.61
203;B-E Industry (no construction), energy;Noord-Holland (PV);2017;1712.62;20.54;118.58;430.26;65.43;32.96;962.72;82.13
204;B-E Industry (no construction), energy;Noord-Holland (PV);2018;1753.87;25.08;191.24;211.73;61.18;32.12;1149.69;82.84
205;B-E Industry (no construction), energy;Noord-Holland (PV);2019;2673.6;57.59;177.3;1247.27;416.77;52.24;613.27;109.16
206;B-E Industry (no construction), energy;Noord-Holland (PV);2020;2156.64;22.02;265.04;545.28;250.95;32.87;960.42;80.04
207;B-E Industry (no construction), energy;Noord-Holland (PV);2021;1846.14;21.86;202.33;481.87;62.29;53.45;919.04;105.26
208;B-E Industry (no construction), energy;Noord-Holland (PV);2022;2913.33;15.3;208.37;196.22;199.38;49.63;2147.72;96.65
209;B-E Industry (no construction), energy;Noord-Holland (PV);2023;3758.41;;;;;;;
210;B-E Industry (no construction), energy;Zuid-Holland (PV);2009;1923.89;19.25;206.46;148.27;101.53;49.2;1215.22;183.95
211;B-E Industry (no construction), energy;Zuid-Holland (PV);2010;2305.23;22.13;158.35;340.24;94.05;41.42;1483.0;166.02
212;B-E Industry (no construction), energy;Zuid-Holland (PV);2011;2772.24;25.09;226.07;971.23;89.35;49.44;1217.6;193.46
213;B-E Industry (no construction), energy;Zuid-Holland (PV);2012;3033.37;15.08;184.8;285.27;108.36;53.4;2144.8;241.66
214;B-E Industry (no construction), energy;Zuid-Holland (PV);2013;2387.78;24.26;152.9;437.84;417.89;41.3;1181.31;132.3
215;B-E Industry (no construction), energy;Zuid-Holland (PV);2014;5742.19;18.6;517.5;568.5;243.08;49.14;4083.62;261.74
216;B-E Industry (no construction), energy;Zuid-Holland (PV);2015;3491.98;52.89;267.76;663.91;392.27;38.91;1850.48;225.76
217;B-E Industry (no construction), energy;Zuid-Holland (PV);2016;2624.78;16.0;167.64;673.44;250.12;62.56;1322.33;132.71
218;B-E Industry (no construction), energy;Zuid-Holland (PV);2017;2647.26;25.49;211.19;542.14;117.84;96.02;1521.71;132.87
219;B-E Industry (no construction), energy;Zuid-Holland (PV);2018;3334.61;49.71;357.94;484.06;80.21;42.96;2099.16;220.58
220;B-E Industry (no construction), energy;Zuid-Holland (PV);2019;5629.03;47.33;444.46;906.89;1371.11;72.47;2487.71;299.07
221;B-E Industry (no construction), energy;Zuid-Holland (PV);2020;3081.92;18.76;282.21;674.42;100.89;58.77;1709.52;237.31
222;B-E Industry (no construction), energy;Zuid-Holland (PV);2021;2907.53;63.55;308.23;859.21;147.28;52.54;1337.01;139.67
223;B-E Industry (no construction), energy;Zuid-Holland (PV);2022;3915.84;24.95;298.46;1492.08;156.84;51.17;1646.07;246.23
224;B-E Industry (no construction), energy;Zuid-Holland (PV);2023;4133.89;;;;;;;
225;B-E Industry (no construction), energy;Zeeland (PV);2009;576.1;2.56;30.48;79.27;11.63;16.22;424.28;11.67
226;B-E Industry (no construction), energy;Zeeland (PV);2010;472.34;2.99;37.61;114.02;10.24;9.06;280.35;18.07
227;B-E Industry (no construction), energy;Zeeland (PV);2011;682.48;4.63;38.09;60.34;13.8;11.32;518.71;35.58
228;B-E Industry (no construction), energy;Zeeland (PV);2012;492.04;1.91;27.02;72.2;26.82;12.59;342.8;8.7
229;B-E Industry (no construction), energy;Zeeland (PV);2013;511.19;1.21;60.37;44.06;10.27;7.69;373.78;13.81
230;B-E Industry (no construction), energy;Zeeland (PV);2014;573.94;4.42;46.27;52.45;12.4;9.17;439.08;10.14
231;B-E Industry (no construction), energy;Zeeland (PV);2015;312.09;2.45;23.51;45.28;14.45;5.94;211.89;8.56
232;B-E Industry (no construction), energy;Zeeland (PV);2016;485.75;2.42;34.1;63.22;15.03;6.79;350.42;13.78
233;B-E Industry (no construction), energy;Zeeland (PV);2017;465.6;6.06;39.37;3.47;13.57;10.18;379.9;13.06
234;B-E Industry (no construction), energy;Zeeland (PV);2018;799.09;5.67;86.38;79.06;27.16;11.45;574.69;14.68
235;B-E Industry (no construction), energy;Zeeland (PV);2019;519.66;2.79;78.09;74.47;17.45;24.54;293.97;28.35
236;B-E Industry (no construction), energy;Zeeland (PV);2020;1184.52;15.27;50.55;563.55;18.24;21.88;489.13;25.89
237;B-E Industry (no construction), energy;Zeeland (PV);2021;586.34;13.21;50.32;111.52;20.48;11.39;349.62;29.79
238;B-E Industry (no construction), energy;Zeeland (PV);2022;702.01;3.08;72.06;125.05;28.53;7.22;413.37;52.7
239;B-E Industry (no construction), energy;Zeeland (PV);2023;1030.68;;;;;;;
240;B-E Industry (no construction), energy;Noord-Brabant (PV);2009;2114.28;28.4;327.35;187.66;85.5;78.41;1274.18;132.78
241;B-E Industry (no construction), energy;Noord-Brabant (PV);2010;2206.04;21.94;247.68;267.9;216.39;71.36;1268.73;112.03
242;B-E Industry (no construction), energy;Noord-Brabant (PV);2011;2830.38;59.82;469.05;308.92;338.24;53.05;1450.9;150.39
243;B-E Industry (no construction), energy;Noord-Brabant (PV);2012;2796.64;25.0;325.17;202.54;70.2;59.51;1998.82;115.4
244;B-E Industry (no construction), energy;Noord-Brabant (PV);2013;2201.03;46.77;400.37;233.76;66.97;53.71;1280.44;119.0
245;B-E Industry (no construction), energy;Noord-Brabant (PV);2014;1974.23;30.08;271.33;250.08;64.55;62.98;1145.94;149.28
