ID;Onderwijskenmerk;Persoonskenmerken;Perioden;TotaalBevolking15Tot25Jaar_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;WerklozeBeroepsbevolking_4;NietBeroepsbevolking_5;Werkloosheidspercentage_6;WilBetaaldWerkVan12UurOfMeer_7;KanOpKorteTermijnBeginnen_8;Afgelopen4WekenGezocht_9;Afgelopen4WekenNietGezocht_10;WelAfgelopen6MaandenGezocht_11;NietAfgelopen6MaandenGezocht_12;VanwegeWeinigResultaat_13;OverigeRedenen_14;KanNietOpKorteTermijnBeginnen_15;WilGeenBetaaldWerkVan12UurOfMeer_16;WilWerkVanMinderDan12UurPerWeek_17;ZorgVoorGezinOfHuishouden_18;OpleidingStudie_19;ZiekteArbeidsongeschiktheid_20;AndereRedenen_21;WilOfKanNietWerken_22;ZorgVoorGezinOfHuishouden_23;OpleidingStudie_24;ZiekteArbeidsongeschiktheid_25;AndereRedenen_26;WerknemersVasteArbeidsrelatie_27;WerknemersFlexibeleArbeidsrelatie_28;Zelfstandigen_29;PositieWerkkringOnbekend_30;Arbeidsduur4UurOfMinder_31;Arbeidsduur5Tot12Uur_32;Arbeidsduur12Tot20Uur_33;Arbeidsduur20Tot35Uur_34;Arbeidsduur35UurOfMeer_35;ArbeidsduurOnbekend_36
15;Totaal 15 tot 25 jarigen;Vrouwen;2004;950.0;412.0;356.0;56.0;538.0;13.6;111.0;91.0;56.0;35.0;13.0;22.0;5.0;18.0;20.0;483.0;279.0;2.0;266.0;2.0;9.0;203.0;12.0;175.0;6.0;10.0;371.0;211.0;14.0;;64.0;177.0;63.0;124.0;168.0;353.0
16;Totaal 15 tot 25 jarigen;Vrouwen;2005;954.0;406.0;351.0;55.0;548.0;13.6;116.0;92.0;55.0;37.0;14.0;22.0;5.0;17.0;24.0;487.0;294.0;2.0;278.0;2.0;12.0;193.0;9.0;168.0;7.0;9.0;341.0;230.0;16.0;;66.0;171.0;77.0;129.0;144.0;367.0
17;Totaal 15 tot 25 jarigen;Vrouwen;2006;958.0;400.0;352.0;48.0;559.0;11.9;99.0;80.0;48.0;32.0;12.0;21.0;3.0;18.0;19.0;507.0;301.0;;286.0;3.0;10.0;206.0;10.0;174.0;9.0;14.0;329.0;253.0;19.0;;67.0;181.0;81.0;121.0;150.0;358.0
18;Totaal 15 tot 25 jarigen;Totaal ingeschreven bij het CWI;2001;69.0;44.0;28.0;16.0;25.0;35.7;24.0;20.0;16.0;4.0;2.0;3.0;;2.0;5.0;16.0;3.0;;2.0;;;13.0;3.0;6.0;2.0;2.0;17.0;14.0;;;;3.0;2.0;11.0;14.0;37.0
19;Totaal 15 tot 25 jarigen;Totaal ingeschreven bij het CWI;2002;66.0;42.0;25.0;17.0;24.0;39.8;24.0;21.0;17.0;4.0;;3.0;;2.0;4.0;17.0;3.0;;2.0;;;14.0;2.0;6.0;2.0;4.0;15.0;13.0;;;;3.0;2.0;10.0;13.0;37.0
20;Totaal 15 tot 25 jarigen;Totaal ingeschreven bij het CWI;2003;84.0;56.0;29.0;26.0;28.0;47.1;35.0;32.0;26.0;6.0;3.0;3.0;;3.0;3.0;19.0;4.0;;3.0;;;15.0;3.0;6.0;3.0;3.0;18.0;16.0;;;2.0;4.0;3.0;12.0;15.0;49.0
21;Totaal 15 tot 25 jarigen;Totaal ingeschreven bij het CWI;2004;89.0;60.0;25.0;35.0;29.0;57.7;47.0;42.0;35.0;8.0;4.0;4.0;;3.0;4.0;17.0;3.0;;2.0;;;14.0;3.0;6.0;3.0;2.0;16.0;15.0;;;2.0;4.0;3.0;11.0;12.0;58.0
22;Totaal 15 tot 25 jarigen;Totaal ingeschreven bij het CWI;2005;73.0;49.0;22.0;27.0;24.0;54.9;35.0;32.0;27.0;5.0;3.0;3.0;;2.0;3.0;16.0;3.0;;2.0;;;13.0;3.0;5.0;3.0;2.0;13.0;13.0;;;2.0;3.0;3.0;8.0;11.0;46.0
23;Totaal 15 tot 25 jarigen;Totaal ingeschreven bij het CWI;2006;53.0;32.0;17.0;16.0;20.0;48.9;23.0;20.0;16.0;4.0;2.0;2.0;;2.0;3.0;13.0;2.0;;;;;11.0;2.0;4.0;3.0;;9.0;10.0;;;;2.0;2.0;6.0;9.0;33.0
24;Totaal 15 tot 25 jarigen;Niet ingeschreven bij het CWI;2001;1820.0;877.0;824.0;52.0;943.0;6.0;119.0;88.0;52.0;36.0;12.0;24.0;2.0;22.0;31.0;877.0;484.0;6.0;461.0;;15.0;393.0;20.0;343.0;10.0;20.0;788.0;404.0;38.0;;92.0;315.0;121.0;193.0;509.0;589.0
25;Totaal 15 tot 25 jarigen;Niet ingeschreven bij het CWI;2002;1841.0;873.0;811.0;62.0;968.0;7.1;131.0;100.0;62.0;38.0;12.0;26.0;5.0;22.0;30.0;899.0;499.0;3.0;479.0;2.0;16.0;400.0;14.0;356.0;13.0;17.0;790.0;416.0;37.0;;102.0;330.0;129.0;208.0;474.0;598.0
26;Totaal 15 tot 25 jarigen;Niet ingeschreven bij het CWI;2003;1837.0;845.0;776.0;69.0;992.0;8.2;155.0;123.0;69.0;54.0;17.0;37.0;7.0;29.0;32.0;906.0;514.0;4.0;493.0;;15.0;393.0;11.0;347.0;10.0;25.0;781.0;395.0;35.0;;108.0;327.0;121.0;209.0;446.0;626.0
27;Totaal 15 tot 25 jarigen;Niet ingeschreven bij het CWI;2004;1839.0;817.0;733.0;84.0;1022.0;10.3;182.0;146.0;84.0;62.0;22.0;40.0;8.0;32.0;36.0;924.0;530.0;2.0;508.0;2.0;18.0;394.0;9.0;354.0;9.0;22.0;727.0;419.0;40.0;;123.0;331.0;115.0;195.0;423.0;652.0
28;Totaal 15 tot 25 jarigen;Niet ingeschreven bij het CWI;2005;1865.0;805.0;720.0;85.0;1060.0;10.5;194.0;155.0;85.0;71.0;24.0;46.0;9.0;37.0;38.0;951.0;564.0;2.0;534.0;3.0;25.0;387.0;7.0;348.0;10.0;22.0;690.0;444.0;38.0;;127.0;326.0;130.0;193.0;396.0;692.0
29;Totaal 15 tot 25 jarigen;Niet ingeschreven bij het CWI;2006;1897.0;816.0;741.0;75.0;1081.0;9.2;179.0;143.0;75.0;69.0;24.0;44.0;7.0;38.0;36.0;976.0;580.0;;553.0;5.0;21.0;396.0;7.0;350.0;12.0;28.0;681.0;495.0;50.0;;144.0;341.0;135.0;195.0;411.0;671.0
30;Totaal 15 tot 25 jarigen;Meer dan een jaar ingeschreven bij CWI;2001;12.0;6.0;5.0;;6.0;;3.0;2.0;;;;;;;;4.0;;;;;;3.0;;;;;4.0;;;;;;;3.0;2.0;7.0
31;Totaal 15 tot 25 jarigen;Meer dan een jaar ingeschreven bij CWI;2002;8.0;4.0;3.0;;4.0;;2.0;;;;;;;;;3.0;;;;;;3.0;;;;;3.0;;;;;;;2.0;;5.0
32;Totaal 15 tot 25 jarigen;Meer dan een jaar ingeschreven bij CWI;2003;11.0;6.0;4.0;2.0;5.0;33.9;3.0;3.0;2.0;;;;;;;4.0;;;;;;3.0;;;;;2.0;2.0;;;;;;2.0;2.0;7.0
33;Totaal 15 tot 25 jarigen;Meer dan een jaar ingeschreven bij CWI;2004;12.0;6.0;4.0;3.0;5.0;40.9;4.0;4.0;3.0;;;;;;;4.0;;;;;;3.0;;;;;3.0;;;;;;;2.0;2.0;7.0
34;Totaal 15 tot 25 jarigen;Meer dan een jaar ingeschreven bij CWI;2005;12.0;8.0;5.0;3.0;4.0;39.4;4.0;4.0;3.0;;;;;;;3.0;;;;;;3.0;;;;;3.0;2.0;;;;;;2.0;2.0;7.0
35;Totaal 15 tot 25 jarigen;Meer dan een jaar ingeschreven bij CWI;2006;10.0;5.0;3.0;2.0;4.0;37.9;4.0;3.0;2.0;;;;;;;2.0;;;;;;2.0;;;;;2.0;2.0;;;;;;;2.0;6.0
36;Totaal 15 tot 25 jarigen;6 tot 12 maanden ingeschreven bij CWI;2001;9.0;5.0;4.0;;4.0;;2.0;;;;;;;;;3.0;;;;;;3.0;;;;;3.0;2.0;;;;;;;3.0;4.0
37;Totaal 15 tot 25 jarigen;6 tot 12 maanden ingeschreven bij CWI;2002;10.0;5.0;3.0;2.0;5.0;39.9;3.0;3.0;2.0;;;;;;;4.0;;;;;;4.0;;2.0;;;2.0;;;;;;;2.0;;7.0
38;Totaal 15 tot 25 jarigen;6 tot 12 maanden ingeschreven bij CWI;2003;15.0;9.0;6.0;4.0;6.0;39.9;5.0;5.0;4.0;;;;;;;5.0;;;;;;4.0;;2.0;;;3.0;2.0;;;;;;3.0;2.0;9.0
39;Totaal 15 tot 25 jarigen;6 tot 12 maanden ingeschreven bij CWI;2004;17.0;10.0;5.0;4.0;7.0;46.7;7.0;6.0;4.0;2.0;;;;;;4.0;;;;;;4.0;;;;;3.0;3.0;;;;;;3.0;2.0;11.0
40;Totaal 15 tot 25 jarigen;6 tot 12 maanden ingeschreven bij CWI;2005;13.0;8.0;4.0;4.0;5.0;47.2;5.0;5.0;4.0;;;;;;;4.0;;;;;;3.0;;;;;3.0;2.0;;;;;;2.0;2.0;8.0
41;Totaal 15 tot 25 jarigen;6 tot 12 maanden ingeschreven bij CWI;2006;12.0;6.0;3.0;3.0;6.0;42.7;4.0;4.0;3.0;;;;;;;4.0;;;;;;4.0;;;;;2.0;2.0;;;;;;;2.0;8.0
42;Totaal 15 tot 25 jarigen;0 tot 6 maanden ingeschreven bij CWI;2001;48.0;33.0;19.0;14.0;15.0;42.8;20.0;17.0;14.0;3.0;;2.0;;;3.0;9.0;2.0;;2.0;;;7.0;;3.0;;;11.0;11.0;;;;2.0;2.0;7.0;10.0;26.0
43;Totaal 15 tot 25 jarigen;0 tot 6 maanden ingeschreven bij CWI;2002;47.0;32.0;18.0;14.0;15.0;42.8;20.0;17.0;14.0;3.0;;2.0;;2.0;3.0;9.0;2.0;;;;;7.0;;3.0;;3.0;11.0;11.0;;;;2.0;;6.0;11.0;26.0
44;Totaal 15 tot 25 jarigen;0 tot 6 maanden ingeschreven bij CWI;2003;58.0;41.0;20.0;21.0;17.0;50.5;27.0;25.0;21.0;4.0;2.0;3.0;;2.0;2.0;10.0;2.0;;2.0;;;8.0;;3.0;2.0;2.0;12.0;12.0;;;;3.0;2.0;7.0;11.0;33.0
45;Totaal 15 tot 25 jarigen;0 tot 6 maanden ingeschreven bij CWI;2004;61.0;44.0;17.0;28.0;17.0;62.6;35.0;33.0;28.0;5.0;2.0;3.0;;2.0;2.0;10.0;2.0;;2.0;;;7.0;2.0;3.0;2.0;;10.0;11.0;;;;3.0;2.0;7.0;8.0;40.0
46;Totaal 15 tot 25 jarigen;0 tot 6 maanden ingeschreven bij CWI;2005;48.0;33.0;13.0;20.0;15.0;60.2;26.0;24.0;20.0;4.0;2.0;2.0;;;2.0;9.0;2.0;;2.0;;;7.0;;3.0;2.0;;7.0;10.0;;;;2.0;2.0;4.0;7.0;31.0
47;Totaal 15 tot 25 jarigen;0 tot 6 maanden ingeschreven bij CWI;2006;31.0;21.0;10.0;11.0;10.0;53.6;15.0;13.0;11.0;2.0;;;;;2.0;7.0;;;;;;5.0;;2.0;;;5.0;6.0;;;;2.0;;3.0;5.0;19.0
48;Totaal 15 tot 25 jarigen;15 jaar;2001;190.0;14.0;11.0;3.0;176.0;20.2;7.0;5.0;3.0;2.0;;2.0;;2.0;2.0;171.0;92.0;;87.0;;5.0;79.0;;74.0;;4.0;23.0;42.0;4.0;;21.0;38.0;6.0;3.0;2.0;120.0
49;Totaal 15 tot 25 jarigen;15 jaar;2002;194.0;12.0;9.0;4.0;182.0;29.3;9.0;6.0;4.0;2.0;;2.0;;;3.0;176.0;97.0;;91.0;;7.0;79.0;;74.0;;4.0;25.0;39.0;4.0;;20.0;39.0;5.0;2.0;;126.0
50;Totaal 15 tot 25 jarigen;15 jaar;2003;194.0;11.0;7.0;4.0;183.0;34.3;10.0;7.0;4.0;3.0;;2.0;;2.0;3.0;177.0;91.0;;86.0;;5.0;86.0;;82.0;;3.0;22.0;32.0;4.0;;23.0;29.0;5.0;2.0;;135.0
51;Totaal 15 tot 25 jarigen;15 jaar;2004;195.0;9.0;6.0;3.0;186.0;30.5;9.0;7.0;3.0;4.0;;3.0;;2.0;2.0;180.0;95.0;;89.0;;5.0;85.0;;78.0;;7.0;19.0;35.0;4.0;;24.0;28.0;3.0;2.0;;137.0
52;Totaal 15 tot 25 jarigen;15 jaar;2005;200.0;9.0;5.0;4.0;191.0;44.4;11.0;9.0;4.0;5.0;;3.0;;2.0;2.0;184.0;101.0;;95.0;;6.0;83.0;;76.0;;5.0;17.0;40.0;3.0;;27.0;28.0;4.0;;;140.0
53;Totaal 15 tot 25 jarigen;15 jaar;2006;203.0;9.0;6.0;3.0;194.0;31.8;10.0;8.0;3.0;5.0;3.0;2.0;;2.0;2.0;187.0;108.0;;102.0;;6.0;79.0;;72.0;;6.0;18.0;44.0;4.0;;32.0;27.0;5.0;;;138.0
54;Totaal 15 tot 25 jarigen;16 jaar;2001;186.0;29.0;24.0;5.0;157.0;16.0;12.0;9.0;5.0;4.0;;3.0;;3.0;3.0;150.0;87.0;;83.0;;4.0;62.0;;60.0;;2.0;41.0;52.0;4.0;;17.0;55.0;10.0;7.0;7.0;90.0
55;Totaal 15 tot 25 jarigen;16 jaar;2002;191.0;30.0;24.0;6.0;161.0;19.8;14.0;11.0;6.0;5.0;;3.0;;3.0;3.0;153.0;85.0;;82.0;;2.0;68.0;;64.0;;2.0;39.0;51.0;4.0;;19.0;51.0;13.0;7.0;4.0;96.0
56;Totaal 15 tot 25 jarigen;16 jaar;2003;194.0;23.0;18.0;6.0;171.0;23.7;13.0;11.0;6.0;5.0;3.0;3.0;;2.0;2.0;164.0;94.0;;92.0;;2.0;70.0;;65.0;;4.0;42.0;43.0;4.0;;19.0;52.0;9.0;6.0;3.0;106.0
57;Totaal 15 tot 25 jarigen;16 jaar;2004;194.0;26.0;19.0;7.0;169.0;27.7;17.0;14.0;7.0;7.0;2.0;5.0;;4.0;3.0;158.0;94.0;;90.0;;3.0;65.0;;61.0;;3.0;35.0;51.0;4.0;;21.0;50.0;10.0;6.0;3.0;104.0
58;Totaal 15 tot 25 jarigen;16 jaar;2005;195.0;23.0;17.0;7.0;171.0;28.3;16.0;14.0;7.0;7.0;2.0;5.0;;4.0;2.0;162.0;99.0;;93.0;;5.0;63.0;;59.0;;4.0;30.0;48.0;4.0;;21.0;44.0;9.0;4.0;4.0;113.0
59;Totaal 15 tot 25 jarigen;16 jaar;2006;200.0;27.0;20.0;7.0;173.0;26.3;18.0;14.0;7.0;7.0;3.0;4.0;;3.0;3.0;162.0;100.0;;96.0;;4.0;62.0;;57.0;;4.0;38.0;52.0;4.0;;27.0;47.0;10.0;6.0;4.0;106.0
60;Totaal 15 tot 25 jarigen;17 jaar;2001;183.0;51.0;46.0;6.0;131.0;11.0;16.0;11.0;6.0;5.0;2.0;3.0;;3.0;5.0;121.0;73.0;;72.0;;;48.0;;45.0;;2.0;60.0;50.0;3.0;;13.0;54.0;14.0;16.0;16.0;70.0
61;Totaal 15 tot 25 jarigen;17 jaar;2002;188.0;51.0;43.0;7.0;137.0;14.6;15.0;12.0;7.0;5.0;;3.0;;2.0;3.0;129.0;76.0;;74.0;;2.0;52.0;;49.0;;2.0;54.0;54.0;2.0;;14.0;53.0;14.0;16.0;13.0;77.0
62;Totaal 15 tot 25 jarigen;17 jaar;2003;192.0;53.0;43.0;10.0;139.0;18.6;20.0;16.0;10.0;7.0;2.0;4.0;;4.0;3.0;129.0;77.0;;75.0;;;52.0;;48.0;;3.0;57.0;49.0;4.0;;15.0;52.0;16.0;15.0;11.0;82.0
63;Totaal 15 tot 25 jarigen;17 jaar;2004;194.0;46.0;39.0;8.0;148.0;16.7;17.0;15.0;8.0;7.0;3.0;4.0;;4.0;2.0;139.0;83.0;;81.0;;2.0;56.0;;52.0;;3.0;53.0;53.0;2.0;;16.0;55.0;13.0;14.0;12.0;85.0
64;Totaal 15 tot 25 jarigen;17 jaar;2005;194.0;46.0;37.0;9.0;149.0;18.9;20.0;16.0;9.0;8.0;2.0;5.0;;4.0;4.0;137.0;85.0;;81.0;;3.0;52.0;;49.0;;2.0;46.0;59.0;2.0;;19.0;51.0;17.0;13.0;7.0;88.0
65;Totaal 15 tot 25 jarigen;17 jaar;2006;195.0;42.0;34.0;8.0;153.0;18.7;21.0;18.0;8.0;10.0;2.0;8.0;;7.0;3.0;139.0;89.0;;86.0;;2.0;51.0;;46.0;;3.0;46.0;61.0;3.0;;20.0;56.0;16.0;10.0;8.0;84.0
66;Totaal 15 tot 25 jarigen;18 jaar;2001;182.0;85.0;75.0;10.0;98.0;11.5;17.0;15.0;10.0;5.0;2.0;3.0;;3.0;2.0;90.0;50.0;;49.0;;;40.0;;35.0;;4.0;67.0;49.0;3.0;;8.0;36.0;18.0;25.0;32.0;64.0
67;Totaal 15 tot 25 jarigen;18 jaar;2002;185.0;72.0;61.0;10.0;113.0;14.1;17.0;14.0;10.0;4.0;;3.0;;2.0;3.0;106.0;62.0;;61.0;;;44.0;;41.0;;2.0;65.0;50.0;3.0;;12.0;45.0;17.0;20.0;24.0;67.0
68;Totaal 15 tot 25 jarigen;18 jaar;2003;189.0;73.0;64.0;8.0;117.0;11.4;20.0;17.0;8.0;9.0;3.0;6.0;;5.0;3.0;104.0;57.0;;55.0;;2.0;47.0;;44.0;;2.0;69.0;51.0;;;12.0;44.0;18.0;22.0;24.0;69.0
69;Totaal 15 tot 25 jarigen;18 jaar;2004;193.0;69.0;56.0;13.0;124.0;18.6;25.0;22.0;13.0;9.0;3.0;6.0;;5.0;3.0;112.0;70.0;;68.0;;2.0;41.0;;39.0;;2.0;66.0;51.0;3.0;;16.0;48.0;15.0;20.0;22.0;73.0
70;Totaal 15 tot 25 jarigen;18 jaar;2005;195.0;62.0;53.0;9.0;133.0;14.9;22.0;18.0;9.0;9.0;3.0;6.0;;5.0;3.0;120.0;74.0;;71.0;;3.0;46.0;;42.0;;2.0;60.0;53.0;3.0;;17.0;46.0;19.0;16.0;17.0;79.0
71;Totaal 15 tot 25 jarigen;18 jaar;2006;195.0;66.0;55.0;11.0;129.0;17.1;24.0;19.0;11.0;8.0;3.0;5.0;;4.0;5.0;117.0;72.0;;69.0;;2.0;45.0;;40.0;;3.0;54.0;61.0;3.0;;14.0;50.0;19.0;19.0;17.0;77.0
72;Totaal 15 tot 25 jarigen;19 jaar;2001;187.0;88.0;79.0;10.0;99.0;10.8;18.0;14.0;10.0;5.0;;4.0;;3.0;3.0;91.0;52.0;;51.0;;;39.0;3.0;34.0;;;79.0;44.0;3.0;;11.0;37.0;13.0;24.0;42.0;61.0
73;Totaal 15 tot 25 jarigen;19 jaar;2002;185.0;85.0;76.0;9.0;100.0;10.8;18.0;15.0;9.0;6.0;;5.0;;4.0;4.0;90.0;48.0;;47.0;;;43.0;;38.0;;3.0;73.0;48.0;3.0;;8.0;40.0;15.0;27.0;33.0;61.0
74;Totaal 15 tot 25 jarigen;19 jaar;2003;187.0;90.0;78.0;12.0;97.0;13.0;22.0;20.0;12.0;8.0;2.0;6.0;;4.0;3.0;87.0;51.0;;49.0;;2.0;36.0;;31.0;;3.0;75.0;49.0;2.0;;10.0;37.0;18.0;25.0;35.0;61.0
75;Totaal 15 tot 25 jarigen;19 jaar;2004;191.0;87.0;72.0;15.0;104.0;17.2;25.0;21.0;15.0;6.0;2.0;4.0;;4.0;4.0;93.0;55.0;;53.0;;2.0;38.0;;34.0;;;68.0;53.0;2.0;;12.0;39.0;18.0;21.0;33.0;67.0
76;Totaal 15 tot 25 jarigen;19 jaar;2005;194.0;87.0;73.0;14.0;107.0;16.5;28.0;24.0;14.0;9.0;3.0;6.0;;5.0;4.0;93.0;56.0;;54.0;;2.0;37.0;;34.0;;;70.0;54.0;2.0;;14.0;40.0;18.0;23.0;32.0;68.0
77;Totaal 15 tot 25 jarigen;19 jaar;2006;196.0;82.0;72.0;10.0;114.0;12.7;23.0;20.0;10.0;9.0;3.0;6.0;;5.0;3.0;102.0;61.0;;58.0;;2.0;41.0;;37.0;2.0;2.0;63.0;60.0;3.0;;13.0;42.0;18.0;21.0;32.0;70.0
78;Totaal 15 tot 25 jarigen;20 jaar;2001;192.0;106.0;97.0;9.0;87.0;8.2;16.0;13.0;9.0;4.0;;3.0;;3.0;3.0;79.0;43.0;;41.0;;2.0;37.0;2.0;29.0;2.0;3.0;88.0;43.0;3.0;;8.0;29.0;17.0;22.0;58.0;58.0
79;Totaal 15 tot 25 jarigen;20 jaar;2002;189.0;110.0;101.0;9.0;80.0;8.1;19.0;15.0;9.0;6.0;3.0;3.0;;3.0;4.0;69.0;35.0;;33.0;;;34.0;;29.0;2.0;2.0;88.0;43.0;3.0;;9.0;25.0;16.0;23.0;62.0;55.0
80;Totaal 15 tot 25 jarigen;20 jaar;2003;186.0;105.0;93.0;12.0;81.0;11.0;20.0;16.0;12.0;5.0;2.0;3.0;;2.0;3.0;73.0;45.0;;44.0;;;28.0;;23.0;2.0;3.0;85.0;47.0;3.0;;7.0;35.0;14.0;29.0;50.0;51.0
81;Totaal 15 tot 25 jarigen;20 jaar;2004;188.0;98.0;83.0;14.0;90.0;14.7;26.0;22.0;14.0;7.0;3.0;4.0;;3.0;4.0;78.0;47.0;;45.0;;;32.0;;28.0;2.0;2.0;78.0;50.0;4.0;;10.0;38.0;15.0;23.0;45.0;56.0
