ID;StedelijkheidWoongemeente;VerdachtenNaarSoortMisdrijf;Perioden;AantalVerdachten_1;VerdachtenPer1000Inwoners_2
63;Totaal verdachten van misdrijven;Overige misdrijven;2002;8750;1.0
64;Totaal verdachten van misdrijven;Overige misdrijven;2003;10690;1.0
65;Totaal verdachten van misdrijven;Overige misdrijven;2004;12040;1.0
66;Totaal verdachten van misdrijven;Overige misdrijven;2005;12020;1.0
67;Totaal verdachten van misdrijven;Overige misdrijven;2006;11470;1.0
68;Totaal verdachten van misdrijven;Overige misdrijven;2007;10920;1.0
69;Totaal verdachten van misdrijven;Overige misdrijven;2008;9870;1.0
70;Totaal verdachten van misdrijven;Verdachten van meer soorten misdrijven;1999;22020;2.0
71;Totaal verdachten van misdrijven;Verdachten van meer soorten misdrijven;2000;21080;2.0
72;Totaal verdachten van misdrijven;Verdachten van meer soorten misdrijven;2001;22370;2.0
73;Totaal verdachten van misdrijven;Verdachten van meer soorten misdrijven;2002;25750;2.0
74;Totaal verdachten van misdrijven;Verdachten van meer soorten misdrijven;2003;29350;2.0
75;Totaal verdachten van misdrijven;Verdachten van meer soorten misdrijven;2004;33630;2.0
76;Totaal verdachten van misdrijven;Verdachten van meer soorten misdrijven;2005;35180;3.0
77;Totaal verdachten van misdrijven;Verdachten van meer soorten misdrijven;2006;35720;3.0
78;Totaal verdachten van misdrijven;Verdachten van meer soorten misdrijven;2007;36070;3.0
79;Totaal verdachten van misdrijven;Verdachten van meer soorten misdrijven;2008;32690;2.0
80;Zeer sterk stedelijk;Totaal verdachten van misdrijven;1999;39390;16.0
81;Zeer sterk stedelijk;Totaal verdachten van misdrijven;2000;40090;17.0
82;Zeer sterk stedelijk;Totaal verdachten van misdrijven;2001;41380;17.0
83;Zeer sterk stedelijk;Totaal verdachten van misdrijven;2002;45310;18.0
84;Zeer sterk stedelijk;Totaal verdachten van misdrijven;2003;51800;21.0
85;Zeer sterk stedelijk;Totaal verdachten van misdrijven;2004;55430;22.0
86;Zeer sterk stedelijk;Totaal verdachten van misdrijven;2005;56710;23.0
87;Zeer sterk stedelijk;Totaal verdachten van misdrijven;2006;59330;24.0
88;Zeer sterk stedelijk;Totaal verdachten van misdrijven;2007;59790;24.0
89;Zeer sterk stedelijk;Totaal verdachten van misdrijven;2008;54860;22.0
90;Zeer sterk stedelijk;Vermogensmisdrijven;1999;12950;5.0
91;Zeer sterk stedelijk;Vermogensmisdrijven;2000;12530;5.0
92;Zeer sterk stedelijk;Vermogensmisdrijven;2001;13280;5.0
93;Zeer sterk stedelijk;Vermogensmisdrijven;2002;13130;5.0
94;Zeer sterk stedelijk;Vermogensmisdrijven;2003;14010;6.0
95;Zeer sterk stedelijk;Vermogensmisdrijven;2004;14520;6.0
96;Zeer sterk stedelijk;Vermogensmisdrijven;2005;14560;6.0
97;Zeer sterk stedelijk;Vermogensmisdrijven;2006;14690;6.0
98;Zeer sterk stedelijk;Vermogensmisdrijven;2007;14190;6.0
99;Zeer sterk stedelijk;Vermogensmisdrijven;2008;13510;5.0
100;Zeer sterk stedelijk;Vernieling en openbare orde;1999;3240;1.0
101;Zeer sterk stedelijk;Vernieling en openbare orde;2000;3350;1.0
102;Zeer sterk stedelijk;Vernieling en openbare orde;2001;3580;1.0
103;Zeer sterk stedelijk;Vernieling en openbare orde;2002;4070;2.0
104;Zeer sterk stedelijk;Vernieling en openbare orde;2003;4730;2.0
105;Zeer sterk stedelijk;Vernieling en openbare orde;2004;5180;2.0
106;Zeer sterk stedelijk;Vernieling en openbare orde;2005;5480;2.0
107;Zeer sterk stedelijk;Vernieling en openbare orde;2006;5960;2.0
108;Zeer sterk stedelijk;Vernieling en openbare orde;2007;6180;2.0
109;Zeer sterk stedelijk;Vernieling en openbare orde;2008;5200;2.0
110;Zeer sterk stedelijk;Geweldsmisdrijven;1999;4680;2.0
111;Zeer sterk stedelijk;Geweldsmisdrijven;2000;5050;2.0
112;Zeer sterk stedelijk;Geweldsmisdrijven;2001;5600;2.0
113;Zeer sterk stedelijk;Geweldsmisdrijven;2002;6410;3.0
114;Zeer sterk stedelijk;Geweldsmisdrijven;2003;8050;3.0
115;Zeer sterk stedelijk;Geweldsmisdrijven;2004;8890;4.0
116;Zeer sterk stedelijk;Geweldsmisdrijven;2005;9780;4.0
117;Zeer sterk stedelijk;Geweldsmisdrijven;2006;10430;4.0
118;Zeer sterk stedelijk;Geweldsmisdrijven;2007;10880;4.0
119;Zeer sterk stedelijk;Geweldsmisdrijven;2008;10320;4.0
120;Zeer sterk stedelijk;Verkeersmisdrijven;1999;8590;4.0
121;Zeer sterk stedelijk;Verkeersmisdrijven;2000;8990;4.0
122;Zeer sterk stedelijk;Verkeersmisdrijven;2001;9040;4.0
123;Zeer sterk stedelijk;Verkeersmisdrijven;2002;10000;4.0
124;Zeer sterk stedelijk;Verkeersmisdrijven;2003;11060;4.0
125;Zeer sterk stedelijk;Verkeersmisdrijven;2004;11340;5.0
126;Zeer sterk stedelijk;Verkeersmisdrijven;2005;11840;5.0
127;Zeer sterk stedelijk;Verkeersmisdrijven;2006;12770;5.0
128;Zeer sterk stedelijk;Verkeersmisdrijven;2007;13200;5.0
129;Zeer sterk stedelijk;Verkeersmisdrijven;2008;12140;5.0
130;Zeer sterk stedelijk;Drugsmisdrijven;1999;1390;1.0
131;Zeer sterk stedelijk;Drugsmisdrijven;2000;1340;1.0
132;Zeer sterk stedelijk;Drugsmisdrijven;2001;1680;1.0
133;Zeer sterk stedelijk;Drugsmisdrijven;2002;1900;1.0
134;Zeer sterk stedelijk;Drugsmisdrijven;2003;2390;1.0
135;Zeer sterk stedelijk;Drugsmisdrijven;2004;2720;1.0
136;Zeer sterk stedelijk;Drugsmisdrijven;2005;2660;1.0
137;Zeer sterk stedelijk;Drugsmisdrijven;2006;2810;1.0
138;Zeer sterk stedelijk;Drugsmisdrijven;2007;2490;1.0
139;Zeer sterk stedelijk;Drugsmisdrijven;2008;2350;1.0
140;Zeer sterk stedelijk;Overige misdrijven;1999;1470;1.0
141;Zeer sterk stedelijk;Overige misdrijven;2000;1660;1.0
142;Zeer sterk stedelijk;Overige misdrijven;2001;1550;1.0
143;Zeer sterk stedelijk;Overige misdrijven;2002;2080;1.0
144;Zeer sterk stedelijk;Overige misdrijven;2003;2610;1.0
145;Zeer sterk stedelijk;Overige misdrijven;2004;2810;1.0
146;Zeer sterk stedelijk;Overige misdrijven;2005;2630;1.0
147;Zeer sterk stedelijk;Overige misdrijven;2006;2600;1.0
148;Zeer sterk stedelijk;Overige misdrijven;2007;2570;1.0
149;Zeer sterk stedelijk;Overige misdrijven;2008;2140;1.0
150;Zeer sterk stedelijk;Verdachten van meer soorten misdrijven;1999;7080;3.0
151;Zeer sterk stedelijk;Verdachten van meer soorten misdrijven;2000;7160;3.0
152;Zeer sterk stedelijk;Verdachten van meer soorten misdrijven;2001;6650;3.0
153;Zeer sterk stedelijk;Verdachten van meer soorten misdrijven;2002;7720;3.0
154;Zeer sterk stedelijk;Verdachten van meer soorten misdrijven;2003;8950;4.0
155;Zeer sterk stedelijk;Verdachten van meer soorten misdrijven;2004;9980;4.0
156;Zeer sterk stedelijk;Verdachten van meer soorten misdrijven;2005;9780;4.0
157;Zeer sterk stedelijk;Verdachten van meer soorten misdrijven;2006;10070;4.0
158;Zeer sterk stedelijk;Verdachten van meer soorten misdrijven;2007;10290;4.0
159;Zeer sterk stedelijk;Verdachten van meer soorten misdrijven;2008;9200;4.0
160;Sterk stedelijk;Totaal verdachten van misdrijven;1999;40010;12.0
161;Sterk stedelijk;Totaal verdachten van misdrijven;2000;38970;11.0
162;Sterk stedelijk;Totaal verdachten van misdrijven;2001;41960;12.0
163;Sterk stedelijk;Totaal verdachten van misdrijven;2002;49660;14.0
164;Sterk stedelijk;Totaal verdachten van misdrijven;2003;56300;15.0
165;Sterk stedelijk;Totaal verdachten van misdrijven;2004;61000;16.0
166;Sterk stedelijk;Totaal verdachten van misdrijven;2005;63510;17.0
167;Sterk stedelijk;Totaal verdachten van misdrijven;2006;65270;17.0
168;Sterk stedelijk;Totaal verdachten van misdrijven;2007;68230;17.0
169;Sterk stedelijk;Totaal verdachten van misdrijven;2008;66240;16.0
170;Sterk stedelijk;Vermogensmisdrijven;1999;10810;3.0
171;Sterk stedelijk;Vermogensmisdrijven;2000;9920;3.0
172;Sterk stedelijk;Vermogensmisdrijven;2001;10400;3.0
173;Sterk stedelijk;Vermogensmisdrijven;2002;11930;3.0
174;Sterk stedelijk;Vermogensmisdrijven;2003;12640;3.0
175;Sterk stedelijk;Vermogensmisdrijven;2004;13470;4.0
176;Sterk stedelijk;Vermogensmisdrijven;2005;13820;4.0
177;Sterk stedelijk;Vermogensmisdrijven;2006;14190;4.0
178;Sterk stedelijk;Vermogensmisdrijven;2007;14300;4.0
179;Sterk stedelijk;Vermogensmisdrijven;2008;14540;4.0
180;Sterk stedelijk;Vernieling en openbare orde;1999;3830;1.0
181;Sterk stedelijk;Vernieling en openbare orde;2000;3940;1.0
182;Sterk stedelijk;Vernieling en openbare orde;2001;4190;1.0
183;Sterk stedelijk;Vernieling en openbare orde;2002;4990;1.0
184;Sterk stedelijk;Vernieling en openbare orde;2003;5670;1.0
185;Sterk stedelijk;Vernieling en openbare orde;2004;6210;2.0
186;Sterk stedelijk;Vernieling en openbare orde;2005;6750;2.0
187;Sterk stedelijk;Vernieling en openbare orde;2006;7120;2.0
188;Sterk stedelijk;Vernieling en openbare orde;2007;7600;2.0
189;Sterk stedelijk;Vernieling en openbare orde;2008;7110;2.0
190;Sterk stedelijk;Geweldsmisdrijven;1999;5770;2.0
191;Sterk stedelijk;Geweldsmisdrijven;2000;6160;2.0
192;Sterk stedelijk;Geweldsmisdrijven;2001;6820;2.0
193;Sterk stedelijk;Geweldsmisdrijven;2002;8330;2.0
194;Sterk stedelijk;Geweldsmisdrijven;2003;10090;3.0
195;Sterk stedelijk;Geweldsmisdrijven;2004;11600;3.0
196;Sterk stedelijk;Geweldsmisdrijven;2005;12520;3.0
197;Sterk stedelijk;Geweldsmisdrijven;2006;13100;3.0
198;Sterk stedelijk;Geweldsmisdrijven;2007;13920;3.0
199;Sterk stedelijk;Geweldsmisdrijven;2008;13920;3.0
200;Sterk stedelijk;Verkeersmisdrijven;1999;9840;3.0
201;Sterk stedelijk;Verkeersmisdrijven;2000;9670;3.0
202;Sterk stedelijk;Verkeersmisdrijven;2001;10230;3.0
203;Sterk stedelijk;Verkeersmisdrijven;2002;11840;3.0
204;Sterk stedelijk;Verkeersmisdrijven;2003;13150;3.0
205;Sterk stedelijk;Verkeersmisdrijven;2004;13130;3.0
206;Sterk stedelijk;Verkeersmisdrijven;2005;13260;4.0
207;Sterk stedelijk;Verkeersmisdrijven;2006;13560;4.0
208;Sterk stedelijk;Verkeersmisdrijven;2007;14560;4.0
209;Sterk stedelijk;Verkeersmisdrijven;2008;14110;3.0
210;Sterk stedelijk;Drugsmisdrijven;1999;1260;0.0
211;Sterk stedelijk;Drugsmisdrijven;2000;1280;0.0
212;Sterk stedelijk;Drugsmisdrijven;2001;1480;0.0
213;Sterk stedelijk;Drugsmisdrijven;2002;1770;0.0
214;Sterk stedelijk;Drugsmisdrijven;2003;2220;1.0
215;Sterk stedelijk;Drugsmisdrijven;2004;2380;1.0
216;Sterk stedelijk;Drugsmisdrijven;2005;2420;1.0
217;Sterk stedelijk;Drugsmisdrijven;2006;2550;1.0
218;Sterk stedelijk;Drugsmisdrijven;2007;2660;1.0
219;Sterk stedelijk;Drugsmisdrijven;2008;2490;1.0
220;Sterk stedelijk;Overige misdrijven;1999;1600;0.0
221;Sterk stedelijk;Overige misdrijven;2000;1740;1.0
222;Sterk stedelijk;Overige misdrijven;2001;1860;1.0
223;Sterk stedelijk;Overige misdrijven;2002;2350;1.0
224;Sterk stedelijk;Overige misdrijven;2003;2820;1.0
225;Sterk stedelijk;Overige misdrijven;2004;3220;1.0
226;Sterk stedelijk;Overige misdrijven;2005;3240;1.0
227;Sterk stedelijk;Overige misdrijven;2006;3110;1.0
228;Sterk stedelijk;Overige misdrijven;2007;3030;1.0
229;Sterk stedelijk;Overige misdrijven;2008;2910;1.0
230;Sterk stedelijk;Verdachten van meer soorten misdrijven;1999;6900;2.0
231;Sterk stedelijk;Verdachten van meer soorten misdrijven;2000;6250;2.0
232;Sterk stedelijk;Verdachten van meer soorten misdrijven;2001;6980;2.0
233;Sterk stedelijk;Verdachten van meer soorten misdrijven;2002;8450;2.0
234;Sterk stedelijk;Verdachten van meer soorten misdrijven;2003;9730;3.0
235;Sterk stedelijk;Verdachten van meer soorten misdrijven;2004;10980;3.0
236;Sterk stedelijk;Verdachten van meer soorten misdrijven;2005;11520;3.0
237;Sterk stedelijk;Verdachten van meer soorten misdrijven;2006;11640;3.0
238;Sterk stedelijk;Verdachten van meer soorten misdrijven;2007;12150;3.0
239;Sterk stedelijk;Verdachten van meer soorten misdrijven;2008;11170;3.0
240;Matig stedelijk;Totaal verdachten van misdrijven;1999;25320;10.0
241;Matig stedelijk;Totaal verdachten van misdrijven;2000;24940;10.0
242;Matig stedelijk;Totaal verdachten van misdrijven;2001;29120;10.0
243;Matig stedelijk;Totaal verdachten van misdrijven;2002;29920;11.0
244;Matig stedelijk;Totaal verdachten van misdrijven;2003;31590;12.0
245;Matig stedelijk;Totaal verdachten van misdrijven;2004;35910;13.0
246;Matig stedelijk;Totaal verdachten van misdrijven;2005;39130;13.0
247;Matig stedelijk;Totaal verdachten van misdrijven;2006;40050;14.0
248;Matig stedelijk;Totaal verdachten van misdrijven;2007;38790;14.0
249;Matig stedelijk;Totaal verdachten van misdrijven;2008;34880;13.0
250;Matig stedelijk;Vermogensmisdrijven;1999;6410;3.0
251;Matig stedelijk;Vermogensmisdrijven;2000;6000;2.0
252;Matig stedelijk;Vermogensmisdrijven;2001;6340;2.0
253;Matig stedelijk;Vermogensmisdrijven;2002;6040;2.0
254;Matig stedelijk;Vermogensmisdrijven;2003;6130;2.0
255;Matig stedelijk;Vermogensmisdrijven;2004;6830;2.0
256;Matig stedelijk;Vermogensmisdrijven;2005;6990;2.0
257;Matig stedelijk;Vermogensmisdrijven;2006;7190;2.0
258;Matig stedelijk;Vermogensmisdrijven;2007;6650;2.0
259;Matig stedelijk;Vermogensmisdrijven;2008;6300;2.0
260;Matig stedelijk;Vernieling en openbare orde;1999;2490;1.0
261;Matig stedelijk;Vernieling en openbare orde;2000;2710;1.0
262;Matig stedelijk;Vernieling en openbare orde;2001;3170;1.0
263;Matig stedelijk;Vernieling en openbare orde;2002;3370;1.0
264;Matig stedelijk;Vernieling en openbare orde;2003;3580;1.0
265;Matig stedelijk;Vernieling en openbare orde;2004;4150;1.0
266;Matig stedelijk;Vernieling en openbare orde;2005;4760;2.0
267;Matig stedelijk;Vernieling en openbare orde;2006;4620;2.0
268;Matig stedelijk;Vernieling en openbare orde;2007;4790;2.0
269;Matig stedelijk;Vernieling en openbare orde;2008;4340;2.0
270;Matig stedelijk;Geweldsmisdrijven;1999;3970;2.0
271;Matig stedelijk;Geweldsmisdrijven;2000;3970;2.0
272;Matig stedelijk;Geweldsmisdrijven;2001;5210;2.0
273;Matig stedelijk;Geweldsmisdrijven;2002;5520;2.0
274;Matig stedelijk;Geweldsmisdrijven;2003;5950;2.0
275;Matig stedelijk;Geweldsmisdrijven;2004;6960;2.0
276;Matig stedelijk;Geweldsmisdrijven;2005;8070;3.0
277;Matig stedelijk;Geweldsmisdrijven;2006;8520;3.0
278;Matig stedelijk;Geweldsmisdrijven;2007;8300;3.0
279;Matig stedelijk;Geweldsmisdrijven;2008;7520;3.0
280;Matig stedelijk;Verkeersmisdrijven;1999;6980;3.0
281;Matig stedelijk;Verkeersmisdrijven;2000;6830;3.0
282;Matig stedelijk;Verkeersmisdrijven;2001;7750;3.0
283;Matig stedelijk;Verkeersmisdrijven;2002;7750;3.0
284;Matig stedelijk;Verkeersmisdrijven;2003;8050;3.0
285;Matig stedelijk;Verkeersmisdrijven;2004;8430;3.0
286;Matig stedelijk;Verkeersmisdrijven;2005;8820;3.0
287;Matig stedelijk;Verkeersmisdrijven;2006;9090;3.0
288;Matig stedelijk;Verkeersmisdrijven;2007;8980;3.0
289;Matig stedelijk;Verkeersmisdrijven;2008;8060;3.0
290;Matig stedelijk;Drugsmisdrijven;1999;630;0.0
291;Matig stedelijk;Drugsmisdrijven;2000;650;0.0
292;Matig stedelijk;Drugsmisdrijven;2001;910;0.0
293;Matig stedelijk;Drugsmisdrijven;2002;950;0.0
294;Matig stedelijk;Drugsmisdrijven;2003;1070;0.0
295;Matig stedelijk;Drugsmisdrijven;2004;1300;0.0
296;Matig stedelijk;Drugsmisdrijven;2005;1500;1.0
297;Matig stedelijk;Drugsmisdrijven;2006;1490;1.0
298;Matig stedelijk;Drugsmisdrijven;2007;1520;1.0
299;Matig stedelijk;Drugsmisdrijven;2008;1190;0.0
300;Matig stedelijk;Overige misdrijven;1999;1190;0.0
301;Matig stedelijk;Overige misdrijven;2000;1250;0.0
302;Matig stedelijk;Overige misdrijven;2001;1480;1.0
303;Matig stedelijk;Overige misdrijven;2002;1540;1.0
304;Matig stedelijk;Overige misdrijven;2003;1820;1.0
305;Matig stedelijk;Overige misdrijven;2004;2240;1.0
306;Matig stedelijk;Overige misdrijven;2005;2320;1.0
307;Matig stedelijk;Overige misdrijven;2006;2200;1.0
308;Matig stedelijk;Overige misdrijven;2007;2090;1.0
309;Matig stedelijk;Overige misdrijven;2008;1850;1.0
310;Matig stedelijk;Verdachten van meer soorten misdrijven;1999;3670;1.0
311;Matig stedelijk;Verdachten van meer soorten misdrijven;2000;3540;1.0
312;Matig stedelijk;Verdachten van meer soorten misdrijven;2001;4260;2.0
313;Matig stedelijk;Verdachten van meer soorten misdrijven;2002;4760;2.0
314;Matig stedelijk;Verdachten van meer soorten misdrijven;2003;5000;2.0
315;Matig stedelijk;Verdachten van meer soorten misdrijven;2004;6010;2.0
316;Matig stedelijk;Verdachten van meer soorten misdrijven;2005;6690;2.0
317;Matig stedelijk;Verdachten van meer soorten misdrijven;2006;6960;2.0
318;Matig stedelijk;Verdachten van meer soorten misdrijven;2007;6470;2.0
319;Matig stedelijk;Verdachten van meer soorten misdrijven;2008;5630;2.0
320;Weinig stedelijk;Totaal verdachten van misdrijven;1999;17860;7.0
321;Weinig stedelijk;Totaal verdachten van misdrijven;2000;17870;7.0
322;Weinig stedelijk;Totaal verdachten van misdrijven;2001;20360;8.0
323;Weinig stedelijk;Totaal verdachten van misdrijven;2002;22610;9.0
324;Weinig stedelijk;Totaal verdachten van misdrijven;2003;26440;10.0
325;Weinig stedelijk;Totaal verdachten van misdrijven;2004;28870;10.0
326;Weinig stedelijk;Totaal verdachten van misdrijven;2005;31600;11.0
327;Weinig stedelijk;Totaal verdachten van misdrijven;2006;32280;11.0
328;Weinig stedelijk;Totaal verdachten van misdrijven;2007;33160;11.0
329;Weinig stedelijk;Totaal verdachten van misdrijven;2008;31690;10.0
330;Weinig stedelijk;Vermogensmisdrijven;1999;3530;1.0
331;Weinig stedelijk;Vermogensmisdrijven;2000;3370;1.0
332;Weinig stedelijk;Vermogensmisdrijven;2001;3570;1.0
333;Weinig stedelijk;Vermogensmisdrijven;2002;3850;1.0
334;Weinig stedelijk;Vermogensmisdrijven;2003;4300;2.0
335;Weinig stedelijk;Vermogensmisdrijven;2004;4490;2.0
336;Weinig stedelijk;Vermogensmisdrijven;2005;4900;2.0
337;Weinig stedelijk;Vermogensmisdrijven;2006;4950;2.0
338;Weinig stedelijk;Vermogensmisdrijven;2007;4890;2.0
339;Weinig stedelijk;Vermogensmisdrijven;2008;4840;2.0
340;Weinig stedelijk;Vernieling en openbare orde;1999;1920;1.0
341;Weinig stedelijk;Vernieling en openbare orde;2000;1960;1.0
342;Weinig stedelijk;Vernieling en openbare orde;2001;2300;1.0
343;Weinig stedelijk;Vernieling en openbare orde;2002;2630;1.0
344;Weinig stedelijk;Vernieling en openbare orde;2003;3110;1.0
345;Weinig stedelijk;Vernieling en openbare orde;2004;3650;1.0
346;Weinig stedelijk;Vernieling en openbare orde;2005;4020;1.0
347;Weinig stedelijk;Vernieling en openbare orde;2006;4030;1.0
348;Weinig stedelijk;Vernieling en openbare orde;2007;4340;1.0
349;Weinig stedelijk;Vernieling en openbare orde;2008;4070;1.0
350;Weinig stedelijk;Geweldsmisdrijven;1999;2850;1.0
351;Weinig stedelijk;Geweldsmisdrijven;2000;2950;1.0
352;Weinig stedelijk;Geweldsmisdrijven;2001;3730;1.0
353;Weinig stedelijk;Geweldsmisdrijven;2002;4160;2.0
354;Weinig stedelijk;Geweldsmisdrijven;2003;4810;2.0
355;Weinig stedelijk;Geweldsmisdrijven;2004;5440;2.0
356;Weinig stedelijk;Geweldsmisdrijven;2005;6420;2.0
357;Weinig stedelijk;Geweldsmisdrijven;2006;6730;2.0
358;Weinig stedelijk;Geweldsmisdrijven;2007;6940;2.0
359;Weinig stedelijk;Geweldsmisdrijven;2008;6630;2.0
360;Weinig stedelijk;Verkeersmisdrijven;1999;5710;2.0
361;Weinig stedelijk;Verkeersmisdrijven;2000;5860;2.0
362;Weinig stedelijk;Verkeersmisdrijven;2001;6400;3.0
363;Weinig stedelijk;Verkeersmisdrijven;2002;6930;3.0
364;Weinig stedelijk;Verkeersmisdrijven;2003;7860;3.0
365;Weinig stedelijk;Verkeersmisdrijven;2004;7780;3.0
366;Weinig stedelijk;Verkeersmisdrijven;2005;8100;3.0
367;Weinig stedelijk;Verkeersmisdrijven;2006;8440;3.0
368;Weinig stedelijk;Verkeersmisdrijven;2007;8810;3.0
369;Weinig stedelijk;Verkeersmisdrijven;2008;8520;3.0
370;Weinig stedelijk;Drugsmisdrijven;1999;360;0.0
371;Weinig stedelijk;Drugsmisdrijven;2000;360;0.0
372;Weinig stedelijk;Drugsmisdrijven;2001;510;0.0
373;Weinig stedelijk;Drugsmisdrijven;2002;610;0.0
374;Weinig stedelijk;Drugsmisdrijven;2003;830;0.0
375;Weinig stedelijk;Drugsmisdrijven;2004;960;0.0
376;Weinig stedelijk;Drugsmisdrijven;2005;1120;0.0
377;Weinig stedelijk;Drugsmisdrijven;2006;1160;0.0
378;Weinig stedelijk;Drugsmisdrijven;2007;1200;0.0
379;Weinig stedelijk;Drugsmisdrijven;2008;1050;0.0
380;Weinig stedelijk;Overige misdrijven;1999;1150;0.0
381;Weinig stedelijk;Overige misdrijven;2000;1100;0.0
382;Weinig stedelijk;Overige misdrijven;2001;1250;0.0
383;Weinig stedelijk;Overige misdrijven;2002;1550;1.0
384;Weinig stedelijk;Overige misdrijven;2003;1950;1.0
385;Weinig stedelijk;Overige misdrijven;2004;2220;1.0
