ID;Geslacht;LeeftijdPartnerOp31December;HuwelijksduurOp31December;Perioden;OverledenenGehuwden_1
59;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;1999;261.0
60;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2000;233.0
61;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2001;253.0
62;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2002;260.0
63;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2003;268.0
64;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2004;253.0
65;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2005;261.0
66;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2006;241.0
67;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2007;245.0
68;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2008;237.0
69;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2009;273.0
70;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2010;361.0
71;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2011;302.0
72;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2012;360.0
73;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2013;313.0
74;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2014;307.0
75;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2015;295.0
76;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2016;318.0
77;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2017;298.0
78;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2018;394.0
79;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2019;355.0
80;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2020;392.0
81;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2021;356.0
82;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2022;425.0
83;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;2023;404.0
84;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;1996;222.0
85;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;1997;182.0
86;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;1998;185.0
87;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;1999;183.0
88;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2000;219.0
89;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2001;195.0
90;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2002;222.0
91;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2003;200.0
92;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2004;207.0
93;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2005;169.0
94;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2006;184.0
95;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2007;183.0
96;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2008;204.0
97;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2009;189.0
98;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2010;264.0
99;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2011;239.0
100;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2012;243.0
101;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2013;225.0
102;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2014;223.0
103;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2015;218.0
104;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2016;239.0
105;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2017;214.0
106;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2018;251.0
107;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2019;237.0
108;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2020;273.0
109;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2021;297.0
110;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2022;227.0
111;Totaal mannen en vrouwen;Totaal;2 jaar gehuwd geweest;2023;271.0
112;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;1996;190.0
113;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;1997;210.0
114;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;1998;175.0
115;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;1999;224.0
116;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2000;218.0
117;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2001;242.0
118;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2002;196.0
119;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2003;201.0
120;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2004;187.0
121;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2005;198.0
122;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2006;174.0
123;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2007;191.0
124;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2008;192.0
125;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2009;152.0
126;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2010;225.0
127;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2011;236.0
128;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2012;254.0
129;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2013;238.0
130;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2014;233.0
131;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2015;200.0
132;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2016;191.0
133;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2017;173.0
134;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2018;202.0
135;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2019;232.0
136;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2020;249.0
137;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2021;238.0
138;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2022;237.0
139;Totaal mannen en vrouwen;Totaal;3 jaar gehuwd geweest;2023;234.0
140;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;1996;232.0
141;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;1997;194.0
142;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;1998;203.0
143;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;1999;196.0
144;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2000;188.0
145;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2001;179.0
146;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2002;236.0
147;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2003;212.0
148;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2004;202.0
149;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2005;189.0
150;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2006;189.0
151;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2007;176.0
152;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2008;197.0
153;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2009;180.0
154;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2010;220.0
155;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2011;212.0
156;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2012;252.0
157;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2013;244.0
158;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2014;216.0
159;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2015;221.0
160;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2016;226.0
161;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2017;226.0
162;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2018;190.0
163;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2019;210.0
164;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2020;205.0
165;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2021;253.0
166;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2022;242.0
167;Totaal mannen en vrouwen;Totaal;4 jaar gehuwd geweest;2023;256.0
168;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;1996;195.0
169;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;1997;229.0
170;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;1998;182.0
171;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;1999;196.0
172;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2000;212.0
173;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2001;182.0
174;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2002;205.0
175;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2003;180.0
176;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2004;190.0
177;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2005;194.0
178;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2006;216.0
179;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2007;210.0
180;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2008;200.0
181;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2009;202.0
182;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2010;222.0
183;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2011;221.0
184;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2012;220.0
185;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2013;223.0
186;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2014;221.0
187;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2015;219.0
188;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2016;241.0
189;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2017;227.0
190;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2018;241.0
191;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2019;232.0
192;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2020;223.0
193;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2021;263.0
194;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2022;233.0
195;Totaal mannen en vrouwen;Totaal;5 jaar gehuwd geweest;2023;245.0
196;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;1996;211.0
197;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;1997;222.0
198;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;1998;202.0
199;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;1999;213.0
200;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2000;196.0
201;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2001;183.0
202;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2002;183.0
203;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2003;208.0
204;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2004;207.0
205;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2005;203.0
206;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2006;217.0
207;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2007;215.0
208;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2008;211.0
209;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2009;203.0
210;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2010;223.0
211;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2011;237.0
212;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2012;248.0
213;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2013;213.0
214;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2014;249.0
215;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2015;242.0
216;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2016;229.0
217;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2017;251.0
218;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2018;224.0
219;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2019;229.0
220;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2020;230.0
221;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2021;245.0
222;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2022;229.0
223;Totaal mannen en vrouwen;Totaal;6 jaar gehuwd geweest;2023;250.0
224;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;1996;200.0
225;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;1997;202.0
226;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;1998;226.0
227;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;1999;198.0
228;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2000;210.0
229;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2001;221.0
230;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2002;191.0
231;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2003;209.0
232;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2004;215.0
233;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2005;200.0
234;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2006;211.0
235;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2007;191.0
236;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2008;225.0
237;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2009;190.0
238;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2010;209.0
239;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2011;250.0
240;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2012;211.0
241;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2013;248.0
242;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2014;257.0
243;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2015;268.0
244;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2016;266.0
245;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2017;230.0
246;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2018;223.0
247;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2019;207.0
248;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2020;252.0
249;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2021;256.0
250;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2022;249.0
251;Totaal mannen en vrouwen;Totaal;7 jaar gehuwd geweest;2023;267.0
252;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;1996;174.0
253;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;1997;201.0
254;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;1998;208.0
255;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;1999;228.0
256;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2000;240.0
257;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2001;203.0
258;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2002;242.0
259;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2003;191.0
260;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2004;223.0
261;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2005;203.0
262;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2006;245.0
263;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2007;209.0
264;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2008;228.0
265;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2009;228.0
266;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2010;219.0
267;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2011;220.0
268;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2012;222.0
269;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2013;245.0
270;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2014;236.0
271;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2015;237.0
272;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2016;293.0
273;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2017;287.0
274;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2018;283.0
275;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2019;246.0
276;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2020;265.0
277;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2021;278.0
278;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2022;229.0
279;Totaal mannen en vrouwen;Totaal;8 jaar gehuwd geweest;2023;245.0
280;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;1996;224.0
281;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;1997;201.0
282;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;1998;238.0
283;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;1999;256.0
284;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2000;226.0
285;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2001;236.0
286;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2002;229.0
287;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2003;224.0
288;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2004;193.0
289;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2005;208.0
290;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2006;237.0
291;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2007;217.0
292;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2008;224.0
293;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2009;207.0
294;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2010;248.0
295;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2011;261.0
296;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2012;237.0
297;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2013;252.0
298;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2014;266.0
299;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2015;272.0
300;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2016;258.0
301;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2017;272.0
302;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2018;252.0
303;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2019;251.0
304;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2020;286.0
305;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2021;307.0
306;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2022;225.0
307;Totaal mannen en vrouwen;Totaal;9 jaar gehuwd geweest;2023;236.0
308;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;1996;227.0
309;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;1997;214.0
310;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;1998;244.0
311;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;1999;211.0
312;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2000;229.0
313;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2001;249.0
314;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2002;220.0
315;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2003;216.0
316;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2004;222.0
317;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2005;194.0
318;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2006;227.0
319;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2007;250.0
320;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2008;204.0
321;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2009;217.0
322;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2010;277.0
323;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2011;252.0
324;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2012;249.0
325;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2013;244.0
326;Totaal mannen en vrouwen;Totaal;10 jaar gehuwd geweest;2014;252.0
