ID;Leeftijd;Regiokenmerken;Inwoners_1;Bijstandsontvangers_2;Bijstandsdichtheid_3;Instroom_4;Instroom_5;Uitstroom_6;Uitstroom_7;UitstroomNaarWerk_8;UitstroomNaarWerk_9;PersonenMetReIntegratievoorziening_10;WerkNaReIntegratie_11;WerkNaReIntegratie_12;PersonenMetBijstandEnReIntegratie_13;BijstandsontvangersMetReIntegratie_14;ReIntegratieontvangersMetBijstand_15;WSWWerknemers_16;WSWDichtheid_17
401;15 jaar of ouder;Vught;21890;330;15.0;110;24.0;130;29.0;60.0;14.5;320.0;80.0;29.5;200.0;67.5;63.5;200.0;9.0
402;15 jaar of ouder;Waalre;14240;250;18.0;60;19.5;40;14.0;10.0;5.0;90.0;20.0;13.5;70.0;28.5;76.5;60.0;4.0
403;15 jaar of ouder;Waalwijk;40340;900;22.5;220;19.0;300;25.5;140.0;13.0;290.0;130.0;22.5;150.0;18.0;51.5;270.0;6.5
404;15 jaar of ouder;Waddinxveen;22790;430;19.0;110;21.0;110;21.0;60.0;13.0;130.0;30.0;9.5;70.0;19.0;58.5;100.0;4.5
405;15 jaar of ouder;Wageningen;33610;890;26.5;280;24.5;270;23.5;140.0;13.0;300.0;130.0;23.0;210.0;25.5;69.5;170.0;5.0
406;15 jaar of ouder;Wassenaar;21600;520;24.5;130;20.5;120;18.5;60.0;10.0;300.0;70.0;31.5;250.0;51.5;81.5;50.0;2.5
407;15 jaar of ouder;Waterland;14500;220;15.0;60;26.5;40;14.5;20.0;8.0;30.0;0.0;;20.0;8.5;60.5;30.0;2.0
408;15 jaar of ouder;Weert;42700;1170;27.5;310;20.0;320;20.5;170.0;12.0;1170.0;240.0;44.5;880.0;84.5;75.5;420.0;10.0
409;15 jaar of ouder;Weesp;16000;490;30.5;90;14.5;100;17.5;50.0;10.5;230.0;40.0;22.5;190.0;46.5;82.5;40.0;2.5
410;15 jaar of ouder;Werkendam;22160;330;15.0;90;21.5;80;20.0;50.0;11.5;120.0;30.0;17.0;90.0;28.0;75.0;80.0;3.5
411;15 jaar of ouder;West Maas en Waal;16120;260;16.0;70;19.5;70;21.0;40.0;12.0;50.0;20.0;10.5;30.0;13.0;61.5;60.0;4.0
412;15 jaar of ouder;Westerveld;16580;240;14.5;60;19.0;80;25.0;30.0;10.0;270.0;20.0;16.0;200.0;85.0;74.5;130.0;8.0
413;15 jaar of ouder;Westervoort;12730;440;34.5;110;18.5;120;21.0;70.0;12.5;150.0;60.0;29.0;110.0;26.0;69.5;100.0;8.0
414;15 jaar of ouder;Westland;89750;1490;16.5;350;18.5;420;22.5;220.0;12.5;570.0;160.0;20.5;430.0;31.5;76.5;320.0;3.5
415;15 jaar of ouder;Weststellingwerf;21790;580;26.5;150;20.0;180;24.0;100.0;14.0;580.0;130.0;41.0;420.0;78.0;73.0;200.0;9.0
416;15 jaar of ouder;Westvoorne;12570;150;12.5;50;23.5;50;24.0;30.0;14.0;50.0;20.0;17.5;20.0;15.0;45.0;20.0;1.5
417;15 jaar of ouder;Wierden;19950;280;14.0;90;24.5;70;20.5;40.0;11.0;110.0;40.0;22.5;60.0;23.0;51.5;110.0;5.5
418;15 jaar of ouder;Wijchen;34300;830;24.5;180;17.0;200;19.0;100.0;10.5;80.0;30.0;8.0;40.0;5.5;51.0;220.0;6.5
419;15 jaar of ouder;Wijdemeren;20010;250;12.5;80;22.0;100;27.5;40.0;12.5;80.0;30.0;16.5;50.0;20.5;57.0;30.0;1.5
420;15 jaar of ouder;Wijk bij Duurstede;19760;320;16.0;70;19.5;70;19.0;40.0;11.0;160.0;40.0;23.5;120.0;41.0;74.5;60.0;3.0
421;15 jaar of ouder;Winsum;11240;300;26.5;100;24.5;80;21.0;50.0;12.5;320.0;60.0;41.0;250.0;85.5;77.5;80.0;7.0
