ID;RegioS2007;Perioden;Huishoudens_1;Eenpersoonshuishoudens_2;Paren_3;Eenouderhuishoudens_4;OverigeHuishoudens_5;Huishoudens_6;Eenpersoonshuishoudens_7;Paren_8;Eenouderhuishoudens_9;OverigeHuishoudens_10;Huishoudens_11;Eenpersoonshuishoudens_12;Paren_13;Eenouderhuishoudens_14;OverigeHuishoudens_15;Huishoudens_16;Eenpersoonshuishoudens_17;Paren_18;Eenouderhuishoudens_19;OverigeHuishoudens_20;Regiocode_21
10;Nederland;2018;7738.1;3026.0;4166.9;493.6;51.6;6020.1;2304.8;3373.8;313.1;28.3;895.8;366.2;391.7;123.2;14.7;822.2;355.0;401.4;57.2;8.6;1
11;Nederland;2019;7780.5;3065.3;4170.6;492.7;51.9;6036.3;2329.9;3367.3;310.6;28.4;915.3;375.8;400.2;124.6;14.7;828.8;359.6;403.1;57.5;8.7;1
12;Nederland;2020;7820.8;3103.5;4173.7;491.4;52.2;6050.5;2354.0;3360.1;307.9;28.5;935.0;385.4;408.9;125.9;14.9;835.2;364.1;404.7;57.7;8.8;1
13;Nederland;2021;7859.1;3140.5;4176.2;489.9;52.4;6062.6;2376.7;3352.2;305.1;28.6;954.8;395.2;417.7;126.9;15.0;841.6;368.6;406.3;57.9;8.9;1
14;Nederland;2022;7895.8;3176.7;4178.1;488.3;52.6;6073.2;2399.0;3343.3;302.3;28.6;974.7;404.7;426.9;127.9;15.1;847.9;373.0;407.9;58.1;8.9;1
15;Nederland;2023;7930.4;3211.3;4179.5;486.7;52.8;6081.6;2419.8;3333.7;299.5;28.7;994.7;414.2;436.3;129.0;15.2;854.1;377.3;409.6;58.2;9.0;1
16;Nederland;2024;7962.4;3244.2;4180.2;485.1;52.9;6087.9;2439.4;3323.2;296.7;28.6;1014.3;423.4;445.7;130.0;15.2;860.2;381.3;411.3;58.5;9.0;1
17;Nederland;2025;7991.6;3275.1;4180.0;483.7;52.9;6091.2;2457.0;3311.6;294.1;28.6;1034.1;432.6;455.2;131.0;15.3;866.3;385.4;413.1;58.7;9.1;1
18;Noord-Nederland (LD);2008;752.9;262.0;443.5;42.6;4.8;674.1;230.6;405.8;34.5;3.3;30.0;12.8;11.6;4.7;1.0;48.8;18.6;26.2;3.5;0.6;1
19;Noord-Nederland (LD);2009;755.7;264.7;443.1;43.1;4.9;675.1;232.7;404.7;34.5;3.2;31.4;13.1;12.2;5.1;1.0;49.1;18.9;26.2;3.5;0.6;1
20;Noord-Nederland (LD);2010;759.4;268.0;443.0;43.5;4.9;676.7;234.9;404.0;34.5;3.2;33.1;13.8;12.8;5.5;1.0;49.6;19.3;26.2;3.5;0.6;1
21;Noord-Nederland (LD);2011;763.2;271.7;442.8;43.8;4.9;678.6;237.7;403.2;34.5;3.2;34.8;14.5;13.5;5.8;1.1;49.8;19.5;26.2;3.5;0.6;1
22;Noord-Nederland (LD);2012;767.6;275.5;443.1;44.1;4.9;680.8;240.3;402.8;34.4;3.2;36.6;15.3;14.1;6.2;1.0;50.2;19.9;26.1;3.5;0.7;1
23;Noord-Nederland (LD);2013;771.7;279.4;443.0;44.4;5.0;682.8;243.2;402.1;34.3;3.2;38.3;15.9;14.8;6.6;1.1;50.6;20.3;26.1;3.5;0.7;1
24;Noord-Nederland (LD);2014;776.0;283.4;443.0;44.6;5.0;684.9;246.2;401.3;34.2;3.3;40.0;16.6;15.5;6.9;1.1;51.0;20.7;26.2;3.5;0.6;1
25;Noord-Nederland (LD);2015;779.9;287.1;443.0;44.7;5.0;686.6;248.8;400.6;34.0;3.3;41.8;17.2;16.2;7.2;1.1;51.4;21.1;26.2;3.6;0.6;1
26;Noord-Nederland (LD);2016;784.0;290.9;443.3;44.9;5.0;688.6;251.4;400.1;33.9;3.2;43.7;18.1;17.0;7.5;1.2;51.8;21.4;26.1;3.6;0.7;1
27;Noord-Nederland (LD);2017;787.8;294.8;443.1;44.9;5.1;690.2;254.3;399.0;33.7;3.2;45.4;18.7;17.9;7.7;1.2;52.2;21.8;26.1;3.5;0.7;1
28;Noord-Nederland (LD);2018;791.6;298.4;443.2;44.9;5.1;692.1;257.1;398.3;33.4;3.2;47.2;19.3;18.8;7.9;1.2;52.4;22.0;26.1;3.5;0.7;1
29;Noord-Nederland (LD);2019;795.0;301.8;443.3;44.8;5.1;693.4;259.5;397.7;33.1;3.2;49.0;20.1;19.6;8.2;1.2;52.6;22.3;26.1;3.5;0.7;1
30;Noord-Nederland (LD);2020;798.4;305.4;443.0;44.9;5.1;694.7;262.1;396.7;32.8;3.2;50.8;20.8;20.3;8.5;1.2;52.9;22.5;26.1;3.6;0.7;1
31;Noord-Nederland (LD);2021;801.4;308.7;442.9;44.8;5.1;695.8;264.4;395.6;32.6;3.2;52.5;21.4;21.1;8.7;1.2;53.2;22.8;26.2;3.5;0.7;1
32;Noord-Nederland (LD);2022;804.3;311.8;442.8;44.7;5.0;696.7;266.7;394.5;32.3;3.2;54.1;22.1;22.1;8.8;1.2;53.5;23.1;26.2;3.5;0.7;1
33;Noord-Nederland (LD);2023;807.0;314.5;442.8;44.5;5.1;697.5;268.7;393.5;32.1;3.2;55.9;22.8;23.0;8.9;1.2;53.6;23.1;26.3;3.5;0.7;1
34;Noord-Nederland (LD);2024;809.3;317.6;442.3;44.3;5.1;697.8;270.7;392.2;31.7;3.2;57.7;23.6;23.8;9.0;1.2;53.9;23.4;26.3;3.5;0.7;1
35;Noord-Nederland (LD);2025;811.5;320.1;441.9;44.3;5.1;697.9;272.2;390.8;31.6;3.2;59.4;24.3;24.7;9.2;1.2;54.2;23.6;26.4;3.6;0.7;1
36;Oost-Nederland (LD);2008;1464.5;475.0;895.1;85.6;8.8;1229.8;389.3;772.7;62.4;5.4;105.7;37.9;51.3;14.4;2.1;129.0;47.9;71.1;8.8;1.2;2
37;Oost-Nederland (LD);2009;1479.1;487.4;895.8;87.1;8.8;1239.7;399.3;772.1;62.9;5.4;109.5;39.2;52.7;15.3;2.2;129.9;48.9;71.0;8.8;1.2;2
38;Oost-Nederland (LD);2010;1492.7;498.9;896.5;88.3;9.0;1248.0;407.7;771.5;63.3;5.4;113.7;41.1;54.2;16.1;2.3;131.1;50.1;70.8;8.9;1.3;2
39;Oost-Nederland (LD);2011;1506.3;509.8;898.2;89.3;9.0;1256.4;416.0;771.5;63.5;5.4;117.8;42.7;55.9;16.9;2.3;132.1;51.1;70.8;8.9;1.3;2
40;Oost-Nederland (LD);2012;1519.5;521.0;899.2;90.2;9.1;1264.2;424.2;771.0;63.6;5.4;122.2;44.7;57.4;17.7;2.4;133.0;52.0;70.8;8.8;1.4;2
41;Oost-Nederland (LD);2013;1532.3;531.1;900.9;91.0;9.2;1271.5;431.4;770.8;63.8;5.5;126.7;46.7;59.2;18.4;2.3;134.2;53.0;71.0;8.8;1.4;2
42;Oost-Nederland (LD);2014;1544.3;540.9;902.6;91.5;9.3;1278.1;438.4;770.5;63.7;5.4;131.0;48.6;61.0;19.0;2.4;135.2;53.9;71.1;8.9;1.4;2
43;Oost-Nederland (LD);2015;1555.8;550.2;904.5;91.9;9.3;1284.3;444.9;770.5;63.5;5.4;135.5;50.6;62.9;19.5;2.5;136.0;54.6;71.1;8.9;1.5;2
44;Oost-Nederland (LD);2016;1567.0;559.8;905.5;92.2;9.3;1289.9;451.7;769.6;63.2;5.4;139.9;52.5;64.8;20.1;2.5;137.1;55.6;71.1;8.9;1.4;2
45;Oost-Nederland (LD);2017;1577.5;568.7;906.8;92.5;9.5;1295.4;458.1;768.9;62.9;5.5;144.4;54.3;66.8;20.7;2.6;137.7;56.3;71.1;8.9;1.5;2
46;Oost-Nederland (LD);2018;1587.4;577.5;907.8;92.6;9.5;1300.3;464.3;768.0;62.5;5.5;148.7;56.3;68.6;21.2;2.6;138.4;56.9;71.1;8.9;1.4;2
47;Oost-Nederland (LD);2019;1597.0;585.8;909.1;92.5;9.5;1304.4;469.9;767.1;61.9;5.5;153.4;58.4;70.8;21.6;2.6;139.1;57.5;71.3;9.0;1.4;2
48;Oost-Nederland (LD);2020;1606.0;594.1;910.0;92.2;9.7;1308.4;475.6;766.0;61.3;5.6;157.8;60.3;72.9;21.9;2.7;139.8;58.3;71.2;9.0;1.5;2
49;Oost-Nederland (LD);2021;1614.4;601.8;910.8;92.1;9.7;1311.8;480.9;764.6;60.7;5.6;162.4;62.3;75.1;22.3;2.7;140.2;58.6;71.0;9.0;1.5;2
50;Oost-Nederland (LD);2022;1622.1;609.3;911.2;91.9;9.8;1314.5;485.7;763.0;60.2;5.6;166.8;64.3;77.2;22.6;2.7;140.8;59.3;71.0;9.0;1.5;2
51;Oost-Nederland (LD);2023;1629.4;616.4;911.6;91.7;9.8;1316.8;490.4;761.3;59.6;5.6;171.3;66.1;79.5;23.0;2.7;141.3;59.9;70.9;9.1;1.5;2
52;Oost-Nederland (LD);2024;1636.0;623.3;911.5;91.5;9.8;1318.6;494.8;759.2;59.1;5.6;175.8;68.2;81.6;23.3;2.7;141.6;60.3;70.7;9.0;1.5;2
53;Oost-Nederland (LD);2025;1641.8;629.8;911.1;91.2;9.8;1319.7;499.1;756.6;58.4;5.6;180.1;69.9;83.8;23.7;2.7;142.0;60.7;70.7;9.0;1.5;2
54;West-Nederland (LD);2008;3495.5;1362.1;1859.2;249.0;25.2;2627.4;1004.7;1460.9;149.3;12.6;478.8;190.7;207.7;71.9;8.5;389.3;166.7;190.6;27.8;4.1;3
55;West-Nederland (LD);2009;3518.2;1378.3;1863.3;251.3;25.3;2635.5;1012.5;1459.4;150.7;12.8;486.9;195.4;211.3;71.9;8.3;395.8;170.3;192.7;28.7;4.2;3
56;West-Nederland (LD);2010;3542.3;1395.2;1868.4;253.2;25.5;2645.0;1021.5;1458.7;151.8;13.0;495.0;200.1;214.7;72.0;8.2;402.3;173.6;195.0;29.3;4.3;3
57;West-Nederland (LD);2011;3567.5;1413.6;1873.5;254.8;25.6;2654.7;1030.7;1458.3;152.7;13.1;503.5;205.2;218.0;72.1;8.2;409.3;177.7;197.1;30.0;4.4;3
58;West-Nederland (LD);2012;3593.2;1432.0;1879.1;256.2;25.8;2665.5;1040.8;1458.3;153.4;13.1;511.6;209.8;221.3;72.2;8.3;416.0;181.4;199.5;30.7;4.4;3
59;West-Nederland (LD);2013;3619.0;1451.0;1885.1;257.1;25.8;2675.9;1050.9;1458.4;153.4;13.1;520.3;214.7;224.9;72.5;8.3;422.8;185.4;201.8;31.2;4.5;3
60;West-Nederland (LD);2014;3644.7;1470.0;1891.0;257.7;26.0;2686.5;1061.6;1458.4;153.3;13.2;529.0;219.5;228.5;72.8;8.2;429.2;189.0;204.1;31.6;4.5;3
61;West-Nederland (LD);2015;3670.0;1489.3;1896.3;258.3;26.2;2696.9;1072.4;1457.9;153.2;13.4;537.5;224.3;232.0;73.1;8.2;435.6;192.7;206.4;32.0;4.6;3
62;West-Nederland (LD);2016;3694.3;1507.8;1902.0;258.2;26.4;2706.8;1082.6;1458.0;152.7;13.5;545.9;229.2;235.3;73.1;8.3;441.7;196.0;208.6;32.4;4.6;3
63;West-Nederland (LD);2017;3718.6;1526.5;1907.8;258.0;26.3;2716.1;1093.2;1457.7;151.9;13.4;554.8;234.1;239.1;73.3;8.2;447.7;199.2;211.0;32.8;4.6;3
64;West-Nederland (LD);2018;3742.5;1545.2;1913.0;257.5;26.7;2725.0;1103.5;1457.0;150.9;13.6;564.0;239.2;242.8;73.6;8.3;453.5;202.5;213.1;33.0;4.8;3
65;West-Nederland (LD);2019;3765.8;1564.3;1917.4;257.2;26.9;2733.4;1114.4;1455.4;150.0;13.6;573.3;244.3;246.7;74.0;8.3;459.1;205.6;215.3;33.2;4.9;3
66;West-Nederland (LD);2020;3788.4;1583.0;1921.9;256.5;27.0;2741.2;1125.1;1453.5;148.9;13.7;582.6;249.2;250.9;74.1;8.4;464.6;208.6;217.5;33.5;5.0;3
67;West-Nederland (LD);2021;3810.5;1601.8;1925.8;255.6;27.3;2747.9;1135.4;1451.4;147.5;13.7;592.2;254.4;255.0;74.3;8.5;470.4;212.0;219.5;33.8;5.0;3
68;West-Nederland (LD);2022;3832.3;1620.9;1929.5;254.5;27.4;2754.4;1146.2;1448.5;146.0;13.7;601.9;259.5;259.4;74.5;8.6;476.0;215.2;221.7;34.0;5.1;3
69;West-Nederland (LD);2023;3853.3;1639.6;1932.5;253.6;27.7;2760.1;1156.4;1445.1;144.7;13.8;611.7;264.6;263.7;74.7;8.7;481.5;218.5;223.7;34.1;5.1;3
70;West-Nederland (LD);2024;3873.2;1656.6;1936.0;252.8;27.8;2765.0;1165.8;1441.8;143.5;13.8;621.0;269.2;268.3;74.8;8.7;487.2;221.6;225.9;34.5;5.2;3
71;West-Nederland (LD);2025;3892.4;1673.7;1939.0;252.0;27.7;2769.0;1174.8;1438.2;142.3;13.7;630.8;274.2;272.9;75.0;8.7;492.6;224.7;228.0;34.7;5.3;3
72;Zuid-Nederland (LD);2008;1534.0;499.9;933.2;91.1;9.8;1265.2;402.6;789.6;66.8;6.2;94.5;33.1;46.7;12.5;2.2;174.3;64.2;96.8;11.8;1.5;4
73;Zuid-Nederland (LD);2009;1543.0;512.1;928.0;93.0;9.9;1269.6;412.0;784.0;67.6;6.1;98.6;34.8;47.9;13.7;2.3;174.7;65.4;96.1;11.7;1.5;4
74;Zuid-Nederland (LD);2010;1552.1;524.3;923.5;94.5;9.8;1274.3;421.4;779.0;67.9;6.0;102.8;36.3;49.2;14.9;2.4;175.0;66.6;95.3;11.7;1.5;4
75;Zuid-Nederland (LD);2011;1561.1;535.7;919.6;95.8;10.0;1278.7;429.8;774.6;68.2;6.1;106.8;38.2;50.4;15.9;2.4;175.5;67.7;94.6;11.7;1.5;4
76;Zuid-Nederland (LD);2012;1570.0;546.7;916.5;96.8;10.0;1282.7;437.8;770.6;68.3;6.1;111.0;39.9;51.8;16.8;2.4;176.3;69.0;94.1;11.7;1.5;4
77;Zuid-Nederland (LD);2013;1579.0;557.7;913.6;97.6;10.1;1287.3;446.0;767.0;68.3;6.1;115.0;41.8;53.1;17.6;2.5;176.6;69.9;93.5;11.7;1.5;4
78;Zuid-Nederland (LD);2014;1587.5;568.1;911.1;98.3;10.1;1291.3;453.5;763.5;68.2;6.1;119.2;43.8;54.6;18.3;2.4;177.1;70.7;93.0;11.7;1.6;4
79;Zuid-Nederland (LD);2015;1595.7;577.9;909.1;98.6;10.2;1295.1;460.9;760.4;67.8;6.0;123.3;45.6;56.2;19.0;2.5;177.3;71.3;92.5;11.8;1.6;4
80;Zuid-Nederland (LD);2016;1603.2;587.1;907.1;98.7;10.2;1298.3;467.7;757.1;67.4;6.1;127.5;47.5;57.9;19.7;2.5;177.4;71.9;92.1;11.7;1.7;4
81;Zuid-Nederland (LD);2017;1610.2;596.1;905.0;98.7;10.4;1300.9;473.8;754.0;66.9;6.1;131.6;49.5;59.5;20.1;2.5;177.7;72.7;91.5;11.7;1.8;4
82;Zuid-Nederland (LD);2018;1616.5;604.9;902.9;98.5;10.3;1302.7;479.9;750.5;66.3;6.1;135.9;51.5;61.4;20.5;2.5;177.9;73.5;91.0;11.7;1.7;4
83;Zuid-Nederland (LD);2019;1622.7;613.3;900.8;98.2;10.4;1305.1;486.1;747.2;65.6;6.1;139.6;53.1;63.2;20.8;2.6;178.0;74.2;90.4;11.7;1.7;4
84;Zuid-Nederland (LD);2020;1628.0;621.0;898.8;97.8;10.3;1306.2;491.2;744.0;64.9;6.1;143.8;55.1;64.8;21.3;2.6;178.0;74.7;90.0;11.6;1.7;4
85;Zuid-Nederland (LD);2021;1632.7;628.2;896.7;97.4;10.3;1307.1;495.9;740.7;64.3;6.1;147.7;57.1;66.4;21.6;2.6;177.9;75.1;89.6;11.5;1.7;4
86;Zuid-Nederland (LD);2022;1637.0;634.7;894.6;97.3;10.4;1307.6;500.4;737.3;63.7;6.2;151.8;58.9;68.3;22.0;2.6;177.6;75.4;89.1;11.5;1.7;4
87;Zuid-Nederland (LD);2023;1640.7;640.8;892.6;97.0;10.3;1307.3;504.3;733.7;63.1;6.1;155.8;60.7;70.1;22.4;2.6;177.7;75.8;88.7;11.5;1.7;4
88;Zuid-Nederland (LD);2024;1643.8;646.6;890.4;96.5;10.3;1306.6;508.2;730.0;62.3;6.0;159.8;62.4;72.0;22.8;2.6;177.4;76.0;88.4;11.4;1.6;4
89;Zuid-Nederland (LD);2025;1645.9;651.6;887.9;96.2;10.3;1304.6;510.9;726.0;61.7;6.0;163.7;64.2;73.8;23.0;2.6;177.6;76.4;88.1;11.4;1.7;4
90;Groningen (PV);2008;270.0;110.0;141.7;16.1;2.2;235.0;94.3;126.8;12.5;1.4;14.1;6.6;5.0;2.1;0.4;21.0;9.2;10.0;1.5;0.3;20
91;Groningen (PV);2009;270.4;110.7;141.1;16.4;2.2;234.8;94.7;126.1;12.6;1.4;14.6;6.8;5.1;2.3;0.5;21.0;9.2;9.9;1.5;0.3;20
92;Groningen (PV);2010;271.3;111.8;140.7;16.6;2.2;235.0;95.4;125.5;12.7;1.4;15.2;7.1;5.3;2.4;0.4;21.1;9.3;10.0;1.5;0.3;20
93;Groningen (PV);2011;272.5;113.1;140.4;16.8;2.2;235.6;96.4;125.0;12.8;1.4;15.7;7.3;5.5;2.5;0.5;21.2;9.4;9.9;1.5;0.3;20
94;Groningen (PV);2012;274.1;114.7;140.3;17.0;2.2;236.5;97.5;124.7;12.8;1.5;16.4;7.6;5.7;2.6;0.4;21.3;9.6;9.8;1.5;0.3;20
95;Groningen (PV);2013;275.6;116.4;140.0;17.1;2.2;237.3;98.7;124.4;12.8;1.4;16.9;7.9;5.9;2.7;0.4;21.4;9.7;9.8;1.6;0.3;20
96;Groningen (PV);2014;277.3;118.1;139.8;17.2;2.2;238.2;100.0;123.9;12.9;1.4;17.6;8.2;6.1;2.8;0.5;21.5;9.9;9.7;1.6;0.3;20
97;Groningen (PV);2015;278.7;119.6;139.7;17.2;2.2;239.1;101.1;123.6;12.9;1.5;18.1;8.5;6.4;2.8;0.5;21.6;10.0;9.7;1.6;0.3;20
98;Groningen (PV);2016;280.4;121.3;139.6;17.4;2.2;239.9;102.3;123.3;12.9;1.4;18.9;8.8;6.6;2.9;0.5;21.7;10.1;9.7;1.6;0.3;20
99;Groningen (PV);2017;281.8;122.8;139.4;17.4;2.2;240.5;103.3;122.9;12.8;1.4;19.5;9.1;6.9;3.0;0.5;21.8;10.4;9.6;1.6;0.3;20
100;Groningen (PV);2018;283.2;124.2;139.3;17.5;2.2;241.3;104.5;122.5;12.8;1.4;20.1;9.3;7.2;3.1;0.5;21.8;10.3;9.6;1.6;0.3;20
101;Groningen (PV);2019;284.5;125.6;139.1;17.4;2.3;242.0;105.5;122.2;12.8;1.4;20.7;9.7;7.4;3.1;0.5;21.8;10.4;9.5;1.6;0.3;20
102;Groningen (PV);2020;285.7;127.0;138.9;17.5;2.3;242.5;106.5;121.9;12.7;1.5;21.4;10.0;7.6;3.3;0.5;21.8;10.5;9.4;1.6;0.3;20
103;Groningen (PV);2021;286.8;128.4;138.7;17.5;2.3;243.0;107.5;121.4;12.7;1.4;21.9;10.3;7.8;3.3;0.5;21.9;10.6;9.4;1.5;0.3;20
104;Groningen (PV);2022;288.0;129.8;138.5;17.4;2.3;243.4;108.4;121.0;12.6;1.4;22.6;10.6;8.1;3.3;0.5;22.0;10.7;9.4;1.5;0.3;20
105;Groningen (PV);2023;289.1;130.9;138.4;17.5;2.3;243.9;109.2;120.7;12.6;1.4;23.2;10.9;8.4;3.3;0.5;22.0;10.7;9.4;1.6;0.3;20
106;Groningen (PV);2024;290.2;132.2;138.2;17.5;2.3;244.3;110.1;120.2;12.5;1.5;23.8;11.2;8.6;3.4;0.5;22.1;10.9;9.3;1.6;0.3;20
107;Groningen (PV);2025;291.2;133.3;138.1;17.5;2.3;244.5;110.9;119.8;12.4;1.5;24.4;11.5;8.9;3.4;0.5;22.2;11.0;9.4;1.6;0.3;20
108;Friesland (PV);2008;277.2;91.8;168.3;15.4;1.7;252.3;82.3;156.1;12.8;1.2;10.0;4.2;3.9;1.5;0.3;14.9;5.3;8.3;1.1;0.2;21
109;Friesland (PV);2009;278.1;92.9;168.0;15.5;1.7;252.6;83.2;155.5;12.8;1.1;10.5;4.3;4.1;1.7;0.4;15.0;5.5;8.3;1.0;0.2;21
110;Friesland (PV);2010;279.2;94.0;167.9;15.6;1.7;253.0;83.9;155.2;12.7;1.1;11.1;4.5;4.4;1.8;0.4;15.2;5.6;8.3;1.1;0.2;21
111;Friesland (PV);2011;280.4;95.3;167.8;15.6;1.7;253.3;84.8;154.8;12.7;1.1;11.7;4.8;4.6;2.0;0.4;15.3;5.7;8.4;1.0;0.2;21
112;Friesland (PV);2012;281.6;96.5;167.7;15.7;1.7;253.8;85.6;154.5;12.5;1.1;12.3;5.0;4.8;2.1;0.4;15.5;5.9;8.4;1.0;0.2;21
113;Friesland (PV);2013;282.8;97.7;167.5;15.9;1.7;254.2;86.5;154.1;12.5;1.1;12.9;5.2;5.0;2.3;0.4;15.8;6.1;8.4;1.0;0.2;21
114;Friesland (PV);2014;284.0;98.9;167.5;15.9;1.7;254.6;87.3;153.8;12.4;1.1;13.4;5.3;5.3;2.4;0.4;16.0;6.2;8.5;1.1;0.2;21
115;Friesland (PV);2015;285.0;100.0;167.3;16.0;1.7;254.8;88.0;153.3;12.4;1.1;14.1;5.6;5.6;2.5;0.4;16.1;6.4;8.5;1.1;0.2;21
116;Friesland (PV);2016;286.1;100.9;167.5;16.0;1.7;255.2;88.7;153.1;12.3;1.1;14.7;5.8;5.8;2.6;0.4;16.3;6.4;8.6;1.1;0.2;21
117;Friesland (PV);2017;287.1;102.1;167.2;16.0;1.7;255.4;89.6;152.4;12.3;1.1;15.2;6.0;6.1;2.7;0.4;16.5;6.6;8.6;1.1;0.2;21
118;Friesland (PV);2018;288.1;103.3;167.1;16.0;1.7;255.7;90.4;152.1;12.1;1.1;15.9;6.2;6.4;2.8;0.4;16.6;6.7;8.6;1.1;0.2;21
119;Friesland (PV);2019;288.9;104.3;167.0;16.0;1.7;255.7;91.1;151.7;11.9;1.0;16.5;6.4;6.7;2.9;0.4;16.7;6.8;8.6;1.1;0.2;21
120;Friesland (PV);2020;289.8;105.3;166.8;16.0;1.7;255.9;91.8;151.2;11.8;1.1;17.0;6.6;6.9;3.0;0.4;16.9;6.9;8.7;1.1;0.2;21
121;Friesland (PV);2021;290.5;106.4;166.6;15.8;1.7;256.0;92.6;150.7;11.6;1.1;17.5;6.8;7.2;3.1;0.4;17.0;7.0;8.7;1.1;0.2;21
122;Friesland (PV);2022;291.1;107.3;166.4;15.8;1.7;256.0;93.3;150.1;11.5;1.1;18.0;6.9;7.6;3.1;0.4;17.1;7.0;8.8;1.1;0.2;21
123;Friesland (PV);2023;291.6;108.0;166.3;15.6;1.7;255.9;93.8;149.6;11.4;1.1;18.6;7.1;7.9;3.1;0.4;17.1;7.1;8.8;1.1;0.2;21
124;Friesland (PV);2024;292.0;108.7;166.0;15.5;1.7;255.6;94.2;149.0;11.3;1.1;19.2;7.4;8.2;3.2;0.4;17.3;7.1;8.8;1.1;0.2;21
125;Friesland (PV);2025;292.3;109.3;165.7;15.5;1.7;255.0;94.4;148.4;11.1;1.0;19.8;7.7;8.4;3.3;0.4;17.4;7.2;8.9;1.1;0.2;21
126;Drenthe (PV);2008;205.7;60.1;133.5;11.1;1.0;186.8;54.1;122.9;9.1;0.7;5.9;2.0;2.7;1.0;0.2;13.0;4.1;7.9;0.9;0.1;22
127;Drenthe (PV);2009;207.2;61.2;133.9;11.1;1.0;187.7;54.9;123.1;9.1;0.7;6.4;2.1;2.9;1.1;0.2;13.2;4.2;7.9;0.9;0.2;22
128;Drenthe (PV);2010;208.8;62.2;134.3;11.3;1.1;188.7;55.6;123.3;9.1;0.7;6.9;2.2;3.2;1.3;0.2;13.3;4.3;7.9;0.9;0.1;22
129;Drenthe (PV);2011;210.3;63.3;134.7;11.3;1.0;189.7;56.5;123.4;9.1;0.7;7.4;2.4;3.4;1.4;0.2;13.3;4.4;7.9;0.9;0.1;22
130;Drenthe (PV);2012;211.8;64.3;135.0;11.4;1.1;190.5;57.3;123.5;9.0;0.7;8.0;2.6;3.6;1.5;0.2;13.4;4.4;7.9;0.9;0.1;22
131;Drenthe (PV);2013;213.3;65.3;135.4;11.5;1.1;191.3;58.0;123.6;8.9;0.7;8.5;2.8;3.8;1.6;0.2;13.5;4.5;7.9;0.9;0.2;22
132;Drenthe (PV);2014;214.8;66.5;135.7;11.5;1.1;192.1;58.9;123.6;8.9;0.7;9.1;3.0;4.1;1.7;0.3;13.5;4.6;8.0;0.9;0.1;22
133;Drenthe (PV);2015;216.1;67.6;135.9;11.5;1.1;192.8;59.7;123.7;8.8;0.7;9.6;3.2;4.3;1.8;0.3;13.7;4.7;7.9;0.9;0.2;22
134;Drenthe (PV);2016;217.5;68.7;136.2;11.5;1.1;193.5;60.4;123.7;8.7;0.6;10.2;3.4;4.6;2.0;0.3;13.8;4.8;7.9;0.9;0.2;22
135;Drenthe (PV);2017;218.9;69.9;136.5;11.4;1.1;194.3;61.4;123.7;8.6;0.7;10.7;3.6;4.9;2.0;0.3;13.9;4.9;8.0;0.9;0.2;22
