ID;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8;TotaalParticuliereHuishoudens_9;Eenpersoonshuishouden_10;TotaalMeerpersoonshuishoudens_11;Paar_12;Eenouderhuishouden_13;OverigHuishouden_14;TotaalParticuliereHuishoudens_15;Eenpersoonshuishouden_16;TotaalMeerpersoonshuishoudens_17;k_2Personen_18;k_3Personen_19;k_4Personen_20;k_5OfMeerPersonen_21;GemiddeldeHuishoudensgrootte_22;TotaalHuishoudensMetKinderen_23;k_1Kind_24;k_2Kinderen_25;k_3OfMeerKinderen_26;TotaalParenMetKinderen_27;k_1Kind_28;k_2Kinderen_29;k_3OfMeerKinderen_30;TotaalEenouderhuishoudens_31;k_1Kind_32;k_2Kinderen_33;k_3OfMeerKinderen_34;TotaalHuishoudensMetKinderen_35;JongsteKind0Tot3Jaar_36;JongsteKind3Tot6Jaar_37;JongsteKind6Tot12Jaar_38;JongsteKind12Tot18Jaar_39;JongsteKind18JaarOfOuder_40
10;2035;18837026;18462928;4701496;3822440;8980740;672500;285752;374098;9033143;3822427;5210716;4490371;672494;47851;9033143;3822427;5210716;2820748;1073329;942344;374295;2.04;2758285;1307344;1068463;382479;2085791;879559;883480;322752;672494;427785;184982;59726;2758285;521856;341985;538931;557219;798292
11;2036;18910247;18529934;4719283;3850826;8995279;677777;286769;380313;9074114;3850818;5223296;4497633;677775;47888;9074114;3850818;5223296;2819702;1084839;945888;372867;2.04;2776085;1322540;1072769;380776;2098310;890523;886792;320995;677775;432017;185976;59781;2776085;526826;350987;547585;554267;796421
12;2037;18981614;18595375;4738806;3877626;9008378;682734;287831;386239;9112450;3877630;5234820;4504194;682722;47904;9112450;3877630;5234820;2817905;1094756;949854;372305;2.04;2793026;1335477;1077549;380000;2110304;899749;890486;320069;682722;435728;187062;59931;2793026;530520;358406;560488;548274;795338
13;2038;19050657;18658765;4759586;3902407;9020112;687840;288820;391892;9148186;3902402;5245784;4510058;687831;47895;9148186;3902402;5245784;2816118;1103295;953993;372378;2.04;2809361;1346858;1082570;379933;2121530;907441;894322;319767;687831;439417;188248;60166;2809361;532833;364641;576373;541416;794096
14;2039;19117053;18719800;4781152;3925185;9030590;693141;289732;397253;9181464;3925174;5256290;4515293;693125;47872;9181464;3925174;5256290;2812892;1112573;958859;371966;2.04;2826796;1358977;1088480;379338;2133671;915763;898929;318978;693125;443214;189552;60359;2826796;533840;370283;594438;526572;801662
15;2040;19180673;18778324;4802751;3946342;9040009;698589;290633;402349;9212779;3946347;5266432;4520002;698588;47842;9212779;3946347;5266432;2809494;1121767;963488;371683;2.04;2844128;1371050;1094187;378890;2145540;923954;903277;318308;698588;447096;190910;60582;2844128;533665;374828;611827;523202;800605
16;2041;19241593;18834391;4824373;3965922;9048479;704098;291519;407202;9242083;3965917;5276166;4524242;704089;47835;9242083;3965917;5276166;2806182;1130388;967931;371665;2.04;2860953;1382480;1099727;378746;2156864;931510;907438;317917;704089;450971;192289;60829;2860953;532695;378043;628235;527285;794695
17;2042;19299915;18888138;4846145;3983491;9056072;710128;292302;411777;9269448;3983499;5285949;4528038;710119;47792;9269448;3983499;5285949;2802086;1140157;972753;370953;2.04;2879052;1395370;1105810;377871;2168933;940107;911995;316831;710119;455263;193816;61040;2879052;531349;380085;643022;535151;789444
18;2043;19355806;18939707;4867978;3999573;9062857;716225;293074;416099;9294988;3999573;5295415;4531427;716224;47764;9294988;3999573;5295415;2798264;1149094;977587;370471;2.04;2896500;1407240;1112002;377258;2180276;947732;916563;315981;716224;459508;195439;61277;2896500;529722;380885;655313;547461;783118
19;2044;19409333;18989079;4889794;4014175;9068912;722387;293811;420254;9318736;4014177;5304559;4534460;722382;47717;9318736;4014177;5304559;2794679;1157160;982583;370137;2.04;2913343;1418102;1118450;376790;2190961;954371;921311;315278;722382;463730;197139;61512;2913343;527908;380829;665225;563001;776379
20;2045;19460679;19036403;4911461;4027481;9074320;728635;294506;424276;9340956;4027469;5313487;4537158;728651;47678;9340956;4027469;5313487;2791230;1164745;987781;369731;2.04;2929913;1428482;1125177;376253;2201262;960469;926280;314512;728651;468013;198896;61741;2929913;526025;380331;672882;580031;770642
21;2046;19509811;19081632;4932770;4039449;9079141;735101;295171;428179;9361789;4039453;5322336;4539569;735100;47667;9361789;4039453;5322336;2787352;1172982;993178;368823;2.04;2947091;1439745;1132175;375171;2211991;967220;931501;313270;735100;472525;200674;61901;2947091;524122;379659;678618;597127;767563
22;2047;19556954;19124936;4953501;4050762;9083386;741385;295902;432018;9381495;4050759;5330736;4541690;741375;47671;9381495;4050759;5330736;2783944;1180175;998395;368222;2.04;2963136;1449748;1138966;374422;2221761;972907;936525;312328;741375;476841;202440;62094;2963136;522252;378701;682109;613352;766721
23;2048;19602252;19166452;4973406;4061688;9087195;747449;296714;435800;9400441;4061702;5338739;4543598;747463;47678;9400441;4061702;5338739;2780805;1186834;1003307;367793;2.04;2978359;1459131;1145401;373827;2230896;978091;941252;311553;747463;481040;204149;62274;2978359;520467;377592;683648;627466;769185
24;2049;19645790;19206283;4992222;4072233;9090807;753447;297574;439507;9418786;4072250;5346536;4545401;753439;47696;9418786;4072250;5346536;2777933;1193503;1007732;367368;2.04;2993074;1468571;1151286;373217;2239635;983337;945503;310795;753439;485233;205783;62422;2993074;518806;376382;683693;639320;774872
25;2050;19687645;19244559;5009613;4082588;9094576;759275;298507;443086;9436866;4082588;5354278;4547287;759262;47729;9436866;4082588;5354278;2775631;1200161;1011539;366947;2.04;3007157;1478149;1156422;372586;2247895;988710;949140;310045;759262;489439;207283;62541;3007157;517329;375121;682714;648951;783040
26;2051;19727968;19281476;5025254;4092881;9098996;764826;299519;446492;9454992;4092879;5362113;4549503;764819;47791;9454992;4092879;5362113;2774110;1206897;1014596;366510;2.04;3020453;1487880;1160639;371934;2255634;994320;952017;309297;764819;493560;208622;62637;3020453;516072;373867;681163;656364;792985
27;2052;19766831;19317171;5038856;4103257;9104518;769915;300625;449660;9473319;4103245;5370074;4552260;769917;47897;9473319;4103245;5370074;2773716;1213354;1016828;366176;2.04;3032491;1497291;1163794;371405;2262574;999841;954052;308681;769917;497450;209743;62725;3032491;515058;372630;679175;661607;804018
28;2053;19804521;19351980;5050250;4113710;9111623;774616;301781;452541;9492166;4113714;5378452;4555812;774607;48033;9492166;4113714;5378452;2774507;1219926;1018301;365718;2.04;3043531;1506757;1166025;370749;2268924;1005624;955329;307971;774607;501133;210696;62778;3043531;514334;371532;677000;664885;815778
29;2054;19841329;19386241;5059391;4124669;9120623;778527;303031;455088;9511694;4124657;5387037;4560314;778533;48190;9511694;4124657;5387037;2776690;1225864;1019004;365479;2.04;3052818;1515246;1167262;370310;2274285;1010961;955829;307494;778533;504285;211432;62816;3052818;513925;370536;674573;666234;827548
30;2055;19877635;19420378;5066371;4135849;9131886;781953;304319;457257;9532133;4135847;5396286;4565939;781954;48393;9532133;4135847;5396286;2780345;1231707;1019134;365101;2.04;3061038;1523564;1167762;369712;2279084;1016383;955789;306911;781954;507181;211972;62800;3061038;513883;369750;672170;666210;839023
31;2056;19913765;19454752;5071376;4147332;9145585;784826;305633;459013;9553535;4147327;5406208;4572789;784817;48602;9553535;4147327;5406208;2785471;1237296;1018773;364667;2.04;3068099;1531459;1167594;369047;2283282;1021732;955263;306287;784817;509726;212331;62760;3068099;514282;369171;669831;665225;849589
32;2057;19950160;19489820;5074719;4159137;9161852;787136;306976;460340;9576033;4159139;5416894;4580921;787129;48844;9576033;4159139;5416894;2792119;1242474;1018099;364202;2.04;3074053;1538755;1166954;368344;2286924;1026818;954448;305658;787129;511937;212505;62686;3074053;515150;368827;667611;663687;858776
33;2058;19987285;19526061;5076836;4171257;9180726;788915;308327;461224;9599640;4171263;5428377;4590361;788911;49105;9599640;4171263;5428377;2800130;1247298;1017187;363763;2.03;3079021;1545371;1165958;367692;2290110;1031645;953393;305072;788911;513726;212566;62619;3079021;516591;368696;665562;661745;866425
34;2059;20025654;19563972;5078235;4183669;9202174;790225;309669;461682;9624352;4183662;5440690;4601078;790234;49378;9624352;4183662;5440690;2809379;1251672;1016272;363368;2.03;3083252;1551300;1164860;367091;2293018;1036121;952349;304547;790234;515179;212510;62544;3083252;518663;368794;663738;659521;872534
35;2060;20065830;19604095;5079453;4196383;9226111;791156;310992;461735;9650249;4196388;5453861;4613056;791156;49649;9650249;4196388;5453861;2819688;1255586;1015507;363080;2.03;3086972;1556520;1163860;366592;2295816;1040203;951478;304136;791156;516317;212382;62456;3086972;521001;369248;662289;657178;877255
36;2061;20108261;19646828;5081020;4209355;9252381;791794;312278;461433;9677268;4209367;5467901;4626184;791808;49909;9677268;4209367;5467901;2830837;1259129;1015022;362913;2.03;3090489;1561159;1163101;366230;2298681;1043952;950887;303843;791808;517207;212214;62387;3090489;522944;370400;661342;654910;880891
37;2062;20153458;19692599;5083429;4222636;9280750;792257;313527;460859;9705440;4222639;5482801;4640375;792254;50172;9705440;4222639;5482801;2842626;1262336;1014907;362932;2.03;3094038;1565251;1162735;366051;2301784;1047354;950696;303734;792254;517897;212040;62317;3094038;524216;372444;661009;652801;883566
38;2063;20201754;19741681;5087088;4236286;9310990;792572;314745;460073;9734789;4236297;5498492;4655498;792572;50422;9734789;4236297;5498492;2854821;1265264;1015226;363181;2.03;3097794;1568857;1162791;366147;2305222;1050466;950908;303847;792572;518390;211883;62299;3097794;525099;374949;661412;650916;885416
39;2064;20253428;19794261;5092341;4250365;9342798;792825;315932;459167;9765243;4250356;5514887;4671397;792835;50655;9765243;4250356;5514887;2867261;1267871;1016019;363736;2.03;3101922;1572020;1163332;366569;2309087;1053250;951586;304250;792835;518770;211746;62319;3101922;526079;377083;662846;649316;886595
40;2065;20308627;19850427;5099393;4264951;9375911;793082;317090;458200;9796847;4264940;5531907;4687951;793087;50869;9796847;4264940;5531907;2879802;1270171;1017294;364640;2.03;3106497;1574745;1164393;367358;2313410;1055682;952739;304989;793087;519063;211654;62369;3106497;527131;378548;665582;648045;887188
41;2066;20367249;19909980;5108329;4280070;9409976;793384;318221;457269;9829525;4280070;5549455;4704986;793391;51078;9829525;4280070;5549455;2892334;1272217;1018984;365920;2.03;3111575;1577107;1165907;368560;2318184;1057804;954289;306091;793391;519303;211618;62469;3111575;528189;379647;669212;647166;887359
42;2067;20429182;19972720;5119168;4295766;9444665;793790;319331;456462;9863154;4295765;5567389;4722331;793801;51257;9863154;4295765;5567389;2904731;1273947;1021142;367568;2.02;3117171;1579068;1167967;370136;2323370;1059527;956301;307541;793801;519541;211665;62594;3117171;529237;380873;673111;646723;887225
43;2068;20494123;20038251;5131799;4311988;9479691;794349;320424;455872;9897607;4311990;5585617;4739843;794347;51427;9897607;4311990;5585617;2916871;1275532;1023681;369533;2.02;3123310;1580781;1170453;372076;2328963;1061016;958660;309287;794347;519765;211793;62789;3123310;530232;382185;677196;646796;886900
44;2069;20561661;20106077;5146070;4328693;9514739;795065;321510;455584;9932692;4328698;5603994;4757366;795052;51576;9932692;4328698;5603994;2928721;1276865;1026613;371796;2.02;3129937;1582216;1173391;374329;2334885;1062191;961394;311301;795052;520026;211998;63028;3129937;531135;383533;681280;647532;886455
45;2070;20631415;20175724;5161774;4345820;9549546;795994;322590;455691;9968283;4345812;5622471;4774772;795994;51705;9968283;4345812;5622471;2940316;1277998;1029849;374307;2.02;3137029;1583471;1176714;376843;2341035;1063072;964421;313542;795994;520400;212293;63301;3137029;531929;384884;685016;649222;885976
