ID;PolitieregioS;Cijfersoort;Perioden;AgressiefVerkeersgedrag_1;GeluidsoverlastDoorVerkeer_2;TeHardRijden_3;Aanrijdingen_4;VerkeersoverlastSchaalscore_5;DronkenMensenOpStraat_6;MensenWordenOpStraatLastigGevallen_7;Tasjesroof_8;Drugsoverlast_9;OverlastDoorOmwonenden_10;OverlastDoorGroepenJongeren_11;ErnstigeOverlastSchaalscore_12;BekladdingVanMurenGebouwen_13;RommelOpStraat_14;HondenpoepOpStraat_15;VernielingVanStraatmeubilair_16;FysiekeVerloederingSchaalscore_17;VeelContactMetDirecteBuren_18;VeelContactMetAndereBuurtbewoners_19;MensenGaanPrettigMetElkaarOm_20;GezelligeBuurtMetVeelSaamhorigheid_21;MensenKennenElkaarNauwelijks_22;VoelMijThuisBijMensenInDezeBuurt_23;GaLiefstUitDezeBuurtVerhuizen_24;TevredenMetSamenstellingBevolking_25;VoeltZichWelEensOnveilig_26;VoeltZichVaakOnveilig_27;InOpenbaarVervoer_28;RondomUitgaansgelegenheden_29;InEigenHuis_30;OpStraatInEigenBuurt_31;OpPlekkenMetRondhangendeJongeren_32;InWinkelcentrumInDeBuurt_33;MijdtBepaaldePlekkenInWoonplaats_34;DoetSAvondsNietOpen_35;LaatWaardevolleSpullenThuis_36;RijdtOfLooptOm_37;KinderenMogenNietErgensNaarToe_38;ReistNietMetOpenbaarVervoer_39;BelevingOnveiligheidSchaalscore_40;SlachtofferschapTotaal_41;GeweldsdelictenTotaal_42;SeksueleDelicten_43;Mishandeling_44;Bedreiging_45;VermogensdelictenTotaal_46;PogingTotInbraak_47;PogingTotInbraak_48;Inbraak_49;Fietsdiefstal_50;Autodiefstal_51;DiefstalUitAuto_52;Zakkenrollerij_53;ZakkenrollerijMetGeweld_54;ZakkenrollerijZonderGeweld_55;OverigeDiefstal_56;VandalismedelictenTotaal_57;BeschadigingDiefstalVanafAuto_58;OverigeVernielingen_59;DoorrijdenNaAanrijding_60;OverigeDelicten_61;OndervondenDelictenTotaal_62;Geweldsdelicten_63;Vermogensdelicten_64;Vandalismedelicten_65;DaderBekend_66;DaderIsExPartnerAnderFamilielid_67;DaderIsBuurtgenoot_68;DaderIsIemandVanHetWerk_69;DaderIsIemandAnders_70
85;Noord-Holland-Noord;Marge;2006;1.8;2.0;3.0;1.2;0.1;1.6;0.7;0.7;1.5;0.9;1.9;0.1;1.3;2.4;3.2;2.6;0.1;3.1;3.4;2.1;3.3;2.4;2.6;2.0;2.1;2.8;1.2;1.5;2.2;1.0;1.7;2.5;1.8;1.8;2.3;2.0;1.5;5.5;1.0;0.1;3.0;1.5;0.5;1.0;1.1;2.5;1.1;1.0;0.6;1.7;0.4;1.4;0.7;0.3;0.6;1.5;2.2;2.5;1.5;0.8;0.7;6.1;2.7;3.1;3.5;3.4;1.1;2.0;0.9;2.6
86;Noord-Holland-Noord;Marge;2007;1.9;2.0;3.3;1.3;0.1;1.6;0.5;0.4;1.5;1.3;2.1;0.1;1.5;2.8;3.3;3.0;0.1;3.3;3.6;2.0;3.5;2.3;2.7;2.2;2.1;2.8;1.0;1.3;2.1;0.9;1.5;2.4;1.6;1.5;2.3;2.0;1.6;5.8;1.3;0.1;3.1;1.5;0.6;1.0;1.2;2.3;0.9;0.5;0.7;1.5;0.4;1.5;0.7;;0.7;1.3;2.4;2.9;1.5;0.7;0.5;5.9;3.1;3.0;3.7;4.0;;2.7;1.4;2.9
87;Noord-Holland-Noord;Marge;2008;2.1;2.1;3.2;1.1;0.1;1.4;0.6;0.5;1.6;1.3;2.0;0.1;1.8;2.6;3.4;3.0;0.1;3.2;3.5;2.1;3.4;2.5;2.8;2.0;2.2;2.7;0.9;1.3;1.9;0.8;1.7;2.4;1.5;1.9;2.3;2.0;1.6;5.7;1.1;0.1;3.0;1.5;0.4;0.8;1.2;2.2;1.1;0.8;0.8;1.3;;1.3;0.8;0.3;0.8;1.3;2.2;2.6;1.5;1.1;0.7;5.9;2.6;2.9;3.2;4.3;0.8;2.6;1.6;3.2
88;Zaanstreek-Waterland;Waarde;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;Zaanstreek-Waterland;Waarde;2006;9.2;14.1;30.0;4.5;3.6;4.2;0.2;0.6;3.4;4.8;11.3;1.7;8.1;22.3;37.6;21.6;3.2;70.8;52.4;87.2;59.6;20.6;77.3;10.5;87.8;17.7;2.2;4.4;8.9;2.5;5.3;13.9;3.2;6.6;11.1;8.8;4.4;17.5;1.7;2.3;22.9;4.1;0.6;1.5;3.1;9.9;2.1;0.7;1.6;4.2;0.1;1.8;1.0;0.3;0.7;3.1;10.6;11.5;3.6;1.9;1.0;36.7;8.7;12.1;13.9;16.3;0.7;5.6;4.2;5.8
90;Zaanstreek-Waterland;Waarde;2007;8.2;12.9;28.2;4.1;3.5;4.7;0.2;0.5;5.8;5.8;11.3;1.8;7.7;26.2;37.4;24.4;3.3;70.0;50.2;86.3;57.1;18.5;75.4;12.8;86.8;19.5;2.2;4.6;10.1;2.9;6.5;15.0;5.6;5.9;12.9;8.3;6.0;23.4;1.9;2.4;27.4;5.0;1.2;1.3;2.9;12.9;1.7;1.0;0.7;5.2;0.0;2.4;1.4;0.0;1.4;4.1;12.0;13.8;3.8;2.2;0.9;40.8;6.5;13.5;18.2;12.8;1.6;3.6;1.8;5.8
91;Zaanstreek-Waterland;Waarde;2008;9.7;14.9;28.2;3.7;3.6;4.8;0.7;0.4;5.0;4.1;13.4;1.8;12.1;21.8;33.4;24.1;3.2;66.2;48.6;88.1;55.9;20.5;77.9;12.2;87.4;16.9;1.6;3.4;8.8;1.4;6.1;13.1;3.0;4.6;11.5;7.9;5.2;17.4;1.0;2.3;23.6;5.2;0.1;2.2;2.9;10.0;1.9;0.8;1.1;3.1;0.0;2.5;1.3;0.0;1.3;3.0;11.7;13.5;4.0;1.0;0.7;34.3;6.6;10.3;16.6;12.7;1.2;5.8;1.7;4.1
92;Zaanstreek-Waterland;Marge;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Zaanstreek-Waterland;Marge;2006;2.0;2.4;3.2;1.3;0.1;1.4;0.4;0.6;1.2;1.4;2.1;0.1;1.9;2.9;3.4;2.9;0.1;3.2;3.5;2.3;3.5;2.8;2.9;2.1;2.2;2.7;1.0;1.4;2.0;1.1;1.5;2.4;1.2;1.7;2.2;1.9;1.4;6.0;1.0;0.1;2.9;1.4;0.6;0.8;1.2;2.0;0.9;0.4;0.8;1.4;0.4;1.1;0.7;0.3;0.6;1.2;2.2;2.7;1.4;0.9;0.7;6.2;3.6;3.0;3.1;4.7;0.9;3.0;2.4;3.0
94;Zaanstreek-Waterland;Marge;2007;2.0;2.4;3.2;1.5;0.2;1.5;0.4;0.5;1.6;1.6;2.3;0.1;1.9;3.1;3.4;3.1;0.1;3.2;3.6;2.5;3.5;2.7;3.0;2.3;2.4;2.8;1.0;1.6;2.2;1.2;1.8;2.6;1.6;1.7;2.4;2.0;1.8;6.1;1.2;0.1;3.2;1.6;0.8;0.9;1.2;2.4;1.1;0.8;0.7;1.7;;1.4;0.9;;0.9;1.4;2.3;3.1;1.4;1.1;0.7;6.3;2.3;3.0;4.3;4.0;1.5;2.2;1.7;2.8
