ID;Gender;PupilCharacteristics;CaribbeanNetherlands;Periods;ParticipantsEnStudents_1
205;Total male and female;6 years;Caribbean Netherlands;2022/'23;267.0
206;Total male and female;6 years;Caribbean Netherlands;2023/'24;268.0
207;Total male and female;6 years;Caribbean Netherlands;2024/'25;308.0
208;Total male and female;6 years;Bonaire;2009/'10;191.0
209;Total male and female;6 years;Bonaire;2010/'11;182.0
210;Total male and female;6 years;Bonaire;2011/'12;175.0
211;Total male and female;6 years;Bonaire;2012/'13;188.0
212;Total male and female;6 years;Bonaire;2013/'14;191.0
213;Total male and female;6 years;Bonaire;2014/'15;220.0
214;Total male and female;6 years;Bonaire;2015/'16;228.0
215;Total male and female;6 years;Bonaire;2016/'17;239.0
216;Total male and female;6 years;Bonaire;2017/'18;232.0
217;Total male and female;6 years;Bonaire;2018/'19;215.0
218;Total male and female;6 years;Bonaire;2019/'20;247.0
219;Total male and female;6 years;Bonaire;2020/'21;229.0
220;Total male and female;6 years;Bonaire;2021/22;235.0
221;Total male and female;6 years;Bonaire;2022/'23;215.0
222;Total male and female;6 years;Bonaire;2023/'24;220.0
223;Total male and female;6 years;Bonaire;2024/'25;247.0
224;Total male and female;6 years;St Eustatius;2009/'10;36.0
225;Total male and female;6 years;St Eustatius;2010/'11;55.0
226;Total male and female;6 years;St Eustatius;2011/'12;40.0
227;Total male and female;6 years;St Eustatius;2012/'13;39.0
228;Total male and female;6 years;St Eustatius;2013/'14;39.0
229;Total male and female;6 years;St Eustatius;2014/'15;36.0
230;Total male and female;6 years;St Eustatius;2015/'16;46.0
231;Total male and female;6 years;St Eustatius;2016/'17;51.0
232;Total male and female;6 years;St Eustatius;2017/'18;44.0
233;Total male and female;6 years;St Eustatius;2018/'19;34.0
234;Total male and female;6 years;St Eustatius;2019/'20;44.0
235;Total male and female;6 years;St Eustatius;2020/'21;42.0
236;Total male and female;6 years;St Eustatius;2021/22;36.0
237;Total male and female;6 years;St Eustatius;2022/'23;32.0
238;Total male and female;6 years;St Eustatius;2023/'24;30.0
239;Total male and female;6 years;St Eustatius;2024/'25;35.0
240;Total male and female;6 years;Saba;2009/'10;22.0
241;Total male and female;6 years;Saba;2010/'11;15.0
242;Total male and female;6 years;Saba;2011/'12;20.0
243;Total male and female;6 years;Saba;2012/'13;22.0
244;Total male and female;6 years;Saba;2013/'14;18.0
245;Total male and female;6 years;Saba;2014/'15;20.0
246;Total male and female;6 years;Saba;2015/'16;21.0
247;Total male and female;6 years;Saba;2016/'17;16.0
248;Total male and female;6 years;Saba;2017/'18;17.0
249;Total male and female;6 years;Saba;2018/'19;20.0
250;Total male and female;6 years;Saba;2019/'20;18.0
251;Total male and female;6 years;Saba;2020/'21;21.0
252;Total male and female;6 years;Saba;2021/22;24.0
253;Total male and female;6 years;Saba;2022/'23;20.0
254;Total male and female;6 years;Saba;2023/'24;18.0
255;Total male and female;6 years;Saba;2024/'25;13.0
256;Total male and female;7 years;Caribbean Netherlands;2009/'10;270.0
257;Total male and female;7 years;Caribbean Netherlands;2010/'11;245.0
258;Total male and female;7 years;Caribbean Netherlands;2011/'12;264.0
259;Total male and female;7 years;Caribbean Netherlands;2012/'13;260.0
260;Total male and female;7 years;Caribbean Netherlands;2013/'14;266.0
261;Total male and female;7 years;Caribbean Netherlands;2014/'15;258.0
262;Total male and female;7 years;Caribbean Netherlands;2015/'16;281.0
263;Total male and female;7 years;Caribbean Netherlands;2016/'17;299.0
264;Total male and female;7 years;Caribbean Netherlands;2017/'18;325.0
265;Total male and female;7 years;Caribbean Netherlands;2018/'19;291.0
266;Total male and female;7 years;Caribbean Netherlands;2019/'20;278.0
267;Total male and female;7 years;Caribbean Netherlands;2020/'21;298.0
268;Total male and female;7 years;Caribbean Netherlands;2021/22;311.0
269;Total male and female;7 years;Caribbean Netherlands;2022/'23;302.0
270;Total male and female;7 years;Caribbean Netherlands;2023/'24;261.0
271;Total male and female;7 years;Caribbean Netherlands;2024/'25;282.0
272;Total male and female;7 years;Bonaire;2009/'10;191.0
273;Total male and female;7 years;Bonaire;2010/'11;185.0
274;Total male and female;7 years;Bonaire;2011/'12;188.0
275;Total male and female;7 years;Bonaire;2012/'13;193.0
276;Total male and female;7 years;Bonaire;2013/'14;208.0
277;Total male and female;7 years;Bonaire;2014/'15;197.0
278;Total male and female;7 years;Bonaire;2015/'16;227.0
279;Total male and female;7 years;Bonaire;2016/'17;236.0
280;Total male and female;7 years;Bonaire;2017/'18;250.0
281;Total male and female;7 years;Bonaire;2018/'19;239.0
282;Total male and female;7 years;Bonaire;2019/'20;225.0
283;Total male and female;7 years;Bonaire;2020/'21;240.0
284;Total male and female;7 years;Bonaire;2021/22;247.0
285;Total male and female;7 years;Bonaire;2022/'23;241.0
286;Total male and female;7 years;Bonaire;2023/'24;212.0
287;Total male and female;7 years;Bonaire;2024/'25;230.0
288;Total male and female;7 years;St Eustatius;2009/'10;58.0
289;Total male and female;7 years;St Eustatius;2010/'11;37.0
290;Total male and female;7 years;St Eustatius;2011/'12;60.0
291;Total male and female;7 years;St Eustatius;2012/'13;45.0
292;Total male and female;7 years;St Eustatius;2013/'14;37.0
293;Total male and female;7 years;St Eustatius;2014/'15;43.0
294;Total male and female;7 years;St Eustatius;2015/'16;33.0
295;Total male and female;7 years;St Eustatius;2016/'17;42.0
296;Total male and female;7 years;St Eustatius;2017/'18;58.0
297;Total male and female;7 years;St Eustatius;2018/'19;37.0
298;Total male and female;7 years;St Eustatius;2019/'20;34.0
299;Total male and female;7 years;St Eustatius;2020/'21;42.0
300;Total male and female;7 years;St Eustatius;2021/22;44.0
301;Total male and female;7 years;St Eustatius;2022/'23;38.0
302;Total male and female;7 years;St Eustatius;2023/'24;32.0
303;Total male and female;7 years;St Eustatius;2024/'25;28.0
304;Total male and female;7 years;Saba;2009/'10;21.0
305;Total male and female;7 years;Saba;2010/'11;23.0
306;Total male and female;7 years;Saba;2011/'12;16.0
307;Total male and female;7 years;Saba;2012/'13;22.0
308;Total male and female;7 years;Saba;2013/'14;21.0
309;Total male and female;7 years;Saba;2014/'15;18.0
310;Total male and female;7 years;Saba;2015/'16;21.0
311;Total male and female;7 years;Saba;2016/'17;21.0
312;Total male and female;7 years;Saba;2017/'18;17.0
313;Total male and female;7 years;Saba;2018/'19;15.0
314;Total male and female;7 years;Saba;2019/'20;19.0
315;Total male and female;7 years;Saba;2020/'21;16.0
316;Total male and female;7 years;Saba;2021/22;20.0
317;Total male and female;7 years;Saba;2022/'23;23.0
318;Total male and female;7 years;Saba;2023/'24;17.0
319;Total male and female;7 years;Saba;2024/'25;17.0
320;Total male and female;8 years;Caribbean Netherlands;2009/'10;278.0
321;Total male and female;8 years;Caribbean Netherlands;2010/'11;258.0
322;Total male and female;8 years;Caribbean Netherlands;2011/'12;252.0
323;Total male and female;8 years;Caribbean Netherlands;2012/'13;259.0
324;Total male and female;8 years;Caribbean Netherlands;2013/'14;265.0
325;Total male and female;8 years;Caribbean Netherlands;2014/'15;269.0
326;Total male and female;8 years;Caribbean Netherlands;2015/'16;261.0
327;Total male and female;8 years;Caribbean Netherlands;2016/'17;285.0
328;Total male and female;8 years;Caribbean Netherlands;2017/'18;302.0
329;Total male and female;8 years;Caribbean Netherlands;2018/'19;324.0
330;Total male and female;8 years;Caribbean Netherlands;2019/'20;296.0
331;Total male and female;8 years;Caribbean Netherlands;2020/'21;284.0
332;Total male and female;8 years;Caribbean Netherlands;2021/22;304.0
333;Total male and female;8 years;Caribbean Netherlands;2022/'23;311.0
334;Total male and female;8 years;Caribbean Netherlands;2023/'24;312.0
335;Total male and female;8 years;Caribbean Netherlands;2024/'25;291.0
336;Total male and female;8 years;Bonaire;2009/'10;218.0
337;Total male and female;8 years;Bonaire;2010/'11;194.0
338;Total male and female;8 years;Bonaire;2011/'12;193.0
339;Total male and female;8 years;Bonaire;2012/'13;187.0
340;Total male and female;8 years;Bonaire;2013/'14;197.0
341;Total male and female;8 years;Bonaire;2014/'15;209.0
342;Total male and female;8 years;Bonaire;2015/'16;198.0
343;Total male and female;8 years;Bonaire;2016/'17;228.0
344;Total male and female;8 years;Bonaire;2017/'18;232.0
345;Total male and female;8 years;Bonaire;2018/'19;255.0
346;Total male and female;8 years;Bonaire;2019/'20;242.0
347;Total male and female;8 years;Bonaire;2020/'21;233.0
348;Total male and female;8 years;Bonaire;2021/22;249.0
349;Total male and female;8 years;Bonaire;2022/'23;245.0
350;Total male and female;8 years;Bonaire;2023/'24;253.0
351;Total male and female;8 years;Bonaire;2024/'25;233.0
352;Total male and female;8 years;St Eustatius;2009/'10;45.0
353;Total male and female;8 years;St Eustatius;2010/'11;47.0
354;Total male and female;8 years;St Eustatius;2011/'12;42.0
355;Total male and female;8 years;St Eustatius;2012/'13;55.0
356;Total male and female;8 years;St Eustatius;2013/'14;45.0
357;Total male and female;8 years;St Eustatius;2014/'15;36.0
358;Total male and female;8 years;St Eustatius;2015/'16;44.0
359;Total male and female;8 years;St Eustatius;2016/'17;34.0
360;Total male and female;8 years;St Eustatius;2017/'18;46.0
361;Total male and female;8 years;St Eustatius;2018/'19;55.0
362;Total male and female;8 years;St Eustatius;2019/'20;38.0
363;Total male and female;8 years;St Eustatius;2020/'21;36.0
364;Total male and female;8 years;St Eustatius;2021/22;38.0
365;Total male and female;8 years;St Eustatius;2022/'23;44.0
366;Total male and female;8 years;St Eustatius;2023/'24;37.0
367;Total male and female;8 years;St Eustatius;2024/'25;31.0
368;Total male and female;8 years;Saba;2009/'10;15.0
369;Total male and female;8 years;Saba;2010/'11;17.0
370;Total male and female;8 years;Saba;2011/'12;17.0
371;Total male and female;8 years;Saba;2012/'13;17.0
372;Total male and female;8 years;Saba;2013/'14;23.0
373;Total male and female;8 years;Saba;2014/'15;24.0
374;Total male and female;8 years;Saba;2015/'16;19.0
375;Total male and female;8 years;Saba;2016/'17;23.0
376;Total male and female;8 years;Saba;2017/'18;24.0
377;Total male and female;8 years;Saba;2018/'19;14.0
378;Total male and female;8 years;Saba;2019/'20;16.0
379;Total male and female;8 years;Saba;2020/'21;15.0
380;Total male and female;8 years;Saba;2021/22;17.0
381;Total male and female;8 years;Saba;2022/'23;22.0
382;Total male and female;8 years;Saba;2023/'24;22.0
383;Total male and female;8 years;Saba;2024/'25;20.0
384;Total male and female;9 years;Caribbean Netherlands;2009/'10;260.0
385;Total male and female;9 years;Caribbean Netherlands;2010/'11;290.0
386;Total male and female;9 years;Caribbean Netherlands;2011/'12;260.0
387;Total male and female;9 years;Caribbean Netherlands;2012/'13;250.0
388;Total male and female;9 years;Caribbean Netherlands;2013/'14;250.0
389;Total male and female;9 years;Caribbean Netherlands;2014/'15;274.0
390;Total male and female;9 years;Caribbean Netherlands;2015/'16;272.0
391;Total male and female;9 years;Caribbean Netherlands;2016/'17;265.0
392;Total male and female;9 years;Caribbean Netherlands;2017/'18;303.0
393;Total male and female;9 years;Caribbean Netherlands;2018/'19;300.0
394;Total male and female;9 years;Caribbean Netherlands;2019/'20;329.0
395;Total male and female;9 years;Caribbean Netherlands;2020/'21;314.0
396;Total male and female;9 years;Caribbean Netherlands;2021/22;296.0
397;Total male and female;9 years;Caribbean Netherlands;2022/'23;317.0
398;Total male and female;9 years;Caribbean Netherlands;2023/'24;321.0
399;Total male and female;9 years;Caribbean Netherlands;2024/'25;326.0
400;Total male and female;9 years;Bonaire;2009/'10;192.0
401;Total male and female;9 years;Bonaire;2010/'11;228.0
402;Total male and female;9 years;Bonaire;2011/'12;198.0
403;Total male and female;9 years;Bonaire;2012/'13;196.0
404;Total male and female;9 years;Bonaire;2013/'14;185.0
405;Total male and female;9 years;Bonaire;2014/'15;203.0
406;Total male and female;9 years;Bonaire;2015/'16;210.0
407;Total male and female;9 years;Bonaire;2016/'17;208.0
408;Total male and female;9 years;Bonaire;2017/'18;240.0
409;Total male and female;9 years;Bonaire;2018/'19;235.0
410;Total male and female;9 years;Bonaire;2019/'20;258.0
411;Total male and female;9 years;Bonaire;2020/'21;255.0
412;Total male and female;9 years;Bonaire;2021/22;239.0
413;Total male and female;9 years;Bonaire;2022/'23;258.0
414;Total male and female;9 years;Bonaire;2023/'24;254.0
415;Total male and female;9 years;Bonaire;2024/'25;250.0
416;Total male and female;9 years;St Eustatius;2009/'10;47.0
417;Total male and female;9 years;St Eustatius;2010/'11;46.0
418;Total male and female;9 years;St Eustatius;2011/'12;45.0
419;Total male and female;9 years;St Eustatius;2012/'13;39.0
420;Total male and female;9 years;St Eustatius;2013/'14;48.0
421;Total male and female;9 years;St Eustatius;2014/'15;46.0
422;Total male and female;9 years;St Eustatius;2015/'16;37.0
423;Total male and female;9 years;St Eustatius;2016/'17;42.0
424;Total male and female;9 years;St Eustatius;2017/'18;41.0
425;Total male and female;9 years;St Eustatius;2018/'19;42.0
426;Total male and female;9 years;St Eustatius;2019/'20;54.0
427;Total male and female;9 years;St Eustatius;2020/'21;41.0
428;Total male and female;9 years;St Eustatius;2021/22;38.0
429;Total male and female;9 years;St Eustatius;2022/'23;44.0
430;Total male and female;9 years;St Eustatius;2023/'24;45.0
431;Total male and female;9 years;St Eustatius;2024/'25;39.0
432;Total male and female;9 years;Saba;2009/'10;21.0
433;Total male and female;9 years;Saba;2010/'11;16.0
434;Total male and female;9 years;Saba;2011/'12;17.0
435;Total male and female;9 years;Saba;2012/'13;15.0
436;Total male and female;9 years;Saba;2013/'14;17.0
437;Total male and female;9 years;Saba;2014/'15;25.0
438;Total male and female;9 years;Saba;2015/'16;25.0
439;Total male and female;9 years;Saba;2016/'17;15.0
440;Total male and female;9 years;Saba;2017/'18;22.0
441;Total male and female;9 years;Saba;2018/'19;23.0
442;Total male and female;9 years;Saba;2019/'20;17.0
443;Total male and female;9 years;Saba;2020/'21;18.0
444;Total male and female;9 years;Saba;2021/22;19.0
445;Total male and female;9 years;Saba;2022/'23;15.0
446;Total male and female;9 years;Saba;2023/'24;22.0
447;Total male and female;9 years;Saba;2024/'25;24.0
448;Total male and female;10 years;Caribbean Netherlands;2009/'10;251.0
449;Total male and female;10 years;Caribbean Netherlands;2010/'11;256.0
450;Total male and female;10 years;Caribbean Netherlands;2011/'12;302.0
451;Total male and female;10 years;Caribbean Netherlands;2012/'13;257.0
452;Total male and female;10 years;Caribbean Netherlands;2013/'14;250.0
453;Total male and female;10 years;Caribbean Netherlands;2014/'15;258.0
454;Total male and female;10 years;Caribbean Netherlands;2015/'16;276.0
455;Total male and female;10 years;Caribbean Netherlands;2016/'17;272.0
456;Total male and female;10 years;Caribbean Netherlands;2017/'18;281.0
457;Total male and female;10 years;Caribbean Netherlands;2018/'19;295.0
458;Total male and female;10 years;Caribbean Netherlands;2019/'20;296.0
459;Total male and female;10 years;Caribbean Netherlands;2020/'21;335.0
460;Total male and female;10 years;Caribbean Netherlands;2021/22;317.0
461;Total male and female;10 years;Caribbean Netherlands;2022/'23;293.0
