ID;Geslacht;Perioden;TotaalBevolking15Tot65Jaar_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;WerklozeBeroepsbevolking_4;BrutoArbeidsparticipatie_5;NettoArbeidsparticipatie_6;GeregistreerdeWerklozen_7
61;Mannen;1994;5317.0;4014;3747;266;75.0;70.0;283
62;Mannen;1995;5329.0;4067;3814;253;76.0;72.0;260
63;Mannen;1996;5343.0;4098;3870;228;77.0;72.0;240
64;Mannen;1997;5356.0;4140;3940;200;77.0;74.0;199
65;Mannen;1998;5368.0;4190;4036;153;78.0;75.0;155
66;Mannen;1999;5401.0;4233;4105;128;78.0;76.0;115
67;Mannen;2000;5434.0;4275;4162;114;79.0;77.0;98
68;Mannen;2001;5470.0;4293;4185;109;78.0;77.0;77
69;Mannen;2002;5497.0;4305;4157;147;78.0;76.0;91
70;Mannen;2003;5512.0;4301;4096;205;78.0;74.0;144
71;Mannen;2004;5516.0;4266;4019;246;77.0;73.0;179
72;Mannen;2005;5519.0;4219;3981;238;76.0;72.0;164
73;Mannen;2006;5524.0;4231;4040;191;77.0;73.0;133
74;Vrouwen;1970;;1194;1184;9;;;8
75;Vrouwen;1971;;1227;1214;13;;;11
76;Vrouwen;1972;;1265;1245;20;;;17
77;Vrouwen;1973;;1286;1262;24;;;21
78;Vrouwen;1974;;1299;1267;32;;;28
79;Vrouwen;1975;;1311;1263;48;;;42
80;Vrouwen;1976;;1322;1265;58;;;51
81;Vrouwen;1977;;1333;1267;66;;;58
82;Vrouwen;1978;;1358;1280;78;;;67
83;Vrouwen;1979;;1386;1299;87;;;71
84;Vrouwen;1980;;1472;1372;99;;;76
85;Vrouwen;1981;4627.0;1539;1400;139;33.0;30.0;100
86;Vrouwen;1982;;1576;1394;182;;;135
87;Vrouwen;1983;4734.0;1613;1410;204;34.0;30.0;166
88;Vrouwen;1984;;1640;1430;210;;;166
89;Vrouwen;1985;4850.0;1668;1469;199;34.0;30.0;153
90;Vrouwen;1986;;1824;1597;227;;;164
91;Vrouwen;1987;4953.0;1980;1721;259;40.0;35.0;178
92;Vrouwen;1988;4992.0;2070;1814;257;41.0;36.0;173
93;Vrouwen;1989;5020.0;2104;1858;246;42.0;37.0;163
94;Vrouwen;1990;5046.0;2198;1958;240;44.0;39.0;149
95;Vrouwen;1991;5075.0;2277;2057;220;45.0;41.0;145
96;Vrouwen;1992;5099.0;2330;2105;225;46.0;41.0;141
97;Vrouwen;1993;5125.0;2407;2154;253;47.0;42.0;175
98;Vrouwen;1994;5156.0;2452;2172;280;48.0;42.0;203
99;Vrouwen;1995;5169.0;2529;2249;281;49.0;44.0;204
100;Vrouwen;1996;5191.0;2588;2315;273;50.0;45.0;201
101;Vrouwen;1997;5210.0;2692;2444;248;52.0;47.0;176
102;Vrouwen;1998;5238.0;2751;2551;201;53.0;49.0;132
103;Vrouwen;1999;5264.0;2836;2663;173;54.0;51.0;105
104;Vrouwen;2000;5295.0;2912;2755;157;55.0;52.0;90
105;Vrouwen;2001;5332.0;2980;2836;143;56.0;53.0;69
106;Vrouwen;2002;5366.0;3033;2878;155;57.0;54.0;79
107;Vrouwen;2003;5391.0;3099;2905;194;57.0;54.0;111
108;Vrouwen;2004;5409.0;3132;2899;233;58.0;54.0;141
109;Vrouwen;2005;5424.0;3182;2937;245;59.0;54.0;146
110;Vrouwen;2006;5441.0;3256;3034;222;60.0;56.0;127
