ID;PositieVanMoedersInHetHuishouden;Persoonskenmerken;Perioden;TotaalMoeders15Tot65Jaar_1;TotaalMoedersWerkzameBeroepsbevolking_2;Werkt12Tot28UurPerWeek_3;Werkt28Tot35UurPerWeek_4;Werkt35UurOfMeerPerWeek_5;WilWerkVanTwaalfUurOfMeerPerWeek_6;WilKanNiet12UurPerWeekWerken_7;ZorgVoorGezinOfHuishouden_8;OverigeRedenen_9
85;Totaal alleenst. en samenwonende moeders;18740;2008;894.0;636.0;448.0;110.0;78.0;74.0;183.0;120.0;64.0
86;Totaal alleenst. en samenwonende moeders;18740;2009;868.0;633.0;440.0;113.0;79.0;72.0;163.0;105.0;59.0
87;Totaal alleenst. en samenwonende moeders;18740;2010;863.0;626.0;438.0;114.0;74.0;80.0;157.0;98.0;58.0
88;Totaal alleenst. en samenwonende moeders;18740;2011;841.0;614.0;426.0;115.0;73.0;77.0;151.0;95.0;56.0
89;Totaal alleenst. en samenwonende moeders;18740;2012;848.0;622.0;422.0;125.0;75.0;85.0;140.0;85.0;55.0
90;Totaal alleenst. en samenwonende moeders;18740;2013;852.0;590.0;392.0;121.0;78.0;112.0;150.0;84.0;66.0
91;Totaal alleenst. en samenwonende moeders;18790;2001;388.0;285.0;168.0;66.0;51.0;28.0;75.0;54.0;21.0
92;Totaal alleenst. en samenwonende moeders;18790;2002;416.0;312.0;182.0;74.0;56.0;30.0;74.0;52.0;22.0
93;Totaal alleenst. en samenwonende moeders;18790;2003;440.0;334.0;193.0;86.0;55.0;31.0;75.0;51.0;24.0
94;Totaal alleenst. en samenwonende moeders;18790;2004;488.0;374.0;216.0;95.0;63.0;37.0;76.0;51.0;26.0
95;Totaal alleenst. en samenwonende moeders;18790;2005;499.0;391.0;229.0;96.0;66.0;40.0;69.0;47.0;22.0
96;Totaal alleenst. en samenwonende moeders;18790;2006;516.0;414.0;231.0;108.0;75.0;38.0;64.0;43.0;21.0
97;Totaal alleenst. en samenwonende moeders;18790;2007;526.0;431.0;232.0;120.0;79.0;36.0;59.0;38.0;21.0
98;Totaal alleenst. en samenwonende moeders;18790;2008;557.0;463.0;241.0;134.0;87.0;34.0;60.0;40.0;20.0
99;Totaal alleenst. en samenwonende moeders;18790;2009;590.0;491.0;250.0;144.0;97.0;37.0;63.0;37.0;25.0
100;Totaal alleenst. en samenwonende moeders;18790;2010;607.0;508.0;255.0;151.0;102.0;40.0;58.0;37.0;22.0
101;Totaal alleenst. en samenwonende moeders;18790;2011;606.0;509.0;251.0;152.0;106.0;37.0;60.0;39.0;21.0
102;Totaal alleenst. en samenwonende moeders;18790;2012;631.0;529.0;253.0;164.0;112.0;42.0;60.0;37.0;23.0
103;Totaal alleenst. en samenwonende moeders;18790;2013;645.0;546.0;251.0;176.0;119.0;51.0;49.0;29.0;19.0
104;Totaal alleenst. en samenwonende moeders;18820;2001;7.0;;;;;;;;
105;Totaal alleenst. en samenwonende moeders;18820;2002;7.0;;;;;;;;
106;Totaal alleenst. en samenwonende moeders;18820;2003;7.0;;;;;;;;
107;Totaal alleenst. en samenwonende moeders;18820;2004;14.0;;;;;;;;
108;Totaal alleenst. en samenwonende moeders;18820;2005;15.0;4.0;2.0;;;3.0;8.0;4.0;4.0
109;Totaal alleenst. en samenwonende moeders;18820;2006;12.0;;;;;;;;
110;Totaal alleenst. en samenwonende moeders;18820;2007;13.0;;;;;;;;
111;Totaal alleenst. en samenwonende moeders;18820;2008;7.0;;;;;;;;
112;Totaal alleenst. en samenwonende moeders;18820;2009;6.0;;;;;;;;
113;Totaal alleenst. en samenwonende moeders;18820;2010;8.0;;;;;;;;
114;Totaal alleenst. en samenwonende moeders;18820;2011;8.0;;;;;;;;
115;Totaal alleenst. en samenwonende moeders;18820;2012;10.0;;;;;;;;
116;Totaal alleenst. en samenwonende moeders;18820;2013;24.0;11.0;7.0;3.0;2.0;5.0;8.0;4.0;4.0
117;Totaal alleenst. en samenwonende moeders;19;2001;221.0;99.0;69.0;14.0;16.0;25.0;97.0;80.0;18.0
118;Totaal alleenst. en samenwonende moeders;19;2002;220.0;101.0;73.0;14.0;15.0;27.0;92.0;72.0;20.0
119;Totaal alleenst. en samenwonende moeders;19;2003;213.0;104.0;72.0;14.0;18.0;28.0;81.0;61.0;20.0
120;Totaal alleenst. en samenwonende moeders;19;2004;202.0;99.0;67.0;16.0;16.0;32.0;71.0;53.0;18.0
121;Totaal alleenst. en samenwonende moeders;19;2005;197.0;99.0;67.0;17.0;15.0;33.0;64.0;45.0;19.0
122;Totaal alleenst. en samenwonende moeders;19;2006;186.0;101.0;70.0;17.0;14.0;30.0;54.0;40.0;14.0
123;Totaal alleenst. en samenwonende moeders;19;2007;185.0;104.0;71.0;19.0;15.0;25.0;56.0;39.0;18.0
124;Totaal alleenst. en samenwonende moeders;19;2008;185.0;111.0;74.0;20.0;17.0;21.0;53.0;35.0;18.0
125;Totaal alleenst. en samenwonende moeders;19;2009;180.0;108.0;72.0;21.0;15.0;22.0;50.0;33.0;17.0
126;Totaal alleenst. en samenwonende moeders;19;2010;179.0;106.0;69.0;24.0;14.0;24.0;49.0;30.0;19.0
127;Totaal alleenst. en samenwonende moeders;19;2011;185.0;115.0;74.0;24.0;17.0;22.0;47.0;31.0;16.0
128;Totaal alleenst. en samenwonende moeders;19;2012;182.0;113.0;70.0;26.0;16.0;27.0;41.0;25.0;16.0
129;Totaal alleenst. en samenwonende moeders;19;2013;168.0;98.0;58.0;25.0;15.0;29.0;41.0;22.0;19.0
130;Totaal alleenst. en samenwonende moeders;20;2001;927.0;531.0;379.0;76.0;76.0;79.0;317.0;255.0;62.0
131;Totaal alleenst. en samenwonende moeders;20;2002;924.0;544.0;387.0;85.0;72.0;78.0;302.0;240.0;62.0
132;Totaal alleenst. en samenwonende moeders;20;2003;916.0;552.0;389.0;91.0;72.0;90.0;273.0;210.0;64.0
133;Totaal alleenst. en samenwonende moeders;20;2004;892.0;549.0;384.0;95.0;70.0;97.0;245.0;185.0;61.0
134;Totaal alleenst. en samenwonende moeders;20;2005;865.0;542.0;381.0;92.0;69.0;104.0;219.0;166.0;52.0
135;Totaal alleenst. en samenwonende moeders;20;2006;838.0;545.0;369.0;103.0;73.0;94.0;199.0;148.0;52.0
136;Totaal alleenst. en samenwonende moeders;20;2007;820.0;560.0;376.0;108.0;76.0;79.0;182.0;130.0;51.0
137;Totaal alleenst. en samenwonende moeders;20;2008;786.0;564.0;365.0;120.0;79.0;62.0;160.0;114.0;47.0
138;Totaal alleenst. en samenwonende moeders;20;2009;760.0;555.0;353.0;125.0;77.0;64.0;141.0;98.0;43.0
139;Totaal alleenst. en samenwonende moeders;20;2010;734.0;539.0;342.0;121.0;76.0;66.0;129.0;87.0;42.0
140;Totaal alleenst. en samenwonende moeders;20;2011;711.0;524.0;326.0;119.0;79.0;61.0;125.0;85.0;41.0
141;Totaal alleenst. en samenwonende moeders;20;2012;708.0;522.0;316.0;131.0;75.0;70.0;116.0;79.0;36.0
142;Totaal alleenst. en samenwonende moeders;20;2013;698.0;506.0;293.0;133.0;80.0;82.0;110.0;71.0;40.0
143;Totaal alleenst. en samenwonende moeders;21;2001;780.0;442.0;279.0;84.0;79.0;69.0;269.0;169.0;100.0
144;Totaal alleenst. en samenwonende moeders;21;2002;801.0;479.0;308.0;89.0;82.0;70.0;252.0;153.0;99.0
145;Totaal alleenst. en samenwonende moeders;21;2003;837.0;502.0;323.0;99.0;80.0;76.0;259.0;155.0;104.0
146;Totaal alleenst. en samenwonende moeders;21;2004;866.0;523.0;346.0;95.0;81.0;91.0;253.0;144.0;109.0
147;Totaal alleenst. en samenwonende moeders;21;2005;891.0;548.0;360.0;104.0;84.0;106.0;237.0;139.0;98.0
148;Totaal alleenst. en samenwonende moeders;21;2006;911.0;584.0;373.0;117.0;94.0;102.0;225.0;129.0;96.0
149;Totaal alleenst. en samenwonende moeders;21;2007;933.0;624.0;391.0;133.0;100.0;95.0;214.0;114.0;100.0
150;Totaal alleenst. en samenwonende moeders;21;2008;946.0;651.0;404.0;143.0;104.0;84.0;210.0;111.0;98.0
151;Totaal alleenst. en samenwonende moeders;21;2009;969.0;680.0;413.0;152.0;116.0;86.0;203.0;103.0;99.0
152;Totaal alleenst. en samenwonende moeders;21;2010;980.0;695.0;422.0;157.0;116.0;96.0;189.0;101.0;88.0
153;Totaal alleenst. en samenwonende moeders;21;2011;976.0;694.0;419.0;160.0;115.0;90.0;192.0;101.0;90.0
154;Totaal alleenst. en samenwonende moeders;21;2012;993.0;707.0;417.0;166.0;123.0;96.0;189.0;98.0;91.0
155;Totaal alleenst. en samenwonende moeders;21;2013;1011.0;709.0;416.0;170.0;124.0;125.0;177.0;87.0;89.0
156;Totaal alleenst. en samenwonende moeders;22;2001;920.0;502.0;366.0;71.0;65.0;75.0;343.0;288.0;55.0
157;Totaal alleenst. en samenwonende moeders;22;2002;937.0;525.0;384.0;80.0;61.0;80.0;331.0;274.0;57.0
158;Totaal alleenst. en samenwonende moeders;22;2003;937.0;541.0;388.0;86.0;66.0;89.0;307.0;248.0;59.0
159;Totaal alleenst. en samenwonende moeders;22;2004;928.0;545.0;388.0;93.0;64.0;101.0;282.0;223.0;59.0
160;Totaal alleenst. en samenwonende moeders;22;2005;911.0;553.0;389.0;95.0;69.0;109.0;248.0;193.0;55.0
161;Totaal alleenst. en samenwonende moeders;22;2006;889.0;566.0;387.0;107.0;72.0;97.0;226.0;176.0;50.0
162;Totaal alleenst. en samenwonende moeders;22;2007;868.0;577.0;391.0;114.0;72.0;83.0;208.0;157.0;51.0
163;Totaal alleenst. en samenwonende moeders;22;2008;840.0;588.0;385.0;124.0;79.0;66.0;186.0;139.0;47.0
164;Totaal alleenst. en samenwonende moeders;22;2009;831.0;593.0;377.0;136.0;80.0;69.0;170.0;122.0;48.0
165;Totaal alleenst. en samenwonende moeders;22;2010;821.0;585.0;371.0;136.0;78.0;76.0;159.0;111.0;47.0
166;Totaal alleenst. en samenwonende moeders;22;2011;810.0;578.0;357.0;133.0;88.0;72.0;160.0;114.0;45.0
167;Totaal alleenst. en samenwonende moeders;22;2012;815.0;587.0;347.0;153.0;86.0;83.0;146.0;101.0;45.0
168;Totaal alleenst. en samenwonende moeders;22;2013;796.0;558.0;316.0;153.0;89.0;95.0;142.0;93.0;49.0
169;Totaal alleenst. en samenwonende moeders;23;2001;538.0;296.0;199.0;51.0;46.0;59.0;183.0;133.0;50.0
170;Totaal alleenst. en samenwonende moeders;23;2002;539.0;312.0;212.0;56.0;44.0;55.0;172.0;120.0;52.0
171;Totaal alleenst. en samenwonende moeders;23;2003;546.0;318.0;219.0;56.0;44.0;62.0;166.0;111.0;55.0
172;Totaal alleenst. en samenwonende moeders;23;2004;536.0;321.0;223.0;54.0;44.0;68.0;148.0;95.0;53.0
173;Totaal alleenst. en samenwonende moeders;23;2005;541.0;324.0;224.0;54.0;46.0;78.0;139.0;92.0;47.0
174;Totaal alleenst. en samenwonende moeders;23;2006;543.0;341.0;233.0;61.0;46.0;73.0;129.0;84.0;45.0
175;Totaal alleenst. en samenwonende moeders;23;2007;559.0;368.0;247.0;69.0;52.0;64.0;127.0;77.0;50.0
176;Totaal alleenst. en samenwonende moeders;23;2008;568.0;389.0;257.0;76.0;56.0;57.0;122.0;73.0;49.0
177;Totaal alleenst. en samenwonende moeders;23;2009;562.0;387.0;252.0;80.0;55.0;58.0;117.0;69.0;47.0
178;Totaal alleenst. en samenwonende moeders;23;2010;563.0;392.0;256.0;79.0;57.0;60.0;110.0;66.0;45.0
179;Totaal alleenst. en samenwonende moeders;23;2011;559.0;396.0;258.0;83.0;55.0;55.0;107.0;64.0;43.0
180;Totaal alleenst. en samenwonende moeders;23;2012;557.0;395.0;249.0;85.0;61.0;60.0;102.0;61.0;41.0
181;Totaal alleenst. en samenwonende moeders;23;2013;560.0;395.0;249.0;88.0;58.0;73.0;92.0;51.0;41.0
182;Totaal alleenst. en samenwonende moeders;24;2001;470.0;274.0;162.0;52.0;60.0;40.0;157.0;82.0;75.0
183;Totaal alleenst. en samenwonende moeders;24;2002;469.0;286.0;171.0;52.0;63.0;39.0;143.0;71.0;73.0
184;Totaal alleenst. en samenwonende moeders;24;2003;483.0;299.0;177.0;62.0;60.0;43.0;141.0;67.0;74.0
185;Totaal alleenst. en samenwonende moeders;24;2004;495.0;306.0;186.0;60.0;60.0;50.0;139.0;64.0;75.0
186;Totaal alleenst. en samenwonende moeders;24;2005;501.0;312.0;194.0;64.0;54.0;57.0;132.0;65.0;67.0
187;Totaal alleenst. en samenwonende moeders;24;2006;504.0;323.0;192.0;68.0;63.0;56.0;124.0;58.0;67.0
188;Totaal alleenst. en samenwonende moeders;24;2007;512.0;344.0;199.0;77.0;67.0;51.0;117.0;49.0;68.0
189;Totaal alleenst. en samenwonende moeders;24;2008;508.0;348.0;200.0;82.0;66.0;45.0;115.0;48.0;67.0
190;Totaal alleenst. en samenwonende moeders;24;2009;516.0;363.0;209.0;82.0;72.0;45.0;108.0;42.0;65.0
191;Totaal alleenst. en samenwonende moeders;24;2010;510.0;362.0;206.0;86.0;71.0;49.0;98.0;41.0;57.0
192;Totaal alleenst. en samenwonende moeders;24;2011;503.0;359.0;205.0;87.0;67.0;47.0;97.0;39.0;58.0
193;Totaal alleenst. en samenwonende moeders;24;2012;510.0;361.0;207.0;86.0;68.0;51.0;98.0;40.0;58.0
194;Totaal alleenst. en samenwonende moeders;24;2013;522.0;361.0;202.0;87.0;72.0;68.0;93.0;36.0;58.0
195;Totaal alleenst. en samenwonende moeders;25;2001;763.0;458.0;285.0;83.0;90.0;66.0;239.0;147.0;91.0
196;Totaal alleenst. en samenwonende moeders;25;2002;766.0;481.0;301.0;90.0;90.0;65.0;219.0;129.0;91.0
197;Totaal alleenst. en samenwonende moeders;25;2003;787.0;493.0;302.0;101.0;91.0;76.0;218.0;118.0;100.0
198;Totaal alleenst. en samenwonende moeders;25;2004;767.0;487.0;295.0;104.0;88.0;85.0;196.0;101.0;95.0
199;Totaal alleenst. en samenwonende moeders;25;2005;777.0;502.0;309.0;109.0;84.0;93.0;182.0;93.0;89.0
200;Totaal alleenst. en samenwonende moeders;25;2006;759.0;505.0;303.0;112.0;90.0;87.0;167.0;83.0;85.0
201;Totaal alleenst. en samenwonende moeders;25;2007;773.0;533.0;311.0;126.0;96.0;78.0;163.0;76.0;87.0
202;Totaal alleenst. en samenwonende moeders;25;2008;759.0;545.0;305.0;135.0;105.0;65.0;149.0;66.0;82.0
203;Totaal alleenst. en samenwonende moeders;25;2009;763.0;547.0;305.0;136.0;106.0;70.0;146.0;60.0;87.0
204;Totaal alleenst. en samenwonende moeders;25;2010;754.0;540.0;295.0;139.0;107.0;76.0;137.0;59.0;79.0
205;Totaal alleenst. en samenwonende moeders;25;2011;723.0;529.0;282.0;137.0;110.0;67.0;127.0;53.0;74.0
206;Totaal alleenst. en samenwonende moeders;25;2012;742.0;539.0;279.0;151.0;109.0;79.0;125.0;52.0;74.0
207;Totaal alleenst. en samenwonende moeders;25;2013;743.0;519.0;264.0;146.0;109.0;98.0;126.0;46.0;80.0
208;Totaal alleenst. en samenwonende moeders;26;2001;838.0;466.0;334.0;72.0;60.0;77.0;295.0;229.0;66.0
209;Totaal alleenst. en samenwonende moeders;26;2002;858.0;494.0;360.0;76.0;58.0;78.0;286.0;218.0;68.0
210;Totaal alleenst. en samenwonende moeders;26;2003;857.0;514.0;373.0;81.0;61.0;88.0;255.0;190.0;65.0
211;Totaal alleenst. en samenwonende moeders;26;2004;872.0;534.0;389.0;82.0;62.0;97.0;240.0;173.0;67.0
212;Totaal alleenst. en samenwonende moeders;26;2005;853.0;529.0;386.0;80.0;63.0;106.0;218.0;158.0;59.0
213;Totaal alleenst. en samenwonende moeders;26;2006;856.0;561.0;395.0;96.0;70.0;97.0;198.0;140.0;58.0
214;Totaal alleenst. en samenwonende moeders;26;2007;850.0;585.0;404.0;107.0;73.0;86.0;180.0;122.0;58.0
215;Totaal alleenst. en samenwonende moeders;26;2008;839.0;595.0;409.0;116.0;71.0;73.0;170.0;112.0;58.0
216;Totaal alleenst. en samenwonende moeders;26;2009;835.0;608.0;407.0;126.0;76.0;71.0;156.0;102.0;54.0
217;Totaal alleenst. en samenwonende moeders;26;2010;825.0;607.0;405.0;126.0;76.0;76.0;141.0;90.0;51.0
218;Totaal alleenst. en samenwonende moeders;26;2011;838.0;622.0;408.0;135.0;78.0;74.0;142.0;90.0;52.0
219;Totaal alleenst. en samenwonende moeders;26;2012;833.0;617.0;400.0;137.0;80.0;81.0;136.0;84.0;51.0
220;Totaal alleenst. en samenwonende moeders;26;2013;823.0;608.0;380.0;144.0;84.0;96.0;119.0;72.0;47.0
221;Totaal alleenst. en samenwonende moeders;27;2001;328.0;148.0;108.0;19.0;22.0;29.0;150.0;127.0;23.0
222;Totaal alleenst. en samenwonende moeders;27;2002;321.0;148.0;106.0;22.0;20.0;32.0;141.0;118.0;23.0
223;Totaal alleenst. en samenwonende moeders;27;2003;322.0;150.0;109.0;23.0;18.0;31.0;141.0;118.0;23.0
224;Totaal alleenst. en samenwonende moeders;27;2004;321.0;151.0;113.0;20.0;17.0;37.0;133.0;108.0;25.0
225;Totaal alleenst. en samenwonende moeders;27;2005;322.0;157.0;112.0;25.0;21.0;45.0;121.0;99.0;21.0
