ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
168;462 Groothandel in landbouwproducten;2012 4e kwartaal;128.4;14.1
169;462 Groothandel in landbouwproducten;2012;127.3;13.7
170;462 Groothandel in landbouwproducten;2013 1e kwartaal;135.0;11.0
171;462 Groothandel in landbouwproducten;2013 2e kwartaal;134.6;2.3
172;462 Groothandel in landbouwproducten;2013 3e kwartaal;117.0;-8.5
173;462 Groothandel in landbouwproducten;2013 4e kwartaal;120.0;-6.5
174;462 Groothandel in landbouwproducten;2013;126.7;-0.5
175;462 Groothandel in landbouwproducten;2014 1e kwartaal;120.7;-10.6
176;462 Groothandel in landbouwproducten;2014 2e kwartaal;124.6;-7.4
177;462 Groothandel in landbouwproducten;2014 3e kwartaal;112.2;-4.1
178;462 Groothandel in landbouwproducten;2014 4e kwartaal;120.6;0.5
179;462 Groothandel in landbouwproducten;2014;119.5;-5.6
180;462 Groothandel in landbouwproducten;2015 1e kwartaal;127.6;5.7
181;462 Groothandel in landbouwproducten;2015 2e kwartaal;124.3;-0.2
182;462 Groothandel in landbouwproducten;2015 3e kwartaal;115.8;3.2
183;462 Groothandel in landbouwproducten;2015 4e kwartaal;128.2;6.3
184;462 Groothandel in landbouwproducten;2015;124.0;3.7
185;462 Groothandel in landbouwproducten;2016 1e kwartaal;125.2;-1.9
186;462 Groothandel in landbouwproducten;2016 2e kwartaal;127.5;2.6
187;462 Groothandel in landbouwproducten;2016 3e kwartaal;119.7;3.4
188;462 Groothandel in landbouwproducten;2016 4e kwartaal;137.3;7.1
189;462 Groothandel in landbouwproducten;2016;127.4;2.8
190;462 Groothandel in landbouwproducten;2017 1e kwartaal;133.7;6.8
191;462 Groothandel in landbouwproducten;2017 2e kwartaal;128.1;0.4
192;462 Groothandel in landbouwproducten;2017 3e kwartaal;113.5;-5.2
193;462 Groothandel in landbouwproducten;2017 4e kwartaal;115.6;-15.8
194;462 Groothandel in landbouwproducten;2017;122.7;-3.7
195;4621 Groothandel in akkerbouwproducten;2005 1e kwartaal;;
196;4621 Groothandel in akkerbouwproducten;2005 2e kwartaal;;
197;4621 Groothandel in akkerbouwproducten;2005 3e kwartaal;;
198;4621 Groothandel in akkerbouwproducten;2005 4e kwartaal;;
199;4621 Groothandel in akkerbouwproducten;2005;;
200;4621 Groothandel in akkerbouwproducten;2006 1e kwartaal;;
201;4621 Groothandel in akkerbouwproducten;2006 2e kwartaal;;
202;4621 Groothandel in akkerbouwproducten;2006 3e kwartaal;;
203;4621 Groothandel in akkerbouwproducten;2006 4e kwartaal;;
204;4621 Groothandel in akkerbouwproducten;2006;;
205;4621 Groothandel in akkerbouwproducten;2007 1e kwartaal;65.0;
206;4621 Groothandel in akkerbouwproducten;2007 2e kwartaal;64.4;
207;4621 Groothandel in akkerbouwproducten;2007 3e kwartaal;73.0;
