ID;KenmerkenVanHuishoudens;AanvullendPensioen;Perioden;AantalHuishoudens_1;BrutoInkomen_2;BesteedbaarInkomen_3;GestandaardiseerdInkomen_4;AOWInkomen_5;PensioenInclAOW_6;AantalHuishoudens_7;Percentage_8;BedragPerOntvangendHuishouden_9;AantalHuishoudens_10;Percentage_11;BedragPerOntvangendHuishouden_12;AantalHuishoudens_13;Percentage_14;BedragPerOntvangendHuishouden_15;AantalHuishoudens_16;Percentage_17;BedragPerOntvangendHuishouden_18;AantalHuishoudens_19;Percentage_20;BedragPerOntvangendHuishouden_21;AantalHuishoudens_22;Percentage_23;BedragPerOntvangendHuishouden_24
23;Totaal huishoudens;Zonder aanvullend pensioen;1991;357;17.5;13.2;10.5;8.6;8.6;0;0.0;;178;49.8;5.5;114;31.9;16.7;98;27.5;0.9;98;27.4;2.1;268;75.1;11.9
24;Totaal huishoudens;Zonder aanvullend pensioen;1992;349;17.9;13.6;11.0;8.9;8.9;0;0.0;;179;51.4;6.0;103;29.6;17.0;96;27.6;1.0;98;28.2;2.3;268;76.9;11.8
25;Totaal huishoudens;Zonder aanvullend pensioen;1993;335;17.5;13.3;10.9;9.0;9.0;0;0.0;;170;50.8;5.6;103;30.6;15.5;94;28.0;1.1;94;28.1;2.4;257;76.6;11.2
26;Totaal huishoudens;Zonder aanvullend pensioen;1994;327;17.2;13.4;11.0;8.8;8.8;0;0.0;;166;50.8;5.0;102;31.2;15.3;97;29.6;1.1;92;28.2;2.6;257;78.5;10.7
27;Totaal huishoudens;Zonder aanvullend pensioen;1995;316;17.7;13.9;11.4;8.9;8.9;0;0.0;;163;51.8;5.2;89;28.3;17.3;97;30.9;1.1;94;29.9;2.7;251;79.4;11.0
28;Totaal huishoudens;Zonder aanvullend pensioen;1996;308;17.7;13.9;11.4;9.2;9.2;0;0.0;;154;50.1;4.9;89;28.8;16.4;97;31.6;1.2;89;28.9;3.0;244;79.3;10.7
29;Totaal huishoudens;Zonder aanvullend pensioen;1997;308;18.0;14.1;11.7;9.5;9.5;0;0.0;;160;51.8;4.7;88;28.4;16.7;100;32.5;1.3;90;29.2;2.9;249;80.9;10.4
30;Totaal huishoudens;Zonder aanvullend pensioen;1998;311;19.0;14.8;12.3;10.0;10.0;0;0.0;;163;52.5;4.6;102;32.9;16.0;98;31.5;1.5;92;29.4;3.0;260;83.7;10.8
31;Totaal huishoudens;Zonder aanvullend pensioen;1999;318;19.6;15.1;12.6;10.3;10.3;0;0.0;;164;51.5;4.6;102;32.2;17.3;100;31.4;1.5;95;29.8;3.2;262;82.6;11.3
32;Totaal huishoudens;Zonder aanvullend pensioen;2000;298;19.9;15.9;13.3;10.6;10.6;0;0.0;;151;50.6;4.1;95;32.0;17.8;94;31.4;1.6;90;30.1;3.8;248;83.3;11.3
33;1;Totaal huishoudens;1990;1239;20.1;15.0;11.8;8.9;13.3;938;75.7;5.8;680;54.8;3.5;389;31.4;13.3;321;25.9;0.8;359;28.9;1.9;995;80.3;8.5
34;1;Totaal huishoudens;1991;1261;21.2;15.7;12.4;9.2;14.0;963;76.4;6.3;691;54.8;4.1;368;29.2;14.0;341;27.0;0.9;373;29.6;1.9;1013;80.3;8.9
35;1;Totaal huishoudens;1992;1288;21.9;16.1;12.8;9.5;14.6;992;77.1;6.6;709;55.1;4.4;355;27.6;14.4;350;27.2;0.9;387;30.1;2.1;1038;80.6;9.0
36;1;Totaal huishoudens;1993;1306;22.0;16.3;13.0;9.6;15.1;1022;78.3;7.1;708;54.2;4.0;371;28.4;13.4;347;26.6;0.9;397;30.4;2.3;1051;80.5;8.6
37;1;Totaal huishoudens;1994;1326;21.8;16.6;13.3;9.4;15.2;1047;79.0;7.3;707;53.4;3.5;374;28.2;13.1;360;27.2;1.0;408;30.8;2.5;1068;80.5;8.2
38;1;Totaal huishoudens;1995;1347;22.2;17.0;13.6;9.5;15.6;1077;80.0;7.5;737;54.7;3.4;346;25.7;14.3;364;27.0;1.0;433;32.2;2.5;1085;80.6;8.2
39;1;Totaal huishoudens;1996;1371;22.7;17.4;14.0;9.9;16.2;1106;80.7;7.9;746;54.4;3.1;353;25.7;14.0;374;27.3;1.1;442;32.2;2.7;1106;80.6;8.0
40;1;Totaal huishoudens;1997;1395;23.2;17.9;14.4;10.2;16.9;1130;81.0;8.2;792;56.8;2.9;350;25.1;13.7;391;28.1;1.1;459;32.9;2.7;1147;82.2;7.7
41;1;Totaal huishoudens;1998;1410;24.3;18.7;15.1;10.7;17.6;1141;80.9;8.5;804;57.0;2.9;393;27.8;13.5;386;27.4;1.3;476;33.8;2.7;1173;83.2;8.0
42;1;Totaal huishoudens;1999;1429;25.1;19.2;15.6;11.1;18.1;1153;80.7;8.6;775;54.2;2.9;411;28.8;14.2;385;27.0;1.3;489;34.2;2.9;1161;81.3;8.6
43;1;Totaal huishoudens;2000;1443;26.3;20.5;16.6;11.4;19.1;1179;81.7;9.4;790;54.8;2.5;393;27.3;15.4;381;26.4;1.4;503;34.9;3.4;1176;81.5;8.8
44;1;Met aanvullend pensioen;1990;938;20.6;15.3;12.1;9.0;14.9;938;100.0;5.8;509;54.2;3.0;272;28.9;11.9;231;24.7;0.8;259;27.6;1.9;738;78.6;7.3
45;1;Met aanvullend pensioen;1991;963;21.7;16.1;12.7;9.4;15.6;963;100.0;6.3;524;54.4;3.7;258;26.8;12.6;246;25.6;0.8;277;28.8;1.9;759;78.8;7.8
46;1;Met aanvullend pensioen;1992;992;22.5;16.6;13.2;9.6;16.2;992;100.0;6.6;539;54.4;3.9;253;25.5;13.2;256;25.8;0.9;290;29.2;2.0;783;78.9;8.0
47;1;Met aanvullend pensioen;1993;1022;22.9;16.9;13.5;9.7;16.8;1022;100.0;7.1;547;53.5;3.6;272;26.6;12.4;255;25.0;0.9;304;29.7;2.2;806;78.9;7.7
48;1;Met aanvullend pensioen;1994;1047;22.6;17.2;13.7;9.6;16.8;1047;100.0;7.3;552;52.7;3.1;275;26.3;12.1;265;25.3;0.9;317;30.3;2.5;825;78.8;7.3
49;1;Met aanvullend pensioen;1995;1077;22.9;17.5;14.0;9.7;17.2;1077;100.0;7.5;583;54.1;2.9;259;24.0;13.1;270;25.1;1.0;340;31.5;2.4;848;78.7;7.3
50;1;Met aanvullend pensioen;1996;1106;23.6;18.0;14.4;10.0;17.9;1106;100.0;7.9;600;54.2;2.6;266;24.1;13.1;280;25.3;1.0;354;32.0;2.6;873;78.9;7.2
51;1;Met aanvullend pensioen;1997;1130;24.1;18.5;14.9;10.4;18.5;1130;100.0;8.2;641;56.7;2.5;264;23.4;12.7;295;26.1;1.1;369;32.7;2.6;910;80.5;6.9
52;1;Met aanvullend pensioen;1998;1141;25.2;19.5;15.7;10.9;19.4;1141;100.0;8.5;650;57.0;2.4;295;25.9;12.5;291;25.5;1.2;385;33.8;2.7;927;81.3;7.2
53;1;Met aanvullend pensioen;1999;1153;26.1;20.0;16.1;11.3;19.9;1153;100.0;8.6;621;53.9;2.5;313;27.1;13.1;288;24.9;1.3;396;34.3;2.9;912;79.1;7.8
54;1;Met aanvullend pensioen;2000;1179;27.5;21.3;17.3;11.6;21.0;1179;100.0;9.4;648;55.0;2.2;300;25.5;14.6;290;24.6;1.3;414;35.1;3.3;939;79.7;8.1
55;1;Zonder aanvullend pensioen;1990;301;18.7;14.1;11.0;8.5;8.5;0;0.0;;171;56.8;4.9;118;39.2;16.6;90;29.8;0.9;100;33.1;2.0;257;85.4;12.0
56;1;Zonder aanvullend pensioen;1991;298;19.3;14.3;11.2;8.8;8.8;0;0.0;;167;56.1;5.5;110;36.8;17.4;94;31.7;0.9;96;32.3;2.1;254;85.2;12.3
57;1;Zonder aanvullend pensioen;1992;295;19.6;14.7;11.6;9.1;9.1;0;0.0;;170;57.4;6.1;102;34.4;17.3;94;32.0;1.0;97;33.0;2.3;256;86.6;12.1
58;1;Zonder aanvullend pensioen;1993;284;19.0;14.3;11.5;9.1;9.1;0;0.0;;161;56.8;5.7;99;35.0;16.0;92;32.3;1.1;93;32.9;2.4;245;86.1;11.5
59;1;Zonder aanvullend pensioen;1994;278;18.7;14.5;11.6;8.9;8.9;0;0.0;;155;55.8;5.2;98;35.3;15.8;95;34.1;1.1;91;32.7;2.6;243;87.2;11.2
60;1;Zonder aanvullend pensioen;1995;270;19.1;14.9;12.0;9.1;9.1;0;0.0;;154;57.1;5.3;87;32.2;17.6;94;34.8;1.2;93;34.7;2.7;237;87.8;11.5
61;1;Zonder aanvullend pensioen;1996;265;19.0;14.8;11.9;9.3;9.3;0;0.0;;146;55.3;5.0;87;32.7;16.7;94;35.6;1.2;88;33.1;3.0;233;87.9;11.0
62;1;Zonder aanvullend pensioen;1997;265;19.3;15.0;12.2;9.6;9.6;0;0.0;;151;56.9;4.8;86;32.4;16.9;97;36.5;1.3;89;33.6;2.9;237;89.5;10.8
63;1;Zonder aanvullend pensioen;1998;269;20.3;15.7;12.8;10.1;10.1;0;0.0;;154;57.1;4.6;98;36.3;16.6;95;35.2;1.5;91;33.8;3.0;246;91.2;11.2
64;1;Zonder aanvullend pensioen;1999;276;20.9;15.9;13.1;10.4;10.4;0;0.0;;154;55.8;4.6;98;35.7;17.7;98;35.4;1.5;94;33.9;3.2;249;90.4;11.6
65;1;Zonder aanvullend pensioen;2000;264;21.1;16.8;13.8;10.6;10.6;0;0.0;;142;53.9;4.1;93;35.3;18.1;91;34.7;1.6;89;33.7;3.8;237;89.9;11.6
66;2;Totaal huishoudens;1990;587;13.4;10.6;10.6;7.5;10.6;417;71.1;4.5;269;45.9;3.4;89;15.2;3.4;213;36.3;0.8;119;20.2;2.1;445;75.8;3.7
67;2;Totaal huishoudens;1991;604;14.3;11.2;11.2;7.7;11.2;434;71.7;4.8;278;46.0;4.0;86;14.2;3.7;225;37.3;0.9;127;21.1;2.1;463;76.6;4.1
68;2;Totaal huishoudens;1992;629;15.0;11.6;11.6;8.0;11.6;455;72.4;5.0;292;46.5;4.4;83;13.2;3.8;235;37.5;0.9;132;21.1;2.3;488;77.6;4.3
69;2;Totaal huishoudens;1993;644;15.3;11.9;11.9;8.1;12.1;472;73.3;5.5;296;45.9;4.1;93;14.5;2.9;237;36.8;1.0;138;21.4;2.4;501;77.7;4.1
70;2;Totaal huishoudens;1994;659;15.1;12.1;12.1;8.0;12.1;488;74.0;5.6;295;44.8;3.6;99;15.0;2.9;249;37.8;1.0;145;21.9;2.7;514;77.9;3.9
71;2;Totaal huishoudens;1995;673;15.4;12.4;12.4;8.1;12.4;506;75.1;5.7;308;45.7;3.6;77;11.4;3.7;254;37.7;1.0;154;22.9;2.6;527;78.2;3.9
72;2;Totaal huishoudens;1996;684;15.8;12.7;12.7;8.4;13.0;522;76.2;6.0;310;45.3;2.9;78;11.3;3.6;255;37.3;1.1;156;22.8;2.9;532;77.8;3.6
73;2;Totaal huishoudens;1997;702;16.4;13.2;13.2;8.7;13.5;535;76.3;6.2;332;47.3;2.9;77;11.0;3.7;267;38.0;1.2;161;22.9;2.9;556;79.3;3.7
74;2;Totaal huishoudens;1998;704;17.3;13.9;13.9;9.2;14.1;536;76.1;6.4;337;47.9;2.9;96;13.6;4.4;265;37.6;1.3;165;23.5;3.2;567;80.5;4.0
75;2;Totaal huishoudens;1999;716;18.0;14.4;14.4;9.5;14.5;543;75.8;6.5;317;44.3;3.0;106;14.8;6.2;265;37.0;1.4;172;24.1;3.2;559;78.1;4.5
76;2;Totaal huishoudens;2000;725;18.8;15.4;15.4;9.8;15.4;559;77.0;7.3;330;45.5;2.5;97;13.4;6.3;265;36.5;1.5;179;24.6;3.7;571;78.7;4.4
77;2;Met aanvullend pensioen;1990;417;14.4;11.3;11.3;7.5;11.9;417;100.0;4.5;192;45.9;3.1;56;13.4;2.7;145;34.6;0.8;80;19.2;2.1;311;74.6;3.3
78;2;Met aanvullend pensioen;1991;434;15.4;11.9;11.9;7.7;12.5;434;100.0;4.8;202;46.7;3.6;55;12.7;3.4;153;35.3;0.9;88;20.4;2.1;327;75.5;3.8
79;2;Met aanvullend pensioen;1992;455;16.1;12.3;12.3;8.0;13.0;455;100.0;5.0;212;46.6;4.1;55;12.0;3.0;162;35.5;0.9;93;20.5;2.2;346;76.1;4.0
80;2;Met aanvullend pensioen;1993;472;16.4;12.6;12.6;8.1;13.6;472;100.0;5.5;217;45.9;3.7;63;13.3;2.4;164;34.7;0.9;100;21.1;2.4;361;76.4;3.7
81;2;Met aanvullend pensioen;1994;488;16.2;12.8;12.8;8.0;13.5;488;100.0;5.6;218;44.6;3.2;66;13.5;1.9;172;35.3;0.9;106;21.8;2.7;372;76.2;3.4
82;2;Met aanvullend pensioen;1995;506;16.4;13.0;13.0;8.1;13.8;506;100.0;5.7;229;45.3;3.1;50;9.9;2.9;179;35.4;1.0;114;22.5;2.5;387;76.5;3.4
83;2;Met aanvullend pensioen;1996;522;16.8;13.3;13.3;8.4;14.4;522;100.0;6.0;237;45.4;2.4;50;9.6;2.7;181;34.7;1.1;120;22.9;2.8;397;76.0;3.1
84;2;Met aanvullend pensioen;1997;535;17.3;13.9;13.9;8.7;14.9;535;100.0;6.2;255;47.5;2.4;48;9.0;2.3;190;35.4;1.1;120;22.5;2.9;414;77.3;3.1
85;2;Met aanvullend pensioen;1998;536;18.3;14.7;14.7;9.2;15.6;536;100.0;6.4;257;47.9;2.4;57;10.7;3.7;188;35.1;1.3;123;22.9;3.1;418;77.9;3.5
86;2;Met aanvullend pensioen;1999;543;19.0;15.1;15.1;9.6;16.1;543;100.0;6.5;239;43.9;2.5;69;12.6;4.9;187;34.5;1.3;129;23.7;3.1;408;75.2;3.9
87;2;Met aanvullend pensioen;2000;559;20.1;16.2;16.2;9.8;17.1;559;100.0;7.3;256;45.9;2.1;62;11.1;5.7;192;34.3;1.4;136;24.3;3.6;426;76.3;3.9
88;2;Zonder aanvullend pensioen;1990;170;11.0;9.1;9.1;7.4;7.4;0;0.0;;78;45.7;4.1;33;19.6;4.6;68;40.3;0.9;38;22.6;2.1;134;79.0;4.6
89;2;Zonder aanvullend pensioen;1991;171;11.5;9.4;9.4;7.7;7.7;0;0.0;;76;44.4;4.9;31;18.2;4.1;72;42.2;0.9;39;22.8;2.2;136;79.4;4.8
90;2;Zonder aanvullend pensioen;1992;174;12.2;9.9;9.9;8.0;8.0;0;0.0;;80;46.1;5.1;28;16.3;5.3;74;42.5;1.0;39;22.6;2.6;141;81.5;5.2
91;2;Zonder aanvullend pensioen;1993;172;12.1;9.8;9.8;8.1;8.1;0;0.0;;79;46.0;5.0;30;17.7;3.9;73;42.7;1.1;38;22.2;2.5;140;81.1;4.9
92;2;Zonder aanvullend pensioen;1994;172;12.1;10.1;10.1;8.0;8.0;0;0.0;;78;45.4;4.6;34;19.5;4.8;77;44.7;1.1;38;22.3;2.8;142;82.8;5.0
93;2;Zonder aanvullend pensioen;1995;168;12.5;10.5;10.5;8.1;8.1;0;0.0;;79;46.9;5.0;27;16.0;5.3;74;44.4;1.2;41;24.3;2.8;140;83.5;5.3
94;2;Zonder aanvullend pensioen;1996;163;12.6;10.5;10.5;8.4;8.4;0;0.0;;73;44.8;4.7;27;16.9;5.1;74;45.7;1.2;37;22.6;3.2;136;83.4;5.1
95;2;Zonder aanvullend pensioen;1997;166;13.2;11.0;11.0;8.7;8.7;0;0.0;;77;46.5;4.5;29;17.4;6.0;77;46.4;1.3;40;24.1;3.1;143;85.8;5.3
96;2;Zonder aanvullend pensioen;1998;168;14.0;11.5;11.5;9.1;9.1;0;0.0;;80;47.7;4.4;38;22.9;5.4;77;45.5;1.5;42;25.2;3.2;149;88.7;5.5
97;2;Zonder aanvullend pensioen;1999;173;14.8;12.0;12.0;9.4;9.4;0;0.0;;79;45.4;4.5;37;21.4;8.5;78;45.0;1.5;44;25.2;3.3;151;87.1;6.2
98;2;Zonder aanvullend pensioen;2000;167;14.7;12.5;12.5;9.6;9.6;0;0.0;;74;44.3;3.9;35;21.0;7.4;73;44.1;1.6;43;25.6;4.0;145;86.7;5.8
99;3;Totaal huishoudens;1990;111;14.4;11.1;11.1;7.5;11.8;83;74.8;5.7;57;50.9;2.2;25;22.2;3.9;28;25.2;0.8;26;23.6;1.7;81;72.9;3.6
100;3;Totaal huishoudens;1991;120;15.7;12.0;12.0;7.8;12.7;93;78.0;6.4;63;52.8;2.9;21;17.1;4.4;31;25.6;0.8;31;26.0;1.7;88;73.6;4.0
101;3;Totaal huishoudens;1992;127;16.5;12.6;12.6;8.1;13.3;100;78.9;6.6;68;53.7;3.1;23;17.8;4.4;32;25.3;0.9;34;27.1;2.0;96;75.3;4.2
102;3;Totaal huishoudens;1993;133;16.6;12.8;12.8;8.1;13.9;106;80.0;7.2;69;52.2;2.9;25;19.0;2.8;31;23.7;0.9;34;25.9;2.0;99;74.4;3.7
103;3;Totaal huishoudens;1994;135;16.6;13.1;13.1;8.0;13.8;107;79.1;7.4;68;50.1;2.7;27;20.2;3.0;32;23.3;0.9;36;26.3;2.4;99;73.2;3.8
104;3;Totaal huishoudens;1995;138;17.2;13.5;13.5;8.1;14.1;110;79.8;7.6;70;50.4;3.0;23;16.3;4.6;32;23.4;1.0;37;26.6;2.2;101;73.2;4.2
105;3;Totaal huishoudens;1996;143;17.6;14.0;14.0;8.4;14.8;117;81.7;7.9;72;50.4;2.5;22;15.6;4.0;34;23.8;1.0;37;26.0;2.5;104;72.5;3.9
106;3;Totaal huishoudens;1997;151;17.6;14.0;14.0;8.8;15.1;123;81.6;7.8;79;52.4;2.2;20;13.1;3.8;35;23.3;1.0;38;25.4;2.5;110;73.2;3.5
107;3;Totaal huishoudens;1998;148;18.7;14.8;14.8;9.2;16.1;124;83.5;8.3;79;53.1;2.5;20;13.6;2.4;36;24.1;1.1;40;27.3;2.6;112;75.1;3.5
108;3;Totaal huishoudens;1999;154;19.9;15.6;15.6;9.5;16.7;127;82.8;8.6;75;48.9;2.7;22;14.3;5.8;37;24.0;1.2;43;28.0;2.8;111;72.6;4.4
109;3;Totaal huishoudens;2000;156;20.9;16.7;16.7;9.8;17.5;126;80.9;9.6;78;50.1;2.5;24;15.2;5.8;39;25.0;1.2;44;28.4;3.4;116;74.3;4.5
110;3;Met aanvullend pensioen;1990;83;15.6;11.9;11.9;7.5;13.3;83;100.0;5.7;43;51.4;2.2;16;18.9;3.6;20;23.9;0.8;17;20.7;1.6;59;71.2;3.3
111;3;Met aanvullend pensioen;1991;93;17.0;12.9;12.9;7.8;14.1;93;100.0;6.4;50;53.7;3.0;13;14.3;4.7;22;23.8;0.8;24;25.1;1.6;68;72.8;4.0
112;3;Met aanvullend pensioen;1992;100;17.6;13.3;13.3;8.0;14.7;100;100.0;6.6;55;55.3;3.1;15;14.9;3.0;23;23.4;0.8;27;26.8;1.9;75;74.5;3.9
113;3;Met aanvullend pensioen;1993;106;17.9;13.6;13.6;8.1;15.3;106;100.0;7.2;56;53.0;2.8;17;16.2;1.9;23;21.2;0.9;27;25.9;2.0;78;73.0;3.4
114;3;Met aanvullend pensioen;1994;107;17.6;13.7;13.7;8.0;15.4;107;100.0;7.4;54;50.8;2.3;18;16.6;1.6;23;21.1;0.9;28;26.4;2.3;77;71.5;3.1
115;3;Met aanvullend pensioen;1995;110;18.1;14.1;14.1;8.1;15.7;110;100.0;7.6;56;50.7;2.4;15;13.4;3.3;23;20.7;1.0;28;25.4;2.1;78;70.5;3.4
116;3;Met aanvullend pensioen;1996;117;18.7;14.7;14.7;8.4;16.3;117;100.0;7.9;60;51.7;2.3;14;12.2;3.0;24;20.6;0.9;31;26.8;2.5;82;70.2;3.4
117;3;Met aanvullend pensioen;1997;123;18.5;14.6;14.6;8.8;16.6;123;100.0;7.8;66;53.5;1.9;12;9.6;1.3;26;21.0;1.0;31;25.2;2.5;87;71.0;2.8
118;3;Met aanvullend pensioen;1998;124;19.8;15.7;15.7;9.2;17.5;124;100.0;8.3;65;52.8;2.1;12;9.5;3.4;27;22.0;1.0;32;25.9;2.6;90;72.2;3.2
119;3;Met aanvullend pensioen;1999;127;20.8;16.2;16.2;9.6;18.2;127;100.0;8.6;61;47.8;2.3;14;11.2;4.0;27;21.2;1.1;35;27.8;2.7;88;69.0;3.7
120;3;Met aanvullend pensioen;2000;126;22.0;17.5;17.5;9.8;19.4;126;100.0;9.6;62;49.3;2.0;15;11.9;4.1;29;22.8;1.2;35;27.9;3.3;90;71.0;3.7
121;3;Zonder aanvullend pensioen;1990;28;10.6;8.7;8.7;7.3;7.3;0;0.0;;14;49.5;2.2;9;32.0;4.4;8;29.1;0.8;9;32.3;1.7;22;77.9;4.2
122;3;Zonder aanvullend pensioen;1991;26;10.9;8.9;8.9;7.7;7.7;0;0.0;;13;49.5;2.5;7;27.1;3.9;8;32.2;0.8;8;29.2;2.0;20;76.2;4.2
123;3;Zonder aanvullend pensioen;1992;27;12.5;10.3;10.3;8.1;8.1;0;0.0;;13;47.7;2.9;8;28.5;7.3;9;32.3;0.9;8;28.4;2.3;21;78.2;5.6
124;3;Zonder aanvullend pensioen;1993;27;11.8;9.8;9.8;8.0;8.0;0;0.0;;13;49.1;3.1;8;30.2;4.7;9;33.5;1.0;7;26.3;2.2;21;80.1;4.8
125;3;Zonder aanvullend pensioen;1994;28;12.7;10.5;10.5;7.9;7.9;0;0.0;;13;47.1;4.1;10;34.2;5.5;9;31.6;1.0;7;26.0;2.6;23;79.6;6.1
126;3;Zonder aanvullend pensioen;1995;28;13.7;11.3;11.3;8.0;8.0;0;0.0;;14;49.2;5.4;8;27.8;6.9;9;33.8;1.0;9;31.6;2.4;23;83.5;6.8
127;3;Zonder aanvullend pensioen;1996;26;12.8;10.7;10.7;8.2;8.2;0;0.0;;12;45.0;3.9;8;30.7;5.8;10;37.9;1.1;6;22.7;2.7;22;82.6;5.5
128;3;Zonder aanvullend pensioen;1997;28;13.6;11.3;11.3;8.6;8.6;0;0.0;;13;47.5;3.8;8;28.4;7.5;9;33.6;1.2;7;26.5;2.7;23;82.8;6.1
