ID;TechnologyArea;Periods;Applicants_1;Applications_2;ApplicantsWithForeignCooperation_3;ApplicationsWithForeignCooperation_4;PatentApplicants_5;PatentApplications_6;ApplicantsWithForeignCooperation_7;ApplicationsWithForeignCooperation_8
107;B5 Micro-structural and nanotechnology;2021;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
108;"C Chemistry; metallurgy";2013;90.0;615.0;15.0;100.0;50.0;70.0;0.0;0.0
109;"C Chemistry; metallurgy";2014;105.0;705.0;15.0;90.0;40.0;60.0;0.0;0.0
110;"C Chemistry; metallurgy";2015;105.0;760.0;15.0;85.0;55.0;85.0;0.0;0.0
111;"C Chemistry; metallurgy";2016;95.0;665.0;15.0;85.0;45.0;70.0;0.0;0.0
112;"C Chemistry; metallurgy";2017;95.0;525.0;10.0;65.0;55.0;75.0;0.0;0.0
113;"C Chemistry; metallurgy";2018;105.0;595.0;15.0;95.0;55.0;90.0;0.0;0.0
114;"C Chemistry; metallurgy";2019;120.0;600.0;20.0;65.0;60.0;105.0;0.0;0.0
115;"C Chemistry; metallurgy";2020;120.0;640.0;20.0;115.0;55.0;80.0;0.0;5.0
116;"C Chemistry; metallurgy";2021;105.0;475.0;15.0;105.0;70.0;110.0;0.0;0.0
117;C1 Chemistry;2013;85.0;590.0;15.0;100.0;45.0;60.0;0.0;0.0
118;C1 Chemistry;2014;95.0;680.0;15.0;90.0;35.0;50.0;0.0;0.0
119;C1 Chemistry;2015;100.0;735.0;15.0;80.0;50.0;80.0;0.0;0.0
120;C1 Chemistry;2016;85.0;630.0;15.0;80.0;40.0;60.0;0.0;0.0
121;C1 Chemistry;2017;90.0;500.0;10.0;65.0;55.0;70.0;0.0;0.0
122;C1 Chemistry;2018;100.0;560.0;15.0;95.0;50.0;80.0;0.0;0.0
123;C1 Chemistry;2019;110.0;560.0;20.0;65.0;50.0;90.0;0.0;0.0
124;C1 Chemistry;2020;110.0;600.0;15.0;110.0;50.0;70.0;0.0;5.0
125;C1 Chemistry;2021;100.0;460.0;10.0;105.0;65.0;105.0;0.0;0.0
126;C2 Metallurgy;2013;5.0;25.0;0.0;0.0;5.0;5.0;0.0;0.0
127;C2 Metallurgy;2014;10.0;25.0;0.0;0.0;5.0;10.0;0.0;0.0
128;C2 Metallurgy;2015;5.0;25.0;0.0;5.0;5.0;5.0;0.0;0.0
129;C2 Metallurgy;2016;10.0;30.0;0.0;0.0;5.0;10.0;0.0;0.0
130;C2 Metallurgy;2017;5.0;20.0;0.0;0.0;5.0;5.0;0.0;0.0
131;C2 Metallurgy;2018;5.0;35.0;0.0;0.0;5.0;10.0;0.0;0.0
132;C2 Metallurgy;2019;10.0;40.0;0.0;0.0;10.0;15.0;0.0;0.0
133;C2 Metallurgy;2020;10.0;35.0;0.0;0.0;5.0;10.0;0.0;0.0
134;C2 Metallurgy;2021;5.0;20.0;0.0;0.0;5.0;10.0;0.0;0.0
135;C3 Combinatorial technology;2013;;;;;;;;
136;C3 Combinatorial technology;2014;;;;;0.0;0.0;0.0;0.0
137;C3 Combinatorial technology;2015;;;;;;;;
138;C3 Combinatorial technology;2016;0.0;0.0;0.0;0.0;;;;
139;C3 Combinatorial technology;2017;;;;;;;;
140;C3 Combinatorial technology;2018;;;;;;;;
141;C3 Combinatorial technology;2019;0.0;0.0;0.0;0.0;;;;
142;C3 Combinatorial technology;2020;0.0;0.0;0.0;0.0;;;;
143;C3 Combinatorial technology;2021;;;;;;;;
144;"D Textiles; paper";2013;10.0;45.0;0.0;0.0;5.0;5.0;0.0;0.0
145;"D Textiles; paper";2014;5.0;35.0;0.0;5.0;5.0;10.0;0.0;0.0
146;"D Textiles; paper";2015;10.0;45.0;0.0;5.0;5.0;10.0;0.0;0.0
147;"D Textiles; paper";2016;15.0;40.0;0.0;5.0;10.0;10.0;0.0;0.0
148;"D Textiles; paper";2017;15.0;45.0;0.0;5.0;10.0;15.0;0.0;0.0
149;"D Textiles; paper";2018;10.0;20.0;0.0;5.0;10.0;10.0;0.0;0.0
150;"D Textiles; paper";2019;10.0;35.0;0.0;5.0;10.0;15.0;0.0;0.0
151;"D Textiles; paper";2020;10.0;25.0;0.0;0.0;5.0;10.0;0.0;0.0
152;"D Textiles; paper";2021;10.0;20.0;0.0;5.0;10.0;10.0;0.0;0.0
153;D1 Textiles or flexible materials n.e.c.;2013;10.0;35.0;0.0;0.0;5.0;5.0;0.0;0.0
154;D1 Textiles or flexible materials n.e.c.;2014;5.0;35.0;0.0;5.0;5.0;5.0;0.0;0.0
155;D1 Textiles or flexible materials n.e.c.;2015;10.0;40.0;0.0;5.0;5.0;5.0;0.0;0.0
156;D1 Textiles or flexible materials n.e.c.;2016;10.0;35.0;0.0;5.0;10.0;5.0;0.0;0.0
157;D1 Textiles or flexible materials n.e.c.;2017;5.0;35.0;0.0;5.0;5.0;10.0;0.0;0.0
158;D1 Textiles or flexible materials n.e.c.;2018;5.0;15.0;0.0;5.0;5.0;5.0;0.0;0.0
159;D1 Textiles or flexible materials n.e.c.;2019;5.0;25.0;0.0;5.0;5.0;10.0;0.0;0.0
160;D1 Textiles or flexible materials n.e.c.;2020;5.0;20.0;0.0;0.0;5.0;5.0;0.0;0.0
161;D1 Textiles or flexible materials n.e.c.;2021;10.0;20.0;0.0;5.0;10.0;10.0;0.0;0.0
162;D2 Paper;2013;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0
163;D2 Paper;2014;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
164;D2 Paper;2015;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
165;D2 Paper;2016;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
166;D2 Paper;2017;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
167;D2 Paper;2018;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
168;D2 Paper;2019;5.0;10.0;0.0;0.0;5.0;5.0;0.0;0.0
169;D2 Paper;2020;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
170;D2 Paper;2021;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
171;E Fixed constructions;2013;90.0;220.0;0.0;85.0;170.0;220.0;0.0;0.0
172;E Fixed constructions;2014;95.0;220.0;5.0;60.0;175.0;240.0;0.0;0.0
173;E Fixed constructions;2015;85.0;205.0;5.0;50.0;150.0;195.0;0.0;0.0
174;E Fixed constructions;2016;80.0;190.0;5.0;45.0;145.0;200.0;0.0;0.0
175;E Fixed constructions;2017;75.0;150.0;0.0;30.0;130.0;180.0;5.0;0.0
176;E Fixed constructions;2018;70.0;120.0;5.0;20.0;130.0;165.0;0.0;0.0
177;E Fixed constructions;2019;70.0;155.0;0.0;50.0;140.0;195.0;0.0;0.0
178;E Fixed constructions;2020;75.0;170.0;5.0;65.0;120.0;150.0;0.0;0.0
179;E Fixed constructions;2021;70.0;120.0;5.0;40.0;135.0;175.0;5.0;0.0
180;E1 Building;2013;80.0;105.0;0.0;0.0;165.0;210.0;0.0;0.0
181;E1 Building;2014;85.0;135.0;5.0;10.0;170.0;220.0;0.0;0.0
182;E1 Building;2015;75.0;125.0;0.0;0.0;140.0;180.0;0.0;0.0
183;E1 Building;2016;75.0;110.0;0.0;0.0;140.0;185.0;0.0;0.0
184;E1 Building;2017;70.0;105.0;0.0;0.0;125.0;170.0;5.0;0.0
185;E1 Building;2018;65.0;90.0;0.0;5.0;125.0;155.0;0.0;0.0
186;E1 Building;2019;60.0;85.0;0.0;0.0;135.0;170.0;0.0;0.0
187;E1 Building;2020;70.0;95.0;0.0;0.0;115.0;140.0;0.0;0.0
188;E1 Building;2021;60.0;75.0;5.0;5.0;125.0;165.0;5.0;0.0
189;E2 Earth or rock drilling and mining;2013;10.0;115.0;0.0;85.0;0.0;5.0;0.0;0.0
190;E2 Earth or rock drilling and mining;2014;5.0;85.0;0.0;55.0;10.0;20.0;0.0;0.0
191;E2 Earth or rock drilling and mining;2015;10.0;80.0;0.0;50.0;10.0;20.0;0.0;0.0
192;E2 Earth or rock drilling and mining;2016;5.0;80.0;0.0;45.0;5.0;10.0;0.0;0.0
193;E2 Earth or rock drilling and mining;2017;5.0;45.0;0.0;30.0;5.0;15.0;0.0;0.0
194;E2 Earth or rock drilling and mining;2018;5.0;30.0;0.0;15.0;5.0;10.0;0.0;0.0
195;E2 Earth or rock drilling and mining;2019;10.0;70.0;0.0;45.0;10.0;25.0;0.0;0.0
196;E2 Earth or rock drilling and mining;2020;5.0;75.0;0.0;60.0;5.0;10.0;0.0;0.0
197;E2 Earth or rock drilling and mining;2021;5.0;50.0;0.0;40.0;5.0;10.0;0.0;0.0
198;"F Mechanical engineering; lighting.";2013;95.0;290.0;5.0;20.0;130.0;175.0;0.0;0.0
199;"F Mechanical engineering; lighting.";2014;100.0;295.0;5.0;5.0;140.0;175.0;0.0;0.0
200;"F Mechanical engineering; lighting.";2015;90.0;270.0;5.0;10.0;120.0;155.0;0.0;0.0
201;"F Mechanical engineering; lighting.";2016;75.0;230.0;5.0;10.0;90.0;120.0;0.0;0.0
202;"F Mechanical engineering; lighting.";2017;70.0;225.0;0.0;5.0;105.0;160.0;0.0;0.0
203;"F Mechanical engineering; lighting.";2018;80.0;200.0;10.0;10.0;125.0;165.0;5.0;5.0
204;"F Mechanical engineering; lighting.";2019;75.0;240.0;5.0;5.0;110.0;155.0;0.0;0.0
205;"F Mechanical engineering; lighting.";2020;80.0;215.0;5.0;10.0;110.0;140.0;0.0;0.0
206;"F Mechanical engineering; lighting.";2021;70.0;215.0;0.0;10.0;105.0;165.0;0.0;0.0
207;F1 Engines or pumps;2013;20.0;40.0;0.0;5.0;20.0;25.0;0.0;0.0
208;F1 Engines or pumps;2014;20.0;35.0;0.0;0.0;25.0;30.0;0.0;0.0
209;F1 Engines or pumps;2015;25.0;50.0;0.0;0.0;20.0;30.0;0.0;0.0
210;F1 Engines or pumps;2016;25.0;40.0;0.0;5.0;20.0;30.0;0.0;0.0
211;F1 Engines or pumps;2017;20.0;35.0;0.0;0.0;25.0;45.0;0.0;0.0
212;F1 Engines or pumps;2018;10.0;25.0;0.0;0.0;20.0;40.0;0.0;0.0
213;F1 Engines or pumps;2019;15.0;30.0;0.0;0.0;20.0;30.0;0.0;0.0
214;F1 Engines or pumps;2020;15.0;25.0;0.0;5.0;25.0;40.0;0.0;0.0
215;F1 Engines or pumps;2021;15.0;35.0;0.0;0.0;20.0;40.0;0.0;0.0
216;F2 Engineering in general;2013;40.0;85.0;5.0;5.0;45.0;65.0;0.0;0.0
217;F2 Engineering in general;2014;40.0;75.0;5.0;5.0;50.0;65.0;0.0;0.0
218;F2 Engineering in general;2015;30.0;70.0;0.0;5.0;45.0;65.0;0.0;0.0
219;F2 Engineering in general;2016;25.0;60.0;0.0;0.0;25.0;45.0;0.0;0.0
220;F2 Engineering in general;2017;20.0;55.0;0.0;0.0;30.0;55.0;0.0;0.0
221;F2 Engineering in general;2018;25.0;55.0;0.0;5.0;40.0;55.0;0.0;0.0
222;F2 Engineering in general;2019;25.0;65.0;5.0;5.0;35.0;50.0;0.0;0.0
223;F2 Engineering in general;2020;30.0;50.0;5.0;5.0;25.0;35.0;0.0;0.0
224;F2 Engineering in general;2021;25.0;50.0;0.0;5.0;35.0;60.0;0.0;0.0
225;F3 Lighting and heating;2013;40.0;160.0;0.0;5.0;60.0;80.0;0.0;0.0
226;F3 Lighting and heating;2014;40.0;180.0;0.0;0.0;60.0;70.0;0.0;0.0
227;F3 Lighting and heating;2015;30.0;145.0;0.0;5.0;55.0;60.0;0.0;0.0
228;F3 Lighting and heating;2016;25.0;130.0;0.0;5.0;35.0;40.0;0.0;0.0
229;F3 Lighting and heating;2017;25.0;130.0;0.0;0.0;45.0;60.0;0.0;0.0
230;F3 Lighting and heating;2018;40.0;120.0;5.0;5.0;55.0;65.0;5.0;0.0
231;F3 Lighting and heating;2019;35.0;150.0;0.0;0.0;50.0;70.0;0.0;0.0
232;F3 Lighting and heating;2020;30.0;135.0;0.0;0.0;55.0;60.0;0.0;0.0
233;F3 Lighting and heating;2021;25.0;130.0;0.0;5.0;50.0;65.0;0.0;0.0
234;F4 Weapons and blasting;2013;0.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0
235;F4 Weapons and blasting;2014;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
236;F4 Weapons and blasting;2015;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
237;F4 Weapons and blasting;2016;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
238;F4 Weapons and blasting;2017;0.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
239;F4 Weapons and blasting;2018;0.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
240;F4 Weapons and blasting;2019;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
241;F4 Weapons and blasting;2020;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
242;F4 Weapons and blasting;2021;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0
243;G Physics;2013;100.0;775.0;10.0;125.0;130.0;175.0;0.0;0.0
244;G Physics;2014;100.0;850.0;10.0;75.0;110.0;215.0;0.0;0.0
245;G Physics;2015;95.0;850.0;10.0;75.0;125.0;305.0;0.0;0.0
246;G Physics;2016;105.0;795.0;10.0;75.0;135.0;275.0;0.0;0.0
247;G Physics;2017;110.0;975.0;10.0;60.0;120.0;255.0;0.0;0.0
248;G Physics;2018;105.0;950.0;10.0;65.0;110.0;285.0;0.0;5.0
249;G Physics;2019;110.0;935.0;10.0;75.0;95.0;275.0;0.0;0.0
250;G Physics;2020;135.0;895.0;15.0;85.0;115.0;240.0;0.0;5.0
251;G Physics;2021;105.0;805.0;10.0;65.0;110.0;170.0;5.0;0.0
252;G1 Physics: instruments;2013;100.0;770.0;10.0;125.0;130.0;175.0;0.0;0.0
253;G1 Physics: instruments;2014;100.0;850.0;10.0;75.0;105.0;215.0;0.0;0.0
254;G1 Physics: instruments;2015;90.0;845.0;10.0;75.0;125.0;305.0;0.0;0.0
255;G1 Physics: instruments;2016;105.0;795.0;10.0;75.0;135.0;270.0;0.0;0.0
256;G1 Physics: instruments;2017;110.0;970.0;10.0;60.0;120.0;255.0;0.0;0.0
257;G1 Physics: instruments;2018;105.0;945.0;10.0;65.0;110.0;280.0;0.0;5.0
258;G1 Physics: instruments;2019;110.0;925.0;10.0;70.0;95.0;270.0;0.0;0.0
259;G1 Physics: instruments;2020;130.0;890.0;15.0;85.0;115.0;240.0;0.0;5.0
260;G1 Physics: instruments;2021;105.0;800.0;10.0;65.0;110.0;170.0;5.0;0.0
261;G2 Nucleonics;2013;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
262;G2 Nucleonics;2014;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
263;G2 Nucleonics;2015;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
264;G2 Nucleonics;2016;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
265;G2 Nucleonics;2017;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
266;G2 Nucleonics;2018;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
267;G2 Nucleonics;2019;5.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0
268;G2 Nucleonics;2020;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
269;G2 Nucleonics;2021;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
270;H Electricity;2013;80.0;690.0;10.0;50.0;80.0;115.0;0.0;0.0
271;H Electricity;2014;80.0;690.0;5.0;40.0;75.0;125.0;0.0;0.0
272;H Electricity;2015;65.0;670.0;5.0;50.0;70.0;115.0;0.0;0.0
273;H Electricity;2016;60.0;605.0;5.0;40.0;85.0;115.0;0.0;0.0
274;H Electricity;2017;80.0;660.0;5.0;40.0;85.0;135.0;0.0;0.0
275;H Electricity;2018;75.0;640.0;10.0;40.0;70.0;125.0;0.0;5.0
276;H Electricity;2019;75.0;620.0;10.0;50.0;65.0;120.0;0.0;5.0
277;H Electricity;2020;70.0;650.0;10.0;40.0;75.0;140.0;5.0;5.0
278;H Electricity;2021;60.0;555.0;5.0;35.0;80.0;135.0;0.0;0.0
279;I Electrical engineering;2013;115.0;1080.0;15.0;90.0;145.0;190.0;0.0;0.0
280;I Electrical engineering;2014;115.0;1125.0;10.0;60.0;130.0;195.0;0.0;0.0
281;I Electrical engineering;2015;100.0;1035.0;10.0;70.0;130.0;180.0;0.0;0.0
282;I Electrical engineering;2016;100.0;955.0;10.0;60.0;145.0;195.0;0.0;0.0
283;I Electrical engineering;2017;110.0;1055.0;10.0;65.0;130.0;190.0;0.0;0.0
284;I Electrical engineering;2018;115.0;995.0;10.0;60.0;115.0;185.0;0.0;5.0
285;I Electrical engineering;2019;110.0;980.0;10.0;75.0;95.0;160.0;0.0;5.0
286;I Electrical engineering;2020;105.0;1040.0;15.0;85.0;115.0;200.0;5.0;5.0
287;I Electrical engineering;2021;100.0;885.0;10.0;65.0;125.0;195.0;5.0;5.0
288;1 Electrical machinery, apparatus, energ;2013;40.0;350.0;0.0;15.0;50.0;70.0;0.0;0.0
289;1 Electrical machinery, apparatus, energ;2014;40.0;365.0;0.0;5.0;45.0;65.0;0.0;0.0
290;1 Electrical machinery, apparatus, energ;2015;30.0;315.0;0.0;10.0;35.0;55.0;0.0;0.0
