ID;CountryOfCitizenship;AsylumRequests;Periods;TotalMenAndWomen_1;Men_2;Women_3;AllAges_4;YoungerThan15Years_5;k_15To17Years_6;k_18YearsOrOlder_7
28;85;First asylum requests;2007 4th quarter;2220;1500;720;2220;350;170;1700
29;85;First asylum requests;2007;7430;4810;2620;7430;1370;560;5500
30;85;First asylum requests;2008 1st quarter;2660;1770;900;2660;530;220;1910
31;85;First asylum requests;2008 2nd quarter;3110;2120;990;3110;480;200;2440
32;85;First asylum requests;2008 3rd quarter;4000;2580;1420;4000;860;300;2850
33;85;First asylum requests;2008 4th quarter;3630;2360;1270;3630;700;280;2650
34;85;First asylum requests;2008;13400;8830;4580;13400;2560;1000;9840
35;85;First asylum requests;2009 1st quarter;3620;2410;1220;3620;720;350;2550
36;85;First asylum requests;2009 2nd quarter;3470;2390;1090;3470;710;340;2420
37;85;First asylum requests;2009 3rd quarter;3530;2320;1210;3530;800;320;2410
38;85;First asylum requests;2009 4th quarter;4280;2690;1590;4280;930;430;2920
39;85;First asylum requests;2009;14910;9790;5100;14910;3160;1440;10300
40;85;First asylum requests;2010 1st quarter;3800;2290;1520;3800;990;330;2480
41;85;First asylum requests;2010 2nd quarter;2600;1530;1070;2600;760;240;1600
42;85;First asylum requests;2010 3rd quarter;3140;1770;1370;3140;1010;220;1910
43;85;First asylum requests;2010 4th quarter;3800;2770;1030;3800;1190;380;2220
44;85;First asylum requests;2010;13340;8350;4990;13340;3950;1170;8220
45;85;First asylum requests;2011 1st quarter;2860;1750;1120;2860;670;250;1940
46;85;First asylum requests;2011 2nd quarter;2850;1760;1090;2850;750;210;1890
47;85;First asylum requests;2011 3rd quarter;3080;1880;1210;3080;680;230;2180
48;85;First asylum requests;2011 4th quarter;2800;1710;1090;2800;570;210;2020
49;85;First asylum requests;2011;11590;7090;4490;11590;2680;890;8020
50;85;Follow-up asylum requests;2007 1st quarter;680;430;250;680;150;20;510
51;85;Follow-up asylum requests;2007 2nd quarter;660;460;200;660;120;20;530
52;85;Follow-up asylum requests;2007 3rd quarter;600;410;180;600;90;10;490
53;85;Follow-up asylum requests;2007 4th quarter;360;250;110;360;70;10;280
54;85;Follow-up asylum requests;2007;2300;1550;740;2300;430;60;1810
55;85;Follow-up asylum requests;2008 1st quarter;470;320;160;470;90;20;360
56;85;Follow-up asylum requests;2008 2nd quarter;450;290;160;450;80;10;350
57;85;Follow-up asylum requests;2008 3rd quarter;500;340;170;500;90;20;400
58;85;Follow-up asylum requests;2008 4th quarter;450;310;140;450;90;10;350
59;85;Follow-up asylum requests;2008;1870;1250;620;1870;350;60;1460
60;85;Follow-up asylum requests;2009 1st quarter;350;260;90;350;50;10;290
61;85;Follow-up asylum requests;2009 2nd quarter;310;220;90;310;50;0;250
62;85;Follow-up asylum requests;2009 3rd quarter;310;220;90;310;60;10;250
63;85;Follow-up asylum requests;2009 4th quarter;290;210;80;290;50;10;230
64;85;Follow-up asylum requests;2009;1260;900;350;1260;200;30;1030
65;85;Follow-up asylum requests;2010 1st quarter;390;260;130;390;70;10;310
66;85;Follow-up asylum requests;2010 2nd quarter;510;360;150;510;80;20;410
67;85;Follow-up asylum requests;2010 3rd quarter;370;280;90;370;40;10;320
68;85;Follow-up asylum requests;2010 4th quarter;550;460;90;550;90;20;450
69;85;Follow-up asylum requests;2010;1820;1370;450;1820;280;50;1480
70;85;Follow-up asylum requests;2011 1st quarter;650;490;160;650;70;10;570
71;85;Follow-up asylum requests;2011 2nd quarter;760;550;210;760;120;30;620
72;85;Follow-up asylum requests;2011 3rd quarter;810;580;230;810;110;30;670
73;85;Follow-up asylum requests;2011 4th quarter;820;580;240;820;130;30;660
74;85;Follow-up asylum requests;2011;3040;2200;840;3040;420;100;2530
75;81;Total asylum requests;2007 1st quarter;1090;660;430;1090;180;70;840
76;81;Total asylum requests;2007 2nd quarter;950;580;370;950;160;70;730
77;81;Total asylum requests;2007 3rd quarter;1040;630;410;1040;180;80;780
78;81;Total asylum requests;2007 4th quarter;930;580;350;930;140;80;710
79;81;Total asylum requests;2007;4010;2460;1550;4010;650;300;3050
80;81;Total asylum requests;2008 1st quarter;1190;680;510;1190;270;110;810
81;81;Total asylum requests;2008 2nd quarter;1090;600;500;1090;200;70;820
82;81;Total asylum requests;2008 3rd quarter;1810;1050;760;1810;420;150;1230
83;81;Total asylum requests;2008 4th quarter;1790;1130;670;1790;310;120;1370
84;81;Total asylum requests;2008;5880;3450;2430;5880;1200;460;4220
85;81;Total asylum requests;2009 1st quarter;1960;1270;700;1960;360;200;1410
86;81;Total asylum requests;2009 2nd quarter;2240;1550;680;2240;400;190;1650
87;81;Total asylum requests;2009 3rd quarter;2190;1510;680;2190;400;190;1610
88;81;Total asylum requests;2009 4th quarter;2010;1240;760;2010;400;200;1410
89;81;Total asylum requests;2009;8400;5570;2820;8400;1550;770;6080
90;81;Total asylum requests;2010 1st quarter;1400;720;680;1400;380;130;890
91;81;Total asylum requests;2010 2nd quarter;1330;770;560;1330;370;130;820
92;81;Total asylum requests;2010 3rd quarter;1530;820;710;1530;590;110;830
93;81;Total asylum requests;2010 4th quarter;1860;1330;530;1860;700;190;970
94;81;Total asylum requests;2010;6110;3730;2390;6110;2040;560;3510
95;81;Total asylum requests;2011 1st quarter;1220;740;480;1220;290;80;840
96;81;Total asylum requests;2011 2nd quarter;1060;690;370;1060;180;50;820
97;81;Total asylum requests;2011 3rd quarter;1050;630;420;1050;150;60;840
98;81;Total asylum requests;2011 4th quarter;990;630;370;990;120;60;810
99;81;Total asylum requests;2011;4310;2680;1630;4310;740;260;3310
100;81;First asylum requests;2007 1st quarter;890;540;350;890;160;70;660
101;81;First asylum requests;2007 2nd quarter;700;420;280;700;130;60;510
102;81;First asylum requests;2007 3rd quarter;850;490;350;850;160;80;610
103;81;First asylum requests;2007 4th quarter;810;490;310;810;130;80;600
104;81;First asylum requests;2007;3240;1940;1300;3240;570;290;2380
105;81;First asylum requests;2008 1st quarter;1050;590;460;1050;250;110;700
106;81;First asylum requests;2008 2nd quarter;940;510;430;940;190;70;690
107;81;First asylum requests;2008 3rd quarter;1640;930;710;1640;410;150;1090
108;81;First asylum requests;2008 4th quarter;1640;1020;620;1640;290;120;1230
109;81;First asylum requests;2008;5280;3060;2220;5280;1130;450;3700
110;81;First asylum requests;2009 1st quarter;1850;1180;670;1850;350;190;1310
111;81;First asylum requests;2009 2nd quarter;2100;1460;640;2100;380;190;1530
112;81;First asylum requests;2009 3rd quarter;2080;1430;650;2080;390;190;1510
113;81;First asylum requests;2009 4th quarter;1900;1180;730;1900;390;190;1320
114;81;First asylum requests;2009;7930;5240;2690;7930;1500;770;5660
115;81;First asylum requests;2010 1st quarter;1280;740;550;1280;370;130;780
116;81;First asylum requests;2010 2nd quarter;1140;640;500;1140;360;130;650
117;81;First asylum requests;2010 3rd quarter;1420;730;690;1420;580;110;730
118;81;First asylum requests;2010 4th quarter;1720;1200;510;1720;690;190;840
119;81;First asylum requests;2010;5560;3320;2240;5560;2010;560;3000
120;81;First asylum requests;2011 1st quarter;1000;570;430;1000;280;80;630
121;81;First asylum requests;2011 2nd quarter;830;520;310;830;170;50;610
122;81;First asylum requests;2011 3rd quarter;820;470;350;820;140;60;630
123;81;First asylum requests;2011 4th quarter;740;440;300;740;110;60;580
124;81;First asylum requests;2011;3390;2010;1380;3390;700;240;2450
125;81;Follow-up asylum requests;2007 1st quarter;210;130;80;210;20;0;180
126;81;Follow-up asylum requests;2007 2nd quarter;250;160;80;250;30;0;210
127;81;Follow-up asylum requests;2007 3rd quarter;200;140;60;200;20;0;180
128;81;Follow-up asylum requests;2007 4th quarter;120;80;40;120;10;0;110
129;81;Follow-up asylum requests;2007;770;510;250;770;80;10;680
130;81;Follow-up asylum requests;2008 1st quarter;130;90;40;130;10;10;110
131;81;Follow-up asylum requests;2008 2nd quarter;150;80;70;150;20;10;130
132;81;Follow-up asylum requests;2008 3rd quarter;160;110;50;160;20;0;140
133;81;Follow-up asylum requests;2008 4th quarter;150;110;50;150;20;0;140
134;81;Follow-up asylum requests;2008;600;390;210;600;60;20;520
135;81;Follow-up asylum requests;2009 1st quarter;120;90;30;120;10;0;110
136;81;Follow-up asylum requests;2009 2nd quarter;130;90;40;130;10;0;120
137;81;Follow-up asylum requests;2009 3rd quarter;110;80;30;110;10;0;100
138;81;Follow-up asylum requests;2009 4th quarter;110;70;40;110;10;0;90
139;81;Follow-up asylum requests;2009;470;340;130;470;40;10;420
140;81;Follow-up asylum requests;2010 1st quarter;120;80;40;120;10;0;110
141;81;Follow-up asylum requests;2010 2nd quarter;180;120;60;180;10;0;170
142;81;Follow-up asylum requests;2010 3rd quarter;110;80;20;110;10;0;100
143;81;Follow-up asylum requests;2010 4th quarter;140;120;20;140;10;0;130
144;81;Follow-up asylum requests;2010;550;410;140;550;40;10;510
145;81;Follow-up asylum requests;2011 1st quarter;220;170;60;220;10;0;210
146;81;Follow-up asylum requests;2011 2nd quarter;230;170;60;230;10;10;210
147;81;Follow-up asylum requests;2011 3rd quarter;230;160;70;230;10;10;210
148;81;Follow-up asylum requests;2011 4th quarter;250;180;70;250;10;0;230
149;81;Follow-up asylum requests;2011;920;670;250;920;50;20;860
150;82;Total asylum requests;2007 1st quarter;20;10;10;20;10;0;10
151;82;Total asylum requests;2007 2nd quarter;20;20;10;20;0;0;20
152;82;Total asylum requests;2007 3rd quarter;20;10;10;20;10;0;10
153;82;Total asylum requests;2007 4th quarter;50;20;30;50;0;0;50
154;82;Total asylum requests;2007;110;60;50;110;20;0;90
155;82;Total asylum requests;2008 1st quarter;20;10;10;20;0;0;20
156;82;Total asylum requests;2008 2nd quarter;20;10;10;20;0;0;20
157;82;Total asylum requests;2008 3rd quarter;30;20;10;30;10;0;20
158;82;Total asylum requests;2008 4th quarter;40;30;10;40;10;0;40
159;82;Total asylum requests;2008;110;70;40;110;20;0;90
160;82;Total asylum requests;2009 1st quarter;20;20;0;20;10;0;20
161;82;Total asylum requests;2009 2nd quarter;20;20;10;20;10;0;20
162;82;Total asylum requests;2009 3rd quarter;10;10;0;10;0;0;10
163;82;Total asylum requests;2009 4th quarter;40;30;10;40;10;0;30
164;82;Total asylum requests;2009;100;70;30;100;20;0;80
165;82;Total asylum requests;2010 1st quarter;20;20;0;20;0;0;20
166;82;Total asylum requests;2010 2nd quarter;20;20;10;20;0;0;20
167;82;Total asylum requests;2010 3rd quarter;10;0;0;10;0;0;10
168;82;Total asylum requests;2010 4th quarter;20;20;0;20;10;0;20
169;82;Total asylum requests;2010;80;60;20;80;10;0;60
170;82;Total asylum requests;2011 1st quarter;20;10;10;20;0;0;20
171;82;Total asylum requests;2011 2nd quarter;10;10;0;10;0;0;10
172;82;Total asylum requests;2011 3rd quarter;20;10;10;20;0;0;20
173;82;Total asylum requests;2011 4th quarter;30;20;10;30;0;0;30
174;82;Total asylum requests;2011;80;60;30;80;10;0;70
175;82;First asylum requests;2007 1st quarter;10;10;0;10;0;0;10
176;82;First asylum requests;2007 2nd quarter;20;20;0;20;0;0;20
177;82;First asylum requests;2007 3rd quarter;10;10;0;10;0;0;10
178;82;First asylum requests;2007 4th quarter;40;20;20;40;0;0;40
179;82;First asylum requests;2007;80;50;30;80;10;0;70
180;82;First asylum requests;2008 1st quarter;10;10;10;10;0;0;10
181;82;First asylum requests;2008 2nd quarter;20;10;10;20;0;0;10
182;82;First asylum requests;2008 3rd quarter;20;10;10;20;0;0;20
183;82;First asylum requests;2008 4th quarter;30;20;10;30;0;0;20
184;82;First asylum requests;2008;80;50;30;80;10;0;70
185;82;First asylum requests;2009 1st quarter;20;20;0;20;10;0;20
186;82;First asylum requests;2009 2nd quarter;20;10;10;20;0;0;20
187;82;First asylum requests;2009 3rd quarter;10;10;0;10;0;0;10
188;82;First asylum requests;2009 4th quarter;40;30;10;40;10;0;30
189;82;First asylum requests;2009;90;70;20;90;20;0;70
190;82;First asylum requests;2010 1st quarter;20;20;0;20;0;0;20
191;82;First asylum requests;2010 2nd quarter;20;20;10;20;0;0;20
192;82;First asylum requests;2010 3rd quarter;10;0;0;10;0;0;10
193;82;First asylum requests;2010 4th quarter;20;20;0;20;10;0;20
194;82;First asylum requests;2010;70;60;20;70;10;0;60
195;82;First asylum requests;2011 1st quarter;20;10;10;20;0;0;20
196;82;First asylum requests;2011 2nd quarter;10;10;0;10;0;0;10
197;82;First asylum requests;2011 3rd quarter;20;10;10;20;0;0;20
198;82;First asylum requests;2011 4th quarter;30;20;10;30;0;0;30
199;82;First asylum requests;2011;80;50;30;80;10;0;70
200;82;Follow-up asylum requests;2007 1st quarter;10;0;10;10;0;0;10
201;82;Follow-up asylum requests;2007 2nd quarter;0;0;0;0;0;0;0
202;82;Follow-up asylum requests;2007 3rd quarter;10;10;0;10;0;0;10
203;82;Follow-up asylum requests;2007 4th quarter;10;0;10;10;0;0;10
204;82;Follow-up asylum requests;2007;30;10;20;30;10;0;20
205;82;Follow-up asylum requests;2008 1st quarter;0;0;0;0;0;0;0
206;82;Follow-up asylum requests;2008 2nd quarter;0;0;0;0;0;0;0
207;82;Follow-up asylum requests;2008 3rd quarter;10;0;10;10;0;0;10
208;82;Follow-up asylum requests;2008 4th quarter;20;10;10;20;0;0;10
209;82;Follow-up asylum requests;2008;30;20;10;30;10;0;20
210;82;Follow-up asylum requests;2009 1st quarter;0;0;0;0;0;0;0
211;82;Follow-up asylum requests;2009 2nd quarter;10;0;0;10;0;0;0
212;82;Follow-up asylum requests;2009 3rd quarter;0;0;0;0;0;0;0
213;82;Follow-up asylum requests;2009 4th quarter;0;0;0;0;0;0;0
214;82;Follow-up asylum requests;2009;10;10;10;10;0;0;10
215;82;Follow-up asylum requests;2010 1st quarter;0;0;0;0;0;0;0
216;82;Follow-up asylum requests;2010 2nd quarter;0;0;0;0;0;0;0
217;82;Follow-up asylum requests;2010 3rd quarter;0;0;0;0;0;0;0
218;82;Follow-up asylum requests;2010 4th quarter;0;0;0;0;0;0;0
219;82;Follow-up asylum requests;2010;0;0;0;0;0;0;0
220;82;Follow-up asylum requests;2011 1st quarter;0;0;0;0;0;0;0
221;82;Follow-up asylum requests;2011 2nd quarter;0;0;0;0;0;0;0
222;82;Follow-up asylum requests;2011 3rd quarter;0;0;0;0;0;0;0
223;82;Follow-up asylum requests;2011 4th quarter;0;0;0;0;0;0;0
224;82;Follow-up asylum requests;2011;0;0;0;0;0;0;0
225;80;Total asylum requests;2007 1st quarter;980;640;340;980;180;60;740
226;80;Total asylum requests;2007 2nd quarter;870;610;260;870;130;60;680
227;80;Total asylum requests;2007 3rd quarter;1140;800;340;1140;140;60;940
228;80;Total asylum requests;2007 4th quarter;1340;990;350;1340;180;90;1070
229;80;Total asylum requests;2007;4320;3030;1290;4320;630;260;3430
230;80;Total asylum requests;2008 1st quarter;1620;1200;430;1620;260;120;1240
231;80;Total asylum requests;2008 2nd quarter;2210;1640;570;2210;270;130;1810
232;80;Total asylum requests;2008 3rd quarter;2260;1620;640;2260;370;140;1750
233;80;Total asylum requests;2008 4th quarter;1870;1290;580;1870;340;150;1380
234;80;Total asylum requests;2008;7960;5750;2210;7960;1240;540;6180
235;80;Total asylum requests;2009 1st quarter;1530;1080;450;1530;250;140;1130
236;80;Total asylum requests;2009 2nd quarter;1090;760;330;1090;200;130;760
237;80;Total asylum requests;2009 3rd quarter;1140;720;420;1140;260;130;750
238;80;Total asylum requests;2009 4th quarter;1760;1130;630;1760;360;210;1200
239;80;Total asylum requests;2009;5520;3690;1830;5520;1080;600;3840
240;80;Total asylum requests;2010 1st quarter;1660;960;700;1660;330;170;1160
241;80;Total asylum requests;2010 2nd quarter;1250;810;440;1250;260;100;890
242;80;Total asylum requests;2010 3rd quarter;1220;800;420;1220;210;90;920
243;80;Total asylum requests;2010 4th quarter;1690;1300;390;1690;300;170;1220
244;80;Total asylum requests;2010;5810;3960;1850;5810;1100;530;4190
245;80;Total asylum requests;2011 1st quarter;1550;1070;480;1550;190;150;1210
246;80;Total asylum requests;2011 2nd quarter;1710;1110;590;1710;340;160;1210
247;80;Total asylum requests;2011 3rd quarter;1990;1290;700;1990;360;150;1490
248;80;Total asylum requests;2011 4th quarter;1760;1130;630;1760;310;140;1320
249;80;Total asylum requests;2011;7010;4600;2410;7010;1190;590;5220
250;80;First asylum requests;2007 1st quarter;660;420;240;660;130;50;490
251;80;First asylum requests;2007 2nd quarter;560;380;180;560;100;50;410
252;80;First asylum requests;2007 3rd quarter;830;590;250;830;110;50;680
253;80;First asylum requests;2007 4th quarter;1180;870;310;1180;160;80;940
254;80;First asylum requests;2007;3230;2250;980;3230;490;230;2510
255;80;First asylum requests;2008 1st quarter;1400;1040;360;1400;230;110;1060
256;80;First asylum requests;2008 2nd quarter;1970;1470;500;1970;230;120;1610
257;80;First asylum requests;2008 3rd quarter;2030;1460;580;2030;340;130;1570
258;80;First asylum requests;2008 4th quarter;1690;1160;530;1690;310;140;1240
259;80;First asylum requests;2008;7100;5130;1970;7100;1110;510;5480
260;80;First asylum requests;2009 1st quarter;1380;960;410;1380;240;140;1000
261;80;First asylum requests;2009 2nd quarter;970;670;300;970;190;130;660
262;80;First asylum requests;2009 3rd quarter;1010;630;390;1010;250;120;640
263;80;First asylum requests;2009 4th quarter;1630;1030;600;1630;350;200;1080
264;80;First asylum requests;2009;4990;3290;1700;4990;1020;590;3390
265;80;First asylum requests;2010 1st quarter;1480;920;560;1480;310;170;1000
266;80;First asylum requests;2010 2nd quarter;1010;620;390;1010;230;90;690
267;80;First asylum requests;2010 3rd quarter;1010;630;380;1010;190;90;730
268;80;First asylum requests;2010 4th quarter;1360;1030;330;1360;250;150;960
269;80;First asylum requests;2010;4860;3200;1660;4860;990;500;3370
270;80;First asylum requests;2011 1st quarter;1230;800;440;1230;180;140;920
271;80;First asylum requests;2011 2nd quarter;1300;810;490;1300;300;140;860
272;80;First asylum requests;2011 3rd quarter;1540;950;590;1540;310;130;1100
273;80;First asylum requests;2011 4th quarter;1360;840;520;1360;250;120;980
274;80;First asylum requests;2011;5430;3390;2040;5430;1030;540;3860
275;80;Follow-up asylum requests;2007 1st quarter;320;220;100;320;50;10;250
276;80;Follow-up asylum requests;2007 2nd quarter;310;230;80;310;30;10;270
277;80;Follow-up asylum requests;2007 3rd quarter;300;210;90;300;40;10;260
278;80;Follow-up asylum requests;2007 4th quarter;160;130;40;160;20;10;140
279;80;Follow-up asylum requests;2007;1090;780;300;1090;140;30;920
280;80;Follow-up asylum requests;2008 1st quarter;220;160;70;220;30;10;180
281;80;Follow-up asylum requests;2008 2nd quarter;230;160;70;230;40;0;190
282;80;Follow-up asylum requests;2008 3rd quarter;220;170;60;220;30;10;190
283;80;Follow-up asylum requests;2008 4th quarter;180;130;50;180;30;10;150
284;80;Follow-up asylum requests;2008;860;620;240;860;130;30;700
285;80;Follow-up asylum requests;2009 1st quarter;160;110;40;160;20;10;130
286;80;Follow-up asylum requests;2009 2nd quarter;120;90;30;120;10;0;100
287;80;Follow-up asylum requests;2009 3rd quarter;130;100;40;130;10;10;110
288;80;Follow-up asylum requests;2009 4th quarter;130;100;30;130;10;10;110
289;80;Follow-up asylum requests;2009;530;400;130;530;50;20;460
290;80;Follow-up asylum requests;2010 1st quarter;180;140;40;180;20;0;160
291;80;Follow-up asylum requests;2010 2nd quarter;240;190;50;240;30;10;210
292;80;Follow-up asylum requests;2010 3rd quarter;210;170;40;210;20;10;190
293;80;Follow-up asylum requests;2010 4th quarter;330;270;50;330;50;10;270
294;80;Follow-up asylum requests;2010;960;770;190;960;110;30;820
295;80;Follow-up asylum requests;2011 1st quarter;310;270;50;310;10;10;300
296;80;Follow-up asylum requests;2011 2nd quarter;410;300;100;410;50;20;350
297;80;Follow-up asylum requests;2011 3rd quarter;460;340;110;460;50;20;390
298;80;Follow-up asylum requests;2011 4th quarter;400;300;110;400;50;10;340
299;80;Follow-up asylum requests;2011;1580;1210;370;1580;160;50;1370
300;84;Total asylum requests;2007 1st quarter;270;180;90;270;50;10;210
301;84;Total asylum requests;2007 2nd quarter;140;90;50;140;20;10;110
302;84;Total asylum requests;2007 3rd quarter;160;110;60;160;20;10;140
303;84;Total asylum requests;2007 4th quarter;160;110;50;160;30;10;130
304;84;Total asylum requests;2007;740;490;240;740;120;40;580
305;84;Total asylum requests;2008 1st quarter;190;130;70;190;30;10;150
306;84;Total asylum requests;2008 2nd quarter;140;90;50;140;30;10;110
307;84;Total asylum requests;2008 3rd quarter;250;150;100;250;40;20;190
308;84;Total asylum requests;2008 4th quarter;210;130;80;210;40;10;170
309;84;Total asylum requests;2008;800;510;300;800;140;50;620
310;84;Total asylum requests;2009 1st quarter;250;160;90;250;40;10;210
311;84;Total asylum requests;2009 2nd quarter;250;170;80;250;40;10;200
312;84;Total asylum requests;2009 3rd quarter;330;210;120;330;70;10;250
313;84;Total asylum requests;2009 4th quarter;610;410;200;610;120;30;460
314;84;Total asylum requests;2009;1440;950;490;1440;270;70;1110
315;84;Total asylum requests;2010 1st quarter;900;530;370;900;230;30;640
316;84;Total asylum requests;2010 2nd quarter;340;200;140;340;100;20;230
317;84;Total asylum requests;2010 3rd quarter;580;330;250;580;130;20;430
318;84;Total asylum requests;2010 4th quarter;590;430;160;590;170;30;390
319;84;Total asylum requests;2010;2410;1500;910;2410;620;100;1690
320;84;Total asylum requests;2011 1st quarter;510;310;200;510;100;20;380
321;84;Total asylum requests;2011 2nd quarter;610;370;240;610;180;20;420
322;84;Total asylum requests;2011 3rd quarter;620;410;210;620;120;40;460
323;84;Total asylum requests;2011 4th quarter;680;420;260;680;170;30;480
324;84;Total asylum requests;2011;2420;1510;910;2420;570;120;1740
325;84;First asylum requests;2007 1st quarter;190;130;50;190;30;10;150
326;84;First asylum requests;2007 2nd quarter;90;60;30;90;10;10;80
327;84;First asylum requests;2007 3rd quarter;120;80;40;120;20;10;100
328;84;First asylum requests;2007 4th quarter;130;90;40;130;20;10;100
329;84;First asylum requests;2007;530;360;170;530;70;30;430
330;84;First asylum requests;2008 1st quarter;130;80;40;130;20;10;100
331;84;First asylum requests;2008 2nd quarter;110;70;40;110;20;0;80
332;84;First asylum requests;2008 3rd quarter;190;120;70;190;30;20;140
333;84;First asylum requests;2008 4th quarter;170;110;70;170;30;10;130
334;84;First asylum requests;2008;600;380;220;600;110;30;460
335;84;First asylum requests;2009 1st quarter;220;140;80;220;40;10;170
336;84;First asylum requests;2009 2nd quarter;220;150;70;220;40;10;170
337;84;First asylum requests;2009 3rd quarter;280;180;100;280;50;10;220
338;84;First asylum requests;2009 4th quarter;580;390;190;580;110;30;440
339;84;First asylum requests;2009;1300;860;440;1300;240;60;1000
340;84;First asylum requests;2010 1st quarter;860;510;340;860;220;30;610
341;84;First asylum requests;2010 2nd quarter;300;170;130;300;80;10;200
342;84;First asylum requests;2010 3rd quarter;550;320;240;550;130;20;400
343;84;First asylum requests;2010 4th quarter;540;390;150;540;150;30;360
344;84;First asylum requests;2010;2250;1390;850;2250;590;90;1570
345;84;First asylum requests;2011 1st quarter;440;270;160;440;90;20;330
346;84;First asylum requests;2011 2nd quarter;550;330;220;550;160;20;370
347;84;First asylum requests;2011 3rd quarter;540;360;180;540;110;40;390
348;84;First asylum requests;2011 4th quarter;560;350;210;560;140;20;400
349;84;First asylum requests;2011;2080;1310;770;2080;500;100;1490
350;84;Follow-up asylum requests;2007 1st quarter;90;50;30;90;20;0;60
351;84;Follow-up asylum requests;2007 2nd quarter;50;30;20;50;10;0;30
352;84;Follow-up asylum requests;2007 3rd quarter;40;30;20;40;0;0;40
353;84;Follow-up asylum requests;2007 4th quarter;30;20;10;30;10;0;20
354;84;Follow-up asylum requests;2007;210;130;70;210;50;10;150
355;84;Follow-up asylum requests;2008 1st quarter;70;40;20;70;10;0;50
356;84;Follow-up asylum requests;2008 2nd quarter;30;20;10;30;10;0;30
357;84;Follow-up asylum requests;2008 3rd quarter;60;30;30;60;10;10;50
358;84;Follow-up asylum requests;2008 4th quarter;40;30;10;40;10;0;40
359;84;Follow-up asylum requests;2008;200;130;80;200;30;10;160
360;84;Follow-up asylum requests;2009 1st quarter;30;30;10;30;0;0;30
361;84;Follow-up asylum requests;2009 2nd quarter;30;20;10;30;0;0;30
362;84;Follow-up asylum requests;2009 3rd quarter;50;30;20;50;20;0;30
363;84;Follow-up asylum requests;2009 4th quarter;30;20;10;30;10;0;20
364;84;Follow-up asylum requests;2009;140;100;50;140;20;10;110
365;84;Follow-up asylum requests;2010 1st quarter;40;20;20;40;10;0;30
366;84;Follow-up asylum requests;2010 2nd quarter;40;30;20;40;10;10;30
367;84;Follow-up asylum requests;2010 3rd quarter;30;20;10;30;0;0;20
368;84;Follow-up asylum requests;2010 4th quarter;50;40;10;50;10;0;40
369;84;Follow-up asylum requests;2010;160;110;60;160;40;10;120
370;84;Follow-up asylum requests;2011 1st quarter;70;40;30;70;10;0;50
371;84;Follow-up asylum requests;2011 2nd quarter;70;40;20;70;10;0;50
372;84;Follow-up asylum requests;2011 3rd quarter;80;50;30;80;10;10;70
373;84;Follow-up asylum requests;2011 4th quarter;120;70;50;120;30;10;80
374;84;Follow-up asylum requests;2011;340;200;130;340;70;20;250
375;58;Total asylum requests;2007 1st quarter;0;0;0;0;0;0;0
376;58;Total asylum requests;2007 2nd quarter;0;0;0;0;0;0;0
377;58;Total asylum requests;2007 3rd quarter;0;0;0;0;0;0;0
