ID;SoortenBeroep;Perioden;AanHetBeginVanDePeriodeAanhangig_1;IngediendeZaken_2;InVereenvoudigdeBehGedaneUitspraken_3;Ingesteld_4;IngetrokkenNietOntvankelijkOngegrond_5;Gegrond_6;TotaalUitspraken_7;IngetrokkenVerwezenZaken_8;AanHetEindVanDePeriodeAanhangig_9
61;Tuchtbeschikkingen;1996 1e halfjaar;40;27;3;2;2;0;16;3;45
62;Tuchtbeschikkingen;1996 1e-3e kwartaal;40;39;3;2;2;0;22;3;51
63;Tuchtbeschikkingen;1996 Totaal;40;47;6;4;2;0;27;6;50
64;Tuchtbeschikkingen;1997 1e kwartaal;50;16;0;0;2;0;7;2;55
65;Tuchtbeschikkingen;1997 1e halfjaar;50;34;1;1;2;0;18;5;59
66;Tuchtbeschikkingen;1997 1e-3e kwartaal;50;51;1;1;3;1;19;10;69
67;Tuchtbeschikkingen;1997 Totaal;50;63;1;1;3;1;26;10;74
68;Tuchtbeschikkingen;1998 1e kwartaal;74;12;2;0;0;0;12;0;72
69;Tuchtbeschikkingen;1998 1e halfjaar;74;29;3;1;0;0;28;1;72
70;Tuchtbeschikkingen;1998 1e-3e kwartaal;74;38;5;2;0;0;45;1;63
71;Tuchtbeschikkingen;1998 Totaal;74;55;5;2;1;0;48;4;73
72;Tuchtbeschikkingen;1999 1e kwartaal;73;8;2;1;0;0;3;2;75
73;Tuchtbeschikkingen;1999 1e halfjaar;73;26;2;1;0;0;19;3;76
74;Tuchtbeschikkingen;1999 1e-3e kwartaal;73;33;3;1;1;0;24;3;76
75;Tuchtbeschikkingen;1999 Totaal;73;43;5;2;3;0;37;6;67
76;Tuchtbeschikkingen;2000 1e kwartaal;67;20;1;1;0;0;16;2;69
77;Tuchtbeschikkingen;2000 1e halfjaar;67;29;2;2;2;0;28;3;63
78;Tuchtbeschikkingen;2000 1e-3e kwartaal;67;41;2;2;2;0;35;7;64
79;Tuchtbeschikkingen;2000 Totaal;67;50;4;3;3;0;50;7;56
80;Tuchtbeschikkingen;2001 1e kwartaal;56;11;0;0;0;0;7;1;59
81;Tuchtbeschikkingen;2001 1e halfjaar;56;24;0;0;0;0;20;3;57
82;Tuchtbeschikkingen;2001 1e-3e kwartaal;56;37;2;1;0;0;27;5;60
83;Tuchtbeschikkingen;2001 Totaal;56;53;2;1;0;0;37;6;65
84;Tuchtbeschikkingen;2002 1e kwartaal;65;14;2;0;0;0;20;0;57
85;Tuchtbeschikkingen;2002 1e halfjaar;65;33;2;0;0;0;38;1;57
86;Tuchtbeschikkingen;2002 1e-3e kwartaal;65;60;2;0;0;0;60;4;59
87;Tuchtbeschikkingen;2002 Totaal;65;74;2;0;0;0;74;6;57
