ID;BedrijfstakBranchesSBI2008;Perioden;TotaalBedrijven_1;Eenmanszaken_2;OverigeRechtspersonen_3
137;A-U Alle economische activiteiten;2001 februari;336;75;261
138;A-U Alle economische activiteiten;2001 maart;328;89;239
139;A-U Alle economische activiteiten;2001 1e kwartaal;999;248;751
140;A-U Alle economische activiteiten;2001 april;315;81;234
141;A-U Alle economische activiteiten;2001 mei;425;97;328
142;A-U Alle economische activiteiten;2001 juni;313;74;239
143;A-U Alle economische activiteiten;2001 2e kwartaal;1053;252;801
144;A-U Alle economische activiteiten;2001 juli;390;86;304
145;A-U Alle economische activiteiten;2001 augustus;396;100;296
146;A-U Alle economische activiteiten;2001 september;340;75;265
147;A-U Alle economische activiteiten;2001 3e kwartaal;1126;261;865
148;A-U Alle economische activiteiten;2001 oktober;435;102;333
149;A-U Alle economische activiteiten;2001 november;391;77;314
150;A-U Alle economische activiteiten;2001 december;326;57;269
151;A-U Alle economische activiteiten;2001 4e kwartaal;1152;236;916
152;A-U Alle economische activiteiten;2001;4330;997;3333
153;A-U Alle economische activiteiten;2002 januari;446;98;348
154;A-U Alle economische activiteiten;2002 februari;375;79;296
155;A-U Alle economische activiteiten;2002 maart;392;85;307
156;A-U Alle economische activiteiten;2002 1e kwartaal;1213;262;951
157;A-U Alle economische activiteiten;2002 april;357;74;283
158;A-U Alle economische activiteiten;2002 mei;398;70;328
159;A-U Alle economische activiteiten;2002 juni;413;84;329
160;A-U Alle economische activiteiten;2002 2e kwartaal;1168;228;940
161;A-U Alle economische activiteiten;2002 juli;530;76;454
162;A-U Alle economische activiteiten;2002 augustus;356;72;284
163;A-U Alle economische activiteiten;2002 september;401;61;340
164;A-U Alle economische activiteiten;2002 3e kwartaal;1287;209;1078
165;A-U Alle economische activiteiten;2002 oktober;529;90;439
166;A-U Alle economische activiteiten;2002 november;373;33;340
167;A-U Alle economische activiteiten;2002 december;393;56;337
168;A-U Alle economische activiteiten;2002 4e kwartaal;1295;179;1116
169;A-U Alle economische activiteiten;2002;4963;878;4085
170;A-U Alle economische activiteiten;2003 januari;475;98;377
171;A-U Alle economische activiteiten;2003 februari;476;77;399
172;A-U Alle economische activiteiten;2003 maart;470;106;364
173;A-U Alle economische activiteiten;2003 1e kwartaal;1421;281;1140
174;A-U Alle economische activiteiten;2003 april;616;124;492
175;A-U Alle economische activiteiten;2003 mei;565;88;477
176;A-U Alle economische activiteiten;2003 juni;547;92;455
177;A-U Alle economische activiteiten;2003 2e kwartaal;1728;304;1424
178;A-U Alle economische activiteiten;2003 juli;570;105;465
179;A-U Alle economische activiteiten;2003 augustus;425;91;334
180;A-U Alle economische activiteiten;2003 september;614;105;509
181;A-U Alle economische activiteiten;2003 3e kwartaal;1609;301;1308
182;A-U Alle economische activiteiten;2003 oktober;573;80;493
183;A-U Alle economische activiteiten;2003 november;516;104;412
184;A-U Alle economische activiteiten;2003 december;517;81;436
185;A-U Alle economische activiteiten;2003 4e kwartaal;1606;265;1341
186;A-U Alle economische activiteiten;2003;6364;1151;5213
187;A-U Alle economische activiteiten;2004 januari;532;112;420
188;A-U Alle economische activiteiten;2004 februari;548;112;436
189;A-U Alle economische activiteiten;2004 maart;699;141;558
190;A-U Alle economische activiteiten;2004 1e kwartaal;1779;365;1414
191;A-U Alle economische activiteiten;2004 april;466;106;360
192;A-U Alle economische activiteiten;2004 mei;494;105;389
193;A-U Alle economische activiteiten;2004 juni;618;116;502
194;A-U Alle economische activiteiten;2004 2e kwartaal;1578;327;1251
195;A-U Alle economische activiteiten;2004 juli;534;121;413
196;A-U Alle economische activiteiten;2004 augustus;564;118;446
197;A-U Alle economische activiteiten;2004 september;575;128;447
198;A-U Alle economische activiteiten;2004 3e kwartaal;1673;367;1306
199;A-U Alle economische activiteiten;2004 oktober;474;92;382
200;A-U Alle economische activiteiten;2004 november;584;128;456
201;A-U Alle economische activiteiten;2004 december;533;102;431
202;A-U Alle economische activiteiten;2004 4e kwartaal;1591;322;1269
203;A-U Alle economische activiteiten;2004;6621;1381;5240
204;A-U Alle economische activiteiten;2005 januari;545;136;409
205;A-U Alle economische activiteiten;2005 februari;574;118;456
206;A-U Alle economische activiteiten;2005 maart;666;162;504
207;A-U Alle economische activiteiten;2005 1e kwartaal;1785;416;1369
208;A-U Alle economische activiteiten;2005 april;526;110;416
209;A-U Alle economische activiteiten;2005 mei;532;138;394
210;A-U Alle economische activiteiten;2005 juni;611;177;434
211;A-U Alle economische activiteiten;2005 2e kwartaal;1669;425;1244
212;A-U Alle economische activiteiten;2005 juli;524;136;388
213;A-U Alle economische activiteiten;2005 augustus;569;172;397
214;A-U Alle economische activiteiten;2005 september;589;142;447
215;A-U Alle economische activiteiten;2005 3e kwartaal;1682;450;1232
216;A-U Alle economische activiteiten;2005 oktober;516;135;381
217;A-U Alle economische activiteiten;2005 november;624;142;482
218;A-U Alle economische activiteiten;2005 december;490;129;361
219;A-U Alle economische activiteiten;2005 4e kwartaal;1630;406;1224
220;A-U Alle economische activiteiten;2005;6766;1697;5069
221;A-U Alle economische activiteiten;2006 januari;583;159;424
222;A-U Alle economische activiteiten;2006 februari;557;163;394
223;A-U Alle economische activiteiten;2006 maart;553;151;402
224;A-U Alle economische activiteiten;2006 1e kwartaal;1693;473;1220
225;A-U Alle economische activiteiten;2006 april;512;147;365
226;A-U Alle economische activiteiten;2006 mei;522;135;387
227;A-U Alle economische activiteiten;2006 juni;468;125;343
228;A-U Alle economische activiteiten;2006 2e kwartaal;1502;407;1095
229;A-U Alle economische activiteiten;2006 juli;462;137;325
230;A-U Alle economische activiteiten;2006 augustus;515;167;348
231;A-U Alle economische activiteiten;2006 september;444;136;308
232;A-U Alle economische activiteiten;2006 3e kwartaal;1421;440;981
233;A-U Alle economische activiteiten;2006 oktober;455;132;323
234;A-U Alle economische activiteiten;2006 november;456;135;321
235;A-U Alle economische activiteiten;2006 december;407;126;281
236;A-U Alle economische activiteiten;2006 4e kwartaal;1318;393;925
237;A-U Alle economische activiteiten;2006;5934;1713;4221
238;A-U Alle economische activiteiten;2007 januari;471;89;382
239;A-U Alle economische activiteiten;2007 februari;342;75;267
240;A-U Alle economische activiteiten;2007 maart;348;76;272
241;A-U Alle economische activiteiten;2007 1e kwartaal;1161;240;921
242;A-U Alle economische activiteiten;2007 april;364;76;288
243;A-U Alle economische activiteiten;2007 mei;432;106;326
244;A-U Alle economische activiteiten;2007 juni;330;79;251
245;A-U Alle economische activiteiten;2007 2e kwartaal;1126;261;865
246;A-U Alle economische activiteiten;2007 juli;378;70;308
247;A-U Alle economische activiteiten;2007 augustus;399;92;307
248;A-U Alle economische activiteiten;2007 september;401;82;319
249;A-U Alle economische activiteiten;2007 3e kwartaal;1178;244;934
250;A-U Alle economische activiteiten;2007 oktober;442;106;336
251;A-U Alle economische activiteiten;2007 november;377;80;297
252;A-U Alle economische activiteiten;2007 december;312;82;230
253;A-U Alle economische activiteiten;2007 4e kwartaal;1131;268;863
254;A-U Alle economische activiteiten;2007;4596;1013;3583
255;A-U Alle economische activiteiten;2008 januari;383;92;291
256;A-U Alle economische activiteiten;2008 februari;349;54;295
257;A-U Alle economische activiteiten;2008 maart;317;58;259
258;A-U Alle economische activiteiten;2008 1e kwartaal;1049;204;845
259;A-U Alle economische activiteiten;2008 april;401;87;314
260;A-U Alle economische activiteiten;2008 mei;285;57;228
261;A-U Alle economische activiteiten;2008 juni;377;58;319
262;A-U Alle economische activiteiten;2008 2e kwartaal;1063;202;861
263;A-U Alle economische activiteiten;2008 juli;380;70;310
264;A-U Alle economische activiteiten;2008 augustus;347;60;287
265;A-U Alle economische activiteiten;2008 september;414;74;340
266;A-U Alle economische activiteiten;2008 3e kwartaal;1141;204;937
267;A-U Alle economische activiteiten;2008 oktober;406;65;341
268;A-U Alle economische activiteiten;2008 november;487;62;425
269;A-U Alle economische activiteiten;2008 december;475;58;417
270;A-U Alle economische activiteiten;2008 4e kwartaal;1368;185;1183
271;A-U Alle economische activiteiten;2008;4621;795;3826
272;A-U Alle economische activiteiten;2009 januari;566;99;467
273;A-U Alle economische activiteiten;2009 februari;604;63;541
274;A-U Alle economische activiteiten;2009 maart;764;90;674
275;A-U Alle economische activiteiten;2009 1e kwartaal;1934;252;1682
276;A-U Alle economische activiteiten;2009 april;725;85;640
277;A-U Alle economische activiteiten;2009 mei;585;85;500
278;A-U Alle economische activiteiten;2009 juni;797;99;698
279;A-U Alle economische activiteiten;2009 2e kwartaal;2107;269;1838
280;A-U Alle economische activiteiten;2009 juli;740;92;648
281;A-U Alle economische activiteiten;2009 augustus;587;72;515
282;A-U Alle economische activiteiten;2009 september;719;88;631
283;A-U Alle economische activiteiten;2009 3e kwartaal;2046;252;1794
284;A-U Alle economische activiteiten;2009 oktober;621;95;526
285;A-U Alle economische activiteiten;2009 november;677;89;588
286;A-U Alle economische activiteiten;2009 december;636;88;548
287;A-U Alle economische activiteiten;2009 4e kwartaal;1934;272;1662
288;A-U Alle economische activiteiten;2009;8021;1045;6976
289;A-U Alle economische activiteiten;2010 januari;591;110;481
290;A-U Alle economische activiteiten;2010 februari;636;84;552
291;A-U Alle economische activiteiten;2010 maart;748;110;638
292;A-U Alle economische activiteiten;2010 1e kwartaal;1975;304;1671
293;A-U Alle economische activiteiten;2010 april;571;82;489
294;A-U Alle economische activiteiten;2010 mei;475;74;401
295;A-U Alle economische activiteiten;2010 juni;758;96;662
296;A-U Alle economische activiteiten;2010 2e kwartaal;1804;252;1552
297;A-U Alle economische activiteiten;2010 juli;554;51;503
298;A-U Alle economische activiteiten;2010 augustus;597;95;502
299;A-U Alle economische activiteiten;2010 september;521;69;452
300;A-U Alle economische activiteiten;2010 3e kwartaal;1672;215;1457
301;A-U Alle economische activiteiten;2010 oktober;597;65;532
302;A-U Alle economische activiteiten;2010 november;658;87;571
303;A-U Alle economische activiteiten;2010 december;482;62;420
304;A-U Alle economische activiteiten;2010 4e kwartaal;1737;214;1523
305;A-U Alle economische activiteiten;2010;7188;985;6203
306;A-U Alle economische activiteiten;2011 januari;567;78;489
307;A-U Alle economische activiteiten;2011 februari;605;74;531
308;A-U Alle economische activiteiten;2011 maart;653;102;551
309;A-U Alle economische activiteiten;2011 1e kwartaal;1825;254;1571
310;A-U Alle economische activiteiten;2011 april;512;70;442
311;A-U Alle economische activiteiten;2011 mei;653;95;558
312;A-U Alle economische activiteiten;2011 juni;498;64;434
313;A-U Alle economische activiteiten;2011 2e kwartaal;1663;229;1434
314;A-U Alle economische activiteiten;2011 juli;520;57;463
315;A-U Alle economische activiteiten;2011 augustus;606;101;505
316;A-U Alle economische activiteiten;2011 september;601;74;527
317;A-U Alle economische activiteiten;2011 3e kwartaal;1727;232;1495
318;A-U Alle economische activiteiten;2011 oktober;608;84;524
319;A-U Alle economische activiteiten;2011 november;732;99;633
320;A-U Alle economische activiteiten;2011 december;585;66;519
321;A-U Alle economische activiteiten;2011 4e kwartaal;1925;249;1676
322;A-U Alle economische activiteiten;2011;7140;964;6176
323;A-U Alle economische activiteiten;2012  januari;800;120;680
324;A-U Alle economische activiteiten;2012 februari;721;99;622
325;A-U Alle economische activiteiten;2012 maart;689;112;577
326;A-U Alle economische activiteiten;2012 1e kwartaal;2210;331;1879
327;A-U Alle economische activiteiten;2012 april;689;95;594
328;A-U Alle economische activiteiten;2012 mei;777;96;681
329;A-U Alle economische activiteiten;2012  juni;681;85;596
330;A-U Alle economische activiteiten;2012 2e kwartaal;2147;276;1871
331;A-U Alle economische activiteiten;2012 juli;836;113;723
332;A-U Alle economische activiteiten;2012 augustus;594;81;513
333;A-U Alle economische activiteiten;2012 september;662;106;556
334;A-U Alle economische activiteiten;2012 3e kwartaal;2092;300;1792
335;A-U Alle economische activiteiten;2012 oktober;835;137;698
336;A-U Alle economische activiteiten;2012 november;702;122;580
337;A-U Alle economische activiteiten;2012 december;630;77;553
338;A-U Alle economische activiteiten;2012 4e kwartaal;2167;336;1831
339;A-U Alle economische activiteiten;2012;8616;1243;7373
340;A-U Alle economische activiteiten;2013 januari;857;123;734
341;A-U Alle economische activiteiten;2013 februari;847;88;759
342;A-U Alle economische activiteiten;2013 maart;820;110;710
343;A-U Alle economische activiteiten;2013 1e kwartaal;2524;321;2203
344;A-U Alle economische activiteiten;2013 april;801;107;694
345;A-U Alle economische activiteiten;2013 mei;900;102;798
346;A-U Alle economische activiteiten;2013 juni;763;88;675
347;A-U Alle economische activiteiten;2013 2e kwartaal;2464;297;2167
348;A-U Alle economische activiteiten;2013 juli;897;117;780
349;A-U Alle economische activiteiten;2013 augustus;687;79;608
350;A-U Alle economische activiteiten;2013 september;682;86;596
351;A-U Alle economische activiteiten;2013 3e kwartaal;2266;282;1984
352;A-U Alle economische activiteiten;2013 oktober;844;100;744
353;A-U Alle economische activiteiten;2013 november;687;105;582
354;A-U Alle economische activiteiten;2013 december;671;76;595
355;A-U Alle economische activiteiten;2013 4e kwartaal;2202;281;1921
356;A-U Alle economische activiteiten;2013;9456;1181;8275
357;A-U Alle economische activiteiten;2014 januari;707;112;595
358;A-U Alle economische activiteiten;2014 februari;696;78;618
359;A-U Alle economische activiteiten;2014 maart;598;72;526
360;A-U Alle economische activiteiten;2014 1e kwartaal;2001;262;1739
361;A-U Alle economische activiteiten;2014 april;812;112;700
362;A Landbouw, bosbouw en visserij;1993 januari;10;7;3
363;A Landbouw, bosbouw en visserij;1993 februari;12;5;7
364;A Landbouw, bosbouw en visserij;1993 maart;10;9;1
365;A Landbouw, bosbouw en visserij;1993 1e kwartaal;32;21;11
366;A Landbouw, bosbouw en visserij;1993 april;7;6;1
367;A Landbouw, bosbouw en visserij;1993 mei;9;7;2
368;A Landbouw, bosbouw en visserij;1993 juni;11;8;3
369;A Landbouw, bosbouw en visserij;1993 2e kwartaal;27;21;6
370;A Landbouw, bosbouw en visserij;1993 juli;13;9;4
371;A Landbouw, bosbouw en visserij;1993 augustus;12;6;6
372;A Landbouw, bosbouw en visserij;1993 september;8;5;3
373;A Landbouw, bosbouw en visserij;1993 3e kwartaal;33;20;13
374;A Landbouw, bosbouw en visserij;1993 oktober;11;6;5
375;A Landbouw, bosbouw en visserij;1993 november;18;16;2
376;A Landbouw, bosbouw en visserij;1993 december;15;9;6
377;A Landbouw, bosbouw en visserij;1993 4e kwartaal;44;31;13
378;A Landbouw, bosbouw en visserij;1993;136;93;43
379;A Landbouw, bosbouw en visserij;1994 januari;14;9;5
380;A Landbouw, bosbouw en visserij;1994 februari;10;5;5
381;A Landbouw, bosbouw en visserij;1994 maart;9;6;3
382;A Landbouw, bosbouw en visserij;1994 1e kwartaal;33;20;13
383;A Landbouw, bosbouw en visserij;1994 april;2;2;0
384;A Landbouw, bosbouw en visserij;1994 mei;12;10;2
385;A Landbouw, bosbouw en visserij;1994 juni;9;6;3
386;A Landbouw, bosbouw en visserij;1994 2e kwartaal;23;18;5
387;A Landbouw, bosbouw en visserij;1994 juli;11;7;4
388;A Landbouw, bosbouw en visserij;1994 augustus;14;10;4
389;A Landbouw, bosbouw en visserij;1994 september;8;4;4
390;A Landbouw, bosbouw en visserij;1994 3e kwartaal;33;21;12
391;A Landbouw, bosbouw en visserij;1994 oktober;4;2;2
392;A Landbouw, bosbouw en visserij;1994 november;14;10;4
393;A Landbouw, bosbouw en visserij;1994 december;9;7;2
394;A Landbouw, bosbouw en visserij;1994 4e kwartaal;27;19;8
395;A Landbouw, bosbouw en visserij;1994;116;78;38
396;A Landbouw, bosbouw en visserij;1995 januari;10;5;5
397;A Landbouw, bosbouw en visserij;1995 februari;9;7;2
398;A Landbouw, bosbouw en visserij;1995 maart;10;5;5
399;A Landbouw, bosbouw en visserij;1995 1e kwartaal;29;17;12
400;A Landbouw, bosbouw en visserij;1995 april;9;7;2
401;A Landbouw, bosbouw en visserij;1995 mei;3;2;1
402;A Landbouw, bosbouw en visserij;1995 juni;3;1;2
403;A Landbouw, bosbouw en visserij;1995 2e kwartaal;15;10;5
404;A Landbouw, bosbouw en visserij;1995 juli;4;3;1
405;A Landbouw, bosbouw en visserij;1995 augustus;6;5;1
406;A Landbouw, bosbouw en visserij;1995 september;11;6;5
407;A Landbouw, bosbouw en visserij;1995 3e kwartaal;21;14;7
408;A Landbouw, bosbouw en visserij;1995 oktober;19;14;5
409;A Landbouw, bosbouw en visserij;1995 november;11;6;5
410;A Landbouw, bosbouw en visserij;1995 december;9;4;5
411;A Landbouw, bosbouw en visserij;1995 4e kwartaal;39;24;15
412;A Landbouw, bosbouw en visserij;1995;104;65;39
413;A Landbouw, bosbouw en visserij;1996 januari;7;5;2
414;A Landbouw, bosbouw en visserij;1996 februari;7;3;4
415;A Landbouw, bosbouw en visserij;1996 maart;2;1;1
416;A Landbouw, bosbouw en visserij;1996 1e kwartaal;16;9;7
417;A Landbouw, bosbouw en visserij;1996 april;10;6;4
418;A Landbouw, bosbouw en visserij;1996 mei;7;5;2
419;A Landbouw, bosbouw en visserij;1996 juni;3;2;1
420;A Landbouw, bosbouw en visserij;1996 2e kwartaal;20;13;7
421;A Landbouw, bosbouw en visserij;1996 juli;6;2;4
422;A Landbouw, bosbouw en visserij;1996 augustus;3;3;0
423;A Landbouw, bosbouw en visserij;1996 september;7;2;5
424;A Landbouw, bosbouw en visserij;1996 3e kwartaal;16;7;9
425;A Landbouw, bosbouw en visserij;1996 oktober;11;7;4
426;A Landbouw, bosbouw en visserij;1996 november;6;3;3
427;A Landbouw, bosbouw en visserij;1996 december;6;5;1
428;A Landbouw, bosbouw en visserij;1996 4e kwartaal;23;15;8
429;A Landbouw, bosbouw en visserij;1996;75;44;31
430;A Landbouw, bosbouw en visserij;1997 januari;7;3;4
431;A Landbouw, bosbouw en visserij;1997 februari;4;2;2
432;A Landbouw, bosbouw en visserij;1997 maart;7;4;3
433;A Landbouw, bosbouw en visserij;1997 1e kwartaal;18;9;9
434;A Landbouw, bosbouw en visserij;1997 april;4;1;3
435;A Landbouw, bosbouw en visserij;1997 mei;9;5;4
436;A Landbouw, bosbouw en visserij;1997 juni;8;6;2
437;A Landbouw, bosbouw en visserij;1997 2e kwartaal;21;12;9
438;A Landbouw, bosbouw en visserij;1997 juli;7;4;3
439;A Landbouw, bosbouw en visserij;1997 augustus;6;1;5
440;A Landbouw, bosbouw en visserij;1997 september;9;8;1
441;A Landbouw, bosbouw en visserij;1997 3e kwartaal;22;13;9
442;A Landbouw, bosbouw en visserij;1997 oktober;2;1;1
443;A Landbouw, bosbouw en visserij;1997 november;8;4;4
444;A Landbouw, bosbouw en visserij;1997 december;9;6;3
445;A Landbouw, bosbouw en visserij;1997 4e kwartaal;19;11;8
446;A Landbouw, bosbouw en visserij;1997;80;45;35
447;A Landbouw, bosbouw en visserij;1998 januari;7;4;3
448;A Landbouw, bosbouw en visserij;1998 februari;7;3;4
449;A Landbouw, bosbouw en visserij;1998 maart;2;2;0
450;A Landbouw, bosbouw en visserij;1998 1e kwartaal;16;9;7
451;A Landbouw, bosbouw en visserij;1998 april;13;7;6
452;A Landbouw, bosbouw en visserij;1998 mei;6;2;4
453;A Landbouw, bosbouw en visserij;1998 juni;4;3;1
454;A Landbouw, bosbouw en visserij;1998 2e kwartaal;23;12;11
455;A Landbouw, bosbouw en visserij;1998 juli;6;3;3
456;A Landbouw, bosbouw en visserij;1998 augustus;2;2;0
457;A Landbouw, bosbouw en visserij;1998 september;5;0;5
458;A Landbouw, bosbouw en visserij;1998 3e kwartaal;13;5;8
459;A Landbouw, bosbouw en visserij;1998 oktober;3;1;2
460;A Landbouw, bosbouw en visserij;1998 november;7;2;5
461;A Landbouw, bosbouw en visserij;1998 december;4;3;1
462;A Landbouw, bosbouw en visserij;1998 4e kwartaal;14;6;8
