ID;SoortGebouw;Regio;AantalGebouwen_1
52;Totaal aantal gebouwen;"Appingedam; bewoonde oorden; Garreweer";24
53;Totaal aantal gebouwen;"Appingedam; bewoonde oorden; Oling";18
54;Totaal aantal gebouwen;"Appingedam; vh; Onder Stad-Appingedam";14
55;Totaal aantal gebouwen;"Appingedam; vh; Onder Jukwerd";2
56;Totaal aantal gebouwen;"Appingedam; vh; Onder Opwierde";11
57;Totaal aantal gebouwen;"Appingedam; vh; Onder Tjamsweer";16
58;Totaal aantal gebouwen;"Appingedam; verspr. huizen; Onder Oling";43
59;Totaal aantal gebouwen;"Appingedam; vh; Onder Garreweer";7
60;Totaal aantal gebouwen;"Baflo; totaal";1151
61;Totaal aantal gebouwen;"Baflo; bewoonde oorden; Den Andel";277
62;Totaal aantal gebouwen;"Baflo; bewoonde oorden; Baflo";433
63;Totaal aantal gebouwen;"Baflo; bewoonde oorden; Rasquert";103
64;Totaal aantal gebouwen;"Baflo; bewoonde oorden; Saaxumhuizen";35
65;Totaal aantal gebouwen;"Baflo; bewoonde oorden; Tinallinge";65
66;Totaal aantal gebouwen;"Baflo; verspr. huizen; Onder Den Andel";63
67;Totaal aantal gebouwen;"Baflo; verspreide huizen; Onder Baflo";45
68;Totaal aantal gebouwen;"Baflo; verspreide huizen; Onder Rasquert";50
69;Totaal aantal gebouwen;"Baflo; vh; Onder Saaxumhuizen";47
70;Totaal aantal gebouwen;"Baflo; verspr. huizen; Onder Tinallinge";33
71;Totaal aantal gebouwen;"Bedum; totaal";2414
72;Totaal aantal gebouwen;"Bedum; bo; Burgerlijk Armhuis";1
73;Totaal aantal gebouwen;"Bedum; bewoonde oorden; Bedum, ov.";964
74;Totaal aantal gebouwen;"Bedum; bewoonde oorden; Onderdendam";299
75;Totaal aantal gebouwen;"Bedum; bewoonde oorden; Onderwierum";18
76;Totaal aantal gebouwen;"Bedum; bewoonde oorden; Westerdijkshorn";48
77;Totaal aantal gebouwen;"Bedum; bew. oorden; Sint-Annerhuisjes";33
78;Totaal aantal gebouwen;"Bedum; bo; Ellerhuizen";95
79;Totaal aantal gebouwen;"Bedum; bewoonde oorden; De Poel";28
80;Totaal aantal gebouwen;"Bedum; bewoonde oorden; Noordwolde";79
81;Totaal aantal gebouwen;"Bedum; bewoonde oorden; Zuidwolde";275
82;Totaal aantal gebouwen;"Bedum; bewoonde oorden; Beijum";22
83;Totaal aantal gebouwen;"Bedum; bo; Noorderhoogebrug (ged.)";72
84;Totaal aantal gebouwen;"Bedum; vh; Buurtschap Ter Laan";45
85;Totaal aantal gebouwen;"Bedum; verspr. huizen; Groep Plattenburg";13
86;Totaal aantal gebouwen;"Bedum; verspr. huizen; In den Oostpolder";53
87;Totaal aantal gebouwen;"Bedum; vh; Langs den Wolddijk";70
88;Totaal aantal gebouwen;"Bedum; vh; In den Zuid-Westelijke polder";36
89;Totaal aantal gebouwen;"Bedum; overige verspreide huizen";263
90;Totaal aantal gebouwen;"Beerta; totaal";1442
91;Totaal aantal gebouwen;"Beerta; bew. oorden; Beerta, Armenhuis";2
92;Totaal aantal gebouwen;"Beerta; bewoonde oorden; Beerta, ov.";744
93;Totaal aantal gebouwen;"Beerta; bo; Winschoterzijl (ged.)";12
94;Totaal aantal gebouwen;"Beerta; bewoonde oorden; Beersterhoogen";34
95;Totaal aantal gebouwen;"Beerta; bewoonde oorden; Nieuw-Beerta";256
96;Totaal aantal gebouwen;"Beerta; bewoonde oorden; Drieborg";67
97;Totaal aantal gebouwen;"Beerta; bewoonde oorden; Oudezijl (ged.)";78
98;Totaal aantal gebouwen;"Beerta; bewoonde oorden; Oudedijk (ged.)";137
99;Totaal aantal gebouwen;"Beerta; bew. oorden; Nieuwe Statenzijl";26
100;Totaal aantal gebouwen;"Beerta; verspreide huizen; Ulsda";15
101;Totaal aantal gebouwen;"Beerta; verspr. huizen; Oude Statenzijl";3
102;Totaal aantal gebouwen;"Beerta; verspreide huizen; Stadspolder";24
103;Totaal aantal gebouwen;"Beerta; vh; Reiderwolderpolder";10
104;Totaal aantal gebouwen;"Beerta; vh; Carel Coenraadpolder";8
105;Totaal aantal gebouwen;"Beerta; verspreide huizen; Kroonpolder";26
106;Totaal aantal gebouwen;"Bierum; totaal";1635
107;Totaal aantal gebouwen;"Bierum; bewoonde oorden; Bierum";233
108;Totaal aantal gebouwen;"Bierum; bewoonde oorden; Nieuwstad";16
109;Totaal aantal gebouwen;"Bierum; bewoonde oorden; Godlinze";161
110;Totaal aantal gebouwen;"Bierum; bewoonde oorden; Holwierde";230
111;Totaal aantal gebouwen;"Bierum; bewoonde oorden; Nansum";36
112;Totaal aantal gebouwen;"Bierum; bewoonde oorden; Krewerd";66
113;Totaal aantal gebouwen;"Bierum; bewoonde oorden; Losdorp";93
114;Totaal aantal gebouwen;"Bierum; bewoonde oorden; Spijk";353
115;Totaal aantal gebouwen;"Bierum; bewoonde oorden; Polen";12
116;Totaal aantal gebouwen;"Bierum; verspreide huizen; Hoogwatum";9
117;Totaal aantal gebouwen;"Bierum; verspreide huizen; Uitende";22
118;Totaal aantal gebouwen;"Bierum; verspreide huizen; Arwerd";16
119;Totaal aantal gebouwen;"Bierum; verspreide huizen; Oostpolder";37
120;Totaal aantal gebouwen;"Bierum; verspreide huizen; Dekkershuizen";9
121;Totaal aantal gebouwen;"Bierum; overige verspreide huizen";342
122;Totaal aantal gebouwen;"Ten Boer; totaal";2264
123;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Ten Boer";356
124;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Bouwerschap";21
125;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Woltersum";259
126;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Blokum";19
127;Totaal aantal gebouwen;"Ten Boer; bew. oorden; Overschild (ged.)";38
128;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Wittewierum";54
129;Totaal aantal gebouwen;"Ten Boer; bew. oorden; Winneweer (ged.)";73
130;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Ten Post";283
131;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Lellens";48
132;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Dijkshorn";23
133;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Boersterweg";28
134;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Sint-Annen";116
135;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Lutjewolde";14
136;Totaal aantal gebouwen;"Ten Boer; bew. oorden; Achter-Thesinge";47
137;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Thesinge";189
138;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Lageweg";48
139;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Bovenrijge";33
140;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Garmerwolde";168
141;Totaal aantal gebouwen;"Ten Boer; bewoonde oorden; Zevenhuizen";18
142;Totaal aantal gebouwen;"Ten Boer; vh; In den Thesingerpolder";29
143;Totaal aantal gebouwen;"Ten Boer; vh; Langs het Sint-Annermaar";8
144;Totaal aantal gebouwen;"Ten Boer; vh; T. Stedumm. en .Boersterw.";12
145;Totaal aantal gebouwen;"Ten Boer; vh; Aan den Wolddijk";10
146;Totaal aantal gebouwen;"Ten Boer; vh; Bij de Ridderborg";4
147;Totaal aantal gebouwen;"Ten Boer; vh; In den Langelandsterpolder";6
148;Totaal aantal gebouwen;"Ten Boer; verspr. huizen; Bij de Rollen";13
149;Totaal aantal gebouwen;"Ten Boer; vh; I/d Heidenschapperpolder";58
150;Totaal aantal gebouwen;"Ten Boer; vh; I/d Fledderbosscherpolder";21
151;Totaal aantal gebouwen;"Ten Boer; vh; In den Boltjerpolder";52
152;Totaal aantal gebouwen;"Ten Boer; vh; L/d Rijksweg, Gasth.";0
153;Totaal aantal gebouwen;"Ten Boer; vh; Bovenrijge-Dijkshorn, ov.";16
154;Totaal aantal gebouwen;"Ten Boer; vh; T. Dijkshorn en Ten Post";44
155;Totaal aantal gebouwen;"Ten Boer; vh; T. Ten Post en Winneweer";10
156;Totaal aantal gebouwen;"Ten Boer; vh; Muderw en de Wittewierumm.";34
157;Totaal aantal gebouwen;"Ten Boer; vh; T.Post-Eemskan. / Lustigem";37
158;Totaal aantal gebouwen;"Ten Boer; vh; Ten Z-O vh Eemskanaal";75
159;Totaal aantal gebouwen;"Delfzijl; totaal";3706
160;Totaal aantal gebouwen;"Delfzijl; bewoonde oorden; Delfzijl";1424
161;Totaal aantal gebouwen;"Delfzijl; bo; Farmsum, ""Abel Tasman""";1
162;Totaal aantal gebouwen;"Delfzijl; bewoonde oorden; Farmsum, ov.";897
163;Totaal aantal gebouwen;"Delfzijl; bewoonde oorden; Weiwerd";203
164;Totaal aantal gebouwen;"Delfzijl; bewoonde oorden; Heveskes";127
165;Totaal aantal gebouwen;"Delfzijl; bewoonde oorden; Oterdum";79
166;Totaal aantal gebouwen;"Delfzijl; bewoonde oorden; Meedhuizen";149
167;Totaal aantal gebouwen;"Delfzijl; bewoonde oorden; Uitwierde";59
168;Totaal aantal gebouwen;"Delfzijl; bewoonde oorden; Biesum";56
169;Totaal aantal gebouwen;"Delfzijl; bewoonde oorden; Schaapbulten";42
170;Totaal aantal gebouwen;"Delfzijl; bewoonde oorden; Amsweer";32
171;Totaal aantal gebouwen;"Delfzijl; bew. oorden; Oterdummerwarven";30
172;Totaal aantal gebouwen;"Delfzijl; bewoonde oorden; Heveskesvalge";12
173;Totaal aantal gebouwen;"Delfzijl; bew. oorden; Weiwerdervalge";38
174;Totaal aantal gebouwen;"Delfzijl; bewoonde oorden; Naterij";17
175;Totaal aantal gebouwen;"Delfzijl; verspreide huizen; Rijksweg";63
176;Totaal aantal gebouwen;"Delfzijl; vh; Dok en omgeving";18
177;Totaal aantal gebouwen;"Delfzijl; vh; Provinciale weg Farmsum";52
178;Totaal aantal gebouwen;"Delfzijl; verspr. huizen; Meedhuizerweg";28
179;Totaal aantal gebouwen;"Delfzijl; verspr. huizen; Kloosterlaan";18
180;Totaal aantal gebouwen;"Delfzijl; verspreide huizen; Geefsweer";33
181;Totaal aantal gebouwen;"Delfzijl; vh; Oterdummerwarven";8
182;Totaal aantal gebouwen;"Delfzijl; verspr. huizen; Meedhuizermeer";20
183;Totaal aantal gebouwen;"Delfzijl; verspreide huizen; Kleine Meer";21
184;Totaal aantal gebouwen;"Delfzijl; verspr. huizen; Fuikwerderlaan";12
185;Totaal aantal gebouwen;"Delfzijl; overige verspreide huizen";267
186;Totaal aantal gebouwen;"Eenrum; totaal";1245
187;Totaal aantal gebouwen;"Eenrum; bo; Diaconie Gasthuis";0
188;Totaal aantal gebouwen;"Eenrum; bewoonde oorden; Eenrum, ov.";470
189;Totaal aantal gebouwen;"Eenrum; bewoonde oorden; Pieterburen";213
190;Totaal aantal gebouwen;"Eenrum; bewoonde oorden; Westernieland";89
191;Totaal aantal gebouwen;"Eenrum; bewoonde oorden; Kaakhorn";56
192;Totaal aantal gebouwen;"Eenrum; bewoonde oorden; Oudedijk";33
193;Totaal aantal gebouwen;"Eenrum; bewoonde oorden; Wierhuizen";22
194;Totaal aantal gebouwen;"Eenrum; bewoonde oorden; Broek";43
195;Totaal aantal gebouwen;"Eenrum; vh; Langs den Zeedijk";42
196;Totaal aantal gebouwen;"Eenrum; overige verspreide huizen";277
197;Totaal aantal gebouwen;"Ezinge; totaal";864
198;Totaal aantal gebouwen;"Ezinge; bewoonde oorden; Ezinge";277
199;Totaal aantal gebouwen;"Ezinge; bewoonde oorden; Feerwerd";149
200;Totaal aantal gebouwen;"Ezinge; bewoonde oorden; Aduarderzijl";32
201;Totaal aantal gebouwen;"Ezinge; bewoonde oorden; Garnwerd";142
202;Totaal aantal gebouwen;"Ezinge; bewoonde oorden; Oostum";17
203;Totaal aantal gebouwen;"Ezinge; vh; Ezinge, buiten de kom";90
204;Totaal aantal gebouwen;"Ezinge; vh; Feerwerd, buiten de kom";74
205;Totaal aantal gebouwen;"Ezinge; vh; Aduarderzijl, buiten de kom";8
206;Totaal aantal gebouwen;"Ezinge; vh; Garnwerd, buiten de kom";34
207;Totaal aantal gebouwen;"Ezinge; vh; Oostum, buiten de kom";41
208;Totaal aantal gebouwen;"Finsterwolde; totaal";1262
209;Totaal aantal gebouwen;"Finsterwolde; bo; Marech.kaz.";2
210;Totaal aantal gebouwen;"Finsterwolde; bo; Armenwerkh.";2
211;Totaal aantal gebouwen;"Finsterwolde; bo; ov.";598
212;Totaal aantal gebouwen;"Finsterwolde; bewoonde oorden; Goldhoorn";22
213;Totaal aantal gebouwen;"Finsterwolde; bo; Kromme-Elleboog";78
214;Totaal aantal gebouwen;"Finsterwolde; bew. oorden; Eekamp (ged.)";144
215;Totaal aantal gebouwen;"Finsterwolde; bewoonde oorden; Ganzedijk";93
216;Totaal aantal gebouwen;"Finsterwolde; bo; Oudedijk (ged.)";22
217;Totaal aantal gebouwen;"Finsterwolde; bew. oorden; Kostverloren";30
218;Totaal aantal gebouwen;"Finsterwolde; bo; Hongerige Wolf";32
219;Totaal aantal gebouwen;"Finsterwolde; vh; ""Finsterwolderbamrik""";47
220;Totaal aantal gebouwen;"Finsterwolde; vh; I/d Reiderwolderpolder";69
221;Totaal aantal gebouwen;"Finsterwolde; overige verspreide huizen";123
222;Totaal aantal gebouwen;"Groningen; totaal";33452
223;Totaal aantal gebouwen;"Groningen; bo; Infanterie Kaz.";36
224;Totaal aantal gebouwen;"Groningen; bo; Politietroepen Kaz.";0
225;Totaal aantal gebouwen;"Groningen; bo; Strafgevangenis";17
226;Totaal aantal gebouwen;"Groningen; bo; Huis van Bewaring";10
227;Totaal aantal gebouwen;"Groningen; bo; Inst. voor Doofstommen";3
228;Totaal aantal gebouwen;"Groningen; bo; Kook- en Huishoudschool";0
229;Totaal aantal gebouwen;"Groningen; bo; Burger- of Roode Weesh.";0
230;Totaal aantal gebouwen;"Groningen; bo; Weesh. N.H. Gem.";1
231;Totaal aantal gebouwen;"Groningen; bo; Toevluchtsoord v. meisjes";0
232;Totaal aantal gebouwen;"Groningen; bo; Doorgangshuis";1
233;Totaal aantal gebouwen;"Groningen; bo; Gem. Verzorgingsh.";2
234;Totaal aantal gebouwen;"Groningen; bo; Avondrust";3
235;Totaal aantal gebouwen;"Groningen; bo; R.K. Liefdegest.";1
236;Totaal aantal gebouwen;"Groningen; bo; R.K. Zusterschool";0
237;Totaal aantal gebouwen;"Groningen; bo; R.K. Internaat";1
238;Totaal aantal gebouwen;"Groningen; bo; Isr. oude mn.- en vr.h.";0
239;Totaal aantal gebouwen;"Groningen; bo; Heiligen Geestgasth.";1
240;Totaal aantal gebouwen;"Groningen; bo; Geertruidsgasth.";1
241;Totaal aantal gebouwen;"Groningen; bo; St. Antoniegasth.";0
242;Totaal aantal gebouwen;"Groningen; bo; Doopsgezindgasth.";0
243;Totaal aantal gebouwen;"Groningen; bo; Lutherschgasth.";1
244;Totaal aantal gebouwen;"Groningen; bo; Pietronellagasth.";0
245;Totaal aantal gebouwen;"Groningen; bo; Jac. en Annagasth.";0
246;Totaal aantal gebouwen;"Groningen; bo; Armh. zittend Convent";0
247;Totaal aantal gebouwen;"Groningen; bo; Bethesdagasth.";0
248;Totaal aantal gebouwen;"Groningen; bo; Cremersgasth.";0
249;Totaal aantal gebouwen;"Groningen; bo; St. Martinusgasth.";0
250;Totaal aantal gebouwen;"Groningen; bo; Aduardergasth.";0
251;Totaal aantal gebouwen;"Groningen; bo; Mepschengasth.";0
252;Totaal aantal gebouwen;"Groningen; bo; Scheuningsgasth.";0
253;Totaal aantal gebouwen;"Groningen; bo; Vrouw Franssensgasth.";0
254;Totaal aantal gebouwen;"Groningen; bo; Werk. St. Gasth. Langest.";0
255;Totaal aantal gebouwen;"Groningen; bo; Latteringen Gasth.";0
256;Totaal aantal gebouwen;"Groningen; bo; O.L.V. Gest.";0
257;Totaal aantal gebouwen;"Groningen; bo; Teh. voor vrouwen";0
258;Totaal aantal gebouwen;"Groningen; bo; Teh. voor dakloozen";2
259;Totaal aantal gebouwen;"Groningen; bo; Nijverheidsschool";0
260;Totaal aantal gebouwen;"Groningen; bo; Pr.- St.- en Ac. Ziekenh.";15
261;Totaal aantal gebouwen;"Groningen; bo; Kinderziekenh.";0
262;Totaal aantal gebouwen;"Groningen; bo; Diaconessenh.";1
263;Totaal aantal gebouwen;"Groningen; bo; Ooglijdersgest.";1
264;Totaal aantal gebouwen;"Groningen; bo; R.K. Gezellenh.";1
265;Totaal aantal gebouwen;"Groningen; bo; Werk. St. Gasth. Violets.";0
266;Totaal aantal gebouwen;"Groningen; bo; Werkende Stand Gasth.";0
267;Totaal aantal gebouwen;"Groningen; bo; ""Pro Juventute""";1
268;Totaal aantal gebouwen;"Groningen; bo; St. Corneliagasth.";0
269;Totaal aantal gebouwen;"Groningen; bo; Ter Schouw en Zanenst.";0
270;Totaal aantal gebouwen;"Groningen; bew. oorden; Groningen, ov.";31391
271;Totaal aantal gebouwen;"Groningen; bo; Helpman, R.K. Ziekenhuis";2
272;Totaal aantal gebouwen;"Groningen; bo; Helpman, Marech.kaz.";11
273;Totaal aantal gebouwen;"Groningen; bo; Helpman, Rusth. Dpsg. Gem";0
274;Totaal aantal gebouwen;"Groningen; bewoonde oorden; Helpman, ov.";1310
275;Totaal aantal gebouwen;"Groningen; bewoonde oorden; Kostverloren";316
276;Totaal aantal gebouwen;"Groningen; bewoonde oorden; Gideon";77
277;Totaal aantal gebouwen;"Groningen; vh; Langs het Winschoterdiep";44
278;Totaal aantal gebouwen;"Groningen; verspr. huizen; Nabij Helpman";2
279;Totaal aantal gebouwen;"Groningen; vh; Langs het Hoornschediep";2
280;Totaal aantal gebouwen;"Groningen; vh; L/d Paterswoldscheweg";23
281;Totaal aantal gebouwen;"Groningen; vh; Langs den Peizerweg";69
282;Totaal aantal gebouwen;"Groningen; vh; Langs het Hoendiep";18
283;Totaal aantal gebouwen;"Groningen; vh; L/d Frieschestraatweg";4
284;Totaal aantal gebouwen;"Groningen; vh; In de Paddepoel";28
285;Totaal aantal gebouwen;"Groningen; vh; L/d Winsummerstraatweg";6
286;Totaal aantal gebouwen;"Groningen; vh; Langs het Boterdiep";24
287;Totaal aantal gebouwen;"Groningen; vh; L/h Buiten Damsterdiep";9
288;Totaal aantal gebouwen;"Groningen; vh; Langs het Eemskanaal";2
289;Totaal aantal gebouwen;"Groningen; vh; Langs den Euvelgunnerweg";15
290;Totaal aantal gebouwen;"Grootegast; totaal";3812
291;Totaal aantal gebouwen;"Grootegast; bewoonde oorden; Grootegast";528
292;Totaal aantal gebouwen;"Grootegast; bewoonde oorden; Doezum";342
293;Totaal aantal gebouwen;"Grootegast; bew. oorden; Sebaldeburen";178
294;Totaal aantal gebouwen;"Grootegast; bewoonde oorden; Opende";428
295;Totaal aantal gebouwen;"Grootegast; bewoonde oorden; Kornhorn";160
296;Totaal aantal gebouwen;"Grootegast; bewoonde oorden; Lutjegast";258
297;Totaal aantal gebouwen;"Grootegast; bewoonde oorden; Wieren";68
298;Totaal aantal gebouwen;"Grootegast; bewoonde oorden; Dorp";32
299;Totaal aantal gebouwen;"Grootegast; bew. oorden; Stroobos (ged.)";130
300;Totaal aantal gebouwen;"Grootegast; bewoonde oorden; Westerzand";93
301;Totaal aantal gebouwen;"Grootegast; bewoonde oorden; Eibersburen";29
302;Totaal aantal gebouwen;"Grootegast; bo; Buikstede (ged.)";32
303;Totaal aantal gebouwen;"Grootegast; bo; Kuzemerbalk (ged.)";68
304;Totaal aantal gebouwen;"Grootegast; bewoonde oorden; Jouwer";24
305;Totaal aantal gebouwen;"Grootegast; bewoonde oorden; Snipperij";64
306;Totaal aantal gebouwen;"Grootegast; bewoonde oorden; Peebosch";175
307;Totaal aantal gebouwen;"Grootegast; vh; Buurtschap Westerhorn";44
308;Totaal aantal gebouwen;"Grootegast; vh; Langs den Visvlieterweg";15
309;Totaal aantal gebouwen;"Grootegast; vh; Buurtschap Hilmahuis";13
310;Totaal aantal gebouwen;"Grootegast; vh; Langs het Hoendiep";16
311;Totaal aantal gebouwen;"Grootegast; vh; Langs den Noorderweg";35
312;Totaal aantal gebouwen;"Grootegast; vh; Groep De Uithorn";110
313;Totaal aantal gebouwen;"Grootegast; vh; Langs de Lauwers";40
314;Totaal aantal gebouwen;"Grootegast; vh; Langs de Scheiding";16
315;Totaal aantal gebouwen;"Grootegast; vh; St. Wilhelminahoeve";5
316;Totaal aantal gebouwen;"Grootegast; vh; L/d weg n. Drachten, ov.";67
317;Totaal aantal gebouwen;"Grootegast; vh; Langs den Leidijk";14
318;Totaal aantal gebouwen;"Grootegast; vh; Aan den Kolonieweg";20
319;Totaal aantal gebouwen;"Grootegast; vh; Gem. verz.h. mann.en vr.";4
320;Totaal aantal gebouwen;"Grootegast; vh; A/d Trimunterweg, ov.";28
321;Totaal aantal gebouwen;"Grootegast; vh; Aan den Postdijk";7
322;Totaal aantal gebouwen;"Grootegast; vh; Aan den Zuiderweg";23
323;Totaal aantal gebouwen;"Grootegast; vh; Aan den Openderweg";15
324;Totaal aantal gebouwen;"Grootegast; vh; Buurtschap Lucaswolde";100
325;Totaal aantal gebouwen;"Grootegast; vh; Langs den Havingareed";30
326;Totaal aantal gebouwen;"Grootegast; vh; Langs den Munnikeweg";32
327;Totaal aantal gebouwen;"Grootegast; vh; Langs den Lutjegasterweg";7
328;Totaal aantal gebouwen;"Grootegast; vh; Langs den Woldweg";17
329;Totaal aantal gebouwen;"Grootegast; overige verspreide huizen";545
330;Totaal aantal gebouwen;"Grijpskerk; totaal";1719
331;Totaal aantal gebouwen;"Grijpskerk; bewoonde oorden; Grijpskerk";564
332;Totaal aantal gebouwen;"Grijpskerk; bewoonde oorden; Visvliet";196
333;Totaal aantal gebouwen;"Grijpskerk; bew. oorden; Niezijl (ged.)";180
334;Totaal aantal gebouwen;"Grijpskerk; bewoonde oorden; Pieterzijl";113
335;Totaal aantal gebouwen;"Grijpskerk; bo; Kommerzijl (ged.)";135
336;Totaal aantal gebouwen;"Grijpskerk; bewoonde oorden; Westerhorn";58
337;Totaal aantal gebouwen;"Grijpskerk; bewoonde oorden; Gaarkeuken";66
338;Totaal aantal gebouwen;"Grijpskerk; bo; Buikstede (ged.)";9
339;Totaal aantal gebouwen;"Grijpskerk; bewoonde oorden; Waarddijk";30
340;Totaal aantal gebouwen;"Grijpskerk; bewoonde oorden; Hoekje";41
341;Totaal aantal gebouwen;"Grijpskerk; verspreide huizen";327
342;Totaal aantal gebouwen;"Haren; totaal";3120
343;Totaal aantal gebouwen;"Haren; bo; Diaconie Armhuis";4
344;Totaal aantal gebouwen;"Haren; bewoonde oorden; Haren, ov.";994
345;Totaal aantal gebouwen;"Haren; bewoonde oorden; Essen";90
346;Totaal aantal gebouwen;"Haren; bewoonde oorden; Dilcht";34
347;Totaal aantal gebouwen;"Haren; bewoonde oorden; Hemmen";54
348;Totaal aantal gebouwen;"Haren; bewoonde oorden; Hoornschedijk";80
349;Totaal aantal gebouwen;"Haren; bewoonde oorden; Lutsborg";116
350;Totaal aantal gebouwen;"Haren; bewoonde oorden; Voorveld";118
351;Totaal aantal gebouwen;"Haren; bewoonde oorden; Felland";68
352;Totaal aantal gebouwen;"Haren; bewoonde oorden; Onnen";177
353;Totaal aantal gebouwen;"Haren; bo; ermolen, Gest. ""Weltevreden""";10
354;Totaal aantal gebouwen;"Haren; bew. oorden; Harendermolen, ov.";210
355;Totaal aantal gebouwen;"Haren; bewoonde oorden; Glimmen";124
356;Totaal aantal gebouwen;"Haren; bewoonde oorden; Punt (ged.)";74
357;Totaal aantal gebouwen;"Haren; bewoonde oorden; Vogelzang";57
358;Totaal aantal gebouwen;"Haren; bewoonde oorden; Oorsprong";21
359;Totaal aantal gebouwen;"Haren; bewoonde oorden; Noordlaren";172
360;Totaal aantal gebouwen;"Haren; bew. oorden; Waterhuizen (ged.)";11
361;Totaal aantal gebouwen;"Haren; bew. oorden; Eelderwolde (ged.)";84
