ID;Geslacht;Woonvorm;Regio;AantalBewoners_1
90;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; totaal";3979
91;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; bew. oorden; Beerta, Armenhuis";21
92;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; bewoonde oorden; Beerta, ov.";2028
93;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; bo; Winschoterzijl (ged.)";36
94;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; bewoonde oorden; Beersterhoogen";57
95;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; bewoonde oorden; Nieuw-Beerta";648
96;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; bewoonde oorden; Drieborg";155
97;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; bewoonde oorden; Oudezijl (ged.)";309
98;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; bewoonde oorden; Oudedijk (ged.)";451
99;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; bew. oorden; Nieuwe Statenzijl";75
100;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; verspreide huizen; Ulsda";39
101;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; verspr. huizen; Oude Statenzijl";9
102;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; verspreide huizen; Stadspolder";49
103;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; vh; Reiderwolderpolder";21
104;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; vh; Carel Coenraadpolder";12
105;Totaal mannen en vrouwen;Totaal alle woonvormen;"Beerta; verspreide huizen; Kroonpolder";69
106;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; totaal";4516
107;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; bewoonde oorden; Bierum";677
108;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; bewoonde oorden; Nieuwstad";51
109;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; bewoonde oorden; Godlinze";396
110;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; bewoonde oorden; Holwierde";575
111;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; bewoonde oorden; Nansum";100
112;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; bewoonde oorden; Krewerd";164
113;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; bewoonde oorden; Losdorp";276
114;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; bewoonde oorden; Spijk";1087
115;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; bewoonde oorden; Polen";45
116;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; verspreide huizen; Hoogwatum";28
117;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; verspreide huizen; Uitende";58
118;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; verspreide huizen; Arwerd";39
119;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; verspreide huizen; Oostpolder";130
120;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; verspreide huizen; Dekkershuizen";25
121;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bierum; overige verspreide huizen";865
122;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; totaal";5187
123;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Ten Boer";856
124;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Bouwerschap";41
125;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Woltersum";573
126;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Blokum";36
127;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bew. oorden; Overschild (ged.)";64
128;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Wittewierum";139
129;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bew. oorden; Winneweer (ged.)";169
130;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Ten Post";707
131;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Lellens";101
132;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Dijkshorn";55
133;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Boersterweg";56
134;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Sint-Annen";265
135;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Lutjewolde";25
136;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bew. oorden; Achter-Thesinge";98
137;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Thesinge";489
138;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Lageweg";122
139;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Bovenrijge";64
140;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Garmerwolde";350
141;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; bewoonde oorden; Zevenhuizen";46
142;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; In den Thesingerpolder";68
143;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; Langs het Sint-Annermaar";15
144;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; T. Stedumm. en .Boersterw.";36
145;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; Aan den Wolddijk";23
146;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; Bij de Ridderborg";15
147;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; In den Langelandsterpolder";18
148;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; verspr. huizen; Bij de Rollen";33
149;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; I/d Heidenschapperpolder";117
150;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; I/d Fledderbosscherpolder";38
151;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; In den Boltjerpolder";113
152;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; L/d Rijksweg, Gasth.";16
153;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; Bovenrijge-Dijkshorn, ov.";33
154;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; T. Dijkshorn en Ten Post";84
155;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; T. Ten Post en Winneweer";20
156;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; Muderw en de Wittewierumm.";63
157;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; T.Post-Eemskan. / Lustigem";76
158;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ten Boer; vh; Ten Z-O vh Eemskanaal";163
159;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; totaal";9666
160;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bewoonde oorden; Delfzijl";4168
161;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bo; Farmsum, ""Abel Tasman""";71
162;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bewoonde oorden; Farmsum, ov.";2403
163;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bewoonde oorden; Weiwerd";455
164;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bewoonde oorden; Heveskes";242
165;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bewoonde oorden; Oterdum";185
166;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bewoonde oorden; Meedhuizen";291
167;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bewoonde oorden; Uitwierde";106
168;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bewoonde oorden; Biesum";92
169;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bewoonde oorden; Schaapbulten";100
170;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bewoonde oorden; Amsweer";64
171;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bew. oorden; Oterdummerwarven";102
172;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bewoonde oorden; Heveskesvalge";21
173;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bew. oorden; Weiwerdervalge";56
174;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; bewoonde oorden; Naterij";58
175;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; verspreide huizen; Rijksweg";164
176;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; vh; Dok en omgeving";67
177;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; vh; Provinciale weg Farmsum";132
178;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; verspr. huizen; Meedhuizerweg";153
179;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; verspr. huizen; Kloosterlaan";70
180;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; verspreide huizen; Geefsweer";51
181;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; vh; Oterdummerwarven";33
182;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; verspr. huizen; Meedhuizermeer";31
183;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; verspreide huizen; Kleine Meer";59
184;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; verspr. huizen; Fuikwerderlaan";27
185;Totaal mannen en vrouwen;Totaal alle woonvormen;"Delfzijl; overige verspreide huizen";465
186;Totaal mannen en vrouwen;Totaal alle woonvormen;"Eenrum; totaal";2546
187;Totaal mannen en vrouwen;Totaal alle woonvormen;"Eenrum; bo; Diaconie Gasthuis";11
188;Totaal mannen en vrouwen;Totaal alle woonvormen;"Eenrum; bewoonde oorden; Eenrum, ov.";1038
189;Totaal mannen en vrouwen;Totaal alle woonvormen;"Eenrum; bewoonde oorden; Pieterburen";486
190;Totaal mannen en vrouwen;Totaal alle woonvormen;"Eenrum; bewoonde oorden; Westernieland";194
191;Totaal mannen en vrouwen;Totaal alle woonvormen;"Eenrum; bewoonde oorden; Kaakhorn";132
192;Totaal mannen en vrouwen;Totaal alle woonvormen;"Eenrum; bewoonde oorden; Oudedijk";40
193;Totaal mannen en vrouwen;Totaal alle woonvormen;"Eenrum; bewoonde oorden; Wierhuizen";42
194;Totaal mannen en vrouwen;Totaal alle woonvormen;"Eenrum; bewoonde oorden; Broek";95
195;Totaal mannen en vrouwen;Totaal alle woonvormen;"Eenrum; vh; Langs den Zeedijk";88
196;Totaal mannen en vrouwen;Totaal alle woonvormen;"Eenrum; overige verspreide huizen";420
197;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ezinge; totaal";1854
198;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ezinge; bewoonde oorden; Ezinge";599
199;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ezinge; bewoonde oorden; Feerwerd";325
200;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ezinge; bewoonde oorden; Aduarderzijl";103
201;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ezinge; bewoonde oorden; Garnwerd";294
202;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ezinge; bewoonde oorden; Oostum";37
203;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ezinge; vh; Ezinge, buiten de kom";178
204;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ezinge; vh; Feerwerd, buiten de kom";165
205;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ezinge; vh; Aduarderzijl, buiten de kom";13
206;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ezinge; vh; Garnwerd, buiten de kom";59
207;Totaal mannen en vrouwen;Totaal alle woonvormen;"Ezinge; vh; Oostum, buiten de kom";81
208;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; totaal";3196
209;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; bo; Marech.kaz.";9
210;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; bo; Armenwerkh.";12
211;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; bo; ov.";1504
212;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; bewoonde oorden; Goldhoorn";53
213;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; bo; Kromme-Elleboog";189
214;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; bew. oorden; Eekamp (ged.)";365
215;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; bewoonde oorden; Ganzedijk";165
216;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; bo; Oudedijk (ged.)";80
217;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; bew. oorden; Kostverloren";162
218;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; bo; Hongerige Wolf";109
219;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; vh; ""Finsterwolderbamrik""";113
220;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; vh; I/d Reiderwolderpolder";130
221;Totaal mannen en vrouwen;Totaal alle woonvormen;"Finsterwolde; overige verspreide huizen";305
222;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; totaal";105146
223;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Infanterie Kaz.";4
224;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Politietroepen Kaz.";1
225;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Strafgevangenis";92
226;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Huis van Bewaring";1
227;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Inst. voor Doofstommen";167
228;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Kook- en Huishoudschool";24
229;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Burger- of Roode Weesh.";8
230;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Weesh. N.H. Gem.";61
231;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Toevluchtsoord v. meisjes";23
232;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Doorgangshuis";72
233;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Gem. Verzorgingsh.";117
234;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Avondrust";74
235;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; R.K. Liefdegest.";184
236;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; R.K. Zusterschool";19
237;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; R.K. Internaat";16
238;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Isr. oude mn.- en vr.h.";19
239;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Heiligen Geestgasth.";58
240;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Geertruidsgasth.";51
241;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; St. Antoniegasth.";63
242;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Doopsgezindgasth.";30
243;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Lutherschgasth.";16
244;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Pietronellagasth.";85
245;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Jac. en Annagasth.";17
246;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Armh. zittend Convent";23
247;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Bethesdagasth.";28
248;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Cremersgasth.";7
249;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; St. Martinusgasth.";24
250;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Aduardergasth.";9
251;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Mepschengasth.";12
252;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Scheuningsgasth.";2
253;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Vrouw Franssensgasth.";2
254;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Werk. St. Gasth. Langest.";17
255;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Latteringen Gasth.";13
256;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; O.L.V. Gest.";9
257;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Teh. voor vrouwen";9
258;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Teh. voor dakloozen";18
259;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Nijverheidsschool";15
260;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Pr.- St.- en Ac. Ziekenh.";387
261;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Kinderziekenh.";29
262;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Diaconessenh.";89
263;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Ooglijdersgest.";6
264;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; R.K. Gezellenh.";31
265;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Werk. St. Gasth. Violets.";12
266;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Werkende Stand Gasth.";16
267;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; ""Pro Juventute""";9
268;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; St. Corneliagasth.";8
269;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bo; Ter Schouw en Zanenst.";11
270;Totaal mannen en vrouwen;Totaal alle woonvormen;"Groningen; bew. oorden; Groningen, ov.";97030
