ID;NECSectoren;EmissiesNaarLucht;Perioden;EmissiesNaarLucht_1
29;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2001;437.1
30;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2002;422.1
31;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2003;417.4
32;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2004;407.7
33;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2005;396.6
34;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2006;384.4
35;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2007;362.6
36;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2008;349.9
37;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2009;310.6
38;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2010;313.1
39;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2011;300.3
40;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2012;282.8
41;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2013;266.5
42;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2014;242.5
43;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2015;236.3
44;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2016;224.5
45;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2017;217.1
46;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2018;215.3
47;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2019;203.4
48;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2020;175.0
49;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2021;170.8
50;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2022;159.5
51;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2023;151.7
52;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);1990;198.1
53;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);1995;136.9
54;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2000;78.5
55;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2001;79.1
56;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2002;71.5
57;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2003;66.7
58;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2004;69.4
59;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2005;67.8
60;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2006;68.1
61;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2007;64.2
62;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2008;53.3
63;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2009;39.6
64;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2010;36.1
65;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2011;35.0
66;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2012;35.4
67;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2013;31.1
68;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2014;30.9
69;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2015;31.0
70;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2016;28.8
71;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2017;27.2
72;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2018;25.2
73;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2019;22.9
74;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2020;19.6
75;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2021;20.9
76;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2022;19.6
77;Totaal Stationaire en mobiele bronnen;Zwaveldioxide (SO2);2023;17.5
78;Totaal Stationaire en mobiele bronnen;NMVOS;1990;503.2
79;Totaal Stationaire en mobiele bronnen;NMVOS;1995;367.0
80;Totaal Stationaire en mobiele bronnen;NMVOS;2000;264.0
81;Totaal Stationaire en mobiele bronnen;NMVOS;2001;238.2
82;Totaal Stationaire en mobiele bronnen;NMVOS;2002;223.9
83;Totaal Stationaire en mobiele bronnen;NMVOS;2003;210.0
84;Totaal Stationaire en mobiele bronnen;NMVOS;2004;197.5
85;Totaal Stationaire en mobiele bronnen;NMVOS;2005;202.2
86;Totaal Stationaire en mobiele bronnen;NMVOS;2006;197.0
87;Totaal Stationaire en mobiele bronnen;NMVOS;2007;196.3
88;Totaal Stationaire en mobiele bronnen;NMVOS;2008;189.2
89;Totaal Stationaire en mobiele bronnen;NMVOS;2009;178.8
90;Totaal Stationaire en mobiele bronnen;NMVOS;2010;191.4
91;Totaal Stationaire en mobiele bronnen;NMVOS;2011;186.0
92;Totaal Stationaire en mobiele bronnen;NMVOS;2012;180.3
93;Totaal Stationaire en mobiele bronnen;NMVOS;2013;177.5
94;Totaal Stationaire en mobiele bronnen;NMVOS;2014;169.2
95;Totaal Stationaire en mobiele bronnen;NMVOS;2015;166.4
96;Totaal Stationaire en mobiele bronnen;NMVOS;2016;159.2
97;Totaal Stationaire en mobiele bronnen;NMVOS;2017;161.6
98;Totaal Stationaire en mobiele bronnen;NMVOS;2018;158.4
99;Totaal Stationaire en mobiele bronnen;NMVOS;2019;156.6
100;Totaal Stationaire en mobiele bronnen;NMVOS;2020;165.2
101;Totaal Stationaire en mobiele bronnen;NMVOS;2021;152.6
102;Totaal Stationaire en mobiele bronnen;NMVOS;2022;153.1
103;Totaal Stationaire en mobiele bronnen;NMVOS;2023;152.8
104;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);1990;57.2
105;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);1995;45.2
106;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2000;34.7
107;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2001;33.4
108;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2002;31.3
109;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2003;30.6
110;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2004;29.8
111;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2005;28.4
112;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2006;27.6
113;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2007;25.7
114;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2008;24.1
115;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2009;21.8
116;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2010;22.0
117;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2011;20.2
118;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2012;19.0
119;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2013;18.9
120;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2014;17.6
121;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2015;17.6
122;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2016;17.2
123;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2017;16.7
124;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2018;16.3
125;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2019;15.5
126;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2020;14.2
127;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2021;14.4
128;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2022;14.1
129;Totaal Stationaire en mobiele bronnen;PM2.5 (fijn stof);2023;13.8
130;"Stationaire bronnen; totaal";Ammoniak (NH3);1990;345.6
131;"Stationaire bronnen; totaal";Ammoniak (NH3);1995;217.4
132;"Stationaire bronnen; totaal";Ammoniak (NH3);2000;170.5
133;"Stationaire bronnen; totaal";Ammoniak (NH3);2001;163.8
134;"Stationaire bronnen; totaal";Ammoniak (NH3);2002;156.1
135;"Stationaire bronnen; totaal";Ammoniak (NH3);2003;152.9
136;"Stationaire bronnen; totaal";Ammoniak (NH3);2004;152.5
137;"Stationaire bronnen; totaal";Ammoniak (NH3);2005;150.2
138;"Stationaire bronnen; totaal";Ammoniak (NH3);2006;153.1
139;"Stationaire bronnen; totaal";Ammoniak (NH3);2007;149.6
140;"Stationaire bronnen; totaal";Ammoniak (NH3);2008;137.2
141;"Stationaire bronnen; totaal";Ammoniak (NH3);2009;133.3
142;"Stationaire bronnen; totaal";Ammoniak (NH3);2010;130.4
143;"Stationaire bronnen; totaal";Ammoniak (NH3);2011;127.8
144;"Stationaire bronnen; totaal";Ammoniak (NH3);2012;124.0
145;"Stationaire bronnen; totaal";Ammoniak (NH3);2013;120.8
146;"Stationaire bronnen; totaal";Ammoniak (NH3);2014;124.5
147;"Stationaire bronnen; totaal";Ammoniak (NH3);2015;125.8
148;"Stationaire bronnen; totaal";Ammoniak (NH3);2016;127.1
149;"Stationaire bronnen; totaal";Ammoniak (NH3);2017;129.4
150;"Stationaire bronnen; totaal";Ammoniak (NH3);2018;127.8
151;"Stationaire bronnen; totaal";Ammoniak (NH3);2019;121.4
152;"Stationaire bronnen; totaal";Ammoniak (NH3);2020;121.1
153;"Stationaire bronnen; totaal";Ammoniak (NH3);2021;119.4
154;"Stationaire bronnen; totaal";Ammoniak (NH3);2022;116.8
155;"Stationaire bronnen; totaal";Ammoniak (NH3);2023;112.5
156;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);1990;229.9
157;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);1995;188.7
158;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2000;143.0
159;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2001;142.0
160;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2002;138.5
161;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2003;139.1
162;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2004;131.5
163;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2005;128.2
164;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2006;121.2
165;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2007;111.2
166;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2008;110.3
167;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2009;99.0
168;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2010;105.8
169;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2011;94.3
170;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2012;90.8
171;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2013;88.0
172;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2014;77.5
173;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2015;78.4
174;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2016;72.3
175;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2017;68.1
176;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2018;65.2
177;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2019;61.8
178;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2020;56.2
179;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2021;57.1
180;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2022;51.7
181;"Stationaire bronnen; totaal";Stikstofoxiden (NOx);2023;46.1
182;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);1990;170.7
183;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);1995;109.7
184;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2000;63.1
185;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2001;67.1
186;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2002;60.6
187;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2003;56.4
188;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2004;59.1
189;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2005;57.9
190;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2006;58.3
191;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2007;55.3
192;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2008;47.8
193;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2009;35.4
194;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2010;32.9
195;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2011;33.3
196;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2012;33.6
197;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2013;29.3
198;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2014;28.8
199;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2015;30.0
200;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2016;27.9
201;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2017;26.3
202;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2018;24.3
203;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2019;22.0
204;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2020;19.0
205;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2021;20.2
206;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2022;19.0
207;"Stationaire bronnen; totaal";Zwaveldioxide (SO2);2023;16.8
208;"Stationaire bronnen; totaal";NMVOS;1990;300.8
209;"Stationaire bronnen; totaal";NMVOS;1995;226.7
210;"Stationaire bronnen; totaal";NMVOS;2000;178.0
211;"Stationaire bronnen; totaal";NMVOS;2001;158.6
212;"Stationaire bronnen; totaal";NMVOS;2002;151.7
213;"Stationaire bronnen; totaal";NMVOS;2003;143.5
214;"Stationaire bronnen; totaal";NMVOS;2004;136.8
215;"Stationaire bronnen; totaal";NMVOS;2005;146.6
216;"Stationaire bronnen; totaal";NMVOS;2006;144.2
217;"Stationaire bronnen; totaal";NMVOS;2007;147.0
218;"Stationaire bronnen; totaal";NMVOS;2008;142.8
219;"Stationaire bronnen; totaal";NMVOS;2009;136.5
220;"Stationaire bronnen; totaal";NMVOS;2010;150.6
221;"Stationaire bronnen; totaal";NMVOS;2011;145.0
222;"Stationaire bronnen; totaal";NMVOS;2012;140.9
223;"Stationaire bronnen; totaal";NMVOS;2013;139.1
224;"Stationaire bronnen; totaal";NMVOS;2014;133.1
225;"Stationaire bronnen; totaal";NMVOS;2015;131.1
226;"Stationaire bronnen; totaal";NMVOS;2016;124.1
227;"Stationaire bronnen; totaal";NMVOS;2017;126.4
228;"Stationaire bronnen; totaal";NMVOS;2018;123.7
229;"Stationaire bronnen; totaal";NMVOS;2019;122.8
230;"Stationaire bronnen; totaal";NMVOS;2020;135.2
231;"Stationaire bronnen; totaal";NMVOS;2021;123.1
232;"Stationaire bronnen; totaal";NMVOS;2022;124.8
233;"Stationaire bronnen; totaal";NMVOS;2023;124.1
234;"Stationaire bronnen; totaal";PM2.5 (fijn stof);1990;31.4
235;"Stationaire bronnen; totaal";PM2.5 (fijn stof);1995;24.3
236;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2000;17.6
237;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2001;17.1
238;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2002;16.2
239;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2003;16.3
240;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2004;16.1
241;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2005;15.5
242;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2006;15.7
243;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2007;14.8
244;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2008;14.6
245;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2009;13.9
246;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2010;14.7
247;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2011;13.4
248;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2012;12.9
249;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2013;13.2
250;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2014;12.1
251;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2015;12.6
252;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2016;12.4
253;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2017;12.1
254;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2018;11.8
255;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2019;11.4
256;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2020;10.5
257;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2021;10.8
258;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2022;10.7
259;"Stationaire bronnen; totaal";PM2.5 (fijn stof);2023;10.5
260;Energiesector;Ammoniak (NH3);1990;0.0
261;Energiesector;Ammoniak (NH3);1995;0.0
262;Energiesector;Ammoniak (NH3);2000;0.0
263;Energiesector;Ammoniak (NH3);2001;0.0
264;Energiesector;Ammoniak (NH3);2002;0.0
265;Energiesector;Ammoniak (NH3);2003;0.1
266;Energiesector;Ammoniak (NH3);2004;0.1
267;Energiesector;Ammoniak (NH3);2005;0.2
268;Energiesector;Ammoniak (NH3);2006;0.0
269;Energiesector;Ammoniak (NH3);2007;0.0
270;Energiesector;Ammoniak (NH3);2008;0.1
271;Energiesector;Ammoniak (NH3);2009;0.0
272;Energiesector;Ammoniak (NH3);2010;0.0
273;Energiesector;Ammoniak (NH3);2011;0.0
274;Energiesector;Ammoniak (NH3);2012;0.0
275;Energiesector;Ammoniak (NH3);2013;0.0
276;Energiesector;Ammoniak (NH3);2014;0.0
277;Energiesector;Ammoniak (NH3);2015;0.0
278;Energiesector;Ammoniak (NH3);2016;0.0
279;Energiesector;Ammoniak (NH3);2017;0.0
280;Energiesector;Ammoniak (NH3);2018;0.0
281;Energiesector;Ammoniak (NH3);2019;0.1
282;Energiesector;Ammoniak (NH3);2020;0.1
283;Energiesector;Ammoniak (NH3);2021;0.0
284;Energiesector;Ammoniak (NH3);2022;0.0
285;Energiesector;Ammoniak (NH3);2023;0.0
286;Energiesector;Stikstofoxiden (NOx);1990;103.9
287;Energiesector;Stikstofoxiden (NOx);1995;83.2
288;Energiesector;Stikstofoxiden (NOx);2000;64.9
289;Energiesector;Stikstofoxiden (NOx);2001;62.7
290;Energiesector;Stikstofoxiden (NOx);2002;62.9
291;Energiesector;Stikstofoxiden (NOx);2003;63.8
292;Energiesector;Stikstofoxiden (NOx);2004;56.6
293;Energiesector;Stikstofoxiden (NOx);2005;55.2
294;Energiesector;Stikstofoxiden (NOx);2006;52.0
295;Energiesector;Stikstofoxiden (NOx);2007;43.4
296;Energiesector;Stikstofoxiden (NOx);2008;38.1
297;Energiesector;Stikstofoxiden (NOx);2009;32.3
298;Energiesector;Stikstofoxiden (NOx);2010;32.6
299;Energiesector;Stikstofoxiden (NOx);2011;29.1
300;Energiesector;Stikstofoxiden (NOx);2012;28.3
301;Energiesector;Stikstofoxiden (NOx);2013;29.5
302;Energiesector;Stikstofoxiden (NOx);2014;26.8
303;Energiesector;Stikstofoxiden (NOx);2015;27.6
304;Energiesector;Stikstofoxiden (NOx);2016;23.4
305;Energiesector;Stikstofoxiden (NOx);2017;21.5
306;Energiesector;Stikstofoxiden (NOx);2018;20.7
307;Energiesector;Stikstofoxiden (NOx);2019;19.4
308;Energiesector;Stikstofoxiden (NOx);2020;17.0
309;Energiesector;Stikstofoxiden (NOx);2021;17.1
310;Energiesector;Stikstofoxiden (NOx);2022;16.3
311;Energiesector;Stikstofoxiden (NOx);2023;13.6
312;Energiesector;Zwaveldioxide (SO2);1990;112.7
313;Energiesector;Zwaveldioxide (SO2);1995;78.3
314;Energiesector;Zwaveldioxide (SO2);2000;48.2
315;Energiesector;Zwaveldioxide (SO2);2001;50.6
316;Energiesector;Zwaveldioxide (SO2);2002;44.4
317;Energiesector;Zwaveldioxide (SO2);2003;43.7
318;Energiesector;Zwaveldioxide (SO2);2004;43.1
319;Energiesector;Zwaveldioxide (SO2);2005;42.1
320;Energiesector;Zwaveldioxide (SO2);2006;42.2
321;Energiesector;Zwaveldioxide (SO2);2007;38.7
322;Energiesector;Zwaveldioxide (SO2);2008;32.1
323;Energiesector;Zwaveldioxide (SO2);2009;24.2
324;Energiesector;Zwaveldioxide (SO2);2010;19.4
325;Energiesector;Zwaveldioxide (SO2);2011;19.2
326;Energiesector;Zwaveldioxide (SO2);2012;22.1
327;Energiesector;Zwaveldioxide (SO2);2013;19.5
328;Energiesector;Zwaveldioxide (SO2);2014;18.3
329;Energiesector;Zwaveldioxide (SO2);2015;19.7
330;Energiesector;Zwaveldioxide (SO2);2016;17.1
331;Energiesector;Zwaveldioxide (SO2);2017;15.3
332;Energiesector;Zwaveldioxide (SO2);2018;13.6
333;Energiesector;Zwaveldioxide (SO2);2019;11.3
334;Energiesector;Zwaveldioxide (SO2);2020;8.8
335;Energiesector;Zwaveldioxide (SO2);2021;10.4
336;Energiesector;Zwaveldioxide (SO2);2022;10.7
337;Energiesector;Zwaveldioxide (SO2);2023;9.6
338;Energiesector;NMVOS;1990;32.2
339;Energiesector;NMVOS;1995;26.6
340;Energiesector;NMVOS;2000;26.8
341;Energiesector;NMVOS;2001;19.2
342;Energiesector;NMVOS;2002;17.7
343;Energiesector;NMVOS;2003;16.0
344;Energiesector;NMVOS;2004;14.7
345;Energiesector;NMVOS;2005;19.1
346;Energiesector;NMVOS;2006;17.2
347;Energiesector;NMVOS;2007;16.3
348;Energiesector;NMVOS;2008;15.8
349;Energiesector;NMVOS;2009;13.9
350;Energiesector;NMVOS;2010;14.7
351;Energiesector;NMVOS;2011;15.5
352;Energiesector;NMVOS;2012;15.0
353;Energiesector;NMVOS;2013;15.0
354;Energiesector;NMVOS;2014;13.6
355;Energiesector;NMVOS;2015;12.8
356;Energiesector;NMVOS;2016;11.4
357;Energiesector;NMVOS;2017;10.6
358;Energiesector;NMVOS;2018;8.4
359;Energiesector;NMVOS;2019;7.4
360;Energiesector;NMVOS;2020;6.8
361;Energiesector;NMVOS;2021;5.8
362;Energiesector;NMVOS;2022;5.6
363;Energiesector;NMVOS;2023;5.6
364;Energiesector;PM2.5 (fijn stof);1990;6.0
365;Energiesector;PM2.5 (fijn stof);1995;4.2
366;Energiesector;PM2.5 (fijn stof);2000;2.6
367;Energiesector;PM2.5 (fijn stof);2001;2.5
368;Energiesector;PM2.5 (fijn stof);2002;2.1
369;Energiesector;PM2.5 (fijn stof);2003;2.4
370;Energiesector;PM2.5 (fijn stof);2004;1.7
371;Energiesector;PM2.5 (fijn stof);2005;1.6
372;Energiesector;PM2.5 (fijn stof);2006;1.9
373;Energiesector;PM2.5 (fijn stof);2007;1.3
374;Energiesector;PM2.5 (fijn stof);2008;1.2
375;Energiesector;PM2.5 (fijn stof);2009;0.6
376;Energiesector;PM2.5 (fijn stof);2010;0.4
377;Energiesector;PM2.5 (fijn stof);2011;0.3
378;Energiesector;PM2.5 (fijn stof);2012;0.2
379;Energiesector;PM2.5 (fijn stof);2013;0.3
380;Energiesector;PM2.5 (fijn stof);2014;0.4
381;Energiesector;PM2.5 (fijn stof);2015;0.5
382;Energiesector;PM2.5 (fijn stof);2016;0.4
383;Energiesector;PM2.5 (fijn stof);2017;0.3
384;Energiesector;PM2.5 (fijn stof);2018;0.3
385;Energiesector;PM2.5 (fijn stof);2019;0.3
386;Energiesector;PM2.5 (fijn stof);2020;0.2
387;Energiesector;PM2.5 (fijn stof);2021;0.2
388;Energiesector;PM2.5 (fijn stof);2022;0.2
389;Energiesector;PM2.5 (fijn stof);2023;0.2
390;06 Winning van aardolie en aardgas;Ammoniak (NH3);1990;0.0
391;06 Winning van aardolie en aardgas;Ammoniak (NH3);1995;0.0
392;06 Winning van aardolie en aardgas;Ammoniak (NH3);2000;0.0
393;06 Winning van aardolie en aardgas;Ammoniak (NH3);2001;0.0
394;06 Winning van aardolie en aardgas;Ammoniak (NH3);2002;0.0
395;06 Winning van aardolie en aardgas;Ammoniak (NH3);2003;0.0
396;06 Winning van aardolie en aardgas;Ammoniak (NH3);2004;0.0
397;06 Winning van aardolie en aardgas;Ammoniak (NH3);2005;0.0
398;06 Winning van aardolie en aardgas;Ammoniak (NH3);2006;0.0
399;06 Winning van aardolie en aardgas;Ammoniak (NH3);2007;0.0
400;06 Winning van aardolie en aardgas;Ammoniak (NH3);2008;0.0
401;06 Winning van aardolie en aardgas;Ammoniak (NH3);2009;0.0
402;06 Winning van aardolie en aardgas;Ammoniak (NH3);2010;0.0
403;06 Winning van aardolie en aardgas;Ammoniak (NH3);2011;0.0
404;06 Winning van aardolie en aardgas;Ammoniak (NH3);2012;0.0
405;06 Winning van aardolie en aardgas;Ammoniak (NH3);2013;0.0
406;06 Winning van aardolie en aardgas;Ammoniak (NH3);2014;0.0
407;06 Winning van aardolie en aardgas;Ammoniak (NH3);2015;0.0
408;06 Winning van aardolie en aardgas;Ammoniak (NH3);2016;0.0
