ID;SIC2008;PersonsEmployed;Periods;Total_1;Births_2;Deaths_3;NewlyBornEnterprisesSurvivingYear1_4;NewlyBornEnterprisesSurvivingYear2_5;NewlyBornEnterprisesSurvivingYear3_6;NewlyBornEnterprisesSurvivingYear4_7;NewlyBornEnterprisesSurvivingYear5_8;PersonsEmployed_9;Employees_10;PersonsEmployed_11;Employees_12;PersonsEmployed_13;Employees_14;k_1Year_15;k_2Years_16;k_3Years_17;k_4Years_18;k_5Years_19;k_1Year_20;k_2Years_21;k_3Years_22;k_4Years_23;k_5Years_24
64;305700;10 employees or more;2022;80.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;7461.0;7459.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;0.0;0.0
65;300002;Total;2010;59898.0;4156.0;3243.0;4113.0;4127.0;4454.0;1677.0;1722.0;765138.0;708455.0;4603.0;2813.0;3152.0;1902.0;13011.0;16597.0;21508.0;5381.0;3268.0;5478.0;5819.0;6514.0;4283.0;2911.0
66;300002;Total;2011;61299.0;4891.0;3411.0;3936.0;3568.0;3703.0;4047.0;1611.0;765046.0;707362.0;6234.0;3879.0;2793.0;1530.0;7500.0;12048.0;16122.0;20969.0;5113.0;4536.0;5090.0;5324.0;5967.0;4046.0
67;300002;Total;2012;62562.0;4603.0;4055.0;4563.0;3423.0;3156.0;3371.0;3747.0;759730.0;701591.0;5135.0;2758.0;2827.0;1162.0;10638.0;6646.0;11048.0;15613.0;20664.0;6109.0;3799.0;4561.0;4893.0;5545.0
68;300002;Total;2013;63361.0;4548.0;3793.0;4284.0;3958.0;2970.0;2809.0;3071.0;751425.0;692240.0;4632.0;2549.0;3670.0;2029.0;8645.0;9824.0;5852.0;10501.0;14797.0;5042.0;5617.0;3294.0;4206.0;4395.0
69;300002;Total;2014;64539.0;4773.0;3123.0;4310.0;3687.0;3455.0;2624.0;2548.0;745193.0;685801.0;4776.0;2549.0;3254.0;1934.0;8161.0;8146.0;9279.0;5327.0;9886.0;4390.0;4505.0;4964.0;2937.0;3884.0
70;300002;Total;2015;66612.0;5158.0;3215.0;4553.0;3836.0;3347.0;3116.0;2416.0;749601.0;685011.0;4469.0;1389.0;3278.0;1183.0;8817.0;8267.0;8085.0;9398.0;5266.0;4625.0;3854.0;4179.0;4545.0;2623.0
71;300002;Total;2016;68723.0;5301.0;3702.0;4939.0;4013.0;3457.0;3034.0;2885.0;757841.0;695501.0;3976.0;1479.0;3007.0;1186.0;7713.0;8482.0;7843.0;7709.0;9331.0;4281.0;4311.0;3581.0;3911.0;4305.0
72;300002;Total;2017;70250.0;5440.0;2931.0;5058.0;4362.0;3579.0;3110.0;2718.0;768693.0;705711.0;4487.0;1973.0;1982.0;658.0;8878.0;7564.0;8536.0;7739.0;7530.0;3868.0;3860.0;4020.0;3276.0;3537.0
73;300002;Total;2018;74482.0;6047.0;3306.0;5258.0;4599.0;3978.0;3283.0;2901.0;787341.0;722319.0;3985.0;1099.0;2031.0;634.0;8268.0;9329.0;7531.0;8430.0;7780.0;4411.0;3630.0;3176.0;3806.0;3088.0
