ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalOpheffingenVanBedrijven_1;k_1WerkzamePersoonOfMinder_2;k_2Tot10WerkzamePersonen_3;k_10Tot50WerkzamePersonen_4;k_50Tot250WerkzamePersonen_5;k_250WerkzamePersonenOfMeer_6;k_0Tot50WerkzamePersonen_7;k_0Tot250WerkzamePersonen_8;NatuurlijkePersonen_9;Rechtspersonen_10
172;Totaal (ex. financieel of nutsbedrijven);2023 3e kwartaal;30040;26850;3065;110;20;0;30025;30040;23180;6860
173;Totaal (ex. financieel of nutsbedrijven);2023 4e kwartaal;29630;26695;2830;90;15;0;29615;29630;23965;5665
174;Totaal (ex. financieel of nutsbedrijven);2023;116785;103125;13180;405;75;0;116710;116785;97350;19435
175;Totaal (ex. financieel of nutsbedrijven);2024 1e kwartaal;48130;43385;4555;170;20;0;48105;48130;41320;6810
176;Totaal (ex. financieel of nutsbedrijven);2024 2e kwartaal;33380;30045;3210;120;5;0;33375;33380;27030;6350
177;Totaal (ex. financieel of nutsbedrijven);2024 3e kwartaal;40035;37105;2810;100;20;0;40015;40035;29420;10615
178;Totaal (ex. financieel of nutsbedrijven);2024 4e kwartaal;28980;26145;2735;85;10;0;28970;28980;26255;2725
179;Totaal (ex. financieel of nutsbedrijven);2024;150525;136685;13310;475;60;0;150465;150525;124025;26500
180;Business Economy, B-N, excl. K, incl. 95;2007 1e kwartaal;16795;11970;4495;270;60;0;16735;16795;14130;2665
181;Business Economy, B-N, excl. K, incl. 95;2007 2e kwartaal;15350;10460;4490;335;65;0;15285;15350;12090;3255
182;Business Economy, B-N, excl. K, incl. 95;2007 3e kwartaal;14325;10850;3090;330;55;0;14270;14325;11445;2880
183;Business Economy, B-N, excl. K, incl. 95;2007 4e kwartaal;13515;9520;3660;280;50;0;13460;13515;11060;2450
184;Business Economy, B-N, excl. K, incl. 95;2007;59985;42800;15735;1215;230;0;59750;59985;48730;11255
185;Business Economy, B-N, excl. K, incl. 95;2008 1e kwartaal;18670;14745;3620;255;45;0;18625;18670;15385;3285
186;Business Economy, B-N, excl. K, incl. 95;2008 2e kwartaal;17640;13615;3660;315;50;0;17590;17640;15080;2560
187;Business Economy, B-N, excl. K, incl. 95;2008 3e kwartaal;14460;11435;2835;170;20;0;14440;14460;11650;2810
188;Business Economy, B-N, excl. K, incl. 95;2008 4e kwartaal;15610;11900;3345;335;30;0;15580;15610;12035;3580
189;Business Economy, B-N, excl. K, incl. 95;2008;66385;51700;13460;1075;145;0;66240;66385;54145;12240
190;Business Economy, B-N, excl. K, incl. 95;2009 1e kwartaal;19260;15330;3615;270;50;0;19210;19260;17115;2145
191;Business Economy, B-N, excl. K, incl. 95;2009 2e kwartaal;19120;15325;3370;365;65;0;19060;19120;16180;2945
192;Business Economy, B-N, excl. K, incl. 95;2009 3e kwartaal;16495;13145;2945;365;40;0;16450;16495;13140;3355
193;Business Economy, B-N, excl. K, incl. 95;2009 4e kwartaal;23315;15255;7480;525;55;0;23260;23315;15955;7360
194;Business Economy, B-N, excl. K, incl. 95;2009;78190;59055;17405;1525;210;0;77985;78190;62385;15805
195;Business Economy, B-N, excl. K, incl. 95;2010 1e kwartaal;11140;7645;3280;170;35;0;11100;11135;9365;1770
196;Business Economy, B-N, excl. K, incl. 95;2010 2e kwartaal;26085;22315;3465;260;45;0;26040;26085;22675;3415
197;Business Economy, B-N, excl. K, incl. 95;2010 3e kwartaal;16175;12875;2960;295;45;5;16130;16170;12090;4085
198;Business Economy, B-N, excl. K, incl. 95;2010 4e kwartaal;14995;11585;3120;265;30;0;14965;14995;12380;2615
199;Business Economy, B-N, excl. K, incl. 95;2010;68400;54420;12830;990;155;5;68235;68390;56510;11885
200;Business Economy, B-N, excl. K, incl. 95;2011 1e kwartaal;22085;17665;4170;215;30;0;22055;22085;19080;3005
201;Business Economy, B-N, excl. K, incl. 95;2011 2e kwartaal;18610;15265;3110;215;20;0;18590;18610;15950;2660
202;Business Economy, B-N, excl. K, incl. 95;2011 3e kwartaal;17585;14370;2930;250;35;0;17550;17580;13515;4070
203;Business Economy, B-N, excl. K, incl. 95;2011 4e kwartaal;17325;14185;2890;210;35;0;17290;17325;14665;2665
204;Business Economy, B-N, excl. K, incl. 95;2011;75605;61485;13105;890;120;5;75480;75600;63210;12395
205;Business Economy, B-N, excl. K, incl. 95;2012 1e kwartaal;21600;16815;4520;230;35;0;21565;21600;17975;3625
206;Business Economy, B-N, excl. K, incl. 95;2012 2e kwartaal;27975;24785;3030;135;25;0;27950;27975;25675;2300
207;Business Economy, B-N, excl. K, incl. 95;2012 3e kwartaal;20235;16330;3535;345;25;0;20210;20235;15785;4450
208;Business Economy, B-N, excl. K, incl. 95;2012 4e kwartaal;20185;16410;3480;270;20;0;20165;20185;17300;2885
209;Business Economy, B-N, excl. K, incl. 95;2012;89995;74340;14565;980;110;0;89885;89995;76735;13260
210;Business Economy, B-N, excl. K, incl. 95;2013 1e kwartaal;20675;16265;4125;240;40;0;20635;20675;17285;3390
211;Business Economy, B-N, excl. K, incl. 95;2013 2e kwartaal;18035;13990;3735;255;55;0;17980;18035;14850;3185
212;Business Economy, B-N, excl. K, incl. 95;2013 3e kwartaal;23420;18825;4215;340;40;0;23380;23420;19105;4320
213;Business Economy, B-N, excl. K, incl. 95;2013 4e kwartaal;19290;14970;3985;310;25;0;19265;19290;15875;3415
214;Business Economy, B-N, excl. K, incl. 95;2013;81425;64050;16065;1145;165;0;81260;81425;67110;14315
215;Business Economy, B-N, excl. K, incl. 95;2014 1e kwartaal;17735;14605;2885;225;20;0;17710;17730;14740;2995
216;Business Economy, B-N, excl. K, incl. 95;2014 2e kwartaal;18895;15385;3215;255;40;0;18850;18895;15285;3610
217;Business Economy, B-N, excl. K, incl. 95;2014 3e kwartaal;15805;12865;2675;220;40;0;15765;15805;11265;4540
218;Business Economy, B-N, excl. K, incl. 95;2014 4e kwartaal;14335;11385;2675;240;30;5;14305;14335;11075;3260
219;Business Economy, B-N, excl. K, incl. 95;2014;66770;54240;11450;940;135;5;66630;66765;52365;14405
220;Business Economy, B-N, excl. K, incl. 95;2015 1e kwartaal;20565;16845;3535;170;20;0;20550;20565;17120;3445
221;Business Economy, B-N, excl. K, incl. 95;2015 2e kwartaal;15065;12260;2595;190;20;0;15045;15065;12090;2975
222;Business Economy, B-N, excl. K, incl. 95;2015 3e kwartaal;14435;11790;2445;170;25;0;14405;14430;10435;4000
223;Business Economy, B-N, excl. K, incl. 95;2015 4e kwartaal;16415;13130;3070;185;30;0;16385;16410;12835;3575
224;Business Economy, B-N, excl. K, incl. 95;2015;66480;54025;11645;715;90;5;66385;66475;52480;14000
225;Business Economy, B-N, excl. K, incl. 95;2016 1e kwartaal;19585;16060;3345;145;30;0;19555;19585;16250;3335
226;Business Economy, B-N, excl. K, incl. 95;2016 2e kwartaal;16005;13265;2565;150;25;0;15980;16000;13040;2965
227;Business Economy, B-N, excl. K, incl. 95;2016 3e kwartaal;21770;18860;2730;160;20;0;21750;21770;17465;4300
228;Business Economy, B-N, excl. K, incl. 95;2016 4e kwartaal;20970;15705;4995;245;25;0;20945;20970;16840;4130
229;Business Economy, B-N, excl. K, incl. 95;2016;78330;63890;13635;700;100;5;78225;78325;63595;14735
230;Business Economy, B-N, excl. K, incl. 95;2017 1e kwartaal;17660;14820;2730;100;10;0;17645;17660;15200;2455
231;Business Economy, B-N, excl. K, incl. 95;2017 2e kwartaal;14865;12420;2315;110;15;0;14850;14865;12045;2820
232;Business Economy, B-N, excl. K, incl. 95;2017 3e kwartaal;14165;11705;2320;130;10;0;14155;14165;9805;4365
233;Business Economy, B-N, excl. K, incl. 95;2017 4e kwartaal;15615;12925;2515;145;25;0;15585;15610;12395;3215
234;Business Economy, B-N, excl. K, incl. 95;2017;62300;51875;9875;485;65;0;62235;62300;49450;12855
235;Business Economy, B-N, excl. K, incl. 95;2018 1e kwartaal;22885;19175;3570;115;20;0;22860;22880;19200;3680
236;Business Economy, B-N, excl. K, incl. 95;2018 2e kwartaal;15235;12740;2365;125;10;0;15225;15235;12485;2750
237;Business Economy, B-N, excl. K, incl. 95;2018 3e kwartaal;15920;13265;2515;135;10;0;15910;15920;11615;4305
