ID;Geslacht;LeeftijdOp31December;Onderwijsniveau;Marges;Perioden;Levensverwachting_1;LVInAlsGoedErvarenGezondheid_2;LVZonderLichamelijkeBeperkingen_3;LVZonderPsychischeKlachtenMHI5_4;LVZonderGALIBeperkingen_5
15;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Waarde;2007/2010;80.8;65.9;71.9;74.8;
16;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Waarde;2011/2014;81.5;65.4;71.8;73.5;
17;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Waarde;2015/2018;82.2;64.7;72.7;74.4;58.8
18;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Waarde;2017/2020;82.0;64.7;73.5;73.8;57.9
19;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Waarde;2019/2022;81.8;65.0;73.5;72.8;57.7
20;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2007/2010;80.7;65.0;;74.1;
21;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2011/2014;81.5;64.9;;72.7;
22;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2015/2018;82.1;64.1;;73.8;
23;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2017/2020;81.9;64.1;;73.2;
24;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2019/2022;81.7;64.4;;72.2;
25;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2007/2010;80.8;66.8;;75.6;
26;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2011/2014;81.6;65.9;;74.4;
27;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2015/2018;82.2;65.3;;74.9;
28;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2017/2020;82.1;65.2;;74.4;
29;Totaal mannen en vrouwen;0 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2019/2022;81.9;65.6;;73.4;
30;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Waarde;2007/2010;82.7;72.0;75.5;77.0;
31;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Waarde;2011/2014;83.1;70.8;76.0;75.7;
32;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Waarde;2015/2018;83.8;70.6;77.6;76.8;63.8
33;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Waarde;2017/2020;83.9;71.2;77.8;76.4;63.6
34;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Waarde;2019/2022;83.8;70.3;77.7;74.2;63.2
35;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Ondergrens 95%-interval;2007/2010;82.6;71.0;;76.2;
36;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Ondergrens 95%-interval;2011/2014;83.0;70.1;;75.1;
37;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Ondergrens 95%-interval;2015/2018;83.8;69.9;;76.2;
38;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Ondergrens 95%-interval;2017/2020;83.8;70.6;;75.9;
39;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Ondergrens 95%-interval;2019/2022;83.7;69.7;;73.7;
40;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Bovengrens 95%-interval;2007/2010;82.8;73.1;;77.9;
41;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Bovengrens 95%-interval;2011/2014;83.1;71.4;;76.3;
42;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Bovengrens 95%-interval;2015/2018;83.9;71.3;;77.3;
43;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Bovengrens 95%-interval;2017/2020;84.0;71.9;;77.0;
44;Totaal mannen en vrouwen;0 jaar;Hbo, wo;Bovengrens 95%-interval;2019/2022;83.8;70.9;;74.8;
45;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2007/2010;79.1;57.3;64.9;70.3;
46;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2011/2014;79.6;57.7;65.4;69.6;
47;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2015/2018;79.3;56.9;65.2;68.5;52.7
48;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2017/2020;79.4;56.7;65.6;68.3;51.7
49;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2019/2022;79.0;56.5;65.3;66.5;51.7
50;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2007/2010;79.0;56.5;;69.5;
51;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2011/2014;79.6;57.0;;69.0;
52;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2015/2018;79.2;56.2;;67.9;
53;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2017/2020;79.4;55.9;;67.6;
54;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2019/2022;78.9;55.6;;65.7;
55;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2007/2010;79.1;58.2;;71.1;
56;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2011/2014;79.6;58.3;;70.3;
57;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2015/2018;79.3;57.7;;69.1;
58;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2017/2020;79.5;57.6;;69.0;
59;Totaal mannen en vrouwen;1 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2019/2022;79.1;57.4;;67.3;
60;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Waarde;2007/2010;80.5;65.7;71.7;74.6;
61;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Waarde;2011/2014;81.3;65.1;71.5;73.3;
62;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Waarde;2015/2018;82.0;64.5;72.5;74.2;58.5
63;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Waarde;2017/2020;81.8;64.4;73.2;73.6;57.6
64;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Waarde;2019/2022;81.6;64.7;73.2;72.6;57.4
65;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2007/2010;80.5;64.8;;73.9;
66;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2011/2014;81.2;64.6;;72.5;
67;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2015/2018;82.0;63.9;;73.6;
68;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2017/2020;81.8;63.9;;73.0;
69;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2019/2022;81.5;64.2;;72.0;
70;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2007/2010;80.6;66.6;;75.4;
71;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2011/2014;81.3;65.6;;74.1;
72;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2015/2018;82.0;65.0;;74.7;
73;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2017/2020;81.8;65.0;;74.2;
74;Totaal mannen en vrouwen;1 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2019/2022;81.6;65.3;;73.2;
75;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Waarde;2007/2010;82.4;71.7;75.2;76.8;
76;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Waarde;2011/2014;82.8;70.5;75.7;75.5;
77;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Waarde;2015/2018;83.5;70.2;77.2;76.5;63.4
78;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Waarde;2017/2020;83.6;70.9;77.5;76.2;63.3
79;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Waarde;2019/2022;83.5;70.0;77.4;74.0;62.8
80;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Ondergrens 95%-interval;2007/2010;82.3;70.6;;75.9;
81;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Ondergrens 95%-interval;2011/2014;82.7;69.9;;74.8;
82;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Ondergrens 95%-interval;2015/2018;83.5;69.5;;75.9;
83;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Ondergrens 95%-interval;2017/2020;83.6;70.3;;75.7;
84;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Ondergrens 95%-interval;2019/2022;83.4;69.4;;73.4;
85;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Bovengrens 95%-interval;2007/2010;82.5;72.7;;77.6;
86;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Bovengrens 95%-interval;2011/2014;82.8;71.1;;76.1;
87;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Bovengrens 95%-interval;2015/2018;83.6;70.9;;77.0;
88;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Bovengrens 95%-interval;2017/2020;83.7;71.5;;76.7;
89;Totaal mannen en vrouwen;1 jaar;Hbo, wo;Bovengrens 95%-interval;2019/2022;83.5;70.6;;74.6;
90;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2007/2010;75.2;53.8;61.0;66.5;
91;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2011/2014;75.7;53.9;61.5;65.9;
92;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2015/2018;75.4;53.2;61.3;64.7;49.0
93;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2017/2020;75.6;53.0;61.7;64.5;48.0
94;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2019/2022;75.1;52.8;61.4;62.8;47.9
95;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2007/2010;75.2;52.9;;65.7;
96;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2011/2014;75.7;53.3;;65.2;
97;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2015/2018;75.4;52.4;;64.1;48.2
98;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2017/2020;75.6;52.2;;63.9;47.1
99;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2019/2022;75.1;51.9;;62.1;47.0
100;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2007/2010;75.2;54.7;;67.3;
101;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2011/2014;75.7;54.6;;66.6;
102;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2015/2018;75.4;53.9;;65.4;49.8
103;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2017/2020;75.6;53.9;;65.2;48.8
104;Totaal mannen en vrouwen;5 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2019/2022;75.2;53.6;;63.6;48.8
105;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Waarde;2007/2010;76.6;62.0;67.7;70.9;
106;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Waarde;2011/2014;77.4;61.3;67.6;69.7;
107;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Waarde;2015/2018;78.1;60.7;68.6;70.4;54.7
108;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Waarde;2017/2020;77.9;60.7;69.3;69.9;53.8
109;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Waarde;2019/2022;77.7;61.0;69.3;68.8;53.6
110;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2007/2010;76.6;61.1;;70.1;
111;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2011/2014;77.3;60.8;;69.0;
112;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2015/2018;78.0;60.1;;69.9;54.0
113;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2017/2020;77.9;60.1;;69.3;53.1
114;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2019/2022;77.6;60.4;;68.2;53.0
115;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2007/2010;76.7;62.9;;71.6;
116;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2011/2014;77.4;61.8;;70.5;
117;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2015/2018;78.1;61.2;;70.9;55.3
118;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2017/2020;77.9;61.2;;70.4;54.4
119;Totaal mannen en vrouwen;5 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2019/2022;77.7;61.5;;69.4;54.2
120;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Waarde;2007/2010;78.4;67.9;71.2;73.1;
121;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Waarde;2011/2014;78.9;66.7;71.8;72.0;
122;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Waarde;2015/2018;79.6;66.4;73.3;72.8;59.6
123;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Waarde;2017/2020;79.7;67.1;73.5;72.5;59.4
124;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Waarde;2019/2022;79.5;66.2;73.4;70.6;59.0
125;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Ondergrens 95%-interval;2007/2010;78.3;66.9;;72.3;
126;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Ondergrens 95%-interval;2011/2014;78.8;66.1;;71.4;
127;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Ondergrens 95%-interval;2015/2018;79.5;65.8;;72.3;58.8
128;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Ondergrens 95%-interval;2017/2020;79.6;66.5;;72.0;58.7
129;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Ondergrens 95%-interval;2019/2022;79.5;65.6;;70.1;58.3
130;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Bovengrens 95%-interval;2007/2010;78.5;69.0;;73.9;
131;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Bovengrens 95%-interval;2011/2014;78.9;67.3;;72.6;
132;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Bovengrens 95%-interval;2015/2018;79.6;67.1;;73.3;60.3
133;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Bovengrens 95%-interval;2017/2020;79.7;67.7;;73.0;60.1
134;Totaal mannen en vrouwen;5 jaar;Hbo, wo;Bovengrens 95%-interval;2019/2022;79.6;66.8;;71.1;59.6
135;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2007/2010;70.2;49.1;56.1;61.7;
136;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2011/2014;70.7;49.2;56.5;61.1;
137;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2015/2018;70.4;48.5;56.3;59.9;44.6
138;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2017/2020;70.6;48.3;56.7;59.8;43.5
139;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2019/2022;70.2;48.0;56.5;58.2;43.4
140;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2007/2010;70.2;48.2;;60.9;
141;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2011/2014;70.7;48.6;;60.4;
142;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2015/2018;70.4;47.8;;59.3;43.8
143;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2017/2020;70.6;47.5;;59.1;42.6
144;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2019/2022;70.1;47.2;;57.4;42.5
145;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2007/2010;70.3;49.9;;62.5;
146;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2011/2014;70.8;49.8;;61.8;
147;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2015/2018;70.5;49.2;;60.6;45.3
148;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2017/2020;70.6;49.1;;60.4;44.3
149;Totaal mannen en vrouwen;10 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2019/2022;70.2;48.9;;58.9;44.3
150;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Waarde;2007/2010;71.7;57.2;62.8;66.1;
151;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Waarde;2011/2014;72.4;56.5;62.6;65.2;
152;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Waarde;2015/2018;73.1;55.8;63.6;65.6;50.0
153;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Waarde;2017/2020;72.9;55.9;64.3;65.1;49.2
154;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Waarde;2019/2022;72.7;56.2;64.3;64.0;49.0
155;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2007/2010;71.6;56.3;;65.4;
156;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2011/2014;72.4;56.0;;64.6;
157;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2015/2018;73.1;55.3;;65.2;49.4
158;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2017/2020;72.9;55.3;;64.7;48.6
159;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Ondergrens 95%-interval;2019/2022;72.6;55.6;;63.5;48.4
160;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2007/2010;71.7;58.1;;66.8;
161;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2011/2014;72.4;57.0;;65.8;
162;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2015/2018;73.1;56.4;;66.1;50.6
163;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2017/2020;72.9;56.4;;65.6;49.8
164;Totaal mannen en vrouwen;10 jaar;Havo, vwo, mbo2-4;Bovengrens 95%-interval;2019/2022;72.7;56.7;;64.5;49.6
165;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Waarde;2007/2010;73.4;63.1;66.3;68.5;
166;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Waarde;2011/2014;73.9;61.8;66.8;67.6;
167;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Waarde;2015/2018;74.6;61.6;68.3;68.2;54.9
168;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Waarde;2017/2020;74.7;62.2;68.5;67.9;54.7
169;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Waarde;2019/2022;74.6;61.3;68.5;66.3;54.3
170;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Ondergrens 95%-interval;2007/2010;73.4;62.1;;67.8;
171;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Ondergrens 95%-interval;2011/2014;73.8;61.2;;67.1;
172;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Ondergrens 95%-interval;2015/2018;74.5;60.9;;67.7;54.2
173;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Ondergrens 95%-interval;2017/2020;74.6;61.6;;67.5;54.0
174;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Ondergrens 95%-interval;2019/2022;74.5;60.7;;65.8;53.6
175;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Bovengrens 95%-interval;2007/2010;73.5;64.2;;69.3;
176;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Bovengrens 95%-interval;2011/2014;73.9;62.5;;68.2;
177;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Bovengrens 95%-interval;2015/2018;74.7;62.3;;68.7;55.7
178;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Bovengrens 95%-interval;2017/2020;74.7;62.9;;68.4;55.4
179;Totaal mannen en vrouwen;10 jaar;Hbo, wo;Bovengrens 95%-interval;2019/2022;74.6;61.9;;66.8;54.9
180;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2007/2010;65.3;44.4;51.2;56.9;
181;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2011/2014;65.8;44.5;51.6;56.3;
182;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2015/2018;65.5;43.8;51.4;55.1;40.1
183;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2017/2020;65.7;43.6;51.8;55.0;39.0
184;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2019/2022;65.2;43.3;51.6;53.5;38.9
185;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2007/2010;65.3;43.5;50.4;56.1;
186;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2011/2014;65.7;43.9;51.0;55.6;
187;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2015/2018;65.4;43.0;50.8;54.5;39.3
188;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2017/2020;65.6;42.8;51.2;54.3;38.2
189;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2019/2022;65.1;42.5;50.9;52.7;38.0
190;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2007/2010;65.3;45.2;52.0;57.7;
191;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2011/2014;65.8;45.1;52.3;56.9;
192;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2015/2018;65.5;44.5;52.0;55.7;40.8
193;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2017/2020;65.7;44.4;52.4;55.7;39.9
194;Totaal mannen en vrouwen;15 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2019/2022;65.2;44.2;52.3;54.2;39.8
195;Totaal mannen en vrouwen;15 jaar;Havo, vwo, mbo2-4;Waarde;2007/2010;66.7;52.5;57.8;61.3;
196;Totaal mannen en vrouwen;15 jaar;Havo, vwo, mbo2-4;Waarde;2011/2014;67.4;51.6;57.7;60.7;
197;Totaal mannen en vrouwen;15 jaar;Havo, vwo, mbo2-4;Waarde;2015/2018;68.1;51.2;58.8;60.9;45.6
