ID;Transacties;InstitutioneleSectoren;Perioden;Overheidsuitgaven_1
281;Totaal overheidsuitgaven;Rijksoverheid;2000;107736
282;Totaal overheidsuitgaven;Rijksoverheid;2001 1e kwartaal;28809
283;Totaal overheidsuitgaven;Rijksoverheid;2001 2e kwartaal;30628
284;Totaal overheidsuitgaven;Rijksoverheid;2001 3e kwartaal;28726
285;Totaal overheidsuitgaven;Rijksoverheid;2001 4e kwartaal;31727
286;Totaal overheidsuitgaven;Rijksoverheid;2001;119890
287;Totaal overheidsuitgaven;Rijksoverheid;2002 1e kwartaal;30932
288;Totaal overheidsuitgaven;Rijksoverheid;2002 2e kwartaal;32873
289;Totaal overheidsuitgaven;Rijksoverheid;2002 3e kwartaal;30550
290;Totaal overheidsuitgaven;Rijksoverheid;2002 4e kwartaal;32708
291;Totaal overheidsuitgaven;Rijksoverheid;2002;127063
292;Totaal overheidsuitgaven;Rijksoverheid;2003 1e kwartaal;32963
293;Totaal overheidsuitgaven;Rijksoverheid;2003 2e kwartaal;35346
294;Totaal overheidsuitgaven;Rijksoverheid;2003 3e kwartaal;32031
295;Totaal overheidsuitgaven;Rijksoverheid;2003 4e kwartaal;34256
296;Totaal overheidsuitgaven;Rijksoverheid;2003;134596
297;Totaal overheidsuitgaven;Rijksoverheid;2004 1e kwartaal;33915
298;Totaal overheidsuitgaven;Rijksoverheid;2004 2e kwartaal;35433
299;Totaal overheidsuitgaven;Rijksoverheid;2004 3e kwartaal;31132
300;Totaal overheidsuitgaven;Rijksoverheid;2004 4e kwartaal;33472
301;Totaal overheidsuitgaven;Rijksoverheid;2004;133952
302;Totaal overheidsuitgaven;Rijksoverheid;2005 1e kwartaal;33338
303;Totaal overheidsuitgaven;Rijksoverheid;2005 2e kwartaal;35358
304;Totaal overheidsuitgaven;Rijksoverheid;2005 3e kwartaal;31787
305;Totaal overheidsuitgaven;Rijksoverheid;2005 4e kwartaal;35819
306;Totaal overheidsuitgaven;Rijksoverheid;2005;136302
307;Totaal overheidsuitgaven;Rijksoverheid;2006 1e kwartaal;33923
308;Totaal overheidsuitgaven;Rijksoverheid;2006 2e kwartaal;39550
309;Totaal overheidsuitgaven;Rijksoverheid;2006 3e kwartaal;33786
310;Totaal overheidsuitgaven;Rijksoverheid;2006 4e kwartaal;37883
311;Totaal overheidsuitgaven;Rijksoverheid;2006;145142
312;Totaal overheidsuitgaven;Rijksoverheid;2007 1e kwartaal;37810
313;Totaal overheidsuitgaven;Rijksoverheid;2007 2e kwartaal;38711
314;Totaal overheidsuitgaven;Rijksoverheid;2007 3e kwartaal;38069
315;Totaal overheidsuitgaven;Rijksoverheid;2007 4e kwartaal;40215
316;Totaal overheidsuitgaven;Rijksoverheid;2007;154805
317;Totaal overheidsuitgaven;Rijksoverheid;2008 1e kwartaal;41709
318;Totaal overheidsuitgaven;Rijksoverheid;2008 2e kwartaal;41789
319;Totaal overheidsuitgaven;Rijksoverheid;2008 3e kwartaal;42903
320;Totaal overheidsuitgaven;Rijksoverheid;2008 4e kwartaal;40886
321;Totaal overheidsuitgaven;Rijksoverheid;2008;167287
322;Totaal overheidsuitgaven;Rijksoverheid;2009 1e kwartaal;43675
323;Totaal overheidsuitgaven;Rijksoverheid;2009 2e kwartaal;43147
324;Totaal overheidsuitgaven;Rijksoverheid;2009 3e kwartaal;43686
325;Totaal overheidsuitgaven;Rijksoverheid;2009 4e kwartaal;46058
326;Totaal overheidsuitgaven;Rijksoverheid;2009;176566
327;Totaal overheidsuitgaven;Rijksoverheid;2010 1e kwartaal;45567
328;Totaal overheidsuitgaven;Rijksoverheid;2010 2e kwartaal;48251
329;Totaal overheidsuitgaven;Rijksoverheid;2010 3e kwartaal;43240
330;Totaal overheidsuitgaven;Rijksoverheid;2010 4e kwartaal;50772
331;Totaal overheidsuitgaven;Rijksoverheid;2010;187830
332;Totaal overheidsuitgaven;Rijksoverheid;2011 1e kwartaal;45175
333;Totaal overheidsuitgaven;Rijksoverheid;2011 2e kwartaal;45651
334;Totaal overheidsuitgaven;Rijksoverheid;2011 3e kwartaal;42310
335;Totaal overheidsuitgaven;Rijksoverheid;2011 4e kwartaal;46172
336;Totaal overheidsuitgaven;Rijksoverheid;2011;179308
337;Totaal overheidsuitgaven;Rijksoverheid;2012 1e kwartaal;44224
338;Totaal overheidsuitgaven;Rijksoverheid;2012 2e kwartaal;46243
339;Totaal overheidsuitgaven;Rijksoverheid;2012 3e kwartaal;41546
340;Totaal overheidsuitgaven;Rijksoverheid;2012 4e kwartaal;48167
341;Totaal overheidsuitgaven;Rijksoverheid;2012;180180
342;Totaal overheidsuitgaven;Rijksoverheid;2013 1e kwartaal;43900
343;Totaal overheidsuitgaven;Rijksoverheid;2013 2e kwartaal;43473
344;Totaal overheidsuitgaven;Rijksoverheid;2013 3e kwartaal;40185
345;Totaal overheidsuitgaven;Rijksoverheid;2013 4e kwartaal;48339
346;Totaal overheidsuitgaven;Rijksoverheid;2013;175897
347;Totaal overheidsuitgaven;Rijksoverheid;2014 1e kwartaal;44208
348;Totaal overheidsuitgaven;Rijksoverheid;2014 2e kwartaal;45513
349;Totaal overheidsuitgaven;Rijksoverheid;2014 3e kwartaal;40865
350;Totaal overheidsuitgaven;Rijksoverheid;2014 4e kwartaal;48249
351;Totaal overheidsuitgaven;Rijksoverheid;2014;178835
352;Totaal overheidsuitgaven;Rijksoverheid;2015 1e kwartaal;45918
353;Totaal overheidsuitgaven;Rijksoverheid;2015 2e kwartaal;47059
354;Totaal overheidsuitgaven;Rijksoverheid;2015 3e kwartaal;42060
355;Totaal overheidsuitgaven;Rijksoverheid;2015 4e kwartaal;49912
356;Totaal overheidsuitgaven;Rijksoverheid;2015;184949
357;Totaal overheidsuitgaven;Rijksoverheid;2016 1e kwartaal;47156
358;Totaal overheidsuitgaven;Rijksoverheid;2016 2e kwartaal;47155
359;Totaal overheidsuitgaven;Rijksoverheid;2016 3e kwartaal;43536
360;Totaal overheidsuitgaven;Rijksoverheid;2016 4e kwartaal;46997
361;Totaal overheidsuitgaven;Rijksoverheid;2016;184844
362;Totaal overheidsuitgaven;Rijksoverheid;2017 1e kwartaal;46170
363;Totaal overheidsuitgaven;Rijksoverheid;2017 2e kwartaal;47025
364;Totaal overheidsuitgaven;Rijksoverheid;2017 3e kwartaal;43413
365;Totaal overheidsuitgaven;Rijksoverheid;2017 4e kwartaal;47307
366;Totaal overheidsuitgaven;Rijksoverheid;2017;183915
367;Totaal overheidsuitgaven;Rijksoverheid;2018 1e kwartaal;47037
368;Totaal overheidsuitgaven;Rijksoverheid;2018 2e kwartaal;48489
369;Totaal overheidsuitgaven;Rijksoverheid;2018 3e kwartaal;45032
370;Totaal overheidsuitgaven;Rijksoverheid;2018 4e kwartaal;51762
371;Totaal overheidsuitgaven;Rijksoverheid;2018;192320
372;Totaal overheidsuitgaven;Rijksoverheid;2019 1e kwartaal;50051
373;Totaal overheidsuitgaven;Rijksoverheid;2019 2e kwartaal;51571
374;Totaal overheidsuitgaven;Rijksoverheid;2019 3e kwartaal;50454
375;Totaal overheidsuitgaven;Rijksoverheid;2019 4e kwartaal;51521
376;Totaal overheidsuitgaven;Rijksoverheid;2019;203597
377;Totaal overheidsuitgaven;Rijksoverheid;2020 1e kwartaal;55857
378;Totaal overheidsuitgaven;Rijksoverheid;2020 2e kwartaal;64845
379;Totaal overheidsuitgaven;Rijksoverheid;2020 3e kwartaal;56757
380;Totaal overheidsuitgaven;Rijksoverheid;2020 4e kwartaal;66476
381;Totaal overheidsuitgaven;Rijksoverheid;2020;243935
382;Totaal overheidsuitgaven;Rijksoverheid;2021 1e kwartaal;66269
383;Totaal overheidsuitgaven;Rijksoverheid;2021 2e kwartaal;67315
384;Totaal overheidsuitgaven;Rijksoverheid;2021 3e kwartaal;63003
385;Totaal overheidsuitgaven;Rijksoverheid;2021 4e kwartaal;67418
386;Totaal overheidsuitgaven;Rijksoverheid;2021;264005
387;Totaal overheidsuitgaven;Rijksoverheid;2022 1e kwartaal;65434
388;Totaal overheidsuitgaven;Rijksoverheid;2022 2e kwartaal;67418
389;Totaal overheidsuitgaven;Rijksoverheid;2022 3e kwartaal;70345
390;Totaal overheidsuitgaven;Rijksoverheid;2022 4e kwartaal;76335
391;Totaal overheidsuitgaven;Rijksoverheid;2022;279532
