ID;Nationality;Periods;TotalResidencePermitsAsylum_1;RefugeeStatusBeneficiaryStatus_2;HumanitarianReasons_3;TotalOrdinaryResidencePermit_4;TotalFamilyReunificationFormation_5;HusbandWife_6;ChildUnder18_7;OtherFamilyReunification_8;Study_9;TotalLabour_10;HighlySkilledMigrantBlueCardHolder_11;Researcher_12;OtherLabour_13;VictimOfHumanTrade_14;OtherOrdinary_15;SinglePermitGVVA_16
104;Argentinian;2016;0;0.0;0.0;255;70;45;10;10;60;80;45;5;30;0;45;
105;Argentinian;2017;0;0.0;0.0;380;75;55;10;10;80;90;45;10;30;0;135;
106;Argentinian;2018;0;0.0;0.0;405;80;50;20;10;85;90;55;5;30;0;150;
107;Argentinian;2019;0;0.0;0.0;515;135;80;35;15;60;135;95;20;25;0;185;
108;Argentinian;2020;0;0.0;0.0;285;100;50;25;25;25;85;55;15;15;0;75;
109;Argentinian;2021;0;0.0;0.0;435;140;90;25;20;50;135;95;15;30;0;110;
110;Argentinian;2022;0;0.0;0.0;645;155;90;45;20;70;190;130;25;35;0;230;
111;Argentinian;2023;0;0.0;0.0;455;110;65;30;15;40;110;70;10;30;0;200;
112;Armenian;2008;25;0.0;0.0;290;60;40;15;5;10;10;5;0;0;0;210;
113;Armenian;2009;80;30.0;50.0;115;70;40;15;15;15;10;10;0;0;0;25;
114;Armenian;2010;165;85.0;75.0;105;75;45;20;15;15;5;0;0;0;0;10;
115;Armenian;2011;75;40.0;35.0;120;90;55;30;10;15;5;5;0;0;0;10;
116;Armenian;2012;35;15.0;20.0;150;110;60;25;20;20;10;5;0;5;5;10;
117;Armenian;2013;15;10.0;10.0;300;230;60;75;95;10;5;0;0;5;5;45;
118;Armenian;2014;20;5.0;15.0;175;130;65;55;10;25;5;5;0;5;0;15;
119;Armenian;2015;20;15.0;5.0;175;120;65;40;10;15;10;5;5;0;5;30;
120;Armenian;2016;20;10.0;10.0;175;115;60;40;20;15;10;5;0;0;0;30;
121;Armenian;2017;15;10.0;5.0;160;105;45;35;25;10;15;10;0;5;0;30;
